Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Pulleniatina obliquiloculata,Globigerinoides ruber,Neogloboquadrina pachyderma,Neogloboquadrina incompta,Neogloboquadrina acostaensis,Globorotaloides hexagona,Globorotalia tosaensis,Globorotalia pumilio,Globorotalia bermudezi,Globigerinoides cyclostomus,Globigerinita glutinata,Globigerina quinqueloba,Globigerina falconensis,Globigerina calida,Globigerina bulloides,Globorotalia crassaformis crassaformis,Orbulina universa,Neogloboquadrina humerosa,Neogloboquadrina dutertrei,Neogloboquadrina blowi,Globorotalia scitula,Globorotalia obesa,Globorotalia inflata,Globorotalia hirsuta,Globigerinoides tenellus,Globigerinoides obliquus obliquus,Globigerinoides immaturus,Globigerinita uvula,Globigerinita iota,Globorotalia theyeri,Globorotalia ungulata,Globorotalia tumida,Globorotalia puncticulata,Globigerinoides sacculifer,Orbulina suturalis,Hastigerinopsis riedeli,Globigerina rubescens,Globigerinoides ruber alba,Globigerinoides quadrilobatus,Globoquadrina conglomerata,Globigerinella aequilateralis,Globigerina megastoma,Globorotalia neominutissima,Globorotalia minutissima,Beella praedigitata,Neogloboquadrina eggeri,Globorotalia ronda,Globigerinita minuta,Globigerina umbilicata,Sphaeroidinella dehiscens,Globorotalia cultrata menardii,Beella digitata,Globorotalia parkerae,Globorotalia anfracta,Globigerinoides elongatus,Comment
  SR,                 ,                 ,                  ,              ,112, 688,A, 12,X,CC,   1.00,    105.5800,Ibaraki  ,Planktonic Foraminifers                      ,F              ,G                 ,                            ,                     ,A                          ,C                        ,                            ,R                       ,                      ,                    ,                      ,                           ,F                      ,C                      ,C                      ,                  ,A                    ,T                                     ,F                ,                         ,T                         ,T                     ,R                   ,F                 ,                    ,                    ,                        ,                                 ,                         ,                   ,F                 ,                    ,                     ,                   ,                         ,                          ,R                 ,R                      ,                     ,                          ,                             ,                          ,T                            ,T                    ,                           ,                        ,                   ,                       ,                  ,                    ,                      ,                         ,                              ,               ,                     ,                     ,                         ,from ODP Leg 112 SR Chapter 15 Table 10 p 255
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 688,A, 13,X, 3, 110.00,    116.9000,Glacon   ,Planktonic Foraminifers                      ,               ,                  ,                            ,                     ,                           ,                         ,                            ,                        ,                      ,                    ,                      ,                           ,                       ,                       ,                       ,                  ,                     ,                                      ,                 ,                         ,1                         ,                      ,                    ,                  ,                    ,                    ,                        ,                                 ,                         ,                   ,                  ,                    ,                     ,                   ,                         ,                          ,                  ,                       ,                     ,                          ,                             ,                          ,                             ,                     ,                           ,                        ,                   ,                       ,                  ,                    ,                      ,                         ,                              ,               ,                     ,                     ,                         ,from ODP Leg 112 SR Chapter 46 Table 1 p 675
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 688,A, 13,X,CC,  13.00,    122.3100,Ibaraki  ,Planktonic Foraminifers                      ,F              ,G                 ,                            ,                     ,A                          ,A                        ,                            ,R                       ,                      ,F                   ,                      ,                           ,F                      ,C                      ,C                      ,                  ,C                    ,T                                     ,                 ,                         ,R                         ,R                     ,R                   ,F                 ,                    ,                    ,                        ,                                 ,                         ,                   ,C                 ,                    ,                     ,                   ,                         ,                          ,                  ,F                      ,                     ,                          ,                             ,                          ,                             ,                     ,                           ,                        ,                   ,                       ,                  ,                    ,                      ,                         ,                              ,               ,                     ,                     ,                         ,from ODP Leg 112 SR Chapter 15 Table 10 p 255
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 688,A, 14,X, 3,  88.00,    126.1800,Glacon   ,Planktonic Foraminifers                      ,               ,                  ,                            ,                     ,                           ,                         ,                            ,                        ,                      ,                    ,                      ,                           ,                       ,                       ,                       ,                  ,                     ,                                      ,                 ,                         ,6                         ,                      ,                    ,                  ,                    ,                    ,                        ,                                 ,                         ,                   ,                  ,                    ,                     ,                   ,                         ,                          ,                  ,                       ,                     ,                          ,2                            ,                          ,                             ,                     ,                           ,                        ,                   ,                       ,                  ,                    ,                      ,                         ,                              ,               ,                     ,                     ,                         ,from ODP Leg 112 SR Chapter 46 Table 1 p 675
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 688,A, 14,X,CC,  22.00,    134.1900,Ibaraki  ,Planktonic Foraminifers                      ,R              ,G                 ,                            ,                     ,T                          ,T                        ,                            ,                        ,                      ,                    ,                      ,                           ,                       ,                       ,T                      ,                  ,T                    ,                                      ,                 ,                         ,                          ,                      ,                    ,                  ,                    ,                    ,                        ,                                 ,                         ,                   ,                  ,                    ,                     ,                   ,                         ,                          ,                  ,T                      ,                     ,                          ,                             ,                          ,                             ,                     ,                           ,                        ,                   ,                       ,                  ,                    ,                      ,                         ,                              ,               ,                     ,                     ,                         ,from ODP Leg 112 SR Chapter 15 Table 10 p 255
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 688,A, 15,X,CC,  11.00,    141.2600,Ibaraki  ,Planktonic Foraminifers                      ,R              ,G                 ,                            ,                     ,T                          ,T                        ,                            ,                        ,                      ,                    ,                      ,                           ,T                      ,T                      ,T                      ,                  ,T                    ,                                      ,T                ,                         ,T                         ,                      ,                    ,                  ,                    ,                    ,                        ,                                 ,                         ,                   ,                  ,                    ,                     ,                   ,                         ,                          ,                  ,                       ,                     ,                          ,                             ,                          ,                             ,                     ,                           ,                        ,                   ,                       ,                  ,                    ,                      ,                         ,                              ,               ,                     ,                     ,                         ,from ODP Leg 112 SR Chapter 15 Table 10 p 255
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 688,A, 17,X, 3,  95.00,    154.7500,Glacon   ,Planktonic Foraminifers                      ,               ,                  ,                            ,                     ,                           ,                         ,                            ,                        ,                      ,                    ,                      ,                           ,                       ,                       ,                       ,                  ,1                    ,                                      ,                 ,                         ,                          ,                      ,                    ,                  ,                    ,                    ,                        ,                                 ,                         ,                   ,                  ,                    ,                     ,                   ,                         ,                          ,                  ,                       ,                     ,                          ,3                            ,                          ,                             ,                     ,                           ,                        ,                   ,                       ,                  ,                    ,                      ,                         ,                              ,               ,                     ,                     ,                         ,from ODP Leg 112 SR Chapter 46 Table 1 p 675
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 688,A, 17,X,CC,  22.00,    159.4200,Ibaraki  ,Planktonic Foraminifers                      ,F              ,G                 ,T                           ,                     ,                           ,                         ,                            ,                        ,                      ,                    ,                      ,                           ,T                      ,T                      ,F                      ,                  ,A                    ,                                      ,                 ,                         ,                          ,                      ,                    ,T                 ,                    ,                    ,                        ,                                 ,                         ,                   ,T                 ,                    ,                     ,                   ,                         ,                          ,                  ,                       ,                     ,                          ,                             ,                          ,                             ,                     ,                           ,                        ,                   ,                       ,                  ,                    ,                      ,                         ,                              ,               ,                     ,                     ,                         ,from ODP Leg 112 SR Chapter 15 Table 10 p 255
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
