Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Uvigerina spinulosa	Stilostomella lepidula	Pullenia bulloides	Planulina renzi	Osangularia culter	Oridorsalis umbonatus	Nuttallides umbonifera	Lenticulina vortex	Heterolepa mexicana	Hanzawaia cushmani	Globocassidulina subglobosa	Discorbis villardeboanus	Cibicidoides kullenbergi	Cibicidoides haitensis	Chrysalogonium equisetiformis	Bulimina nuda	Bolivina tortuosa	Bolivina tectiformis	Stilostomella subspinosa	Gyroidinoides girardanus	Cibicides pseudowuellerstorfi	Cassidulina crassa	Bolivinita quadrilatera	Bolivina reticulata	Operculina sp.	Operculina gomezi	Nummulites sp.	Nummulites fabianii group	Heterostegina sp.	Foraminifers (small)	Fabiania sp.	Discocyclina sp.	Amphistegina sp.	Orbitolites sp.	Alveolina sp.	Stilostomella nuttalli	Pleurostomella spp.	Osangularia cf. O. bengalensis	Martinottiella variabilis	Gyroidinoides planulatus	Cibicidoides subspiratus	Cassidulinoides cornuta	Bulimina semicostata	Bulimina miolaevis	Bulimina alazanensis	Bolivinopsis gryzbowski	Bolivina pseudoplicata	Bolivina cf. B. pseudoplicata (fine ornament)	Alabamina sp.	Siphonodosaria modesta	Pullenia coryelli	Uvigerina subproboscidea	Uvigerina porrecta	Siphonina sp.	Saracenaria triangularis	Orthomorphina rohri	Nodosaria cf. N. stiliformis	Cibicides vortex	Anomalinoides alabamensis	Valvulineria sp.	Siphonina tenuicarinata	Pullenia quinqueloba	Frondicularia sp.	Cibicides laurisae	Cassidulina sp.	Bolivina striatocola	Bolivina pukeuriensis	Bolivina arta	Uvigerina pigmea	Cibicides lobatulus	Karreriella bradyi	Gyroidinoides altiformis	Vulvulina pennatula	Bulimina macilenta	Uvigerina proboscidea	Trifarina pigmea	Melonis affinis	Lenticulina cf. L. cibaoensis	Cibicidoides cf. C. havanensis	Anomalinoides semicribratus	Anomalinoides globulosus	Textularia mexicana	Melonis barleeanus	Cibicidoides sp. (turbinate)	Bulimina glomarchallengeri	Comment

  SR	Early Miocene    	                 	                  	              	115	 714	A	 22	X	 3	  20.00	    197.6000	Boersma  	Benthic Foraminifers                         	               	P                 	                   	F                     	                  	               	                  	T                    	                      	+                 	                   	                  	T                          	+                       	F                       	                      	                             	             	                 	                    	                        	+                       	                             	+                 	                       	                   	              	                 	              	                         	                 	                    	            	                	                	               	             	                      	F                  	                              	+                        	                        	                        	                       	                    	                  	                    	T                      	F                     	                                             	             	+                     	                 	                        	                  	             	+                       	+                  	                            	                	                         	                	                       	                    	                 	                  	               	F/C                 	                     	             	                	                   	                  	                        	                   	                  	                     	                	               	                             	                              	                           	+                       	                   	                  	                            	                          	from 115 SR. Chapter 20. Table 5. pages 328-330.

  SR	Early Miocene    	                 	                  	              	115	 714	A	 22	X	 3	 110.00	    198.5000	Boersma  	Benthic Foraminifers                         	               	P                 	F                  	F/C                   	                  	R              	                  	F/C                  	                      	                  	                   	                  	R                          	+                       	T                       	                      	                             	             	                 	                    	                        	                        	                             	+                 	                       	T                  	              	                 	              	                         	                 	                    	            	                	                	               	             	                      	+                  	+                             	                         	+                       	                        	                       	F                   	+                 	                    	                       	A                     	                                             	             	+                     	                 	                        	                  	+            	                        	+                  	                            	                	+                        	+               	                       	                    	                 	                  	               	                    	                     	             	                	                   	                  	                        	                   	                  	                     	                	+              	+                            	+                             	+                          	                        	                   	                  	                            	                          	Redeposited benthic foraminifers present. from 115 SR. Chapter 20. Table 5. pages 328-330.

  SR	Early Miocene    	                 	                  	              	115	 714	A	 22	X	 4	 100.00	    199.9000	Boersma  	Benthic Foraminifers                         	               	P                 	+                  	F                     	                  	+              	                  	+                    	                      	                  	+                  	                  	F                          	                        	                        	                      	                             	             	                 	                    	                        	+                       	                             	+                 	                       	R                  	              	                 	              	                         	                 	                    	            	                	                	               	             	                      	+                  	                              	                         	                        	                        	                       	                    	                  	                    	                       	+                     	T                                            	             	+                     	                 	                        	                  	             	                        	                   	                            	                	                         	                	                       	                    	+                	                  	+              	T                   	                     	             	+               	                   	                  	                        	                   	                  	                     	                	               	                             	                              	                           	                        	                   	                  	                            	                          	from 115 SR. Chapter 20. Table 5. pages 328-330.

  SR	Early Miocene    	                 	                  	              	115	 714	A	 22	X	 5	  60.00	    201.0000	Boersma  	Benthic Foraminifers                         	               	M                 	                   	+                     	                  	               	                  	                     	                      	F                 	+                  	                  	R                          	                        	                        	+                     	                             	             	                 	                    	                        	T                       	                             	F                 	                       	                   	              	                 	              	                         	                 	                    	            	                	                	               	             	                      	R                  	                              	                         	+                       	                        	                       	+                   	                  	                    	R                      	F/C                   	                                             	             	                      	                 	                        	                  	             	                        	                   	                            	                	                         	T               	                       	                    	+                	                  	               	F/C                 	                     	             	                	                   	                  	                        	                   	                  	                     	+               	+              	+                            	                              	                           	                        	                   	                  	                            	                          	Redeposited benthic foraminifers present. from 115 SR. Chapter 20. Table 5. pages 328-330.

  SR	Early Miocene    	                 	                  	              	115	 714	A	 23	X	 1	 110.00	    205.2000	Boersma  	Benthic Foraminifers                         	               	P                 	                   	                      	                  	               	                  	                     	                      	                  	                   	                  	F/C                        	                        	                        	                      	                             	             	                 	                    	                        	+                       	T                            	                  	                       	T                  	              	                 	              	                         	                 	                    	            	                	                	               	             	                      	R                  	                              	                         	                        	                        	                       	                    	                  	                    	+                      	T                     	                                             	             	                      	                 	                        	                  	             	                        	                   	                            	                	                         	                	                       	                    	                 	                  	               	R                   	                     	             	                	                   	                  	+                       	                   	                  	+                    	+               	               	                             	                              	                           	                        	                   	                  	                            	                          	from 115 SR. Chapter 20. Table 5. pages 328-330.

  SR	Early Miocene    	                 	                  	              	115	 714	A	 23	X	 1	 120.00	    205.3000	Boersma  	Benthic Foraminifers                         	               	P                 	                   	+                     	+                 	               	                  	                     	                      	+                 	                   	                  	R                          	+                       	+                       	                      	                             	             	                 	                    	                        	T                       	                             	T                 	                       	                   	              	                 	              	                         	                 	                    	            	                	                	               	             	                      	+                  	                              	                         	                        	                        	+                      	                    	                  	                    	T                      	                      	                                             	             	+                     	                 	                        	                  	             	                        	                   	                            	                	                         	                	                       	                    	                 	                  	               	+                   	                     	             	                	                   	                  	                        	                   	                  	                     	                	               	                             	                              	                           	                        	                   	                  	                            	                          	Redeposited benthic foraminifers present. from 115 SR. Chapter 20. Table 5. pages 328-330.

  SR	Late Oligocene   	                 	                  	              	115	 714	A	 23	X	 2	 120.00	    206.8000	Boersma  	Benthic Foraminifers                         	               	P                 	                   	F/C                   	                  	               	+                 	T                    	                      	                  	                   	                  	C                          	                        	+                       	                      	                             	             	+                	                    	                        	                        	+                            	                  	                       	+                  	              	                 	              	                         	                 	                    	            	                	                	               	             	                      	T                  	                              	                         	                        	                        	                       	                    	                  	                    	                       	                      	                                             	             	                      	                 	+                       	                  	             	                        	                   	                            	+               	+                        	                	                       	+                   	                 	                  	               	F/C                 	                     	             	                	                   	+                 	                        	+                  	+                 	                     	                	               	                             	                              	                           	                        	                   	                  	                            	                          	from 115 SR. Chapter 20. Table 5. pages 328-330.

  SR	Late Oligocene   	                 	                  	              	115	 714	A	 23	X	 4	 110.00	    209.7000	Boersma  	Benthic Foraminifers                         	               	VP                	T                  	F                     	+                 	+              	                  	F                    	                      	+                 	                   	                  	T                          	+                       	R                       	                      	                             	             	                 	+                   	                        	T                       	                             	                  	+                      	+                  	              	                 	              	                         	                 	                    	            	                	                	               	             	T                     	                   	                              	                         	                        	                        	T                      	                    	                  	                    	                       	T                     	                                             	             	                      	                 	                        	                  	+            	                        	+                  	                            	T               	                         	                	                       	+                   	                 	                  	               	R                   	                     	             	                	                   	+                 	+                       	                   	                  	                     	                	               	                             	                              	                           	                        	                   	                  	                            	                          	from 115 SR. Chapter 20. Table 5. pages 328-330.

  SR	Late Oligocene   	                 	                  	              	115	 714	A	 23	X	 4	 120.00	    209.8000	Boersma  	Benthic Foraminifers                         	               	M                 	+                  	T                     	+                 	+              	                  	F                    	                      	T                 	                   	+                 	F/C                        	                        	+                       	                      	                             	             	+                	+                   	                        	                        	+                            	+                 	+                      	R                  	              	                 	              	                         	                 	                    	            	                	                	               	             	                      	+                  	                              	+                        	                        	                        	                       	                    	                  	                    	                       	F/C                   	T                                            	             	                      	                 	                        	                  	             	                        	+                  	                            	                	+                        	                	                       	                    	                 	                  	               	F/C                 	                     	             	+               	+                  	                  	                        	                   	                  	                     	                	               	                             	                              	                           	                        	                   	                  	                            	                          	Redeposited benthic foraminifers present. from 115 SR. Chapter 20. Table 5. pages 328-330.

  SR	Late Oligocene   	                 	                  	              	115	 714	A	 23	X	 6	  25.00	    211.8500	Boersma  	Benthic Foraminifers                         	               	M                 	                   	F/C                   	                  	+              	T                 	F                    	                      	                  	                   	                  	R                          	+                       	+                       	                      	                             	             	+                	+                   	                        	+                       	                             	                  	                       	                   	              	                 	              	                         	                 	                    	            	                	                	               	             	+                     	                   	                              	                         	+                       	                        	+                      	                    	                  	                    	                       	A                     	F/C                                          	+            	                      	                 	T                       	                  	             	                        	                   	+                           	                	+                        	+               	T                      	+                   	+                	+                 	R              	F                   	A                    	A            	                	                   	                  	                        	                   	                  	                     	                	               	                             	                              	                           	                        	                   	                  	                            	                          	Redeposited benthic foraminifers 2 or more. from 115 SR. Chapter 20. Table 5. pages 328-330.

  SR	Late Oligocene   	                 	                  	              	115	 714	A	 23	X	 6	 120.00	    212.8000	Boersma  	Benthic Foraminifers                         	               	P                 	+                  	T                     	                  	R              	+                 	T                    	                      	+                 	                   	                  	F                          	                        	+                       	                      	                             	             	                 	+                   	                        	+                       	                             	F/C               	+                      	                   	              	                 	              	                         	                 	                    	            	                	                	               	             	                      	                   	+                             	                         	                        	+                       	                       	                    	                  	                    	                       	T                     	                                             	             	                      	                 	+                       	+                 	+            	+                       	+                  	+                           	R               	+                        	                	                       	                    	                 	                  	               	                    	                     	             	                	                   	                  	                        	                   	                  	                     	                	               	                             	                              	                           	                        	                   	                  	                            	                          	from 115 SR. Chapter 20. Table 5. pages 328-330.

  SR	Late Oligocene   	                 	                  	              	115	 714	A	 24	X	 1	 110.00	    214.9000	Boersma  	Benthic Foraminifers                         	               	M                 	                   	T                     	+                 	+              	                  	+                    	                      	T                 	                   	+                 	R                          	                        	+                       	+                     	                             	             	                 	R                   	                        	                        	                             	T                 	                       	T                  	              	                 	              	                         	                 	                    	            	                	                	               	             	                      	                   	                              	                         	                        	                        	                       	+                   	                  	                    	                       	                      	                                             	             	+                     	+                	                        	                  	             	                        	                   	                            	                	                         	                	                       	                    	                 	                  	               	                    	                     	             	                	                   	                  	                        	                   	                  	                     	                	               	                             	                              	                           	                        	                   	                  	                            	                          	Redeposited benthic foraminifers 3 - 5. from 115 SR. Chapter 20. Table 5. pages 328-330.

  SR	Late Oligocene   	                 	                  	              	115	 714	A	 24	X	 1	 120.00	    215.0000	Boersma  	Benthic Foraminifers                         	               	P                 	                   	R                     	                  	               	+                 	T                    	                      	                  	                   	                  	R                          	                        	                        	+                     	                             	             	                 	R                   	+                       	+                       	                             	T                 	                       	                   	              	                 	              	                         	                 	                    	            	                	                	               	             	+                     	R                  	+                             	+                        	+                       	+                       	+                      	+                   	+                 	T                   	+                      	F/C                   	T                                            	+            	                      	                 	                        	                  	             	                        	                   	                            	                	                         	                	                       	                    	                 	                  	               	                    	                     	             	                	                   	                  	                        	                   	                  	                     	                	               	                             	                              	                           	                        	                   	                  	                            	                          	from 115 SR. Chapter 20. Table 5. pages 328-330.

  SR	                 	                 	                  	              	115	 714	A	 24	X	CC	  28.00	    215.5800	Nicora   	Benthic Foraminifers                         	               	                  	                   	                      	                  	               	                  	                     	                      	                  	                   	                  	                           	                        	                        	                      	                             	             	                 	                    	                        	                        	                             	                  	                       	                   	              	                 	A             	                         	                 	A                   	+           	                	                	+              	C            	                      	                   	                              	                         	                        	                        	                       	                    	                  	                    	                       	                      	                                             	             	                      	                 	                        	                  	             	                        	                   	                            	                	                         	                	                       	                    	                 	                  	               	                    	                     	             	                	                   	                  	                        	                   	                  	                     	                	               	                             	                              	                           	                        	                   	                  	                            	                          	from 115 SR. Chapter 21. Table 2. page 386.

  SR	                 	                 	                  	              	115	 714	A	 24	X	CC	  29.00	    215.5900	Nicora   	Benthic Foraminifers                         	               	                  	                   	                      	                  	               	                  	                     	                      	                  	                   	                  	                           	                        	                        	                      	                             	             	                 	                    	                        	                        	                             	                  	                       	                   	              	                 	+             	                         	+                	+                   	            	                	+               	               	             	                      	                   	                              	                         	                        	                        	                       	                    	                  	                    	                       	                      	                                             	             	                      	                 	                        	                  	             	                        	                   	                            	                	                         	                	                       	                    	                 	                  	               	                    	                     	             	                	                   	                  	                        	                   	                  	                     	                	               	                             	                              	                           	                        	                   	                  	                            	                          	from 115 SR. Chapter 21. Table 2. page 386.

  SR	                 	                 	                  	              	115	 714	A	 24	X	CC	  37.00	    215.6700	Nicora   	Benthic Foraminifers                         	               	                  	                   	                      	                  	               	                  	                     	                      	                  	                   	                  	                           	                        	                        	                      	                             	             	                 	                    	                        	                        	                             	                  	                       	                   	+             	+                	A             	C                        	+                	A                   	C           	+               	                	               	             	                      	                   	                              	                         	                        	                        	                       	                    	                  	                    	                       	                      	                                             	             	                      	                 	                        	                  	             	                        	                   	                            	                	                         	                	                       	                    	                 	                  	               	                    	                     	             	                	                   	                  	                        	                   	                  	                     	                	               	                             	                              	                           	                        	                   	                  	                            	                          	from 115 SR. Chapter 21. Table 2. page 386.

  SR	Early Oligocene  	                 	                  	              	115	 714	A	 25	X	 1	 105.00	    224.3500	Boersma  	Benthic Foraminifers                         	               	M                 	                   	+                     	                  	               	+                 	R                    	                      	+                 	                   	                  	F/C                        	                        	                        	                      	                             	             	+                	F                   	T                       	+                       	+                            	+                 	+                      	+                  	              	                 	              	                         	                 	                    	            	                	                	               	             	                      	                   	                              	                         	                        	                        	                       	                    	                  	                    	                       	                      	                                             	             	                      	                 	                        	                  	             	                        	                   	                            	                	                         	                	                       	                    	                 	                  	               	                    	                     	             	                	                   	                  	                        	                   	                  	                     	                	               	                             	                              	                           	                        	                   	                  	                            	                          	from 115 SR. Chapter 20. Table 5. pages 328-330.

  SR	Early Oligocene  	                 	                  	              	115	 714	A	 25	X	 1	 120.00	    224.5000	Boersma  	Benthic Foraminifers                         	               	P                 	F                  	F/C                   	+                 	R              	R                 	F/C                  	+                     	F                 	+                  	+                 	F/C                        	R                       	+                       	+                     	+                            	+            	T                	F/C                 	                        	                        	                             	                  	                       	                   	              	                 	              	                         	                 	                    	            	                	                	               	             	                      	                   	                              	                         	                        	                        	                       	                    	                  	                    	                       	                      	                                             	             	                      	                 	                        	                  	             	                        	                   	                            	                	                         	                	                       	                    	                 	                  	               	                    	                     	             	                	                   	                  	                        	                   	                  	                     	                	               	                             	                              	                           	                        	                   	                  	                            	                          	Redeposited benthic foraminifers present. from 115 SR. Chapter 20. Table 5. pages 328-330.

