Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Umbilicosphaera rotula	Sphenolithus spp.	Reticulofenestra pseudoumbilica(5-7microns)	Reticulofenestra pseudoumbilica (>7microns)	Reticulofenestra minuta	Reticulofenestra haqii	Pseudoemiliania lacunosa	Gephyrocapsa muellerae	Florisphaera profunda	Discoaster triradiatus	Discoaster pentaradiatus	Discoaster kugleri	Discoaster asymmetricus	Calcidiscus tropicus	Calcidiscus macintyrei	Calcidiscus leptoporus	Reticulofenestra minutula	Gephyrocapsa spp. (small)	Helicosphaera carteri	Discoaster surculus	Discoaster spp.	Discoaster brouweri	Coccolithus pelagicus (with bar)	Coccolithus pelagicus	Syracosphaera spp.	Pseudoemiliania ovata	Helicosphaera sellii	Umbilicosphaera hulburtiana	Helicosphaera carteri var. walichii	Cyclolithus annulus	Pontosphaera multipora	Oolithotus fragilis	Gephyrocapsa oceanica	Gephyrocapsa caribbeanica	Umbilicosphaera sibogae var. sibogae	Syracosphaera pulchra	Reticulofenestra asanoi	Umbellosphaera tenuis	Gephyrocapsa large	Umbilicosphaera sibogae var. foliosa	Reticulofenestra spp.	Pontosphaera discopora	Pontosphaera japonica	Scapholithus fossilis	Rhabdosphaera clavigera var. stylifera	Helicosphaera inversa	Scyphosphaera spp.	Rhabdosphaera clavigera	Emiliania huxleyi	Ceratolithus cristatus	Ceratolithus cristatus var. telesmus	Gephyrocapsa ericsonii	Holodiscolithus macroporus	Comment

  IR	Pleistocene      	Pleistocene      	NN21              	NN21          	190	1176	A	  5	H	CC	  22.00	     43.0100	nannos   	Nannofossils                                 	F              	M                 	                      	                 	                                           	                                           	                       	                      	                        	C                     	A                    	                      	                        	                  	                       	                    	                      	C                     	                         	D                        	                     	                   	               	                   	                                	                     	F                 	                     	                    	                           	                                   	                   	                      	                   	C                    	F                        	F                                   	R                    	                       	                     	F                 	F                                   	R                    	                      	                     	                     	                                      	                     	                  	                       	C                	                      	                                    	                      	                          	       

  IR	Pleistocene      	Pleistocene      	NN21              	NN21          	190	1176	A	  6	H	CC	  17.00	     53.7800	nannos   	Nannofossils                                 	C              	M                 	                      	                 	                                           	R                                          	                       	                      	                        	A                     	A                    	                      	                        	                  	                       	                    	                      	C                     	                         	                         	R                    	                   	               	                   	                                	                     	F                 	                     	                    	                           	R                                  	F                  	                      	                   	C                    	                         	F                                   	                     	                       	R                    	C                 	F                                   	                     	                      	                     	                     	                                      	                     	                  	                       	C                	                      	                                    	A                     	                          	       

  IR	Pleistocene      	Pleistocene      	NN21              	NN21          	190	1176	A	  7	H	CC	  16.00	     64.4100	nannos   	Nannofossils                                 	C              	M                 	                      	                 	                                           	                                           	                       	                      	F                       	A                     	A                    	                      	                        	                  	                       	                    	                      	F                     	                         	                         	R                    	                   	               	                   	                                	R                    	                  	                     	                    	                           	R                                  	                   	R                     	                   	C                    	C                        	F                                   	                     	                       	                     	                  	F                                   	R                    	                      	                     	                     	                                      	R                    	                  	                       	F                	R                     	                                    	A                     	                          	       

  IR	Pleistocene      	Pleistocene      	NN21              	NN21          	190	1176	A	  8	H	CC	   9.00	     66.9000	nannos   	Nannofossils                                 	F              	G                 	                      	                 	                                           	                                           	                       	                      	F                       	A                     	C                    	                      	                        	                  	                       	                    	                      	F                     	                         	D                        	                     	                   	               	                   	                                	                     	                  	                     	                    	                           	                                   	                   	                      	                   	C                    	F                        	                                    	C                    	                       	F                    	C                 	                                    	F                    	                      	                     	                     	                                      	                     	                  	                       	F                	                      	                                    	                      	                          	       

  IR	Pleistocene      	Pleistocene      	NN21              	NN21          	190	1176	A	  9	H	CC	  28.00	     84.0000	nannos   	Nannofossils                                 	C              	G                 	                      	                 	                                           	                                           	                       	                      	F                       	A                     	A                    	                      	                        	                  	                       	                    	                      	C                     	                         	A                        	F                    	                   	               	                   	                                	                     	R                 	                     	                    	                           	R                                  	                   	                      	                   	A                    	C                        	F                                   	                     	                       	                     	C                 	F                                   	F                    	                      	                     	                     	                                      	R                    	                  	                       	F                	                      	                                    	                      	                          	       

  IR	                 	                 	                  	              	190	1176	A	 10	H	 3	  89.00	     87.2900	Boeckel  	Nannofossils                                 	C              	G                 	                      	                 	                                           	                                           	                       	                      	                        	A                     	C                    	                      	                        	                  	                       	                    	                      	F                     	                         	A                        	F                    	                   	               	                   	R                               	R                    	F                 	                     	                    	                           	                                   	                   	R                     	                   	A                    	                         	F                                   	F                    	                       	                     	                  	F                                   	                     	                      	R                    	                     	                                      	                     	                  	F                      	                 	R                     	                                    	                      	                          	       

  IR	Pleistocene      	Pleistocene      	NN19              	NN19          	190	1176	A	 10	H	CC	  28.00	     90.9300	nannos   	Nannofossils                                 	C              	G                 	                      	                 	                                           	                                           	                       	                      	F                       	D                     	A                    	                      	                        	                  	                       	                    	                      	F                     	                         	A                        	                     	                   	               	                   	                                	                     	                  	C                    	                    	                           	                                   	                   	                      	                   	C                    	C                        	F                                   	                     	                       	                     	F                 	                                    	                     	                      	                     	                     	                                      	R                    	                  	                       	                 	                      	                                    	                      	                          	       

  IR	                 	                 	                  	              	190	1176	A	 11	H	 4	  78.00	     98.1800	Boeckel  	Nannofossils                                 	C              	G                 	                      	                 	                                           	                                           	                       	                      	                        	D                     	A                    	                      	                        	                  	                       	                    	                      	F                     	                         	A                        	R                    	                   	               	                   	                                	R                    	                  	                     	                    	                           	                                   	                   	                      	                   	C                    	                         	F                                   	                     	                       	                     	                  	                                    	                     	                      	R                    	                     	                                      	R                    	                  	                       	                 	R                     	R                                   	                      	                          	       

  IR	Pleistocene      	Pleistocene      	NN20              	NN20          	190	1176	A	 11	H	CC	  20.00	    102.6100	nannos   	Nannofossils                                 	C              	G                 	                      	                 	                                           	                                           	                       	                      	                        	A                     	A                    	                      	                        	                  	                       	                    	                      	F                     	                         	A                        	R                    	                   	               	                   	                                	                     	                  	                     	                    	                           	                                   	                   	                      	                   	C                    	F                        	F                                   	F                    	                       	F                    	C                 	                                    	                     	                      	                     	                     	                                      	R                    	                  	                       	                 	                      	R                                   	                      	                          	       

  IR	                 	                 	                  	              	190	1176	A	 12	H	 4	  75.00	    106.7200	Boeckel  	Nannofossils                                 	C              	G                 	                      	                 	                                           	                                           	                       	                      	                        	A                     	A                    	                      	                        	                  	                       	                    	                      	F                     	                         	D                        	R                    	                   	               	                   	                                	F                    	                  	                     	                    	                           	R                                  	                   	R                     	                   	A                    	                         	F                                   	                     	                       	                     	                  	                                    	                     	                      	                     	                     	                                      	F                    	                  	                       	                 	R                     	                                    	                      	                          	       

  IR	Pleistocene      	Pleistocene      	NN20              	NN20          	190	1176	A	 12	H	CC	  91.00	    111.4700	nannos   	Nannofossils                                 	C              	G                 	                      	                 	                                           	F                                          	                       	                      	F                       	D                     	C                    	                      	                        	                  	                       	                    	                      	R                     	                         	A                        	                     	                   	               	                   	                                	                     	F                 	                     	                    	                           	                                   	                   	                      	                   	A                    	C                        	R                                   	R                    	                       	                     	C                 	R                                   	                     	                      	                     	                     	                                      	                     	                  	                       	                 	                      	                                    	                      	                          	       

  IR	Pleistocene      	Pleistocene      	NN20              	NN20          	190	1176	A	 13	H	CC	  10.00	    115.3200	nannos   	Nannofossils                                 	C              	G                 	                      	                 	                                           	                                           	                       	                      	                        	D                     	A                    	                      	                        	                  	                       	                    	                      	C                     	                         	A                        	                     	                   	               	                   	                                	                     	F                 	                     	                    	                           	                                   	                   	                      	                   	C                    	C                        	F                                   	                     	                       	                     	C                 	                                    	                     	                      	                     	                     	                                      	F                    	                  	                       	F                	                      	                                    	                      	                          	       

  IR	Pleistocene      	Pleistocene      	NN19              	NN19          	190	1176	A	 14	H	CC	  30.00	    131.2700	nannos   	Nannofossils                                 	C              	G                 	                      	                 	                                           	                                           	                       	                      	F                       	D                     	C                    	                      	                        	                  	                       	                    	                      	                      	                         	A                        	                     	                   	               	                   	                                	                     	                  	                     	                    	                           	                                   	                   	                      	                   	C                    	F                        	                                    	                     	                       	                     	C                 	                                    	                     	                      	                     	                     	                                      	                     	                  	                       	                 	                      	                                    	                      	                          	       

  IR	Pleistocene      	Pleistocene      	NN19              	NN19          	190	1176	A	 15	H	CC	   0.00	    139.9000	nannos   	Nannofossils                                 	C              	G                 	                      	                 	                                           	                                           	                       	                      	                        	D                     	C                    	                      	                        	                  	                       	                    	                      	                      	                         	A                        	F                    	                   	               	                   	                                	                     	                  	                     	                    	                           	                                   	                   	                      	                   	C                    	C                        	R                                   	                     	                       	                     	                  	R                                   	                     	                      	                     	                     	                                      	                     	                  	                       	                 	                      	                                    	                      	                          	       

  IR	Pleistocene      	Pleistocene      	NN19              	NN19          	190	1176	A	 16	H	CC	  41.00	    149.8100	nannos   	Nannofossils                                 	C              	G                 	                      	                 	                                           	                                           	                       	                      	C                       	D                     	C                    	                      	                        	                  	                       	                    	                      	F                     	                         	A                        	F                    	                   	               	                   	                                	                     	F                 	                     	                    	                           	                                   	                   	                      	                   	C                    	                         	F                                   	                     	                       	                     	                  	                                    	                     	                      	                     	                     	                                      	                     	                  	                       	                 	                      	                                    	                      	                          	       

  IR	Pleistocene      	Pleistocene      	NN19              	NN19          	190	1176	A	 17	H	CC	  31.00	    159.2100	nannos   	Nannofossils                                 	C              	G                 	                      	                 	                                           	F                                          	                       	                      	F                       	D                     	A                    	                      	                        	                  	                       	                    	                      	F                     	                         	C                        	                     	                   	               	                   	                                	                     	                  	F                    	                    	                           	                                   	                   	                      	                   	C                    	                         	F                                   	                     	                       	F                    	                  	                                    	                     	                      	                     	                     	                                      	                     	                  	                       	                 	                      	                                    	                      	                          	       

  IR	Pleistocene      	Pleistocene      	NN19              	NN19          	190	1176	A	 18	H	CC	  16.00	    162.4300	nannos   	Nannofossils                                 	F              	M                 	                      	F                	                                           	                                           	                       	                      	F                       	A                     	C                    	                      	                        	                  	                       	                    	                      	C                     	                         	C                        	F                    	                   	               	                   	                                	                     	                  	F                    	                    	                           	                                   	F                  	                      	                   	C                    	F                        	F                                   	F                    	                       	                     	F                 	                                    	                     	                      	                     	                     	                                      	                     	                  	                       	                 	                      	                                    	                      	                          	       

  IR	                 	                 	                  	              	190	1176	A	 19	H	CC	  19.00	    170.5900	Boeckel  	Nannofossils                                 	F              	M                 	                      	                 	                                           	                                           	                       	                      	                        	A                     	A                    	                      	                        	                  	                       	                    	                      	F                     	                         	A                        	F                    	                   	               	                   	                                	                     	                  	F                    	                    	                           	                                   	                   	                      	                   	A                    	                         	F                                   	                     	                       	F                    	C                 	F                                   	F                    	                      	                     	                     	                                      	                     	                  	                       	                 	                      	                                    	                      	                          	       

  IR	Pleistocene      	Pleistocene      	NN19              	NN19          	190	1176	A	 20	X	CC	   7.00	    172.4500	nannos   	Nannofossils                                 	F              	G                 	                      	                 	                                           	                                           	                       	                      	F                       	C                     	A                    	                      	                        	                  	                       	                    	                      	C                     	                         	D                        	F                    	                   	               	                   	                                	                     	                  	C                    	                    	                           	                                   	                   	                      	                   	C                    	                         	                                    	                     	                       	F                    	                  	                                    	F                    	                      	                     	                     	                                      	                     	                  	                       	                 	                      	                                    	                      	                          	       

  IR	Pleistocene      	Pleistocene      	NN19              	NN19          	190	1176	A	 21	X	CC	  32.00	    189.5200	nannos   	Nannofossils                                 	C              	G                 	                      	                 	                                           	                                           	                       	                      	C                       	A                     	A                    	                      	                        	                  	                       	                    	                      	C                     	                         	A                        	F                    	                   	               	                   	                                	                     	                  	C                    	                    	                           	                                   	                   	                      	                   	A                    	                         	F                                   	                     	                       	                     	                  	F                                   	F                    	                      	                     	F                    	                                      	                     	F                 	F                      	F                	                      	                                    	                      	                          	       

  IR	Pleistocene      	Pleistocene      	NN19              	NN19          	190	1176	A	 22	X	CC	  37.00	    199.7500	nannos   	Nannofossils                                 	C              	G                 	                      	F                	                                           	                                           	                       	                      	C                       	A                     	C                    	                      	                        	                  	                       	                    	                      	C                     	                         	D                        	F                    	                   	F              	                   	                                	                     	F                 	C                    	                    	                           	                                   	                   	                      	                   	C                    	                         	                                    	F                    	                       	                     	                  	C                                   	                     	                      	                     	F                    	F                                     	R                    	                  	                       	                 	                      	                                    	                      	                          	       

  IR	                 	                 	                  	              	190	1176	A	 23	X	 2	  53.00	    201.5300	Boeckel  	Nannofossils                                 	C              	G                 	                      	                 	                                           	                                           	                       	                      	F                       	A                     	A                    	                      	                        	                  	                       	                    	                      	F                     	                         	D                        	F                    	                   	               	                   	F                               	F                    	                  	C                    	                    	                           	                                   	                   	                      	                   	C                    	                         	                                    	F                    	F                      	                     	                  	                                    	                     	                      	                     	                     	                                      	                     	                  	                       	                 	                      	                                    	                      	                          	       

  IR	Pleistocene      	Pleistocene      	NN19              	NN19          	190	1176	A	 23	X	CC	  37.00	    204.2600	nannos   	Nannofossils                                 	C              	G                 	                      	                 	                                           	                                           	                       	                      	C                       	A                     	A                    	                      	                        	                  	                       	                    	                      	C                     	                         	D                        	F                    	                   	               	                   	                                	F                    	                  	C                    	                    	                           	F                                  	                   	F                     	                   	C                    	                         	                                    	                     	R                      	                     	F                 	                                    	                     	                      	                     	                     	                                      	                     	                  	                       	                 	                      	                                    	                      	                          	       

  IR	Pleistocene      	Pleistocene      	NN19              	NN19          	190	1176	A	 24	X	CC	  38.00	    218.9200	nannos   	Nannofossils                                 	C              	G                 	                      	                 	                                           	                                           	                       	                      	C                       	C                     	A                    	                      	                        	                  	                       	                    	                      	C                     	                         	D                        	R                    	                   	               	                   	                                	                     	                  	C                    	                    	                           	R                                  	                   	                      	                   	                     	                         	F                                   	                     	C                      	R                    	                  	F                                   	                     	                      	F                    	                     	                                      	                     	                  	                       	                 	                      	                                    	                      	                          	       

  IR	Pleistocene      	Pleistocene      	NN19              	NN19          	190	1176	A	 25	X	CC	  40.00	    224.8200	nannos   	Nannofossils                                 	F              	G                 	                      	                 	                                           	R                                          	                       	                      	F                       	A                     	A                    	                      	                        	                  	                       	                    	                      	C                     	                         	A                        	R                    	                   	               	                   	R                               	R                    	                  	C                    	R                   	                           	R                                  	F                  	                      	                   	A                    	A                        	                                    	                     	R                      	                     	C                 	F                                   	F                    	R                     	                     	                     	                                      	                     	                  	                       	                 	                      	                                    	                      	                          	       

  IR	Pleistocene      	Pleistocene      	NN19              	NN19          	190	1176	A	 26	X	CC	  36.00	    237.0400	nannos   	Nannofossils                                 	R              	P                 	F                     	                 	                                           	                                           	C                      	                      	C                       	A                     	C                    	                      	                        	                  	                       	                    	                      	                      	C                        	A                        	                     	                   	               	                   	                                	                     	C                 	C                    	                    	                           	                                   	                   	                      	                   	A                    	C                        	                                    	                     	F                      	                     	C                 	                                    	                     	                      	                     	                     	                                      	                     	                  	                       	                 	                      	                                    	                      	                          	       

  IR	                 	                 	                  	              	190	1176	A	 27	X	 2	  75.00	    240.1500	Boeckel  	Nannofossils                                 	F              	P                 	                      	                 	                                           	                                           	                       	                      	C                       	C                     	A                    	                      	                        	                  	                       	                    	                      	R                     	                         	D                        	                     	                   	               	                   	                                	                     	                  	F                    	                    	                           	                                   	                   	                      	                   	F                    	                         	                                    	R                    	                       	R                    	                  	                                    	                     	                      	                     	                     	                                      	                     	                  	                       	                 	                      	                                    	                      	                          	       

  IR	Pleistocene      	Pleistocene      	NN19              	NN19          	190	1176	A	 27	X	CC	  37.00	    242.4700	nannos   	Nannofossils                                 	R              	P                 	                      	                 	                                           	                                           	                       	                      	C                       	C                     	A                    	                      	                        	                  	                       	                    	                      	C                     	A                        	A                        	                     	                   	               	                   	                                	                     	                  	C                    	R                   	                           	                                   	                   	                      	                   	F                    	                         	                                    	                     	                       	                     	                  	                                    	                     	                      	                     	                     	                                      	                     	                  	                       	                 	                      	                                    	                      	                          	       

  IR	Pleistocene      	Pleistocene      	NN19              	NN19          	190	1176	A	 28	X	CC	  22.00	    248.9200	nannos   	Nannofossils                                 	R              	P                 	                      	                 	                                           	                                           	                       	                      	                        	A                     	                     	                      	                        	                  	                       	                    	                      	                      	A                        	A                        	                     	                   	               	                   	                                	                     	                  	                     	                    	                           	                                   	                   	                      	                   	A                    	A                        	                                    	                     	                       	                     	                  	                                    	                     	                      	                     	                     	                                      	                     	                  	                       	                 	                      	                                    	                      	                          	       

  IR	Pleistocene      	Pleistocene      	NN19              	NN19          	190	1176	A	 29	X	CC	  34.00	    257.4400	nannos   	Nannofossils                                 	T              	P                 	                      	C                	                                           	                                           	                       	                      	C                       	                      	C                    	                      	                        	                  	                       	                    	                      	C                     	A                        	D                        	                     	                   	C              	                   	C                               	                     	                  	C                    	                    	                           	                                   	                   	                      	                   	                     	                         	                                    	                     	C                      	                     	                  	                                    	                     	                      	                     	                     	                                      	                     	                  	                       	                 	                      	                                    	                      	                          	       

  IR	Pleistocene      	Pleistocene      	NN19              	NN19          	190	1176	A	 30	X	CC	  50.00	    267.2000	nannos   	Nannofossils                                 	T              	P                 	                      	                 	                                           	                                           	                       	                      	A                       	A                     	D                    	                      	                        	                  	                       	                    	                      	                      	C                        	                         	                     	                   	               	                   	                                	C                    	                  	                     	                    	                           	                                   	                   	                      	                   	                     	                         	                                    	                     	                       	                     	                  	                                    	                     	                      	                     	                     	                                      	                     	                  	                       	                 	                      	                                    	                      	                          	       

  IR	Pleistocene      	Pleistocene      	NN19              	NN19          	190	1176	A	 31	X	CC	  28.00	    276.6800	nannos   	Nannofossils                                 	F              	M                 	                      	                 	                                           	R                                          	                       	                      	C                       	C                     	C                    	                      	                        	                  	                       	                    	R                     	C                     	A                        	D                        	F                    	                   	               	                   	                                	                     	                  	C                    	C                   	                           	                                   	                   	                      	                   	C                    	C                        	C                                   	F                    	                       	                     	                  	                                    	                     	                      	                     	                     	                                      	                     	                  	                       	                 	                      	                                    	                      	                          	       

  IR	                 	                 	                  	              	190	1176	A	 32	X	CC	  27.00	    286.3700	Boeckel  	Nannofossils                                 	R              	P                 	                      	                 	                                           	                                           	                       	                      	                        	A                     	                     	                      	                        	                  	                       	                    	                      	                      	C                        	D                        	                     	                   	               	                   	                                	                     	                  	                     	                    	                           	                                   	                   	                      	                   	C                    	C                        	                                    	                     	                       	                     	                  	                                    	                     	                      	                     	                     	                                      	                     	                  	                       	                 	                      	                                    	                      	                          	       

  IR	                 	                 	                  	              	190	1176	A	 33	X	CC	  41.00	    296.9000	Boeckel  	Nannofossils                                 	R              	P                 	                      	                 	                                           	                                           	                       	                      	A                       	C                     	A                    	                      	                        	                  	                       	                    	                      	C                     	A                        	                         	C                    	                   	               	                   	                                	                     	                  	C                    	                    	                           	                                   	                   	                      	                   	C                    	C                        	                                    	                     	                       	                     	                  	                                    	                     	                      	                     	                     	                                      	                     	                  	                       	                 	                      	                                    	                      	                          	       

  IR	Pleistocene      	Pleistocene      	NN19              	NN19          	190	1176	A	 34	X	CC	  29.00	    305.5900	nannos   	Nannofossils                                 	T              	P                 	                      	                 	                                           	                                           	                       	                      	A                       	F                     	D                    	                      	                        	                  	                       	                    	                      	                      	C                        	                         	                     	                   	               	                   	                                	                     	                  	C                    	                    	                           	                                   	                   	                      	                   	C                    	                         	                                    	                     	                       	                     	                  	                                    	                     	                      	                     	                     	                                      	                     	                  	                       	                 	                      	                                    	                      	                          	       

  IR	                 	                 	NN19              	NN19          	190	1176	A	 35	X	CC	  33.00	    315.6600	nannos   	Nannofossils                                 	T              	P                 	                      	                 	                                           	                                           	C                      	                      	C                       	C                     	D                    	                      	                        	                  	                       	                    	                      	C                     	C                        	C                        	C                    	                   	               	                   	                                	                     	                  	C                    	                    	                           	                                   	                   	                      	                   	                     	                         	                                    	                     	                       	                     	                  	                                    	                     	                      	                     	                     	                                      	                     	                  	                       	                 	                      	                                    	                      	                          	       

  IR	                 	                 	NN19              	NN19          	190	1176	A	 36	X	CC	  33.00	    326.1000	nannos   	Nannofossils                                 	R              	P                 	                      	                 	                                           	                                           	                       	                      	C                       	                      	A                    	                      	                        	                  	                       	F                   	C                     	C                     	C                        	A                        	                     	                   	               	                   	                                	                     	                  	F                    	                    	                           	                                   	                   	                      	F                  	                     	                         	                                    	                     	                       	                     	                  	                                    	                     	                      	                     	                     	                                      	                     	                  	                       	                 	                      	                                    	                      	                          	       

  IR	                 	                 	NN19              	NN19          	190	1176	A	 37	X	CC	  30.00	    335.3000	nannos   	Nannofossils                                 	R              	P                 	                      	                 	                                           	                                           	                       	                      	C                       	                      	A                    	                      	                        	                  	                       	                    	C                     	                      	A                        	A                        	C                    	                   	               	                   	                                	                     	                  	                     	                    	                           	                                   	                   	                      	                   	                     	                         	                                    	                     	                       	                     	                  	                                    	                     	                      	                     	                     	                                      	                     	                  	                       	                 	                      	                                    	                      	                          	       

  IR	Late Pliocene    	Late Pliocene    	NN19              	NN19          	190	1176	A	 38	X	CC	  37.00	    344.0700	nannos   	Nannofossils                                 	R              	P                 	                      	                 	                                           	                                           	                       	                      	C                       	C                     	A                    	                      	                        	                  	                       	                    	C                     	                      	A                        	A                        	R                    	                   	               	                   	                                	R                    	                  	C                    	F                   	                           	                                   	                   	R                     	F                  	                     	                         	                                    	                     	                       	                     	                  	                                    	                     	                      	                     	                     	                                      	                     	                  	                       	                 	                      	                                    	                      	                          	       

  IR	                 	                 	                  	              	190	1176	A	 39	X	CC	  43.00	    354.5100	Boeckel  	Nannofossils                                 	R              	P                 	                      	                 	                                           	                                           	A                      	                      	A                       	                      	A                    	                      	                        	                  	                       	                    	                      	                      	A                        	F                        	                     	                   	               	                   	                                	                     	                  	C                    	                    	                           	                                   	                   	                      	                   	                     	                         	                                    	                     	                       	                     	                  	                                    	                     	                      	                     	                     	                                      	                     	                  	                       	                 	                      	                                    	                      	                          	       

  IR	Late Pliocene    	Late Pliocene    	NN19              	NN19          	190	1176	A	 40	X	CC	  35.00	    365.0100	nannos   	Nannofossils                                 	F              	M                 	                      	                 	                                           	                                           	                       	                      	C                       	A                     	A                    	                      	                        	                  	                       	                    	F                     	C                     	C                        	A                        	                     	                   	               	                   	                                	F                    	                  	C                    	                    	F                          	F                                  	F                  	                      	                   	                     	                         	                                    	                     	                       	                     	                  	                                    	                     	                      	                     	                     	                                      	                     	                  	                       	                 	                      	                                    	                      	                          	       

  IR	                 	                 	                  	              	190	1176	A	 41	X	CC	  57.00	    373.2700	Boeckel  	Nannofossils                                 	R              	P                 	                      	                 	                                           	                                           	                       	                      	A                       	                      	A                    	                      	                        	                  	                       	                    	                      	                      	A                        	A                        	                     	                   	               	                   	                                	                     	                  	                     	                    	                           	                                   	                   	                      	                   	                     	                         	                                    	                     	                       	                     	                  	                                    	                     	                      	                     	                     	                                      	                     	                  	                       	                 	                      	                                    	                      	                          	       

  IR	Late Pliocene    	Late Pliocene    	NN19              	NN19          	190	1176	A	 42	X	CC	  49.00	    382.8900	nannos   	Nannofossils                                 	R              	P                 	                      	                 	                                           	                                           	                       	                      	C                       	C                     	A                    	                      	                        	                  	                       	                    	R                     	                      	A                        	D                        	                     	                   	               	                   	                                	F                    	F                 	C                    	R                   	                           	                                   	                   	                      	                   	                     	                         	                                    	                     	                       	                     	                  	                                    	                     	                      	                     	                     	                                      	                     	                  	                       	                 	                      	                                    	                      	                          	       

  IR	Late Pliocene    	Late Pliocene    	NN19              	NN19          	190	1176	A	 43	X	CC	  48.00	    396.6000	nannos   	Nannofossils                                 	R              	P                 	                      	C                	                                           	                                           	A                      	                      	C                       	C                     	A                    	                      	                        	                  	                       	                    	C                     	C                     	A                        	A                        	                     	                   	               	                   	                                	F                    	C                 	C                    	                    	                           	                                   	                   	                      	                   	                     	                         	                                    	                     	                       	                     	                  	                                    	                     	                      	                     	                     	                                      	                     	                  	                       	                 	                      	                                    	                      	                          	       

