Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Reticulofenestra umbilica	Discoaster saipanensis	Discoaster barbadiensis	Dictyococcites bisectus	Cribrocentrum reticulatum	Chiasmolithus grandis	Pemma papillatum	Chiasmolithus oamaruensis	Neococcolithes minutus	Discoaster nodifer	Discoaster lodoensis	Pemma basquensis	Sphenolithus pseudoradians	Coccolithus eopelagicus	Sphenolithus radians	Helicosphaera seminulum	Ericsonia formosa	Zygrhablithus bijugatus	Coccolithus pelagicus	Isthmolithus recurvus	Pedinocyclus larvalis	Discoaster multiradiatus	Peritrachelina joidesa	Helicosphaera reticulata	Hayella situliformis	Helicosphaera euphratis	Dictyococcites hesslandii	Comment
  IR	                 	Late Eocene      	                  	CP15b         	171	1053	A	  3	H	CC	  17.00	     28.7700	Mita     	Nannofossils                                 	A              	G                 	F                        	F                     	+                      	R                      	R                        	                     	                	R                        	                      	                  	                    	                	R                         	                       	                    	                       	R                	                       	                     	R                    	R                    	                        	                      	                        	                    	                       	                         	       

  IR	                 	Late Eocene      	                  	CP15b         	171	1053	A	  4	H	CC	  23.00	     38.2900	Mita     	Nannofossils                                 	A              	G                 	R                        	F                     	R                      	R                      	R                        	                     	                	R                        	                      	                  	                    	                	R                         	R                      	                    	                       	                 	R                      	                     	R                    	                     	                        	                      	                        	                    	                       	                         	       

  IR	                 	Late Eocene      	                  	CP15b         	171	1053	A	  5	H	CC	  21.00	     47.7800	Mita     	Nannofossils                                 	A              	G                 	R                        	F                     	R                      	R                      	C                        	                     	                	R                        	                      	                  	                    	                	R                         	                       	                    	                       	R                	R                      	                     	R                    	                     	                        	                      	                        	                    	                       	                         	       

  IR	                 	Late Eocene      	                  	CP15b         	171	1053	A	  6	H	 2	  68.00	     49.6800	Watkins  	Nannofossils                                 	A              	G                 	+                        	+                     	+                      	+                      	+                        	                     	+               	                         	                      	                  	                    	                	                          	                       	                    	                       	                 	                       	                     	+                    	                     	                        	                      	                        	                    	                       	                         	       

  IR	                 	Late Eocene      	                  	CP15b         	171	1053	A	  6	H	 4	  67.00	     52.6700	Watkins  	Nannofossils                                 	A              	G                 	+                        	+                     	+                      	+                      	+                        	                     	                	+                        	                      	                  	                    	                	                          	                       	                    	                       	                 	                       	                     	+                    	                     	                        	                      	                        	                    	                       	                         	       

  IR	                 	Late Eocene      	                  	CP15a         	171	1053	A	  6	H	 6	  67.00	     55.6700	Watkins  	Nannofossils                                 	A              	G                 	+                        	+                     	+                      	+                      	+                        	                     	                	+                        	                      	                  	                    	                	                          	                       	                    	                       	                 	                       	                     	                     	                     	                        	                      	                        	                    	                       	                         	No Is. recurvus

  IR	                 	                 	                  	CP15b         	171	1053	A	  6	H	CC	  26.00	     57.3100	Watkins  	Nannofossils                                 	A              	M                 	R                        	R                     	R                      	R                      	C                        	                     	                	                         	                      	                  	                    	                	                          	R                      	                    	                       	                 	                       	                     	+                    	R                    	                        	                      	                        	                    	                       	                         	       

  IR	                 	Late Eocene      	CP15b             	CP15a         	171	1053	A	  7	H	CC	  21.00	     66.8300	Mita     	Nannofossils                                 	A              	G                 	R                        	F                     	R                      	R                      	C                        	                     	                	R                        	                      	                  	                    	                	                          	                       	                    	                       	                 	                       	                     	                     	                     	                        	                      	                        	                    	                       	                         	       

  IR	                 	Late Eocene      	                  	CP15b         	171	1053	A	  8	H	CC	  25.00	     76.3600	Mita     	Nannofossils                                 	A              	G                 	R                        	F                     	R                      	F                      	C                        	                     	                	                         	                      	                  	                    	                	R                         	R                      	                    	                       	                 	R                      	                     	+                    	                     	                        	                      	                        	                    	                       	                         	       

  IR	                 	Late Eocene      	CP15b             	CP15a         	171	1053	A	  9	H	CC	  12.00	     85.7000	Mita     	Nannofossils                                 	A              	G                 	R                        	R                     	R                      	F                      	F                        	                     	                	                         	                      	                  	                    	                	                          	R                      	                    	                       	                 	R                      	                     	                     	                     	                        	                      	                        	                    	                       	                         	       

  IR	                 	Late Eocene      	CP15b             	CP15a         	171	1053	A	 10	H	CC	   0.00	     94.8100	Mita     	Nannofossils                                 	A              	G                 	R                        	R                     	R                      	R                      	C                        	                     	                	                         	                      	                  	                    	                	                          	R                      	                    	                       	R                	R                      	                     	                     	                     	                        	                      	                        	                    	                       	                         	       

  IR	                 	Late Eocene      	CP15a             	CP15b         	171	1053	A	 11	H	CC	  24.00	    104.9200	Mita     	Nannofossils                                 	A              	G                 	F                        	R                     	R                      	R                      	C                        	                     	                	                         	                      	                  	                    	                	                          	R                      	                    	                       	R                	R                      	R                    	                     	                     	                        	                      	                        	                    	                       	                         	       

  IR	                 	Late Eocene      	CP15b             	CP15a         	171	1053	A	 12	H	CC	  27.00	    114.5800	Mita     	Nannofossils                                 	A              	G                 	R                        	R                     	R                      	R                      	R                        	                     	                	                         	                      	                  	                    	                	R                         	F                      	R                   	R                      	R                	                       	                     	                     	                     	                        	                      	                        	                    	                       	                         	       

  IR	                 	Late Eocene      	CP15b             	CP15a         	171	1053	A	 13	H	CC	  12.00	    123.7900	Mita     	Nannofossils                                 	A              	G                 	F                        	R                     	R                      	R                      	R                        	                     	                	                         	                      	                  	                    	                	R                         	F                      	                    	                       	                 	                       	                     	                     	                     	                        	                      	                        	                    	                       	                         	       

  IR	                 	Late Eocene      	                  	CP15a         	171	1053	A	 15	H	CC	  11.00	    139.0400	Watkins  	Nannofossils                                 	A              	M                 	+                        	+                     	                       	+                      	+                        	                     	                	+                        	                      	                  	                    	+               	                          	                       	                    	                       	                 	                       	                     	                     	                     	                        	                      	                        	                    	                       	                         	       

  IR	                 	Late Eocene      	                  	CP15a         	171	1053	A	 16	X	CC	  15.00	    147.3900	Watkins  	Nannofossils                                 	B              	M                 	+                        	+                     	+                      	+                      	+                        	                     	                	                         	                      	                  	                    	+               	                          	                       	                    	                       	                 	                       	                     	                     	                     	                        	                      	                        	                    	                       	                         	       

  IR	                 	Late Eocene      	                  	CP15a         	171	1053	A	 17	X	CC	  25.00	    153.0400	Watkins  	Nannofossils                                 	A              	G                 	+                        	+                     	                       	+                      	+                        	                     	+               	+                        	                      	                  	r                   	                	                          	                       	                    	                       	                 	                       	                     	                     	                     	                        	                      	                        	                    	                       	                         	       

  IR	                 	Late Eocene      	                  	CP15a         	171	1053	A	 18	X	 2	  89.00	    156.6900	Watkins  	Nannofossils                                 	A              	G                 	+                        	+                     	+                      	+                      	+                        	r                    	                	                         	+                     	+                 	                    	                	                          	                       	                    	                       	                 	                       	                     	                     	                     	                        	                      	                        	                    	                       	                         	       

  IR	                 	Late Eocene      	                  	CP15a         	171	1053	A	 18	X	 4	  67.00	    159.4700	Watkins  	Nannofossils                                 	A              	G                 	+                        	+                     	+                      	                       	+                        	r                    	                	+                        	                      	                  	                    	                	                          	                       	                    	                       	                 	                       	                     	                     	                     	                        	                      	                        	                    	                       	                         	       

  IR	                 	Late Eocene      	                  	CP15a         	171	1053	A	 18	X	 6	  91.00	    162.7100	Watkins  	Nannofossils                                 	A              	G                 	+                        	+                     	+                      	+                      	+                        	r                    	+               	+                        	                      	                  	                    	                	                          	                       	                    	                       	                 	                       	                     	                     	                     	                        	                      	                        	                    	                       	                         	       

  IR	                 	Middle Eocene    	                  	CP14b         	171	1053	A	 18	X	CC	  27.00	    164.0300	Watkins  	Nannofossils                                 	A              	M                 	+                        	+                     	+                      	+                      	+                        	+                    	+               	                         	                      	                  	                    	                	                          	                       	                    	                       	                 	                       	                     	                     	                     	                        	                      	                        	                    	                       	                         	       

  IR	                 	Middle Eocene    	                  	CP14b         	171	1053	A	 19	X	CC	  17.00	    173.1700	Watkins  	Nannofossils                                 	A              	G                 	+                        	+                     	+                      	+                      	+                        	+                    	+               	                         	                      	                  	                    	                	                          	                       	                    	                       	                 	                       	                     	                     	                     	                        	                      	                        	                    	                       	                         	       

  IR	                 	Middle Eocene    	                  	CP14b         	171	1053	A	 20	X	CC	  39.00	    183.3100	Watkins  	Nannofossils                                 	A              	G                 	+                        	+                     	+                      	+                      	+                        	+                    	                	                         	                      	                  	                    	                	                          	                       	                    	                       	                 	                       	                     	                     	                     	                        	                      	                        	                    	                       	                         	       

