Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Umbilicosphaera spp.	Scyphosphaera sp.	Reticulofenestra spp. (small - medium)	Pseudoemiliania lacunosa	Gephyrocapsa spp. (small)	Emiliania ovata	Discoaster spp. (fragments)	Cyclolithus annulus	Coccolithus pataecus	Calcidiscus leptoporus	Rhabdosphaera stylifera	Rhabdosphaera clavigera	Oolithotus fragilis	Helicosphaera kamptneri	Discoaster spp. (6 rays)	Coccolithus pelagicus	Calcidiscus macintyrei	Discoaster ono	Helicosphaera spp.	Discoaster sp. A	Discoaster pentaradiatus	Discoaster brouweri	Thoracosphaera spp.	Scyphosphaera sp. (fragment)	Scyphosphaera pulcherrima	Helicosphaera sellii	Discoaster triradiatus	Discoaster stellulus	Ceratolithus telesmus	Ceratolithus cristatus	Pontosphaera spp.	Thoracosphaera saxea	Scapholithus fossilis	Helicosphaera pavimentum	Helicosphaera hyalina	Hayaster perplexus	Ceratolithus spp.	Gephyrocapsa oceanica	Gephyrocapsa caribbeanica	Pontosphaera japonica	Holodiscolithus spp.	Discoaster surculus	Thoracosphaera heimii	Scyphosphaera galeana	Scyphosphaera apsteinii	Helicosphaera inversa	Ceratolithus rugosus	Emiliania huxleyi	Comment

  SR	Pleistocene      	                 	CN14a             	              	135	 838	A	  4	H	 5	  93.00	     29.6300	Styzen   	Nannofossils                                 	               	                  	W                   	A                	                                      	A                       	X                        	V              	                           	F                  	S                   	C                     	A                      	C                      	L                  	A                      	                        	                     	                      	              	                  	                	                        	                   	M                  	F                           	R                        	                    	                      	                    	                     	R                     	M                	R                   	F                    	F                       	C                    	S                 	                 	A                    	C                        	R                    	                    	                   	                     	                     	                       	                     	                    	                 	from ODP Leg 135 Chapter 13 Table 7 p. 200

  SR	Pleistocene      	                 	CN14a             	              	135	 838	A	  4	H	CC	  22.00	     31.3600	Styzen   	Nannofossils                                 	               	                  	V                   	L                	                                      	W                       	X                        	W              	                           	S                  	R                   	L                     	A                      	M                      	S                  	A                      	                        	                     	                      	              	                  	                	                        	                   	R                  	F                           	                         	                    	                      	                    	                     	                      	F                	                    	F                    	R                       	C                    	                  	                 	V                    	L                        	                     	S                   	                   	                     	                     	                       	                     	                    	                 	from ODP Leg 135 Chapter 13 Table 7 p. 200

  SR	Pleistocene      	                 	CN14a             	              	135	 838	A	  5	H	 1	  35.00	     32.5500	Styzen   	Nannofossils                                 	               	                  	W                   	V                	                                      	V                       	X                        	W              	                           	                   	R                   	L                     	A                      	M                      	L                  	L                      	                        	                     	R                     	              	                  	                	                        	                   	C                  	S                           	                         	R                   	                      	                    	                     	                      	M                	R                   	F                    	F                       	M                    	F                 	                 	L                    	C                        	S                    	F                   	R                  	                     	                     	                       	                     	                    	                 	from ODP Leg 135 Chapter 13 Table 7 p. 200

  SR	Pleistocene      	                 	CN14a             	              	135	 838	A	  5	H	CC	  18.00	     41.9700	Styzen   	Nannofossils                                 	               	                  	A                   	A                	                                      	V                       	X                        	W              	                           	C                  	S                   	L                     	W                      	M                      	L                  	A                      	                        	                     	                      	              	                  	                	                        	                   	M                  	R                           	R                        	R                   	                      	                    	                     	                      	M                	R                   	F                    	R                       	C                    	S                 	                 	L                    	C                        	S                    	                    	                   	                     	                     	                       	                     	                    	                 	from ODP Leg 135 Chapter 13 Table 7 p. 200

  SR	Pleistocene      	                 	CN14a             	              	135	 838	A	  6	H	 6	 111.00	     50.3100	Styzen   	Nannofossils                                 	               	                  	A                   	L                	                                      	V                       	X                        	V              	                           	F                  	C                   	A                     	L                      	S                      	C                  	L                      	                        	                     	                      	              	                  	                	                        	R                  	C                  	S                           	                         	S                   	                      	                    	                     	R                     	                 	                    	                     	                        	                     	R                 	                 	C                    	M                        	                     	                    	                   	                     	                     	                       	                     	                    	                 	from ODP Leg 135 Chapter 13 Table 7 p. 200

  SR	Pleistocene      	                 	CN14a             	              	135	 838	A	  7	H	 2	  77.00	     53.4700	Styzen   	Nannofossils                                 	               	                  	                    	                 	                                      	S                       	S                        	S              	                           	                   	R                   	R                     	                       	R                      	R                  	R                      	                        	                     	                      	              	                  	                	                        	                   	                   	                            	                         	                    	                      	                    	                     	                      	                 	                    	                     	                        	R                    	                  	                 	R                    	                         	                     	                    	                   	                     	                     	                       	                     	                    	                 	from ODP Leg 135 Chapter 13 Table 7 p. 200

  SR	                 	                 	CN13a             	              	135	 838	A	  8	H	 5	 136.00	     68.0600	Styzen   	Nannofossils                                 	               	                  	V                   	V                	                                      	W                       	X                        	W              	                           	F                  	S                   	L                     	V                      	M                      	C                  	A                      	                        	                     	F                     	              	                  	                	                        	                   	C                  	S                           	                         	S                   	                      	                    	                     	                      	F                	R                   	F                    	S                       	F                    	M                 	S                	                     	                         	                     	                    	                   	                     	                     	                       	                     	                    	                 	from ODP Leg 135 Chapter 13 Table 7 p. 200

  SR	                 	                 	CN13a             	              	135	 838	A	  9	H	 5	  19.00	     76.3900	Styzen   	Nannofossils                                 	               	                  	                    	                 	                                      	R                       	R                        	               	                           	                   	                    	R                     	                       	                       	                   	R                      	                        	                     	                      	              	                  	                	                        	                   	                   	                            	                         	                    	                      	                    	                     	                      	R                	                    	                     	                        	                     	                  	                 	                     	                         	                     	                    	                   	                     	                     	                       	                     	                    	                 	from ODP Leg 135 Chapter 13 Table 7 p. 200

  SR	Pliocene         	                 	CN12c             	              	135	 838	A	 11	H	 2	 102.00	     91.7200	Styzen   	Nannofossils                                 	               	                  	C                   	C                	M                                     	V                       	W                        	V              	L                          	F                  	A                   	L                     	F                      	C                      	F                  	L                      	                        	F                    	L                     	              	                  	S               	S                       	A                  	S                  	R                           	R                        	S                   	S                     	S                   	R                    	R                     	                 	                    	                     	                        	                     	                  	                 	                     	                         	                     	                    	                   	                     	                     	                       	                     	                    	                 	from ODP Leg 135 Chapter 13 Table 7 p. 200

  SR	Pliocene         	                 	CN12c             	              	135	 838	A	 11	H	 3	  26.00	     92.4600	Styzen   	Nannofossils                                 	               	                  	                    	                 	C                                     	C                       	S                        	R              	R                          	                   	R                   	S                     	                       	R                      	R                  	                       	                        	                     	R                     	              	R                 	R               	R                       	S                  	                   	                            	                         	                    	                      	                    	                     	                      	                 	                    	                     	                        	                     	                  	                 	                     	                         	                     	                    	                   	                     	                     	                       	                     	                    	                 	from ODP Leg 135 Chapter 13 Table 7 p. 200

  SR	Pliocene         	                 	CN12c             	              	135	 838	A	 14	X	 1	  30.00	    114.2000	Styzen   	Nannofossils                                 	               	                  	                    	                 	R                                     	R                       	R                        	               	                           	                   	R                   	                      	                       	                       	                   	                       	                        	                     	                      	              	                  	                	                        	                   	                   	                            	                         	                    	                      	                    	                     	                      	                 	                    	                     	                        	                     	                  	                 	                     	                         	                     	                    	                   	                     	                     	                       	                     	                    	                 	from ODP Leg 135 Chapter 13 Table 7 p. 200

  SR	Pliocene         	                 	CN12c             	              	135	 838	A	 15	X	CC	  30.00	    118.8000	Styzen   	Nannofossils                                 	               	                  	R                   	                 	F                                     	F                       	F                        	S              	R                          	                   	S                   	S                     	                       	                       	                   	R                      	R                       	                     	                      	R             	                  	                	                        	                   	                   	                            	                         	                    	                      	                    	                     	                      	                 	                    	                     	                        	                     	                  	                 	                     	                         	                     	                    	                   	                     	                     	                       	                     	                    	                 	from ODP Leg 135 Chapter 13 Table 7 p. 200

  SR	Pliocene         	                 	CN12c             	              	135	 838	A	 16	X	 1	  55.00	    123.6500	Styzen   	Nannofossils                                 	               	                  	R                   	R                	F                                     	F                       	L                        	S              	S                          	R                  	S                   	S                     	R                      	R                      	R                  	R                      	R                       	R                    	R                     	              	                  	                	                        	                   	                   	                            	                         	                    	                      	                    	                     	                      	                 	                    	                     	                        	                     	                  	                 	                     	                         	                     	                    	                   	                     	                     	                       	                     	                    	                 	from ODP Leg 135 Chapter 13 Table 7 p. 200

  SR	Pliocene         	                 	CN12c             	              	135	 838	A	 16	X	 1	  66.00	    123.7600	Styzen   	Nannofossils                                 	               	                  	                    	R                	F                                     	S                       	F                        	S              	R                          	R                  	R                   	R                     	                       	                       	                   	                       	                        	                     	                      	              	                  	                	                        	                   	                   	                            	                         	                    	                      	                    	                     	                      	                 	                    	                     	                        	                     	                  	                 	                     	                         	                     	                    	                   	                     	                     	                       	                     	                    	                 	from ODP Leg 135 Chapter 13 Table 7 p. 200

  SR	Pliocene         	                 	CN12c             	              	135	 838	A	 17	X	CC	  11.00	    132.9100	Styzen   	Nannofossils                                 	               	                  	R                   	                 	                                      	                        	                         	               	                           	                   	                    	                      	                       	                       	                   	                       	                        	                     	                      	              	                  	                	                        	                   	                   	                            	                         	                    	                      	                    	                     	                      	                 	                    	                     	                        	                     	                  	                 	                     	                         	                     	                    	                   	                     	                     	                       	                     	                    	                 	from ODP Leg 135 Chapter 13 Table 7 p. 200

