Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],MAJ Lith. Prefix,MAJ Lith. Principal name,Texture Rank [read only],MAJ Lith. prefix+name [read only],Lithification,Lithification rank [read only],MAJ Lith. color,MAJ Lith. ave. grain size ,Grain size rank [read only],Skeletal components MAJOR,Skeletal components MAJOR comment,Skeletal components INTERMEDIATE,Skeletal components INTERMEDIATE comment,Skeletal components MINOR,Skeletal components MINOR comment,Non-skeletal components,Non-skeletal components comment,Sedimentary structure,Diagenetic structure,Diagenetic structure comment,Layer or bedding thickness,Bioturbation intensity,Bioturbation intensity rank [read only],Bioturbation type,Bottom contact or boundary definition,Bottom contact or boundary attitude,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
359-U1465B-18R-1-A,0,76,162.9,163.66,dolomitic,grainstone,4,dolomitic grainstone,lithified,5,10YR 8/2 (very pale brown),coarse sand,6,foraminifera (large benthic),Heterostegina,gastropod,Mold,bivalve,,,,,mold,,,,,,,,"Dolomitic GRAINSTONE. Medium- to coarse-grained, poorly-sorted. Large benthic foraminifera (A).",,,,359,U1465,B,18,R,1,A
359-U1465B-19R-1-A,0,98,172.6,173.58,dolomitic,packstone,3,dolomitic packstone,lithified,5,10YR 8/3 (very pale brown),medium sand,5,foraminifera (large benthic),Heterostegina,bivalve,Mold,,,,,,mold,,,,,,gradational,horizontal,Dolomitic PACKSTONE. Coarse-grained (some up to 2 mm) poorly-sorted. Large benthic foraminifera - Lepidocidina and Nummulites (A). Locally larger components (Packstone to Floatstone).,,,,359,U1465,B,19,R,1,A
359-U1465B-19R-1-A,98,140,173.58,174.0,dolomitic,packstone,3,dolomitic packstone,lithified,5,10YR 7/3 (very pale brown),coarse sand,6,foraminifera (large benthic),Lepidocidina,bivalve,Large fragmented,gastropod,and red algae (P),,,,mold,,,,,,,,Dolomitic PACKSTONE . Coarse-grained (some up to 2 mm) poorly-sorted. Large benthic foraminifera. More porosity (extent of dissolution or loss of cementation). Some pores with black infill.,,,,359,U1465,B,19,R,1,A
359-U1465B-20R-1-A,0,34,182.3,182.64,dolomitic,packstone,3,dolomitic packstone,lithified,5,10YR 7/3 (very pale brown),coarse sand,6,foraminifera (large benthic),Lepidocidina,bivalve,small,red algae,,,,,mold,,,,,,,,Coarse-grained dolomitic PACKSTONE Lepidocidina and Nummulites (up to 3 cm). Reaction to HCl mainly in voids (moldic porosity). Black/gray grains (P).,,,,359,U1465,B,20,R,1,A
359-U1465B-20R-1-A,34,66,182.64,182.96,dolomitic,packstone,3,dolomitic packstone,lithified,5,10YR 8/2 (very pale brown),coarse sand,6,foraminifera (large benthic),Lepidocidina,bivalve,small,red algae,,,,,mold,,,,,,,,Change in Porosity. Coarse-grained dolomitic PACKSTONE comparing Lepidocidina (up to 5 mm).,,,,359,U1465,B,20,R,1,A
359-U1465B-21R-1-A,0,20,192.1,192.3,dolomitic,packstone,3,dolomitic packstone,lithified,5,10YR 7/3 (very pale brown),coarse sand,6,foraminifera (large benthic),Lepidocidina,bivalve,small,red algae,,,,,mold,,,,,,,,Moldic porosity. Coarse-grained dolomitic PACKSTONE comparing Lepidocidina (up to 5 mm).,,,,359,U1465,B,21,R,1,A
359-U1465B-21R-1-A,20,99,192.3,193.09,dolomitic,packstone,3,dolomitic packstone,lithified,5,10YR 8/2 (very pale brown),coarse sand,6,foraminifera (large benthic),Lepidocidina,bivalve,small,red algae,Coral fragments,,,,mold,,,,,,,,GRAINSTON to PACKSTONE.,,,,359,U1465,B,21,R,1,A
359-U1465B-22R-1-A,0,37,201.8,202.17,dolomitic,packstone,3,dolomitic packstone,lithified,5,10YR 7/2 (light gray),coarse sand,6,foraminifera (large benthic),Lepidocidina,foraminifera (small benthic),small,red algae,,,,,mold,,,,,,,,"GRAINSTON to PACKSTONE. Abundant large benthic foraminifera. Red algae (C) and bivalves, bryozoans and coral fragments (C)",,,,359,U1465,B,22,R,1,A
359-U1465B-23R-1-A,0,20,211.6,211.8,dolomitic,packstone,3,dolomitic packstone,lithified,5,10YR 8/2 (very pale brown),coarse sand,6,foraminifera (large benthic),Lepidocidina,foraminifera (small benthic),small,red algae,,,,,mold,,,,,,,,GRAINSTON to PACKSTONE. Coarse-grained. Poorly sorted. Abundant large benthic foraminifera. Red algae and encrusted branching coral (C) and red algae (F),,,,359,U1465,B,23,R,1,A
359-U1465B-23R-1-A,20,121,211.8,212.81,dolomitic,packstone,3,dolomitic packstone,lithified,5,10YR 8/2 (very pale brown),coarse sand,6,foraminifera (large benthic),Lepidocidina,foraminifera (small benthic),small,red algae,,,,,mold,,,,,,,,GRAINSTON to PACKSTONE. Coarse-grained. Poorly sorted. Abundant large benthic foraminifera. Red algae and encrusted branching coral fragments (C) and red algae (P) and gastropods (F).,,,,359,U1465,B,23,R,1,A
359-U1465B-23R-CC-A,0,19,212.81,213.0,dolomitic,packstone,3,dolomitic packstone,lithified,5,10YR 8/2 (very pale brown),coarse sand,6,foraminifera (large benthic),Lepidocidina,foraminifera (small benthic),small,red algae,,,,,mold,,,,,,,,GRAINSTON to PACKSTONE. Coarse-grained. Poorly sorted. Abundant large benthic foraminifera. Red algae and encrusted branching coral (C) and red algae (F),,,,359,U1465,B,23,R,CC,A
