dupes and comments,Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Description of where smear slide taken,Sand texture [%],Silt texture [%],Clay texture [%],Total texture [%],Actinolite abundance,Tephra ,Siliciclastic ,Detrital carbonate ,Biogenic carbonate ,Glauconite abundance,Clay minerals abundance ,Opaques abundance ,Feldspar abundance ,Quartz abundance ,Glass abundance ,Halite abundance ,"Calcite, allogenic  abundance ",Hornblende abundance ,Pyroxene abundance ,Chalcedony abundance ,Biotite abundance ,Chlorite abundance,Other mineral,Other mineral ,Microfossil abundance ,Diatoms abundance ,Calcareous nannofossils abundance ,Foraminifera abundance ,Radiolarians abundance ,Sponge spicule fragments abundance ,"Silicoflagellate, ebridian, actiniscidian abundance ",Microfossil comment,Macrofossil (fauna) abundance ,Macrofossil (fauna) comment,Rock fragment - sedimentary lithic ,Rock fragment - volcanic lithic ,Rock fragment - plutonic lithic ,Rock fragment - metamorphic lithic ,Prefix,Principal lithology,Suffix,Complete name,General smear slide comment,File Data,Ship File Links,Shore File Links
,344-U1412A-3H-7-A 45/45-SS,344,U1412,A,3,3-7,H,7,A,45/45-SS,0,0,24.85,24.85,,,,,,,R [A66],M [A66],R [A66],C [A66],C [A66],D [A66],R [A66],A [A66],C [A66],R [A66],R [A66],R [A66],R [A66],R [A66],R [A66],R [A66],,,,C [A66],R [A66],A [A66],D [A66],,R [A66],,,,,C [A66],,R [A66],,,,,,,,,
,344-U1412A-4H-2-A 39/39-SS,344,U1412,A,4,4-2,H,2,A,39/39-SS,0,0,26.79,26.79,,,,,,,R [A66],M [A66],R [A66],R [A66],C [A66],A [A66],A [A66],A [A66],A [A66],R [A66],,R [A66],C [A66],R [A66],R [A66],R [A66],,,,R [A66],,M [A66],,,R [A66],,,,,R [A66],,R [A66],,,,,,,,,
,344-U1412A-4H-4-A 75/75-SS,344,U1412,A,4,4-4,H,4,A,75/75-SS,0,0,30.18,30.18,,,,,,,C [A66],D [A66],R [A66],A [A66],C [A66],D [A66],R [A66],A [A66],C [A66],C [A66],,R [A66],R [A66],C [A66],R [A66],R [A66],,,,A [A66],C [A66],A [A66],D [A66],,C [A66],,,,,C [A66],R [A66],A [A66],,,,,,,,,
,344-U1412A-5H-4-A 81/81-SS,344,U1412,A,5,5-4,H,4,A,81/81-SS,0,0,37.08,37.08,,,,,,,R [A66],M [A66],R [A66],C [A66],C [A66],D [A66],C [A66],A [A66],C [A66],R [A66],,R [A66],R [A66],C [A66],C [A66],C [A66],,,,C [A66],C [A66],R [A66],M [A66],R [A66],R [A66],,,,,C [A66],C [A66],C [A66],,,,,,,,,
,344-U1412A-5H-4-W 67/68-SED,344,U1412,A,5,5-4,H,4,W,67/68-SED,0,1,36.94,36.95,,,,,,,R [A66],M [A66],,,,R [A66],R [A66],A [A66],A [A66],R [A66],,,C [A66],C [A66],R [A66],R [A66],,,,D [A66],,,,,M [A66],,,,,,,,,,,,,,,,
,344-U1412A-5H-6-A 26/26-SS,344,U1412,A,5,5-6,H,6,A,26/26-SS,0,0,38.99,38.99,,,,,,,R [A66],D [A66],R [A66],A [A66],C [A66],A [A66],R [A66],C [A66],C [A66],R [A66],,R [A66],R [A66],C [A66],,,,SAPROPel,D [A66],A [A66],C [A66],A [A66],D [A66],C [A66],R [A66],,,,,R [A66],,A [A66],,,,,,,,,
,344-U1412A-5H-7-A 84/84-SS,344,U1412,A,5,5-7,H,7,A,84/84-SS,0,0,39.92,39.92,,,,,,,R [A66],M [A66],R [A66],C [A66],R [A66],A [A66],R [A66],C [A66],C [A66],R [A66],,R [A66],R [A66],R [A66],R [A66],R [A66],,SAPROPel,D [A66],C [A66],C [A66],A [A66],D [A66],,R [A66],,,,,,R [A66],C [A66],,,,,,,,,
,344-U1412A-6H-2-A 16/16-SS,344,U1412,A,6,6-2,H,2,A,16/16-SS,0,0,43.62,43.62,,,,,,,C [A66],A [A66],R [A66],D [A66],R [A66],A [A66],C [A66],A [A66],C [A66],C [A66],,R [A66],C [A66],R [A66],,,,,,D [A66],,,,,M [A66],,,,,,,,,,,,,,,,
,344-U1412A-6H-3-A 44/44-SS,344,U1412,A,6,6-3,H,3,A,44/44-SS,0,0,45.39,45.39,,,,,,,R [A66],M [A66],,C [A66],C [A66],D [A66],C [A66],C [A66],C [A66],R [A66],,,C [A66],R [A66],,,,,,C [A66],C [A66],A [A66],A [A66],,R [A66],,,,,C [A66],R [A66],R [A66],,,,,,,,,
,344-U1412A-6H-4-A 83/83-SS,344,U1412,A,6,6-4,H,4,A,83/83-SS,0,0,47.31,47.31,,,,,,,R [A66],A [A66],A [A66],D [A66],R [A66],C [A66],C [A66],A [A66],A [A66],R [A66],,R [A66],C [A66],R [A66],,,,,,D [A66],,C [A66],C [A66],,M [A66],,,,,,,,,,,,,,,,
,344-U1412A-6H-5-A 61/61-SS,344,U1412,A,6,6-5,H,5,A,61/61-SS,0,0,48.6,48.6,,,,,,,C [A66],M [A66],R [A66],C [A66],C [A66],A [A66],A [A66],A [A66],C [A66],C [A66],,R [A66],C [A66],C [A66],C [A66],C [A66],,SERPENTINE,R [A66],C [A66],A [A66],A [A66],D [A66],,R [A66],,,,,A [A66],R [A66],R [A66],,,,,,,,,
,344-U1412A-7H-2-A 30/30-SS,344,U1412,A,7,7-2,H,2,A,30/30-SS,0,0,50.82,50.82,,,,,,,C [A66],M [A66],R [A66],C [A66],C [A66],D [A66],R [A66],A [A66],C [A66],C [A66],,R [A66],R [A66],R [A66],,,,,,C [A66],R [A66],D [A66],A [A66],,R [A66],,,,,C [A66],R [A66],R [A66],,,,,,,,,
,344-U1412A-7H-5-A 16/16-SS,344,U1412,A,7,7-5,H,5,A,16/16-SS,0,0,54.93,54.93,,,,,,,C [A66],A [A66],R [A66],D [A66],C [A66],A [A66],C [A66],C [A66],A [A66],C [A66],R [A66],R [A66],R [A66],R [A66],R [A66],R [A66],,,,D [A66],,R [A66],R [A66],R [A66],M [A66],,,,,,,,,,,,,,,,
,344-U1412A-7H-6-A 77/77-SS,344,U1412,A,7,7-6,H,6,A,77/77-SS,0,0,56.74,56.74,,,,,,,C [A66],M [A66],R [A66],C [A66],C [A66],D [A66],C [A66],C [A66],R [A66],C [A66],,R [A66],R [A66],R [A66],R [A66],R [A66],,,,C [A66],,A [A66],D [A66],,R [A66],,,,,C [A66],C [A66],C [A66],,,,,,,,,
,344-U1412A-8H-1-A 66/66-SED,344,U1412,A,8,8-1,H,1,A,66/66-SED,0,0,58.16,58.16,,,,,,,R [A66],M [A66],R [A66],C [A66],C [A66],R [A66],A [A66],A [A66],C [A66],R [A66],,R [A66],C [A66],C [A66],R [A66],R [A66],,,,C [A66],A [A66],,D [A66],,R [A66],,,,,A [A66],C [A66],R [A66],,,,,,,,,
,344-U1412A-8H-3-A 59/59-SED,344,U1412,A,8,8-3,H,3,A,59/59-SED,0,0,61.1,61.1,,,,,,,R [A66],M [A66],R [A66],C [A66],C [A66],D [A66],R [A66],A [A66],R [A66],R [A66],,R [A66],C [A66],R [A66],R [A66],R [A66],,SAPROPEL,R [A66],C [A66],,C [A66],M [A66],R [A66],R [A66],,,,,A [A66],R [A66],R [A66],,,,,,,,,
,344-U1412A-8H-3-A 62/62-SED,344,U1412,A,8,8-3,H,3,A,62/62-SED,0,0,61.13,61.13,,,,,,,C [A66],M [A66],,C [A66],C [A66],A [A66],R [A66],A [A66],C [A66],C [A66],,,R [A66],R [A66],C [A66],C [A66],,,,C [A66],R [A66],C [A66],M [A66],R [A66],R [A66],R [A66],,,,A [A66],R [A66],R [A66],,,,,,,,,
,344-U1412A-8H-4-A 59/59-SED,344,U1412,A,8,8-4,H,4,A,59/59-SED,0,0,62.32,62.32,,,,,,,R [A66],M [A66],,R [A66],C [A66],D [A66],R [A66],A [A66],C [A66],R [A66],,,R [A66],C [A66],R [A66],R [A66],,,,R [A66],,,,,M [A66],,,,,A [A66],C [A66],R [A66],,,,,,,,,
,344-U1412A-10H-1-A 86/86-SED,344,U1412,A,10,10-1,H,1,A,86/86-SED,0,0,73.06,73.06,,,,,,,C [A66],D [A66],C [A66],A [A66],C [A66],D [A66],R [A66],A [A66],C [A66],C [A66],,C [A66],C [A66],R [A66],R [A66],R [A66],,,,A [A66],C [A66],A [A66],D [A66],,C [A66],R [A66],,,,C [A66],R [A66],R [A66],,,,,,,,,
,344-U1412A-10H-6-A 89/89-SED,344,U1412,A,10,10-6,H,6,A,89/89-SED,0,0,80.59,80.59,,,,,,,R [A66],M [A66],C [A66],C [A66],C [A66],A [A66],C [A66],A [A66],C [A66],R [A66],,C [A66],C [A66],C [A66],R [A66],R [A66],,,,C [A66],C [A66],A [A66],D [A66],,R [A66],,,,,C [A66],C [A66],C [A66],,,,,,,,,
,344-U1412A-11H-2-A 8/8-SED,344,U1412,A,11,11-2,H,2,A,8/8-SED,0,0,82.6,82.6,,,,,,,R [A66],A [A66],R [A66],R [A66],R [A66],C [A66],A [A66],C [A66],R [A66],R [A66],,R [A66],R [A66],R [A66],,,,SAPROPEL,D [A66],C [A66],,,M [A66],,R [A66],,,,,R [A66],,,,,,,,,,,
,344-U1412A-11H-3-A 70/70-SED,344,U1412,A,11,11-3,H,3,A,70/70-SED,0,0,84.74,84.74,,,,,,,R [A66],M [A66],R [A66],C [A66],R [A66],D [A66],R [A66],A [A66],R [A66],R [A66],,R [A66],R [A66],R [A66],R [A66],R [A66],,,,C [A66],C [A66],M [A66],A [A66],R [A66],R [A66],,,,,C [A66],C [A66],R [A66],,,,,,,,,
,344-U1412A-12H-3-A 57/57-SED,344,U1412,A,12,12-3,H,3,A,57/57-SED,0,0,89.65,89.65,,,,,,,R [A66],M [A66],R [A66],C [A66],C [A66],D [A66],R [A66],A [A66],C [A66],R [A66],,R [A66],C [A66],C [A66],R [A66],R [A66],,,,C [A66],C [A66],A [A66],D [A66],,R [A66],R [A66],,,,A [A66],C [A66],R [A66],,,,,,,,,
,344-U1412A-13H-1-A 94/94-SS,344,U1412,A,13,13-1,H,1,A,94/94-SS,0,0,91.74,91.74,,,,,,,D [A66],A [A66],,R [A66],R [A66],R [A66],C [A66],A [A66],C [A66],D [A66],,,C [A66],C [A66],C [A66],C [A66],,,,R [A66],,,M [A66],,,,,,,,,R [A66],,,,,,,,,
,344-U1412A-13H-3-A 72/72-SS,344,U1412,A,13,13-3,H,3,A,72/72-SS,0,0,94.42,94.42,,,,,,,R [A66],M [A66],R [A66],C [A66],C [A66],D [A66],R [A66],A [A66],C [A66],R [A66],,R [A66],R [A66],R [A66],R [A66],R [A66],,,,C [A66],,C [A66],M [A66],,R [A66],,,,,A [A66],R [A66],C [A66],,,,,,,,,
,344-U1412A-14H-2-A 40/40-SS,344,U1412,A,14,14-2,H,2,A,40/40-SS,0,0,97.71,97.71,,,,,,,R [A66],M [A66],R [A66],C [A66],C [A66],D [A66],R [A66],C [A66],C [A66],R [A66],,R [A66],R [A66],R [A66],R [A66],R [A66],,SAPROPEL,R [A66],C [A66],C [A66],A [A66],D [A66],,R [A66],,,,,A [A66],C [A66],R [A66],,,,,,,,,
,344-U1412A-14H-3-A 64/64-SS,344,U1412,A,14,14-3,H,3,A,64/64-SS,0,0,98.97,98.97,,,,,,,C [A66],M [A66],,R [A66],C [A66],A [A66],A [A66],A [A66],C [A66],C [A66],,,R [A66],R [A66],R [A66],R [A66],,,,R [A66],,,M [A66],,R [A66],,,,,,,R [A66],,,,,,,,,
,344-U1412A-14H-6-A 40/40-SS,344,U1412,A,14,14-6,H,6,A,40/40-SS,0,0,101.44,101.44,,,,,,,C [A66],M [A66],R [A66],C [A66],C [A66],A [A66],C [A66],A [A66],C [A66],C [A66],,R [A66],R [A66],R [A66],C [A66],C [A66],,,,C [A66],,A [A66],M [A66],,R [A66],,,,,A [A66],C [A66],R [A66],,,,,,,,,
,344-U1412A-15H-3-A 100/100-SS,344,U1412,A,15,15-3,H,3,A,100/100-SS,0,0,107.86,107.86,,,,,,,R [A66],M [A66],R [A66],C [A66],R [A66],D [A66],C [A66],A [A66],R [A66],R [A66],,R [A66],R [A66],R [A66],,,,SERPENTINE,R [A66],C [A66],,M [A66],C [A66],,R [A66],,,,,R [A66],R [A66],,,,,,,,,,
,344-U1412A-15H-3-A 9/9-SS,344,U1412,A,15,15-3,H,3,A,9/9-SS,0,0,106.95,106.95,,,,,,,D [A66],A [A66],R [A66],R [A66],R [A66],,R [A66],A [A66],C [A66],D [A66],,R [A66],C [A66],R [A66],C [A66],C [A66],,,,R [A66],,,,,M [A66],,,,,R [A66],C [A66],R [A66],,,,,,,,,
,344-U1412A-16X-3-A 81/81-SS,344,U1412,A,16,16-3,X,3,A,81/81-SS,0,0,111.9,111.9,,,,,,,R [A66],M [A66],R [A66],C [A66],C [A66],D [A66],C [A66],A [A66],C [A66],R [A66],R [A66],R [A66],R [A66],R [A66],R [A66],R [A66],,,,C [A66],,A [A66],A [A66],,C [A66],R [A66],,,,C [A66],C [A66],R [A66],,,,,,,,,
,344-U1412A-17X-3-A 30/30-SS,344,U1412,A,17,17-3,X,3,A,30/30-SS,0,0,116.24,116.24,,,,,,,C [A66],M [A66],R [A66],C [A66],R [A66],A [A66],R [A66],A [A66],C [A66],C [A66],,R [A66],R [A66],,R [A66],R [A66],,,,C [A66],C [A66],A [A66],A [A66],,R [A66],,,,,A [A66],C [A66],R [A66],,,,,,,,,
,344-U1412A-17X-3-A 49/49-SS,344,U1412,A,17,17-3,X,3,A,49/49-SS,0,0,116.43,116.43,,,,,,,A [A66],A [A66],C [A66],C [A66],C [A66],A [A66],C [A66],A [A66],C [A66],A [A66],,C [A66],C [A66],C [A66],,,,,,C [A66],,A [A66],D [A66],,R [A66],,,,,,,,,,,,,,,,
,344-U1412A-17X-4-A 31/31-SS,344,U1412,A,17,17-4,X,4,A,31/31-SS,0,0,117.75,117.75,,,,,,,A [A66],A [A66],,R [A66],,C [A66],C [A66],A [A66],C [A66],A [A66],,,C [A66],C [A66],C [A66],C [A66],,,,R [A66],,,M [A66],,,,,,,,,R [A66],,,,,,,,,
,344-U1412A-19X-4-A 69/69-SS,344,U1412,A,19,19-4,X,4,A,69/69-SS,0,0,137.26,137.26,,,,,,,C [A66],D [A66],C [A66],C [A66],C [A66],D [A66],C [A66],A [A66],C [A66],C [A66],,C [A66],R [A66],R [A66],,,,SERPENTINE,R [A66],C [A66],,A [A66],D [A66],,R [A66],,,,,A [A66],C [A66],R [A66],,,,,,,,,
,344-U1412A-21X-3-SED,344,U1412,A,21,21-3,X,3,SED,,0,0,154.96,154.96,,,,,,,C [A66],M [A66],R [A66],C [A66],R [A66],A [A66],R [A66],A [A66],R [A66],C [A66],,R [A66],R [A66],,,,,,,C [A66],C [A66],A [A66],A [A66],,R [A66],,,,,A [A66],C [A66],R [A66],,,,,,,,,
