Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,LITH 1 prefix+name [read only],LITH 1 prefix+name+suffix [read only],LITH 1 abundance [%],LITH 1 color,LITH 1 lithification,LITH 1 ave. grain size class,LITH 1 ave. grain size rank [read only],LITH 1 max. grain size class,LITH 1 max. grain size rank [read only],LITH 1 grain sorting,LITH 1 Ash abundance name,LITH 1 Ash abundance rank (read only),LITH 1 comment,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix,LITH 2 prefix+name [read only],LITH 2 prefix+name+suffix [read only],LITH 2 abundance [%],Total LITH abundance [%],LITH 2 Ash abundance name,LITH 2 Ash abundance rank (read only),General interval comment,Bottom contact geometry,Bottom contact attitude,LITH 1 Layer or bedding thickness,LITH 1 Sedimentary structure,LITH 1 Bioturbation intensity,LITH 1 Bioturbation intensity rank [read only],LITH 1 Deformational structure,LITH 1 Deformational structure attitude,LITH 1 Diagenetic structure,LITH 1 Diagenetic constituent,LITH 1 Diagenetic constituent composition,LITH 1 Macrofossil,LITH 1 Macrofossil abundance name,LITH 2 Macrofossil,LITH 1 Clast abundance,LITH 1 Number of clasts (>2mm),LITH 1 Clast 1 igneous [%],LITH 1 Clast 1 igneous -  grain size,LITH 1 Clast 1 igneous -  roundness,LITH 1 Clast 1 igneous -  lithology,LITH 1 Clast 2 sediment [%],LITH 1 Clast 2 sediment - grain size,LITH 1 Clast 2 sediment - roundness,LITH 1 Clast 3 -other LITH [%],LITH 1 Clast 3 metamorphic - grain size,LITH 1 Clast 3 metamorphic - roundness,Total clasts calculated LITH 1 [%],LITH 1 Matrix 1 igneous - pumiceous [%],LITH 1 Matrix 2 igneous - scoriaceous [%],LITH 1 Matrix 3 igneous - massive [%],LITH 1 Matrix 4 igneous - vesicular [%],LITH 1 Matrix 5 volcaniclastic [%],LITH 1 Matrix 6 sediment [%],LITH 1 Matrix 7 -other LITH [%],LITH 1 Matrix biogenic carbonate [%],LITH 1 Matrix detritical carbonate [%],LITH 1 Matrix carbonate [%],Total matrix calculated LITH 1 [%],LITH 1 Matrix sorting,LITH 1 Matrix alteration intensity,LITH 1 Matrix alteration rank,LITH 1 Matrix comments,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
349-U1431A-1H-15-A,7,33,7.07,7.33,,foraminiferal ooze [Leg339],with clay [Leg339],foraminiferal ooze ,foraminiferal ooze with clay ,90,2.5Y 5/4 (light olive brown),slightly consolidated [B84],silt [W22_1],2,silt [W22_1],2,,,,,,,,,,10,100,,,,erosive,,thick bed [B01],,slight [DB86],1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,1,H,15,A,
349-U1431A-1H-15-A,33,39,7.33,7.39,,silty clay [MMK88],,silty clay ,silty clay ,100,2.5Y 5/1 (gray),slightly consolidated [B84],clay [W22_1],1,clay [W22_1],1,,,,,,,,,,,100,,,,,,thick bed [B01],,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,1,H,15,A,
349-U1431A-1H-16-A,0,20,7.5,7.7,,silty clay [MMK88],,silty clay ,silty clay ,100,2.5Y 5/1 (gray),slightly consolidated [B84],clay [W22_1],1,clay [W22_1],1,,,,,,,,,,,100,,,,erosive,,thick bed [B01],,moderate [DB86],2,,,,,,,,,,100,,,,,,,moderate [DB86],2,,,2,,,,,,,,,,,,,,,,,,349,U1431,A,1,H,16,A,
349-U1431A-1H-16-A,20,40,7.7,7.9,,silty clay [MMK88],,silty clay ,silty clay ,100,2.5Y 4/1 (dark gray),slightly consolidated [B84],clay [W22_1],1,clay [W22_1],1,,,,,,,,,,,100,,,,,,thick bed [B01],,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,1,H,16,A,
349-U1431A-1H-17-A,0,12,8.0,8.12,,clay [Leg339],with silt [Leg339],clay ,clay with silt ,100,2.5Y 5/1 (gray),slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,,,,,,,,,,,100,,,,gradational,horizontal,,,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,1,H,17,A,
349-U1431A-1H-17-A,12,18,8.12,8.18,,silty clay [MMK88],,silty clay ,silty clay ,100,2.5Y 4/1 (dark gray),slightly consolidated [B84],clay [W22_1],1,clay [W22_1],1,,,,,,,,,,,100,,,,planar,horizontal,thick bed [B01],lamination,slight [DB86],1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,1,H,17,A,
349-U1431A-1H-17-A,18,39,8.18,8.39,,clay [Leg339],with silt [Leg339],clay ,clay with silt ,100,2.5Y 5/1 (gray),slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,,,,,,,,,,,100,,,,,,,,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,1,H,17,A,
349-U1431A-1H-18-A,0,5,8.5,8.55,,silty clay [MMK88],,silty clay ,silty clay ,100,2.5Y 4/1 (dark gray),slightly consolidated [B84],clay [W22_1],1,clay [W22_1],1,,,,,,,,,,,100,,,,planar,horizontal,,lamination,slight [DB86],1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,1,H,18,A,
349-U1431A-1H-18-A,5,9,8.55,8.59,,clay [Leg339],with silt [Leg339],clay ,clay with silt ,100,2.5Y 5/1 (gray),slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,,,,,,,,,,,100,,,,gradational,,thin bed [B01],,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,1,H,18,A,
349-U1431A-1H-18-A,9,20,8.59,8.7,,silty clay [MMK88],,silty clay ,silty clay ,100,2.5Y 4/1 (dark gray),slightly consolidated [B84],clay [W22_1],1,clay [W22_1],1,,,,,,,,,,,100,,,,erosive,curved,thin bed [B01],lamination,slight [DB86],1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,1,H,18,A,
349-U1431A-1H-18-A,20,45,8.7,8.95,,,,silty clay ,silty clay ,100,2.5Y 4/1 (dark gray),slightly consolidated [B84],clay [W22_1],1,clay [W22_1],1,,,,,,,,,,,100,,,,planar,curved,medium bed [B01],lamination,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,1,H,18,A,
349-U1431A-1H-18-A,45,69,8.95,9.19,,clay [Leg339],with silt [Leg339],clay ,clay with silt ,100,2.5Y 5/1 (gray),slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,,,,,,,,,,,100,,,,,,,,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,1,H,18,A,
349-U1431A-1H-2-A,0,38,0.5,0.88,,clay [Leg339],with silt [Leg339],clay ,clay with silt ,95,2.5Y 5/1 (gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,,,,,,ash(tuff) [MMK88m],with clay [Leg339],ash(tuff) ,ash(tuff) with clay ,5,100,P [A92],1,mottled sediment,,,thick bed [B01],,heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,poor [BP01],,,,,,349,U1431,A,1,H,2,A,
349-U1431A-1H-3-A,0,12,1.0,1.12,,clay [Leg339],with silt [Leg339],clay ,clay with silt ,95,2.5Y 5/1 (gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,,,,,,ash(tuff) [MMK88m],with clay [Leg339],ash(tuff) ,ash(tuff) with clay ,5,100,P [A92],1,mottled sediment,gradational,,thick bed [B01],,heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,poor [BP01],,,,,,349,U1431,A,1,H,3,A,
349-U1431A-1H-3-A,12,38,1.12,1.38,silty [Leg339],clay [Leg339],,silty clay ,silty clay ,100,2.5Y 3/1 (very dark gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,100,,,homogenous,,,thick bed [B01],,none [DB86],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,1,H,3,A,
349-U1431A-1H-4-A,0,13,1.5,1.63,silty [Leg339],clay [Leg339],,silty clay ,silty clay ,100,2.5Y 5/1 (gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,100,,,mottled sediment,gradational,,thick bed [B01],,slight [DB86],1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,1,H,4,A,
349-U1431A-1H-4-A,13,39,1.63,1.89,,clay [Leg339],with silt [Leg339],clay ,clay with silt ,100,2.5Y 4/1 (dark gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,100,,,homogenous,,,thick bed [B01],,slight [DB86],1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,1,H,4,A,
349-U1431A-1H-5-A,0,39,2.0,2.39,,clay [Leg339],with silt [Leg339],clay ,clay with silt ,100,2.5Y 4/1 (dark gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,100,,,mottled sediment,,,thick bed [B01],,heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,1,H,5,A,
349-U1431A-1H-6-A,0,39,2.5,2.89,,clay [Leg339],with silt [Leg339],clay ,clay with silt ,100,2.5Y 4/1 (dark gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,100,,,,,,thick bed [B01],lamination,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,1,H,6,A,
349-U1431A-1H-7-A,0,18,3.0,3.18,,clay [Leg339],with silt [Leg339],clay ,clay with silt ,100,2.5Y 4/1 (dark gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,100,,,,gradational,,thick bed [B01],,none [DB86],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,1,H,7,A,
349-U1431A-1H-7-A,18,31,3.18,3.31,,foraminiferal ooze [Leg339],with clay [Leg339],foraminiferal ooze ,foraminiferal ooze with clay ,100,2.5Y 6/1 (gray),very slightly consolidated [B84],silt [W22_1],2,silt [W22_1],2,moderate [BP01],,,,,,,,,,100,,,graded turbidite,erosive,,thick bed [B01],graded bedding,slight [DB86],1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,1,H,7,A,
349-U1431A-1H-7-A,31,39,3.31,3.39,,clay [Leg339],with silt [Leg339],clay ,clay with silt ,100,2.5Y 4/1 (dark gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,100,,,,,,thick bed [B01],,slight [DB86],1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,1,H,7,A,
349-U1431A-1H-8-A,0,17,3.5,3.67,silty [Leg339],clay [Leg339],,silty clay ,silty clay ,100,2.5Y 4/1 (dark gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,100,,,,planar,,thick bed [B01],lamination,none [DB86],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,1,H,8,A,
349-U1431A-1H-8-A,17,39,3.67,3.89,,clay [Leg339],with silt [Leg339],clay ,clay with silt ,100,2.5Y 4/1 (dark gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,100,,,,,,thick bed [B01],,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,1,H,8,A,
349-U1431A-1H-9-A,0,39,4.0,4.39,,clay [Leg339],with silt [Leg339],clay ,clay with silt ,100,2.5Y 5/1 (gray),slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,,,,,,,,,,,100,,,,,,medium bed [B01],lamination,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,1,H,9,A,
349-U1431A-2H-1-A,0,39,9.4,9.79,,silty clay [MMK88],,silty clay ,silty clay ,,2.5Y 4/1 (dark gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,,,,,,,thick bed [B01],lens or pod [BJ84],moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,2,H,1,A,
349-U1431A-2H-10-A,0,7,13.9,13.97,,clay [Leg339],with silt [Leg339],clay ,clay with silt ,,2.5Y 5/1 (gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,,,,,gradational,,medium bed [B01],graded bedding,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,2,H,10,A,
349-U1431A-2H-10-A,7,9,13.97,13.99,,silty clay [MMK88],,silty clay ,silty clay ,,2.5Y 4/1 (dark gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,,,,,planar,horizontal,medium bed [B01],graded bedding,slight [DB86],1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,2,H,10,A,
349-U1431A-2H-10-A,9,28,13.99,14.18,,clay [Leg339],with silt [Leg339],clay ,clay with silt ,,2.5Y 5/1 (gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,,,,,gradational,,thick bed [B01],graded bedding,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,2,H,10,A,
349-U1431A-2H-10-A,28,31,14.18,14.21,,silty clay [MMK88],,silty clay ,silty clay ,,2.5Y 4/1 (dark gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,,,,,erosive,horizontal,medium bed [B01],graded bedding,slight [DB86],1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,2,H,10,A,
349-U1431A-2H-10-A,31,38,14.21,14.28,,clay [Leg339],with silt [Leg339],clay ,clay with silt ,,2.5Y 5/1 (gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,,,,,gradational,,medium bed [B01],graded bedding,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,2,H,10,A,
349-U1431A-2H-10-A,38,39,14.28,14.29,,silty clay [MMK88],,silty clay ,silty clay ,,2.5Y 4/1 (dark gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,,,,,,,,graded bedding,slight [DB86],1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,2,H,10,A,
349-U1431A-2H-11-A,0,25,14.4,14.65,,silty clay [MMK88],,silty clay ,silty clay ,100,2.5Y 4/1 (dark gray),slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,,,,,,,,,,,100,,,,erosive,sub-horizontal,thick bed [B01],,slight [DB86],1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,2,H,11,A,
349-U1431A-2H-11-A,25,39,14.65,14.79,,clay [Leg339],with silt [Leg339],clay ,clay with silt ,100,2.5Y 5/1 (gray),slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,,,,,,,,,,,100,,,,,,thick bed [B01],,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,2,H,11,A,
349-U1431A-2H-12-A,0,17,14.9,15.07,,silty clay [MMK88],,silty clay ,silty clay ,100,2.5Y 4/1 (dark gray),slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,,,,,,,,,,,100,,,,erosive,curved,thick bed [B01],,slight [DB86],1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,2,H,12,A,
349-U1431A-2H-12-A,17,20,15.07,15.1,,clay [Leg339],with silt [Leg339],clay ,clay with silt ,100,2.5Y 5/1 (gray),slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,,,,,,,,,,,100,,,,gradational,,thick bed [B01],,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,2,H,12,A,
349-U1431A-2H-12-A,20,26,15.1,15.16,,silty clay [MMK88],,silty clay ,silty clay ,100,2.5Y 4/1 (dark gray),slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,,,,,,,,,,,100,,,,erosive,horizontal,thick bed [B01],,slight [DB86],1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,2,H,12,A,
349-U1431A-2H-12-A,26,33,15.16,15.23,,clay [Leg339],with silt [Leg339],clay ,clay with silt ,100,2.5Y 5/1 (gray),slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,,,,,,,,,,,100,,,,gradational,,thick bed [B01],,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,2,H,12,A,
349-U1431A-2H-12-A,33,39,15.23,15.29,,silty clay [MMK88],,silty clay ,silty clay ,100,2.5Y 4/1 (dark gray),slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,,,,,,,,,,,100,,,,,,thick bed [B01],,slight [DB86],1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,2,H,12,A,
349-U1431A-2H-13-A,0,11,15.4,15.51,,silty clay [MMK88],,silty clay ,silty clay ,100,2.5Y 4/1 (dark gray),slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,,,,,,,,,,,100,,,,erosive,,thick bed [B01],,slight [DB86],1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,2,H,13,A,
349-U1431A-2H-13-A,11,21,15.51,15.61,,clay [Leg339],with silt [Leg339],clay ,clay with silt ,100,2.5Y 5/1 (gray),slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,,,,,,,,,,,100,,,,gradational,curved,thick bed [B01],,none [DB86],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,2,H,13,A,
349-U1431A-2H-13-A,21,39,15.61,15.79,,silty clay [MMK88],,silty clay ,silty clay ,100,2.5Y 4/1 (dark gray),slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,,,,,,,,,,,100,,,,,,thick bed [B01],,heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,2,H,13,A,
349-U1431A-2H-14-A,0,12,15.9,16.02,,clay [Leg339],with silt [Leg339],clay ,clay with silt ,100,2.5Y 5/1 (gray),slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,,,,,,,,,,,100,,,,gradational,,thick bed [B01],,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,2,H,14,A,
349-U1431A-2H-14-A,12,17,16.02,16.07,,silty clay [MMK88],,silty clay ,silty clay ,100,2.5Y 4/1 (dark gray),slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,,,,,,,,,,,100,,,,erosive,,thick bed [B01],graded bedding,none [DB86],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,2,H,14,A,
349-U1431A-2H-14-A,17,27,16.07,16.17,,clay [Leg339],with silt [Leg339],clay ,clay with silt ,100,2.5Y 5/1 (gray),slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,,,,,,,,,,,100,,,,gradational,,thick bed [B01],,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,2,H,14,A,
349-U1431A-2H-14-A,27,39,16.17,16.29,,silty clay [MMK88],,silty clay ,silty clay ,100,2.5Y 4/1 (dark gray),slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,,,,,,,,,,,100,,,,,,thick bed [B01],,slight [DB86],1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,2,H,14,A,
349-U1431A-2H-15-A,0,20,16.4,16.6,,silty clay [MMK88],,silty clay ,silty clay ,100,2.5Y 4/1 (dark gray),slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,,,,,,,,,,,100,,,,gradational,,thick bed [B01],graded bedding,slight [DB86],1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,2,H,15,A,
