Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Drilling disturbance type,Drilling disturbance intensity,Drilling disturbance intensity rank (read only),Drilling disturbance comment,File Data,Shore File Links,Extra Sample ID Data,Lithology Prefix,Minor Lithology Name,Minor Lithology Prefix,Lithology Principal Name,Minor Lithology Suffix,Lithology Suffix
350-U1436C-9F-1-A,350,U1436,C,9,9-1,F,1,A,60,71,41.2,41.31,fall-in,moderate [drilling disturbance],4,,,,,,,,,,
350-U1436C-9F-1-A,350,U1436,C,9,9-1,F,1,A,118,129,41.78,41.89,core extension,slight [drilling disturbance],2,,,,,,,,,,
350-U1436C-9F-2-A,350,U1436,C,9,9-2,F,2,A,16,46,42.26,42.56,soupy,moderate [drilling disturbance],4,,,,,,,,,,
350-U1436C-9F-2-A,350,U1436,C,9,9-2,F,2,A,52,70,42.62,42.8,core extension,moderate [drilling disturbance],4,,,,,,,,,,
350-U1436C-9F-4-A,350,U1436,C,9,9-4,F,4,A,0,13,44.15,44.28,soupy,slight [drilling disturbance],2,,,,,,,,,,
350-U1436C-9F-4-A,350,U1436,C,9,9-4,F,4,A,13,49,44.28,44.64,basal flow-in,destroyed [drilling disturbance],8,,,,,,,,,,
350-U1436C-10F-1-A,350,U1436,C,10,10-1,F,1,A,0,62,44.7,45.32,fall-in,destroyed [drilling disturbance],8,,,,,,,,,,
350-U1436C-10F-2-A,350,U1436,C,10,10-2,F,2,A,135,144,47.55,47.64,sediment flowage,slight [drilling disturbance],2,,,,,,,,,,
350-U1436C-11F-1-A,350,U1436,C,11,11-1,F,1,A,0,43,49.2,49.63,fall-in,destroyed [drilling disturbance],8,,,,,,,,,,
350-U1436C-11F-1-A,350,U1436,C,11,11-1,F,1,A,56,60,49.76,49.8,sediment flowage,destroyed [drilling disturbance],8,,,,,,,,,,
350-U1436C-11F-1-A,350,U1436,C,11,11-1,F,1,A,71,72,49.91,49.92,sediment flowage,destroyed [drilling disturbance],8,,,,,,,,,,
350-U1436C-11F-1-A,350,U1436,C,11,11-1,F,1,A,98,100,50.18,50.2,sediment flowage,slight [drilling disturbance],2,,,,,,,,,,
350-U1436C-11F-1-A,350,U1436,C,11,11-1,F,1,A,106,121,50.26,50.41,soupy,severe [drilling disturbance],7,,,,,,,,,,
350-U1436C-11F-2-A,350,U1436,C,11,11-2,F,2,A,0,50,50.41,50.91,soupy,severe [drilling disturbance],7,,,,,,,,,,
350-U1436C-11F-2-A,350,U1436,C,11,11-2,F,2,A,58,71,50.99,51.12,soupy,slight [drilling disturbance],2,,,,,,,,,,
350-U1436C-13F-1-A,350,U1436,C,13,13-1,F,1,A,0,90,54.3,55.2,fall-in,severe [drilling disturbance],7,,,,,,,,,,
350-U1436C-13F-1-A,350,U1436,C,13,13-1,F,1,A,90,113,55.2,55.43,sediment flowage,severe [drilling disturbance],7,,,,,,,,,,
350-U1436C-14F-1-A,350,U1436,C,14,14-1,F,1,A,0,40,56.7,57.1,fall-in,severe [drilling disturbance],7,,,,,,,,,,
350-U1436C-15F-1-A,350,U1436,C,15,15-1,F,1,A,0,36,59.5,59.86,fall-in,severe [drilling disturbance],7,,,,,,,,,,
350-U1436C-15F-2-A,350,U1436,C,15,15-2,F,2,A,0,67,60.44,61.11,soupy,moderate [drilling disturbance],4,,,,,,,,,,
350-U1436C-16F-1-A,350,U1436,C,16,16-1,F,1,A,0,70,61.3,62,fall-in,severe [drilling disturbance],7,,,,,,,,,,
350-U1436C-17F-1-A,350,U1436,C,17,17-1,F,1,A,0,63,64.7,65.33,fall-in,severe [drilling disturbance],7,,,,,,,,,,
350-U1436C-17F-2-A,350,U1436,C,17,17-2,F,2,A,24,28,66.44,66.48,soupy,slight [drilling disturbance],2,,,,,,,,,,
350-U1436C-18F-1-A,350,U1436,C,18,18-1,F,1,A,0,40,67.4,67.8,fall-in,severe [drilling disturbance],7,,,,,,,,,,
350-U1436C-18F-1-A,350,U1436,C,18,18-1,F,1,A,40,150,67.8,68.9,sediment flowage,severe [drilling disturbance],7,,,,,,,,,,
350-U1436C-18F-2-A,350,U1436,C,18,18-2,F,2,A,0,123,68.9,70.13,sediment flowage,severe [drilling disturbance],7,,,,,,,,,,
350-U1436C-18F-CC-A,350,U1436,C,18,18-CC,F,CC,A,0,21,70.13,70.34,sediment flowage,severe [drilling disturbance],7,,,,,,,,,,
