Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Minor Lithology Suffix,Lithology name,Lithology classification,Lithology [%],Grain size max (mm),Lithification,Comment,File Data,Extra Sample ID Data,Minor Lithology Prefix,Minor Lithology Name,Lithology Suffix
329-U1370D-6H-4-A,329,U1370,D,6,6-4,H,4,A,0,150,48.5,50,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,,,,,
329-U1370D-6H-5-A,329,U1370,D,6,6-5,H,5,A,0,150,50,51.5,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,,,,,
329-U1370D-6H-6-A,329,U1370,D,6,6-6,H,6,A,0,150,51.5,53,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,,,,,
329-U1370D-6H-7-A,329,U1370,D,6,6-7,H,7,A,0,66,53,53.66,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,,,,,
329-U1370D-6H-CC-A,329,U1370,D,6,6-CC,H,CC,A,0,22,53.66,53.88,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,,,,,
329-U1370D-7H-1-A,329,U1370,D,7,7-1,H,1,A,0,150,53.5,55,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,
329-U1370D-7H-2-A,329,U1370,D,7,7-2,H,2,A,0,151,55,56.51,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,
329-U1370D-7H-3-A,329,U1370,D,7,7-3,H,3,A,0,150,56.51,58.01,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,
329-U1370D-7H-4-A,329,U1370,D,7,7-4,H,4,A,0,151,58.01,59.52,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,
329-U1370D-7H-5-A,329,U1370,D,7,7-5,H,5,A,0,150,59.52,61.02,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,
329-U1370D-7H-6-A,329,U1370,D,7,7-6,H,6,A,0,93,61.02,61.95,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,
329-U1370D-7H-6-A,329,U1370,D,7,7-6,H,6,A,93,150,61.95,62.52,nannofossil,ooze [MMK88],,nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,,,,
329-U1370D-7H-7-A,329,U1370,D,7,7-7,H,7,A,0,53,62.52,63.05,nannofossil,ooze [MMK88],,nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,,,,
329-U1370D-7H-CC-A,329,U1370,D,7,7-CC,H,CC,A,0,22,63.05,63.27,nannofossil,ooze [MMK88],,nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,,,,
329-U1370D-8H-1-A,329,U1370,D,8,8-1,H,1,A,0,142,63,64.42,nannofossil,ooze [MMK88],,nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",50,,,,,,,,
329-U1370D-8H-1-A,329,U1370,D,8,8-1,H,1,A,0,142,63,64.42,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",50,,,,,,,,
329-U1370D-8H-1-A,329,U1370,D,8,8-1,H,1,A,142,150,64.42,64.5,clay-bearing nannofossil,ooze [MMK88],,clay-bearing nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,,,,
329-U1370D-8H-2-A,329,U1370,D,8,8-2,H,2,A,0,10,64.5,64.6,clay-bearing nannofossil,ooze [MMK88],,clay-bearing nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,,,,
329-U1370D-8H-2-A,329,U1370,D,8,8-2,H,2,A,10,150,64.6,66,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,,,,,
329-U1370D-8H-3-A,329,U1370,D,8,8-3,H,3,A,0,150,66,67.5,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,,,,,
329-U1370D-8H-4-A,329,U1370,D,8,8-4,H,4,A,0,150,67.5,69,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,,,,,
329-U1370D-8H-5-A,329,U1370,D,8,8-5,H,5,A,0,151,69,70.51,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,,,,,
329-U1370D-8H-6-A,329,U1370,D,8,8-6,H,6,A,0,150,70.51,72.01,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,,,,,
329-U1370D-8H-7-A,329,U1370,D,8,8-7,H,7,A,0,78,72.01,72.79,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,,,,,
329-U1370D-8H-CC-A,329,U1370,D,8,8-CC,H,CC,A,0,31,72.79,73.1,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,,,,,
