Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Major prefix modifier before principal,Principal lithology name,Minor suffix modifier after principal,Lithology name,Lithology classification,Lithology (%),Grain size max (mm),Lithification,Comment,File Data,Extra Sample ID Data
329-U1368C-1H-4-A,329,U1368,C,1,1-4,H,4,A,60,85,5.1,5.35,clay-bearing nannofossil,ooze [MMK88],,clay-bearing nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,
329-U1368C-1H-4-A,329,U1368,C,1,1-4,H,4,A,110,140,5.6,5.9,clay-bearing nannofossil,ooze [MMK88],,clay-bearing nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,
329-U1368C-1H-5-A,329,U1368,C,1,1-5,H,5,A,0,50,6,6.5,clay-bearing nannofossil,ooze [MMK88],,clay-bearing nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,
329-U1368C-1H-5-A,329,U1368,C,1,1-5,H,5,A,60,85,6.6,6.85,clay-bearing nannofossil,ooze [MMK88],,clay-bearing nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,
329-U1368C-1H-5-A,329,U1368,C,1,1-5,H,5,A,110,140,7.1,7.4,clay-bearing nannofossil,ooze [MMK88],,clay-bearing nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,
329-U1368C-1H-6-A,329,U1368,C,1,1-6,H,6,A,0,21,7.5,7.71,clay-bearing nannofossil,ooze [MMK88],,clay-bearing nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,
329-U1368C-1H-CC-A,329,U1368,C,1,1-CC,H,CC,A,0,24,7.81,8.05,clay-bearing nannofossil,ooze [MMK88],,clay-bearing nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,
329-U1368C-2H-1-A,329,U1368,C,2,2-1,H,1,A,0,40,8,8.4,clay-bearing nannofossil,ooze [MMK88],,clay-bearing nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,
329-U1368C-2H-1-A,329,U1368,C,2,2-1,H,1,A,50,80,8.5,8.8,clay-bearing nannofossil,ooze [MMK88],,clay-bearing nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,
329-U1368C-2H-1-A,329,U1368,C,2,2-1,H,1,A,100,140,9,9.4,clay-bearing nannofossil,ooze [MMK88],,clay-bearing nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,
329-U1368C-2H-2-A,329,U1368,C,2,2-2,H,2,A,0,50,9.5,10,clay-bearing nannofossil,ooze [MMK88],,clay-bearing nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,
329-U1368C-2H-2-A,329,U1368,C,2,2-2,H,2,A,60,70,10.1,10.2,clay-bearing nannofossil,ooze [MMK88],,clay-bearing nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,
329-U1368C-2H-2-A,329,U1368,C,2,2-2,H,2,A,110,140,10.6,10.9,clay-bearing nannofossil,ooze [MMK88],,clay-bearing nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,
329-U1368C-2H-3-A,329,U1368,C,2,2-3,H,3,A,0,50,11,11.5,clay-bearing nannofossil,ooze [MMK88],,clay-bearing nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,
329-U1368C-2H-3-A,329,U1368,C,2,2-3,H,3,A,60,85,11.6,11.85,nannofossil,marl [MMK88],,nannofossil marl,"Mazullo, Meyer & Kidd, 1988",,,,,,
329-U1368C-2H-3-A,329,U1368,C,2,2-3,H,3,A,110,140,12.1,12.4,nannofossil,marl [MMK88],,nannofossil marl,"Mazullo, Meyer & Kidd, 1988",,,,,,
329-U1368C-2H-4-A,329,U1368,C,2,2-4,H,4,A,0,50,12.5,13,nannofossil,marl [MMK88],,nannofossil marl,"Mazullo, Meyer & Kidd, 1988",,,,,,
329-U1368C-2H-4-A,329,U1368,C,2,2-4,H,4,A,60,70,13.1,13.2,nannofossil,marl [MMK88],,nannofossil marl,"Mazullo, Meyer & Kidd, 1988",,,,,,
329-U1368C-2H-4-A,329,U1368,C,2,2-4,H,4,A,110,140,13.6,13.9,nannofossil,marl [MMK88],,nannofossil marl,"Mazullo, Meyer & Kidd, 1988",,,,,,
329-U1368C-2H-5-A,329,U1368,C,2,2-5,H,5,A,0,35,14,14.35,nannofossil-bearing,clay [S54] ,,nannofossil-bearing clay,"Shepard, 1954",,,,,,
329-U1368C-2H-5-A,329,U1368,C,2,2-5,H,5,A,60,80,14.6,14.8,nannofossil-bearing,clay [S54] ,,nannofossil-bearing clay,"Shepard, 1954",,,,,,
329-U1368C-2H-5-A,329,U1368,C,2,2-5,H,5,A,110,134,15.1,15.34,nannofossil-bearing,clay [S54] ,,nannofossil-bearing clay,"Shepard, 1954",,,,,,
329-U1368C-2H-6-A,329,U1368,C,2,2-6,H,6,A,10,25,15.53,15.68,nannofossil-bearing,clay [S54] ,,nannofossil-bearing clay,"Shepard, 1954",,,,,,
329-U1368C-2H-6-A,329,U1368,C,2,2-6,H,6,A,10,25,15.53,15.68,,sand [S54],,sand,"Shepard, 1954",,,,green sand,,
329-U1368C-2H-6-A,329,U1368,C,2,2-6,H,6,A,25,33,15.68,15.76,,sand [S54],,sand,"Shepard, 1954",,,,green sand,,
329-U1368C-2H-6-A,329,U1368,C,2,2-6,H,6,A,33,51,15.76,15.94,,sand [S54],,sand,"Shepard, 1954",,,,dark gray sand,,
329-U1368C-2H-CC-A,329,U1368,C,2,2-CC,H,CC,A,0,15,15.94,16.09,,sand [S54],,sand,"Shepard, 1954",,,,dark gray sand,,
