Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Minor Lithology Suffix,Lithology name,Lithology classification,Lithology [%],Grain size maximum [mm],Lithification,Comment,File Data,Minor Lithology Prefix,Lithology Suffix,Minor Lithology Name,Extra Sample ID Data
329-U1367B-2H-2-A,329,U1367,B,2,2-2,H,2,A,0,51,7.0,7.51,nannofossil,ooze [MMK88],,nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,,,,
329-U1367B-2H-2-A,329,U1367,B,2,2-2,H,2,A,51,58,7.51,7.58,clay-bearing nannofossil,ooze [MMK88],,clay-bearing nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",50,,,,,,,,
329-U1367B-2H-2-A,329,U1367,B,2,2-2,H,2,A,51,58,7.51,7.58,nannofossil,ooze [MMK88],,nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",50,,,,,,,,
329-U1367B-2H-2-A,329,U1367,B,2,2-2,H,2,A,58,77,7.58,7.77,nannofossil,marl [MMK88],,nannofossil marl,"Mazullo, Meyer & Kidd, 1988",,,,,,,,,
329-U1367B-2H-2-A,329,U1367,B,2,2-2,H,2,A,77,82,7.77,7.82,clay-bearing nannofossil,ooze [MMK88],,clay-bearing nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,,,,
329-U1367B-2H-2-A,329,U1367,B,2,2-2,H,2,A,77,82,7.77,7.82,nannofossil,ooze [MMK88],,nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,,,,
329-U1367B-2H-2-A,329,U1367,B,2,2-2,H,2,A,82,150,7.82,8.5,nannofossil,ooze [MMK88],,nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,,,,
329-U1367B-2H-3-A,329,U1367,B,2,2-3,H,3,A,0,128,8.5,9.78,nannofossil,ooze [MMK88],,nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,,,,
329-U1367B-2H-3-A,329,U1367,B,2,2-3,H,3,A,128,150,9.78,10.0,clay-bearing nannofossil,ooze [MMK88],,clay-bearing nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,,,,
329-U1367B-2H-4-A,329,U1367,B,2,2-4,H,4,A,0,150,10.0,11.5,nannofossil,ooze [MMK88],,nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,,,,
329-U1367B-2H-5-A,329,U1367,B,2,2-5,H,5,A,0,122,11.5,12.72,clay-bearing nannofossil,ooze [MMK88],,clay-bearing nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,,,,
329-U1367B-2H-6-A,329,U1367,B,2,2-6,H,6,A,0,60,12.72,13.32,clay-bearing nannofossil,ooze [MMK88],,clay-bearing nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,,,,
329-U1367B-2H-CC-A,329,U1367,B,2,2-CC,H,CC,A,0,10,13.32,13.42,clay-bearing nannofossil,ooze [MMK88],,clay-bearing nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,,,,
329-U1367B-3H-1-A,329,U1367,B,3,3-1,H,1,A,0,150,13.5,15.0,clay-bearing nannofossil,ooze [MMK88],,clay-bearing nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,,,,
329-U1367B-3H-2-A,329,U1367,B,3,3-2,H,2,A,0,150,15.0,16.5,clay-bearing nannofossil,ooze [MMK88],,clay-bearing nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,,,,
329-U1367B-3H-3-A,329,U1367,B,3,3-3,H,3,A,0,150,16.5,18.0,clay-bearing nannofossil,ooze [MMK88],,clay-bearing nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,,,,
329-U1367B-3H-4-A,329,U1367,B,3,3-4,H,4,A,0,150,18.0,19.5,clay-bearing nannofossil,ooze [MMK88],,clay-bearing nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,,,,
329-U1367B-3H-5-A,329,U1367,B,3,3-5,H,5,A,0,116,19.5,20.66,clay-bearing nannofossil,ooze [MMK88],,clay-bearing nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,,,,
329-U1367B-3H-5-A,329,U1367,B,3,3-5,H,5,A,116,140,20.66,20.9,nannofossil,chalk [MMK88],,nannofossil chalk,"Mazullo, Meyer & Kidd, 1988",,,,,,,,,
329-U1367B-3H-5-A,329,U1367,B,3,3-5,H,5,A,140,150,20.9,21.0,clay-bearing nannofossil,ooze [MMK88],,clay-bearing nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,,,,
329-U1367B-3H-6-A,329,U1367,B,3,3-6,H,6,A,0,82,21.0,21.82,clay-bearing nannofossil,ooze [MMK88],,clay-bearing nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,,,,
329-U1367B-3H-CC-A,329,U1367,B,3,3-CC,H,CC,A,0,8,21.82,21.9,clay-bearing nannofossil,ooze [MMK88],,clay-bearing nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,,,,
329-U1367B-4H-1-A,329,U1367,B,4,4-1,H,1,A,0,32,22.0,22.32,clay-bearing nannofossil,ooze [MMK88],,clay-bearing nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,,,,
