Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Sample domain number (if >1 domain),Sample domain name (if >1 domain),Domain relative abundance [%],Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lith. prefix+name+suffix,Lithological Accessories 1,Lithological Accessories 2,Lithology color,Layer/Beddding, Lamination,Grading,Other sedimentary feature,Layer or bedding thickness,Lithology avg. grain size ,Lithology avg. grain size rank,Diagenetic constituent,Diagenetic constituent composition,Bioturbation intensity,Bioturbation intensity rank,General interval comment,Bottom contact or boundary type,Bottom contact geometry,Bottom contact definition,Clasts abundance,Clasts [%],Clast -  grain size,Diagenetic structure,Macrofossil,Macrofossil abundance name,Lithology prefix + name,Lithology name+suffix,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
371-U1507B-2R-3-A,0,72,378.65,379.37,,,,,clayey,nannofossil chalk [Leg339],,clayey nannofossil chalk,,,2.5Y 8/1 (white),layering,parallel lamination,,,,,,,,,4,mm-scale GLEY 1 4/5GY (dark greenish gray) lamination. mm-scale faulting,sharp boundary or contact,,sharp,,,,,,,clayey nannofossil chalk,nannofossil chalk,,,,371,U1507,B,2,R,3,A,
371-U1507B-2R-3-A,72,103,379.37,379.68,,,,,foraminiferal [Leg339],nannofossil chalk [Leg339],,foraminiferal nannofossil chalk,,,N 8 (white),massive [BJ84],,,,,fine sand [W22_2],4,,,,,,,,,,,,,,,foraminiferal nannofossil chalk,nannofossil chalk,,,,371,U1507,B,2,R,3,A,
371-U1507B-2R-4-A,0,5,379.68,379.73,,,,,,foraminiferal limestone,,foraminiferal limestone,,,N 8 (white),massive [BJ84],,,load cast [BJ84],,fine sand [W22_2],4,,,,,,sharp boundary or contact,,sharp,,,,,,,foraminiferal limestone,foraminiferal limestone,,,,371,U1507,B,2,R,4,A,
371-U1507B-2R-4-A,5,80,379.73,380.48,,,,,clayey,nannofossil chalk [Leg339],,clayey nannofossil chalk,,,2.5Y 8/1 (white),layering,parallel lamination,,,,,,,,,4,"mm-scale GLEY 1 4/5GY (dark greenish gray) lamination at ~20, ~43 and 44cm. Slump structures at ~35cm",,,,,,,,,,clayey nannofossil chalk,nannofossil chalk,,,,371,U1507,B,2,R,4,A,
371-U1507B-2R-CC-A,0,7,380.48,380.55,,,,,clayey,nannofossil chalk [Leg339],,clayey nannofossil chalk,,,2.5Y 8/1 (white),,,,,,,,,,,4,,,,,,,,,,,clayey nannofossil chalk,nannofossil chalk,,,,371,U1507,B,2,R,CC,A,
371-U1507B-3R-1-A,0,6,385.5,385.56,,,,,clayey,nannofossil chalk [Leg339],,clayey nannofossil chalk,,,2.5Y 8/1 (white),,,,,,,,,,,,,sharp boundary or contact,,sharp,,,,,,,clayey nannofossil chalk,nannofossil chalk,,,,371,U1507,B,3,R,1,A,
371-U1507B-3R-1-A,6,7,385.56,385.57,,,,,,foraminiferal limestone,,foraminiferal limestone,,,N 8 (white),,,,,,fine sand [W22_2],4,,,,,,sharp boundary or contact,,sharp,,,,,,,foraminiferal limestone,foraminiferal limestone,,,,371,U1507,B,3,R,1,A,
371-U1507B-3R-1-A,7,148,385.57,386.98,,,,,clayey,nannofossil chalk [Leg339],,clayey nannofossil chalk,,,2.5Y 8/1 (white),tilted bedding,non-parallel stratification,,,,,,,,,,Slightly tilted lamination and micro-fault,gradational boundary or contact,,,,,,,,,clayey nannofossil chalk,nannofossil chalk,,,,371,U1507,B,3,R,1,A,
371-U1507B-3R-2-A,0,30,386.98,387.28,,,,,clayey,nannofossil chalk [Leg339],,clayey nannofossil chalk,,,2.5Y 8/1 (white),,parallel lamination,,,,,,,,,,,gradational boundary or contact,,,,,,,,,clayey nannofossil chalk,nannofossil chalk,,,,371,U1507,B,3,R,2,A,
371-U1507B-3R-2-A,30,34,387.28,387.32,,,,,nannofossil-rich [2014b],claystone [USGS],with volcanic ash [2014],nannofossil-rich claystone with volcanic ash,,,GLEY 1 4/5GY (dark greenish gray),,,,,,,,,,heavy [DB91],4,,gradational boundary or contact,,,,,,,,,nannofossil-rich claystone,claystone with volcanic ash,,,,371,U1507,B,3,R,2,A,
371-U1507B-3R-2-A,34,74,387.32,387.72,,,,,,nannofossil chalk [Leg339],,nannofossil chalk,,,2.5Y 8/1 (white),,,,,,,,,,,,Thin tuff layer at 42cm,gradational boundary or contact,,,,,,,,,nannofossil chalk,nannofossil chalk,,,,371,U1507,B,3,R,2,A,
371-U1507B-3R-2-A,74,79,387.72,387.77,,,,,nannofossil-rich [2014b],claystone [USGS],with volcanic ash [2014],nannofossil-rich claystone with volcanic ash,,,GLEY 1 4/5GY (dark greenish gray),,,,,,,,,,heavy [DB91],4,,gradational boundary or contact,,,,,,,,,nannofossil-rich claystone,claystone with volcanic ash,,,,371,U1507,B,3,R,2,A,
371-U1507B-3R-2-A,79,125,387.77,388.23,,,,,clayey,nannofossil chalk [Leg339],,clayey nannofossil chalk,,,2.5Y 8/3 (pale yellow),,,,,,,,,,moderate [B06],3,Thin tuff layer at 104cm,gradational boundary or contact,,,,,,,,,clayey nannofossil chalk,nannofossil chalk,,,,371,U1507,B,3,R,2,A,
371-U1507B-3R-2-A,125,128,388.23,388.26,,,,,nannofossil-rich [2014b],claystone [USGS],with volcanic ash [2014],nannofossil-rich claystone with volcanic ash,,,GLEY 1 4/5GY (dark greenish gray),,,,,,,,,,heavy [DB91],4,,gradational boundary or contact,,,,,,,,,nannofossil-rich claystone,claystone with volcanic ash,,,,371,U1507,B,3,R,2,A,
371-U1507B-3R-2-A,128,137,388.26,388.35,,,,,clayey,nannofossil chalk [Leg339],,clayey nannofossil chalk,,,2.5Y 8/3 (pale yellow),,,,,,,,,,,,Thin tuff layer at 133cm,gradational boundary or contact,,,,,,,,,clayey nannofossil chalk,nannofossil chalk,,,,371,U1507,B,3,R,2,A,
371-U1507B-3R-3-A,0,55,388.35,388.9,,,,,clayey,nannofossil chalk [Leg339],,clayey nannofossil chalk,,,2.5Y 8/3 (pale yellow),,,,,,,,,,,,Thin tuff layer at 133cm,gradational boundary or contact,,,,,,,,,clayey nannofossil chalk,nannofossil chalk,,,,371,U1507,B,3,R,3,A,
371-U1507B-3R-3-A,55,78,388.9,389.13,,,,,nannofossil-rich [2014b],claystone [USGS],with volcanic ash [2014],nannofossil-rich claystone with volcanic ash,,,GLEY 1 4/5GY (dark greenish gray),,,,,,,,,,heavy [DB91],4,,gradational boundary or contact,,,,,,,,,nannofossil-rich claystone,claystone with volcanic ash,,,,371,U1507,B,3,R,3,A,
371-U1507B-3R-3-A,78,114,389.13,389.49,,,,,clayey,nannofossil chalk [Leg339],,clayey nannofossil chalk,,,2.5Y 8/3 (pale yellow),,,,,,,,,,moderate [B06],3,,,,,,,,,,,clayey nannofossil chalk,nannofossil chalk,,,,371,U1507,B,3,R,3,A,
371-U1507B-3R-3-A,114,118,389.49,389.53,,,,,nannofossil-rich [2014b],claystone [USGS],with volcanic ash [2014],nannofossil-rich claystone with volcanic ash,,,GLEY 1 4/5GY (dark greenish gray),,,,,,,,,,heavy [DB91],4,,,,,,,,,,,nannofossil-rich claystone,claystone with volcanic ash,,,,371,U1507,B,3,R,3,A,
371-U1507B-3R-3-A,118,136,389.53,389.71,,,,,clayey,nannofossil chalk [Leg339],,clayey nannofossil chalk,,,2.5Y 8/3 (pale yellow),,,,,,,,,,moderate [B06],3,,,,,,,,,,,clayey nannofossil chalk,nannofossil chalk,,,,371,U1507,B,3,R,3,A,
371-U1507B-3R-4-A,0,9,389.71,389.8,,,,,clayey,nannofossil chalk [Leg339],,clayey nannofossil chalk,,,2.5Y 8/3 (pale yellow),,,,,,,,,,moderate [B06],3,dark green clay at 0-1cm,,,,,,,,,,clayey nannofossil chalk,nannofossil chalk,,,,371,U1507,B,3,R,4,A,
371-U1507B-3R-4-A,9,11,389.8,389.82,,,,,nannofossil-rich [2014b],claystone [USGS],with volcanic ash [2014],nannofossil-rich claystone with volcanic ash,,,GLEY 1 4/5GY (dark greenish gray),,,,,,,,,,heavy [DB91],4,,,,,,,,,,,nannofossil-rich claystone,claystone with volcanic ash,,,,371,U1507,B,3,R,4,A,
371-U1507B-3R-4-A,11,41,389.82,390.12,,,,,clayey,nannofossil chalk [Leg339],,clayey nannofossil chalk,,,2.5Y 8/3 (pale yellow),,,,,,,,,,moderate [B06],3,,,,,,,,,,,clayey nannofossil chalk,nannofossil chalk,,,,371,U1507,B,3,R,4,A,
371-U1507B-3R-4-A,41,47,390.12,390.18,,,,,foraminiferal [Leg339],conglomerate [USGS],with bioclasts,foraminiferal conglomerate with bioclasts,,,,bed,,normal grading,,medium bed [B01],pebble [W22_3],9,,,,,"Clasts from sand to pebbles with matrix, including bioclasts (bivalves). Large dark clast of bioclastic sand includes foraminifers. Poorly sorted. Varied color.",sharp inclined boundary or contact,,sharp,,,,,,,foraminiferal conglomerate,conglomerate with bioclasts,,,,371,U1507,B,3,R,4,A,
371-U1507B-3R-4-A,47,52,390.18,390.23,,,,,clayey,nannofossil chalk [Leg339],,clayey nannofossil chalk,,,2.5Y 8/3 (pale yellow),,,,,,,,,,moderate [B06],3,,sharp boundary or contact,,sharp,,,,,,,clayey nannofossil chalk,nannofossil chalk,,,,371,U1507,B,3,R,4,A,
371-U1507B-3R-4-A,52,81,390.23,390.52,,,,,nannofossil-rich [2014b],clay [USGS],,nannofossil-rich clay,,,2.5Y 7/2 (light gray),tilted bedding,non-parallel stratification,,,,,,,,moderate [B06],3,erosional surface at 70cm,sharp inclined boundary or contact,,sharp,,,,,,,nannofossil-rich clay,clay,,,,371,U1507,B,3,R,4,A,
371-U1507B-3R-4-A,81,127,390.52,390.98,,,,,clayey,nannofossil chalk [Leg339],with volcanic ash [2014],clayey nannofossil chalk with volcanic ash,,,2.5Y 8/3 (pale yellow),tilted bedding,,,,,,,,,moderate [B06],3,Slightly tilted bedding,,,,,,,,,,clayey nannofossil chalk,nannofossil chalk with volcanic ash,,,,371,U1507,B,3,R,4,A,
371-U1507B-3R-5-A,0,117,390.98,392.15,,,,,clayey,nannofossil chalk [Leg339],with volcanic ash [2014],clayey nannofossil chalk with volcanic ash,,,2.5Y 8/3 (pale yellow),tilted bedding,,,,,,,,,moderate [B06],3,Slightly tilted bedding and syn-sedimentary fluage. cm-scale rip pup clast at ~62cm,,,,,,,,,,clayey nannofossil chalk,nannofossil chalk with volcanic ash,,,,371,U1507,B,3,R,5,A,
371-U1507B-4R-1-A,0,21,395.1,395.31,,,,,clayey,nannofossil chalk [Leg339],with volcanic ash [2014],clayey nannofossil chalk with volcanic ash,,,2.5Y 8/2 (pale yellow),,,,,,,,,,slight [B06],2,,bioturbated boundary or contact,,diffuse,,,,,,,clayey nannofossil chalk,nannofossil chalk with volcanic ash,,,,371,U1507,B,4,R,1,A,
371-U1507B-4R-1-A,21,26,395.31,395.36,,,,,nannofossil-rich [2014b],claystone [USGS],with volcanic ash [2014],nannofossil-rich claystone with volcanic ash,,,GLEY 1 4/5GY (dark greenish gray),,,,,,,,,,heavy [DB91],4,presence of zoophycos and phycosyphon,bioturbated boundary or contact,,diffuse,,,,,,,nannofossil-rich claystone,claystone with volcanic ash,,,,371,U1507,B,4,R,1,A,
371-U1507B-4R-1-A,26,32,395.36,395.42,,,,,clayey,nannofossil chalk [Leg339],with volcanic ash [2014],clayey nannofossil chalk with volcanic ash,,,2.5Y 8/2 (pale yellow),,,,,,,,,,slight [B06],2,,bioturbated boundary or contact,,diffuse,,,,,,,clayey nannofossil chalk,nannofossil chalk with volcanic ash,,,,371,U1507,B,4,R,1,A,
371-U1507B-4R-1-A,32,36,395.42,395.46,,,,,nannofossil-rich [2014b],claystone [USGS],with volcanic ash [2014],nannofossil-rich claystone with volcanic ash,,,GLEY 1 4/5GY (dark greenish gray),,,,,,,,,,heavy [DB91],4,presence of zoophycos and phycosyphon,bioturbated boundary or contact,,sharp,,,,,,,nannofossil-rich claystone,claystone with volcanic ash,,,,371,U1507,B,4,R,1,A,
371-U1507B-4R-1-A,36,51,395.46,395.61,,,,,clayey,nannofossil chalk [Leg339],with volcanic ash [2014],clayey nannofossil chalk with volcanic ash,,,2.5Y 8/2 (pale yellow),,,,,,,,,,slight [B06],2,,bioturbated boundary or contact,,diffuse,,,,,,,clayey nannofossil chalk,nannofossil chalk with volcanic ash,,,,371,U1507,B,4,R,1,A,
371-U1507B-4R-1-A,51,53,395.61,395.63,,,,,clayey,nannofossil chalk [Leg339],with volcanic ash [2014],clayey nannofossil chalk with volcanic ash,,,2.5Y 8/2 (pale yellow),,,,,,,,,,heavy [DB91],4,presence of zoophycos and phycosyphon,sharp boundary or contact,,sharp,,,,,,,clayey nannofossil chalk,nannofossil chalk with volcanic ash,,,,371,U1507,B,4,R,1,A,
371-U1507B-4R-1-A,53,68,395.63,395.78,,,,,clayey,nannofossil chalk [Leg339],with volcanic ash [2014],clayey nannofossil chalk with volcanic ash,,,2.5Y 8/2 (pale yellow),,,,,,,,,,moderate [B06],3,cm-scale tuff at ~60 and 65cm,,,,,,,,,,clayey nannofossil chalk,nannofossil chalk with volcanic ash,,,,371,U1507,B,4,R,1,A,
371-U1507B-4R-1-A,68,101,395.78,396.11,,,,,clayey,nannofossil chalk [Leg339],with volcanic ash [2014],clayey nannofossil chalk with volcanic ash,,,2.5Y 8/2 (pale yellow),,,,,,,,,,slight [B06],2,,,,,,,,,,,clayey nannofossil chalk,nannofossil chalk with volcanic ash,,,,371,U1507,B,4,R,1,A,
371-U1507B-4R-1-A,101,107,396.11,396.17,,,,,nannofossil-rich [2014b],claystone [USGS],with volcanic ash [2014],nannofossil-rich claystone with volcanic ash,,,GLEY 1 4/5GY (dark greenish gray),,,,,,,,,,heavy [DB91],4,presence of zoophycos and phycosyphon,bioturbated boundary or contact,,sharp,,,,,,,nannofossil-rich claystone,claystone with volcanic ash,,,,371,U1507,B,4,R,1,A,
371-U1507B-4R-1-A,107,126,396.17,396.36,,,,,clayey,nannofossil chalk [Leg339],with volcanic ash [2014],clayey nannofossil chalk with volcanic ash,,,2.5Y 8/2 (pale yellow),,,,,,,,,,slight [B06],2,cm-scale tuff at 113cm,bioturbated boundary or contact,,diffuse,,,,,,,clayey nannofossil chalk,nannofossil chalk with volcanic ash,,,,371,U1507,B,4,R,1,A,
371-U1507B-4R-1-A,126,131,396.36,396.41,,,,,nannofossil-rich [2014b],claystone [USGS],with volcanic ash [2014],nannofossil-rich claystone with volcanic ash,,,GLEY 1 4/5GY (dark greenish gray),,,,,,,,,,heavy [DB91],4,cm-scale tuff at 129cm,bioturbated boundary or contact,,sharp,,,,,,,nannofossil-rich claystone,claystone with volcanic ash,,,,371,U1507,B,4,R,1,A,
371-U1507B-4R-2-A,0,30,396.41,396.71,,,,,clayey,nannofossil chalk [Leg339],with volcanic ash [2014],clayey nannofossil chalk with volcanic ash,,,2.5Y 8/2 (pale yellow),,,,,,,,,,moderate [B06],3,bioturbation intensity increases with depth,bioturbated boundary or contact,,diffuse,,,,,,,clayey nannofossil chalk,nannofossil chalk with volcanic ash,,,,371,U1507,B,4,R,2,A,
371-U1507B-4R-2-A,30,32,396.71,396.73,,,,,nannofossil-rich [2014b],claystone [USGS],with volcanic ash [2014],nannofossil-rich claystone with volcanic ash,,,GLEY 1 4/5GY (dark greenish gray),,,,,,,,,,heavy [DB91],4,,bioturbated boundary or contact,,sharp to gradational,,,,,,,nannofossil-rich claystone,claystone with volcanic ash,,,,371,U1507,B,4,R,2,A,
371-U1507B-4R-2-A,32,40,396.73,396.81,,,,,clayey,nannofossil chalk [Leg339],with volcanic ash [2014],clayey nannofossil chalk with volcanic ash,,,2.5Y 8/2 (pale yellow),,,,,,,,,,moderate [B06],3,,,,,,,,,,,clayey nannofossil chalk,nannofossil chalk with volcanic ash,,,,371,U1507,B,4,R,2,A,
371-U1507B-4R-2-A,40,44,396.81,396.85,,,,,,foraminiferal limestone,with nannofossils [2014],foraminiferal limestone with nannofossils,,,2.5Y 9.5/2 (very pale yellow),bed,parallel lamination,,,thin bed [B01],fine sand [W22_2],4,,,absent,0,CaCO3 analysis to verify. SS analysis reveal a tuff layer. bioturbation or rip up clast is present,,,,,,,,,,foraminiferal limestone,foraminiferal limestone with nannofossils,,,,371,U1507,B,4,R,2,A,
371-U1507B-4R-2-A,44,51,396.85,396.92,,,,,clayey,nannofossil chalk [Leg339],with volcanic ash [2014],clayey nannofossil chalk with volcanic ash,,,2.5Y 8/2 (pale yellow),,,,,,,,,,heavy [DB91],4,possibly non recovered interval,uncertain boundary or contact,,sharp,,,,,,,clayey nannofossil chalk,nannofossil chalk with volcanic ash,,,,371,U1507,B,4,R,2,A,
371-U1507B-4R-2-A,51,58,396.92,396.99,,,,,clayey,nannofossil chalk [Leg339],with volcanic ash [2014],clayey nannofossil chalk with volcanic ash,,,2.5Y 8/2 (pale yellow),,,,,,,,,,moderate [B06],3,,,,,,,,,,,clayey nannofossil chalk,nannofossil chalk with volcanic ash,,,,371,U1507,B,4,R,2,A,
371-U1507B-4R-2-A,58,63,396.99,397.04,,,,,,foraminiferal limestone,with nannofossils [2014],foraminiferal limestone with nannofossils,,,2.5Y 9.5/2 (very pale yellow),bed,,,,thin bed [B01],fine sand [W22_2],4,,,absent,0,CaCO3 analysis to verify. SS analysis reveal a tuff layer. bioturbation or rip up clast is present,sharp boundary or contact,,sharp,,,,,,,foraminiferal limestone,foraminiferal limestone with nannofossils,,,,371,U1507,B,4,R,2,A,
371-U1507B-4R-2-A,63,96,397.04,397.37,,,,,clayey,nannofossil chalk [Leg339],with volcanic ash [2014],clayey nannofossil chalk with volcanic ash,,,2.5Y 8/2 (pale yellow),,,,,,,,,,moderate [B06],3,,gradational boundary or contact,,diffuse,,,,,,,clayey nannofossil chalk,nannofossil chalk with volcanic ash,,,,371,U1507,B,4,R,2,A,
371-U1507B-4R-2-A,96,99,397.37,397.4,,,,,nannofossil-rich [2014b],claystone [USGS],with volcanic ash [2014],nannofossil-rich claystone with volcanic ash,,,GLEY 1 4/5GY (dark greenish gray),,,,,,,,,,heavy [DB91],4,,sharp boundary or contact,,sharp,,,,,,,nannofossil-rich claystone,claystone with volcanic ash,,,,371,U1507,B,4,R,2,A,
371-U1507B-4R-2-A,99,122,397.4,397.63,,,,,clayey,nannofossil chalk [Leg339],with volcanic ash [2014],clayey nannofossil chalk with volcanic ash,,,2.5Y 8/2 (pale yellow),,,,,,,,,,moderate [B06],3,,gradational boundary or contact,,diffuse,,,,,,,clayey nannofossil chalk,nannofossil chalk with volcanic ash,,,,371,U1507,B,4,R,2,A,
371-U1507B-4R-2-A,122,141,397.63,397.82,,,,,clayey,nannofossil chalk [Leg339],with volcanic ash [2014],clayey nannofossil chalk with volcanic ash,,,2.5Y 8/2 (pale yellow),,,,,,,,,,moderate [B06],3,,,,,,,,,,,clayey nannofossil chalk,nannofossil chalk with volcanic ash,,,,371,U1507,B,4,R,2,A,
371-U1507B-4R-3-A,0,17,397.82,397.99,,,,,clayey,nannofossil chalk [Leg339],with volcanic ash [2014],clayey nannofossil chalk with volcanic ash,,,2.5Y 8/2 (pale yellow),,,,,,,,,,moderate [B06],3,,sharp boundary or contact,,sharp,,,,,,,clayey nannofossil chalk,nannofossil chalk with volcanic ash,,,,371,U1507,B,4,R,3,A,
371-U1507B-4R-3-A,17,23,397.99,398.05,,,,,,foraminiferal limestone,with nannofossils [2014],foraminiferal limestone with nannofossils,,,2.5Y 9.5/2 (very pale yellow),bed,parallel lamination,,,thin bed [B01],fine sand [W22_2],4,,,absent,0,CaCO3 analysis to verify. SS analysis reveal a tuff layer. bioturbation or rip up clast is present,sharp boundary or contact,,sharp,,,,,,,foraminiferal limestone,foraminiferal limestone with nannofossils,,,,371,U1507,B,4,R,3,A,
371-U1507B-4R-3-A,23,35,398.05,398.17,,,,,clayey,nannofossil chalk [Leg339],with volcanic ash [2014],clayey nannofossil chalk with volcanic ash,,,2.5Y 8/2 (pale yellow),,,,,,,,,,moderate [B06],3,,bioturbated boundary or contact,,diffuse,,,,,,,clayey nannofossil chalk,nannofossil chalk with volcanic ash,,,,371,U1507,B,4,R,3,A,
371-U1507B-4R-3-A,35,36,398.17,398.18,,,,,nannofossil-rich [2014b],claystone [USGS],with volcanic ash [2014],nannofossil-rich claystone with volcanic ash,,,GLEY 1 4/5GY (dark greenish gray),,,,,,,,,,heavy [DB91],4,interval completely eroded by bioturbation,sharp boundary or contact,,sharp,,,,,,,nannofossil-rich claystone,claystone with volcanic ash,,,,371,U1507,B,4,R,3,A,
371-U1507B-4R-3-A,36,46,398.18,398.28,,,,,clayey,nannofossil chalk [Leg339],with volcanic ash [2014],clayey nannofossil chalk with volcanic ash,,,2.5Y 8/2 (pale yellow),,,,,,,,,,moderate [B06],3,,bioturbated boundary or contact,,diffuse,,,,,,,clayey nannofossil chalk,nannofossil chalk with volcanic ash,,,,371,U1507,B,4,R,3,A,
371-U1507B-4R-3-A,46,52,398.28,398.34,,,,,nannofossil-rich [2014b],claystone [USGS],with volcanic ash [2014],nannofossil-rich claystone with volcanic ash,,,GLEY 1 4/5GY (dark greenish gray),,,,,,,,,,heavy [DB91],4,,bioturbated boundary or contact,,diffuse,,,,,,,nannofossil-rich claystone,claystone with volcanic ash,,,,371,U1507,B,4,R,3,A,
371-U1507B-4R-3-A,52,88,398.34,398.7,,,,,clayey,nannofossil chalk [Leg339],with volcanic ash [2014],clayey nannofossil chalk with volcanic ash,,,2.5Y 8/2 (pale yellow),,,,,,,,,,moderate [B06],3,cm-scale layer of foraminiferal sandstone at ~58cm,bioturbated boundary or contact,,diffuse,,,,,,,clayey nannofossil chalk,nannofossil chalk with volcanic ash,,,,371,U1507,B,4,R,3,A,
