Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],MAJ Lith. Prefix,MAJ Lith. Principal name,MAJ Lith. Suffix,MAJ Lith. prefix+name+suffix,MAJ Lith. color,"Layer, boundary, lamination, grading",Diagenetic constituent,Diagenetic constituent composition,Bioturbation intensity,Bioturbation intensity rank,Deformational structures,General interval comment,MIN Lith. Prefix,MIN Lith. Principal name,MIN Lith. Suffix,MIN Lith. prefix + name,MIN Lith. prefix+name+suffix,MIN Lith. name+suffix,MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,Bottom contact geometry,Bottom contact definition,Layer or bedding thickness,Clasts abundance,Clast 1 igneous [%],Clast 1 igneous -  grain size,Clast 2 sediment [%],Clast 2 sediment grain size,Clast 3 -other lithology [%],Clast 3 -other lithology grain size,Diagenetic structure,Macrofossil,Macrofossil abundance name,MAJ Lith. prefix + name,MAJ Lith. name+suffix,MAJ lith. Abundance (%),MAJ lith ave. grain size,MAJ Lith. ave. grain size rank,MAJ Lith. max. grain size,MAJ Lith. max. grain size rank,File Data
342-U1410C-2H-6-A,342,U1410,C,2,2-6,H,6,A,35,61,14.65,14.91,nannofossil [Leg339],foraminiferal ooze [Leg339],,nannofossil  foraminiferal ooze ,5Y 5/1 (gray),,,,heavy_339 [DB91],5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil   foraminiferal ooze ,foraminiferal ooze ,,,,,,
342-U1410C-2H-6-A,342,U1410,C,2,2-6,H,6,A,61,91,14.91,15.21,,clay [Leg339],with silt [Leg339],clay  with silt ,5Y 6/1 (gray),,,,heavy_339 [DB91],5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay   with silt ,,,,,,
342-U1410C-2H-6-A,342,U1410,C,2,2-6,H,6,A,91,120,15.21,15.5,clayey [Leg339],foraminiferal ooze [Leg339],with nannofossils [Leg339],clayey  foraminiferal ooze  with nannofossils ,5Y 4/1 (dark gray),,,,heavy_339 [DB91],5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   foraminiferal ooze ,foraminiferal ooze   with nannofossils ,,,,,,
342-U1410C-2H-7-A,342,U1410,C,2,2-7,H,7,A,0,24,15.5,15.74,clayey [Leg339],foraminiferal ooze [Leg339],with nannofossils [Leg339],clayey  foraminiferal ooze  with nannofossils ,10Y 5/1 (greenish gray),,,,heavy_339 [DB91],5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   foraminiferal ooze ,foraminiferal ooze   with nannofossils ,,,,,,
342-U1410C-2H-7-A,342,U1410,C,2,2-7,H,7,A,24,53,15.74,16.03,,foraminiferal ooze [Leg339],with nannofossils [Leg339],foraminiferal ooze  with nannofossils ,10Y 5/1 (greenish gray),,,,heavy_339 [DB91],5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,foraminiferal ooze ,foraminiferal ooze   with nannofossils ,,,,,,
342-U1410C-2H-CC-A,342,U1410,C,2,2-CC,H,CC,A,0,11,16.03,16.19,,foraminiferal ooze [Leg339],with nannofossils [Leg339],foraminiferal ooze  with nannofossils ,10Y 6/1 (greenish gray),,,,heavy_339 [DB91],5.0,,foram sand,,,,,,,,,,,,,,,,,,,,,,,,,,,,foraminiferal ooze ,foraminiferal ooze   with nannofossils ,,,,,,
342-U1410C-3H-1-A,342,U1410,C,3,3-1,H,1,A,0,150,16.3,17.8,,foraminiferal ooze [Leg339],with nannofossils [Leg339],foraminiferal ooze  with nannofossils ,10Y 5/1 (greenish gray),,,,heavy_339 [DB91],5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,foraminiferal ooze ,foraminiferal ooze   with nannofossils ,,,,,,
342-U1410C-3H-2-A,342,U1410,C,3,3-2,H,2,A,0,150,17.8,19.3,,foraminiferal ooze [Leg339],with nannofossils [Leg339],foraminiferal ooze  with nannofossils ,10Y 5/1 (greenish gray),,,,heavy_339 [DB91],5.0,,"single sulfide blelbs in ower half, strongly homogenized still soupy",,,,,,,,,,,,,,,,,,,,,,,,,,,,foraminiferal ooze ,foraminiferal ooze   with nannofossils ,,,,,,
342-U1410C-3H-3-A,342,U1410,C,3,3-3,H,3,A,0,41,19.3,19.71,,foraminiferal ooze [Leg339],with nannofossils [Leg339],foraminiferal ooze  with nannofossils ,5Y 5/1 (gray),,,,heavy_339 [DB91],5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,foraminiferal ooze ,foraminiferal ooze   with nannofossils ,,,,,,
342-U1410C-3H-3-A,342,U1410,C,3,3-3,H,3,A,41,79,19.71,20.09,clayey [Leg339],foraminiferal ooze [Leg339],with silt [Leg339],clayey  foraminiferal ooze  with silt ,7.5YR 4/2 (brown),,,,heavy_339 [DB91],5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   foraminiferal ooze ,foraminiferal ooze   with silt ,,,,,,
342-U1410C-3H-3-A,342,U1410,C,3,3-3,H,3,A,79,150,20.09,20.8,,foraminiferal ooze [Leg339],with nannofossils [Leg339],foraminiferal ooze  with nannofossils ,5Y 5/1 (gray),,,,heavy_339 [DB91],5.0,,gets more clayey toward the bottom,,,,,,,,,,,,,,,,,,,,,,,,,,,,foraminiferal ooze ,foraminiferal ooze   with nannofossils ,,,,,,
342-U1410C-3H-4-A,342,U1410,C,3,3-4,H,4,A,0,49,20.8,21.29,,foraminiferal ooze [Leg339],with nannofossils [Leg339],foraminiferal ooze  with nannofossils ,10Y 5/1 (greenish gray),,,,heavy_339 [DB91],5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,foraminiferal ooze ,foraminiferal ooze   with nannofossils ,,,,,,
342-U1410C-3H-4-A,342,U1410,C,3,3-4,H,4,A,49,81,21.29,21.61,clayey [Leg339],foraminiferal ooze [Leg339],with silt [Leg339],clayey  foraminiferal ooze  with silt ,7.5YR 4/2 (brown),,,,heavy_339 [DB91],5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   foraminiferal ooze ,foraminiferal ooze   with silt ,,,,,,
342-U1410C-3H-4-A,342,U1410,C,3,3-4,H,4,A,81,150,21.61,22.3,,foraminiferal ooze [Leg339],with nannofossils [Leg339],foraminiferal ooze  with nannofossils ,5Y 5/1 (gray),,,,heavy_339 [DB91],5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,foraminiferal ooze ,foraminiferal ooze   with nannofossils ,,,,,,
342-U1410C-3H-5-A,342,U1410,C,3,3-5,H,5,A,0,62,22.3,22.92,clayey [Leg339],foraminiferal ooze [Leg339],with nannofossils [Leg339],clayey  foraminiferal ooze  with nannofossils ,5Y 5/1 (gray),,,,heavy_339 [DB91],5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   foraminiferal ooze ,foraminiferal ooze   with nannofossils ,,,,,,
342-U1410C-3H-5-A,342,U1410,C,3,3-5,H,5,A,62,143,22.92,23.73,clayey [Leg339],foraminiferal ooze [Leg339],with silt [Leg339],clayey  foraminiferal ooze  with silt ,5Y 4/1 (dark gray),,,,heavy_339 [DB91],5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   foraminiferal ooze ,foraminiferal ooze   with silt ,,,,,,
342-U1410C-3H-5-A,342,U1410,C,3,3-5,H,5,A,143,150,23.73,23.8,clayey [Leg339],foraminiferal ooze [Leg339],with silt [Leg339],clayey  foraminiferal ooze  with silt ,5Y 5/1 (gray),,,,heavy_339 [DB91],5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   foraminiferal ooze ,foraminiferal ooze   with silt ,,,,,,
342-U1410C-3H-6-A,342,U1410,C,3,3-6,H,6,A,0,120,23.8,25.0,clayey [Leg339],foraminiferal ooze [Leg339],with nannofossils [Leg339],clayey  foraminiferal ooze  with nannofossils ,5Y 5/1 (gray),,,,heavy_339 [DB91],5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   foraminiferal ooze ,foraminiferal ooze   with nannofossils ,,,,,,
342-U1410C-3H-7-A,342,U1410,C,3,3-7,H,7,A,0,57,25.0,25.57,clayey [Leg339],foraminiferal ooze [Leg339],with nannofossils [Leg339],clayey  foraminiferal ooze  with nannofossils ,5Y 5/1 (gray),,,,heavy_339 [DB91],5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   foraminiferal ooze ,foraminiferal ooze   with nannofossils ,,,,,,
342-U1410C-3H-CC-A,342,U1410,C,3,3-CC,H,CC,A,0,15,25.57,25.78,clayey [Leg339],foraminiferal ooze [Leg339],with nannofossils [Leg339],clayey  foraminiferal ooze  with nannofossils ,5Y 5/1 (gray),,,,heavy_339 [DB91],5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   foraminiferal ooze ,foraminiferal ooze   with nannofossils ,,,,,,
