Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,MAJ Lith. prefix+name [read only],Sediment structures,MAJ Lith. color,Bioturbation intensity,Clast abundance,Macrofossil,MAJ Lith. ave. grain size ,Diagenetic constituent,Diagenetic constituent composition,General interval comment,MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,Bottom contact geometry,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Prefix,Minor Lithology Suffix,Lithology Suffix,Minor Lithology Name,Extra Sample ID Data
363-U1483A-1H-6-A,0.0,96.0,7.5,8.46,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,5GY 6/1 (greenish gray),slight [DB86],,,,,,pteropod tests,,,,,,,,,,,,,363,U1483,A,1,H,6,A,,,,,
363-U1483A-1H-CC-A,0.0,12.0,8.46,8.58,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,5GY 6/1 (greenish gray),slight [DB86],,,,,,pteropod tests,,,,,,,,,,,,,363,U1483,A,1,H,CC,A,,,,,
363-U1483A-2H-1-A,0.0,150.0,8.6,10.1,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,5GY 6/1 (greenish gray),moderate [DB86],,,,,,pteropod tests,,,,,,,,,,,,,363,U1483,A,2,H,1,A,,,,,
363-U1483A-2H-2-A,0.0,150.0,10.1,11.6,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,5GY 6/1 (greenish gray),moderate [DB86],,,,,,pteropod tests,,,,,,,,,,,,,363,U1483,A,2,H,2,A,,,,,
363-U1483A-2H-3-A,0.0,114.0,11.6,12.74,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,5GY 6/1 (greenish gray),moderate [DB86],,,,,,pteropod tests,,,,,,,,,,,,,363,U1483,A,2,H,3,A,,,,,
363-U1483A-2H-3-A,114.0,145.0,12.74,13.05,clay-rich and foramaniferal-bearing [X363],nannofossil ooze [Leg339],clay-rich and foramaniferal-bearing nannofossil ooze,,10Y 5/1 (greenish gray),slight [DB86],,,,,,pteropod-concentrated layer in the upper part,,,,,,,,,,,,,363,U1483,A,2,H,3,A,,,,,
363-U1483A-2H-4-A,0.0,150.0,13.1,14.6,clay-rich and foramaniferal-bearing [X363],nannofossil ooze [Leg339],clay-rich and foramaniferal-bearing nannofossil ooze,,10Y 5/1 (greenish gray),slight [DB86],,,,,,pteropod tests,,,,,,,,,,,,,363,U1483,A,2,H,4,A,,,,,
363-U1483A-2H-5-A,0.0,150.0,14.6,16.1,clay-rich and foramaniferal-bearing [X363],nannofossil ooze [Leg339],clay-rich and foramaniferal-bearing nannofossil ooze,,10Y 5/1 (greenish gray),slight [DB86],,,,,,pteropod tests,,,,,,,,,,,,,363,U1483,A,2,H,5,A,,,,,
363-U1483A-2H-6-A,0.0,145.0,16.1,17.55,clay-rich and foramaniferal-bearing [X363],nannofossil ooze [Leg339],clay-rich and foramaniferal-bearing nannofossil ooze,,10Y 5/1 (greenish gray),slight [DB86],,,,,,pteropod tests,,,,,,,,,,,,,363,U1483,A,2,H,6,A,,,,,
363-U1483A-2H-7-A,0.0,15.0,17.6,17.75,clay-rich and foramaniferal-bearing [X363],nannofossil ooze [Leg339],clay-rich and foramaniferal-bearing nannofossil ooze,,10Y 5/1 (greenish gray),slight [DB86],,,,,,pteropod tests,,,,,,,,,,,,,363,U1483,A,2,H,7,A,,,,,
363-U1483A-2H-7-A,15.0,72.0,17.75,18.32,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,5GY 6/1 (greenish gray),moderate [DB86],,,,,,pteropod tests,,,,,,,,,,,,,363,U1483,A,2,H,7,A,,,,,
363-U1483A-2H-CC-A,0.0,24.0,18.32,18.56,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,5GY 6/1 (greenish gray),moderate [DB86],,,,,,pteropod tests,,,,,,,,,,,,,363,U1483,A,2,H,CC,A,,,,,
363-U1483A-3H-1-A,0.0,150.0,18.1,19.6,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,5GY 6/1 (greenish gray),slight [DB86],,,,,,pteropod tests,,,,,,,,,,,,,363,U1483,A,3,H,1,A,,,,,
363-U1483A-3H-2-A,0.0,150.0,19.6,21.1,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,5GY 6/1 (greenish gray),slight [DB86],,,,,,pteropod tests,,,,,,,,,,,,,363,U1483,A,3,H,2,A,,,,,
363-U1483A-3H-3-A,0.0,94.0,21.1,22.04,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,5GY 6/1 (greenish gray),slight [DB86],,,,,,pteropod tests,,,,,,,,,,,,,363,U1483,A,3,H,3,A,,,,,
363-U1483A-3H-3-A,94.0,145.0,22.04,22.55,clay-rich and foramaniferal-bearing [X363],nannofossil ooze [Leg339],clay-rich and foramaniferal-bearing nannofossil ooze,,10Y 5/1 (greenish gray),slight [DB86],,,,,,pteropod tests,,,,,,,,,,,,,363,U1483,A,3,H,3,A,,,,,
363-U1483A-3H-4-A,0.0,150.0,22.6,24.1,clay-rich and foramaniferal-bearing [X363],nannofossil ooze [Leg339],clay-rich and foramaniferal-bearing nannofossil ooze,,10Y 5/1 (greenish gray),slight [DB86],,,,,,pteropod tests,,,,,,,,,,,,,363,U1483,A,3,H,4,A,,,,,
363-U1483A-3H-5-A,0.0,12.0,24.1,24.22,clay-rich and foramaniferal-bearing [X363],nannofossil ooze [Leg339],clay-rich and foramaniferal-bearing nannofossil ooze,,10Y 5/1 (greenish gray),slight [DB86],,,,,,pteropod tests,,,,,,,,,,,,,363,U1483,A,3,H,5,A,,,,,
363-U1483A-3H-5-A,12.0,150.0,24.22,25.6,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,5GY 6/1 (greenish gray),slight [DB86],,,,,,pteropod tests,,,,,,,,,,,,,363,U1483,A,3,H,5,A,,,,,
363-U1483A-3H-6-A,0.0,117.8,25.6,26.778000000000002,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,5GY 6/1 (greenish gray),slight [DB86],,,,,,pteropod tests,,,,,,,,,,,,,363,U1483,A,3,H,6,A,,,,,
363-U1483A-3H-6-A,117.8,119.5,26.778000000000002,26.795,,ash(tuff) [MMK88m],ash(tuff),,10YR 2/1 (black),slight [DB86],,,,,,tephra,,,,,,,,,,,,,363,U1483,A,3,H,6,A,,,,,
363-U1483A-3H-6-A,119.5,145.0,26.795,27.05,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,5GY 6/1 (greenish gray),slight [DB86],,,,,,pteropod tests,,,,,,,,,,,,,363,U1483,A,3,H,6,A,,,,,
363-U1483A-3H-7-A,0.0,69.0,27.1,27.79,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,5GY 6/1 (greenish gray),slight [DB86],,,,,,pteropod tests,,,,,,,,,,,,,363,U1483,A,3,H,7,A,,,,,
363-U1483A-3H-CC-A,0.0,20.0,27.79,27.99,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,5GY 6/1 (greenish gray),slight [DB86],,,,,,pteropod tests,,,,,,,,,,,,,363,U1483,A,3,H,CC,A,,,,,
363-U1483A-4H-1-A,0.0,90.0,27.6,28.5,clay-bearing ash-bearing [X363],nannofossil ooze [Leg339],clay-bearing ash-bearing nannofossil ooze,,5GY 6/1 (greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,,363,U1483,A,4,H,1,A,,,,,
363-U1483A-4H-1-A,90.0,142.0,28.5,29.02,clay-bearing ash-bearing [X363],nannofossil ooze [Leg339],clay-bearing ash-bearing nannofossil ooze,,5GY 7/1 (light greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,,363,U1483,A,4,H,1,A,,,,,
363-U1483A-4H-2-A,0.0,142.0,29.02,30.44,clay-bearing ash-bearing [X363],nannofossil ooze [Leg339],clay-bearing ash-bearing nannofossil ooze,,5GY 7/1 (light greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,,363,U1483,A,4,H,2,A,,,,,
363-U1483A-4H-3-A,0.0,130.0,30.44,31.74,ash-bearing diatom-rich [X363],nannofossil ooze [Leg339],ash-bearing diatom-rich nannofossil ooze,,5GY 7/1 (light greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,,363,U1483,A,4,H,3,A,,,,,
363-U1483A-4H-3-A,130.0,142.0,31.74,31.86,ash-bearing diatom-rich [X363],nannofossil ooze [Leg339],ash-bearing diatom-rich nannofossil ooze,,5GY 6/1 (greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,,363,U1483,A,4,H,3,A,,,,,
363-U1483A-4H-4-A,0.0,100.0,31.86,32.86,ash-bearing diatom-rich [X363],nannofossil ooze [Leg339],ash-bearing diatom-rich nannofossil ooze,,5GY 5/1 (greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,,363,U1483,A,4,H,4,A,,,,,
363-U1483A-4H-4-A,100.0,142.0,32.86,33.28,ash-bearing diatom-rich [X363],nannofossil ooze [Leg339],ash-bearing diatom-rich nannofossil ooze,,5GY 6/1 (greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,,363,U1483,A,4,H,4,A,,,,,
363-U1483A-4H-5-A,0.0,142.0,33.28,34.7,ash-bearing diatom-rich [X363],nannofossil ooze [Leg339],ash-bearing diatom-rich nannofossil ooze,,5GY 6/1 (greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,,363,U1483,A,4,H,5,A,,,,,
363-U1483A-4H-6-A,0.0,142.0,34.7,36.12,ash-bearing diatom-rich [X363],nannofossil ooze [Leg339],ash-bearing diatom-rich nannofossil ooze,,5GY 6/1 (greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,,363,U1483,A,4,H,6,A,,,,,
363-U1483A-4H-7-A,0.0,119.0,36.17,37.36,diatom-bearing ash-rich [X363],nannofossil ooze [Leg339],diatom-bearing ash-rich nannofossil ooze,,5GY 6/1 (greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,,363,U1483,A,4,H,7,A,,,,,
363-U1483A-4H-CC-A,0.0,41.0,37.36,37.77,diatom-bearing ash-rich [X363],nannofossil ooze [Leg339],diatom-bearing ash-rich nannofossil ooze,,5GY 6/1 (greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,,363,U1483,A,4,H,CC,A,,,,,
363-U1483A-5H-1-A,0.0,60.0,37.1,37.7,diatom-bearing ash-rich [X363],nannofossil ooze [Leg339],diatom-bearing ash-rich nannofossil ooze,,10Y 6/1 (greenish gray),heavy [DB86],,,,,,white carbonate specs and dark blueish specs throughout,,,,,,,,,,,,,363,U1483,A,5,H,1,A,,,,,
363-U1483A-5H-1-A,60.0,140.0,37.7,38.5,diatom-bearing ash-rich [X363],nannofossil ooze [Leg339],diatom-bearing ash-rich nannofossil ooze,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,white carbonate specs and dark blueish specs throughout,,,,,,,,,,,,,363,U1483,A,5,H,1,A,,,,,
363-U1483A-5H-2-A,0.0,125.0,38.5,39.75,diatom-bearing ash-rich [X363],nannofossil ooze [Leg339],diatom-bearing ash-rich nannofossil ooze,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,white carbonate specs and dark blueish specs throughout,,,,,,,,,,,,,363,U1483,A,5,H,2,A,,,,,
363-U1483A-5H-2-A,125.0,141.0,39.75,39.91,clay-bearing ash-bearing [X363],nannofossil ooze [Leg339],clay-bearing ash-bearing nannofossil ooze,,10Y 5/1 (greenish gray),heavy [DB86],,,,,,white carbonate specs and dark blueish specs throughout,,,,,,,,,,,,,363,U1483,A,5,H,2,A,,,,,
363-U1483A-5H-3-A,0.0,43.0,39.91,40.34,clay-bearing ash-bearing [X363],nannofossil ooze [Leg339],clay-bearing ash-bearing nannofossil ooze,,10Y 5/1 (greenish gray),moderate [DB86],,,,,,white carbonate specs and dark blueish specs throughout,,,,,,,,,,,,,363,U1483,A,5,H,3,A,,,,,
363-U1483A-5H-3-A,43.0,142.0,40.34,41.33,clay-bearing ash-bearing [X363],nannofossil ooze [Leg339],clay-bearing ash-bearing nannofossil ooze,,10Y 5/1 (greenish gray),moderate [DB86],,,,,,white carbonate specs and dark blueish specs throughout,,,,,,,,,,,,,363,U1483,A,5,H,3,A,,,,,
363-U1483A-5H-4-A,0.0,141.0,41.33,42.74,clay-bearing ash-bearing [X363],nannofossil ooze [Leg339],clay-bearing ash-bearing nannofossil ooze,,10Y 5/1 (greenish gray),moderate [DB86],,,,,,"clusters of sponge spicules, white carbonate specs and dark blueish specs throughout",,,,,,,,,,,,,363,U1483,A,5,H,4,A,,,,,
363-U1483A-5H-5-A,0.0,141.0,42.74,44.15,clay-bearing ash-bearing [X363],nannofossil ooze [Leg339],clay-bearing ash-bearing nannofossil ooze,,10Y 5/1 (greenish gray),moderate [DB86],,,,,,"pteropod, white carbonate specs and dark blueish specs throughout",,,,,,,,,,,,,363,U1483,A,5,H,5,A,,,,,
363-U1483A-5H-6-A,0.0,40.0,44.15,44.55,clay-bearing ash-bearing [X363],nannofossil ooze [Leg339],clay-bearing ash-bearing nannofossil ooze,,10Y 5/1 (greenish gray),moderate [DB86],,,,,,"foram-rich pocket, white carbonate specs and dark blueish specs throughout",,,,,,,,,,,,,363,U1483,A,5,H,6,A,,,,,
363-U1483A-5H-6-A,40.0,142.0,44.55,45.57,diatom-bearing ash-rich [X363],nannofossil ooze [Leg339],diatom-bearing ash-rich nannofossil ooze,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,white carbonate specs and dark blueish specs throughout,,,,,,,,,,,,,363,U1483,A,5,H,6,A,,,,,
363-U1483A-5H-7-A,0.0,118.0,45.62,46.8,diatom-bearing ash-rich [X363],nannofossil ooze [Leg339],diatom-bearing ash-rich nannofossil ooze,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,white carbonate specs and dark blueish specs throughout,,,,,,,,,,,,,363,U1483,A,5,H,7,A,,,,,
363-U1483A-5H-CC-A,0.0,23.0,46.8,47.03,diatom-bearing ash-rich [X363],nannofossil ooze [Leg339],diatom-bearing ash-rich nannofossil ooze,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,white carbonate specs and dark blueish specs throughout,,,,,,,,,,,,,363,U1483,A,5,H,CC,A,,,,,
363-U1483A-6H-1-A,0.0,125.0,46.6,47.85,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,5GY 6/1 (greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,,363,U1483,A,6,H,1,A,,,,,
363-U1483A-6H-1-A,125.0,142.0,47.85,48.02,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,10Y 5/1 (greenish gray),heavy [DB86],,,,,,blueish specs and small layers (of ash) throughout,,,,,,,,,,,,,363,U1483,A,6,H,1,A,,,,,
363-U1483A-6H-2-A,0.0,44.0,48.02,48.46,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,10Y 5/1 (greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,,363,U1483,A,6,H,2,A,,,,,
363-U1483A-6H-2-A,44.0,141.0,48.46,49.43,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,10Y 6/1 (greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,,363,U1483,A,6,H,2,A,,,,,
363-U1483A-6H-3-A,0.0,142.0,49.43,50.85,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,10Y 5/1 (greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,,363,U1483,A,6,H,3,A,,,,,
363-U1483A-6H-4-A,0.0,142.0,50.85,52.27,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,10Y 5/1 (greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,,363,U1483,A,6,H,4,A,,,,,
363-U1483A-6H-5-A,0.0,143.0,52.27,53.7,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1483,A,6,H,5,A,,,,,
363-U1483A-6H-6-A,0.0,54.0,53.7,54.24,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1483,A,6,H,6,A,,,,,
363-U1483A-6H-6-A,54.0,142.0,54.24,55.12,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1483,A,6,H,6,A,,,,,
363-U1483A-6H-7-A,0.0,112.0,55.17,56.29,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1483,A,6,H,7,A,,,,,
363-U1483A-6H-CC-A,0.0,19.0,56.29,56.48,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1483,A,6,H,CC,A,,,,,
363-U1483A-7H-1-A,0.0,45.0,56.1,56.55,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,5GY 6/1 (greenish gray),heavy [DB86],,,,,,very fine sediment,,,,,,,,,,,,,363,U1483,A,7,H,1,A,,,,,
363-U1483A-7H-1-A,45.0,142.0,56.55,57.52,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,10Y 5/1 (greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,,363,U1483,A,7,H,1,A,,,,,
363-U1483A-7H-2-A,0.0,142.0,57.52,58.94,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,10Y 5/1 (greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,,363,U1483,A,7,H,2,A,,,,,
363-U1483A-7H-3-A,0.0,142.0,58.94,60.36,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,10Y 5/1 (greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,,363,U1483,A,7,H,3,A,,,,,
363-U1483A-7H-4-A,0.0,64.0,60.36,61.0,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,10Y 5/1 (greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,,363,U1483,A,7,H,4,A,,,,,
363-U1483A-7H-4-A,64.0,141.0,61.0,61.77,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,5GY 6/1 (greenish gray),moderate [DB86],,,,,,very fine sediment,,,,,,,,,,,,,363,U1483,A,7,H,4,A,,,,,
363-U1483A-7H-5-A,0.0,142.0,61.77,63.19,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,5GY 6/1 (greenish gray),moderate [DB86],,,,,,very fine sediment,,,,,,,,,,,,,363,U1483,A,7,H,5,A,,,,,
363-U1483A-7H-6-A,0.0,40.0,63.19,63.59,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,5GY 6/1 (greenish gray),heavy [DB86],,,,,,very fine sediment,,,,,,,,,,,,,363,U1483,A,7,H,6,A,,,,,
363-U1483A-7H-6-A,40.0,141.0,63.59,64.6,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,5GY 7/1 (light greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,,363,U1483,A,7,H,6,A,,,,,
363-U1483A-7H-7-A,0.0,109.0,64.65,65.74,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,10Y 5/1 (greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,,363,U1483,A,7,H,7,A,,,,,
363-U1483A-7H-CC-A,0.0,38.0,65.74,66.12,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,10Y 5/1 (greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,,363,U1483,A,7,H,CC,A,,,,,
363-U1483A-8H-1-A,0.0,65.0,65.6,66.25,diatom-rich [X363],nannofossil clay [X363],diatom-rich nannofossil clay,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1483,A,8,H,1,A,,,,,
363-U1483A-8H-1-A,65.0,66.0,66.25,66.26,,ash(tuff) [MMK88m],ash(tuff),,5Y 8/1 (white),,,,,,,,,,,,,,,,,,,,363,U1483,A,8,H,1,A,,,,,
363-U1483A-8H-1-A,66.0,145.0,66.26,67.05,diatom-rich [X363],nannofossil clay [X363],diatom-rich nannofossil clay,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1483,A,8,H,1,A,,,,,
363-U1483A-8H-2-A,0.0,140.0,67.05,68.45,diatom-rich [X363],nannofossil clay [X363],diatom-rich nannofossil clay,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1483,A,8,H,2,A,,,,,
363-U1483A-8H-3-A,0.0,141.0,68.45,69.86,diatom-rich [X363],nannofossil clay [X363],diatom-rich nannofossil clay,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1483,A,8,H,3,A,,,,,
363-U1483A-8H-4-A,0.0,21.0,69.86,70.07,diatom-rich [X363],nannofossil clay [X363],diatom-rich nannofossil clay,,5GY 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1483,A,8,H,4,A,,,,,
363-U1483A-8H-4-A,21.0,22.0,70.07,70.08,,ashy clayey sand [X363],ashy clayey sand,,2.5Y 6/1 (gray),slight [DB86],,,,,,,,,,,,,,,,,,,363,U1483,A,8,H,4,A,,,,,
363-U1483A-8H-4-A,22.0,140.0,70.08,71.26,diatom-rich [X363],nannofossil clay [X363],diatom-rich nannofossil clay,,5GY 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1483,A,8,H,4,A,,,,,
363-U1483A-8H-5-A,0.0,50.0,71.26,71.76,diatom-rich [X363],nannofossil clay [X363],diatom-rich nannofossil clay,,5GY 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1483,A,8,H,5,A,,,,,
363-U1483A-8H-5-A,50.0,140.0,71.76,72.66,diatom-rich [X363],nannofossil clay [X363],diatom-rich nannofossil clay,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1483,A,8,H,5,A,,,,,
363-U1483A-8H-6-A,0.0,50.0,72.66,73.16,diatom-rich [X363],nannofossil clay [X363],diatom-rich nannofossil clay,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1483,A,8,H,6,A,,,,,
363-U1483A-8H-6-A,50.0,135.0,73.16,74.01,diatom-rich [X363],nannofossil clay [X363],diatom-rich nannofossil clay,,5GY 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1483,A,8,H,6,A,,,,,
363-U1483A-8H-7-A,0.0,124.0,74.06,75.3,diatom-rich [X363],nannofossil clay [X363],diatom-rich nannofossil clay,,5GY 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1483,A,8,H,7,A,,,,,
363-U1483A-8H-CC-A,0.0,16.0,75.3,75.46,diatom-rich [X363],nannofossil clay [X363],diatom-rich nannofossil clay,,5GY 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1483,A,8,H,CC,A,,,,,
363-U1483A-9H-1-A,0.0,140.0,75.1,76.5,,nannofossil ooze [Leg339],nannofossil ooze,,5GY 7/1 (light greenish gray),heavy [DB86],,,,,,foraminifer rich,,,,,,,,,,,,,363,U1483,A,9,H,1,A,,,,,
363-U1483A-9H-2-A,0.0,104.0,76.5,77.54,,nannofossil ooze [Leg339],nannofossil ooze,,5GY 7/1 (light greenish gray),heavy [DB86],,,,,,foraminifer rich,,,,,,,,,,,,,363,U1483,A,9,H,2,A,,,,,
