Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Drilling disturbance intensity,Drilling disturbance intensity rank,Lithology Principal Name,MAJ Lith. abundance [%],MAJ Lith. max. grain size,MAJ Lith. max. grain size rank,Minor Lithology Name,MIN Lith. abundance [%],MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Lith. comment,Clast percentage [%],Clast 1 igneous - pumiceous [%],Clast 1 igneous - pumiceous grain size,Clast 2 igneous - scoriaceous [%],Clast 2 igneous - scoriaceous grain size,Clast 3 igneous - massive [%],Clast 3 igneous - massive grain size,Clast 4 igneous - vesicular [%],Clast 4 igneous - vesicular grain size,Clast 5 volcaniclastic [%],Clast 5 volcaniclastic grain size,Clast 6 sediment [%],Clast 6 sediment grain size,Clast 7 -other lithology [%],Clast 7 -other lithology grain size,Clast lith. abund. sum [%],Clast lithology comment,Clast roundness,Matrix 1 igneous - pumiceous [%],Matrix 2 igneous - scoriaceous [%],Matrix 3 igneous - massive [%],Matrix 4 igneous - vesicular [%],Matrix 5 volcaniclastic [%],Matrix 6 sediment [%],Matrix 7 -other lithology [%],Matrix biogenic carbonate [%],Matrix detritical carbonate [%],Matrix carbonate [%],Matrix abund. sum [%],Matrix sorting,Matrix alteration intensity,Matrix alteration rank,Matrix comment,Deformational structures,Deformational structure strike [deg],Deformational structure dip [deg],Deformational structure comment,Groundmass modal percentage [%],Groundmass modal grain size [mm],Groundmass comments,File Data
340-U1396B-2H-5-A,340,U1396,B,2,2-5,H,5,A,62.0,105.0,11.62,12.05,minimal [drilling disturbance],1,calcareous sand [Leg210],100,fine sand [T07],4,,,,,100,Hemipelagic sediment,0,0,,0,,0,,0,,0,,0,,0,,,,,0,0,0,0,0,0,0,1,0,99,,very poor [BP01],moderate [alteration],4,,,,,,,,,
340-U1396B-2H-5-A,340,U1396,B,2,2-5,H,5,A,105.0,107.0,12.05,12.07,minimal [drilling disturbance],1,ash [F&S84],100,silt-fine mud [T07],2,,,,,100,Tephra,0,0,,0,,0,,0,,0,,0,,0,,,,,40,40,0,0,10,0,10,0,0,0,,well [BP01],absent [alteration],0,,,,,,,,,
340-U1396B-2H-5-A,340,U1396,B,2,2-5,H,5,A,107.0,110.0,12.07,12.1,minimal [drilling disturbance],1,volcaniclastic-breccia [BGS-S81],100,coarse sand [T07],7,,,,,100,Tephra,0,0,,0,,0,,0,,0,,0,,0,,,,,90,0,5,0,5,0,0,0,0,0,,very well [BP01],absent [alteration],0,,,,,,,,,
340-U1396B-2H-5-A,340,U1396,B,2,2-5,H,5,A,110.0,150.0,12.1,12.5,minimal [drilling disturbance],1,carbonate ooze [Leg178],100,silt-fine mud [T07],2,,,,,100,Hemipelagic sediment,0,0,,0,,0,,0,,0,,0,,0,,,,,0,0,0,0,0,0,0,1,0,99,,poor [BP01],moderate [alteration],4,,,,,,,,,
340-U1396B-2H-6-A,340,U1396,B,2,2-6,H,6,A,0.0,150.0,12.5,14.0,minimal [drilling disturbance],1,carbonate ooze [Leg178],100,silt-fine mud [T07],2,,,,,100,,2,0,,0,,0,,0,,0,,0,,100,medium sand [T07],,,rounded,0,0,0,0,0,0,0,0,0,100,,well [BP01],absent [alteration],0,,,,,,,,,
340-U1396B-2H-7-A,340,U1396,B,2,2-7,H,7,A,0.0,6.0,14.0,14.06,slight [drilling disturbance],2,volcaniclastic-sand [BGS-S81],65,fine sand [T07],4,calcareous sand [Leg210],35,fine sand [T07],4,100,Mixed volcanic and carbonate sand,0,0,,0,,0,,0,,0,,0,,0,,,,,0,0,10,0,55,0,0,30,5,0,,poor [BP01],moderate [alteration],4,,,,,,,,,
340-U1396B-2H-7-A,340,U1396,B,2,2-7,H,7,A,6.0,13.0,14.06,14.13,slight [drilling disturbance],2,calcareous sand [Leg210],100,fine sand [T07],4,,,,,100,Hemipelagic sediment,0,0,,0,,0,,0,,0,,0,,0,,,,,0,0,0,0,0,0,0,1,0,99,,poor [BP01],moderate [alteration],4,,,,,,,,,
340-U1396B-2H-7-A,340,U1396,B,2,2-7,H,7,A,13.0,18.0,14.13,14.18,slight [drilling disturbance],2,volcaniclastic-sand [BGS-S81],100,medium sand [T07],6,,,,,100,Tephra,0,0,,0,,0,,0,,0,,0,,0,,,,,5,0,0,10,85,0,0,0,0,0,,very well [BP01],absent [alteration],0,,,,,,,,,
340-U1396B-2H-7-A,340,U1396,B,2,2-7,H,7,A,18.0,66.0,14.18,14.66,slight [drilling disturbance],2,calcareous sand [Leg210],65,fine sand [T07],4,volcaniclastic-sand [BGS-S81],35,fine sand [T07],4,100,Mixed volcanic and carbonate sand,0,0,,0,,0,,0,,0,,0,,0,,,,,0,0,5,0,30,0,0,55,10,0,,poor [BP01],moderate [alteration],4,,,,,,,,,
340-U1396B-2H-7-A,340,U1396,B,2,2-7,H,7,A,66.0,72.0,14.66,14.72,slight [drilling disturbance],2,calcareous sand [Leg210],100,fine sand [T07],4,,,,,100,Hemipelagic sediment,0,0,,0,,0,,0,,0,,0,,0,,,,,0,0,0,0,0,0,0,1,0,99,,poor [BP01],moderate [alteration],4,,,,,,,,,
340-U1396B-2H-CC-A,340,U1396,B,2,2-CC,H,CC,A,0.0,23.0,14.72,14.95,minimal [drilling disturbance],1,carbonate ooze [Leg178],100,silt-fine mud [T07],2,,,,,100,,2,0,,0,,0,,0,,0,,0,,100,,,,rounded,0,0,0,0,0,0,0,0,0,100,,well [BP01],absent [alteration],0,,,,,,,,,
340-U1396B-2H-CC-A,340,U1396,B,2,2-CC,H,CC,A,23.0,28.0,14.95,15.0,,,,,,,,,,,,PAL,0,0,,0,,0,,0,,0,,0,,0,,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
