Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology prefix,Principal lithology,Lithology suffix,Lithology name,Grain size max [mm],Lithification,Lithification rank,Lithology [%],Lithology classification,Comment,File Data,Unnamed: 24
327-U1363B-5H-3-A,327,U1363,B,5,5-3,H,3,A,0,23,34.0,34.23,,medium sand-silt-clay,,medium sand-silt-clay,,,,,"Shepard, 1954",,,
327-U1363B-5H-3-A,327,U1363,B,5,5-3,H,3,A,23,32,34.23,34.32,,medium sand,,medium sand,,,,,"Shepard, 1954",,,
327-U1363B-5H-3-A,327,U1363,B,5,5-3,H,3,A,32,46,34.32,34.46,,silty clay [S54],,silty clay,,,,,"Shepard, 1954",,,
327-U1363B-5H-3-A,327,U1363,B,5,5-3,H,3,A,46,56,34.46,34.56,,medium sand,,medium sand,,,,,"Shepard, 1954",,,
327-U1363B-5H-3-A,327,U1363,B,5,5-3,H,3,A,56,84,34.56,34.84,,medium sand-silt-clay,,medium sand-silt-clay,,,,,"Shepard, 1954",,,
327-U1363B-5H-3-A,327,U1363,B,5,5-3,H,3,A,86,98,34.86,34.98,,medium sand,,medium sand,,,,,"Shepard, 1954",,,
327-U1363B-5H-3-A,327,U1363,B,5,5-3,H,3,A,98,125,34.98,35.25,,medium sand-silt-clay,,medium sand-silt-clay,,,,,"Shepard, 1954",,,
327-U1363B-5H-4-A,327,U1363,B,5,5-4,H,4,A,0,23,35.25,35.48,,medium sand,,medium sand,,,,,"Shepard, 1954",,,
327-U1363B-5H-4-A,327,U1363,B,5,5-4,H,4,A,23,61,35.48,35.86,,medium sand-silt-clay,,medium sand-silt-clay,,,,,"Shepard, 1954",,,
327-U1363B-5H-5-A,327,U1363,B,5,5-5,H,5,A,0,100,35.86,36.86,,medium sand,,medium sand,,,,,"Shepard, 1954",,,
327-U1363B-6H-1-A,327,U1363,B,6,6-1,H,1,A,0,84,40.5,41.34,,medium sand,,medium sand,,,,,"Shepard, 1954",,,
327-U1363B-6H-1-A,327,U1363,B,6,6-1,H,1,A,84,100,41.34,41.5,,medium sand-silt-clay,,medium sand-silt-clay,,,,,"Shepard, 1954",,,
327-U1363B-6H-2-A,327,U1363,B,6,6-2,H,2,A,0,16,41.5,41.66,,medium sand-silt-clay,,medium sand-silt-clay,,,,,"Shepard, 1954",,,
327-U1363B-6H-2-A,327,U1363,B,6,6-2,H,2,A,16,33,41.66,41.83,,silty clay [S54],,silty clay,,,,,"Shepard, 1954",,,
327-U1363B-6H-2-A,327,U1363,B,6,6-2,H,2,A,33,61,41.83,42.11,,medium sand,,medium sand,,,,,"Shepard, 1954",,,
327-U1363B-6H-CC-A,327,U1363,B,6,6-CC,H,CC,A,0,15,42.11,42.26,,medium sand,,medium sand,,,,,"Shepard, 1954",,,
327-U1363B-7X-1-A,327,U1363,B,7,7-1,X,1,A,0,69,42.5,43.19,,silty clay [S54],,silty clay,,,,,"Shepard, 1954",,,
327-U1363B-7X-1-A,327,U1363,B,7,7-1,X,1,A,69,76,43.19,43.26,,fine sand [S54],,fine sand,,,,,"Shepard, 1954",,,
327-U1363B-7X-1-A,327,U1363,B,7,7-1,X,1,A,76,130,43.26,43.8,,fine sand-silt-clay [S54],,fine sand-silt-clay,,,,,"Shepard, 1954",,,
327-U1363B-7X-2-A,327,U1363,B,7,7-2,X,2,A,0,145,44.0,45.45,,silty clay [S54],,silty clay,,,,,"Shepard, 1954",,,
327-U1363B-7X-CC-A,327,U1363,B,7,7-CC,X,CC,A,0,18,45.45,45.63,,silty clay [S54],,silty clay,,,,,"Shepard, 1954",,,
327-U1363B-8X-1-A,327,U1363,B,8,8-1,X,1,A,96,124,48.46,48.74,,silty clay [S54],,silty clay,,,,,"Shepard, 1954",,,
327-U1363B-8X-1-A,327,U1363,B,8,8-1,X,1,A,124,130,48.74,48.8,,clayey sand [S54],,clayey sand,,,,,"Shepard, 1954",,,
327-U1363B-8X-2-A,327,U1363,B,8,8-2,X,2,A,0,75,49.0,49.75,,clayey silt [S54],,clayey silt,,,,,"Shepard, 1954",,,
327-U1363B-8X-2-A,327,U1363,B,8,8-2,X,2,A,75,82,49.75,49.82,,silt [S54],,silt,,,,,"Shepard, 1954",,,
327-U1363B-8X-2-A,327,U1363,B,8,8-2,X,2,A,82,90,49.82,49.9,,clayey silt [S54],,clayey silt,,,,,"Shepard, 1954",,,
327-U1363B-8X-3-A,327,U1363,B,8,8-3,X,3,A,0,38,50.5,50.88,,clayey silt [S54],,clayey silt,,,,,"Shepard, 1954",,,
327-U1363B-8X-3-A,327,U1363,B,8,8-3,X,3,A,38,49,50.88,50.99,,silt [S54],,silt,,,,,"Shepard, 1954",,,
327-U1363B-8X-3-A,327,U1363,B,8,8-3,X,3,A,49,97,50.99,51.47,,clayey silt [S54],,clayey silt,,,,,"Shepard, 1954",,,
327-U1363B-8X-3-A,327,U1363,B,8,8-3,X,3,A,97,104,51.47,51.54,,silt [S54],,silt,,,,,"Shepard, 1954",,,
327-U1363B-8X-3-A,327,U1363,B,8,8-3,X,3,A,104,150,51.54,52.0,,silty clay [S54],,silty clay,,,,,"Shepard, 1954",,,
327-U1363B-8X-4-A,327,U1363,B,8,8-4,X,4,A,0,71,52.0,52.71,,silty clay [S54],,silty clay,,,,,"Shepard, 1954",,,
327-U1363B-8X-4-A,327,U1363,B,8,8-4,X,4,A,71,111,52.71,53.11,,clayey silt [S54],,clayey silt,,,,,"Shepard, 1954",,,
327-U1363B-8X-CC-A,327,U1363,B,8,8-CC,X,CC,A,0,33,53.66,53.99,,calcareous clayey silt,,calcareous clayey silt,,,,,,,,
327-U1363B-9X-1-A,327,U1363,B,9,9-1,X,1,A,0,47,55.0,55.47,,mixed claystone and basalt clasts in slurry,,mixed claystone and basalt clasts in slurry,,,,,,,,
327-U1363B-10X-1-A,327,U1363,B,10,10-1,X,1,A,0,7,57.0,57.07,,calcareous claystone,,calcareous claystone,,,,,,,,
327-U1363B-10X-1-A,327,U1363,B,10,10-1,X,1,A,7,16,57.07,57.16,,basalt,,basalt,,,,,Leg 323,,,
