Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Principal Name,REFERENCE,Lithology Prefix,COMPLETE NAME,LITHOLOGY [%],LITHIFICATION,COLOR,GRAVEL SIZE CLASTLITHOLOGY,GRAVEL SIZE CLASTSHAPE,GRAVEL SIZE CLASTROUNDNESS,VOLCANICLASTIC GRAINS,COMMENTS,PHENOCRYST ABUNDANCE,PHENOCRYST COMPOSITION,PHENOCRYST GRAIN SIZE (mm),GROUNDMASS GRAIN SIZE (mm),GROUNDMASS COLOUR,VESICLE ABUNDANCE,VESICLE SHAPE,Extra Sample ID Data
323-U1339B-5H-3-A,323,U1339,B,5,5-3,H,3,A,32,150,35.82,37,diatom silt,Leg 323,,diatom silt,,soft,10Y 4/1,,,,,,,,,,,,,
323-U1339B-5H-4-A,323,U1339,B,5,5-4,H,4,A,0,150,37,38.5,diatom silt,Leg 323,,diatom silt,,soft,10Y 4/1,,,,,,,,,,,,,
323-U1339B-5H-5-A,323,U1339,B,5,5-5,H,5,A,0,139,38.5,39.89,diatom silt,Leg 323,,diatom silt,,soft,10Y 4/1,,,,,,,,,,,,,
323-U1339B-5H-5-A,323,U1339,B,5,5-5,H,5,A,133,139,39.83,39.89,coarse ash [IUGS-LM89],"International Union of Geological Sciences-Le Maitre, 1989",,coarse ash,100,soft,2.5/N,,,,'',,,,,,,,,
323-U1339B-5H-5-A,323,U1339,B,5,5-5,H,5,A,139,150,39.89,40,diatom silt,Leg 323,,diatom silt,,soft,10Y 4/1,,,,,,,,,,,,,
323-U1339B-5H-6-A,323,U1339,B,5,5-6,H,6,A,0,97,40,40.97,diatom silt,Leg 323,,diatom silt,,soft,10Y 4/1,,,,,,,,,,,,,
323-U1339B-5H-6-A,323,U1339,B,5,5-6,H,6,A,97,117,40.97,41.17,diatom ooze,Leg 323,silicoflagellate-bearing,silicoflagellate-bearing diatom ooze,,soft,5Y 4/1,,,,,,,,,,,,,
323-U1339B-5H-6-A,323,U1339,B,5,5-6,H,6,A,117,150,41.17,41.5,diatom silt,Leg 323,,diatom silt,,soft,10Y 4/1,,,,,,,,,,,,,
323-U1339B-5H-7-A,323,U1339,B,5,5-7,H,7,A,0,53,41.5,42.03,diatom silt,Leg 323,,diatom silt,,soft,10Y 4/1,,,,,,,,,,,,,
323-U1339B-5H-CC-A,323,U1339,B,5,5-CC,H,CC,A,0,13,42.03,42.16,diatom silt,Leg 323,,diatom silt,,soft,10Y 4/1,,,,,,,,,,,,,
323-U1339B-6H-1-A,323,U1339,B,6,6-1,H,1,A,0,148,42,43.48,clayey silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing clayey silt,100,soft,5G 4/1,,,,,,,,,,,,,
323-U1339B-6H-1-A,323,U1339,B,6,6-1,H,1,A,148,150,43.48,43.5,fine ash [IUGS-LM89],"International Union of Geological Sciences-Le Maitre, 1989",,fine ash,100,soft,5Y 7/1,,,,,,,,,,,,,
323-U1339B-6H-2-A,323,U1339,B,6,6-2,H,2,A,0,5,43.5,43.55,fine ash [IUGS-LM89],"International Union of Geological Sciences-Le Maitre, 1989",,fine ash,100,soft,5Y 7/1,,,,,,,,,,,,,
323-U1339B-6H-2-A,323,U1339,B,6,6-2,H,2,A,5,150,43.55,45,clayey silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing clayey silt,100,soft,5G 4/1,,,,,,,,,,,,,
323-U1339B-6H-3-A,323,U1339,B,6,6-3,H,3,A,0,150,45,46.5,clayey silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing clayey silt,100,soft,5G 4/1,,,,,,,,,,,,,
323-U1339B-6H-4-A,323,U1339,B,6,6-4,H,4,A,0,90,46.5,47.4,clayey silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing clayey silt,100,soft,5G 4/1,,,,,,,,,,,,,
323-U1339B-6H-4-A,323,U1339,B,6,6-4,H,4,A,90.88,93.4,47.409,47.434,fine ash [IUGS-LM89],"International Union of Geological Sciences-Le Maitre, 1989",,fine ash,100,soft,5Y 3/1,,,,,,,,,,,,,
323-U1339B-6H-4-A,323,U1339,B,6,6-4,H,4,A,93.37,105.97,47.434,47.56,diatom ooze,Leg 323,foraminifer-rich,foraminifer-rich diatom ooze,100,soft,5Y 6/3,,,,,laminations,,,,,,,,
323-U1339B-6H-4-A,323,U1339,B,6,6-4,H,4,A,106,150,47.56,48,clayey silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing clayey silt,100,soft,5G 4/1,,,,,,,,,,,,,
323-U1339B-6H-5-A,323,U1339,B,6,6-5,H,5,A,0,136,48,49.36,clayey silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing clayey silt,100,soft,5G 4/1,,,,,,,,,,,,,
323-U1339B-6H-5-A,323,U1339,B,6,6-5,H,5,A,136,150,49.36,49.5,fine ash [IUGS-LM89],"International Union of Geological Sciences-Le Maitre, 1989",,fine ash,100,soft,5Y 7/1,,,,,,,,,,,,,
323-U1339B-6H-6-A,323,U1339,B,6,6-6,H,6,A,0,8,49.5,49.58,fine ash [IUGS-LM89],"International Union of Geological Sciences-Le Maitre, 1989",,fine ash,100,soft,5Y 7/1,,,,,,,,,,,,,
323-U1339B-6H-6-A,323,U1339,B,6,6-6,H,6,A,8,74,49.58,50.24,silt [S54],"Shepard, 1954",diatom-rich,diatom-rich silt,100,soft,5Y 7/1,,,,,,,,,,,,,
323-U1339B-6H-6-A,323,U1339,B,6,6-6,H,6,A,74,150,50.24,51,diatom ooze,Leg 323,,diatom ooze,100,soft,5Y 5/2,,,,,greenish; contains many silicoflagellates,,,,,,,,
323-U1339B-6H-7-A,323,U1339,B,6,6-7,H,7,A,0,24,51,51.24,diatom ooze,Leg 323,,diatom ooze,100,soft,5Y 5/2,,,,,greenish; contains many silicoflagellates,,,,,,,,
323-U1339B-6H-7-A,323,U1339,B,6,6-7,H,7,A,24,38,51.24,51.38,fine ash [IUGS-LM89],"International Union of Geological Sciences-Le Maitre, 1989",,fine ash,100,soft,5Y 3/1,,,,,,,,,,,,,
323-U1339B-6H-7-A,323,U1339,B,6,6-7,H,7,A,38,52,51.38,51.52,diatom ooze,Leg 323,,diatom ooze,100,soft,5Y 5/2,,,,,,,,,,,,,
323-U1339B-6H-7-A,323,U1339,B,6,6-7,H,7,A,52,90,51.52,51.9,clayey silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing clayey silt,100,soft,5G 4/1,,,,,,,,,,,,,
323-U1339B-6H-CC-A,323,U1339,B,6,6-CC,H,CC,A,0,33,51.9,52.23,clayey silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing clayey silt,100,soft,5G 4/1,,,,,,,,,,,,,
323-U1339B-7H-1-A,323,U1339,B,7,7-1,H,1,A,0,75,51.5,52.25,diatom ooze,United States Geological Survey,,diatom ooze,,soft,10Y 2.5/1,,,,,,,,,,,,,
323-U1339B-7H-1-A,323,U1339,B,7,7-1,H,1,A,75,112,52.25,52.62,diatom ooze,United States Geological Survey,,diatom ooze,,soft,10Y 3/1,,,,,,,,,,,,,
323-U1339B-7H-1-A,323,U1339,B,7,7-1,H,1,A,112,136,52.62,52.86,diatom ooze,United States Geological Survey,,diatom ooze,,soft,10Y 4/1,,,,,,,,,,,,,
323-U1339B-7H-1-A,323,U1339,B,7,7-1,H,1,A,136,150,52.86,53,diatom fine ash,"International Union of Geological Sciences-Le Maitre, 1989",diatom,diatom fine ash,,soft,10Y 2.5/1,,,,,,,,,,,,,
323-U1339B-7H-2-A,323,U1339,B,7,7-2,H,2,A,0,23,53,53.23,diatom ooze,United States Geological Survey,,diatom ooze,,soft,10Y 4/1,,,,,,,,,,,,,
323-U1339B-7H-2-A,323,U1339,B,7,7-2,H,2,A,23,33,53.23,53.33,diatom ooze,United States Geological Survey,,diatomaceous ooze,,soft,10Y 2.5/1,,,,,,,,,,,,,
323-U1339B-7H-2-A,323,U1339,B,7,7-2,H,2,A,33,150,53.33,54.5,diatom ooze,United States Geological Survey,,diatomaceous ooze,,soft,10Y 4/1,,,,,,,,,,,,,
323-U1339B-7H-3-A,323,U1339,B,7,7-3,H,3,A,0,7,54.5,54.57,diatom ooze,United States Geological Survey,,diatom ooze,,soft,5Y 4/2,,,,,,,,,,,,,
323-U1339B-7H-3-A,323,U1339,B,7,7-3,H,3,A,7,150,54.57,56,diatom ooze,United States Geological Survey,,diatom ooze,,soft,5Y 5/3,,,,,,,,,,,,,
323-U1339B-7H-4-A,323,U1339,B,7,7-4,H,4,A,0,30,56,56.3,diatom ooze,United States Geological Survey,,diatom ooze,,soft,5Y 4/2,,,,,,,,,,,,,
323-U1339B-7H-4-A,323,U1339,B,7,7-4,H,4,A,30,35,56.3,56.35,diatom ooze,United States Geological Survey,,diatomaceous ooze,,soft,5YR 4/3,,,,,,,,,,,,,
323-U1339B-7H-4-A,323,U1339,B,7,7-4,H,4,A,35,150,56.35,57.5,silt [S54],"Shepard, 1954",diatom-rich,diatom-rich silt,,soft,5GY 4/1,,,,,,,,,,,,,
323-U1339B-7H-5-A,323,U1339,B,7,7-5,H,5,A,0,134,57.5,58.84,diatom ooze,United States Geological Survey,,diatom ooze,,soft,5GY 4/1,,,,,,,,,,,,,
323-U1339B-7H-5-A,323,U1339,B,7,7-5,H,5,A,134,145,58.84,58.95,fine ash [IUGS-LM89],"International Union of Geological Sciences-Le Maitre, 1989",,fine ash,,stiff,N 3,,,,,,,,,,,,,
323-U1339B-7H-5-A,323,U1339,B,7,7-5,H,5,A,145,150,58.95,59,diatom ooze,Leg 323,,diatom ooze,,soft,5GY 4/1,,,,,,,,,,,,,
323-U1339B-7H-6-A,323,U1339,B,7,7-6,H,6,A,0,20,59,59.2,diatom ooze,United States Geological Survey,,diatom ooze,,soft,5Y 4/2,,,,,,,,,,,,,
323-U1339B-7H-6-A,323,U1339,B,7,7-6,H,6,A,20,91,59.2,59.91,diatom ooze,United States Geological Survey,,diatom ooze,,soft,5GY 4/1,,,,,,,,,,,,,
323-U1339B-7H-6-A,323,U1339,B,7,7-6,H,6,A,91,150,59.91,60.5,diatom ooze,United States Geological Survey,,diatom ooze,,soft,5Y 4/2,,,,,,,,,,,,,
323-U1339B-7H-7-A,323,U1339,B,7,7-7,H,7,A,0,27,60.5,60.77,diatom ooze,United States Geological Survey,,diatom ooze,,soft,5Y 4/2,,,,,,,,,,,,,
323-U1339B-7H-7-A,323,U1339,B,7,7-7,H,7,A,27,56,60.77,61.06,diatom ooze,United States Geological Survey,,diatomaceous ooze,,soft,10Y 4/1,,,,,,,,,,,,,
323-U1339B-7H-CC-A,323,U1339,B,7,7-CC,H,CC,A,0,37,61.07,61.44,diatom ooze,United States Geological Survey,,diatom ooze,,soft,10Y 4/1,,,,,,,,,,,,,
323-U1339B-8H-1-A,323,U1339,B,8,8-1,H,1,A,0,107,61,62.07,diatom ooze,Leg 323,,Diatom ooze,,soft,10Y 4/1,,,,,,,,,,,,,
323-U1339B-8H-1-A,323,U1339,B,8,8-1,H,1,A,107,115,62.07,62.15,diatom ooze,Leg 323,,Diatom ooze,,stiff,10Y 3/1,,,,,dark ash intermixed,,,,,,,,
323-U1339B-8H-1-A,323,U1339,B,8,8-1,H,1,A,115,150,62.15,62.5,diatom ooze,Leg 323,,Diatom ooze,,soft,10Y 4/1,,,,,,,,,,,,,
323-U1339B-8H-2-A,323,U1339,B,8,8-2,H,2,A,0,12,62.5,62.62,diatom ooze,Leg 323,,Diatom ooze,,soft,10Y 4/1,,,,,,,,,,,,,
323-U1339B-8H-2-A,323,U1339,B,8,8-2,H,2,A,12,45,62.62,62.95,fine-ashy silt,Leg 323,diatom-rich,Diatom-rich fine ashy silt,,soft,5YR 4/2,,,,,,,,,,,,,
323-U1339B-8H-2-A,323,U1339,B,8,8-2,H,2,A,45,80,62.95,63.3,fine-ashy silt,Leg 323,diatom-rich,Diatom-rich fine ashy silt,,soft,5YR 4/1,,,,,,,,,,,,,
323-U1339B-8H-2-A,323,U1339,B,8,8-2,H,2,A,80,98,63.3,63.48,fine ash [IUGS-LM89],"International Union of Geological Sciences-Le Maitre, 1989",,Fine ash,,stiff,5YR 6/1,,,,,whitish ash(?) patch,,,,,,,,
323-U1339B-8H-2-A,323,U1339,B,8,8-2,H,2,A,102,150,63.52,64,fine-ashy silt,Leg 323,diatom-rich,Diatom-rich fine ashy silt,,soft,5YR 4/1,,,,,,,,,,,,,
323-U1339B-8H-3-A,323,U1339,B,8,8-3,H,3,A,0,24,64,64.24,diatom ooze,Leg 323,,Diatom ooze,,soft,10GY 4/1,,,,,,,,,,,,,
323-U1339B-8H-3-A,323,U1339,B,8,8-3,H,3,A,24,40,64.24,64.4,diatom ooze,Leg 323,,Diatom ooze,,soft,10GY 5/1,,,,,,,,,,,,,
323-U1339B-8H-3-A,323,U1339,B,8,8-3,H,3,A,40,120,64.4,65.2,diatom ooze,Leg 323,,Diatom ooze,,soft,10GY 5/1,,,,,,,,,,,,,
323-U1339B-8H-3-A,323,U1339,B,8,8-3,H,3,A,120,124,65.2,65.24,fine ash [IUGS-LM89],"International Union of Geological Sciences-Le Maitre, 1989",,Fine ash,,stiff,10YR 5/2,,,,,ash bed,,,,,,,,
323-U1339B-8H-3-A,323,U1339,B,8,8-3,H,3,A,124,150,65.24,65.5,diatom ooze,Leg 323,,Diatom ooze,,soft,10GY 5/1,,,,,,,,,,,,,
323-U1339B-8H-4-A,323,U1339,B,8,8-4,H,4,A,0,150,65.5,67,diatom ooze,Leg 323,,Diatom ooze,,soft,10GY 5/1,,,,,,,,,,,,,
323-U1339B-8H-5-A,323,U1339,B,8,8-5,H,5,A,0,57,67,67.57,diatom ooze,Leg 323,,Diatom ooze,,soft,10GY 5/1,,,,,,,,,,,,,
323-U1339B-8H-5-A,323,U1339,B,8,8-5,H,5,A,50,57,67.5,67.57,fine ash [IUGS-LM89],"International Union of Geological Sciences-Le Maitre, 1989",,Fine ash,,stiff,7.5YR 2.5/1,,,,,,,,,,,,,
323-U1339B-8H-5-A,323,U1339,B,8,8-5,H,5,A,67,150,67.67,68.5,diatom ooze,Leg 323,,Diatom ooze,,soft,10GY 5/1,,,,,,,,,,,,,
323-U1339B-8H-6-A,323,U1339,B,8,8-6,H,6,A,0,90,68.5,69.4,diatom ooze,Leg 323,,Diatom ooze,,soft,N 5,,,,,,,,,,,,,
323-U1339B-8H-6-A,323,U1339,B,8,8-6,H,6,A,70,74,69.2,69.24,silty fine ash,Leg 323,diatom-rich,Diatom-rich silty fine ash,,hard,,,,,,"whitish sand to gravel up to 1 cm size, maybe dolomite",,,,,,,,
323-U1339B-8H-6-A,323,U1339,B,8,8-6,H,6,A,90,150,69.4,70,diatom ooze,Leg 323,,Diatom ooze,,soft,N 4,,,,,,,,,,,,,
323-U1339B-8H-7-A,323,U1339,B,8,8-7,H,7,A,0,34,70,70.34,diatom ooze,Leg 323,,Diatom ooze,,soft,N 5,,,,,,,,,,,,,
323-U1339B-8H-CC-A,323,U1339,B,8,8-CC,H,CC,A,0,50,70.35,70.85,diatom ooze,Leg 323,,Diatom ooze,,soft,N 5,,,,,,,,,,,,,
323-U1339B-9H-1-A,323,U1339,B,9,9-1,H,1,A,0,63,70.5,71.13,diatom fine-ashy silt,"Shepard, 1954",diatom fine-ashy,diatom fine-ashy silt,,soft,N 4,,,,,,,,,,,,,
323-U1339B-9H-2-A,323,U1339,B,9,9-2,H,2,A,0,146,71.13,72.59,diatom fine-ashy silt,"Shepard, 1954",diatom fine-ashy,diatom fine-ashy silt,,soft,N 4,,,,,,,,,,,,,
323-U1339B-9H-3-A,323,U1339,B,9,9-3,H,3,A,0,67,72.59,73.26,diatom fine-ashy silt,"Shepard, 1954",diatom fine-ashy,diatom fine-ashy silt,100,soft,N 4,,,,,,,,,,,,,
323-U1339B-9H-3-A,323,U1339,B,9,9-3,H,3,A,67,150,73.26,74.09,diatom ooze,United States Geological Survey,,diatom ooze,100,soft,10Y 4/1,,,,,,,,,,,,,
323-U1339B-9H-4-A,323,U1339,B,9,9-4,H,4,A,0,57,74.09,74.66,diatom ooze,United States Geological Survey,,diatom ooze,100,soft,10Y 4/1,,,,,,,,,,,,,
323-U1339B-9H-4-A,323,U1339,B,9,9-4,H,4,A,57,65,74.66,74.74,fine ash [IUGS-LM89],"International Union of Geological Sciences-Le Maitre, 1989",,fine ash,100,soft,5YR 8/1,,,,,Mottled Ash layer,,,,,,,,
323-U1339B-9H-4-A,323,U1339,B,9,9-4,H,4,A,65,86,74.74,74.95,diatom ooze,United States Geological Survey,,diatom ooze,100,soft,10Y 4/1,,,,,,,,,,,,,
323-U1339B-9H-4-A,323,U1339,B,9,9-4,H,4,A,86,146,74.95,75.55,diatom ooze,United States Geological Survey,,diatom ooze,100,soft,10Y 4/1,,,,,,,,,,,,,
323-U1339B-9H-5-A,323,U1339,B,9,9-5,H,5,A,0,34,75.55,75.89,diatom ooze,United States Geological Survey,,diatom ooze,100,soft,10Y 4/1,,,,,,,,,,,,,
323-U1339B-9H-5-A,323,U1339,B,9,9-5,H,5,A,34,42,75.89,75.97,fine ash [IUGS-LM89],"International Union of Geological Sciences-Le Maitre, 1989",,fine ash,100,soft,N 3,,,,,Ash (Very dark gray),,,,,,,,
323-U1339B-9H-5-A,323,U1339,B,9,9-5,H,5,A,42,144,75.97,76.99,diatom ooze,United States Geological Survey,,diatom ooze,100,soft,5Y 4/2,,,,,,,,,,,,,
323-U1339B-9H-5-A,323,U1339,B,9,9-5,H,5,A,144,150,76.99,77.05,fine ash [IUGS-LM89],"International Union of Geological Sciences-Le Maitre, 1989",,fine ash,100,soft,5YR 8/1,,,,,Ash (White),,,,,,,,
323-U1339B-9H-6-A,323,U1339,B,9,9-6,H,6,A,0,2,77.05,77.07,fine ash [IUGS-LM89],"International Union of Geological Sciences-Le Maitre, 1989",,fine ash,100,soft,5YR 8/1,,,,,Ash (White),,,,,,,,
323-U1339B-9H-6-A,323,U1339,B,9,9-6,H,6,A,2,28,77.07,77.33,diatom ooze,United States Geological Survey,,diatom ooze,100,soft,10Y 4/1,,,,,,,,,,,,,
323-U1339B-9H-6-A,323,U1339,B,9,9-6,H,6,A,28,37,77.33,77.42,diatom ooze,United States Geological Survey,,diatom ooze,100,soft,5Y 4/2,,,,,,,,,,,,,
323-U1339B-9H-6-A,323,U1339,B,9,9-6,H,6,A,37,146,77.42,78.51,diatom ooze,United States Geological Survey,,diatom ooze,100,soft,10Y 4/1,,,,,,,,,,,,,
323-U1339B-9H-7-A,323,U1339,B,9,9-7,H,7,A,0,125,78.51,79.76,diatom ooze,United States Geological Survey,,diatom ooze,100,soft,10Y 4/1,,,,,,,,,,,,,
323-U1339B-9H-7-A,323,U1339,B,9,9-7,H,7,A,125,143,79.76,79.94,fine ash [IUGS-LM89],"International Union of Geological Sciences-Le Maitre, 1989",,fine ash,100,soft,5YR 8/1,,,,,Ash (White),,,,,,,,
323-U1339B-9H-CC,323,U1339,B,9,9-CC,H,CC,,0,44,79.94,80.38,diatom ooze,Leg 323,,diatom ooze,,soft,10Y 4/1,,,,,,,,,,,,,
323-U1339B-10H-1-A,323,U1339,B,10,10-1,H,1,A,0,58,80,80.58,diatom ooze,United States Geological Survey,,Diatom ooze,,soft,5Y 4/2,,,,,,,,,,,,,
323-U1339B-10H-1-A,323,U1339,B,10,10-1,H,1,A,58,100,80.58,81,diatom ooze,United States Geological Survey,,Diatom ooze,,soft,5Y 4/1,,,,,,,,,,,,,
323-U1339B-10H-2-A,323,U1339,B,10,10-2,H,2,A,0,85,81,81.85,diatom ooze,United States Geological Survey,,Diatom ooze,,soft,5Y 4/1,,,,,,,,,,,,,
323-U1339B-10H-2-A,323,U1339,B,10,10-2,H,2,A,85,150,81.85,82.5,diatom ooze,United States Geological Survey,,Diatom ooze,,soft,5Y 4/2,,,,,,,,,,,,,
323-U1339B-10H-3-A,323,U1339,B,10,10-3,H,3,A,0,105,82.5,83.55,diatom ooze,United States Geological Survey,,Diatom ooze,,soft,5Y 4/2,,,,,,,,,,,,,
323-U1339B-10H-3-A,323,U1339,B,10,10-3,H,3,A,130,145,83.8,83.95,silty clay [S54],"Shepard, 1954",diatom-rich,diatom-rich Silty Clay,,soft,5Y 3/2,,,,,,,,,,,,,
323-U1339B-10H-4-A,323,U1339,B,10,10-4,H,4,A,0,61,83.95,84.56,silty clay [S54],"Shepard, 1954",diatom-rich,diatom-rich Silty Clay,,soft,5Y 4/2,,,,,,,,,,,,,
323-U1339B-10H-4-A,323,U1339,B,10,10-4,H,4,A,63,93,84.58,84.88,silty clay [S54],"Shepard, 1954",diatom-rich,diatom-rich Silty Clay,,soft,5Y 3/1,,,,,,,,,,,,,
323-U1339B-10H-4-A,323,U1339,B,10,10-4,H,4,A,93,97,84.88,84.92,fine ash [IUGS-LM89],"International Union of Geological Sciences-Le Maitre, 1989",,fine ash,,soft,2.5Y 2.5/1,,,,,disturbed dark ash layer,,,,,,,,
323-U1339B-10H-4-A,323,U1339,B,10,10-4,H,4,A,97,145,84.92,85.4,clay [S54] ,"Shepard, 1954",diatom-rich,diatom-rich Clay,,soft,10Y 4/1,,,,,,,,,,,,,
323-U1339B-10H-5-A,323,U1339,B,10,10-5,H,5,A,0,16,85.4,85.56,clay [S54] ,"Shepard, 1954",diatom-rich,diatom-rich Clay,,soft,10Y 4/1,,,,,,,,,,,,,
323-U1339B-10H-5-A,323,U1339,B,10,10-5,H,5,A,16,20,85.56,85.6,fine ash [IUGS-LM89],"International Union of Geological Sciences-Le Maitre, 1989",,fine ash,,soft,2.5Y 5/2,,,,,distinct brownish ash layer,,,,,,,,
323-U1339B-10H-5-A,323,U1339,B,10,10-5,H,5,A,20,23,85.6,85.63,clay [S54] ,"Shepard, 1954",diatom-rich,diatom-rich Clay,,soft,10Y 4/1,,,,,,,,,,,,,
323-U1339B-10H-5-A,323,U1339,B,10,10-5,H,5,A,23,30,85.63,85.7,fine ash [IUGS-LM89],"International Union of Geological Sciences-Le Maitre, 1989",,fine ash,,soft,2.5Y 7/1,,,,,distinct whitish ash layer,,,,,,,,
323-U1339B-10H-5-A,323,U1339,B,10,10-5,H,5,A,30,107,85.7,86.47,clay [S54] ,"Shepard, 1954",diatom-rich,diatom-rich Clay,,soft,10Y 4/1,,,,,,,,,,,,,
323-U1339B-10H-5-A,323,U1339,B,10,10-5,H,5,A,107,117,86.47,86.57,foraminifer diatom ooze,Leg 323,,foraminifer diatom ooze,,soft,2.5Y 6/2,,,,,,,,,,,,,
323-U1339B-10H-5-A,323,U1339,B,10,10-5,H,5,A,117,150,86.57,86.9,clay [S54] ,"Shepard, 1954",diatom-rich,diatom-rich Clay,,soft,10Y 4/1,,,,,,,,,,,,,
323-U1339B-10H-6-A,323,U1339,B,10,10-6,H,6,A,0,145,86.9,88.35,clay [S54] ,"Shepard, 1954",diatom-rich,diatom-rich Clay,,soft,10Y 4/1,,,,,,,,,,,,,
323-U1339B-10H-6-A,323,U1339,B,10,10-6,H,6,A,22,25,87.12,87.15,fine ash [IUGS-LM89],"International Union of Geological Sciences-Le Maitre, 1989",,fine ash,,soft,2.5Y 5/2,,,,,bioturbated brownish ash,,,,,,,,
323-U1339B-10H-6-A,323,U1339,B,10,10-6,H,6,A,63,67,87.53,87.57,fine ash [IUGS-LM89],"International Union of Geological Sciences-Le Maitre, 1989",,fine ash,,soft,2.5Y 2.5/1,,,,,bioturbated dark ash,,,,,,,,
323-U1339B-10H-7-A,323,U1339,B,10,10-7,H,7,A,0,100,88.35,89.35,clay [S54] ,"Shepard, 1954",diatom-rich,diatom-rich Clay,,soft,10Y 4/1,,,,,,,,,,,,,
323-U1339B-10H-CC-A,323,U1339,B,10,10-CC,H,CC,A,0,60,89.37,89.97,clay [S54] ,"Shepard, 1954",diatom-rich,diatom-rich Clay,,soft,10Y 4/1,,,,,,,,,,,,,
323-U1339B-11H-1-A,323,U1339,B,11,11-1,H,1,A,0,47,89.5,89.97,diatom ooze,Leg 323,,diatom ooze,100,soft,5G 4/1,,,,,Dark greenish grey,,,,,,,,
323-U1339B-11H-2-A,323,U1339,B,11,11-2,H,2,A,0,150,89.97,91.47,diatom ooze,Leg 323,,diatom ooze,100,soft,5G 4/1,,,,,Dark greenish grey,,,,,,,,
