Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Principal Name,REFERENCE,Lithology Prefix,COMPLETE NAME,LITHOLOGY [%],LITHIFICATION,COLOR,GRAVEL SIZE CLASTLITHOLOGY,GRAVEL SIZE CLASTSHAPE,GRAVEL SIZE CLASTROUNDNESS,VOLCANICLASTIC GRAINS,COMMENTS,PHENOCRYST ABUNDANCE,PHENOCRYST COMPOSITION,PHENOCRYST GRAIN SIZE (mm),GROUNDMASS GRAIN SIZE (mm),GROUNDMASS COLOUR,VESICLE ABUNDANCE,VESICLE SHAPE
323-U1345C-1H-2-A,323,U1345,C,1,1-2,H,2,A,10,22,1.6,1.72,silty clay [S54],"Shepard, 1954",diatom-bearing,diatom-bearing silty clay,50.0,soft,5Y 5/1,,,,,medium to thick lamination,,,,,,,
323-U1345C-1H-2-A,323,U1345,C,1,1-2,H,2,A,22,37,1.72,1.87,diatom ooze,Leg 323,nannofossil-bearing,nannofossil-bearing diatom ooze,30.0,soft,5Y 2.5/1,,,,,medium to thick lamination,,,,,,,
323-U1345C-1H-2-A,323,U1345,C,1,1-2,H,2,A,22,37,1.72,1.87,diatom ooze,Leg 323,,diatom ooze,35.0,soft,5Y 4/3,,,,,medium to thick lamination,,,,,,,
323-U1345C-1H-2-A,323,U1345,C,1,1-2,H,2,A,22,37,1.72,1.87,silty clay [S54],"Shepard, 1954",diatom-bearing,diatom-bearing silty clay,35.0,soft,5Y 5/1,,,,,medium to thick lamination,,,,,,,
323-U1345C-1H-2-A,323,U1345,C,1,1-2,H,2,A,37,50,1.87,2.0,diatom ooze,Leg 323,nannofossil-bearing,nannofossil-bearing diatom ooze,10.0,soft,5Y 2.5/1,,,,,medium to thick lamination,,,,,,,
323-U1345C-1H-2-A,323,U1345,C,1,1-2,H,2,A,37,50,1.87,2.0,diatom ooze,Leg 323,,diatom ooze,40.0,soft,5Y 4/3,,,,,medium to thick lamination,,,,,,,
323-U1345C-1H-2-A,323,U1345,C,1,1-2,H,2,A,37,50,1.87,2.0,silty clay [S54],"Shepard, 1954",diatom-bearing,diatom-bearing silty clay,50.0,soft,5Y 5/1,,,,,medium to thick lamination,,,,,,,
323-U1345C-1H-2-A,323,U1345,C,1,1-2,H,2,A,50,150,2.0,3.0,silty clay [S54],"Shepard, 1954",diatom-bearing,diatom-bearing silty clay,,soft,10Y 4/1,,,,,,,,,,,,
323-U1345C-1H-3-A,323,U1345,C,1,1-3,H,3,A,0,17,3.0,3.17,silty clay [S54],"Shepard, 1954",diatom-bearing,diatom-bearing silty clay,,soft,10Y 4/1,,,,,,,,,,,,
323-U1345C-1H-3-A,323,U1345,C,1,1-3,H,3,A,17,21,3.17,3.21,diatom ooze,Leg 323,,diatom ooze,50.0,soft,5Y 4/2,,,,,thin undulated bedding,,,,,,,
323-U1345C-1H-3-A,323,U1345,C,1,1-3,H,3,A,17,21,3.17,3.21,silty clay [S54],"Shepard, 1954",diatom-bearing,diatom-bearing silty clay,50.0,soft,10Y 4/1,,,,,thin undulated bedding,,,,,,,
323-U1345C-1H-3-A,323,U1345,C,1,1-3,H,3,A,21,60,3.21,3.6,silty clay [S54],"Shepard, 1954",diatom-bearing,diatom-bearing silty clay,,soft,10Y 4/1,,,,,,,,,,,,
323-U1345C-1H-3-A,323,U1345,C,1,1-3,H,3,A,60,150,3.6,4.5,diatom ooze,Leg 323,,diatom ooze,50.0,soft,5Y 4/2,,,,,thin undulated bedding,,,,,,,
323-U1345C-1H-3-A,323,U1345,C,1,1-3,H,3,A,60,150,3.6,4.5,silty clay [S54],"Shepard, 1954",diatom-bearing,diatom-bearing silty clay,50.0,soft,10Y 4/1,,,,,thin undulated bedding,,,,,,,
323-U1345C-1H-4-A,323,U1345,C,1,1-4,H,4,A,0,8,4.5,4.58,diatom ooze,Leg 323,,diatom ooze,50.0,soft,5Y 4/2,,,,,thin undulated bedding,,,,,,,
323-U1345C-1H-4-A,323,U1345,C,1,1-4,H,4,A,0,8,4.5,4.58,silty clay [S54],"Shepard, 1954",diatom-bearing,diatom-bearing silty clay,50.0,soft,10Y 4/1,,,,,thin undulated bedding,,,,,,,
323-U1345C-1H-4-A,323,U1345,C,1,1-4,H,4,A,8,39,4.58,4.89,silty clay [S54],"Shepard, 1954",diatom-bearing,diatom-bearing silty clay,,soft,10Y 4/1,,,,,,,,,,,,
323-U1345C-1H-4-A,323,U1345,C,1,1-4,H,4,A,39,136,4.89,5.86,diatom ooze,Leg 323,,diatom ooze,50.0,soft,5Y 4/2,,,,,medium to thick lamination,,,,,,,
323-U1345C-1H-4-A,323,U1345,C,1,1-4,H,4,A,39,136,4.89,5.86,silty clay [S54],"Shepard, 1954",diatom-rich,diatom-rich silty clay,50.0,soft,5Y 4/1 ,,,,,medium to thick lamination,,,,,,,
323-U1345C-2H-1-A,323,U1345,C,2,2-1,H,1,A,0,150,6.0,7.5,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,100.0,soft,5GY 3/1,,,,,,,,,,,,
323-U1345C-2H-2-A,323,U1345,C,2,2-2,H,2,A,0,150,7.5,9.0,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,100.0,soft,5GY 3/1,,,,,,,,,,,,
323-U1345C-2H-3-A,323,U1345,C,2,2-3,H,3,A,0,150,9.0,10.5,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,100.0,soft,5GY 3/1,,,,,,,,,,,,
323-U1345C-2H-4-A,323,U1345,C,2,2-4,H,4,A,0,150,10.5,12.0,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,100.0,soft,5GY 3/1,,,,,,,,,,,,
323-U1345C-2H-5-A,323,U1345,C,2,2-5,H,5,A,0,150,12.0,13.5,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,100.0,soft,5GY 3/1,,,,,,,,,,,,
323-U1345C-2H-6-A,323,U1345,C,2,2-6,H,6,A,0,150,13.5,15.0,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,100.0,soft,5GY 3/1,,,,,,,,,,,,
323-U1345C-2H-7-A,323,U1345,C,2,2-7,H,7,A,0,59,15.0,15.59,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,100.0,soft,5GY 3/1,,,,,,,,,,,,
323-U1345C-2H-CC-A,323,U1345,C,2,2-CC,H,CC,A,0,23,15.59,15.82,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,100.0,soft,5GY 3/1,,,,,,,,,,,,
323-U1345C-3H-1-A,323,U1345,C,3,3-1,H,1,A,0,90,15.5,16.4,silty clay [S54],"Shepard, 1954",diatom-rich,diatom-rich silty clay,100.0,soft,4/N,,,,,,,,,,,,
323-U1345C-3H-1-A,323,U1345,C,3,3-1,H,1,A,90,110,16.4,16.6,silty sand [S54],"Shepard, 1954",,silty sand,100.0,soft,3/N ,,,,,,,,,,,,
323-U1345C-3H-1-A,323,U1345,C,3,3-1,H,1,A,110,150,16.6,17.0,silt [S54],,,silt,100.0,soft,5GY 4/1,,,,,,,,,,,,
323-U1345C-3H-2-A,323,U1345,C,3,3-2,H,2,A,0,37,17.0,17.37,silt [S54],,,silt,100.0,soft,5GY 4/1,,,,,,,,,,,,
323-U1345C-3H-2-A,323,U1345,C,3,3-2,H,2,A,37,68,17.37,17.68,diatom silty clay,Leg 323,,diatom silty clay,100.0,soft,5GY 4/1,,,,,laminated with 5Y 4/2; 5Y 3/2,,,,,,,
323-U1345C-3H-2-A,323,U1345,C,3,3-2,H,2,A,68,150,17.68,18.5,silt [S54],,,silt,100.0,soft,5GY 4/1,,,,,,,,,,,,
323-U1345C-3H-3-A,323,U1345,C,3,3-3,H,3,A,0,150,18.5,20.0,silt [S54],,,silt,100.0,soft,5GY 4/1,,,,,,,,,,,,
323-U1345C-3H-4-A,323,U1345,C,3,3-4,H,4,A,0,150,20.0,21.5,silt [S54],,,silt,100.0,soft,5GY 4/1,,,,,,,,,,,,
323-U1345C-3H-5-A,323,U1345,C,3,3-5,H,5,A,0,4,21.5,21.54,silt [S54],,,silt,100.0,soft,5GY 4/1,,,,,,,,,,,,
323-U1345C-3H-5-A,323,U1345,C,3,3-5,H,5,A,4,33,21.54,21.83,diatom silty clay,Leg 323,,diatom silty clay,100.0,soft,5GY 4/1,,,,,laminated with 5Y 3/2; 5Y 2.5/2,,,,,,,
323-U1345C-3H-5-A,323,U1345,C,3,3-5,H,5,A,33,150,21.83,23.0,silt [S54],,,silt,100.0,soft,5GY 4/1,,,,,,,,,,,,
323-U1345C-3H-6-A,323,U1345,C,3,3-6,H,6,A,0,137,23.0,24.37,silt [S54],,,silt,100.0,soft,5GY 4/1,,,,,,,,,,,,
323-U1345C-3H-6-A,323,U1345,C,3,3-6,H,6,A,137,150,24.37,24.5,diatom sandy silt,Leg 323,,diatom sandy silt,100.0,soft,5Y 2.5/2,,,,,,,,,,,,
323-U1345C-3H-7-A,323,U1345,C,3,3-7,H,7,A,0,19,24.5,24.69,diatom sandy silt,Leg 323,,diatom sandy silt,100.0,soft,5Y 2.5/2,,,,,,,,,,,,
323-U1345C-3H-7-A,323,U1345,C,3,3-7,H,7,A,19,80,24.69,25.3,diatom silt,Leg 323,foraminifer-rich,foraminifer-rich diatom silt,100.0,soft,5Y 3/2,,,,,,,,,,,,
323-U1345C-3H-7-A,323,U1345,C,3,3-7,H,7,A,80,88,25.3,25.38,silt [S54],,,silt,100.0,soft,5GY 4/1,,,,,,,,,,,,
323-U1345C-3H-CC-A,323,U1345,C,3,3-CC,H,CC,A,0,28,25.38,25.66,silt [S54],,,silt,100.0,soft,5GY 4/1,,,,,,,,,,,,
323-U1345C-4H-1-A,323,U1345,C,4,4-1,H,1,A,0,115,25.0,26.15,silty clay [S54],"Shepard, 1954",diatom-rich,diatom-rich silty clay,100.0,soft,5GY 3/1,,,,,,,,,,,,
323-U1345C-4H-1-A,323,U1345,C,4,4-1,H,1,A,115,150,26.15,26.5,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,100.0,soft,10Y 3/1,,,,,,,,,,,,
323-U1345C-4H-2-A,323,U1345,C,4,4-2,H,2,A,0,16,26.5,26.66,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,100.0,soft,10Y 3/1,,,,,,,,,,,,
323-U1345C-4H-2-A,323,U1345,C,4,4-2,H,2,A,16,150,26.66,28.0,silty clay [S54],"Shepard, 1954",diatom-rich,diatom-rich silty clay,100.0,soft,5GY 3/1,,,,,,,,,,,,
323-U1345C-4H-3-A,323,U1345,C,4,4-3,H,3,A,0,5,28.0,28.05,silty clay [S54],"Shepard, 1954",diatom-rich,diatom-rich silty clay,100.0,soft,5GY 3/1,,,,,,,,,,,,
323-U1345C-4H-3-A,323,U1345,C,4,4-3,H,3,A,5,84,28.05,28.84,diatom ooze,Leg 323,,diatom ooze,40.0,soft,10Y 4/1,,,,,rich in pyrite,,,,,,,
323-U1345C-4H-3-A,323,U1345,C,4,4-3,H,3,A,5,84,28.05,28.84,silty clay [S54],"Shepard, 1954",foraminifer-bearing diatom-rich,foraminifer-bearing diatom-rich silty clay,60.0,soft,5Y 3/1,,,,,,,,,,,,
323-U1345C-4H-3-A,323,U1345,C,4,4-3,H,3,A,84,147,28.84,29.47,silty clay [S54],"Shepard, 1954",diatom-bearing,diatom-bearing silty clay,100.0,soft,5GY 3/1,,,,,,,,,,,,
323-U1345C-4H-4-A,323,U1345,C,4,4-4,H,4,A,0,150,29.47,30.97,silty clay [S54],"Shepard, 1954",diatom-bearing,diatom-bearing silty clay,100.0,soft,5GY 3/1,,,,,,,,,,,,
323-U1345C-4H-5-A,323,U1345,C,4,4-5,H,5,A,0,52,30.97,31.49,silty clay [S54],"Shepard, 1954",diatom-bearing,diatom-bearing silty clay,100.0,soft,5GY 3/1,,,,,,,,,,,,
323-U1345C-4H-5-A,323,U1345,C,4,4-5,H,5,A,52,95,31.49,31.92,silty sand [S54],"Shepard, 1954",diatom-rich,diatom-rich silty sand,100.0,soft,5GY 3/1,,,,,,,,,,,,
323-U1345C-4H-5-A,323,U1345,C,4,4-5,H,5,A,95,135,31.92,32.32,silty sand [S54],"Shepard, 1954",,silty sand,100.0,soft,10Y 3/1,,,,,,,,,,,,
323-U1345C-4H-5-A,323,U1345,C,4,4-5,H,5,A,135,150,32.32,32.47,clay [S54] ,,diatom-rich,diatom-rich clay,100.0,soft,10Y 3/1,,,,,,,,,,,,
323-U1345C-4H-6-A,323,U1345,C,4,4-6,H,6,A,0,17,32.47,32.64,clay [S54] ,,diatom-rich,diatom-rich clay,100.0,soft,10Y 3/1,,,,,,,,,,,,
323-U1345C-4H-6-A,323,U1345,C,4,4-6,H,6,A,17,29,32.64,32.76,sandy silt [S54],"Shepard, 1954",diatom-rich,diatom-rich sandy silt,100.0,soft,5GY 3/1,,,,,,,,,,,,
323-U1345C-4H-6-A,323,U1345,C,4,4-6,H,6,A,29,115,32.76,33.62,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,100.0,soft,10Y 3/1,,,,,,,,,,,,
323-U1345C-4H-6-A,323,U1345,C,4,4-6,H,6,A,115,119,33.62,33.66,diatom silty clay,Leg 323,,diatom silty clay,100.0,soft,10Y 3/1,,,,,,,,,,,,
323-U1345C-4H-6-A,323,U1345,C,4,4-6,H,6,A,119,138,33.66,33.85,sandy silt [S54],"Shepard, 1954",diatom-rich,diatom-rich sandy silt,100.0,soft,5GY 2.5/1,,,,,,,,,,,,
323-U1345C-4H-6-A,323,U1345,C,4,4-6,H,6,A,138,150,33.85,33.97,diatom clay,Leg 323,,diatom clay,100.0,soft,10Y 4/1,,,,,,,,,,,,
323-U1345C-4H-7-A,323,U1345,C,4,4-7,H,7,A,0,12,33.97,34.09,diatom clay,Leg 323,,diatom clay,100.0,soft,10Y 4/1,,,,,,,,,,,,
323-U1345C-4H-7-A,323,U1345,C,4,4-7,H,7,A,12,40,34.09,34.37,diatom clay,Leg 323,,diatom clay,50.0,soft,10Y 4/1,,,,,,,,,,,,
323-U1345C-4H-7-A,323,U1345,C,4,4-7,H,7,A,12,40,34.09,34.37,silty clay [S54],"Shepard, 1954",authigenic carbonate-bearing diatom-rich,authigenic carbonate-bearing diatom-rich silty clay,50.0,soft,,,,,,,,,,,,,
323-U1345C-4H-7-A,323,U1345,C,4,4-7,H,7,A,40,80,34.37,34.77,silty clay [S54],"Shepard, 1954",diatom-rich,diatom-rich silty clay,100.0,soft,5GY 3/1,,,,,,,,,,,,
323-U1345C-4H-CC-A,323,U1345,C,4,4-CC,H,CC,A,0,37,34.77,35.14,silty clay [S54],"Shepard, 1954",diatom-rich,diatom-rich silty clay,100.0,soft,5GY 3/1,,,,,,,,,,,,
323-U1345C-5H-1-A,323,U1345,C,5,5-1,H,1,A,0,150,34.5,36.0,silt [S54],,,silt,,,10Y 3/1,,,,,,,,,,,,
323-U1345C-5H-2-A,323,U1345,C,5,5-2,H,2,A,0,150,36.0,37.5,silt [S54],,,silt,,,10Y 3/1,,,,,,,,,,,,
323-U1345C-5H-3-A,323,U1345,C,5,5-3,H,3,A,0,150,37.5,39.0,silt [S54],,,silt,,,10Y 3/1,,,,,,,,,,,,
323-U1345C-5H-4-A,323,U1345,C,5,5-4,H,4,A,0,79,39.0,39.79,silt [S54],,,silt,,,10Y 3/1,,,,,,,,,,,,
323-U1345C-5H-4-A,323,U1345,C,5,5-4,H,4,A,79,84,39.79,39.84,authigenic carbonate,Leg 323,,authigenic carbonate,,,10Y 4/1,,,,,,,,,,,,
323-U1345C-5H-4-A,323,U1345,C,5,5-4,H,4,A,84,150,39.84,40.5,clayey sand [S54],"Shepard, 1954",,clayey sand,,,10Y 3/1,,,,,,,,,,,,
323-U1345C-5H-5-A,323,U1345,C,5,5-5,H,5,A,0,150,40.5,42.0,clayey sand [S54],"Shepard, 1954",,clayey sand,,,10Y 3/1,,,,,,,,,,,,
323-U1345C-5H-6-A,323,U1345,C,5,5-6,H,6,A,0,100,42.0,43.0,clayey sand [S54],"Shepard, 1954",,clayey sand,,,10Y 3/1,,,,,,,,,,,,
323-U1345C-5H-7-A,323,U1345,C,5,5-7,H,7,A,0,62,43.0,43.62,clayey sand [S54],"Shepard, 1954",,clayey sand,,,10Y 3/1,,,,,,,,,,,,
323-U1345C-5H-CC-A,323,U1345,C,5,5-CC,H,CC,A,0,34,43.62,43.96,clayey sand [S54],"Shepard, 1954",,clayey sand,,,10Y 3/1,,,,,,,,,,,,
323-U1345C-6H-1-A,323,U1345,C,6,6-1,H,1,A,0,56,44.0,44.56,silty clay [S54],"Shepard, 1954",diatom-bearing,diatom-bearing silty clay,100.0,soft,10Y 4/1,,,,,,,,,,,,
323-U1345C-6H-1-A,323,U1345,C,6,6-1,H,1,A,56,61,44.56,44.61,silt [S54],"Shepard, 1954",diatom-rich,diatom-rich silt,100.0,soft,5GY 4/1,,,,,,,,,,,,
323-U1345C-6H-2-A,323,U1345,C,6,6-2,H,2,A,0,113,44.61,45.74,silt [S54],"Shepard, 1954",diatom-rich,diatom-rich silt,100.0,soft,5GY 4/1,,,,,,,,,,,,
323-U1345C-6H-2-A,323,U1345,C,6,6-2,H,2,A,90,150,45.51,46.11,silty sand [S54],"Shepard, 1954",diatom-bearing,diatom-bearing silty sand,100.0,soft,10Y 3/1,,,,,,,,,,,,
323-U1345C-6H-3-A,323,U1345,C,6,6-3,H,3,A,0,3,46.11,46.14,silty sand [S54],"Shepard, 1954",diatom-bearing,diatom-bearing silty sand,100.0,soft,10Y 3/1,,,,,,,,,,,,
323-U1345C-6H-3-A,323,U1345,C,6,6-3,H,3,A,3,148,46.14,47.59,silty clay [S54],"Shepard, 1954",diatom-bearing,diatom-bearing silty clay,100.0,soft,10Y 4/1,,,,,,,,,,,,
323-U1345C-6H-3-A,323,U1345,C,6,6-3,H,3,A,148,150,47.59,47.61,silt [S54],"Shepard, 1954",diatom-rich,diatom-rich silt,100.0,soft,5GY 4/1,,,,,,,,,,,,
323-U1345C-6H-4-A,323,U1345,C,6,6-4,H,4,A,0,140,47.61,49.01,silt [S54],"Shepard, 1954",diatom-rich,diatom-rich silt,100.0,soft,5GY 4/1,,,,,,,,,,,,
323-U1345C-6H-4-A,323,U1345,C,6,6-4,H,4,A,140,150,49.01,49.11,sand [S54],,diatom-rich,diatom-rich sand,100.0,soft,10Y 3/1,,,,,,,,,,,,
323-U1345C-6H-5-A,323,U1345,C,6,6-5,H,5,A,0,4,49.11,49.15,sand [S54],,diatom-rich,diatom-rich sand,100.0,soft,10Y 3/1,,,,,,,,,,,,
323-U1345C-6H-5-A,323,U1345,C,6,6-5,H,5,A,4,62,49.15,49.73,silt [S54],"Shepard, 1954",diatom-rich,diatom-rich silt,100.0,soft,5GY 4/1,,,,,,,,,,,,
323-U1345C-6H-5-A,323,U1345,C,6,6-5,H,5,A,62,150,49.73,50.61,silty clay [S54],"Shepard, 1954",diatom-bearing,diatom-bearing silty clay,100.0,soft,10Y 4/1,,,,,,,,,,,,
323-U1345C-6H-6-A,323,U1345,C,6,6-6,H,6,A,0,77,50.61,51.38,silty clay [S54],"Shepard, 1954",diatom-bearing,diatom-bearing silty clay,100.0,soft,10Y 4/1,,,,,,,,,,,,
323-U1345C-6H-6-A,323,U1345,C,6,6-6,H,6,A,77,89,51.38,51.5,silty clay [S54],"Shepard, 1954",diatom-rich,diatom-rich silty clay,100.0,soft,5Y 4/1 ,,,,,,,,,,,,
323-U1345C-6H-6-A,323,U1345,C,6,6-6,H,6,A,89,150,51.5,52.11,silty clay [S54],"Shepard, 1954",diatom-bearing,diatom-bearing silty clay,100.0,soft,10Y 4/1,,,,,,,,,,,,
323-U1345C-6H-7-A,323,U1345,C,6,6-7,H,7,A,0,42,52.11,52.53,silty clay [S54],"Shepard, 1954",diatom-bearing,diatom-bearing silty clay,100.0,soft,10Y 4/1,,,,,,,,,,,,
323-U1345C-6H-7-A,323,U1345,C,6,6-7,H,7,A,42,53,52.53,52.64,silty clay [S54],"Shepard, 1954",diatom-rich,diatom-rich silty clay,100.0,soft,5Y 4/1 ,,,,,,,,,,,,
323-U1345C-6H-7-A,323,U1345,C,6,6-7,H,7,A,53,136,52.64,53.47,silty clay [S54],"Shepard, 1954",diatom-bearing,diatom-bearing silty clay,100.0,soft,10Y 4/1,,,,,,,,,,,,
323-U1345C-6H-CC-A,323,U1345,C,6,6-CC,H,CC,A,0,32,53.47,53.79,silty clay [S54],"Shepard, 1954",diatom-bearing,diatom-bearing silty clay,100.0,soft,10Y 4/1,,,,,,,,,,,,
323-U1345C-7H-1-A,323,U1345,C,7,7-1,H,1,A,0,36,53.5,53.86,clayey silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing clayey silt,,soft,4/N,,,,,,,,,,,,
323-U1345C-7H-1-A,323,U1345,C,7,7-1,H,1,A,36,83,53.86,54.33,clayey silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing clayey silt,80.0,soft,4/N,,,,,,,,,,,,
323-U1345C-7H-1-A,323,U1345,C,7,7-1,H,1,A,36,83,53.86,54.33,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,20.0,soft,10Y 4/1,,,,,,,,,,,,
323-U1345C-7H-2-A,323,U1345,C,7,7-2,H,2,A,0,150,54.33,55.83,sandy silt [S54],"Shepard, 1954",,sandy silt,,soft,5GY 4/1,,,,,,,,,,,,
323-U1345C-7H-3-A,323,U1345,C,7,7-3,H,3,A,0,10,55.83,55.93,sandy silt [S54],"Shepard, 1954",,sandy silt,,soft,5GY 4/1,,,,,,,,,,,,
323-U1345C-7H-3-A,323,U1345,C,7,7-3,H,3,A,10,95,55.93,56.78,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,,soft,3/N ,,,,,,,,,,,,
323-U1345C-7H-3-A,323,U1345,C,7,7-3,H,3,A,95,150,56.78,57.33,clayey silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing clayey silt,,soft,5GY 4/1,,,,,,,,,,,,
323-U1345C-7H-4-A,323,U1345,C,7,7-4,H,4,A,0,150,57.33,58.83,clayey silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing clayey silt,,soft,5GY 4/1,,,,,,,,,,,,
323-U1345C-7H-5-A,323,U1345,C,7,7-5,H,5,A,0,75,58.83,59.58,clayey silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing clayey silt,,soft,5GY 4/1,,,,,,,,,,,,
