Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithification,Lithology Prefix,Lithology Principal Name,Texture Rank,Lithology Suffix,MAJ Lith. prefix+name+suffix [read only],"FACIES (neritic, hemipelagic, pelagic)",MAJ lith color (simple),Fossil,Sedimentary structure,Diagenetic structure,Layer or bedding thickness,Bioturbation intensity,Bioturbation intensity rank [read only],Bottom contact or boundary definition,Bottom contact or boundary attitude,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
356-U1464B-4H-4-A,0,100,25.6,26.6,unlithified [Leg194],,packstone [E&K72; D62],3,with foraminifers [2014],packstone with foraminifers,hemipelagic,creamy gray,,,,,,,,,"Unlihtified, creamy gray homogeneous packstone with coarse to sand size grains.",,,,356,U1464,B,4,H,4,A
356-U1464B-4H-4-A,100,150,26.6,27.1,unlithified [Leg194],,wackestone [E&K72; D62],2,with foraminifers [2014],wackestone with foraminifers,hemipelagic,creamy gray,,,,,,,,,"Unlithified, creamy gray homogeneous wackestone with sand size grains",,,,356,U1464,B,4,H,4,A
356-U1464B-4H-5-A,0,75,27.1,27.85,unlithified [Leg194],,wackestone [E&K72; D62],2,with foraminifers [2014],wackestone with foraminifers,hemipelagic,creamy gray,,,,,,,,,"Unlithified, creamy gray, homogeneous wackestone with sand size grains and foraminifers.",,,,356,U1464,B,4,H,5,A
356-U1464B-4H-5-A,75,150,27.85,28.6,unlithified [Leg194],,mudstone [E&K72; D62],1,with foraminifers [2014],mudstone with foraminifers,hemipelagic,creamy gray,,,,,,,,,"Unlithified, creamy gray, homogeneous mudstone with fine sand size grains and foraminifers",,,,356,U1464,B,4,H,5,A
356-U1464B-4H-6-A,0,150,28.6,30.1,unlithified [Leg194],,mudstone [E&K72; D62],1,with foraminifers [2014],mudstone with foraminifers,hemipelagic,creamy gray,,,,,,,,,"Unlithified, creamy gray homogeneous mudstone with fine sand size grains grading down section to v fine sand size grains with foraminifers",,,,356,U1464,B,4,H,6,A
356-U1464B-4H-7-A,0,50,30.1,30.6,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,creamy gray,,,,,,,,,"Unlithified, creamy gray homogeneous mudstone with vf sand size grains and foraminifers",,,,356,U1464,B,4,H,7,A
356-U1464B-4H-CC-A,0,17,30.6,30.77,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,creamy gray,,,,,,,,,"Unlithified, creamy gray homogeneous mudstone with vf sand size grains and foraminifers",,,,356,U1464,B,4,H,CC,A
356-U1464B-4H-CC-A,17,22,30.77,30.82,,,,,,,,,,,,,,,,,to pal,,,,356,U1464,B,4,H,CC,A
356-U1464B-5H-1-A,0,150,30.7,32.2,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,creamy gray,,,,,,,,,"Unlithfied, creamy gray, homogeneous mudstone with vf sand size grains. Few bivalve fragments",,,,356,U1464,B,5,H,1,A
356-U1464B-5H-2-A,0,153,32.2,33.73,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,creamy gray,,,,,,,,,"Unlithified, creamy gray homogenous mudstone with vf sand size grains",,,,356,U1464,B,5,H,2,A
356-U1464B-5H-3-A,0,145,33.73,35.18,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,creamy gray,,,,,,,,,"Unlithfied, creamy gray homogeneous mudstone with vf sand size grains",,,,356,U1464,B,5,H,3,A
356-U1464B-5H-4-A,0,150,35.18,36.68,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,creamy gray,,,,,,,,,"Unlithified, creamy gray homogeneous mudstone with vf sand size grains",,,,356,U1464,B,5,H,4,A
356-U1464B-5H-5-A,0,150,36.73,38.23,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,creamy gray,,,,,,,,,"Unlithified, creamy gray homogeneous mudstone with vf sand size grains",,,,356,U1464,B,5,H,5,A
356-U1464B-5H-6-A,0,150,38.23,39.73,unlithified [Leg194],,mudstone [E&K72; D62],1,with foraminifers [2014],mudstone with foraminifers,hemipelagic,creamy gray,,,,,,,,,"Unlithified, creamy gray, homogeneous mudstone with fine sand size grains and with foraminfers. Occasional coarser grain bioclast fragment",,,,356,U1464,B,5,H,6,A
356-U1464B-5H-7-A,0,59,39.73,40.32,unlithified [Leg194],,mudstone [E&K72; D62],1,with foraminifers [2014],mudstone with foraminifers,hemipelagic,creamy gray,,,,,,,,,"Unlithified, creamy gray homogeneous mudstone with vf sand size grains and foraminifers",,,,356,U1464,B,5,H,7,A
356-U1464B-5H-CC-A,0,25,40.32,40.57,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,creamy gray,,,,,,,,,"Unlithified, creamy gray homogeneous mudstone with vf sand size grains and with foraminifers",,,,356,U1464,B,5,H,CC,A
356-U1464B-6H-1-A,0,150,40.2,41.7,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,creamy gray,,,,,,,,,"Unlithified, creamy gray, homogeneous mudstone with vf sand size grains",,,,356,U1464,B,6,H,1,A
356-U1464B-6H-2-A,0,150,41.7,43.2,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,creamy gray,,,,,,,,,"Unlithified, creamy gray homogeneous mudstone with vf sand size grains. Slightly coarser towards the base of the Section. A solitary coral, bivalve",,,,356,U1464,B,6,H,2,A
356-U1464B-6H-3-A,0,90,43.2,44.1,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,creamy gray,,,,,,,,,"Unlithified, creamy gray homogeneous mudstone with sand size grains",,,,356,U1464,B,6,H,3,A
356-U1464B-6H-3-A,90,145,44.1,44.65,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,creamy gray,,,,,,,,,"Unlithified, creamy gray homogeneous wackestone with coarse sand size grains. Bivalve fragments",,,,356,U1464,B,6,H,3,A
356-U1464B-6H-4-A,0,150,44.7,46.2,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,creamy gray,,,,,,,,,"Unlithified, creamy gray, homogeneous wackestone with coarse and very coarse sand size grains. A solitary coral",,,,356,U1464,B,6,H,4,A
356-U1464B-6H-5-A,0,150,46.2,47.7,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,greenish gray,,,,,,,,,"Unlithified, greenish gray, glauconite rich wackestone with coarse sand size grains. One solitary coral and other bioclast fragments and benthic foraminifers. Very abundant glauconite",,,,356,U1464,B,6,H,5,A
356-U1464B-6H-6-A,0,150,47.7,49.2,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,greenish gray,,,,,,,,,"Unlithified, greenish gray wackestone with sand and coarse sand size grains, glauconite and foraminifers and sand size bioclasts. Very abundant glauconite",,,,356,U1464,B,6,H,6,A
356-U1464B-6H-7-A,0,55,49.2,49.75,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,greenish gray,,,,,,,,,"Unlithified, greenish gray, homogeneous wackestone with sand and coarse sand size grains and with glauconite and foraminfers. Very abundant glauconite",,,,356,U1464,B,6,H,7,A
356-U1464B-6H-CC-A,0,7,49.75,49.82,,,,,,,,,,,,,,,,,to pal,,,,356,U1464,B,6,H,CC,A
356-U1464B-7H-1-A,0,150,49.7,51.2,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,greenish gray,foraminifera (small benthic),,,,,,,,"Unlithified, greenish gray homogeneous wackestone with sand size grains and foraminifers. Abundant glauconite",,,,356,U1464,B,7,H,1,A
356-U1464B-7H-2-A,0,150,51.2,52.7,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,hemipelagic,greenish gray,foraminifera (small benthic),,,,,,,,"Unlithified, greenish gray packstone with sand size grains. Abundant glauconite, foraminifers and bioclasts (bivalves)",,,,356,U1464,B,7,H,2,A
356-U1464B-7H-3-A,0,145,52.7,54.15,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,greenish gray,,,,,,,,,"Unlithified, greenish gray, homogeneous wackestone with sand size grains and abundant glauconite. Bioclast fragments",,,,356,U1464,B,7,H,3,A
356-U1464B-7H-4-A,0,150,54.2,55.7,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,greenish gray,,,,,,,,,"Unlithified, greenish gray homogeneous wackestone with sand size grains. Common small benthic forams and glauconite",,,,356,U1464,B,7,H,4,A
356-U1464B-7H-5-A,0,150,55.7,57.2,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,greenish gray,,,,,,,,,"Unlithified, greenish gray homogeneous wackestone with sand size grains. Common small benthic foraminifers and glauconite grains. Sparse bioclast fragments. A sea urchin spine",,,,356,U1464,B,7,H,5,A
356-U1464B-7H-6-A,0,150,57.2,58.7,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,greenish gray,,,,,,,,,"Unlithified, greenish gray homogeneous wackestone with sand size grains. Common small benthic forams",,,,356,U1464,B,7,H,6,A
356-U1464B-7H-7-A,0,57,58.7,59.27,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,greenish gray,,,,,,,,,"Unlithified, greenish gray homogeneous wackestone with sand size grains. An urchin spine and bivalve fragment",,,,356,U1464,B,7,H,7,A
356-U1464B-7H-CC-A,0,14,59.27,59.41,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,greenish gray,,,,,,,,,"Unlithified, greenish gray, homogeneous wackestone with sand size grains",,,,356,U1464,B,7,H,CC,A
356-U1464B-7H-CC-A,14,19,59.41,59.46,,,,,,,,,,,,,,,,,to pal,,,,356,U1464,B,7,H,CC,A
356-U1464B-8H-1-A,0,42,59.2,59.62,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,greenish gray,scaphopod,,,,,,,,"Unlithified, homogeneous, greenish gray wackestone with fine sand size grains.",,,,356,U1464,B,8,H,1,A
356-U1464B-8H-1-A,42,150,59.62,60.7,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,hemipelagic,greenish gray,,,,,,,,,"Unlithified, homogeneous, greenish gray packstone with fine sand size grains. Sparce macrofossil fragments.",,,,356,U1464,B,8,H,1,A
356-U1464B-8H-2-A,0,150,60.7,62.2,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,hemipelagic,greenish gray,,,,,,,,,"Unlithified, homogeneous, greenish gray packstone with fine sand size grains. Wackestone beds are intercalted with wackestone.",,,,356,U1464,B,8,H,2,A
356-U1464B-8H-3-A,0,145,62.2,63.65,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,hemipelagic,greenish gray,,,,,,,,,"Unlithified, homogeneous, greenish gray packstone with fine sand size grains. Packstone beds are intercalted with wackestone.",,,,356,U1464,B,8,H,3,A
356-U1464B-8H-3-A,145,150,63.65,63.7,,,,,,,,,,,,,,,,,IW,,,,356,U1464,B,8,H,3,A
356-U1464B-8H-4-A,0,150,63.7,65.2,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,hemipelagic,greenish gray,,,,,,,,,"Unlithified, homogeneous, greenish gray packstone with fine sand size grains.",,,,356,U1464,B,8,H,4,A
356-U1464B-8H-5-A,0,150,65.2,66.7,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,hemipelagic,greenish gray,,,,,,,,,"Unlithified, homogeneous, greenish gray packstone with fine sand size grains.",,,,356,U1464,B,8,H,5,A
356-U1464B-8H-6-A,0,150,66.7,68.2,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,hemipelagic,greenish gray,,,,,,,,,"Unlithified, homogeneous, greenish gray packstone with fine sand size grains.",,,,356,U1464,B,8,H,6,A
356-U1464B-8H-7-A,0,78,68.2,68.98,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,hemipelagic,greenish gray,,,,,,,,,"Unlithified, homogeneous, greenish gray packstone with fine sand size grains.",,,,356,U1464,B,8,H,7,A
356-U1464B-8H-CC-A,0,11,68.98,69.09,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,hemipelagic,greenish gray,,,,,,,,,"Unlithified, homogeneous, greenish gray packstone with fine sand size grains.",,,,356,U1464,B,8,H,CC,A
356-U1464B-8H-CC-A,11,16,69.09,69.14,,,,,,,,,,,,,,,,,to pal,,,,356,U1464,B,8,H,CC,A
356-U1464B-9H-1-A,0,94,68.7,69.64,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,greenish gray,foraminifera (small benthic),,,,slight [B06],2,bioturbated,sub-horizontal,"Unlithified, homogeneous, greenish gray wackestone with fine sand size grains.",,,,356,U1464,B,9,H,1,A
356-U1464B-9H-1-A,94,150,69.64,70.2,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,greenish gray,,,,,slight [B06],2,,,"Unlithified, homogeneous, greenish gray wackestone with fine sand size grains.",,,,356,U1464,B,9,H,1,A
356-U1464B-9H-2-A,0,150,70.2,71.7,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,hemipelagic,greenish gray,foraminifera (small benthic),,,,slight [B06],2,,,"unlithified, homogeneous packstone with fine sand size grains. It contains abundant dark gray fine sand size grains, possibly glauconite.",,,,356,U1464,B,9,H,2,A
356-U1464B-9H-3-A,0,145,71.7,73.15,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,hemipelagic,greenish gray,foraminifera (small benthic),,,,slight [B06],2,,,"unlithified, homogeneous packstone with fine sand size grains. It contains abundant dark gray fine sand size grains, possibly glauconite.",,,,356,U1464,B,9,H,3,A
356-U1464B-9H-4-A,0,150,73.2,74.7,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,hemipelagic,greenish gray,foraminifera (small benthic),,,,,,,,"unlithified, homogeneous packstone with fine sand size grains. It contains abundant dark gray fine sand size grains, possibly glauconite.",,,,356,U1464,B,9,H,4,A
356-U1464B-9H-5-A,0,150,74.7,76.2,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,hemipelagic,greenish gray,foraminifera (small benthic),,,,,,,,"unlithified, homogeneous packstone with fine sand size grains. It contains abundant dark gray fine sand size grains, possibly glauconite.",,,,356,U1464,B,9,H,5,A
356-U1464B-9H-6-A,0,150,76.2,77.7,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,hemipelagic,greenish gray,foraminifera (small benthic),,,,,,,,"unlithified, homogeneous packstone with fine sand size grains. It contains abundant dark gray fine sand size grains, possibly glauconite.",,,,356,U1464,B,9,H,6,A
356-U1464B-9H-7-A,0,56,77.7,78.26,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,hemipelagic,greenish gray,foraminifera (small benthic),,,,,,,,"unlithified, homogeneous packstone with fine sand size grains. It contains abundant dark gray fine sand size grains, possibly glauconite.",,,,356,U1464,B,9,H,7,A
356-U1464B-9H-CC-A,0,10,78.26,78.36,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,hemipelagic,greenish gray,foraminifera (small benthic),,,,,,,,"unlithified, homogeneous packstone with fine sand size grains. It contains abundant dark gray fine sand size grains, possibly glauconite.",,,,356,U1464,B,9,H,CC,A
356-U1464B-9H-CC-A,10,15,78.36,78.41,,,,,,,,,,,,,,,,,PAL,,,,356,U1464,B,9,H,CC,A
356-U1464B-10H-1-A,0,150,78.2,79.7,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,hemipelagic,greenish gray,foraminifera (small benthic),,,,slight [B06],2,,,"unlithified, homogeneous packstone with fine sand size grains. It contains abundant dark gray fine sand size grains, possibly glauconite.",,,,356,U1464,B,10,H,1,A
356-U1464B-10H-2-A,0,150,79.7,81.2,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,hemipelagic,greenish gray,foraminifera (small benthic),,,,slight [B06],2,,,"unlithified, homogeneous packstone with fine sand size grains. It contains abundant dark gray fine sand size grains, possibly glauconite.",,,,356,U1464,B,10,H,2,A
356-U1464B-10H-3-A,0,140,81.2,82.6,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,hemipelagic,greenish gray,foraminifera (small benthic),,,,slight [B06],2,,,"unlithified, homogeneous packstone with fine sand size grains. It contains abundant dark gray fine sand size grains, possibly glauconite.",,,,356,U1464,B,10,H,3,A
356-U1464B-10H-3-A,0,140,81.2,82.6,,,,,,,,,scaphopod,,,,,,,,,,,,356,U1464,B,10,H,3,A
356-U1464B-10H-3-A,145,150,82.65,82.7,,,,,,,,,,,,,,,,,IW,,,,356,U1464,B,10,H,3,A
356-U1464B-10H-4-A,0,150,82.7,84.2,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,hemipelagic,greenish gray,foraminifera (small benthic),,,,slight [B06],2,,,"unlithified, homogeneous packstone with fine sand size grains. It contains abundant dark gray fine sand size grains, possibly glauconite.",,,,356,U1464,B,10,H,4,A
356-U1464B-10H-5-A,0,150,84.2,85.7,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,hemipelagic,greenish gray,foraminifera (small benthic),,,,slight [B06],2,,,"unlithified, homogeneous packstone with fine sand size grains. It contains abundant dark gray fine sand size grains, possibly glauconite.",,,,356,U1464,B,10,H,5,A
356-U1464B-10H-5-A,0,150,84.2,85.7,,,,,,,,,scaphopod,,,,,,,,,,,,356,U1464,B,10,H,5,A
356-U1464B-10H-6-A,0,150,85.7,87.2,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,hemipelagic,greenish gray,foraminifera (small benthic),,,,slight [B06],2,,,"unlithified, homogeneous packstone with fine sand size grains. It contains abundant dark gray fine sand size grains, possibly glauconite.",,,,356,U1464,B,10,H,6,A
356-U1464B-10H-7-A,0,73,87.2,87.93,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,hemipelagic,greenish gray,foraminifera (small benthic),,,,slight [B06],2,,,"unlithified, homogeneous packstone with fine sand size grains. It contains abundant dark gray fine sand size grains, possibly glauconite.",,,,356,U1464,B,10,H,7,A
356-U1464B-10H-CC-A,0,19,87.93,88.12,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,hemipelagic,greenish gray,foraminifera (small benthic),,,,slight [B06],2,,,"unlithified, homogeneous packstone with fine sand size grains. It contains abundant dark gray fine sand size grains, possibly glauconite.",,,,356,U1464,B,10,H,CC,A
356-U1464B-10H-CC-A,19,24,88.12,88.17,,,,,,,,,,,,,,,,,PAL,,,,356,U1464,B,10,H,CC,A
356-U1464B-11H-1-A,0,150,87.7,89.2,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,greenish gray,foraminifera (small benthic),,,,moderate [B06],3,,,"Unlithified, wackestone with fine sand size grains. Packstone patches are intercalted with wackestone. Moderate bioturbation.",,,,356,U1464,B,11,H,1,A
356-U1464B-11H-2-A,0,48,89.2,89.68,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,greenish gray,foraminifera (small benthic),,,,moderate [B06],3,bioturbated,sub-horizontal,"Unlithified, poor-sorted wackestone with fine sand size grains. Packstone patches are intercalted with wackestone. Moderate bioturbation.",,,,356,U1464,B,11,H,2,A
356-U1464B-11H-2-A,48,150,89.68,90.7,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,hemipelagic,greenish gray,foraminifera (small benthic),,,,,,,,"Unlithified, homogeneous packstone with fine sand size grains. It contains dark gray fine sand size grains, possibly glauconite.",,,,356,U1464,B,11,H,2,A
356-U1464B-11H-3-A,0,139,90.7,92.09,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,hemipelagic,greenish gray,foraminifera (small benthic),,,,,,,,"Unlithified, homogeneous packstone with fine sand size grains. It contains dark gray fine sand size grains, possibly glauconite. Fossil shell fragments occur.",,,,356,U1464,B,11,H,3,A
356-U1464B-11H-3-A,0,150,90.7,92.2,,,,,,,,,,,,,,,,,IW,,,,356,U1464,B,11,H,3,A
356-U1464B-11H-3-A,139,145,92.09,92.15,,,,,,,,,,,,,,,,,void,,,,356,U1464,B,11,H,3,A
