Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Drilling disturbance intensity,Drilling disturbance intensity rank,Lithology Principal Name,MAJ Lith. abundance [%],MAJ Lith. max. grain size,MAJ Lith. max. grain size rank,Minor Lithology Name,MIN Lith. abundance [%],MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Lith. comment,Clast percentage [%],Clast 1 igneous - pumiceous [%],Clast 1 igneous - pumiceous grain size,Clast 2 igneous - scoriaceous [%],Clast 2 igneous - scoriaceous grain size,Clast 3 igneous - massive [%],Clast 3 igneous - massive grain size,Clast 4 igneous - vesicular [%],Clast 4 igneous - vesicular grain size,Clast 5 volcaniclastic [%],Clast 5 volcaniclastic grain size,Clast 6 sediment [%],Clast 6 sediment grain size,Clast 7 -other lithology [%],Clast 7 -other lithology grain size,Clast lith. abund. sum [%],Clast lithology comment,Clast roundness,Matrix 1 igneous - pumiceous [%],Matrix 2 igneous - scoriaceous [%],Matrix 3 igneous - massive [%],Matrix 4 igneous - vesicular [%],Matrix 5 volcaniclastic [%],Matrix 6 sediment [%],Matrix 7 -other lithology [%],Matrix biogenic carbonate [%],Matrix detritical carbonate [%],Matrix carbonate [%],Matrix abund. sum [%],Matrix sorting,Matrix alteration intensity,Matrix alteration rank,Matrix comment,Deformational structures,Deformational structure strike [deg],Deformational structure dip [deg],Deformational structure comment,Groundmass modal percentage [%],Groundmass modal grain size [mm],Groundmass comments,File Data,Extra Sample ID Data,Lithology Prefix,Minor Lithology Prefix,Lithology Suffix,Minor Lithology Suffix
340-U1399A-1H-3-A,340,U1399,A,1,1-3,H,3,A,13,25.5,3.13,3.255,minimal [drilling disturbance],1,carbonate ooze [Leg178],100,fine mud [T07],3,,,,,100,,0,0,,0,,0,,0,,0,,0,,0,,,,,0,0,0,0,15,0,0,0,0,85,,moderately well [BP01],rare [alteration],2,,,,,,,,,,,,,,
340-U1399A-1H-3-A,340,U1399,A,1,1-3,H,3,A,25.5,30,3.255,3.3,minimal [drilling disturbance],1,volcaniclastic-mud [BGS-S81],100,fine mud [T07],3,,,,,100,,0,0,,0,,0,,0,,0,,0,,0,,,,,65,0,0,0,35,0,0,0,0,0,,poor [BP01],absent [alteration],0,,,,,,,,,,,,,,
340-U1399A-1H-3-A,340,U1399,A,1,1-3,H,3,A,30,31,3.3,3.31,minimal [drilling disturbance],1,volcaniclastic-mud [BGS-S81],100,fine mud [T07],3,,,,,100,,0,0,,0,,0,,0,,0,,0,,0,,,,,10,0,5,10,65,0,0,5,5,0,,moderate [BP01],rare [alteration],2,,,,,,,,,,,,,,
340-U1399A-1H-3-A,340,U1399,A,1,1-3,H,3,A,31,38,3.31,3.38,minimal [drilling disturbance],1,carbonate ooze [Leg178],100,fine mud [T07],3,,,,,100,,0,0,,0,,0,,0,,0,,0,,0,,,,,0,0,0,0,15,0,0,0,0,85,,moderately well [BP01],rare [alteration],2,,,,,,,,,,,,,,
340-U1399A-1H-3-A,340,U1399,A,1,1-3,H,3,A,38,43,3.38,3.43,minimal [drilling disturbance],1,volcaniclastic-mud [BGS-S81],100,fine mud [T07],3,,,,,100,,0,0,,0,,0,,0,,0,,0,,0,,,,,10,0,5,10,65,0,0,5,5,0,,moderate [BP01],rare [alteration],2,,,,,,,,,,,,,,
340-U1399A-1H-3-A,340,U1399,A,1,1-3,H,3,A,43,61.5,3.43,3.615,minimal [drilling disturbance],1,volcaniclastic-sand [BGS-S81],100,medium sand [T07],6,,,,,100,,5,100,pebble [W22_2],0,,0,,0,,0,,0,,0,,,,angular,15,0,15,10,50,0,0,0,3,7,,moderate [BP01],rare [alteration],2,,,,,,,,,,,,,,
340-U1399A-1H-3-A,340,U1399,A,1,1-3,H,3,A,61.5,78,3.615,3.78,minimal [drilling disturbance],1,carbonate ooze [Leg178],100,fine mud [T07],3,,,,,100,,0,0,,0,,0,,0,,0,,0,,0,,,,,0,0,0,0,15,0,0,0,0,85,,moderate [BP01],moderate [alteration],4,,,,,,,,,,,,,,
340-U1399A-1H-3-A,340,U1399,A,1,1-3,H,3,A,78,81.5,3.78,3.815,minimal [drilling disturbance],1,volcaniclastic-sand [BGS-S81],100,medium sand [T07],6,,,,,100,,0,0,,0,,0,,0,,0,,0,,0,,,,,20,0,3,10,65,0,0,0,2,0,,moderately well [BP01],absent [alteration],0,,,,,,,,,,,,,,
340-U1399A-1H-3-A,340,U1399,A,1,1-3,H,3,A,81.5,95.5,3.815,3.955,minimal [drilling disturbance],1,carbonate ooze [Leg178],100,fine mud [T07],3,,,,,100,,0,0,,0,,0,,0,,0,,0,,0,,,,,0,0,0,0,15,0,0,0,0,85,,moderate [BP01],moderate [alteration],4,,,,,,,,,,,,,,
340-U1399A-1H-3-A,340,U1399,A,1,1-3,H,3,A,95.5,103,3.955,4.03,minimal [drilling disturbance],1,volcaniclastic-sand [BGS-S81],100,fine medium sand [T07],5,,,,,100,,0,0,,0,,0,,0,,0,,0,,0,,,,,4,0,10,20,65,0,0,0,1,0,,well [BP01],absent [alteration],0,,,,,,,,,,,,,,
340-U1399A-1H-3-A,340,U1399,A,1,1-3,H,3,A,95.5,103,3.955,4.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340-U1399A-1H-3-A,340,U1399,A,1,1-3,H,3,A,103,130,4.03,4.3,minimal [drilling disturbance],1,carbonate ooze [Leg178],100,fine mud [T07],3,,,,,100,,0,0,,0,,0,,0,,0,,0,,0,,,,,0,0,0,0,15,0,0,0,0,85,,moderate [BP01],moderate [alteration],4,,,,,,,,,,,,,,
340-U1399A-1H-4-A,340,U1399,A,1,1-4,H,4,A,0,8,4.3,4.38,slight [drilling disturbance],2,volcaniclastic-mud [BGS-S81],100,fine mud [T07],3,,,,,100,,0,0,,0,,0,,0,,0,,0,,0,,,,,25,10,5,15,43,0,0,0,2,0,,moderately well [BP01],rare [alteration],2,,,,,,,,,,,,,,
340-U1399A-1H-4-A,340,U1399,A,1,1-4,H,4,A,8,13,4.38,4.43,minimal [drilling disturbance],1,volcaniclastic-mud [BGS-S81],100,fine mud [T07],3,,,,,100,,0,0,,0,,0,,0,,0,,0,,0,,,,,25,10,5,15,43,0,0,0,2,0,,moderately well [BP01],rare [alteration],2,,,,,,,,,,,,,,
340-U1399A-1H-4-A,340,U1399,A,1,1-4,H,4,A,13,18,4.43,4.48,minimal [drilling disturbance],1,volcaniclastic-mud [BGS-S81],100,fine mud [T07],3,,,,,100,,0,0,,0,,0,,0,,0,,0,,0,,,,,20,0,5,10,25,0,0,5,15,20,,poor [BP01],absent [alteration],0,,,,,,,,,,,,,,
340-U1399A-1H-4-A,340,U1399,A,1,1-4,H,4,A,18,21,4.48,4.51,minimal [drilling disturbance],1,carbonate ooze [Leg178],100,fine mud [T07],3,,,,,100,,0,0,,0,,0,,0,,0,,0,,0,,,,,0,0,0,0,15,0,0,0,0,85,,moderate [BP01],rare [alteration],2,,,,,,,,,,,,,,
