Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,MAJ Lith. prefix+name+suffix [read only],Amount of ash in lithology,Amount of ash in lithology rank [read only],Sed. structures,MAJ Lith. color,Bioturbation intensity,Bioturbation intensity rank [read only],Clast abundance,Number of clasts (>2mm),Clast 1 igneous -  grain size,Clast 1 igneous -  roundness,Clast 2 sediment - grain size,Clast 2 sediment - roundness,Clast 3 metamorphic - grain size,Clast 3 metamorphic - roundness,Macrofossil,Diagenetic constituent,Diagenetic constituent composition,General interval comment,Bottom contact or boundary type,Bottom contact geometry,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
341-U1418C-1H-4-A,37.0,150.0,4.87,6.0,,mud [Leg210],,mud ,,,,N 5 (gray),,,,,,,,,,,,,,massive mud,,,,,,341,U1418,C,1,H,4,A
341-U1418C-1H-5-A,0.0,150.0,6.0,7.5,,mud [Leg210],,mud ,,,color banding,N 5 (gray),,,,,,,,,,,,,,colour banding N5 with N 4,,,,,,341,U1418,C,1,H,5,A
341-U1418C-1H-6-A,0.0,100.0,7.5,8.5,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,,,,,,,341,U1418,C,1,H,6,A
341-U1418C-1H-CC-A,0.0,12.0,8.5,8.62,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,,,,,,,341,U1418,C,1,H,CC,A
341-U1418C-1H-CC-A,12.0,17.0,8.62,8.67,,,,,,,,,,,,,,,,,,,,,,PAL,,,,,,341,U1418,C,1,H,CC,A
341-U1418C-2H-1-A,0.0,119.0,8.6,9.79,,interbedded silt(stone) and mud(stone) [McKW53],,interbedded silt(stone) and mud(stone) ,,,,N 4 (dark gray),,,,,,,,,,,,,,"section very soupy, details difficult to see; 23 silt laminae, mud 33 cm or less",,,,,,341,U1418,C,2,H,1,A
341-U1418C-2H-1-A,119.0,150.0,9.79,10.1,,mud [Leg210],,mud ,,,,N 5 (gray),,,,,,,,,,,,,,,,,,,,341,U1418,C,2,H,1,A
341-U1418C-2H-2-A,0.0,10.0,10.1,10.2,,mud [Leg210],,mud ,,,,N 5 (gray),,,,,,,,,,,,,,,,,,,,341,U1418,C,2,H,2,A
341-U1418C-2H-2-A,10.0,150.0,10.2,11.6,,interbedded silt(stone) and mud(stone) [McKW53],,interbedded silt(stone) and mud(stone) ,,,,N 4 (dark gray),,,,,,,,,,,,,,"section very soupy, details difficult to see; 26 silt laminae, mud 10 cm or less; faintly colour banded N4 (major) N 5 (minor)",,,,,,341,U1418,C,2,H,2,A
341-U1418C-2H-3-A,0.0,123.0,11.6,12.83,,interbedded silt(stone) and mud(stone) [McKW53],,interbedded silt(stone) and mud(stone) ,,,,N 4 (dark gray),,,,,,,,,,,,,,"section very soupy, details difficult to see; 32 silt laminae, mud 20 cm or less; laminae often in pairs or triplets with only thin (2-3 cm) muds between them, interval to next pair or triplet much larger; faintly colour banded N4 (major) N 5 (minor)",,,,,,341,U1418,C,2,H,3,A
341-U1418C-2H-3-A,123.0,125.0,12.83,12.85,,ash(tuff) [MMK88m],,ash(tuff) ,ash,4,,10YR 3/3 (dark brown),,,,,,,,,,,,,,,,,,,,341,U1418,C,2,H,3,A
341-U1418C-2H-3-A,125.0,150.0,12.85,13.1,,interbedded silt(stone) and mud(stone) [McKW53],,interbedded silt(stone) and mud(stone) ,,,,N 4 (dark gray),,,,,,,,,,,,,,,,,,,,341,U1418,C,2,H,3,A
341-U1418C-2H-4-A,0.0,150.0,13.1,14.6,,interbedded silt(stone) and mud(stone) [McKW53],,interbedded silt(stone) and mud(stone) ,,,,N 4 (dark gray),,,,,,,,,,,,,,"section very soupy, details difficult to see; 32 silt laminae, mud 12 cm or less; laminae often in pairs or triplets with only thin (2-3 cm) muds between them, interval to next pair or triplet much larger; faintly colour banded N4 (major) N 5 (minor)",,,,,,341,U1418,C,2,H,4,A
341-U1418C-2H-5-A,0.0,53.0,14.6,15.13,,interbedded silt(stone) and mud(stone) [McKW53],,interbedded silt(stone) and mud(stone) ,,,,N 4 (dark gray),none [DB86],0,absent [A79],,,,,,,,,,,"silts: thinly laminated to laminated, @ 1-10cm intervals",,,,,,341,U1418,C,2,H,5,A
341-U1418C-2H-5-A,53.0,87.0,15.13,15.47,,mud [Leg210],,mud ,,,,N 4 (dark gray),none [DB86],0,absent [A79],,,,,,,,,,,,,,,,,341,U1418,C,2,H,5,A
341-U1418C-2H-5-A,87.0,101.0,15.47,15.61,,interbedded silt(stone) and mud(stone) [McKW53],,interbedded silt(stone) and mud(stone) ,,,,N 4 (dark gray),none [DB86],0,absent [A79],,,,,,,,,,,"silts: thinly laminated, @ 1-2cm intervals",,,,,,341,U1418,C,2,H,5,A
341-U1418C-2H-5-A,101.0,112.0,15.61,15.72,,mud [Leg210],,mud ,,,,N 4 (dark gray),none [DB86],0,absent [A79],,,,,,,,,,,,,,,,,341,U1418,C,2,H,5,A
341-U1418C-2H-5-A,112.0,150.0,15.72,16.1,,interbedded silt(stone) and mud(stone) [McKW53],,interbedded silt(stone) and mud(stone) ,,,,N 4 (dark gray),none [DB86],0,absent [A79],,,,,,,,,,,"silts: thinly laminated, @ 1-5cm intervals",,,,,,341,U1418,C,2,H,5,A
341-U1418C-2H-6-A,0.0,110.0,16.1,17.2,,interbedded silt(stone) and mud(stone) [McKW53],,interbedded silt(stone) and mud(stone) ,,,,N 4 (dark gray),none [DB86],0,absent [A79],,,,,,,,,,,"silts: thinly laminated, @ 1-15cm intervals;
36-40cm: sand patch",,,,,,341,U1418,C,2,H,6,A
341-U1418C-2H-7-A,0.0,60.0,17.2,17.8,,interbedded silt(stone) and mud(stone) [McKW53],,interbedded silt(stone) and mud(stone) ,,,,N 4 (dark gray),none [DB86],0,absent [A79],,,,,,,,,,,"silts: thinly laminated, @ 1-15cm intervals",,,,,,341,U1418,C,2,H,7,A
341-U1418C-2H-CC-A,0.0,14.0,17.8,17.94,,mud [Leg210],,mud ,,,,N 4 (dark gray),none [DB86],0,absent [A79],,,,,,,,,,,mostly drilling disturbed,,,,,,341,U1418,C,2,H,CC,A
341-U1418C-2H-CC-A,14.0,19.0,17.94,17.99,,,,,,,,,,,,,,,,,,,,,,PAL,,,,,,341,U1418,C,2,H,CC,A
341-U1418C-3H-1-A,0.0,44.0,18.1,18.54,,mud [Leg210],,mud ,,,,N 4 (dark gray),none [DB86],0,absent [A79],,,,,,,,,,,,,,,,,341,U1418,C,3,H,1,A
341-U1418C-3H-1-A,44.0,83.0,18.54,18.93,,interbedded silt(stone) and mud(stone) [McKW53],,interbedded silt(stone) and mud(stone) ,,,,N 4 (dark gray),none [DB86],0,absent [A79],,,,,,,,,,,"green color bands (1-2cm thick);
silts: thinly laminated, @ 1-15 cm intervals (likely closer but obscured by drilling disturbance)",,,,,,341,U1418,C,3,H,1,A
341-U1418C-3H-1-A,83.0,84.0,18.93,18.94,,,,,,,,,,,,,,,,,,,,,,VOID,,,,,,341,U1418,C,3,H,1,A
341-U1418C-3H-1-A,84.0,150.0,18.94,19.6,,interbedded silt(stone) and mud(stone) [McKW53],,interbedded silt(stone) and mud(stone) ,,,,N 4 (dark gray),none [DB86],0,present [A79],1,,,,,,,,,,"silts: thinly laminated, @ 1-15 cm intervals (likely closer but obscured by drilling disturbance)",,,,,,341,U1418,C,3,H,1,A
341-U1418C-3H-2-A,0.0,33.0,19.6,19.93,,interbedded silt(stone) and mud(stone) [McKW53],,interbedded silt(stone) and mud(stone) ,,,color banding,N 4 (dark gray),none [DB86],0,absent [A79],,,,,,,,,,,"green color bands;
silts: thinly laminated, @ 2-15 cm intervals (likely closer but obscured by drilling disturbance)",,,,,,341,U1418,C,3,H,2,A
341-U1418C-3H-2-A,33.0,44.0,19.93,20.04,,,,,,,,,,,,,,,,,,,,,,VOID,,,,,,341,U1418,C,3,H,2,A
341-U1418C-3H-2-A,44.0,94.0,20.04,20.54,,interbedded silt(stone) and mud(stone) [McKW53],,interbedded silt(stone) and mud(stone) ,,,color banding,N 4 (dark gray),none [DB86],0,present [A79],1,,,,,,,,,,"green color bands;
silts: thinly laminated, @ 2-15 cm intervals (likely closer but obscured by drilling disturbance)",,,,,,341,U1418,C,3,H,2,A
341-U1418C-3H-2-A,94.0,150.0,20.54,21.1,,mud [Leg210],,mud ,,,color banding,N 4 (dark gray),none [DB86],0,absent [A79],,,,,,,,,,,green color bands,,,,,,341,U1418,C,3,H,2,A
341-U1418C-3H-3-A,0.0,150.0,21.1,22.6,,interbedded silt(stone) and mud(stone) [McKW53],,interbedded silt(stone) and mud(stone) ,,,color banding,N 4 (dark gray),none [DB86],0,absent [A79],,,,,,,,,,,"green color bands (1-2cm thick);
silts: thinly laminated, @ 1-15 cm intervals (likely closer but obscured by drilling disturbance)",,,,,,341,U1418,C,3,H,3,A
341-U1418C-3H-4-A,0.0,58.0,22.6,23.18,,interbedded silt(stone) and mud(stone) [McKW53],,interbedded silt(stone) and mud(stone) ,,,color banding,N 4 (dark gray),none [DB86],0,absent [A79],,,,,,,,,,,"green color bands (1-3cm thick);
silts: thinly laminated, @ 1-15 cm intervals (likely closer but obscured by drilling disturbance)",,,,,,341,U1418,C,3,H,4,A
341-U1418C-3H-4-A,58.0,145.0,23.18,24.05,,interbedded silt(stone) and mud(stone) [McKW53],,interbedded silt(stone) and mud(stone) ,,,color banding,10Y 4/1 (dark greenish gray),none [DB86],0,absent [A79],,,,,,,,,,,"gray color bands (1-2cm thick);
silts: thinly laminated, @ 1-15 cm intervals (likely closer but obscured by drilling disturbance)",,,,,,341,U1418,C,3,H,4,A
341-U1418C-3H-5-A,0.0,150.0,24.05,25.55,,interbedded silt(stone) and mud(stone) [McKW53],,interbedded silt(stone) and mud(stone) ,,,color banding,N 4 (dark gray),,,,,,,,,,,,,,"strongly colour banded, dark grey (N 4) and very dark grey to black (N 2.5), colour bands 0.5 - 3 cm thick, some bands are ""anoxic"" black (10YR 2/1) (FeO); 26 silt laminae, miud 10 cm or less",,,,,,341,U1418,C,3,H,5,A
341-U1418C-3H-6-A,0.0,66.0,25.55,26.21,,mud [Leg210],,mud ,,,color banding,N 4 (dark gray),,,,,,,,,,,,,,colour banded N 4 with black laminae 10YR 2/1 (FeO) and black patches (FeO) ,,,,,,341,U1418,C,3,H,6,A
341-U1418C-3H-6-A,66.0,101.0,26.21,26.56,,interbedded silt(stone) and mud(stone) [McKW53],,interbedded silt(stone) and mud(stone) ,,,color banding,N 4 (dark gray),,,,,,,,,,,,,,"9 silt laminae, mud 9 cm or less; black patches, FeO",,,,,,341,U1418,C,3,H,6,A
341-U1418C-3H-7-A,0.0,62.0,26.56,27.18,,mud [Leg210],,mud ,,,color banding,N 4 (dark gray),,,,,,,,,,,,,,9 black laminae 10YR 2/1,,,,,,341,U1418,C,3,H,7,A
341-U1418C-4H-1-A,0.0,37.0,27.6,27.97,,interbedded silt(stone) and mud(stone) [McKW53],,interbedded silt(stone) and mud(stone) ,,,,N 4 (dark gray),,,,,,,,,,,,,,"7 silt laminae, mud 9 cm or less",,,,,,341,U1418,C,4,H,1,A
341-U1418C-4H-1-A,37.0,150.0,27.97,29.1,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,"massive mud, 4 silt laminae loosely dispersed",,,,,,341,U1418,C,4,H,1,A
341-U1418C-4H-2-A,0.0,105.0,29.1,30.15,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,massive mud,,,,,,341,U1418,C,4,H,2,A
341-U1418C-4H-2-A,105.0,130.0,30.15,30.4,,interbedded silt(stone) and mud(stone) [McKW53],,interbedded silt(stone) and mud(stone) ,,,,N 4 (dark gray),,,,,,,,,,,,,,"4 silt laminae, mud 8 cm or less",,,,,,341,U1418,C,4,H,2,A
341-U1418C-4H-2-A,130.0,150.0,30.4,30.6,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,massive mud,,,,,,341,U1418,C,4,H,2,A
341-U1418C-4H-3-A,0.0,55.0,30.6,31.15,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,massive mud,,,,,,341,U1418,C,4,H,3,A
341-U1418C-4H-3-A,55.0,150.0,31.15,32.1,,mud [Leg210],,mud ,,,color banding,N 4 (dark gray),,,,,,,,,,,,,,colour banded dark grey (N 4) black N 2.5; below 85 cm downwards increasing abundance of black (FeO) patches,,,,,,341,U1418,C,4,H,3,A
341-U1418C-4H-4-A,0.0,49.0,32.1,32.59,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,present [A79],1,,,,,pebble [W22_2],subrounded,,,,"pebble 1cm at 30 cm, argillite; massive mud",,,,,,341,U1418,C,4,H,4,A
341-U1418C-4H-4-A,49.0,150.0,32.59,33.6,,interbedded silt(stone) and mud(stone) [McKW53],,interbedded silt(stone) and mud(stone) ,,,,N 3 (very dark gray),,,,,,,,,,,,,,"19 silt laminae, mud 61 cm or less; gradula colour vchange to a darker grey, N 4 to N 3, downsection",,,,,,341,U1418,C,4,H,4,A
341-U1418C-4H-5-A,0.0,150.0,33.6,35.1,,mud [Leg210],with silt [Leg339],mud  with silt ,,,color banding,N 4 (dark gray),none [DB86],0,absent [A79],,,,,,,,,,,"green/black color bands (~1 cm thick);
black mottling;
~10 silt patches/layers (thinly laminated) throughout",,,,,,341,U1418,C,4,H,5,A
341-U1418C-4H-6-A,0.0,10.0,35.1,35.2,,mud [Leg210],,mud ,,,,N 4 (dark gray),none [DB86],0,absent [A79],,,,,,,,,,,,gradational contact,,,,,341,U1418,C,4,H,6,A
341-U1418C-4H-6-A,10.0,40.0,35.2,35.5,,interbedded silt(stone) and mud(stone) [McKW53],,interbedded silt(stone) and mud(stone) ,,,color banding,N 4 (dark gray),none [DB86],0,absent [A79],,,,,,,,,,,"black color bands (<1 to 1cm thick);
silts: thinly laminated, @1-5cm intervals",gradational contact,,,,,341,U1418,C,4,H,6,A
341-U1418C-4H-6-A,40.0,63.0,35.5,35.73,,mud [Leg210],,mud ,,,,N 4 (dark gray),none [DB86],0,absent [A79],,,,,,,,,,,intense black mottling,gradational contact,,,,,341,U1418,C,4,H,6,A
341-U1418C-4H-6-A,63.0,130.0,35.73,36.4,,mud [Leg210],with silt [Leg339],mud  with silt ,,,color banding,N 4 (dark gray),none [DB86],0,absent [A79],,,,,,,,,,,"faint black color bands;
~5 silt patches/layers (thin laminated)",,,,,,341,U1418,C,4,H,6,A
341-U1418C-4H-7-A,0.0,66.0,36.4,37.06,,mud [Leg210],with silt [Leg339],mud  with silt ,,,,N 4 (dark gray),none [DB86],0,absent [A79],,,,,,,,,,,"faint black color bands (0-17cm);
~5 silt patches/layers (thinly laminated);",,,,,,341,U1418,C,4,H,7,A
341-U1418C-4H-CC-A,0.0,17.0,37.06,37.23,,interbedded silt(stone) and mud(stone) [McKW53],,interbedded silt(stone) and mud(stone) ,,,,N 4 (dark gray),none [DB86],0,absent [A79],,,,,,,,,,,"silts: thinly laminated, @2-4cm intervals",,,,,,341,U1418,C,4,H,CC,A
341-U1418C-4H-CC-A,17.0,22.0,37.23,37.28,,,,,,,,,,,,,,,,,,,,,,PAL,,,,,,341,U1418,C,4,H,CC,A
341-U1418C-5H-1-A,0.0,68.5,37.1,37.785,,mud [Leg210],with silt [Leg339],mud  with silt ,,,color banding,N 4 (dark gray),slight [DB86],1,absent [A79],,,,,,,,,,,"- colour banded mud with occasional silt laminae
- colour banding between ""circa very dark grey (N4)"" and ""circa dark greenish grey (10Y 4/1)"" -> only subtle variations
- scattered black mottles
- laminae: <5 mm thick; ~3 pcs; spacing: >16 cm
- laminae generally somewhat more abundant in more greyish intervals
- intervals with diatom bearing mud with volcanic ash may occur (e.g. section 1, ~115 cm)

",sharp contact,,,,,341,U1418,C,5,H,1,A
341-U1418C-5H-1-A,68.5,75.5,37.785,37.855,,sand [Leg210],,sand ,,,,N 4 (dark gray),,,absent [A79],,,,,,,,,,,"- massive fine sand
- erosive lower and sharp upper boundary",sharp contact,erosive,,,,341,U1418,C,5,H,1,A
341-U1418C-5H-1-A,75.5,150.0,37.855,38.6,,mud [Leg210],with silt [Leg339],mud  with silt ,trace amount,1,color banding,N 4 (dark gray),slight [DB86],1,absent [A79],,,,,,,,,,,"- colour banded mud with occasional silt laminae
- colour banding between ""circa very dark grey (N4)"" and ""circa dark greenish grey (10Y 4/1)"" -> only subtle variations
- scattered black mottles
- laminae: <5 mm thick; ~9 pcs; spacing: 2-26 cm
- laminae generally somewhat more abundant in more greyish intervals
- intervals with diatom bearing mud with volcanic ash may occur (e.g. section 1, ~115 cm), i.e. in an interval with relative many/large black mottles from ~111-~125
",,,,,,341,U1418,C,5,H,1,A
341-U1418C-5H-2-A,0.0,150.0,38.6,40.1,,mud [Leg210],with silt [Leg339],mud  with silt ,,,color banding,N 4 (dark gray),slight [DB86],1,absent [A79],,,,,,,,,,,"- colour banded mud with occasional silt laminae
- colour banding between ""circa very dark grey (N4)"" and ""circa dark greenish grey (10Y 4/1)"" -> only subtle variations
- scattered black mottles
- laminae: <2 mm thick; ~7 pcs; spacing: ~2 - ~55 cm
- intervals with diatom bearing mud with volcanic ash may occur (e.g. section 1, ~115 cm) - maybe in this section betewen ~11-58, based on rel. much black mottling?
- rel. large parts with greenish gray colour

!!! more silt laminae seem to appear during drying of core surface
",,,,,,341,U1418,C,5,H,2,A
341-U1418C-5H-3-A,0.0,141.0,40.1,41.51,,mud [Leg210],with silt [Leg339],mud  with silt ,,,color banding,N 4 (dark gray),slight [DB86],1,present [A79],1,,,,,,,,,,"- slightly colour banded mud with occasional silt laminae
- colour banding between ""circa very dark grey (N4)"" and ""circa dark greenish grey (10Y 4/1)"" -> only subtle variations
- scattered black mottles
- large black mottle at 109-110
- laminae: <2 mm thick; ~10 pcs; spacing: <1 - 40 cm
- intervals with diatom bearing mud with volcanic ash may occur (e.g. section 1, ~115 cm)
- one small pebble lonestone


!!! more silt laminae seem to appear during drying of core surface",,,,,,341,U1418,C,5,H,3,A
341-U1418C-5H-3-A,141.0,150.0,41.51,41.6,,interbedded silt(stone) and mud(stone) [McKW53],,interbedded silt(stone) and mud(stone) ,,,color banding,N 4 (dark gray),slight [DB86],1,,,,,,,,,,,,"- see section 4, 0-108 for details",,,,,,341,U1418,C,5,H,3,A
341-U1418C-5H-4-A,0.0,83.5,41.6,42.435,,interbedded silt(stone) and mud(stone) [McKW53],,interbedded silt(stone) and mud(stone) ,,,color banding,N 3 (very dark gray),slight [DB86],1,,,,,,,,,,,,"massive clayey mud interbedded with several (> 20) thin silt layers (max 1 cm thick), often discontinuous shape, sharp boundaries: slight color banding (variations between N3 and N4)",,,,,,341,U1418,C,5,H,4,A
341-U1418C-5H-4-A,83.5,86.0,42.435,42.46,,ash(tuff) [MMK88m],,ash(tuff) ,ash,4,,2.5Y 6/1 (gray),moderate [DB86],2,,,,,,,,,,,,"clean, glassy (95 %) ash; fine sand sized (with little amounts of hornblende); sharp lower boundary, bioturbated upper boundary",sharp contact,irregular,,,,341,U1418,C,5,H,4,A
341-U1418C-5H-4-A,86.0,108.0,42.46,42.68,,interbedded silt(stone) and mud(stone) [McKW53],,interbedded silt(stone) and mud(stone) ,,,color banding,N 3 (very dark gray),slight [DB86],1,,,,,,,,,,,,"massive clayey mud interbedded with several thin silt layers (max 1 cm thick), often discontinuous shape, sharp boundaries: slight color banding (variations between N3 and N4)",,,,,,341,U1418,C,5,H,4,A
341-U1418C-5H-4-A,108.0,150.0,42.68,43.1,,mud [Leg210],with silt [Leg339],mud  with silt ,,,color banding,N 4 (dark gray),moderate [DB86],2,,,,,,,,,,,,massive clayey mud with few intervals of intense black mottling,,,,,,341,U1418,C,5,H,4,A
341-U1418C-5H-5-A,0.0,150.0,43.1,44.6,,mud [Leg210],with silt [Leg339],mud  with silt ,,,color banding,N 4 (dark gray),slight [DB86],1,,,,,,,,,,,,massive clayey mud with very few (< 10) silt layers/patches (discontinuous); less black mottling than in above sections; color banding is only slight,,,,,,341,U1418,C,5,H,5,A
341-U1418C-5H-6-A,0.0,48.0,44.6,45.08,,mud [Leg210],with silt [Leg339],mud  with silt ,,,color banding,N 4 (dark gray),slight [DB86],1,,,,,,,,,,,,massive clayey mud with very few (< 10) silt layers/patches (discontinuous); less black mottling than in above sections; color banding is only slight,,,,,,341,U1418,C,5,H,6,A
341-U1418C-5H-6-A,48.0,51.0,45.08,45.11,volcaniclastic bearing,mud [Leg210],with sand [Leg339],volcaniclastic bearing mud  with sand ,volcaniclastic-bearing,2,,N 4 (dark gray),moderate [DB86],2,,,,,,,,,,,,volcaniclastic bearing sandy mud with intense black mottling,,,,,,341,U1418,C,5,H,6,A
341-U1418C-5H-6-A,51.0,150.0,45.11,46.1,,mud [Leg210],with silt [Leg339],mud  with silt ,,,color banding,N 4 (dark gray),slight [DB86],1,present [A79],1,,,,,,,,,,massive clayey mud with very few (< 10) silt layers/patches (discontinuous); less black mottling than in above sections; color banding is only slight,,,,,,341,U1418,C,5,H,6,A
341-U1418C-5H-7-A,0.0,68.0,46.1,46.78,,mud [Leg210],,mud ,,,color banding,N 4 (dark gray),slight [DB86],1,,,,,,,,,,,,"massive clayey mud with very slight color changes, few black mottles, thin silty patch at bottom of this section",,,,,,341,U1418,C,5,H,7,A
341-U1418C-5H-CC-A,0.0,12.0,46.78,46.9,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,massive clayey mud with very slight color changes,,,,,,341,U1418,C,5,H,CC,A
341-U1418C-5H-CC-A,12.0,17.0,46.9,46.95,,,,,,,,,,,,,,,,,,,,,,PAL sample,,,,,,341,U1418,C,5,H,CC,A
341-U1418C-6H-1-A,0.0,150.0,46.6,48.1,,interbedded silt(stone) and mud(stone) [McKW53],,interbedded silt(stone) and mud(stone) ,,,color banding,N 4 (dark gray),slight [DB86],1,present [A79],1,,,,,,,,,,"- colour banded mud with silt laminae
- slight colour banding to more greyish & greenish
- continuous to discontinuous laminae: <5 mm; ~30 pcs; spacing: ~5 mm - 10 cm
- scattered black mottles
- one lonestone
",,,,,,341,U1418,C,6,H,1,A
341-U1418C-6H-2-A,0.0,109.0,48.1,49.19,,interbedded silt(stone) and mud(stone) [McKW53],,interbedded silt(stone) and mud(stone) ,,,color banding,N 4 (dark gray),slight [DB86],1,,,,,,,,,,,,"- colour banded mud with silt laminae
- slight colour banding to more greyish & greenish
- continuous to discontinuous laminae: <1 cm; ~30 pcs; spacing: ~5 mm - 18 cm
- scattered black mottles

",,,,,,341,U1418,C,6,H,2,A
341-U1418C-6H-2-A,109.0,109.5,49.19,49.195,volcaniclastic bearing,mud [Leg210],,volcaniclastic bearing mud ,volcaniclastic-bearing,2,,N 4 (dark gray),,,,,,,,,,,,,,,,,,,,341,U1418,C,6,H,2,A
341-U1418C-6H-2-A,109.5,150.0,49.195,49.6,,interbedded silt(stone) and mud(stone) [McKW53],,interbedded silt(stone) and mud(stone) ,,,color banding,N 4 (dark gray),slight [DB86],1,,,,,,,,,,,,"- colour banded mud with silt laminae
- slight colour banding to more greyish & greenish
- continuous to discontinuous laminae: <5 mm; >10 pcs; spacing: ~5 mm - 7 cm
- scattered black mottles

",,,,,,341,U1418,C,6,H,2,A
341-U1418C-6H-3-A,0.0,150.0,49.6,51.1,,interbedded silt(stone) and mud(stone) [McKW53],,interbedded silt(stone) and mud(stone) ,,,color banding,N 4 (dark gray),slight [DB86],1,present [A79],3,,,,,,,,,,"- colour banded mud with silt laminae
- slight colour banding to more greyish & greenish
- continuous to discontinuous laminae: <1 cm; ~40 pcs; spacing: ~5 mm - 39 cm
- scattered black mottles
- three lonestones (2 granules + 1 pebble)
- relatively light/greenish interval with rel. few laminae between ~50 -~110 cm
",,,,,,341,U1418,C,6,H,3,A
341-U1418C-6H-4-A,0.0,61.0,51.1,51.71,,interbedded silt(stone) and mud(stone) [McKW53],,interbedded silt(stone) and mud(stone) ,,,color banding,N 4 (dark gray),slight [DB86],1,,,,,,,,,,,,"- colour banded mud with silt laminae
- slight colour banding to more greyish & greenish
- continuous to discontinuous laminae: <1 cm; ~5 pcs; spacing: <1 cm - >20 cm
- scattered black mottles

",sharp contact,,,,,341,U1418,C,6,H,4,A
341-U1418C-6H-4-A,61.0,63.5,51.71,51.735,,sand [Leg210],with diatoms [Leg339],sand  with diatoms ,,,,N 4 (dark gray),,,,,,,,,,,,,,,sharp contact,erosive,,,,341,U1418,C,6,H,4,A
341-U1418C-6H-4-A,63.5,109.0,51.735,52.19,,mud [Leg210],with diatoms [Leg339],mud  with diatoms ,,,,10Y 4/1 (dark greenish gray),moderate [DB86],2,present [A79],2,,,,,,,,,,"- mud with diatoms
- one silt lamina; ~2 mm; discontinuous
- 2 granules",,,,,,341,U1418,C,6,H,4,A
