Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Texture Rank [read only],MAJ Lith. prefix+name [read only],Lithification,Lithification rank [read only],MAJ Lith. color,MAJ Lith. ave. grain size ,Grain size rank [read only],Skeletal components MAJOR,Skeletal components MAJOR comment,Skeletal components INTERMEDIATE,Skeletal components INTERMEDIATE comment,Skeletal components MINOR,Skeletal components MINOR comment,Non-skeletal components,Non-skeletal components comment,Sedimentary structure,Diagenetic structure,Diagenetic structure comment,Layer or bedding thickness,Bioturbation intensity,Bioturbation intensity rank [read only],Bioturbation type,Bottom contact or boundary definition,Bottom contact or boundary attitude,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
359-U1465A-1H-4-A,121,136,5.18,5.33,,grainstone,4,,unlithified,1,10yr 7/1 (light gray),medium sand,5,foraminifera (planktic),,pteropod,,echinoderm,"Spines, Halimeda also present",,,,,,,,,,,,,,,,359,U1465,A,1,H,4,A,
359-U1465A-1H-5-A,0,18,5.39,5.57,,grainstone,4,,unlithified,1,10YR 6/1 (gray),medium sand,5,foraminifera (planktic),,pteropod,,,,,,,,,,,,,gradational,horizontal,,,,,359,U1465,A,1,H,5,A,
359-U1465A-1H-5-A,18,23,5.57,5.62,,grainstone,4,,unlithified,1,10YR 6/1 (gray),gravel,9,halimeda,,pteropod,,foraminifera (planktic),"fragments of large benthic foraminifera, spicules",aggregate,,,,,,,,,gradational,horizontal,"Planktic foraminifera (A), very well-sorted",,,,359,U1465,A,1,H,5,A,
359-U1465A-1H-5-A,23,91,5.62,6.3,,grainstone,4,,unlithified,1,10yr 6/1 (gray),medium sand,5,pteropod,,foraminifera (planktic),,,,,,,,,,,,,,,"Planktic foraminifera (A), poorly sorted, pteropod fragments (dominant)",,,,359,U1465,A,1,H,5,A,
359-U1465A-1H-6-A,0,62,6.3,6.92,,grainstone,4,,unlithified,1,10yr 7/1 (light gray),medium sand,5,foraminifera (planktic),,foraminifera (planktic),,halimeda,echinoderms spines,,,,,,,,,,,,"Well-sorted sand, PF: orbalina + others",,,,359,U1465,A,1,H,6,A,
359-U1465A-1H-CC-A,0,16,6.92,7.08,,grainstone,4,,unlithified,1,10yr 7/1 (light gray),medium sand,5,pteropod,,foraminifera (planktic),,halimeda,,,,,,,,,,,,,Poorly-sorted,,,,359,U1465,A,1,H,CC,A,
359-U1465A-2H-1-A,0,42,7.1,7.52,,grainstone,4,,unlithified,1,10yr 6/4 (light yellowish brown),medium sand,5,foraminifera (planktic),,echinoderm,Plates and spines,halimeda,"otoliths, pterapods (fragments), solitary coral",,,normal grading,,,,,,,gradational,horizontal,"No clear boundary, continues transition, blackened grains, stained grains",,,,359,U1465,A,2,H,1,A,
359-U1465A-2H-1-A,42,104,7.52,8.14,,rudstone,6,,unlithified,1,10YR 7/4 (very pale brown),coarse sand,6,foraminifera (planktic),,echinoderm,Plates and spines,halimeda,"otoliths, pterapods (fragments), solitary coral",,,normal grading,,,,,,,gradational,horizontal,"No clear boundary, continues transition, blackened grains, stained grains",,,,359,U1465,A,2,H,1,A,
359-U1465A-2H-1-A,104,140,8.14,8.5,,rudstone,6,,unlithified,1,10yr 6/4 (light yellowish brown),gravel,9,foraminifera (planktic),,echinoderm,Plates and spines,halimeda,"otoliths, pterapods (fragments), solitary coral",,,normal grading,,,,,,,gradational,horizontal,"No clear boundary, continues transition, blackened grains, stained grains",,,,359,U1465,A,2,H,1,A,
359-U1465A-2H-1-A,140,150,8.5,8.6,,grainstone,4,,unlithified,1,10YR 7/3 (very pale brown),medium sand,5,foraminifera (planktic),,echinoderm,Plates and spines,halimeda,"otoliths, pterapods (fragments), solitary coral",,,,,,,,,,sharp,horizontal,,,,,359,U1465,A,2,H,1,A,
359-U1465A-2H-2-A,0,26,8.6,8.86,,rudstone,6,,unlithified,1,10yr 8/3 (very pale brown),gravel,9,pteropod,,shell fragment,,bryozoa,"otoliths (blackened grains), solitary corals",,,normal grading,,,,,,,sharp,horizontal,,,,,359,U1465,A,2,H,2,A,
359-U1465A-2H-2-A,26,131,8.86,9.91,,grainstone,4,,unlithified,1,10yr 8/2 (very pale brown),medium sand,5,pteropod,,foraminifera (planktic),,sponge,"otoliths, echinoderms, halimeda",intraclast,lithic grains,,,,,,,,gradational,horizontal,,,,,359,U1465,A,2,H,2,A,
359-U1465A-2H-2-A,131,150,9.91,10.1,,grainstone,4,,unlithified,1,10yr 8/1 (white),medium sand,5,pteropod,,foraminifera (planktic),,,otoliths,,,,,,,,,,,,,,,,359,U1465,A,2,H,2,A,
359-U1465A-2H-3-A,0,23,10.1,10.33,,grainstone,4,,unlithified,1,10yr 8/2 (very pale brown),medium sand,5,foraminifera (benthic),,foraminifera (planktic),,pteropod,otoliths,,,,,,,,,,gradational,horizontal,,,,,359,U1465,A,2,H,3,A,
359-U1465A-2H-3-A,23,91,10.33,11.01,,rudstone,6,,unlithified,1,10YR 7/2 (light gray),gravel,9,foraminifera (benthic),,foraminifera (planktic),,pteropod,"otoliths, halimeda, mollusks",,,,,,,,,,gradational,horizontal,Stained grains,,,,359,U1465,A,2,H,3,A,
359-U1465A-2H-3-A,91,112,11.01,11.22,,grainstone,4,,unlithified,1,10YR 7/2 (light gray),medium sand,5,foraminifera (benthic),,foraminifera (planktic),,pteropod,bryozoa,,,,,,,,,,gradational,horizontal,Stained grains,,,,359,U1465,A,2,H,3,A,
359-U1465A-2H-3-A,112,141,11.22,11.51,,rudstone,6,,unlithified,1,10YR 7/2 (light gray),gravel,9,pteropod,,foraminifera (planktic),,foraminifera (benthic),bryozoa,,,reverse grading,,,,,,,gradational,horizontal,Stained grains,,,,359,U1465,A,2,H,3,A,
359-U1465A-2H-3-A,141,150,11.51,11.6,,grainstone,4,,unlithified,1,10YR 7/2 (light gray),medium sand,5,pteropod,,foraminifera (planktic),,foraminifera (benthic),bryozoa,,,,,,,,,,gradational,horizontal,,,,,359,U1465,A,2,H,3,A,
359-U1465A-2H-4-A,0,56,11.6,12.16,,grainstone,4,,unlithified,1,10yr 8/1 (white),coarse sand,6,bryozoa,,pteropod,,echinoderm,,,,reverse grading,,,,,,,gradational,horizontal,Coarse-grained poorly-sorted,,,,359,U1465,A,2,H,4,A,
359-U1465A-2H-4-A,56,124,12.16,12.84,,grainstone,4,,unlithified,1,10YR 7/1 (light gray),medium sand,5,bryozoa,,pteropod,,,,,,reverse grading,,,,,,,gradational,horizontal,"Medium-grained sand, Moderately-sorted",,,,359,U1465,A,2,H,4,A,
359-U1465A-2H-4-A,124,145,12.84,13.05,,grainstone,4,,unlithified,1,10yr 6/1 (gray),medium sand,5,bryozoa,,pteropod,,,,,,,,,,,,,,,"Very well-sorted, dark to light color",,,,359,U1465,A,2,H,4,A,
359-U1465A-2H-5-A,0,78,13.1,13.88,,grainstone,4,,unlithified,1,10yr 7/2 (light gray),medium sand,5,pteropod,,foraminifera (planktic),,bryozoa,"halimeda, spines",,,,,,,,,,bioturbated,horizontal,"Well-sorted, fine-medium sand",,,,359,U1465,A,2,H,5,A,
359-U1465A-2H-5-A,78,150,13.88,14.6,,grainstone,4,,unlithified,1,10yr 6/2 (light brownish gray),medium sand,5,pteropod,,foraminifera (planktic),,bryozoa,"halimeda, spines, otoliths",,,,,,,,,,,,"Blackened grains, medium sand",,,,359,U1465,A,2,H,5,A,
359-U1465A-2H-6-A,0,90,14.6,15.5,,grainstone,4,,unlithified,1,10yr 6/2 (light brownish gray),medium sand,5,foraminifera (benthic),,foraminifera (planktic),,bryozoa,otholiths,,,,,,,,,,,,,,,,359,U1465,A,2,H,6,A,
359-U1465A-2H-CC-A,0,13,15.5,15.63,,grainstone,4,,unlithified,1,10yr 7/2 (light gray),medium sand,5,foraminifera (benthic),,foraminifera (planktic),,bryozoa,spines,,,,,,,,,,,,,,,,359,U1465,A,2,H,CC,A,
359-U1465A-3H-1-A,0,50,16.6,17.1,,rudstone,6,,unlithified,1,10YR 5/2 (grayish brown),gravel,9,Halimeda,,foraminifera (benthic),"otoliths common. Bivalves, coral fragments, bryozoans and present.",echinoderm,Spines and plates,,,normal grading,,,,,,,sharp,inclined,,,,,359,U1465,A,3,H,1,A,
359-U1465A-3H-1-A,50,93,17.1,17.53,,grainstone,4,,unlithified,1,10YR 6/2 (light brownish gray),medium sand,5,Halimeda,,foraminifera (benthic),"otoliths common. Bivalves, coral fragments, bryozoans and present.",echinoderm,Spines and plates,,,normal grading,,,,,,,gradational,horizontal,,,,,359,U1465,A,3,H,1,A,
359-U1465A-3H-1-A,93,145,17.53,18.05,,grainstone,4,,unlithified,1,10YR 7/2 (light gray),medium sand,5,Halimeda,,foraminifera (benthic),"otoliths common. Bivalves, coral fragments, bryozoans and present.",echinoderm,Spines and plates,,,,,,,,,,,,,,,,359,U1465,A,3,H,1,A,
359-U1465A-3H-2-A,0,145,18.05,19.5,,grainstone,4,,unlithified,1,10YR 6/2 (light brownish gray),medium sand,5,Halimeda,,foraminifera (benthic),"otoliths common. Bivalves, coral fragments, bryozoans and present.",echinoderm,Spines and plates,,,,,,,,,,,,,,,,359,U1465,A,3,H,2,A,
359-U1465A-3H-3-A,0,43,19.55,19.98,,grainstone,4,,unlithified,1,10YR 6/2 (light brownish gray),medium sand,5,Halimeda,,foraminifera (benthic),"otoliths common. Bivalves, coral fragments, bryozoans and present.",echinoderm,Spines and plates,,,,,,,,,,gradational,horizontal,,,,,359,U1465,A,3,H,3,A,
359-U1465A-3H-3-A,43,89,19.98,20.44,,rudstone,6,,unlithified,1,10YR 7/2 (light gray),gravel,9,Halimeda,,foraminifera (benthic),"otoliths common. Bivalves, coral fragments, bryozoans and present.",echinoderm,Spines and plates,,,,,,,,,,,,,,,,359,U1465,A,3,H,3,A,
359-U1465A-3H-CC-A,0,3,20.44,20.47,,rudstone,6,,unlithified,1,10YR 7/2 (light gray),gravel,9,foraminifera (planktic),,foraminifera (benthic),"bivalve fragments coral fragments and bryozoan fragments common. Bivalves, coral fragments, bryozoans common.",Halimeda,,,,,,,,,,,,,,,,,359,U1465,A,3,H,CC,A,
359-U1465A-4H-1-A,0,53,26.1,26.63,,grainstone,4,,unlithified,1,10YR 7/2 (light gray),coarse sand,6,foraminifera (planktic),,foraminifera (benthic),"bivalve fragments coral fragments and bryozoan fragments common. Bivalves, coral fragments, bryozoans common.",Halimeda,,,,normal grading,,,,,,,gradational,horizontal,Moderately to well-sorted. Yellow stained bio-clasts.,,,,359,U1465,A,4,H,1,A,
359-U1465A-4H-1-A,53,150,26.63,27.6,,grainstone,4,,unlithified,1,10YR 7/3 (very pale brown),medium sand,5,foraminifera (planktic),,foraminifera (benthic),,pteropod,otholiths,,,,,,,,,,,,No grading apparent. Moderately to well-sorted. Yellow stained bio-clasts.,,,,359,U1465,A,4,H,1,A,
359-U1465A-4H-2-A,0,39,27.6,27.99,,grainstone,4,,unlithified,1,10YR 7/3 (very pale brown),medium sand,5,foraminifera (planktic),,foraminifera (benthic),,pteropod,otholiths,,,,,,,,,,,,No grading apparent. Poorly to Moderately-sorted. Yellow stained bio-clasts.,,,,359,U1465,A,4,H,2,A,
359-U1465A-4H-2-A,39,80,27.99,28.4,,grainstone,4,,unlithified,1,10YR 6/2 (light brownish gray),medium sand,5,foraminifera (planktic),,foraminifera (benthic),bivalve fragments common. Bivalve fragments and bryozoan fragments present.,pteropod,,,,,,,,,,,gradational,horizontal,Contact between poorly sorted to Moderately-sorted. Medium sorted,,,,359,U1465,A,4,H,2,A,
359-U1465A-4H-2-A,80,150,28.4,29.1,,grainstone,4,,unlithified,1,10YR 6/2 (light brownish gray),medium sand,5,foraminifera (benthic),,foraminifera (benthic),bivalve fragments common. Bivalve fragments and bryozoan fragments present.,pteropod,,,,,,,,,,,,,No grading apparent. Moderately-sorted.,,,,359,U1465,A,4,H,2,A,
359-U1465A-4H-3-A,0,145,29.1,30.55,,grainstone,4,,unlithified,1,10YR 6/2 (light brownish gray),medium sand,5,foraminifera (planktic),,pteropod,,Bivalve,"bivalve fragments abundant, halimeda and echinoid fragments present.",,,,,,,,,,,,No grading apparent. Moderately-sorted.,,,,359,U1465,A,4,H,3,A,
359-U1465A-4H-4-A,0,145,30.55,32,,grainstone,4,,unlithified,1,10YR 6/2 (light brownish gray),coarse sand,6,foraminifera (planktic),,Bivalve,,pteropod,echinoid fragments abundant. Otoliths and halimeda fragments common. Coral fragments present.,,,,,,,,,,,,Moderately-sorted,,,,359,U1465,A,4,H,4,A,
359-U1465A-4H-5-A,0,97,32.05,33.02,,grainstone,4,,unlithified,1,10YR 7/2 (light gray),coarse sand,6,foraminifera (planktic),,foraminifera (benthic),,pteropod,"echinoid fragments abundant. Bivalve, bryozoan and halimeda fragments, and otoliths common.",,,,,,,,,,sharp,horizontal,Moderately-sorted. Yellow to reddish stained bio-clasts.,,,,359,U1465,A,4,H,5,A,
359-U1465A-4H-5-A,97,150,33.02,33.55,,grainstone,4,,unlithified,1,10YR 6/2 (light brownish gray),coarse sand,6,foraminifera (planktic),,foraminifera (benthic),,pteropod,"echinoid fragments abundant. Bivalve, bryozoan and halimeda fragments, and otoliths common.",,,,,,,,,,,,Poorly to Moderately-sorted.,,,,359,U1465,A,4,H,5,A,
359-U1465A-4H-6-A,0,44,33.55,33.99,,grainstone,4,,unlithified,1,10YR 6/2 (light brownish gray),fine sand,4,foraminifera (planktic),,foraminifera (benthic),,pteropod,"echinoid fragments abundant. Bivalve, bryozoan and halimeda fragments, and otoliths common.",,,reverse grading,,,,,,,gradational,horizontal,Poorly to Moderately-sorted. Gradation color change at contact.,,,,359,U1465,A,4,H,6,A,
359-U1465A-4H-6-A,44,83,33.99,34.38,,grainstone,4,,unlithified,1,10YR 6/2 (light brownish gray),fine sand,4,foraminifera (planktic),,foraminifera (benthic),,pteropod,"echinoid fragments abundant. Bivalve, bryozoan and halimeda fragments, and otoliths common.",,,,,,,,,,gradational,horizontal,Poorly to Moderately-sorted.,,,,359,U1465,A,4,H,6,A,
359-U1465A-4H-7-A,0,70,34.38,35.08,,grainstone,4,,unlithified,1,10YR 6/2 (light brownish gray),medium sand,5,foraminifera (planktic),,pteropod,,foraminifera (benthic),Otoliths rare.,,,,,,,,,,,,Moderately-sorted. Some foraminifera with pyrite infill.,,,,359,U1465,A,4,H,7,A,
359-U1465A-4H-CC-A,0,10,35.08,35.18,,grainstone,4,,unlithified,1,10YR 7/2 (light gray),medium sand,5,foraminifera (planktic),,pteropod,,foraminifera (benthic),gastropods common.,,,,,,,,,,,,Moderately-sorted. Some foraminifera with pyrite infill.,,,,359,U1465,A,4,H,CC,A,
359-U1465A-5H-CC-A,0,14,35.6,35.74,,grainstone,4,,unlithified,1,2.5Y 6/3 (light yellowish brown),coarse sand,6,foraminifera (planktic),,foraminifera (benthic),,echinoderm,"pteropod and halimeda fragments, and otoliths common. Gastropods and bivalves present.",,,,,,,,,,,,Moderately-sorted. Intraclasts are abundant. Yellow stained bio-clasts.,,,,359,U1465,A,5,H,CC,A,
359-U1465A-6F-1-A,0,146,35.8,37.26,,grainstone,4,,unlithified,1,2.5Y 7/2 (light gray),fine sand,4,foraminifera (planktic),,foraminifera (benthic),,Calcareous bioclast,"pteropod fragments, echinoid spins and otoliths common. Halimeda present.",,,,,,,,,,,,Moderately- to well-sorted. Locally large components (up to 2 mm). Yellow stained lithic clasts common.,,,,359,U1465,A,6,F,1,A,
359-U1465A-6F-2-A,0,16,37.26,37.42,,grainstone,4,,unlithified,1,2.5Y 7/2 (light gray),fine sand,4,foraminifera (planktic),,foraminifera (benthic),,Calcareous bioclast,"pteropod fragments, echinoid spins and otoliths common. Halimeda present.",,lithic clasts,,,,,,,,sharp,horizontal,Poorly-sorted. Yellow-orange stained lithic clasts abundant.,,,,359,U1465,A,6,F,2,A,
359-U1465A-6F-2-A,16,30,37.42,37.56,,packstone,3,,unlithified,1,10YR 7/2 (light gray),coarse sand,6,foraminifera (planktic),,foraminifera (benthic),,Calcareous bioclast,"pteropod fragments, echinoid spins and otoliths common. Halimeda present.",,lithic clasts,,,,,,,,sharp,horizontal,Poorly-sorted. Locally large components (up to 2 mm). Yellow stained lithic clasts common.,,,,359,U1465,A,6,F,2,A,
359-U1465A-6F-2-A,30,108,37.56,38.34,,grainstone,4,,unlithified,1,2.5Y 7/2 (light gray),fine sand,4,foraminifera (planktic),,foraminifera (benthic),,Halimeda,pteropod and otoliths common.,,lithic clasts,,,,,,,,,,Poorly-sorted. Yellow stained lithic clasts locally abundant (49 - 52 cm and 81 - 83 cm).,,,,359,U1465,A,6,F,2,A,
359-U1465A-6F-3-A,0,23,38.39,38.62,,grainstone,4,,unlithified,1,2.5Y 7/2 (light gray),fine sand,4,foraminifera (planktic),,foraminifera (benthic),,Halimeda,pteropod and otoliths common.,,lithic clasts,,,,,,,,gradational,horizontal,Poorly-sorted. Yellow stained lithic clasts locally abundant (49 - 52 cm and 81 - 83 cm).,,,,359,U1465,A,6,F,3,A,
359-U1465A-6F-3-A,23,56,38.62,38.95,,grainstone,4,,unlithified,1,10YR 7/2 (light gray),fine sand,4,foraminifera (planktic),,foraminifera (benthic),,Halimeda,pteropod and otoliths common.,,lithic clasts,,,,,,,,gradational,horizontal,Poorly-sorted. Yellow stained lithic clasts common.,,,,359,U1465,A,6,F,3,A,
359-U1465A-6F-CC-A,0,13,38.95,39.08,,grainstone,4,,unlithified,1,10YR 7/2 (light gray),fine sand,4,foraminifera (planktic),,foraminifera (benthic),,Halimeda,pteropod and otoliths common.,,lithic clasts,,,,,,,,gradational,horizontal,Moderately-sorted,,,,359,U1465,A,6,F,CC,A,
359-U1465A-7H-1-A,0,6,40.5,40.56,,grainstone,4,,unlithified,1,10YR 7/2 (light gray),medium sand,5,foraminifera (planktic),,foraminifera (benthic),,Halimeda,pteropod and otoliths common.,,lithic clasts,,,,,,,,gradational,horizontal,Poorly-sorted. Lithic clasts abundant.,,,,359,U1465,A,7,H,1,A,
359-U1465A-7H-1-A,6,20,40.56,40.7,,grainstone,4,,unlithified,1,10YR 7/3 (very pale brown),coarse sand,6,foraminifera (planktic),,foraminifera (benthic),,Halimeda,bivalve and gastropod fragments abundant. pteropod and otoliths common. pteropods present.,,lithic clasts,,,,,,,,sharp,horizontal,Poorly-sorted. Lithic clasts abundant,,,,359,U1465,A,7,H,1,A,
359-U1465A-7H-1-A,20,126,40.7,41.76,,grainstone,4,,unlithified,1,10YR 7/2 (light gray),fine sand,4,foraminifera (planktic),,foraminifera (benthic),,pteropod,"Otoliths, bivalve and gastropod fragments common. pteropods present.",,lithic clasts,,,,,,,,,,Poorly-sorted. Abundant lithic clasts in discrete layers,,,,359,U1465,A,7,H,1,A,
359-U1465A-7H-2-A,0,127,41.76,43.03,,grainstone,4,,unlithified,1,10YR 6/2 (light brownish gray),medium sand,5,foraminifera (planktic),,foraminifera (benthic),,pteropod,"Otoliths, bivalve and gastropod fragments common. pteropods present.",aggregate,lithic clasts,,,,,,,,,,Poorly-sorted. Abundant aggregates at 14-16; 39; 54-56 cm.,,,,359,U1465,A,7,H,2,A,
359-U1465A-7H-3-A,0,134,43.03,44.37,,grainstone,4,,unlithified,1,2.5Y 6/2 (light brownish gray),medium sand,5,foraminifera (planktic),,foraminifera (benthic),,echinoderm,"echinoid spines, halimeda fragments and pteropods abundant. Otoliths and bivalve fragments common.",aggregate,,,,,,,,,,,"Moderately-sorted grainstone with packstone associated with potential bioturbation at 14-16, 30-31, 45-51 and 56-65 cm. However difficult to determine due to drilling disturbance.",,,,359,U1465,A,7,H,3,A,
359-U1465A-7H-4-A,0,134,44.37,45.71,,grainstone,4,,unlithified,1,2.5Y 7/2 (light gray),medium sand,5,foraminifera (planktic),,foraminifera (benthic),,echinoderm,"echinoid spines, otoliths, and bivalve fragments common. pteropods and gastropods present.",aggregate,,,,,,,,,,,Poorly-sorted.,,,,359,U1465,A,7,H,4,A,
359-U1465A-7H-5-A,0,142,45.76,47.18,,grainstone,4,,unlithified,1,2.5Y 7/2 (light gray),medium sand,5,foraminifera (planktic),,foraminifera (benthic),,echinoderm,echinoid spines abundant. pteropods and bivalve fragments common. Halimeda and gastropods present.,aggregate,,,,,,slight,2,,,,Poorly-sorted.,,,,359,U1465,A,7,H,5,A,
359-U1465A-7H-6-A,0,115,47.18,48.33,,grainstone,4,,unlithified,1,10YR 6/2 (light brownish gray),medium sand,5,foraminifera (planktic),,foraminifera (benthic),,Halimeda,echinoid spines abundant and bivalve fragments. Coral fragments and aggregates present. Vemetid at 35.5.,aggregate,,,,,,,,,,,Poorly to Moderately-sorted. Yellowish and reddish stained bioclasts.,,,,359,U1465,A,7,H,6,A,
359-U1465A-7H-CC-A,0,16,48.33,48.49,,grainstone,4,,unlithified,1,10YR 6/2 (light brownish gray),medium sand,5,foraminifera (planktic),,foraminifera (benthic),,Halimeda,echinoid spines abundant and bivalve fragments. Coral fragments and aggregates present. Vemetid at 35.5.,aggregate,,,,,,,,,,,Moderately-sorted. Medium- to coarse-grained. Rare yellowish and reddish stained bioclasts.,,,,359,U1465,A,7,H,CC,A,
359-U1465A-8H-1-A,0,118,50,51.18,,grainstone,4,,unlithified,1,10YR 6/2 (light brownish gray),medium sand,5,foraminifera (planktic),,foraminifera (benthic),,Halimeda,Pteropods present. Echinoid fragments and spines rare.,,,,,,,,,,,,Poorly-sorted. Fine to very-fine grained. Rare yellowish and reddish stained bioclasts.,,,,359,U1465,A,8,H,1,A,
359-U1465A-8H-2-A,0,34,51.18,51.52,,grainstone,4,,unlithified,1,10YR 6/2 (light brownish gray),medium sand,5,foraminifera (planktic),,foraminifera (benthic),,Halimeda,Pteropods present. Echinoid fragments and spines rare.,,,,,,,,,,sharp,horizontal,Poorly-sorted. Rare yellowish and reddish stained bioclasts. Lithoclasts and aggregates present.,,,,359,U1465,A,8,H,2,A,
359-U1465A-8H-2-A,34,100,51.52,52.18,,rudstone,6,,unlithified,1,10YR 6/3 (pale brown),coarse sand,6,foraminifera (planktic),,foraminifera (benthic),,Halimeda,Pteropods present. Echinoid fragments and spines rare.,,,,,,,,,,sharp,horizontal,Moderately-sorted.,,,,359,U1465,A,8,H,2,A,
359-U1465A-8H-2-A,100,111,52.18,52.29,,grainstone,4,,unlithified,1,10YR 6/2 (light brownish gray),medium sand,5,foraminifera (planktic),,foraminifera (benthic),,Halimeda,Pteropods present. Echinoid fragments and spines rare.,,,,,,,,,,,,Moderately-sorted. Potential flow-in in this unit.,,,,359,U1465,A,8,H,2,A,
359-U1465A-8H-3-A,0,127,52.29,53.56,,grainstone,4,,unlithified,1,10YR 6/2 (light brownish gray),medium sand,5,foraminifera (planktic),,foraminifera (benthic),,echinoderm,"echinoid fragments and spines, halimeda, bivalve fragments common",,,,,,,,,,,,Moderately-sorted. Potential flow-in in this unit.,,,,359,U1465,A,8,H,3,A,
359-U1465A-8H-4-A,0,134,53.56,54.9,,grainstone,4,,unlithified,1,10YR 6/2 (light brownish gray),medium sand,5,foraminifera (planktic),,foraminifera (benthic),,Bivalve,gastropod fragments abundant. Halimeda and otoliths common. Echinoid spines and pteropods present.,,,,,,,,,,,,Moderately-sorted. Pyrite filled foraminifera present.,,,,359,U1465,A,8,H,4,A,
359-U1465A-8H-5-A,0,89,54.95,55.84,,grainstone,4,,unlithified,1,10YR 6/2 (light brownish gray),fine sand,4,foraminifera (planktic),,foraminifera (benthic),,Bivalve,gastropod fragments abundant. Halimeda and otoliths common. Echinoid spines and pteropods present.,,,,,,,,,,gradational,horizontal,Moderately-sorted. Pyrite filled foraminifera present.,,,,359,U1465,A,8,H,5,A,
