Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,LITH 1 prefix+name [read only],LITH 1 prefix+name+suffix [read only],LITH 1 abundance [%],LITH 1 color,LITH 1 lithification,LITH 1 ave. grain size class,LITH 1 ave. grain size rank [read only],LITH 1 max. grain size class,LITH 1 max. grain size rank [read only],LITH 1 grain sorting,LITH 1 Ash abundance name,LITH 1 Ash abundance rank (read only),LITH 1 comment,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix,LITH 2 prefix+name [read only],LITH 2 prefix+name+suffix [read only],LITH 2 abundance [%],Total LITH abundance [%],LITH 2 Ash abundance name,LITH 2 Ash abundance rank (read only),General interval comment,Bottom contact geometry,Bottom contact attitude,LITH 1 Layer or bedding thickness,LITH 1 Sedimentary structure,LITH 1 Bioturbation intensity,LITH 1 Bioturbation intensity rank [read only],LITH 1 Deformational structure,LITH 1 Deformational structure attitude,LITH 1 Diagenetic structure,LITH 1 Diagenetic constituent,LITH 1 Diagenetic constituent composition,LITH 1 Macrofossil,LITH 1 Macrofossil abundance name,LITH 2 Macrofossil,LITH 1 Clast abundance,LITH 1 Number of clasts (>2mm),LITH 1 Clast 1 igneous [%],LITH 1 Clast 1 igneous -  grain size,LITH 1 Clast 1 igneous -  roundness,LITH 1 Clast 1 igneous -  lithology,LITH 1 Clast 2 sediment [%],LITH 1 Clast 2 sediment - grain size,LITH 1 Clast 2 sediment - roundness,LITH 1 Clast 3 -other LITH [%],LITH 1 Clast 3 metamorphic - grain size,LITH 1 Clast 3 metamorphic - roundness,Total clasts calculated LITH 1 [%],LITH 1 Matrix 1 igneous - pumiceous [%],LITH 1 Matrix 2 igneous - scoriaceous [%],LITH 1 Matrix 3 igneous - massive [%],LITH 1 Matrix 4 igneous - vesicular [%],LITH 1 Matrix 5 volcaniclastic [%],LITH 1 Matrix 6 sediment [%],LITH 1 Matrix 7 -other LITH [%],LITH 1 Matrix biogenic carbonate [%],LITH 1 Matrix detritical carbonate [%],LITH 1 Matrix carbonate [%],Total matrix calculated LITH 1 [%],LITH 1 Matrix sorting,LITH 1 Matrix alteration intensity,LITH 1 Matrix alteration rank,LITH 1 Matrix comments,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
349-U1433A-2H-1-A,142,150,10.32,10.4,,clay [Leg339],with nannofossils [Leg339],clay ,clay  with nannofossils ,100,2.5Y 6/1 (gray),slightly consolidated [B84],clay [W22_1],1,clay [W22_1],1,moderate [BP01],,,,,,,,,,100,,,,,,thin bed [B01],,heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1433,A,2,H,1,A,
349-U1433A-2H-2-A,0,11,10.4,10.51,,nannofossil ooze [Leg339],,nannofossil ooze ,nannofossil ooze ,100,2.5Y 6/1 (gray),slightly consolidated [B84],clay [W22_1],1,clay [W22_1],1,moderate [BP01],,,,,,,,,,100,,,,planar,horizontal,medium bed [B01],,heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1433,A,2,H,2,A,
349-U1433A-2H-2-A,11,32,10.51,10.72,,clay [Leg339],,clay ,clay ,100,5YR 5/2 (reddish gray),slightly consolidated [B84],clay [W22_1],1,clay [W22_1],1,moderate [BP01],,,,,,,,,,100,,,,planar,horizontal,medium bed [B01],color banding,heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1433,A,2,H,2,A,
349-U1433A-2H-2-A,32,44,10.72,10.84,,clay [Leg339],,clay ,clay ,100,2.5Y 5/1 (gray),slightly consolidated [B84],clay [W22_1],1,clay [W22_1],1,moderate [BP01],,,,,,,,,,100,,,,planar,horizontal,medium bed [B01],,heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1433,A,2,H,2,A,
349-U1433A-2H-2-A,44,86,10.84,11.26,,clay [Leg339],,clay ,clay ,100,5YR 4/1 (dark gray),slightly consolidated [B84],clay [W22_1],1,clay [W22_1],1,moderate [BP01],,,,,,,,,,100,,,,planar,horizontal,thick bed [B01],,heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1433,A,2,H,2,A,
349-U1433A-2H-2-A,86,91,11.26,11.31,,clay [Leg339],,clay ,clay ,100,2.5Y 4/2 (dark grayish brown),slightly consolidated [B84],clay [W22_1],1,clay [W22_1],1,moderate [BP01],,,,,,,,,,100,,,,planar,horizontal,thin bed [B01],,heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1433,A,2,H,2,A,
349-U1433A-2H-2-A,91,105,11.31,11.45,,clay [Leg339],,clay ,clay ,100,5YR 5/1 (gray),slightly consolidated [B84],clay [W22_1],1,clay [W22_1],1,moderate [BP01],,,,,,,,,,100,,,,planar,horizontal,medium bed [B01],,heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1433,A,2,H,2,A,
349-U1433A-2H-2-A,105,124,11.45,11.64,,clay [Leg339],,clay ,clay ,100,2.5Y 4/2 (dark grayish brown),slightly consolidated [B84],clay [W22_1],1,clay [W22_1],1,moderate [BP01],,,,,,,,,,100,,,,planar,horizontal,medium bed [B01],color banding,heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1433,A,2,H,2,A,
349-U1433A-2H-2-A,124,150,11.64,11.9,,clay [Leg339],with silt [Leg339],clay ,clay  with silt ,100,5YR 4/1 (dark gray),slightly consolidated [B84],clay [W22_1],1,clay [W22_1],1,moderate [BP01],,,,,,,,,,100,,,,,,medium bed [B01],,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1433,A,2,H,2,A,
349-U1433A-2H-3-A,0,145,11.95,13.4,,clay [Leg339],with silt [Leg339],clay ,clay  with silt ,100,5YR 4/1 (dark gray),slightly consolidated [B84],clay [W22_1],1,clay [W22_1],1,moderate [BP01],,,,,,,,,,100,,,,,,very thick bed [B01],,heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1433,A,2,H,3,A,
349-U1433A-2H-4-A,0,6,13.45,13.51,,clay [Leg339],with silt [Leg339],clay ,clay  with silt ,100,5YR 4/1 (dark gray),slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderately well [BP01],,,,,,,,,,100,,,,Irregular,sub-horizontal,,,heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1433,A,2,H,4,A,
349-U1433A-2H-4-A,6,18,13.51,13.63,,clay [Leg339],with silt [Leg339],clay ,clay  with silt ,100,2.5Y 4/1 (dark gray),slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderately well [BP01],,,,,,,,,,100,,,,Irregular,sub-horizontal,Medium bed ,,heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1433,A,2,H,4,A,
349-U1433A-2H-4-A,18,20,13.63,13.65,,clay [Leg339],with silt [Leg339],clay ,clay  with silt ,100,GLEY 1 3/10Y (very dark greenish gray),moderately consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderately well [BP01],,,,,,,,,,100,,,,bioturbated,sub-horizontal,thin bed [B01],,heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1433,A,2,H,4,A,
349-U1433A-2H-4-A,20,109,13.65,14.54,,clay [Leg339],,clay ,clay ,100,2.5Y 4/1 (dark gray),slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderately well [BP01],,,,,,,,,,100,,,,Gradational,Horizontal,thick bed [B01],color banding,heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1433,A,2,H,4,A,
349-U1433A-2H-4-A,109,110,14.54,14.55,,clay [Leg339],with silt [Leg339],clay ,clay  with silt ,100,GLEY 1 3/10Y (very dark greenish gray),moderately consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderately well [BP01],,,,,,,,,,100,,,,bioturbated,sub-horizontal,thin bed [B01],,heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1433,A,2,H,4,A,
349-U1433A-2H-4-A,110,145,14.55,14.9,,clay [Leg339],,clay ,clay ,100,2.5Y 4/1 (dark gray),slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderately well [BP01],,,,,,,,,,100,,,,,,,color banding,heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1433,A,2,H,4,A,
349-U1433A-2H-5-A,0,34,14.95,15.29,,clay [Leg339],with silt [Leg339],clay ,clay  with silt ,100,2.5Y 4/1 (dark gray),slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,100,,,,Gradational,Inclined,,,Heavy ,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1433,A,2,H,5,A,
349-U1433A-2H-5-A,34,41,15.29,15.36,,clayey silt [MMK88],,clayey silt ,clayey silt ,100,2.5Y 4/1 (dark gray),slightly consolidated [B84],silt [W22_1],2,silt [W22_1],2,moderate [BP01],,,,,,,,,,100,,,,Irregular,,thin bed [B01],,Heavy ,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1433,A,2,H,5,A,
349-U1433A-2H-5-A,41,118,15.36,16.13,,clay [Leg339],,clay ,clay ,100,2.5Y 4/1 (dark gray),slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderately well [BP01],,,,,,,,,,100,,,,,,thick bed [B01],color banding,heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1433,A,2,H,5,A,
349-U1433A-2H-CC-A,0,7,16.13,16.2,,clay [Leg339],,clay ,clay ,100,2.5Y 3/1 (very dark gray),slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderately well [BP01],,,,,,,,,,100,,,,,,,,heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1433,A,2,H,CC,A,
349-U1433A-3H-1-A,0,8,18.4,18.48,,clay [Leg339],,clay ,clay ,100,10YR 4/2 (dark grayish brown),very slightly consolidated [B84],clay [W22_1],1,clay [W22_1],1,well [BP01],,,,,,,,,,100,,,,gradational,sub-horizontal,thin bed [B01],,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1433,A,3,H,1,A,
349-U1433A-3H-1-A,8,41,18.48,18.81,,clay [Leg339],,clay ,clay ,100,GLEY 1 4/N (dark gray),very slightly consolidated [B84],clay [W22_1],1,clay [W22_1],1,well [BP01],,,,,,,,,,100,,,,gradational,inclined,thick bed [B01],,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1433,A,3,H,1,A,
349-U1433A-3H-1-A,41,49,18.81,18.89,,clay [Leg339],,clay ,clay ,100,GLEY 1 4/10Y (dark greenish gray),very slightly consolidated [B84],clay [W22_1],1,clay [W22_1],1,well [BP01],,,,,,,,,,100,,,,irregular,sub-horizontal,very thin bed [B01],color banding,slight [DB86],1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1433,A,3,H,1,A,
349-U1433A-3H-1-A,49,98,18.89,19.38,,clay [Leg339],,clay ,clay ,100,GLEY 1 4/10Y (dark greenish gray),very slightly consolidated [B84],clay [W22_1],1,clay [W22_1],1,well [BP01],,,,,,,,,,100,,,,erosive,sub-horizontal,very thin bed [B01],color banding,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1433,A,3,H,1,A,
349-U1433A-3H-1-A,98,105,19.38,19.45,,clay [Leg339],,clay ,clay ,100,10YR 4/2 (dark grayish brown),very slightly consolidated [B84],clay [W22_1],1,clay [W22_1],1,well [BP01],,,,,,,,,,100,,,,erosive,sub-horizontal,thin bed [B01],,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1433,A,3,H,1,A,
349-U1433A-3H-1-A,105,130,19.45,19.7,,clay [Leg339],,clay ,clay ,100,10YR 4/2 (dark grayish brown),very slightly consolidated [B84],clay [W22_1],1,clay [W22_1],1,well [BP01],,,,,,,,,,100,,,,gradational,sub-horizontal,thin bed [B01],color banding,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1433,A,3,H,1,A,
349-U1433A-3H-1-A,130,133,19.7,19.73,,clay [Leg339],,clay ,clay ,100,10YR 4/2 (dark grayish brown),very slightly consolidated [B84],clay [W22_1],1,clay [W22_1],1,well [BP01],,,,,,,,,,100,,,,gradational,sub-horizontal,very thin bed [B01],,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1433,A,3,H,1,A,
349-U1433A-3H-1-A,133,150,19.73,19.9,,clay [Leg339],,clay ,clay ,100,10YR 4/2 (dark grayish brown),very slightly consolidated [B84],clay [W22_1],1,clay [W22_1],1,well [BP01],,,,,,,,,,100,,,,gradational,sub-horizontal,thin bed [B01],,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1433,A,3,H,1,A,
349-U1433A-3H-2-A,0,80,19.9,20.7,,clay [Leg339],,clay ,clay ,100,10YR 4/2 (dark grayish brown),very slightly consolidated [B84],clay [W22_1],1,clay [W22_1],1,well [BP01],,,,,,,,,,100,,,,gradational,sub-horizontal,thick bed [B01],color banding,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1433,A,3,H,2,A,
349-U1433A-3H-2-A,80,85,20.7,20.75,,silt [Leg339],,silt ,silt ,100,10YR 4/2 (dark grayish brown),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,100,,,,irregular,curved,very thin bed [B01],,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1433,A,3,H,2,A,
349-U1433A-3H-2-A,85,145,20.75,21.35,,clay [Leg339],,clay ,clay ,100,10YR 4/2 (dark grayish brown),very slightly consolidated [B84],clay [W22_1],1,clay [W22_1],1,well [BP01],,,,,,,,,,100,,,,gradational,sub-horizontal,thick bed [B01],color banding,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1433,A,3,H,2,A,
349-U1433A-3H-3-A,0,8,21.4,21.48,,clay [Leg339],,clay ,clay ,100,10YR 4/2 (dark grayish brown),very slightly consolidated [B84],clay [W22_1],1,clay [W22_1],1,well [BP01],,,,,,,,,,100,,,,gradational,curved,very thin bed [B01],,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1433,A,3,H,3,A,
349-U1433A-3H-3-A,8,44,21.48,21.84,,clay [Leg339],,clay ,clay ,100,10YR 5/2 (grayish brown),very slightly consolidated [B84],clay [W22_1],1,clay [W22_1],1,well [BP01],,,,,,,,,,100,,,,gradational,sub-horizontal,medium bed [B01],color banding,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1433,A,3,H,3,A,
349-U1433A-3H-3-A,44,145,21.84,22.85,,clay [Leg339],,clay ,clay ,100,10YR 4/1 (dark gray),very slightly consolidated [B84],clay [W22_1],1,clay [W22_1],1,well [BP01],,,,,,,,,,100,,,,gradational,sub-horizontal,thick bed [B01],color banding,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1433,A,3,H,3,A,
349-U1433A-3H-4-A,0,44,22.9,23.34,,clay [Leg339],,clay ,clay ,100,GLEY 1 5/10Y (greenish gray),very slightly consolidated [B84],clay [W22_1],1,clay [W22_1],1,well [BP01],,,,,,,,,,100,,,,gradational,sub-horizontal,thick bed [B01],,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1433,A,3,H,4,A,
349-U1433A-3H-4-A,44,47,23.34,23.37,,clay [Leg339],,clay ,clay ,100,GLEY 1 4/5GY (dark greenish gray),very slightly consolidated [B84],clay [W22_1],1,clay [W22_1],1,well [BP01],,,,,,,,,,100,,,,gradational,sub-horizontal,very thin bed [B01],,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1433,A,3,H,4,A,
349-U1433A-3H-4-A,47,150,23.37,24.4,,clay [Leg339],,clay ,clay ,100,GLEY 1 4/10Y (dark greenish gray),very slightly consolidated [B84],clay [W22_1],1,clay [W22_1],1,well [BP01],,,,,,,,,,100,,,,gradational,sub-horizontal,thick bed [B01],,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1433,A,3,H,4,A,
349-U1433A-3H-5-A,0,145,24.4,25.85,,clay [Leg339],,clay ,clay ,100,GLEY 1 5/N (gray),very slightly consolidated [B84],clay [W22_1],1,clay [W22_1],1,well [BP01],,,,,,,,,,100,,,,gradational,sub-horizontal,thick bed [B01],,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1433,A,3,H,5,A,
349-U1433A-3H-6-A,0,137,25.9,27.27,,clay [Leg339],,clay ,clay ,100,GLEY 1 5/N (gray),very slightly consolidated [B84],clay [W22_1],1,clay [W22_1],1,well [BP01],,,,,,,,,,100,,,,gradational,sub-horizontal,thick bed [B01],,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1433,A,3,H,6,A,
