Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Principal Name,Lithology classification,Lithology Prefix,Lithology Suffix,Lithology name,Lithology [%],Lithification [name],Color,Lithology comments,File Data,Extra Sample ID Data,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix
320-U1332A-6H-CC-A,320,U1332,A,6,6-CC,H,CC,A,0,24,51.7,51.94,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,70,soft,10YR 8/2,,,,,,
320-U1332A-7H-1-A,320,U1332,A,7,7-1,H,1,A,0,94,51.4,52.34,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian nannofossil,,Radiolarian nannofossil ooze,100,soft,10YR 4/3,,,,,,
320-U1332A-7H-1-A,320,U1332,A,7,7-1,H,1,A,94,150,52.34,52.9,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,100,soft,10YR 7/2,,,,,,
320-U1332A-7H-2-A,320,U1332,A,7,7-2,H,2,A,0,134,52.9,54.24,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,100,soft,10YR 7/2,,,,,,
320-U1332A-7H-2-A,320,U1332,A,7,7-2,H,2,A,134,150,54.24,54.4,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,100,soft,10YR 8/1,,,,,,
320-U1332A-7H-3-A,320,U1332,A,7,7-3,H,3,A,0,10,54.4,54.5,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,100,soft,10YR 8/1,,,,,,
320-U1332A-7H-3-A,320,U1332,A,7,7-3,H,3,A,10,150,54.5,55.9,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,100,soft,10YR 7/2,,,,,,
320-U1332A-7H-4-A,320,U1332,A,7,7-4,H,4,A,0,150,55.9,57.4,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,100,soft,10YR 7/2,,,,,,
320-U1332A-7H-5-A,320,U1332,A,7,7-5,H,5,A,0,150,57.4,58.9,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,100,soft,10YR 7/2,,,,,,
320-U1332A-7H-6-A,320,U1332,A,7,7-6,H,6,A,0,150,58.9,60.4,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,100,soft,10YR 7/2,,,,,,
320-U1332A-7H-7-A,320,U1332,A,7,7-7,H,7,A,0,88,60.4,61.28,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,100,soft,10YR 7/2,,,,,,
320-U1332A-7H-CC-A,320,U1332,A,7,7-CC,H,CC,A,0,20,61.28,61.48,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,100,soft,10YR 7/2,,,,,,
320-U1332A-8H-1-A,320,U1332,A,8,8-1,H,1,A,0,150,60.9,62.4,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,100,soft,10YR 8/2,,,,,,
320-U1332A-8H-2-A,320,U1332,A,8,8-2,H,2,A,0,150,62.4,63.9,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,100,soft,10YR 8/2,,,,,,
320-U1332A-8H-3-A,320,U1332,A,8,8-3,H,3,A,0,150,63.9,65.4,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,100,soft,10YR 8/2,,,,,,
320-U1332A-8H-4-A,320,U1332,A,8,8-4,H,4,A,0,105,65.4,66.45,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,100,soft,10YR 8/2,,,,,,
320-U1332A-8H-4-A,320,U1332,A,8,8-4,H,4,A,105,150,66.45,66.9,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with diatoms,Nannofossil ooze with diatoms,100,soft, 2.5Y 5/3,,,,,,
320-U1332A-8H-5-A,320,U1332,A,8,8-5,H,5,A,0,150,66.9,68.4,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with diatoms,Nannofossil ooze with diatoms,100,soft, 2.5Y 5/3,,,,,,
320-U1332A-8H-6-A,320,U1332,A,8,8-6,H,6,A,0,56,68.4,68.96,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with diatoms,Nannofossil ooze with diatoms,100,soft, 2.5Y 5/3,,,,,,
320-U1332A-8H-6-A,320,U1332,A,8,8-6,H,6,A,56,150,68.96,69.9,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,100,soft,10YR 8/2,,,,,,
320-U1332A-8H-7-A,320,U1332,A,8,8-7,H,7,A,0,82,69.9,70.72,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,100,soft,10YR 8/2,,,,,,
320-U1332A-8H-CC-A,320,U1332,A,8,8-CC,H,CC,A,0,25,70.72,70.97,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,100,soft,10YR 8/2,,,,,,
320-U1332A-9H-1-A,320,U1332,A,9,9-1,H,1,A,0,112,70.4,71.52,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with diatoms,Nannofossil ooze with diatoms,100,soft,10YR 7/2,,,,,,
320-U1332A-9H-1-A,320,U1332,A,9,9-1,H,1,A,112,150,71.52,71.9,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with diatoms,Nannofossil ooze with diatoms,100,soft,10YR 7/3,,,,,,
320-U1332A-9H-2-A,320,U1332,A,9,9-2,H,2,A,0,150,71.9,73.4,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with diatoms,Nannofossil ooze with diatoms,100,soft,10YR 7/3,,,,,,
320-U1332A-9H-3-A,320,U1332,A,9,9-3,H,3,A,0,18,73.4,73.58,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with diatoms,Nannofossil ooze with diatoms,100,soft,10YR 7/3,,,,,,
320-U1332A-9H-3-A,320,U1332,A,9,9-3,H,3,A,18,150,73.58,74.9,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,100,soft,10YR 8/2,,,,,,
320-U1332A-9H-4-A,320,U1332,A,9,9-4,H,4,A,0,16,74.9,75.06,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,100,soft,10YR 8/2,,,,,,
320-U1332A-9H-4-A,320,U1332,A,9,9-4,H,4,A,16,124,75.06,76.14,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian nannofossil,,Radiolarian nannofossil ooze,100,soft,10YR 4/3,,,,,,
320-U1332A-9H-4-A,320,U1332,A,9,9-4,H,4,A,124,150,76.14,76.4,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian ,with clay,Radiolarian  ooze with clay,100,soft,10YR 3/4,,,,,,
320-U1332A-9H-5-A,320,U1332,A,9,9-5,H,5,A,0,150,76.4,77.9,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian ,with clay,Radiolarian  ooze with clay,100,soft,10YR 3/4,,,,,,
320-U1332A-9H-6-A,320,U1332,A,9,9-6,H,6,A,0,150,77.9,79.4,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian ,with clay,Radiolarian  ooze with clay,100,soft,10YR 3/4,,,,,,
320-U1332A-9H-7-A,320,U1332,A,9,9-7,H,7,A,0,82,79.4,80.22,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian ,with clay,Radiolarian  ooze with clay,100,soft,10YR 3/4,,,,,,
320-U1332A-9H-CC-A,320,U1332,A,9,9-CC,H,CC,A,0,25,80.22,80.47,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian ,with clay,Radiolarian  ooze with clay,100,soft,10YR 3/4,,,,,,
320-U1332A-10H-1-A,320,U1332,A,10,10-1,H,1,A,0,150,79.9,81.4,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian ,with clay,Radiolarian  ooze with clay,100,soft,10YR 4/3,,,,,,
320-U1332A-10H-2-A,320,U1332,A,10,10-2,H,2,A,0,150,81.4,82.9,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian ,with clay,Radiolarian  ooze with clay,100,soft,10YR 4/3,,,,,,
320-U1332A-10H-3-A,320,U1332,A,10,10-3,H,3,A,0,75,82.9,83.65,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian ,with clay,Radiolarian  ooze with clay,100,soft,10YR 4/3,,,,,,
