Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology prefix,Lithology principal name,Lithology suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color (simple),Bottom contact or boundary geometry,Bottom contact or boundary attitude,Bedding thickness of MAJOR lithology,Interbed lithology,Thickness of interbeds,INTERPRETATION - Turbiditic or Hemipelagic,TEPHRA type,Sedimentary structure,Sedimentary structure comment,Diagenetic structure,Macrofossil,General interval comment,Ship File Links,Shore File Links,File Data
354-U1454D-1H-4-A,78,96,5.28,5.46,,,silt,with mica,silt,silt with mica,silt with mica,,dark gray,sharp planar,sub-horizontal,,,,,,normally graded,,,,,,,
354-U1454D-1H-4-A,96,118,5.46,5.68,,,clay,,clay,clay,clay,,gray,gradational,sub-horizontal,,,,,,,,,,,,,
354-U1454D-1H-4-A,118,150,5.68,6,,,silt,with mica,silt,silt with mica,silt with mica,,dark gray,,,,,,,,normally graded,,,,,,,
354-U1454D-1H-5-A,0,2,6,6.02,,,silt,with mica,silt,silt with mica,silt with mica,,dark gray,,,,,,,,,,,,,,,
354-U1454D-1H-5-A,2,13,6.02,6.13,,,clay,,clay,clay,clay,,gray,gradational,sub-horizontal,,,,,,,,,,,,,
354-U1454D-1H-5-A,13,43,6.13,6.43,,,silt,with mica,silt,silt with mica,silt with mica,,dark gray,sharp planar,sub-horizontal,,,,,,normally graded,,,,,,,
354-U1454D-1H-5-A,43,150,6.43,7.5,,,clay,,clay,clay,clay,,gray,,,medium bed,silt,very thin bed,,,,,,,,,,
354-U1454D-1H-6-A,0,26,7.5,7.76,,,clay,,clay,clay,clay,,gray,gradational,sub-horizontal,thin bed,silt,very thin bed,,,,,,,,,,
354-U1454D-1H-6-A,26,53,7.76,8.03,,,silt,,silt,silt,silt,,dark gray,sharp planar,sub-horizontal,,,,,,normally graded,,,,,,,
354-U1454D-1H-6-A,53,100,8.03,8.5,,,clay,,clay,clay,clay,,gray,,,thin bed,silt,very thin bed,,,,,,,,,,
354-U1454D-1H-CC-A,0,18,8.5,8.68,,,clay,,clay,clay,clay,,gray,,,,,,,,,,,,,,,
354-U1454D-2H-1-A,0,150,8.7,10.2,,,clay,,clay,clay,clay,,gray,,,medium bed,silt,thin bed,,,parallel lamination,,,,,,,
354-U1454D-2H-2-A,0,10,10.2,10.3,,,clay,,clay,clay,clay,,gray,,,medium bed,silt,thin bed,,,parallel lamination,,,,,,,
354-U1454D-2H-2-A,25,60,10.45,10.8,,,clay,,clay,clay,clay,,gray,gradational,sub-horizontal,medium bed,silt,thin bed,,,parallel lamination,,,,,,,
354-U1454D-2H-2-A,60,127,10.8,11.47,,,silt,with plant fragments,silt,silt with plant fragments,silt with plant fragments,,dark gray,sharp planar,sub-horizontal,,,,,,normally graded,,,,,,,
354-U1454D-2H-2-A,127,150,11.47,11.7,,,clay,,clay,clay,clay,,gray,,,,,,,,,,,,,,,
354-U1454D-2H-3-A,0,150,11.7,13.2,,,clay,,clay,clay,clay,,gray,,,thick bed,silt,very thin bed,,,,,,,,,,
354-U1454D-2H-4-A,0,150,13.2,14.7,,,clay,,clay,clay,clay,,gray,,,medium bed,silt,very thin bed,,,,,,,,,,
354-U1454D-2H-5-A,0,12,14.7,14.82,,,clay,,clay,clay,clay,,gray,,,thick bed,silt,very thin bed,,,,,,,,,,
354-U1454D-2H-5-A,28,97,14.98,15.67,,,clay,,clay,clay,clay,,gray,bioturbated,sub-horizontal,thick bed,silt,very thin bed,,,,,,,,,,
354-U1454D-2H-5-A,97,108,15.67,15.78,,,calcareous clay,,calcareous clay,calcareous clay,calcareous clay,,gray,,,,,,,,mottling,,,,,,,
354-U1454D-2H-6-A,0,80,15.8,16.6,,,calcareous clay,with foraminifers,calcareous clay,calcareous clay with foraminifers,calcareous clay with foraminifers,,light brown,,,,,,,,mottling,,,,,,,
354-U1454D-2H-CC-A,0,35,16.61,16.96,,,calcareous clay,,calcareous clay,calcareous clay,calcareous clay,,greenish gray,,,,,,,,mottling,,,,,,,
354-U1454D-4F-1-A,0,123,27.7,28.93,,silty,sand,with mica,silty sand,silty sand with mica,sand with mica,,dark gray,,,,,,,,mud clast,,,,mud clast (?) at top of Section 1 (0-2 cm),,,
354-U1454D-4F-2-A,0,130,28.92,30.22,,silty,sand,with mica,silty sand,silty sand with mica,sand with mica,,dark gray,,,,,,,,,,,,,,,
354-U1454D-4F-3-A,0,128,30.22,31.5,,silty,sand,with mica,silty sand,silty sand with mica,sand with mica,,dark gray,,,,,,,,,,,,,,,
354-U1454D-5F-1-A,0,24,32.4,32.64,,,clay,,clay,clay,clay,,gray,sharp planar,sub-horizontal,,,,,,,,,,organic rich black spots 7-9 cm,,,
354-U1454D-5F-1-A,24,127,32.64,33.67,,silty,sand,with mica,silty sand,silty sand with mica,sand with mica,,dark gray,,,,,,,,parallel lamination,,,,parallel lamination in upper part (24-36 cm),,,
354-U1454D-5F-2-A,0,125,33.67,34.92,,silty,sand,with mica,silty sand,silty sand with mica,sand with mica,,dark gray,,,,,,,,,,,,,,,
354-U1454D-5F-3-A,0,106,34.95,36.01,,silty,sand,with mica,silty sand,silty sand with mica,sand with mica,,dark gray,,,,,,,,,,,,,,,
