Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,MAJ Lith. prefix + name,MAJ Lith. prefix+name+suffix,MAJ Lith. name+suffix,MAJ Lith. abundance [%],MAJ Lith. color,MAJ Lith. ave. grain size ,MAJ Lith. ave. grain size rank,MAJ Lith. max. grain size,MAJ Lith. max. grain size rank,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix,MIN Lith. prefix + name,MIN Lith. prefix+name+suffix,MIN Lith. name+suffix,MIN Lith. abundance [%],MIN Lith. color,MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,"Layer, boundary, lamination, grading",Layer or bedding thickness,Clasts abundance,Diagenetic constituent,Diagenetic structure,Bioturbation intensity,Bioturbation intensity rank,Macrofossil abundance name,Deformational structures,General interval comment,MAJ Lith. Prefix abundance Plot [%],MAJ Lith. Principal name abundance Plot [%],File Data,Extra Sample ID Data
"339-U1385A-3H-2-A, 0-150",339,U1385,A,3,3-2,H,2,A,0,150,12.5,14,nannofossil [Leg339],sandy silt [Leg339],with nannofossils [Leg339],nannofossil   sandy silt ,nannofossil  sandy silt  with nannofossils ,sandy silt   with nannofossils ,100,5Y 6/1 (gray),silt [W22_1],2,medium sand [W22_2],5,,,,,,,,,,,,,100,,,,,,,slight_339 [DB91],3,,,"Burrows are observed. Bioturbated contact at ~40 cm. Pyrite fills burrows (14-52 cm, 65 cm). Foraminifers are visible (medium sand-size). Big forams at ~113 cm interval.",100,100,,
"339-U1385A-3H-3-A, 0-150",339,U1385,A,3,3-3,H,3,A,0,150,14,15.5,,sandy mud [Leg339],with nannofossils [Leg339],sandy mud ,sandy mud  with nannofossils ,sandy mud   with nannofossils ,100,10YR 6/1 (gray),silt [W22_1],2,medium sand [W22_2],5,,,,,,,,,,,,,100,,color banding,thick bed [B01],,,,slight_339 [DB91],3,,,Interbedded layers of slightly different color (reddish and grayish) with slightly bioturbated contacts. More forams are visible in 82-84 cm.,100,100,,
"339-U1385A-3H-4-A, 0-150",339,U1385,A,3,3-4,H,4,A,0,150,15.5,17,nannofossil [Leg339],mud [Leg339],,nannofossil   mud ,nannofossil  mud ,mud ,100,10YR 6/1 (gray),clay [W22_1],1,medium sand [W22_2],5,,,,,,,,,,,,,100,,color banding,thick bed [B01],,,,slight_339 [DB91],3,,,"Alternating thick beds of slightly different color (~50-100 cm) with bioturbation throughout. Some pyritized burrows, some zoophycus (135 & 137 cm). A slight color boundary at 124 cm. Foraminifers are visible (medium sand-size). Note, core lightens as it oxidized.",100,100,,
"339-U1385A-3H-5-A, 0-150",339,U1385,A,3,3-5,H,5,A,0,150,17,18.5,silty [Leg339],nannofossil ooze [Leg339],,silty   nannofossil ooze ,silty  nannofossil ooze ,nannofossil ooze ,100,5Y 6/1 (gray),silt [W22_1],2,medium sand [W22_2],5,,,,,,,,,,,,,100,,,,,,,slight_339 [DB91],3,,,Generally uniform with some color alternation in burrows. Slight bioturbation throughout. Few foraminifers in clay at 23 cm level. Pyritized burrow at 132 cm.,100,100,,
"339-U1385A-3H-6-A, 0-150",339,U1385,A,3,3-6,H,6,A,0,150,18.5,20,,mud [Leg339],with nannofossils [Leg339],mud ,mud  with nannofossils ,mud   with nannofossils ,100,10YR 6/1 (gray),silt [W22_1],2,medium sand [W22_2],5,,,,,,,,,,,,,100,,,,,,,slight_339 [DB91],3,,,"Burrows throughout. Color alternation visible in burrows, and some color change along core, but all pretty much the same. At 69 cm, gradational, bioturbated contact between slightly reddish above to grayer below (maybe part of bedding in interval). Forams are visible (medium sand-size) throughout.",100,100,,
"339-U1385A-3H-7-A, 0-62",339,U1385,A,3,3-7,H,7,A,0,62,20,20.62,,mud [Leg339],with biogenic components [Leg339],mud ,mud  with biogenic components ,mud   with biogenic components ,100,5Y 6/1 (gray),clay [W22_1],1,medium sand [W22_2],5,,,,,,,,,,,,,100,,,,,,,slight_339 [DB91],3,,,"Bioturbated clayey sediment throughout, with darker burrow fill (5Y 5/1). Forams are visible (medium sand-size).",100,100,,
"339-U1385A-3H-CC-A, 0-30",339,U1385,A,3,3-CC,H,CC,A,0,30,20.62,20.92,,mud [Leg339],with biogenic components [Leg339],mud ,mud  with biogenic components ,mud   with biogenic components ,100,5Y 6/1 (gray),clay [W22_1],1,medium sand [W22_2],5,,,,,,,,,,,,,100,,,,,,,slight_339 [DB91],3,,,Bioturbated gray clay. Foraminifers are visible on surface. ,100,100,,
"339-U1385A-4H-1-A, 0-150",339,U1385,A,4,4-1,H,1,A,0,150,20.5,22,,mud [Leg339],with nannofossils [Leg339],mud ,mud  with nannofossils ,mud   with nannofossils ,100,5Y 6/1 (gray),clay [W22_1],1,medium sand [W22_2],5,,,,,,,,,,,,,100,,,,,,,slight_339 [DB91],3,,,Continuous from above (Core 3). Slight color variations within gray. Slight bioturbation. Pyrited burrows at 96 and 117 cm. Foraminifers (medium sand-size) are visible.,100,100,,
"339-U1385A-4H-2-A, 0-150",339,U1385,A,4,4-2,H,2,A,0,150,22,23.5,,clay [Leg339],with biogenic components [Leg339],clay ,clay  with biogenic components ,clay   with biogenic components ,100,10YR 6/1 (gray),clay [W22_1],1,medium sand [W22_2],5,,,,,,,,,,,,,100,,,,,,,slight_339 [DB91],3,,,Overall gray clay with some color banding. Bioturbated throughout. Foraminifers (medium sand-size) are visible.,100,100,,
"339-U1385A-4H-3-A, 0-150",339,U1385,A,4,4-3,H,3,A,0,150,23.5,25,biogenic [Leg339],clay [Leg339],,biogenic   clay ,biogenic  clay ,clay ,100,5Y 6/1 (gray),clay [W22_1],1,medium sand [W22_2],5,,,,,,,,,,,,,100,,,,,,,slight_339 [DB91],3,,,"Overall gray clay with some color banding, particularly below 140 cm. The interbedded layers of slightly different color (5Y 5/1 intervals at 140-142 and 145-147 cm) has bioturbated contact. Slight bioturbation throughout the section. Foraminifers in medium sand size are visible. ",100,100,,
"339-U1385A-4H-4-A, 0-150",339,U1385,A,4,4-4,H,4,A,0,150,25,26.5,nannofossil [Leg339],mud [Leg339],,nannofossil   mud ,nannofossil  mud ,mud ,100,5Y 6/1 (gray),clay [W22_1],1,medium sand [W22_2],5,,,,,,,,,,,,,100,,,,,,,slight_339 [DB91],3,present [A48],,Overall clay with alternating colors of gray. slightly bioturbated. Foraminifers are visible on surface (medium sand size). Pyrited burrows at 18 and 30 cm. A pteropod bioclast  (Clio pyramidata) at 90 cm. ,100,100,,
"339-U1385A-4H-5-A, 0-17",339,U1385,A,4,4-5,H,5,A,0,17,26.5,26.67,nannofossil [Leg339],mud [Leg339],,nannofossil   mud ,nannofossil  mud ,mud ,100,5Y 5/1 (gray),clay [W22_1],1,medium sand [W22_2],5,,,,,,,,,,,,,100,bioturbated boundary or contact,,,,,,slight_339 [DB91],3,,,"Gray clay, continuous from above. Scattered fine pyrite grains.",100,100,,
"339-U1385A-4H-5-A, 17-134",339,U1385,A,4,4-5,H,5,A,17,134,26.67,27.84,nannofossil [Leg339],mud [Leg339],,nannofossil   mud ,nannofossil  mud ,mud ,100,5Y 8/1 (white),clay [W22_1],1,medium sand [W22_2],5,,,,,,,,,,,,,100,bioturbated boundary or contact,,,,,,slight_339 [DB91],3,,,White clay with slight bioturbation. Slight color banding (dark-light) is in 17-80 cm interval. Zoophycus and chondrites are visible.  ,100,100,,
"339-U1385A-4H-5-A, 134-150",339,U1385,A,4,4-5,H,5,A,134,150,27.84,28,,silty mud [Leg339],with biogenic components [Leg339],silty mud ,silty mud  with biogenic components ,silty mud   with biogenic components ,100,5Y 5/1 (gray),clay [W22_1],1,medium sand [W22_2],5,,,,,,,,,,,,,100,,,,,,,slight_339 [DB91],3,,,Gray clay slightly bioturbated. Scattered pyrite grains.,100,100,,
"339-U1385A-4H-6-A, 0-150",339,U1385,A,4,4-6,H,6,A,0,150,28,29.5,,silty mud [Leg339],with biogenic components [Leg339],silty mud ,silty mud  with biogenic components ,silty mud   with biogenic components ,100,5Y 5/1 (gray),silt [W22_1],2,medium sand [W22_2],5,,,,,,,,,,,,,100,,,,,,,slight_339 [DB91],3,,,"Bioturbated gray clay with slight color banding and darker grains in burrows (probably pyrite). Zoophycus at 17, 23 cm. Foraminifers are visible. ",100,100,,
"339-U1385A-4H-7-A, 0-54",339,U1385,A,4,4-7,H,7,A,0,54,29.5,30.04,muddy [Leg339],nannofossil ooze [Leg339],,muddy   nannofossil ooze ,muddy  nannofossil ooze ,nannofossil ooze ,100,5Y 6/1 (gray),clay [W22_1],1,medium sand [W22_2],5,,,,,,,,,,,,,100,gradational contact,,,,,,slight_339 [DB91],3,,,Gray terrigenous clay with slight color alternations.,100,100,,
"339-U1385A-4H-7-A, 54-88",339,U1385,A,4,4-7,H,7,A,54,88,30.04,30.38,muddy [Leg339],nannofossil ooze [Leg339],,muddy   nannofossil ooze ,muddy  nannofossil ooze ,nannofossil ooze ,100,5Y 5/1 (gray),clay [W22_1],1,medium sand [W22_2],5,,,,,,,,,,,,,100,,,,,,,slight_339 [DB91],3,,,"Gray terrigenous clay. Zoophycus at 57 cm, and chondrites-like trace fossils at 62 cm.",100,100,,
"339-U1385A-4H-CC-A, 0-33",339,U1385,A,4,4-CC,H,CC,A,0,33,30.38,30.71,muddy [Leg339],nannofossil ooze [Leg339],,muddy   nannofossil ooze ,muddy  nannofossil ooze ,nannofossil ooze ,100,5Y 6/1 (gray),clay [W22_1],1,medium sand [W22_2],5,,,,,,,,,,,,,100,,,,,,,slight_339 [DB91],3,,,Gray terrigenous clay with slight color changes in burrows. Zoophycus at 19 cm.,100,100,,
"339-U1385A-5H-1-A, 0-53",339,U1385,A,5,5-1,H,1,A,0,53,30,30.53,muddy [Leg339],nannofossil ooze [Leg339],,muddy   nannofossil ooze ,muddy  nannofossil ooze ,nannofossil ooze ,100,5Y 6/1 (gray),clay [W22_1],1,medium sand [W22_2],5,,,,,,,,,,,,,100,bioturbated boundary or contact,patch or bleb,,,,,slight_339 [DB91],3,,contorted strata [BJ80],Gray clay with distorted layers and irregular pockets of darker material.,100,100,,
"339-U1385A-5H-1-A, 53-150",339,U1385,A,5,5-1,H,1,A,53,150,30.53,31.5,muddy [Leg339],nannofossil ooze [Leg339],,muddy   nannofossil ooze ,muddy  nannofossil ooze ,nannofossil ooze ,100,5Y 5/1 (gray),clay [W22_1],1,medium sand [W22_2],5,,,,,,,,,,,,,100,,,,,,,slight_339 [DB91],3,,,"Gray terrigenous clay, slightly bioturbated, some foraminifers, Burrows with diagenetic contacts in 127 cm.",100,100,,
"339-U1385A-5H-2-A, 0-150",339,U1385,A,5,5-2,H,2,A,0,150,31.5,33,muddy [Leg339],nannofossil ooze [Leg339],,muddy   nannofossil ooze ,muddy  nannofossil ooze ,nannofossil ooze ,100,5Y 5/1 (gray),clay [W22_1],1,medium sand [W22_2],5,,,,,,,,,,,,,100,,,,,,,slight_339 [DB91],3,,,"Gray terrigenous clay, slightly bioturbated with pyritized burrows (78, 138 and 142 cm) and occasionally to rare silt-filled burrow (53 and 74 cm cm). Foraminifers are visible.",100,100,,
"339-U1385A-5H-3-A, 0-67",339,U1385,A,5,5-3,H,3,A,0,67,33,33.67,muddy [Leg339],nannofossil ooze [Leg339],,muddy   nannofossil ooze ,muddy  nannofossil ooze ,nannofossil ooze ,100,5Y 5/1 (gray),clay [W22_1],1,medium sand [W22_2],5,,,,,,,,,,,,,100,gradational contact,,,,,,slight_339 [DB91],3,present [A48],,Gray clay with some color banding. Slightly bioturbated. Scattered fine black grains (pyrite). Pipe filled pyrite.,100,100,,
"339-U1385A-5H-3-A, 67-135",339,U1385,A,5,5-3,H,3,A,67,135,33.67,34.35,muddy [Leg339],nannofossil ooze [Leg339],,muddy   nannofossil ooze ,muddy  nannofossil ooze ,nannofossil ooze ,100,5Y 7/1 (light gray),clay [W22_1],1,medium sand [W22_2],5,,,,,,,,,,,,,100,gradational contact,,,,,,slight_339 [DB91],3,,,Light gray clay with some color banding. Slightly bioturbated. Foraminifers are visible.,100,100,,
"339-U1385A-5H-3-A, 135-150",339,U1385,A,5,5-3,H,3,A,135,150,34.35,34.5,muddy [Leg339],nannofossil ooze [Leg339],,muddy   nannofossil ooze ,muddy  nannofossil ooze ,nannofossil ooze ,100,5Y 6/1 (gray),clay [W22_1],1,medium sand [W22_2],5,,,,,,,,,,,,,100,,,,,,,slight_339 [DB91],3,,,Gray clay with some color banding. Slightly bioturbated. Scattered fine black grains (pyrite).,100,100,,
"339-U1385A-5H-4-A, 0-98",339,U1385,A,5,5-4,H,4,A,0,98,34.5,35.48,muddy [Leg339],nannofossil ooze [Leg339],,muddy   nannofossil ooze ,muddy  nannofossil ooze ,nannofossil ooze ,100,5Y 6/1 (gray),clay [W22_1],1,medium sand [W22_2],5,,,,,,,,,,,,,100,bioturbated boundary or contact,,,,,,slight_339 [DB91],3,,,"Gray terrigenous clay with slight bioturbation (occasionally moderate). Mostly color changes -a few silt- to sand-filled burrows (15, 22 and 25 cm). Foraminifers are visible.",100,100,,
"339-U1385A-5H-4-A, 98-125",339,U1385,A,5,5-4,H,4,A,98,125,35.48,35.75,muddy [Leg339],nannofossil ooze [Leg339],,muddy   nannofossil ooze ,muddy  nannofossil ooze ,nannofossil ooze ,100,5Y 6/1 (gray),clay [W22_1],1,medium sand [W22_2],5,,,,,,,,,,,,,100,bioturbated boundary or contact,,,,,,slight_339 [DB91],3,,,Lighter gray mud with pyritized burrows and zoophycus. Slight bioturbation but partly moderate. ,100,100,,
"339-U1385A-5H-4-A, 125-139",339,U1385,A,5,5-4,H,4,A,125,139,35.75,35.89,muddy [Leg339],nannofossil ooze [Leg339],,muddy   nannofossil ooze ,muddy  nannofossil ooze ,nannofossil ooze ,100,5Y 5/1 (gray),clay [W22_1],1,medium sand [W22_2],5,,,,,,,,,,,,,100,bioturbated boundary or contact,,,,,,slight_339 [DB91],3,,,"Dark gray interval, slightly reddish. Sand-filled burrows. Slightly bioturbated.",100,100,,
"339-U1385A-5H-4-A, 139-150",339,U1385,A,5,5-4,H,4,A,139,150,35.89,36,muddy [Leg339],nannofossil ooze [Leg339],,muddy   nannofossil ooze ,muddy  nannofossil ooze ,nannofossil ooze ,100,5Y 6/1 (gray),clay [W22_1],1,medium sand [W22_2],5,,,,,,,,,,,,,100,,,,,,,slight_339 [DB91],3,,,Somewhat lighter interval with slight color banding.,100,100,,
"339-U1385A-5H-5-A, 0-30",339,U1385,A,5,5-5,H,5,A,0,30,36,36.3,,nannofossil ooze [Leg339],with clay [Leg339],nannofossil ooze ,nannofossil ooze  with clay ,nannofossil ooze   with clay ,100,5Y 7/1 (light gray),clay [W22_1],1,medium sand [W22_2],5,,,,,,,,,,,,,100,gradational contact,,,,,,slight_339 [DB91],3,,,Light gray calcareous ooze with slight bioturbation. Scattered pyrite. Pyrite nodule fills borrow at 11 cm. zoophycus at 10-11 cm. ,100,100,,
"339-U1385A-5H-5-A, 30-137",339,U1385,A,5,5-5,H,5,A,30,137,36.3,37.37,,nannofossil ooze [Leg339],with clay [Leg339],nannofossil ooze ,nannofossil ooze  with clay ,nannofossil ooze   with clay ,100,5Y 8/1 (white),clay [W22_1],1,medium sand [W22_2],5,,,,,,,,,,,,,100,bioturbated boundary or contact,,,,,,slight_339 [DB91],3,,,White calcareous ooze with slight bioturbation. Pyrite nodule fills burrow at 71 cm. Slightly dark gray band at 96-97 cm. Chondrites and abundant in 127-137 cm. Bioturbated basal contact.,100,100,,
"339-U1385A-5H-5-A, 137-150",339,U1385,A,5,5-5,H,5,A,137,150,37.37,37.5,muddy [Leg339],nannofossil ooze [Leg339],,muddy   nannofossil ooze ,muddy  nannofossil ooze ,nannofossil ooze ,100,5Y 5/1 (gray),clay [W22_1],1,medium sand [W22_2],5,,,,,,,,,,,,,100,,,,,,,slight_339 [DB91],3,,,Dark gray clay slightly bioturbated scatter pyrite. Foraminifers are visible.,100,100,,
"339-U1385A-5H-6-A, 0-56",339,U1385,A,5,5-6,H,6,A,0,56,37.5,38.06,muddy [Leg339],nannofossil ooze [Leg339],,muddy   nannofossil ooze ,muddy  nannofossil ooze ,nannofossil ooze ,100,5Y 5/1 (gray),clay [W22_1],1,medium sand [W22_2],5,,,,,,,,,,,,,100,bioturbated boundary or contact,,,,,,slight_339 [DB91],3,,,Gray clay with bioturbation. Some thinner beds due to color alternation (particularly 39-44 cm). Bioturbated basal contact. Foraminifers are visible. Pyritized burrows.,100,100,,
"339-U1385A-5H-6-A, 56-150",339,U1385,A,5,5-6,H,6,A,56,150,38.06,39,muddy [Leg339],nannofossil ooze [Leg339],,muddy   nannofossil ooze ,muddy  nannofossil ooze ,nannofossil ooze ,80,5Y 6/1 (gray),clay [W22_1],1,medium sand [W22_2],5,muddy [Leg339],nannofossil ooze [Leg339],,muddy   nannofossil ooze ,muddy  nannofossil ooze ,nannofossil ooze ,20,5Y 5/1 (gray),clay [W22_1],1,medium sand [W22_2],5,100,bioturbated boundary or contact,,,,,,slight_339 [DB91],3,present [A48],,Interbedding of 1) slightly lighter gray clay and  2) slightly darker (and reddish) clay with slight bioturbation and several zoophycus (between 60 and 75 cm) and chondrites burrows (~80 cm). Some pyritized or sand-filled burrows. ,80,80,,
"339-U1385A-5H-7-A, 0-60",339,U1385,A,5,5-7,H,7,A,0,60,39,39.6,muddy [Leg339],nannofossil ooze [Leg339],,muddy   nannofossil ooze ,muddy  nannofossil ooze ,nannofossil ooze ,100,5Y 7/1 (light gray),clay [W22_1],1,medium sand [W22_2],5,,,,,,,,,,,,,100,gradational contact,,,,,,slight_339 [DB91],3,,,"Light gray clay with slight bioturbation and scatter pyrite grains. Gradually changing to darker color toward the bottom. Zoophycus are abundant (12, 19, 24, and 53 cm).",100,100,,
"339-U1385A-5H-7-A, 60-68",339,U1385,A,5,5-7,H,7,A,60,68,39.6,39.68,muddy [Leg339],nannofossil ooze [Leg339],,muddy   nannofossil ooze ,muddy  nannofossil ooze ,nannofossil ooze ,100,5Y 5/1 (gray),clay [W22_1],1,medium sand [W22_2],5,,,,,,,,,,,,,100,,,,,,,slight_339 [DB91],3,,,Slight dark gray clay with slight bioturbation and scatter pyrite. Foraminifers are visible.,100,100,,
"339-U1385A-5H-CC-A, 0-12",339,U1385,A,5,5-CC,H,CC,A,0,12,39.68,39.8,muddy [Leg339],nannofossil ooze [Leg339],,muddy   nannofossil ooze ,muddy  nannofossil ooze ,nannofossil ooze ,100,5Y 5/1 (gray),clay [W22_1],1,medium sand [W22_2],5,,,,,,,,,,,,,100,bioturbated boundary or contact,,,,,,slight_339 [DB91],3,,,Slight dark gray clay with slight bioturbation and scatter pyrite. Bioturbated bottom contact. Foraminifers are visible.,100,100,,
"339-U1385A-5H-CC-A, 12-29",339,U1385,A,5,5-CC,H,CC,A,12,29,39.8,39.97,,nannofossil ooze [Leg339],with mud [Leg339],nannofossil ooze ,nannofossil ooze  with mud ,nannofossil ooze   with mud ,100,5Y 7/1 (light gray),clay [W22_1],1,medium sand [W22_2],5,,,,,,,,,,,,,100,,,,,,,slight_339 [DB91],3,,,Light gray interval with slight bioturbation. Foraminifers are visible.,100,100,,
"339-U1385A-6H-1-A, 0-39",339,U1385,A,6,6-1,H,1,A,0,39,39.5,39.89,muddy [Leg339],nannofossil ooze [Leg339],,muddy   nannofossil ooze ,muddy  nannofossil ooze ,nannofossil ooze ,100,10YR 6/1 (gray),clay [W22_1],1,medium sand [W22_2],5,,,,,,,,,,,,,100,sharp contact,,,,,,slight_339 [DB91],3,,,Slightly reddish. Mostly disturbed by coring. Basal contact is sharp but more likely chemical alteration.,100,100,,
"339-U1385A-6H-1-A, 39-150",339,U1385,A,6,6-1,H,1,A,39,150,39.89,41,,nannofossil ooze [Leg339],with mud [Leg339],nannofossil ooze ,nannofossil ooze  with mud ,nannofossil ooze   with mud ,100,5Y 6/1 (gray),clay [W22_1],1,medium sand [W22_2],5,,,,,,,,,,,,,100,,,,,,,slight_339 [DB91],3,,,"Lighter gray clay, slightly bioturbated. Occasionally pyritized burrows. Foraminifers are visible.",100,100,,
"339-U1385A-6H-2-A, 0-61",339,U1385,A,6,6-2,H,2,A,0,61,41,41.61,,nannofossil ooze [Leg339],with mud [Leg339],nannofossil ooze ,nannofossil ooze  with mud ,nannofossil ooze   with mud ,100,5Y 6/1 (gray),clay [W22_1],1,medium sand [W22_2],5,,,,,,,,,,,,,100,bioturbated boundary or contact,,,,,,slight_339 [DB91],3,,,"Lighter gray clay, slightly bioturbated. Occasionally pyritized burrows. Foraminifers are visible. Some reddish or greenish mottles. Occasionally pyritized burrows.",100,100,,
"339-U1385A-6H-2-A, 61-127",339,U1385,A,6,6-2,H,2,A,61,127,41.61,42.27,silty-muddy [Leg339],nannofossil ooze [Leg339],,silty-muddy   nannofossil ooze ,silty-muddy  nannofossil ooze ,nannofossil ooze ,100,10Y 5/1 (greenish gray),clay [W22_1],1,medium sand [W22_2],5,,,,,,,,,,,,,100,bioturbated boundary or contact,,,,,,slight_339 [DB91],3,,,"Greenish gray bioturbated mud, some lighter burrow fills, Some lighter borrow fills and pyrite burrow fills.",100,100,,
