Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],MAJ Lith. Prefix,MAJ Lith. Principal name,Texture Rank [read only],MAJ Lith. prefix+name [read only],Lithification,Lithification rank [read only],MAJ Lith. color,MAJ Lith. ave. grain size ,Grain size rank [read only],Skeletal components MAJOR,Skeletal components MAJOR comment,Skeletal components INTERMEDIATE,Skeletal components INTERMEDIATE comment,Skeletal components MINOR,Skeletal components MINOR comment,Non-skeletal components,Non-skeletal components comment,Sedimentary structure,Diagenetic structure,Diagenetic structure comment,Layer or bedding thickness,Bioturbation intensity,Bioturbation intensity rank [read only],Bioturbation type,Bottom contact or boundary definition,Bottom contact or boundary attitude,General interval comment,Ship File Links,Shore File Links,File Data
359-U1465C-4F-3-A,0,94,67.14,68.08,,packstone,3,packstone,unlithified,1,2.5Y 6/3 (light yellowish brown),medium sand,5,foraminifera (benthic),,foraminifera (planktic),,shell fragment,,,,,,,,absent,0,,,,"PACKSTONE with benthic and planktic foraminifera Coarsening up. Moderate- to well-sorted. Fine to medium-grained. Other skeletal grains: Otolith (F), gastropod (P), Bryozoan (F)",,,
359-U1465C-4F-CC-A,0,15,68.08,68.23,,packstone,3,packstone,unlithified,1,2.5Y 7/3 (pale yellow),medium sand,5,foraminifera (benthic),,foraminifera (planktic),,shell fragment,,,,,,,,absent,0,,,,"PACKSTONE with benthic and planktic foraminifera Coarsening up. Moderate- to well-sorted. Fine to medium-grained. Other skeletal grains: Otolith (F), gastropod (P), Bryozoan (F)",,,
359-U1465C-5F-1-A,0,62,69.1,69.72,,packstone,3,packstone,unlithified,1,2.5Y 7/3 (pale yellow),medium sand,5,foraminifera (benthic),,foraminifera (planktic),,bryozoa,,,,,,,,absent,0,,,,"PACKSTONE with benthic and planktic foraminifera. Fine- to medium grained, moderately sorted. Other skeletal grains: Bryozoan (F), Otolith (F), gastropod (P),",,,
359-U1465C-5F-1-A,62,80,69.72,69.9,,rudstone,6,rudstone,unlithified,1,2.5Y 8/2 (pale yellow),granule,8,foraminifera (benthic),,foraminifera (planktic),,bryozoa,,,,,,,,absent,0,,,,"RUDSTONE with benthic and planktic foraminifera. Very coarse to granular grained, moderately sorted. Other skeletal grains: pteropods (C), bioclasts (P).",,,
359-U1465C-5F-1-A,80,125,69.9,70.35,,packstone,3,packstone,unlithified,1,2.5Y 7/3 (pale yellow),medium sand,5,foraminifera (benthic),,foraminifera (planktic),,bryozoa,,,,,,,,absent,0,,,,"PACKSTONE with benthic and planktic foraminifera. Medium grained, well-sorted. Other skeletal grains: Bryozoan (F), Otolith (F), gastropod (P), pteropods (C), bioclasts (P)",,,
359-U1465C-5F-2-A,0,148,70.35,71.83,,packstone,3,packstone,unlithified,1,2.5Y 7/3 (pale yellow),medium sand,5,foraminifera (benthic),,foraminifera (planktic),,bryozoa,,,,,,,,absent,0,,,,"PACKSTONE with benthic and planktic foraminifera. Medium grained, well-sorted. Other skeletal grains: Bryozoan (F), Otolith (F), gastropod (P), pteropods (C), bioclasts (P)",,,
359-U1465C-5F-3-A,0,73,71.83,72.56,,packstone,3,packstone,unlithified,1,2.5Y 7/3 (pale yellow),medium sand,5,foraminifera (benthic),,foraminifera (planktic),,bryozoa,,,,,,,,absent,0,,,,"PACKSTONE with benthic and planktic foraminifera. Medium grained, well-sorted. Other skeletal grains: Bryozoan (F), Otolith (F), gastropod (P), pteropods (C), bioclasts (P)",,,
359-U1465C-5F-CC-A,0,10,72.56,72.66,,packstone,3,packstone,unlithified,1,2.5Y 7/3 (pale yellow),medium sand,5,foraminifera (benthic),,foraminifera (planktic),,bryozoa,,,,,,,,absent,0,,,,"PACKSTONE with benthic and planktic foraminifera. Medium grained, well-sorted. Other skeletal grains: Bryozoan (F), Otolith (F), gastropod (P), pteropods (C), bioclasts (P)",,,
359-U1465C-6F-1-A,0,22,73.8,74.02,,grainstone,4,grainstone,unlithified,1,2.5Y 7/3 (pale yellow),medium sand,5,foraminifera (benthic),,foraminifera (planktic),,bryozoa,,,,,,,,absent,0,,,,"Cave-in. GRAINSTONE with benthic and planktic foraminifera. Medium- to coarse-grained, poorly-sorted.",,,
359-U1465C-6F-1-A,22,106,74.02,74.86,,rudstone,6,rudstone,unlithified,1,10YR 6/2 (light brownish gray),gravel,9,foraminifera (benthic),,foraminifera (planktic),,Halimeda,,,,,,,,absent,0,,,,"CAVE IN containing bioclasts, bivalves, gastropods and grain aggregates.",,,
359-U1465C-6F-CC-A,0,10,74.86,74.96,,rudstone,6,rudstone,unlithified,1,10YR 6/2 (light brownish gray),gravel,9,foraminifera (benthic),,foraminifera (planktic),,Halimeda,,,,,,,,absent,0,,,,"CAVE IN containing bioclasts, bivalves, gastropods and grain aggregates.",,,
359-U1465C-8F-1-A,0,15,80.2,80.35,,grainstone,4,grainstone,lithified,5,2.5Y 7/3 (pale yellow),medium sand,5,foraminifera (benthic),,foraminifera (planktic),,,,,,,,,,absent,0,,,,"GRAINSTONE with benthic and planktic foraminifera. Medium- to coarse-grained, poorly-sorted.",,,
359-U1465C-8F-1-A,15,149,80.35,81.69,,rudstone,6,rudstone,unlithified,1,10YR 6/2 (light brownish gray),gravel,9,foraminifera (benthic),,foraminifera (planktic),,Halimeda,,,,,,,,absent,0,,,,"CAVE IN containing bioclasts, bivalves, gastropods and grain aggregates, coral fragments, otoliths.",,,
359-U1465C-8F-CC-A,0,11,81.69,81.8,,rudstone,6,rudstone,unlithified,1,10YR 6/2 (light brownish gray),gravel,9,foraminifera (benthic),,foraminifera (planktic),,Halimeda,,,,,,,,absent,0,,,,"CAVE IN containing bioclasts, bivalves, gastropods and grain aggregates, coral fragments (2 species), otoliths, pteropods.",,,
359-U1465C-9X-CC-A,0,23,81.8,82.03,,rudstone,6,rudstone,unlithified,1,10YR 6/2 (light brownish gray),medium sand,5,foraminifera (benthic),,foraminifera (planktic),,,,,,,,,,absent,0,,,,CAVE IN and flow-in containing bioclasts and red algae.,,,
359-U1465C-10X-1-A,0,34,89.9,90.24,dolomitic,boundstone,8,dolomitic boundstone,lithified,5,10YR 7/3 (very pale brown),medium sand,5,foraminifera (benthic),,red algae,,coral (massive),Fragments,,,,mold,,,absent,0,,,,"BOUNDSTONE. Medium- to coarse-grained. Red algae encrusting grains. Red algae and coral fragments (A), bivalves (C), gastropods (P), benthic foraminifera, Halimeda fragments, bryozoans (F). Reacts with HCL. Moldic porosity.",,,
359-U1465C-11X-1-A,0,18,99.6,99.78,dolomitic,boundstone,8,dolomitic boundstone,lithified,5,10YR 7/1 (light gray),medium sand,5,bivalve,,red algae,,coral (massive),Fragments,,,,mold,,,absent,0,,,,"BOUNDSTONE. Medium- to coarse-grained. Red algae encrusting grains. Red algae and coral fragments (A), bivalves (C), gastropods (P), benthic foraminifera, Halimeda fragments, bryozoans (F). Reacts with HCL. Moldic porosity.",,,
359-U1465C-11X-1-A,18,40,99.78,100,,mudstone,1,mudstone,unlithified,1,10YR 8/1 (white),very fine sand,3,,,,,,,,,,,,,absent,0,,,,MUDSTONE. Very fine-grained pulverized rock due to drilling disturbance.,,,
359-U1465C-12X-1-A,0,14,109.3,109.44,dolomitic,boundstone,8,dolomitic boundstone,lithified,5,10YR 7/3 (very pale brown),medium sand,5,coral (massive),fragments,bivalve,,red algae,,,,,mold,,,absent,0,,,,BOUNDSTONE. Medium- to coarse-grained. Bivalves and coral fragments (C). Moldic porosity.,,,
359-U1465C-13X-CC-A,0,9,114,114.09,dolomitic,floatstone,5,dolomitic floatstone,lithified,5,10YR 7/3 (very pale brown),medium sand,5,red algae,fragments,foraminifera (benthic),,foraminifera (small benthic),,,,,mold,,,absent,0,,,,"FLOATSTONE. Medium- to gravel. Encrusting red algae (C), benthic foraminifera, gastropods (P), bryozoans (P). Moldic porosity.",,,
359-U1465C-15F-1-A,0,91,123.7,124.61,,grainstone,4,grainstone,unlithified,1,10YR 7/1 (light gray),gravel,9,foraminifera (benthic),,foraminifera (planktic),,bivalve,fragmented,,,,,,,absent,0,,,,"CAVE IN containing bioclasts, bivalves, grain aggregates, and coral fragments.",,,
359-U1465C-15F-2-A,0,76,124.61,125.37,,floatstone,5,floatstone,unlithified,1,10YR 7/1 (light gray),medium sand,5,coral (massive),fragments,foraminifera (planktic),,bivalve,fragmented,,,,,,,absent,0,,,,"CAVE IN containing bioclasts, bivalves, grain aggregates, and coral fragments. Possibly reef facies (>15% coral fragments).",,,
359-U1465C-15F-CC-A,0,13,125.37,125.5,,floatstone,5,floatstone,unlithified,1,10YR 8/1 (white),medium sand,5,coral (massive),,,,,,,,,,,,absent,0,,,,"CAVE IN containing bioclasts, bivalves, grain aggregates, and coral fragments. Possibly reef facies (>15% coral fragments).",,,
359-U1465C-16X-CC-A,0,19,125.6,125.79,dolomitic,floatstone,5,dolomitic floatstone,lithified,5,10YR 7/1 (light gray),medium sand,5,bivalve,,coral (massive),fragmented,red algae,,,,,mold,,,absent,0,,,,"FLOATSTONE. Medium- to gravel. Bivalves (A), red algae (C), benthic foraminifera (P) gastropods (F). Moldic porosity. Reacts with HCl.",,,
359-U1465C-17X-CC-A,0,42,135.3,135.72,dolomitic,floatstone,5,dolomitic floatstone,lithified,5,10YR 7/1 (light gray),medium sand,5,bivalve,,coral (massive),fragmented,red algae,,,,,mold,,,absent,0,,,,"FLOATSTONE. Medium- to gravel. Bivalves (A), red algae (C), benthic foraminifera (P) gastropods (F). Moldic porosity. Reacts with HCl.",,,
359-U1465C-17X-CC-A,47,60,135.77,135.9,,mudstone,1,mudstone,unlithified,1,10YR 8/1 (white),very fine sand,3,,,,,,,,,,,,,absent,0,,,,MUDSTONE. Very fine-grained pulverized rock due to drilling disturbance.,,,
359-U1465C-18X-CC-A,0,22,145,145.22,dolomitic,floatstone,5,dolomitic floatstone,lithified,5,10YR 8/1 (white),medium sand,5,foraminifera (benthic),,bivalve,fragmented,red algae,,,,,mold,,,absent,0,,,,"GRAINSTONE to PACKSTONE. Medium- to coarse-grained. Bivalves (A; Chlamys bivalve identified), red algae (C). Moldic porosity. Reacts with HCl.",,,
359-U1465C-20X-1-A,0,11,164.6,164.71,,mudstone,1,mudstone,unlithified,1,10YR 8/1 (white),very fine sand,3,,,,,,,,,,,,,absent,0,,,,MUDSTONE. Very fine-grained pulverized rock due to drilling disturbance.,,,
359-U1465C-20X-1-A,15,53,164.75,165.13,,mudstone,1,mudstone,unlithified,1,10YR 8/1 (white),very fine sand,3,,,,,,,,,,,,,absent,0,,,,MUDSTONE. Very fine-grained pulverized rock due to drilling disturbance.,,,
359-U1465C-21X-CC-A,5,37,174.45,174.77,,mudstone,1,mudstone,unlithified,1,10YR 8/1 (white),very fine sand,3,,,,,,,,,,,,,absent,0,,,,MUDSTONE. Very fine-grained pulverized rock due to drilling disturbance.,,,
359-U1465C-22X-CC-A,0,28,184.2,184.48,dolomitic,packstone,3,dolomitic packstone,lithified,5,10YR 7/3 (very pale brown),medium sand,5,foraminifera (benthic),,bivalve,,red algae,,,,,,,,absent,0,,,,"PACKSTONE. Medium-grained, Majority of grains do not preserve main features well. Diagenetically altered. No reaction with HCl",,,
359-U1465C-23X-1-A,0,16,194,194.16,,mudstone,1,mudstone,unlithified,1,10YR 8/1 (white),very fine sand,3,,,,,,,,,,,,,absent,0,,,,MUDSTONE. Very fine-grained pulverized rock due to drilling disturbance.,,,
359-U1465C-23X-1-A,16,20,194.16,194.2,dolomitic,grainstone,4,dolomitic grainstone,lithified,5,10YR 6/2 (light brownish gray),coarse sand,6,foraminifera (benthic),,,,,,,,,,,,absent,0,,,,"GRAINSTONE. Coarse-grained, moderately- to well-sorted.",,,
359-U1465C-23X-1-A,20,36,194.2,194.36,,grainstone,4,grainstone,unlithified,1,10YR 8/1 (white),very fine sand,3,,,,,,,,,,,,,absent,0,,,,MUDSTONE. Very fine-grained pulverized rock due to drilling disturbance.,,,
359-U1465C-24X-1-A,0,7,203.8,203.87,dolomitic,rudstone,6,dolomitic rudstone,lithified,5,2.5y 8/2 (pale yellow),granule,8,foraminifera (large benthic),,calcareous bioclast,,,,,,,,,,absent,0,,,,"RUDSTONE. Coarse-grained to granular. Poorly-sorted. Foraminifera (large benthic) (A), bioclastic grains (C). Majority of grains do not preserve main features well. Weak reaction with HCl in pores.",,,
359-U1465C-24X-1-A,7,32,203.87,204.12,dolomitic,floatstone,5,dolomitic floatstone,partially lithified,3,N 9 (white),granule,8,calcareous bioclast,,,,,,,,,,,,absent,0,,,,FLOATSTONE. Medium- to Granule-grained. Very poorly-sorted. Bioclastic grains (A). Pulverized rock due to drilling disturbance.,,,
359-U1465C-25X-1-A,0,6,213.6,213.66,dolomitic,rudstone,6,dolomitic rudstone,lithified,5,10yr 8/2 (very pale brown),granule,8,calcareous bioclast,,foraminifera (large benthic),,,,,,,,,,absent,0,,,,"RUDSTONE. Coarse- to granule-grained. Poorly- to moderately- sorted. Foraminifera (large benthic) (F), bioclastic grains (A). Majority of grains do not preserve main features well. Weak reaction with HCl in pores.",,,
359-U1465C-25X-1-A,6,26,213.66,213.86,dolomitic,floatstone,5,dolomitic floatstone,partially lithified,3,n 9 (white),coarse sand,6,calcareous bioclast,,,,,,,,,,,,absent,0,,,,FLOATSTONE. Medium- to Granule-grained. Very poorly-sorted. Bioclastic grains (A). Pulverized rock due to drilling disturbance.,,,
359-U1465C-26X-1-A,0,9,223.4,223.49,dolomitic,grainstone,4,dolomitic grainstone,lithified,5,10yr 8/2 (very pale brown),medium sand,5,calcareous bioclast,,foraminifera (large benthic),,,,,,,,,,absent,0,,,,"GRAINSTONE. Medium- to coarse-grained. Moderately-sorted. Foraminifera (large benthic) (F), bioclastic grains (A). Majority of grains do not preserve main features well. No reaction with HCl.",,,
