Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Sample domain number (if >1 domain),Sample domain name (if >1 domain),Domain relative abundance [%],Lithology Prefix,Lithology Principal name,Lithology Suffix,Lith. prefix+name+suffix,Lithological Accessories 1,Lithological Accessories 2,Lithology color,Layer/Beddding, Lamination,Grading,Other sedimentary feature,Bedding thickness,Lithology avg. grain size ,Lithology avg. grain size rank,Diagenetic constituent,Diagenetic constituent composition,Bioturbation intensity,Bioturbation intensity rank,General interval comment,Bottom contact or boundary type,Bottom contact geometry,Bottom contact definition,Clasts abundance,Clasts [%],Clast -  grain size,Diagenetic structure,Macrofossil,Macrofossil abundance name,Lithology prefix + name,Lithology name+suffix,Ship File Links,Shore File Links,File Data
369-U1513A-2H-3-A,0,150,8.33,9.83,I,,,,,nannofossil ooze,,nannofossil ooze,,,GLEY 1 7/10Y (light greenish grey),massive [BJ84],,,,,very fine sand [W22_2],3,,,none,0,,,,,,,,,,,nannofossil ooze,nannofossil ooze,,,
369-U1513A-2H-4-A,0,75,9.83,10.58,I,,,,,calcareous ooze,with sponge spicules,calcareous ooze with sponge spicules,,,GLEY 1 7/10Y (light greenish grey),massive [BJ84],,,,,clay [W22_1],1,,,none,0,,,,,,,,,,,calcareous ooze,calcareous ooze with sponge spicules,,,
369-U1513A-2H-4-A,75,123,10.58,11.06,I,,,,,calcareous ooze,with sponge spicules,calcareous ooze with sponge spicules,,,GLEY 1 8/N (white),massive [BJ84],,,,,clay [W22_1],1,,,none,0,,,,,,,,,,,calcareous ooze,calcareous ooze with sponge spicules,,,
369-U1513A-2H-5-A,0,73,11.33,12.06,I,,,,,nannofossil ooze,,nannofossil ooze,,,GLEY 1 8/N (white),massive [BJ84],,,,,clay [W22_1],1,,,none,0,,,,,,,,,,,nannofossil ooze,nannofossil ooze,,,
369-U1513A-2H-5-A,73,139,12.06,12.72,I,,,,,nannofossil ooze,,nannofossil ooze,,,GLEY 1 8/10Y (light greenish gray),massive [BJ84],,,,,clay [W22_1],1,,,none,0,,,,,,,,,,,nannofossil ooze,nannofossil ooze,,,
369-U1513A-2H-6-A,0,100,12.82,13.82,I,,,,,nannofossil ooze,,nannofossil ooze,,,GLEY 1 7/10Y (light greenish grey),massive [BJ84],,,,,very fine sand [W22_2],3,,,none,0,,,,,,,,,,,nannofossil ooze,nannofossil ooze,,,
369-U1513A-2H-7-A,0,81,13.82,14.63,I,,,,,nannofossil ooze,,nannofossil ooze,,,GLEY 1 7/10Y (light greenish grey),massive [BJ84],,,,,very fine sand [W22_2],3,,,none,0,,,,,,,,,,,nannofossil ooze,nannofossil ooze,,,
369-U1513A-3H-1-A,0,136,14.8,16.16,I,,,,,nannofossil ooze,,nannofossil ooze,,,2.5Y 8/1 (white),massive [BJ84],,,,,very fine sand [W22_2],3,,,none,0,,gradational boundary or contact,gradational,gradational,,,,,,,nannofossil ooze,nannofossil ooze,,,
369-U1513A-3H-1-A,136,150,16.16,16.3,I,,,,,nannofossil ooze,,nannofossil ooze,,,2.5Y 7/1 (light gray),massive [BJ84],,,,,fine sand [W22_2],4,,,none,0,Very fine black grains present,,,,,,,,,,nannofossil ooze,nannofossil ooze,,,
369-U1513A-3H-2-A,0,14,16.3,16.44,I,,,,,nannofossil ooze,,nannofossil ooze,,,GLEY 1 6/N (gray),massive [BJ84],,,,,very fine sand [W22_2],3,,,none,0,Very fine black grains present,sharp boundary or contact,straight,sharp,,,,,,,nannofossil ooze,nannofossil ooze,,,
369-U1513A-3H-2-A,14,129,16.44,17.59,I,,,,,nannofossil ooze,with sponge spicules,nannofossil ooze with sponge spicules,,,2.5Y 8.5/1 (white),massive [BJ84],,,,,very fine sand [W22_2],3,,,none,0,,,,,,,,,,,nannofossil ooze,nannofossil ooze with sponge spicules,,,
369-U1513A-3H-2-A,129,150,17.59,17.80,,,,,,calcareous ooze,with sponge spicules,calcareous ooze with sponge spicules,,,GLEY 1 7/10Y (light greenish grey),massive [BJ84],,,,,medium sand [W22_2],5,,,none,0,Very fine black grains present,color boundary or contact,straight-irregular,sharp to gradational,,,,,,,,,,,
369-U1513A-3H-3-A,0,41,17.8,18.21,I,,,,,calcareous ooze,with sponge spicules,calcareous ooze with sponge spicules,,,GLEY 1 7/10Y (light greenish grey),massive [BJ84],,,,,medium sand [W22_2],5,,,none,0,Very fine black grains present,color boundary or contact,straight-irregular,sharp to gradational,,,,,,,calcareous ooze,calcareous ooze with sponge spicules,,,
369-U1513A-3H-3-A,41,51,18.21,18.31,I,,,,,calcareous ooze,with sponge spicules,calcareous ooze with sponge spicules,,,2.5Y 8/1 (white),massive [BJ84],,,,,silt [W22_1],2,,,none,0,,,,,,,,,,,calcareous ooze,calcareous ooze with sponge spicules,,,
369-U1513A-3H-3-A,51,60,18.31,18.4,I,,,,,calcareous ooze,with sponge spicules,calcareous ooze with sponge spicules,,,,,,,,,,,,,,0,Interval destroyed by drilling disturbance,,,,,,,,,,calcareous ooze,calcareous ooze with sponge spicules,,,
369-U1513A-3H-3-A,60,100,18.4,18.8,I,,,,,calcareous ooze,,calcareous ooze,,,2.5YR 7/1 (light reddish gray),massive [BJ84],,,,,silt [W22_1],2,,,none,0,,color boundary or contact,gradational,gradational,,,,,,,calcareous ooze,calcareous ooze,,,
369-U1513A-3H-3-A,100,120,18.8,19,I,,,,,calcareous ooze,,calcareous ooze,,,2.5Y 8/1 (white),massive [BJ84],,,,,silt [W22_1],2,,,none,0,,,,,,,,,,,calcareous ooze,calcareous ooze,,,
369-U1513A-3H-3-A,120,130,19,19.1,I,,,,,calcareous ooze,,calcareous ooze,,,2.5YR 7/1 (light reddish gray),massive [BJ84],,,,,silt [W22_1],2,,,none,0,,,,,,,,,,,calcareous ooze,calcareous ooze,,,
369-U1513A-3H-3-A,130,149,19.1,19.29,I,,,,,calcareous ooze,,calcareous ooze,,,2.5Y 8/1 (white),massive [BJ84],,,,,silt [W22_1],2,,,none,0,,,,,,,,,,,calcareous ooze,calcareous ooze,,,
369-U1513A-3H-4-A,0,17,19.3,19.47,I,,,,,calcareous ooze,,calcareous ooze,,,2.5Y 8/1 (white),massive [BJ84],,,,,silt [W22_1],2,,,none,0,,color boundary or contact,gradational,gradational,,,,,,,calcareous ooze,calcareous ooze,,,
369-U1513A-3H-4-A,17,25,19.47,19.55,I,,,,,calcareous ooze,,calcareous ooze,,,2.5YR 7/1 (light reddish gray),massive [BJ84],,,,,silt [W22_1],2,,,none,0,,color boundary or contact,gradational,gradational,,,,,,,calcareous ooze,calcareous ooze,,,
369-U1513A-3H-4-A,25,139,19.55,20.69,I,,,,,calcareous ooze,,calcareous ooze,,,2.5Y 8/1 (white),massive [BJ84],,,,,silt [W22_1],2,,,none,0,,,,,,,,,,,calcareous ooze,calcareous ooze,,,
369-U1513A-3H-5-A,0,12,20.8,20.92,I,,,,,calcareous ooze,,calcareous ooze,,,2.5Y 8/1 (white),massive [BJ84],,,,,silt [W22_1],2,,,none,0,,,,,,,,,,,calcareous ooze,calcareous ooze,,,
369-U1513A-3H-5-A,12,21,20.92,21.01,I,,,,,calcareous ooze,,calcareous ooze,,,GLEY 1 7/10Y (light greenish grey),massive [BJ84],,,,,medium sand [W22_2],5,,,none,0,,color boundary or contact,gradational,gradational,,,,,,,calcareous ooze,calcareous ooze,,,
369-U1513A-3H-5-A,21,44,21.01,21.24,I,,,,,calcareous ooze,,calcareous ooze,,,2.5Y 8/1 (white),massive [BJ84],,,,,fine sand [W22_2],4,,,none,0,,color boundary or contact,gradational,gradational,,,,,,,calcareous ooze,calcareous ooze,,,
369-U1513A-3H-5-A,44,54,21.24,21.34,I,,,,,calcareous ooze,,calcareous ooze,,,2.5YR 7/1 (light reddish gray),massive [BJ84],,,,,medium sand [W22_2],5,,,none,0,,color boundary or contact,gradational,gradational,,,,,,,calcareous ooze,calcareous ooze,,,
369-U1513A-3H-5-A,54,74,21.34,21.54,I,,,,sponge spicule-rich,calcareous ooze,,sponge spicule-rich calcareous ooze,,,5Y 8/1 (white),massive [BJ84],,,,,medium sand [W22_2],5,,,none,0,,color boundary or contact,gradational,gradational,,,,,,,sponge spicule-rich calcareous ooze,calcareous ooze,,,
369-U1513A-3H-5-A,74,95,21.54,21.75,I,,,,,calcareous ooze,,calcareous ooze,,,5Y 8/2 (pale yellow),massive [BJ84],,,,,fine sand [W22_2],4,,,none,0,,color boundary or contact,irregular,sharp,,,,,,,calcareous ooze,calcareous ooze,,,
369-U1513A-3H-5-A,95,112,21.75,21.92,I,,,,,calcareous ooze,,calcareous ooze,,,2.5Y 7/1 (light gray),massive [BJ84],,,,,medium sand [W22_2],5,,,none,0,,gradational boundary or contact,gradational,sharp,,,,,,,calcareous ooze,calcareous ooze,,,
369-U1513A-3H-5-A,112,131,21.92,22.11,I,,,,,calcareous ooze,,calcareous ooze,,,2.5Y 8/2 (pale yellow),massive [BJ84],,,,,fine sand [W22_2],4,,,none,0,,,,,,,,,,,calcareous ooze,calcareous ooze,,,
369-U1513A-3H-6-A,0,75,22.11,22.86,I,,,,,calcareous ooze,,calcareous ooze,,,2.5Y 8/2 (pale yellow),massive [BJ84],,,,,fine sand [W22_2],4,,,none,0,,,,,,,,,,,calcareous ooze,calcareous ooze,,,
369-U1513A-3H-CC-A,0,5,22.86,22.91,I,,,,,calcareous ooze,,calcareous ooze,,,2.5Y 8/2 (pale yellow),massive [BJ84],,,,,fine sand [W22_2],4,,,none,0,Very fine black grains disseminated through this interval.,,,,,,,,,,calcareous ooze,calcareous ooze,,,
369-U1513A-4H-1-A,0,29,24.3,24.59,I,,,,,calcareous ooze,,calcareous ooze,,,GLEY 1 8/N (white),,,,,,,,,,,0,Interval destroyed by drilling disturbance,,,,,,,,,,calcareous ooze,calcareous ooze,,,
369-U1513A-4H-1-A,29,126,24.59,25.56,I,,,,,calcareous ooze,with sponge spicules,calcareous ooze with sponge spicules,,,GLEY 1 8/N (white),massive [BJ84],,,,,fine sand [W22_2],4,,,none,0,,color boundary or contact,straight,gradational,,,,,,,calcareous ooze,calcareous ooze with sponge spicules,,,
369-U1513A-4H-1-A,126,142,25.56,25.72,I,,,,,calcareous ooze,,calcareous ooze,,,GLEY 1 5/5G (greenish gray),massive [BJ84],,,,,fine sand [W22_2],4,,,none,0,,color boundary or contact,straight,gradational,,,,,,,calcareous ooze,calcareous ooze,,,
369-U1513A-4H-1-A,142,147,25.72,25.77,I,,,,sponge spicule-rich,calcareous ooze,,sponge spicule-rich calcareous ooze,,,GLEY 1 6/N (gray),massive [BJ84],,,,,fine sand [W22_2],4,,,none,0,Very fine black grains present,sharp boundary or contact,straight,sharp,,,,,,,sponge spicule-rich calcareous ooze,calcareous ooze,,,
369-U1513A-4H-1-A,147,150,25.77,25.8,I,,,,,calcareous ooze,with sponge spicules,calcareous ooze with sponge spicules,,,GLEY 1 8/N (white),massive [BJ84],,,,,fine sand [W22_2],4,,,none,0,,,,,,,,,,,calcareous ooze,calcareous ooze with sponge spicules,,,
369-U1513A-4H-2-A,0,69,25.8,26.49,I,,,,,calcareous ooze,with sponge spicules,calcareous ooze with sponge spicules,,,GLEY 1 8/N (white),massive [BJ84],,,,,fine sand [W22_2],4,,,none,0,,color boundary or contact,irregular-stepped,gradational,,,,,,,calcareous ooze,calcareous ooze with sponge spicules,,,
369-U1513A-4H-2-A,69,97,26.49,26.77,I,,,,,calcareous ooze,with sponge spicules,calcareous ooze with sponge spicules,,,GLEY 1 8/5GY (light greenish gray),massive [BJ84],,,,,very fine sand [W22_2],3,,,none,0,,,,,,,,,,,calcareous ooze,calcareous ooze with sponge spicules,,,
369-U1513A-4H-2-A,97,102,26.77,26.82,I,,,,,calcareous ooze,with sponge spicules,calcareous ooze with sponge spicules,,,GLEY 1 6/5GY (greenish gray),massive [BJ84],,normal grading,,,medium sand [W22_2],5,,,none,0,Normal grading from 69 to 102 m,sharp boundary or contact,sharp,sharp,,,,,,,calcareous ooze,calcareous ooze with sponge spicules,,,
369-U1513A-4H-2-A,102,130,26.82,27.1,I,,,,,calcareous ooze,with sponge spicules,calcareous ooze with sponge spicules,,,GLEY 1 8/5GY (light greenish gray),massive [BJ84],,,,,fine sand [W22_2],4,,,none,0,,color boundary or contact,gradational,gradational,,,,,,,calcareous ooze,calcareous ooze with sponge spicules,,,
369-U1513A-4H-2-A,130,150,27.1,27.3,I,,,,,calcareous ooze,with sponge spicules,calcareous ooze with sponge spicules,pyrite,,GLEY 1 8/10Y (light greenish gray),massive [BJ84],,,,,silt [W22_1],2,,,none,0,burrow infilled by pyrite (?),,,,,,,,,,calcareous ooze,calcareous ooze with sponge spicules,,,
369-U1513A-4H-3-A,0,57,27.3,27.87,I,,,,,calcareous ooze,with sponge spicules,calcareous ooze with sponge spicules,,,2.5Y 7/2 (light gray),massive [BJ84],,,,,silt [W22_1],2,,,none,0,,color boundary or contact,gradational,gradational,,,,,,,calcareous ooze,calcareous ooze with sponge spicules,,,
369-U1513A-4H-3-A,57,73,27.87,28.03,I,,,,,calcareous ooze,with sponge spicules,calcareous ooze with sponge spicules,,,GLEY 1 6/10GY (greenish gray),massive [BJ84],,normal grading,,,fine sand [W22_2],4,,,none,0,Interval rich inf foraminifers,sharp boundary or contact,irregular,sharp,,,,,,,calcareous ooze,calcareous ooze with sponge spicules,,,
369-U1513A-4H-3-A,73,150,28.03,28.8,I,,,,,calcareous ooze,with sponge spicules,calcareous ooze with sponge spicules,,,GLEY 1 8/N (white),massive [BJ84],,,,,very fine sand [W22_2],3,,,none,0,"between 110-114 cm, there is a black purplish interval",,,,,,,,,,calcareous ooze,calcareous ooze with sponge spicules,,,
369-U1513A-4H-4-A,0,113,28.8,29.93,I,,,,,calcareous ooze,with sponge spicules,calcareous ooze with sponge spicules,pyrite,,GLEY 1 8/N (white),massive [BJ84],,,,,very fine sand [W22_2],3,,,none,0,,color boundary or contact,gradational,gradational,,,,,,,calcareous ooze,calcareous ooze with sponge spicules,,,
369-U1513A-4H-4-A,113,139,29.93,30.19,I,,,,,calcareous ooze,with sponge spicules,calcareous ooze with sponge spicules,,,GLEY 1 7/N (light gray),massive [BJ84],,,,,very fine sand [W22_2],3,,,none,0,,color boundary or contact,gradational,gradational,,,,,,,calcareous ooze,calcareous ooze with sponge spicules,,,
369-U1513A-4H-5-A,0,40,30.3,30.7,I,,,,,calcareous ooze,with sponge spicules,calcareous ooze with sponge spicules,,,GLEY 1 7/N (light gray),massive [BJ84],,,,,very fine sand [W22_2],3,,,none,0,,color boundary or contact,gradational,gradational,,,,,,,calcareous ooze,calcareous ooze with sponge spicules,,,
369-U1513A-4H-5-A,40,150,30.7,31.8,I,,,,,calcareous ooze,with sponge spicules,calcareous ooze with sponge spicules,,,GLEY 1 8/N (white),massive [BJ84],,,,,silt [W22_1],2,,,none,0,,,,,,,,,,,calcareous ooze,calcareous ooze with sponge spicules,,,
369-U1513A-4H-6-A,0,130,31.8,33.1,I,,,,,calcareous ooze,with sponge spicules,calcareous ooze with sponge spicules,,,GLEY 1 8/N (white),massive [BJ84],,,,,silt [W22_1],2,,,none,0,,,,,,,,,,,calcareous ooze,calcareous ooze with sponge spicules,,,
369-U1513A-4H-7-A,0,22,33.1,33.32,I,,,,,calcareous ooze,with sponge spicules,calcareous ooze with sponge spicules,,,GLEY 1 8/N (white),massive [BJ84],,,,,silt [W22_1],2,,,none,0,,color boundary or contact,gradational,gradational,,,,,,,calcareous ooze,calcareous ooze with sponge spicules,,,
369-U1513A-4H-7-A,22,39,33.32,33.49,I,,,,,calcareous ooze,with sponge spicules,calcareous ooze with sponge spicules,,,GLEY 1 8/5GY (light greenish gray),massive [BJ84],,,,,very fine sand [W22_2],3,,,none,0,,color boundary or contact,gradational,gradational,,,,,,,calcareous ooze,calcareous ooze with sponge spicules,,,
369-U1513A-4H-7-A,39,42,33.49,33.52,I,,,,sponge spicule-rich,calcareous ooze,with quartz,sponge spicule-rich calcareous ooze with quartz,,,GLEY 1 6/N (gray),massive [BJ84],,normal grading,,,very fine sand [W22_2],3,,,none,0,Interval rich inf foraminifers,sharp boundary or contact,irregular-stepped,sharp,,,,,,,sponge spicule-rich calcareous ooze,calcareous ooze with quartz,,,
369-U1513A-4H-7-A,42,51,33.52,33.61,I,,,,,calcareous ooze,,calcareous ooze,,,GLEY 1 8/N (white),massive [BJ84],,,,,silt [W22_1],2,,,none,0,,,,,,,,,,,calcareous ooze,calcareous ooze,,,
369-U1513A-4H-CC-A,0,15,33.61,33.76,I,,,,,calcareous ooze,,calcareous ooze,,,GLEY 1 8/N (white),massive [BJ84],,,,,silt [W22_1],2,,,none,0,,,,,,,,,,,calcareous ooze,calcareous ooze,,,
369-U1513A-5H-1-A,0,7,33.8,33.87,I,,,,,calcareous ooze,,calcareous ooze,,,2.5Y 8/1 (white),massive [BJ84],,,,,clay [W22_1],1,,,none,0,,color boundary or contact,irregular,diffuse,,,,,,,calcareous ooze,calcareous ooze,,,
369-U1513A-5H-1-A,7,9,33.87,33.89,I,,,,,calcareous ooze,,calcareous ooze,,,GLEY 1 6/10Y (greenish gray),massive [BJ84],,,,,clay [W22_1],1,,,none,0,,color boundary or contact,irregular,sharp,,,,,,,calcareous ooze,calcareous ooze,,,
369-U1513A-5H-1-A,9,150,33.89,35.3,I,,,,,calcareous ooze,,calcareous ooze,,,2.5Y 8/1 (white),massive [BJ84],,,,,clay [W22_1],1,,,none,0,,,,,,,,,,,calcareous ooze,calcareous ooze,,,
369-U1513A-5H-2-A,0,150,35.3,36.8,I,,,,,calcareous ooze,,calcareous ooze,,,2.5Y 8/1 (white),massive [BJ84],,,,,clay [W22_1],1,,,none,0,,,,,,,,,,,calcareous ooze,calcareous ooze,,,
369-U1513A-5H-3-A,0,150,36.8,38.3,I,,,,,calcareous ooze,,calcareous ooze,,,2.5Y 8/1 (white),massive [BJ84],,,,,clay [W22_1],1,,,none,0,,,,,,,,,,,calcareous ooze,calcareous ooze,,,
369-U1513A-5H-4-A,0,140,38.3,39.7,I,,,,,calcareous ooze,,calcareous ooze,,,2.5Y 8/1 (white),massive [BJ84],,,,,clay [W22_1],1,,,none,0,,,,,,,,,,,calcareous ooze,calcareous ooze,,,
369-U1513A-5H-5-A,0,151,39.8,41.31,I,,,,,calcareous ooze,,calcareous ooze,,,2.5Y 8/1 (white),massive [BJ84],,,,,clay [W22_1],1,,,none,0,,,,,,,,,,,calcareous ooze,calcareous ooze,,,
369-U1513A-5H-6-A,0,150,41.31,42.81,I,,,,,nannofossil ooze,,nannofossil ooze,,,2.5Y 8/1 (white),massive [BJ84],,,,,clay [W22_1],1,,,none,0,,,,,,,,,,,nannofossil ooze,nannofossil ooze,,,
369-U1513A-5H-7-A,0,68,42.81,43.49,I,,,,,calcareous ooze,,calcareous ooze,,,2.5Y 8/1 (white),massive [BJ84],,,,,clay [W22_1],1,,,none,0,,,,,,,,,,,calcareous ooze,calcareous ooze,,,
369-U1513A-5H-CC-A,0,13,43.49,43.62,I,,,,,calcareous ooze,,calcareous ooze,,,2.5Y 8/1 (white),massive [BJ84],,,,,clay [W22_1],1,,,none,0,,,,,,,,,,,calcareous ooze,calcareous ooze,,,
369-U1513A-6H-1-A,0,26,43.3,43.56,I,,,,,nannofossil ooze,,nannofossil ooze,,,2.5Y 8/2 (pale yellow),massive [BJ84],,,,,clay [W22_1],1,,,none,0,,,,,,,,,,,nannofossil ooze,nannofossil ooze,,,
369-U1513A-6H-1-A,26,133,43.56,44.63,I,,,,,nannofossil ooze,,nannofossil ooze,,,2.5Y 8/2 (pale yellow),massive [BJ84],,,,,,,,,,,Interval destroyed during drilling and can not be described.,,,,,,,,,,nannofossil ooze,nannofossil ooze,,,
369-U1513A-6H-2-A,0,59,44.63,45.22,I,,,,,,,,,,,,,,,,,,,,,,Interval void,,,,,,,,,,,,,,
369-U1513A-6H-2-A,59,128,45.22,45.91,I,,,,,nannofossil ooze,,nannofossil ooze,,,2.5Y 8/2 (pale yellow),massive [BJ84],,,,,clay [W22_1],1,,,none,0,,,,,,,,,,,nannofossil ooze,nannofossil ooze,,,
369-U1513A-6H-3-A,0,150,45.91,47.41,I,,,,,nannofossil ooze,,nannofossil ooze,,,2.5Y 8/2 (pale yellow),massive [BJ84],,,,,clay [W22_1],1,,,none,0,Flow in between 48 and 150 cm.,,,,,,,,,,nannofossil ooze,nannofossil ooze,,,
369-U1513A-6H-4-A,0,140,47.41,48.81,I,,,,,nannofossil ooze,,nannofossil ooze,,,2.5Y 8/2 (pale yellow),massive [BJ84],,,,,clay [W22_1],1,,,none,0,Flown from 0 to 150 cm.,,,,,,,,,,nannofossil ooze,nannofossil ooze,,,
369-U1513A-6H-5-A,0,151,48.91,50.42,I,,,,,nannofossil ooze,,nannofossil ooze,,,2.5Y 8/3 (pale yellow),massive [BJ84],,,,,clay [W22_1],1,,,none,0,,,,,,,,,,,nannofossil ooze,nannofossil ooze,,,
369-U1513A-6H-6-A,0,150,50.42,51.92,I,,,,,nannofossil ooze,,nannofossil ooze,,,2.5Y 8/3 (pale yellow),massive [BJ84],,,,,clay [W22_1],1,,,none,0,,,,,,,,,,,nannofossil ooze,nannofossil ooze,,,
369-U1513A-6H-7-A,0,66,51.92,52.58,I,,,,,nannofossil ooze,,nannofossil ooze,,,2.5Y 8/3 (pale yellow),massive [BJ84],,,,,clay [W22_1],1,,,none,0,,,,,,,,,,,nannofossil ooze,nannofossil ooze,,,
369-U1513A-6H-CC-A,0,20,52.58,52.78,I,,,,,nannofossil ooze,,nannofossil ooze,,,2.5Y 8/3 (pale yellow),massive [BJ84],,,,,clay [W22_1],1,,,none,0,,,,,,,,,,,nannofossil ooze,nannofossil ooze,,,
369-U1513A-7F-1-A,0,150,52.8,54.3,I,,,,,nannofossil ooze,,nannofossil ooze,,,2.5Y 8/3 (pale yellow),massive [BJ84],,,,,clay [W22_1],1,,,none,0,,,,,,,,,,,nannofossil ooze,nannofossil ooze,,,
369-U1513A-7F-2-A,0,151,54.3,55.81,I,,,,,nannofossil ooze,,nannofossil ooze,,,2.5Y 8/3 (pale yellow),massive [BJ84],,,,,clay [W22_1],1,,,none,0,,,,,,,,,,,nannofossil ooze,nannofossil ooze,,,
369-U1513A-7F-3-A,0,129,55.81,57.1,I,,,,,calcareous ooze,with sponge spicules,calcareous ooze with sponge spicules,,,2.5Y 8/3 (pale yellow),massive [BJ84],,,,,clay [W22_1],1,,,none,0,,,,,,,,,,,calcareous ooze,calcareous ooze with sponge spicules,,,
369-U1513A-7F-CC-A,0,10,57.1,57.2,I,,,,,calcareous ooze,,calcareous ooze,,,2.5Y 8/3 (pale yellow),massive [BJ84],,,,,clay [W22_1],1,,,none,0,,,,,,,,,,,calcareous ooze,calcareous ooze,,,
369-U1513A-8F-1-A,0,150,57.5,59,I,,,,,calcareous ooze,,calcareous ooze,,,2.5Y 8/2 (pale yellow),massive [BJ84],,,,,clay [W22_1],1,,,none,0,,,,,,,,,,,calcareous ooze,calcareous ooze,,,
