Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology prefix,Lithology principal name,Lithology suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color (Munsell),Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary geometry+definition [read only],Bottom contact or boundary attitude,Layer or bedding thickness,Lithology lithification,Lithology max. grain size class,Lithology max. grain size rank [read only],Grading,Sorting,Upper boundary ave. grain size class,Lowerr boundary ave. grain size class,General interval comment,Sedimentary structure,Bioturbation intensity,Bioturbation intensity rank [read only],Primary trace fossils,Secondary trace fossils,Minor trace fossils,Lithological asseccories,Diagenetic structure,Macrofossil,Macrofossil abundance name,Clasts (>2 mm) DOMINANT,Clasts (>2 mm) 2ND ORDER,DOMINANT clast roundness,Clast comments,Matrix comments,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
362-U1480F-5H-1-A,129.0,130.0,127.09,127.1,IIA,,clay,,clay,clay,clay,,GLEY 1 5/N (gray),planar,sharp,planar sharp,sub-horizontal,,unlithified,,,non-graded,poor,,,,structureless,absent,1.0,,,,,,,,,,,,,,,,362,U1480,F,5,H,1,A
362-U1480F-5H-2-A,0.0,9.0,127.3,127.39,IIA,,alternating sand/mud layers,,alternating sand/mud layers,alternating sand/mud layers,alternating sand/mud layers,,GLEY 1 5/N (gray),planar,sharp,planar sharp,inclined,thin bed,unlithified,silt,2.0,normal grading,moderate,clay,silt,,planar lamination,sparse,2.0,Nereites,,,,,,,,,,,,,,,362,U1480,F,5,H,2,A
362-U1480F-5H-2-A,9.0,22.5,127.39,127.525,IIA,,fine sand,with clay,fine sand,fine sand with clay,fine sand with clay,,GLEY 1 4/N (dark gray),planar,sharp,planar sharp,horizontal,,unlithified,fine sand,4.0,normal grading,moderate,fine sand,silt,"this sand bed is similar to the one of section1 82-129 cm, except that it has been truncated on top (irregular sharp inclined boundary). Clay clasts from 14-19 cm. Potential internal boundary (planar sharp horizontal) at 19.5 cm",planar lamination,absent,1.0,,,,,,,,,,,,,,,,362,U1480,F,5,H,2,A
362-U1480F-5H-2-A,22.5,110.0,127.525,128.4,IIA,,alternating sand/mud layers,,alternating sand/mud layers,alternating sand/mud layers,alternating sand/mud layers,,GLEY 1 5/N (gray),planar,sharp,planar sharp,horizontal,thin bed,unlithified,silt,2.0,normal grading,moderate,silt,clay,The alternating beds are normally graded. The boundary description applies for all beds of this interval,planar lamination,sparse,2.0,Nereites,,,,,,,,,,,,,,,362,U1480,F,5,H,2,A
362-U1480F-5H-2-A,110.0,150.0,128.4,128.8,IIA,,fine sand,with clay,fine sand,fine sand with clay,fine sand with clay,,GLEY 1 4/N (dark gray),,,,,,unlithified,fine sand,4.0,normal grading,poor,clay,fine sand,Severe coring disturbance at 110-120 cm as lithology changes. Probably applies to the entire interval.,,absent,1.0,,,,,,,,,,,,,,,,362,U1480,F,5,H,2,A
362-U1480F-5H-3-A,0.0,126.0,128.8,130.06,IIA,,very fine sand,,very fine sand,very fine sand,very fine sand,,GLEY 1 4/N (dark gray),,,,,,unlithified,fine sand,4.0,non-graded,poor,,,Severe coring disturbance,,,,,,,,,,,,,,,,,,,362,U1480,F,5,H,3,A
362-U1480F-5H-4-A,0.0,134.0,130.06,131.4,IIA,,very fine sand,,very fine sand,very fine sand,very fine sand,,GLEY 1 4/N (dark gray),,,,,,unlithified,fine sand,4.0,non-graded,poor,,,Severe coring disturbance,,,,,,,,,,,,,,,,,,,362,U1480,F,5,H,4,A
362-U1480F-5H-5-A,0.0,132.0,131.4,132.72,IIA,,very fine sand,,very fine sand,very fine sand,very fine sand,,GLEY 1 4/N (dark gray),,,,,,unlithified,fine sand,4.0,non-graded,poor,,,"Severe coring disturbance. Remnant clay beds at 18-20, 39-42, 52-53, 60-70, 77-82, 113-118 cm.",,,,,,,,,,,,,,,,,,,362,U1480,F,5,H,5,A
362-U1480F-6H-1-A,0.0,8.0,132.9,132.98,IIA,,alternating sand/mud layers,,alternating sand/mud layers,alternating sand/mud layers,alternating sand/mud layers,,GLEY 1 5/N (gray),planar,sharp,planar sharp,horizontal,very thin bed,unlithified,silt,2.0,non-graded,moderate,,,coring disturbance,,,,,,,,,,,,,,,,,,,362,U1480,F,6,H,1,A
362-U1480F-6H-1-A,8.0,16.5,132.98,133.065,IIA,,fine sand,with silt,fine sand,fine sand with silt,fine sand with silt,,GLEY 1 4/N (dark gray),planar,sharp,planar sharp,horizontal,,unlithified,fine sand,4.0,non-graded,moderate,,,,structureless,absent,1.0,,,,,,,,,,,,,,,,362,U1480,F,6,H,1,A
