Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],MAJ Lith. Prefix,MAJ Lith. Principal name,Texture Rank [read only],MAJ Lith. prefix+name [read only],Lithification,Lithification rank [read only],MAJ Lith. color,MAJ Lith. ave. grain size ,Grain size rank [read only],Skeletal components MAJOR,Skeletal components MAJOR comment,Skeletal components INTERMEDIATE,Skeletal components INTERMEDIATE comment,Skeletal components MINOR,Skeletal components MINOR comment,Non-skeletal components,Non-skeletal components comment,Sedimentary structure,Diagenetic structure,Diagenetic structure comment,Layer or bedding thickness,Bioturbation intensity,Bioturbation intensity rank [read only],Bioturbation type,Bottom contact or boundary definition,Bottom contact or boundary attitude,General interval comment,Ship File Links,Shore File Links,File Data
359-U1467D-2H-CC-A,0,14,11.21,11.4,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5Y 5/2 (grayish brown),medium sand,5,foraminifera (planktic),,foraminifera (benthic),,shell fragment,,,,,,,,common,4,,,,"PACKESTONE to WACKESTONE. Unlithified medium- to fine grained foraminifera. Planktic foraminifera (A) and Benthic foraminifera (C). Bioclasts, Pteropods (C), Echinoid fragments, bivalve fragments, otoliths and organic fragments present to common. Sponge spicules (F). Poorly preserved burrows.",,,
359-U1467D-3H-1-A,0,117,11,12.17,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5Y 6/1 (gray),fine sand,4,foraminifera (planktic),,foraminifera (benthic),,shell fragment,,,,,,,,common,4,,gradational,horizontal,"PACKESTONE to WACKESTONE. Unlithified medium- to fine grained foraminifera. Planktic foraminifera (A) and Benthic foraminifera (C). Bioclasts, Pteropods (C), Echinoid fragments, bivalve fragments, otoliths and organic fragments present to common. Sponge spicules (F). Poorly preserved burrows.",,,
359-U1467D-3H-1-A,117,150,12.17,12.5,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5Y 6/2 (light brownish gray),fine sand,4,foraminifera (planktic),,foraminifera (benthic),,shell fragment,,,,,,,,moderate,3,,,,"PACKESTONE to WACKESTONE. Unlithified medium- to fine grained foraminifera. Planktic foraminifera (A) and Benthic foraminifera (C). Bioclasts, Pteropods (C), Echinoid fragments, bivalve fragments, otoliths and organic fragments present to common. Sponge spicules (F). Poorly preserved burrows.",,,
359-U1467D-3H-2-A,0,108,12.5,13.58,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5Y 6/2 (light brownish gray),fine sand,4,foraminifera (planktic),,foraminifera (benthic),,shell fragment,,,,,,,,moderate,3,,gradational,horizontal,"PACKESTONE to WACKESTONE. Unlithified medium- to fine grained foraminifera. Planktic foraminifera (A) and Benthic foraminifera (C). Bioclasts, Pteropods (C), Echinoid fragments, bivalve fragments, otoliths and organic fragments present to common. Sponge spicules (F). Poorly preserved burrows.",,,
359-U1467D-3H-2-A,108,150,13.58,14,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5Y 5/2 (grayish brown),fine sand,4,foraminifera (planktic),,foraminifera (benthic),,shell fragment,,,,,,,,moderate,3,,,,"PACKESTONE to WACKESTONE. Unlithified medium- to fine grained foraminifera. Planktic foraminifera (A) and Benthic foraminifera (C). Bioclasts, Pteropods (C), Echinoid fragments, bivalve fragments, otoliths and organic fragments present to common. Sponge spicules (F). Poorly preserved burrows.",,,
359-U1467D-3H-3-A,0,150,14,15.5,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5Y 5/2 (grayish brown),fine sand,4,foraminifera (planktic),,foraminifera (benthic),,shell fragment,,,,,,,,moderate,3,,,,"PACKESTONE to WACKESTONE. Unlithified medium- to fine grained foraminifera. Planktic foraminifera (A) and Benthic foraminifera (C). Bioclasts, Pteropods (C), Echinoid fragments, bivalve fragments, otoliths and organic fragments present to common. Sponge spicules (F). Poorly preserved burrows.",,,
359-U1467D-3H-4-A,0,150,15.5,17,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5Y 5/2 (grayish brown),fine sand,4,foraminifera (planktic),,foraminifera (benthic),,shell fragment,,,,,,,,complete,6,,,,"PACKESTONE to WACKESTONE. Unlithified medium- to fine grained foraminifera. Planktic foraminifera (A) and Benthic foraminifera (C). Bioclasts, Pteropods (C), Echinoid fragments, bivalve fragments, otoliths and organic fragments present to common. Sponge spicules (F). Poorly preserved burrows.",,,
359-U1467D-3H-5-A,0,150,17,18.5,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5Y 5/2 (grayish brown),fine sand,4,foraminifera (planktic),,foraminifera (benthic),,shell fragment,,,,,,,,common,4,,,,"PACKESTONE to WACKESTONE. Unlithified medium- to fine grained foraminifera. Planktic foraminifera (A) and Benthic foraminifera (C). Bioclasts, Pteropods (C), Echinoid fragments, bivalve fragments, otoliths and organic fragments present to common. Sponge spicules (F). Poorly preserved burrows.",,,
359-U1467D-3H-6-A,0,116,18.5,19.66,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5Y 5/2 (grayish brown),fine sand,4,foraminifera (planktic),,foraminifera (benthic),,shell fragment,,,,,,,,common,4,,,,"PACKESTONE to WACKESTONE. Unlithified medium- to fine grained foraminifera. Planktic foraminifera (A) and Benthic foraminifera (C). Bioclasts, Pteropods (C), Echinoid fragments, bivalve fragments, otoliths and organic fragments present to common. Sponge spicules (F). Poorly preserved burrows.",,,
359-U1467D-3H-CC-A,0,14,19.66,19.8,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5Y 5/2 (grayish brown),fine sand,4,foraminifera (planktic),,foraminifera (benthic),,shell fragment,,,,,,,,common,4,,,,"PACKESTONE to WACKESTONE. Unlithified medium- to fine grained foraminifera. Planktic foraminifera (A) and Benthic foraminifera (C). Bioclasts, Pteropods (C), Echinoid fragments, bivalve fragments, otoliths and organic fragments present to common. Sponge spicules (F). Poorly preserved burrows.",,,
359-U1467D-4H-1-A,0,150,20.5,22,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5Y 5/2 (grayish brown),fine sand,4,foraminifera (planktic),,foraminifera (benthic),,shell fragment,,,,,,,,common,4,,,,"PACKESTONE to WACKESTONE. Unlithified medium- to fine grained foraminifera. Planktic foraminifera (A) and Benthic foraminifera (C). Bioclasts, Pteropods (C), Echinoid fragments, bivalve fragments, otoliths and organic fragments present to common. Sponge spicules (F). Poorly preserved burrows.",,,
359-U1467D-4H-2-A,0,87,22,22.87,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5Y 5/2 (grayish brown),fine sand,4,foraminifera (planktic),,foraminifera (benthic),,shell fragment,,,,,,,,common,4,,,,"PACKESTONE to WACKESTONE. Unlithified medium- to fine grained foraminifera. Planktic foraminifera (A) and Benthic foraminifera (C). Bioclasts, Pteropods (C), Echinoid fragments, bivalve fragments, otoliths and organic fragments present to common. Sponge spicules (F). Poorly preserved burrows.",,,
359-U1467D-4H-2-A,87,150,22.87,23.5,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5Y 5/2 (grayish brown),fine sand,4,foraminifera (planktic),,foraminifera (benthic),,shell fragment,,,,,,,,common,4,Thalassinoides,,,"PACKESTONE to WACKESTONE. Unlithified medium- to fine grained foraminifera. Planktic foraminifera (A) and Benthic foraminifera (C). Bioclasts, Pteropods (C). Large burrows with Thalassinodies.",,,
359-U1467D-4H-3-A,0,18,23.5,23.68,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5Y 4/2 (dark grayish brown),fine sand,4,foraminifera (planktic),,foraminifera (benthic),,shell fragment,,,,,,,,common,4,Thalassinoides,,,"PACKESTONE to WACKESTONE. Unlithified medium- to fine grained foraminifera. Planktic foraminifera (A) and Benthic foraminifera (C). Bioclasts, Pteropods (C). Large burrows with Thalassinodies.",,,
359-U1467D-4H-3-A,18,150,23.68,25,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5Y 5/2 (grayish brown),fine sand,4,foraminifera (planktic),,foraminifera (benthic),,shell fragment,,,,,,,,common,4,Thalassinoides,,,"PACKESTONE to WACKESTONE. Unlithified medium- to fine grained foraminifera. Planktic foraminifera (A) and Benthic foraminifera (C). Bioclasts, Pteropods (C). Large burrows with Thalassinodies.",,,
359-U1467D-4H-4-A,0,150,25,26.5,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5Y 5/2 (grayish brown),very fine sand,3,foraminifera (planktic),,foraminifera (benthic),,shell fragment,,,,,,,,common,4,Thalassinoides,,,WACKESTONE. Unlithified Very fine- to fine-grained foraminifera. Planktic foraminifera (A) and Benthic foraminifera (C).,,,
359-U1467D-4H-5-A,0,71,26.5,27.21,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,2.5Y 5/2 (grayish brown),very fine sand,3,foraminifera (planktic),,foraminifera (benthic),,shell fragment,,,,,,,,common,4,,,,WACKESTONE. Unlithified Very fine- to fine-grained foraminifera. Planktic foraminifera (A) and Benthic foraminifera (C).,,,
359-U1467D-4H-5-A,71,85,27.21,27.35,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,2.5Y 4/2 (dark grayish brown),very fine sand,3,foraminifera (planktic),,foraminifera (benthic),,shell fragment,,,,,,,,common,4,,,,WACKESTONE. Unlithified Very fine- to fine-grained foraminifera. Planktic foraminifera (A) and Benthic foraminifera (C).,,,
359-U1467D-4H-5-A,85,150,27.35,28,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,2.5Y 5/2 (grayish brown),very fine sand,3,foraminifera (planktic),,foraminifera (benthic),,shell fragment,,,,,,,,common,4,,,,WACKESTONE. Unlithified Very fine- to fine-grained foraminifera. Planktic foraminifera (A) and Benthic foraminifera (C).,,,
359-U1467D-4H-6-A,0,46,28,28.46,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,2.5Y 5/2 (grayish brown),very fine sand,3,foraminifera (planktic),,foraminifera (benthic),,shell fragment,,,,,,,,common,4,,,,WACKESTONE. Unlithified Very fine- to fine-grained foraminifera. Planktic foraminifera (A) and Benthic foraminifera (C).,,,
359-U1467D-4H-6-A,46,150,28.46,29.5,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,2.5Y 5/2 (grayish brown),very fine sand,3,foraminifera (planktic),,foraminifera (benthic),,shell fragment,,,,,,,,common,4,,,,WACKESTONE. Unlithified Very fine- to fine-grained foraminifera. Planktic foraminifera (A) and Benthic foraminifera (C).,,,
359-U1467D-4H-7-A,0,65,29.31,29.96,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,2.5Y 5/2 (grayish brown),very fine sand,3,foraminifera (planktic),,foraminifera (benthic),,shell fragment,,,,,,,,common,4,,,,WACKESTONE. Unlithified Very fine- to fine-grained foraminifera. Planktic foraminifera (A) and Benthic foraminifera (C).,,,
359-U1467D-4H-CC-A,0,19,29.96,30.15,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,2.5Y 5/2 (grayish brown),very fine sand,3,foraminifera (planktic),,foraminifera (benthic),,shell fragment,,,,,,,,common,4,,,,WACKESTONE. Unlithified Very fine- to fine-grained foraminifera. Planktic foraminifera (A) and Benthic foraminifera (C). Pteropods and otolithis are rare.,,,
359-U1467D-5H-1-A,0,150,30,31.5,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,2.5Y 5/2 (grayish brown),very fine sand,3,foraminifera (planktic),,foraminifera (benthic),,shell fragment,,,,,,,,common,4,,,,WACKESTONE. Unlithified Very fine- to fine-grained foraminifera. Planktic foraminifera (A) and Benthic foraminifera (C). Pteropods and otolithis are rare.,,,
359-U1467D-5H-2-A,0,150,31.5,33,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,2.5Y 6/2 (light brownish gray),fine sand,4,foraminifera (planktic),,foraminifera (benthic),,shell fragment,,,,,,,,common,4,,,,WACKESTONE. Unlithified Very fine- to fine-grained foraminifera. Planktic foraminifera (A) and Benthic foraminifera (C). Pteropods and otolithis are rare.,,,
359-U1467D-5H-3-A,0,150,33,34.5,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,2.5Y 5/2 (grayish brown),fine sand,4,foraminifera (planktic),,foraminifera (benthic),,shell fragment,,,,,,,,complete,6,,,,WACKESTONE. Unlithified Very fine- to fine-grained foraminifera. Planktic foraminifera (A) and Benthic foraminifera (C). Pteropods and otolithis are rare.,,,
359-U1467D-5H-4-A,0,150,34.5,36,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,2.5Y 5/2 (grayish brown),fine sand,4,foraminifera (planktic),,foraminifera (benthic),,shell fragment,,,,,,,,complete,6,,,,WACKESTONE. Unlithified Very fine- to fine-grained foraminifera. Planktic foraminifera (A) and Benthic foraminifera (C). Pteropods and otolithis are rare.,,,
359-U1467D-5H-5-A,0,150,36,37.5,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,2.5Y 5/2 (grayish brown),fine sand,4,foraminifera (planktic),,foraminifera (benthic),,shell fragment,,,,,,,,complete,6,,,,WACKESTONE. Unlithified Very fine- to fine-grained foraminifera. Planktic foraminifera (A) and Benthic foraminifera (C). Pteropods and otolithis are rare.,,,
359-U1467D-5H-6-A,0,132,37.5,38.82,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,2.5Y 5/2 (grayish brown),fine sand,4,foraminifera (planktic),,foraminifera (benthic),,shell fragment,,,,,,,,complete,6,,,,WACKESTONE. Unlithified Very fine- to fine-grained foraminifera. Planktic foraminifera (A) and Benthic foraminifera (C). Pteropods and otolithis are rare.,,,
359-U1467D-5H-7-A,0,72,38.82,39.54,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,2.5Y 5/2 (grayish brown),fine sand,4,foraminifera (planktic),,foraminifera (benthic),,shell fragment,,,,,,,,complete,6,,,,WACKESTONE. Unlithified Very fine- to fine-grained foraminifera. Planktic foraminifera (A) and Benthic foraminifera (C). Pteropods and otolithis are rare.,,,
359-U1467D-5H-CC-A,0,15,39.54,39.69,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,2.5Y 5/2 (grayish brown),fine sand,4,foraminifera (planktic),,foraminifera (benthic),,shell fragment,,,,,,,,complete,6,,,,WACKESTONE. Unlithified Very fine- to fine-grained foraminifera. Planktic foraminifera (A) and Benthic foraminifera (C). Pteropods and otolithis are rare.,,,
359-U1467D-6H-1-A,0,150,39.5,41,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,2.5Y 5/2 (grayish brown),fine sand,4,foraminifera (planktic),,foraminifera (benthic),,shell fragment,,,,,,,,complete,6,,,,WACKESTONE. Unlithified Very fine- to fine-grained foraminifera. Planktic foraminifera (A) and Benthic foraminifera (C). Pteropods and otolithis are rare.,,,
359-U1467D-6H-2-A,0,150,41,42.5,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,2.5Y 5/2 (grayish brown),fine sand,4,foraminifera (planktic),,foraminifera (benthic),,shell fragment,,,,,,,,complete,6,,,,WACKESTONE. Unlithified Very fine- to fine-grained foraminifera. Planktic foraminifera (A) Otolithis (C) and Benthic foraminifera (P). Cold water coral at 67-69 cm.,,,
359-U1467D-6H-3-A,0,15,42.5,42.65,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,2.5Y 5/2 (grayish brown),very fine sand,3,foraminifera (planktic),,foraminifera (benthic),,,,organic material,,,,,,complete,6,,,,WACKESTONE. Unlithified Very fine- to fine-grained foraminifera. Planktic foraminifera (A) and Benthic foraminifera (P).,,,
359-U1467D-6H-3-A,15,150,42.65,44,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,2.5Y 6/2 (light brownish gray),very fine sand,3,foraminifera (planktic),,foraminifera (benthic),,,,organic material,,,,,,complete,6,,,,"WACKESTONE. Unlithified Very fine- to fine-grained foraminifera. Planktic foraminifera (A) and Benthic foraminifera (P). Green mineral (patch) at 6H-3, 58 cm (Glauconitic). Abundant organic matter.",,,
359-U1467D-6H-4-A,0,150,44,45.5,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,2.5Y 6/2 (light brownish gray),very fine sand,3,foraminifera (planktic),,foraminifera (benthic),,,,organic material,,,,,,complete,6,,,,WACKESTONE. Unlithified Very fine- to fine-grained foraminifera. Planktic foraminifera (A) and Benthic foraminifera and otoliths (P). Abundant organic matter locally abundant.,,,
359-U1467D-6H-5-A,0,150,45.5,47,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,2.5Y 6/2 (light brownish gray),very fine sand,3,foraminifera (planktic),,foraminifera (benthic),,,,organic material,,,,,,complete,6,,,,WACKESTONE to PACKSTONE. Unlithified Very fine- to fine-grained foraminifera. Planktic foraminifera (A) and Benthic foraminifera and otoliths (P). Abundant organic matter locally abundant.,,,
359-U1467D-6H-6-A,0,131,47,48.31,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,2.5Y 6/2 (light brownish gray),very fine sand,3,foraminifera (planktic),,foraminifera (benthic),,,,organic material,,,,,,complete,6,,,,WACKESTONE to PACKSTONE. Unlithified Very fine- to fine-grained foraminifera. Planktic foraminifera (A) and Benthic foraminifera and otoliths (P). Abundant organic matter locally abundant. Agglutinated forams VR.,,,
359-U1467D-6H-7-A,0,78,48.31,49.09,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,2.5Y 6/2 (light brownish gray),very fine sand,3,foraminifera (planktic),,foraminifera (benthic),,,,organic material,,,,,,complete,6,,,,WACKESTONE to PACKSTONE. Unlithified Very fine- to fine-grained foraminifera. Planktic foraminifera (A) and Benthic foraminifera and otoliths (P). Abundant organic matter locally abundant. Agglutinated forams VR.,,,
359-U1467D-6H-CC-A,0,17,49.09,49.26,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,2.5Y 6/2 (light brownish gray),very fine sand,3,foraminifera (planktic),,foraminifera (benthic),,,,organic material,,,,,,complete,6,,,,WACKESTONE to PACKSTONE. Unlithified Very fine- to fine-grained foraminifera. Planktic foraminifera (A) and Benthic foraminifera and otoliths (P). Abundant organic matter locally abundant. Agglutinated forams VR.,,,
359-U1467D-7H-1-A,0,150,49,50.5,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,2.5Y 7/2 (light gray),very fine sand,3,foraminifera (planktic),,foraminifera (benthic),,,,organic material,,,,,,complete,6,,,,"WACKESTONE. Unlithified Very fine- to fine-grained foraminifera. Planktic foraminifera (A) and Benthic foraminifera and pterapods (P). Black grains, glauconite and rare fish debris. Abundant organic matter locally abundant. Agglutinated forams Very Rare",,,
359-U1467D-7H-2-A,0,150,50.5,52,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,2.5Y 6/2 (light brownish gray),very fine sand,3,foraminifera (planktic),,foraminifera (benthic),,,,organic material,,,,,,complete,6,,,,"WACKESTONE. Unlithified Very fine- to fine-grained foraminifera. Planktic foraminifera (A) and Benthic foraminifera and pterapods (P). Black grains, glauconite and rare fish debris. Abundant organic matter locally abundant. Agglutinated forams Very Rare",,,
359-U1467D-7H-3-A,0,150,52,53.5,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,2.5Y 6/2 (light brownish gray),very fine sand,3,foraminifera (planktic),,foraminifera (benthic),,,,organic material,,,,,,complete,6,,,,"WACKESTONE. Unlithified Very fine- to fine-grained foraminifera. Planktic foraminifera (A) and Benthic foraminifera and pterapods (P). Black grains, glauconite and rare fish debris. Abundant organic matter locally abundant. Agglutinated forams Very Rare",,,
