Label ID,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],MAJ Lith. Prefix,MAJ Lith. Principal name,MAJ Lith. Suffix,MAJ Lith. prefix+name+suffix,MAJ Lith. color,"Layer, boundary, lamination, grading",Diagenetic constituent,Diagenetic constituent composition,Bioturbation intensity,Bioturbation intensity rank,Deformational structures,General interval comment,MIN Lith. Prefix,MIN Lith. Principal name,MIN Lith. Suffix,MIN Lith. prefix + name,MIN Lith. prefix+name+suffix,MIN Lith. name+suffix,MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,Bottom contact geometry,Bottom contact definition,Layer or bedding thickness,Clasts abundance,Clast 1 igneous [%],Clast 1 igneous -  grain size,Clast 2 sediment [%],Clast 2 sediment grain size,Clast 3 -other lithology [%],Clast 3 -other lithology grain size,Diagenetic structure,Macrofossil,Macrofossil abundance name,MAJ Lith. prefix + name,MAJ Lith. name+suffix,MAJ Lith abundance (%),MAJ Lith. Ave. grain size,MAJ Lith. ave. grain size rank,MAJ Lith. max. grain size,MAJ Lith. max. grain size rank,File Data
342-U1408C-1H-4-A,342,U1408,C,1,1-4,H,4,A,136,150,5.86,6,sandy [Leg339],clay [Leg339],with foraminifers [Leg339],sandy  clay  with foraminifers ,10YR 6/2 (light brownish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sandy   clay ,clay   with foraminifers ,,,,,,
342-U1408C-1H-5-A,342,U1408,C,1,1-5,H,5,A,0,7,6,6.07,sandy [Leg339],clay [Leg339],with foraminifers [Leg339],sandy  clay  with foraminifers ,10YR 6/2 (light brownish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sandy   clay ,clay   with foraminifers ,,,,,,
342-U1408C-1H-5-A,342,U1408,C,1,1-5,H,5,A,7,49,6.07,6.49,,clay [Leg339],,clay ,5YR 5/3 (reddish brown),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay ,,,,,,
342-U1408C-1H-5-A,342,U1408,C,1,1-5,H,5,A,49,56,6.49,6.56,sandy [Leg339],clay [Leg339],with foraminifers [Leg339],sandy  clay  with foraminifers ,7.5YR 5/1 (gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sandy   clay ,clay   with foraminifers ,,,,,,
342-U1408C-1H-5-A,342,U1408,C,1,1-5,H,5,A,56,67,6.56,6.67,,clay [Leg339],,clay ,5YR 5/3 (reddish brown),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay ,,,,,,
342-U1408C-1H-5-A,342,U1408,C,1,1-5,H,5,A,67,75,6.67,6.75,sandy [Leg339],foraminiferal ooze [Leg339],,sandy  foraminiferal ooze ,10YR 6/2 (light brownish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sandy   foraminiferal ooze ,foraminiferal ooze ,,,,,,
342-U1408C-1H-5-A,342,U1408,C,1,1-5,H,5,A,75,102,6.75,7.02,sandy [Leg339],clay [Leg339],with foraminifers [Leg339],sandy  clay  with foraminifers ,10YR 5/2 (grayish brown),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sandy   clay ,clay   with foraminifers ,,,,,,
342-U1408C-1H-5-A,342,U1408,C,1,1-5,H,5,A,102,130,7.02,7.3,sandy [Leg339],foraminiferal ooze [Leg339],,sandy  foraminiferal ooze ,10YR 6/2 (light brownish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sandy   foraminiferal ooze ,foraminiferal ooze ,,,,,,
342-U1408C-1H-5-A,342,U1408,C,1,1-5,H,5,A,130,150,7.3,7.5,sandy [Leg339],clay [Leg339],with foraminifers [Leg339],sandy  clay  with foraminifers ,5YR 5/4 (reddish brown),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sandy   clay ,clay   with foraminifers ,,,,,,
342-U1408C-1H-6-A,342,U1408,C,1,1-6,H,6,A,0,25,7.5,7.75,sandy [Leg339],foraminiferal ooze [Leg339],,sandy  foraminiferal ooze ,10YR 6/2 (light brownish gray),,,,moderate_339 [DB91],4,,Large dropstone between 14 and 19cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,sandy   foraminiferal ooze ,foraminiferal ooze ,,,,,,
