Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Principal lithology,Lithology classification,Lithology prefix,Lithology suffix,Lithology name,Lithology [%],Lithification [name],Color,Lithology comments,File Data,Unnamed: 23
320-U1333C-2H-5-A,320,U1333,C,2,2-5,H,5,A,0,150,7.6,9.1,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,,Nannofossil  ooze,30.0,soft,10YR 7/3,,,
320-U1333C-2H-5-A,320,U1333,C,2,2-5,H,5,A,0,150,7.6,9.1,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,,Nannofossil  ooze,70.0,soft,10YR 8/3,,,
320-U1333C-2H-6-A,320,U1333,C,2,2-6,H,6,A,0,150,9.1,10.6,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,,Nannofossil  ooze,30.0,soft,10YR 7/3,,,
320-U1333C-2H-6-A,320,U1333,C,2,2-6,H,6,A,0,150,9.1,10.6,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,,Nannofossil  ooze,70.0,soft,10YR 8/3,,,
320-U1333C-2H-7-A,320,U1333,C,2,2-7,H,7,A,0,79,10.6,11.39,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,,Nannofossil  ooze,30.0,soft,10YR 7/3,,,
320-U1333C-2H-7-A,320,U1333,C,2,2-7,H,7,A,0,79,10.6,11.39,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,,Nannofossil  ooze,70.0,soft,10YR 8/3,,,
320-U1333C-2H-CC-A,320,U1333,C,2,2-CC,H,CC,A,0,19,11.39,11.58,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,,Nannofossil  ooze,30.0,soft,10YR 7/3,,,
320-U1333C-2H-CC-A,320,U1333,C,2,2-CC,H,CC,A,0,19,11.39,11.58,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,,Nannofossil  ooze,70.0,soft,10YR 8/3,,,
320-U1333C-3H-1-A,320,U1333,C,3,3-1,H,1,A,0,150,11.1,12.6,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,,Nannofossil  ooze,70.0,soft,10YR 8/3,,,
320-U1333C-3H-1-A,320,U1333,C,3,3-1,H,1,A,0,150,11.1,12.6,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian nannofossil ,with clay,Radiolarian nannofossil  ooze with clay,30.0,soft,10YR 7/3,pumice (0.5cm in diameter) at 144cm interval of section 3,,
320-U1333C-3H-2-A,320,U1333,C,3,3-2,H,2,A,0,150,12.6,14.1,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,,Nannofossil  ooze,70.0,soft,10YR 8/3,,,
320-U1333C-3H-2-A,320,U1333,C,3,3-2,H,2,A,0,150,12.6,14.1,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian nannofossil ,with clay,Radiolarian nannofossil  ooze with clay,30.0,soft,10YR 7/3,pumice (0.5cm in diameter) at 144cm interval of section 3,,
320-U1333C-3H-3-A,320,U1333,C,3,3-3,H,3,A,0,150,14.1,15.6,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,,Nannofossil  ooze,70.0,soft,10YR 8/3,,,
320-U1333C-3H-3-A,320,U1333,C,3,3-3,H,3,A,0,150,14.1,15.6,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian nannofossil ,with clay,Radiolarian nannofossil  ooze with clay,30.0,soft,10YR 7/3,pumice (0.5cm in diameter) at 144cm interval of section 3,,
320-U1333C-3H-4-A,320,U1333,C,3,3-4,H,4,A,0,150,15.6,17.1,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,,Nannofossil  ooze,70.0,soft,10YR 8/3,,,
320-U1333C-3H-4-A,320,U1333,C,3,3-4,H,4,A,0,150,15.6,17.1,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian nannofossil ,with clay,Radiolarian nannofossil  ooze with clay,30.0,soft,10YR 7/3,pumice (0.5cm in diameter) at 144cm interval of section 3,,
320-U1333C-3H-5-A,320,U1333,C,3,3-5,H,5,A,0,150,17.1,18.6,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,,Nannofossil  ooze,70.0,soft,10YR 8/3,,,
320-U1333C-3H-5-A,320,U1333,C,3,3-5,H,5,A,0,150,17.1,18.6,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian nannofossil ,with clay,Radiolarian nannofossil  ooze with clay,30.0,soft,10YR 7/3,pumice (0.5cm in diameter) at 144cm interval of section 3,,
320-U1333C-3H-6-A,320,U1333,C,3,3-6,H,6,A,0,150,18.6,20.1,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,,Nannofossil  ooze,70.0,soft,10YR 8/3,,,
320-U1333C-3H-6-A,320,U1333,C,3,3-6,H,6,A,0,150,18.6,20.1,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian nannofossil ,with clay,Radiolarian nannofossil  ooze with clay,30.0,soft,10YR 7/3,pumice (0.5cm in diameter) at 144cm interval of section 3,,
320-U1333C-3H-7-A,320,U1333,C,3,3-7,H,7,A,0,80,20.1,20.9,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,,Nannofossil  ooze,70.0,soft,10YR 8/3,,,
320-U1333C-3H-7-A,320,U1333,C,3,3-7,H,7,A,0,80,20.1,20.9,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian nannofossil ,with clay,Radiolarian nannofossil  ooze with clay,30.0,soft,10YR 7/3,pumice (0.5cm in diameter) at 144cm interval of section 3,,
320-U1333C-3H-CC-A,320,U1333,C,3,3-CC,H,CC,A,0,16,20.9,21.06,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,,Nannofossil  ooze,70.0,soft,10YR 8/3,,,
320-U1333C-3H-CC-A,320,U1333,C,3,3-CC,H,CC,A,0,16,20.9,21.06,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian nannofossil ,with clay,Radiolarian nannofossil  ooze with clay,30.0,soft,10YR 7/3,pumice (0.5cm in diameter) at 144cm interval of section 3,,
320-U1333C-4H-1-A,320,U1333,C,4,4-1,H,1,A,0,150,20.6,22.1,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,with radiolarians,Nannofossil  ooze with radiolarians,75.0,soft,10YR 6/4,,,
320-U1333C-4H-1-A,320,U1333,C,4,4-1,H,1,A,0,150,20.6,22.1,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,,Nannofossil  ooze,25.0,soft,10YR 8/2,,,
320-U1333C-4H-2-A,320,U1333,C,4,4-2,H,2,A,0,150,22.1,23.6,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,with radiolarians,Nannofossil  ooze with radiolarians,75.0,soft,10YR 6/4,,,
320-U1333C-4H-2-A,320,U1333,C,4,4-2,H,2,A,0,150,22.1,23.6,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,,Nannofossil  ooze,25.0,soft,10YR 8/2,,,
320-U1333C-4H-3-A,320,U1333,C,4,4-3,H,3,A,0,150,23.6,25.1,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,with radiolarians,Nannofossil  ooze with radiolarians,75.0,soft,10YR 6/4,,,
320-U1333C-4H-3-A,320,U1333,C,4,4-3,H,3,A,0,150,23.6,25.1,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,,Nannofossil  ooze,25.0,soft,10YR 8/2,,,
320-U1333C-4H-4-A,320,U1333,C,4,4-4,H,4,A,0,150,25.1,26.6,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,with radiolarians,Nannofossil  ooze with radiolarians,75.0,soft,10YR 6/4,,,
320-U1333C-4H-4-A,320,U1333,C,4,4-4,H,4,A,0,150,25.1,26.6,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,,Nannofossil  ooze,25.0,soft,10YR 8/2,,,
320-U1333C-4H-5-A,320,U1333,C,4,4-5,H,5,A,0,150,26.6,28.1,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,with radiolarians,Nannofossil  ooze with radiolarians,75.0,soft,10YR 6/4,,,
320-U1333C-4H-5-A,320,U1333,C,4,4-5,H,5,A,0,150,26.6,28.1,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,,Nannofossil  ooze,25.0,soft,10YR 8/2,,,
320-U1333C-4H-6-A,320,U1333,C,4,4-6,H,6,A,0,150,28.1,29.6,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,with radiolarians,Nannofossil  ooze with radiolarians,75.0,soft,10YR 6/4,,,
320-U1333C-4H-6-A,320,U1333,C,4,4-6,H,6,A,0,150,28.1,29.6,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,,Nannofossil  ooze,25.0,soft,10YR 8/2,,,
320-U1333C-4H-7-A,320,U1333,C,4,4-7,H,7,A,0,84,29.6,30.44,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,with radiolarians,Nannofossil  ooze with radiolarians,75.0,soft,10YR 6/4,,,
320-U1333C-4H-7-A,320,U1333,C,4,4-7,H,7,A,0,84,29.6,30.44,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,,Nannofossil  ooze,25.0,soft,10YR 8/2,,,
320-U1333C-4H-CC-A,320,U1333,C,4,4-CC,H,CC,A,0,24,30.44,30.68,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,with radiolarians,Nannofossil  ooze with radiolarians,75.0,soft,10YR 6/4,,,
320-U1333C-4H-CC-A,320,U1333,C,4,4-CC,H,CC,A,0,24,30.44,30.68,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,,Nannofossil  ooze,25.0,soft,10YR 8/2,,,
320-U1333C-5H-1-A,320,U1333,C,5,5-1,H,1,A,0,150,30.1,31.6,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,with radiolarians,Nannofossil  ooze with radiolarians,80.0,soft,10YR 5/3,,,
320-U1333C-5H-1-A,320,U1333,C,5,5-1,H,1,A,0,150,30.1,31.6,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,,Nannofossil  ooze,20.0,soft,10YR 8/1,Mn oxides (2-5 mm in diameter) are sparsely observed throughout the core,,
320-U1333C-5H-2-A,320,U1333,C,5,5-2,H,2,A,0,150,31.6,33.1,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,with radiolarians,Nannofossil  ooze with radiolarians,80.0,soft,10YR 5/3,,,
320-U1333C-5H-2-A,320,U1333,C,5,5-2,H,2,A,0,150,31.6,33.1,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,,Nannofossil  ooze,20.0,soft,10YR 8/1,Mn oxides (2-5 mm in diameter) are sparsely observed throughout the core,,
320-U1333C-5H-3-A,320,U1333,C,5,5-3,H,3,A,0,150,33.1,34.6,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,with radiolarians,Nannofossil  ooze with radiolarians,80.0,soft,10YR 5/3,,,
320-U1333C-5H-3-A,320,U1333,C,5,5-3,H,3,A,0,150,33.1,34.6,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,,Nannofossil  ooze,20.0,soft,10YR 8/1,Mn oxides (2-5 mm in diameter) are sparsely observed throughout the core,,
320-U1333C-5H-4-A,320,U1333,C,5,5-4,H,4,A,0,150,34.6,36.1,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,with radiolarians,Nannofossil  ooze with radiolarians,80.0,soft,10YR 5/3,,,
320-U1333C-5H-4-A,320,U1333,C,5,5-4,H,4,A,0,150,34.6,36.1,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,,Nannofossil  ooze,20.0,soft,10YR 8/1,Mn oxides (2-5 mm in diameter) are sparsely observed throughout the core,,
320-U1333C-5H-5-A,320,U1333,C,5,5-5,H,5,A,0,150,36.1,37.6,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,with radiolarians,Nannofossil  ooze with radiolarians,80.0,soft,10YR 5/3,,,
320-U1333C-5H-5-A,320,U1333,C,5,5-5,H,5,A,0,150,36.1,37.6,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,,Nannofossil  ooze,20.0,soft,10YR 8/1,Mn oxides (2-5 mm in diameter) are sparsely observed throughout the core,,
320-U1333C-5H-6-A,320,U1333,C,5,5-6,H,6,A,0,150,37.6,39.1,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,with radiolarians,Nannofossil  ooze with radiolarians,80.0,soft,10YR 5/3,,,
320-U1333C-5H-6-A,320,U1333,C,5,5-6,H,6,A,0,150,37.6,39.1,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,,Nannofossil  ooze,20.0,soft,10YR 8/1,Mn oxides (2-5 mm in diameter) are sparsely observed throughout the core,,
320-U1333C-5H-7-A,320,U1333,C,5,5-7,H,7,A,0,61,39.1,39.71,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,with radiolarians,Nannofossil  ooze with radiolarians,80.0,soft,10YR 5/3,,,
320-U1333C-5H-7-A,320,U1333,C,5,5-7,H,7,A,0,61,39.1,39.71,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,,Nannofossil  ooze,20.0,soft,10YR 8/1,Mn oxides (2-5 mm in diameter) are sparsely observed throughout the core,,
320-U1333C-5H-CC-A,320,U1333,C,5,5-CC,H,CC,A,0,13,39.71,39.84,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,with radiolarians,Nannofossil  ooze with radiolarians,80.0,soft,10YR 5/3,,,
320-U1333C-5H-CC-A,320,U1333,C,5,5-CC,H,CC,A,0,13,39.71,39.84,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,,Nannofossil  ooze,20.0,soft,10YR 8/1,Mn oxides (2-5 mm in diameter) are sparsely observed throughout the core,,
320-U1333C-6H-1-A,320,U1333,C,6,6-1,H,1,A,0,150,39.6,41.1,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,,Nannofossil  ooze,100.0,soft,10YR 7/2,,,
320-U1333C-6H-2-A,320,U1333,C,6,6-2,H,2,A,0,84,41.1,41.94,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,,Nannofossil  ooze,100.0,soft,10YR 7/2,,,
320-U1333C-6H-2-A,320,U1333,C,6,6-2,H,2,A,84,150,41.94,42.6,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,with radiolarians,Nannofossil  ooze with radiolarians,20.0,soft,10YR 8/2,,,
320-U1333C-6H-2-A,320,U1333,C,6,6-2,H,2,A,84,150,41.94,42.6,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,,Nannofossil  ooze,80.0,soft,10YR 8/1,,,
320-U1333C-6H-3-A,320,U1333,C,6,6-3,H,3,A,0,150,42.6,44.1,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,with radiolarians,Nannofossil  ooze with radiolarians,20.0,soft,10YR 8/2,,,
320-U1333C-6H-3-A,320,U1333,C,6,6-3,H,3,A,0,150,42.6,44.1,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,,Nannofossil  ooze,80.0,soft,10YR 8/1,,,
320-U1333C-6H-4-A,320,U1333,C,6,6-4,H,4,A,0,150,44.1,45.6,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,with radiolarians,Nannofossil  ooze with radiolarians,20.0,soft,10YR 8/2,,,
320-U1333C-6H-4-A,320,U1333,C,6,6-4,H,4,A,0,150,44.1,45.6,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,,Nannofossil  ooze,80.0,soft,10YR 8/1,,,
320-U1333C-6H-5-A,320,U1333,C,6,6-5,H,5,A,0,150,45.6,47.1,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,with radiolarians,Nannofossil  ooze with radiolarians,20.0,soft,10YR 8/2,,,
320-U1333C-6H-5-A,320,U1333,C,6,6-5,H,5,A,0,150,45.6,47.1,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,,Nannofossil  ooze,80.0,soft,10YR 8/1,,,
320-U1333C-6H-6-A,320,U1333,C,6,6-6,H,6,A,0,150,47.1,48.6,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,with radiolarians,Nannofossil  ooze with radiolarians,20.0,soft,10YR 8/2,,,
320-U1333C-6H-6-A,320,U1333,C,6,6-6,H,6,A,0,150,47.1,48.6,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,,Nannofossil  ooze,80.0,soft,10YR 8/1,,,
320-U1333C-6H-7-A,320,U1333,C,6,6-7,H,7,A,0,86,48.6,49.46,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,with radiolarians,Nannofossil  ooze with radiolarians,20.0,soft,10YR 8/2,,,
320-U1333C-6H-7-A,320,U1333,C,6,6-7,H,7,A,0,86,48.6,49.46,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,,Nannofossil  ooze,80.0,soft,10YR 8/1,,,
320-U1333C-6H-CC-A,320,U1333,C,6,6-CC,H,CC,A,0,25,49.46,49.71,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,with radiolarians,Nannofossil  ooze with radiolarians,20.0,soft,10YR 8/2,,,
320-U1333C-6H-CC-A,320,U1333,C,6,6-CC,H,CC,A,0,25,49.46,49.71,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,,Nannofossil  ooze,80.0,soft,10YR 8/1,,,
320-U1333C-7H-1-A,320,U1333,C,7,7-1,H,1,A,0,150,49.1,50.6,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,,Nannofossil  ooze,30.0,soft,10YR 8/2,,,
320-U1333C-7H-1-A,320,U1333,C,7,7-1,H,1,A,0,150,49.1,50.6,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,,Nannofossil  ooze,70.0,soft,10YR 8/1,,,
320-U1333C-7H-2-A,320,U1333,C,7,7-2,H,2,A,0,150,50.6,52.1,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,,Nannofossil  ooze,30.0,soft,10YR 8/2,,,
320-U1333C-7H-2-A,320,U1333,C,7,7-2,H,2,A,0,150,50.6,52.1,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,,Nannofossil  ooze,70.0,soft,10YR 8/1,,,
320-U1333C-7H-3-A,320,U1333,C,7,7-3,H,3,A,0,150,52.1,53.6,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,,Nannofossil  ooze,30.0,soft,10YR 8/2,,,
320-U1333C-7H-3-A,320,U1333,C,7,7-3,H,3,A,0,150,52.1,53.6,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,,Nannofossil  ooze,70.0,soft,10YR 8/1,,,
320-U1333C-7H-4-A,320,U1333,C,7,7-4,H,4,A,0,150,53.6,55.1,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,,Nannofossil  ooze,30.0,soft,10YR 8/2,,,
320-U1333C-7H-4-A,320,U1333,C,7,7-4,H,4,A,0,150,53.6,55.1,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,,Nannofossil  ooze,70.0,soft,10YR 8/1,,,
320-U1333C-7H-5-A,320,U1333,C,7,7-5,H,5,A,0,150,55.1,56.6,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,,Nannofossil  ooze,30.0,soft,10YR 8/2,,,
320-U1333C-7H-5-A,320,U1333,C,7,7-5,H,5,A,0,150,55.1,56.6,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,,Nannofossil  ooze,70.0,soft,10YR 8/1,,,
320-U1333C-7H-6-A,320,U1333,C,7,7-6,H,6,A,0,52,56.6,57.12,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,,Nannofossil  ooze,30.0,soft,10YR 8/2,,,
320-U1333C-7H-6-A,320,U1333,C,7,7-6,H,6,A,0,52,56.6,57.12,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,,Nannofossil  ooze,70.0,soft,10YR 8/1,,,
320-U1333C-7H-CC-A,320,U1333,C,7,7-CC,H,CC,A,0,15,57.12,57.27,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,,Nannofossil  ooze,30.0,soft,10YR 8/2,,,
320-U1333C-7H-CC-A,320,U1333,C,7,7-CC,H,CC,A,0,15,57.12,57.27,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,,Nannofossil  ooze,70.0,soft,10YR 8/1,,,
320-U1333C-8H-1-A,320,U1333,C,8,8-1,H,1,A,0,150,58.6,60.1,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,,Nannofossil  ooze,20.0,soft,10YR 8/2,,,
320-U1333C-8H-1-A,320,U1333,C,8,8-1,H,1,A,0,150,58.6,60.1,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,,Nannofossil  ooze,80.0,soft,10YR 8/1,,,
320-U1333C-8H-2-A,320,U1333,C,8,8-2,H,2,A,0,150,60.1,61.6,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,,Nannofossil  ooze,20.0,soft,10YR 8/2,,,
320-U1333C-8H-2-A,320,U1333,C,8,8-2,H,2,A,0,150,60.1,61.6,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,,Nannofossil  ooze,80.0,soft,10YR 8/1,,,
320-U1333C-8H-3-A,320,U1333,C,8,8-3,H,3,A,0,150,61.6,63.1,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,,Nannofossil  ooze,20.0,soft,10YR 8/2,,,
320-U1333C-8H-3-A,320,U1333,C,8,8-3,H,3,A,0,150,61.6,63.1,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,,Nannofossil  ooze,80.0,soft,10YR 8/1,,,
320-U1333C-8H-4-A,320,U1333,C,8,8-4,H,4,A,0,150,63.1,64.6,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,,Nannofossil  ooze,20.0,soft,10YR 8/2,,,
320-U1333C-8H-4-A,320,U1333,C,8,8-4,H,4,A,0,150,63.1,64.6,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,,Nannofossil  ooze,80.0,soft,10YR 8/1,,,
320-U1333C-8H-5-A,320,U1333,C,8,8-5,H,5,A,0,150,64.6,66.1,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,,Nannofossil  ooze,20.0,soft,10YR 8/2,,,
320-U1333C-8H-5-A,320,U1333,C,8,8-5,H,5,A,0,150,64.6,66.1,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,,Nannofossil  ooze,80.0,soft,10YR 8/1,,,
320-U1333C-8H-6-A,320,U1333,C,8,8-6,H,6,A,0,150,66.1,67.6,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,,Nannofossil  ooze,20.0,soft,10YR 8/2,,,
