Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color (Munsell),Layer or bedding thickness,Lithology lithification,Lithology ave. grain size class,Lithology ave. grain size rank [read only],Lithology max. grain size class,Lithology max. grain size rank [read only],General interval comment,Sorting,Grading,Sedimentary structure,Bioturbation intensity,Bioturbation intensity rank [read only],Lithological asseccories,Diagenetic structure,Macrofossil,Macrofossil abundance name,Clasts (>2 mm) DOMINANT,Clasts (>2 mm) 2ND ORDER,DOMINANT clast roundness,Clast comments,"Matrix, fines (<2 mm) DOMINANT",Matrix sorting,Matrix comments,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix
352-U1440A-2H-6-A,81.0,131.0,12.01,12.51,IA,,,,,mud,with nannofossils,mud,mud with nannofossils,mud with nannofossils,,2.5Y 4/2 (dark grayish brown),,unconsolidated,silt,2.0,silt,2.0,,moderate,non-graded,mottled layer,moderate,2.0,,,,,,,,,,,,,,,352,U1440,A,2,H,6,A,,,
352-U1440A-2H-7-A,0.0,18.0,12.51,12.69,IA,irregular,gradational,sub-horizontal,,mud,with nannofossils,mud,mud with nannofossils,mud with nannofossils,,2.5Y 4/2 (dark grayish brown),,unconsolidated,silt,2.0,silt,2.0,,moderate,non-graded,mottled layer,moderate,2.0,,,,,,,,,,,,,,,352,U1440,A,2,H,7,A,,,
352-U1440A-2H-7-A,18.0,60.0,12.69,13.11,IA,,,,,mud,with nannofossils,mud,mud with nannofossils,mud with nannofossils,,GLEY 1 5/10Y (greenish gray),,unconsolidated,silt,2.0,silt,2.0,,moderate,non-graded,mottled layer,moderate,2.0,,,,,,,,,,,,,,,352,U1440,A,2,H,7,A,,,
352-U1440A-2H-CC-A,0.0,22.0,13.11,13.33,IA,,,,,mud,with nannofossils,mud,mud with nannofossils,mud with nannofossils,,GLEY 1 6/10Y (greenish gray),,unconsolidated,silt,2.0,silt,2.0,,moderate,non-graded,mottled layer,moderate,2.0,,,,,,,,,,,,,,,352,U1440,A,2,H,CC,A,,,
352-U1440A-3H-1-A,0.0,106.0,13.2,14.26,IB,,,,foraminifer-bearing,mud,with diatoms,foraminifer-bearing mud,foraminifer-bearing mud with diatoms,mud with diatoms,,GLEY 1 6/10Y (greenish gray),,unconsolidated,clay,1.0,silt,2.0,silicic biogenic and terrigenous matter increased.,poor,non-graded,mottled layer,moderate,2.0,,,,,,,,,,,,,,,352,U1440,A,3,H,1,A,,,
352-U1440A-3H-1-A,106.0,107.0,14.26,14.27,IB,irregular,sharp,sub-horizontal,silty,fine sand,,silty fine sand,silty fine sand,fine sand,,GLEY 2 3/10G (very dark greenish gray),,unconsolidated,silt,2.0,fine sand,4.0,,poor,normally graded,,none,0.0,,,,,,,,,,,,,,,352,U1440,A,3,H,1,A,,,
352-U1440A-3H-1-A,107.0,114.0,14.27,14.34,IB,,,,foraminifer-bearing,mud,with diatoms,foraminifer-bearing mud,foraminifer-bearing mud with diatoms,mud with diatoms,,GLEY 1 6/10Y (greenish gray),,unconsolidated,clay,1.0,silt,2.0,silicic biogenic and terrigenous matter increased.,moderate,non-graded,mottled layer,moderate,2.0,,,,,,,,,,,,,,,352,U1440,A,3,H,1,A,,,
352-U1440A-3H-1-A,114.0,117.0,14.34,14.37,IB,irregular,scoured,sub-horizontal,silty,nannofossil ooze,,silty nannofossil ooze,silty nannofossil ooze,nannofossil ooze,,GLEY 2 3/10G (very dark greenish gray),,unconsolidated,silt,2.0,fine sand,4.0,,poor,non-graded,,none,0.0,,,,,,,,,,,,,,,352,U1440,A,3,H,1,A,,,
352-U1440A-3H-1-A,117.0,149.0,14.37,14.69,IB,,,,foraminifer-bearing,mud,with diatoms,foraminifer-bearing mud,foraminifer-bearing mud with diatoms,mud with diatoms,,GLEY 1 6/10Y (greenish gray),,unconsolidated,clay,1.0,silt,2.0,silicic biogenic and terrigenous matter increased.,moderate,non-graded,mottled layer,moderate,2.0,,,,,,,,,,,,,,,352,U1440,A,3,H,1,A,,,
352-U1440A-3H-2-A,0.0,92.0,14.69,15.61,IB,,,,foraminifer-bearing,mud,with diatoms,foraminifer-bearing mud,foraminifer-bearing mud with diatoms,mud with diatoms,,GLEY 1 5/10Y (greenish gray),,unconsolidated,clay,1.0,silt,2.0,silicic biogenic and terrigenous matter increased.,moderate,non-graded,mottled layer,moderate,2.0,,,,,,,,,,,,,,,352,U1440,A,3,H,2,A,,,
352-U1440A-3H-3-A,0.0,36.0,15.61,15.97,IB,,,,foraminifer-bearing,mud,with diatoms,foraminifer-bearing mud,foraminifer-bearing mud with diatoms,mud with diatoms,,GLEY 1 5/10Y (greenish gray),,unconsolidated,clay,1.0,silt,2.0,silicic biogenic and terrigenous matter increased.,moderate,non-graded,mottled layer,moderate,2.0,scattered pumice,,,,"volcanic, felsic",,sub-rounded,,,,,,,,352,U1440,A,3,H,3,A,,,
352-U1440A-3H-3-A,36.0,38.0,15.97,15.99,IB,irregular,sharp,sub-horizontal,silty,fine sand,,silty fine sand,silty fine sand,fine sand,,GLEY 1 5/10Y (greenish gray),,unconsolidated,silt,2.0,fine sand,4.0,,moderate,normally graded,,none,0.0,,,,,,,,,,,,,,,352,U1440,A,3,H,3,A,,,
352-U1440A-3H-3-A,38.0,49.0,15.99,16.1,IB,,,,foraminifer-bearing,mud,with diatoms,foraminifer-bearing mud,foraminifer-bearing mud with diatoms,mud with diatoms,,GLEY 1 5/10Y (greenish gray),,unconsolidated,clay,1.0,silt,2.0,silicic biogenic and terrigenous matter increased.,moderate,non-graded,mottled layer,moderate,2.0,scattered pumice,,,,"volcanic, felsic",,sub-rounded,,,,,,,,352,U1440,A,3,H,3,A,,,
352-U1440A-3H-3-A,49.0,49.5,16.1,16.105,IB,irregular,sharp,sub-horizontal,tuffaceous,fine sand,,tuffaceous fine sand,tuffaceous fine sand,fine sand,,GLEY 2 3/10G (very dark greenish gray),,unconsolidated,silt,2.0,fine sand,4.0,,poor,normally graded,,none,0.0,,,,,,,,,,,,,,,352,U1440,A,3,H,3,A,,,
352-U1440A-3H-3-A,49.5,150.0,16.105,17.11,IB,,,,foraminifer-bearing,mud,with diatoms,foraminifer-bearing mud,foraminifer-bearing mud with diatoms,mud with diatoms,,GLEY 1 5/10Y (greenish gray),,unconsolidated,clay,1.0,silt,2.0,silicic biogenic and terrigenous matter increased.,moderate,non-graded,mottled layer,moderate,2.0,scattered pumice,,,,"volcanic, felsic",,sub-rounded,,,,,,,,352,U1440,A,3,H,3,A,,,
352-U1440A-3H-4-A,0.0,145.0,17.11,18.56,IB,,,,foraminifer-bearing,mud,with diatoms,foraminifer-bearing mud,foraminifer-bearing mud with diatoms,mud with diatoms,,2.5Y 4/1 (dark gray),,unconsolidated,clay,1.0,silt,2.0,silicic biogenic and terrigenous matter increased.,moderate,non-graded,mottled layer,moderate,2.0,scattered pumice,,,,"volcanic, felsic",,sub-rounded,,,,,,,,352,U1440,A,3,H,4,A,,,
352-U1440A-3H-4-A,145.0,150.0,18.56,18.61,,,,,,,,,,,,,,,,,,,IW,,,,,,,,,,,,,,,,,,,,352,U1440,A,3,H,4,A,,,
352-U1440A-3H-5-A,0.0,150.0,18.61,20.11,IB,,,,foraminifer-bearing,mud,with diatoms,foraminifer-bearing mud,foraminifer-bearing mud with diatoms,mud with diatoms,,GLEY 1 6/10Y (greenish gray),,unconsolidated,silt,2.0,silt,2.0,silicic biogenic and terrigenous matter increased.,moderate,non-graded,mottled layer,moderate,2.0,scattered pumice,,,,"volcanic, felsic",,sub-rounded,,,,,,,,352,U1440,A,3,H,5,A,,,
