Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithification,Lithology Prefix,Lithology Principal Name,Texture Rank,Lithology Suffix,MAJ Lith. prefix+name+suffix [read only],"FACIES (neritic, hemipelagic, pelagic)",MAJ lith color (simple),Fossil,Sedimentary structure,Diagenetic structure,Layer or bedding thickness,Bioturbation intensity,Bioturbation intensity rank [read only],Bottom contact or boundary definition,Bottom contact or boundary attitude,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
356-U1461A-3F-2-A,0,150,7.8,9.3,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,hemipelagic,pale yellowish brown 10YR 6/2,foraminifera (small benthic),,,,,,,,Unlithified homogeneous moderate pale yellowish brown (10Y 6/2) packstone with benthic foraminifera.,,,,356,U1461,A,3,F,2,A
356-U1461A-3F-2-A,0,150,7.8,9.3,,,,,,,,,bivalve,,,,,,,,,,,,356,U1461,A,3,F,2,A
356-U1461A-3F-3-A,0,45,9.3,9.75,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,hemipelagic,pale yellowish brown 10YR 6/2,foraminifera (small benthic),,,,,,gradational,inclined,Unlithified homogeneous moderate pale yellowish brown (10Y 6/2) packstone with benthic foraminifera.,,,,356,U1461,A,3,F,3,A
356-U1461A-3F-3-A,45,109,9.75,10.39,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,hemipelagic,light olive gray,skeletal fragments,,,,,,,,Unlithified homogeneous light olive gray packstone with benthic foraminifera and skeletal fragments (crab).,,,,356,U1461,A,3,F,3,A
356-U1461A-3F-3-A,109,112,10.39,10.42,,,,,,,,,,,,,,,,,VOID,,,,356,U1461,A,3,F,3,A
356-U1461A-3F-CC-A,0,8,10.42,10.5,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,hemipelagic,light olive gray,,,,,,,,,Unlithified homogeneous light olive gray packstone with benthic foraminifera.,,,,356,U1461,A,3,F,CC,A
356-U1461A-4H-1-A,0,20,11.0,11.2,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,gray,,,,,,,bioturbated,inclined,,,,,356,U1461,A,4,H,1,A
356-U1461A-4H-1-A,0,150,11.0,12.5,,,,,,,,,bivalve,,,,,,,,,,,,356,U1461,A,4,H,1,A
356-U1461A-4H-1-A,20,150,11.2,12.5,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,creamy gray,foraminifera (small benthic),,,,slight [B06],2,,,,,,,356,U1461,A,4,H,1,A
356-U1461A-4H-2-A,0,54,12.35,12.89,unlithified [Leg194],,mudstone [E&K72; D62],1,with glauconite [2014],mudstone with glauconite,hemipelagic,creamy gray,,,,,slight [B06],2,bioturbated,inclined,,,,,356,U1461,A,4,H,2,A
356-U1461A-4H-2-A,0,150,12.35,13.85,,,,,,,,,bivalve,,,,,,,,,,,,356,U1461,A,4,H,2,A
356-U1461A-4H-2-A,0,150,12.35,13.85,,,,,,,,,scaphopod,,,,,,,,,,,,356,U1461,A,4,H,2,A
356-U1461A-4H-2-A,54,150,12.89,13.85,unlithified [Leg194],glauconite-rich,packstone [E&K72; D62],3,,glauconite-rich packstone,hemipelagic,greenish gray,foraminifera (small benthic),,,,,,,,,,,,356,U1461,A,4,H,2,A
356-U1461A-4H-3-A,0,148,13.85,15.33,unlithified [Leg194],skeletal,packstone [E&K72; D62],3,with glauconite [2014],skeletal packstone with glauconite,hemipelagic,light grayish green,foraminifera (small benthic),,,,,,,,,,,,356,U1461,A,4,H,3,A
356-U1461A-4H-3-A,148,150,15.33,15.35,,,,,,,,,,,,,,,,,VOID,,,,356,U1461,A,4,H,3,A
356-U1461A-4H-4-A,0,150,15.35,16.85,unlithified [Leg194],skeletal,packstone [E&K72; D62],3,with glauconite [2014],skeletal packstone with glauconite,hemipelagic,light grayish green,foraminifera (small benthic),,,,,,,,,,,,356,U1461,A,4,H,4,A
356-U1461A-4H-5-A,0,80,16.85,17.65,unlithified [Leg194],,wackestone [E&K72; D62],2,with glauconite [2014],wackestone with glauconite,hemipelagic,light grayish green,foraminifera (small benthic),,,,slight [B06],2,,,,,,,356,U1461,A,4,H,5,A
356-U1461A-4H-5-A,0,80,16.85,17.65,,,,,,,,,gastropod,,,,,,,,,,,,356,U1461,A,4,H,5,A
356-U1461A-4H-5-A,80,145,17.65,18.3,unlithified [Leg194],,wackestone [E&K72; D62],2,with glauconite [2014],wackestone with glauconite,hemipelagic,creamy gray,foraminifera (small benthic),,,,slight [B06],2,,,,,,,356,U1461,A,4,H,5,A
356-U1461A-4H-6-A,0,110,18.35,19.45,unlithified [Leg194],,wackestone [E&K72; D62],2,with glauconite [2014],wackestone with glauconite,hemipelagic,creamy gray,foraminifera (small benthic),,,,slight [B06],2,,,,,,,356,U1461,A,4,H,6,A
356-U1461A-4H-7-A,0,61,19.45,20.06,unlithified [Leg194],,mudstone [E&K72; D62],1,with glauconite [2014],mudstone with glauconite,hemipelagic,creamy gray,foraminifera (small benthic),,,,slight [B06],2,,,,,,,356,U1461,A,4,H,7,A
356-U1461A-4H-CC-A,0,14,20.06,20.2,unlithified [Leg194],,mudstone [E&K72; D62],1,with glauconite [2014],mudstone with glauconite,hemipelagic,creamy gray,foraminifera (small benthic),,,,,,,,,,,,356,U1461,A,4,H,CC,A
356-U1461A-4H-CC-A,14,25,20.2,20.31,,,,,,,,,,,,,,,,,PAL,,,,356,U1461,A,4,H,CC,A
356-U1461A-5H-1-A,0,150,20.5,22.0,unlithified [Leg194],,mudstone [E&K72; D62],1,with glauconite [2014],mudstone with glauconite,hemipelagic,creamy gray,foraminifera (small benthic),,,,slight [B06],2,,,Unlithified creamy gray mudstone with glauconite. rarely containing glauconite-rich patches. concreted burrow at the uppermost part of the core.,,,,356,U1461,A,5,H,1,A
356-U1461A-5H-1-A,0,150,20.5,22.0,,,,,,,,,trace fossil,,,,,,,,,,,,356,U1461,A,5,H,1,A
356-U1461A-5H-2-A,0,150,22.0,23.5,unlithified [Leg194],,mudstone [E&K72; D62],1,with glauconite [2014],mudstone with glauconite,hemipelagic,creamy gray,foraminifera (small benthic),,,,,,,,Unlithified creamy gray homogeneous mudstone with glauconite.,,,,356,U1461,A,5,H,2,A
356-U1461A-5H-3-A,0,6,23.5,23.56,unlithified [Leg194],,mudstone [E&K72; D62],1,with glauconite [2014],mudstone with glauconite,hemipelagic,creamy gray,foraminifera (small benthic),,,,slight [B06],2,bioturbated,inclined,,,,,356,U1461,A,5,H,3,A
356-U1461A-5H-3-A,6,73,23.56,24.23,unlithified [Leg194],,wackestone [E&K72; D62],2,with glauconite [2014],wackestone with glauconite,hemipelagic,creamy gray,foraminifera (small benthic),,,,slight [B06],2,bioturbated,inclined,wackestone containing frequent glauconite-rich patches,,,,356,U1461,A,5,H,3,A
356-U1461A-5H-3-A,6,73,23.56,24.23,,,,,,,,,bivalve,,,,,,,,,,,,356,U1461,A,5,H,3,A
356-U1461A-5H-3-A,73,150,24.23,25.0,unlithified [Leg194],glauconite-rich,packstone [E&K72; D62],3,,glauconite-rich packstone,hemipelagic,creamy gray,foraminifera (small benthic),,,,,,,,Glauconite-rich packstone. Coarse sand grain containing sand to gravel size dark grain abundantly.,,,,356,U1461,A,5,H,3,A
356-U1461A-5H-3-A,73,150,24.23,25.0,,,,,,,,,gastropod,,,,,,,,,,,,356,U1461,A,5,H,3,A
356-U1461A-5H-4-A,0,96,25.0,25.96,unlithified [Leg194],glauconite-rich,packstone [E&K72; D62],3,,glauconite-rich packstone,hemipelagic,creamy gray,foraminifera (small benthic),,,,,,,,,,,,356,U1461,A,5,H,4,A
356-U1461A-5H-4-A,0,96,25.0,25.96,,,,,,,,,bivalve,,,,,,,,,,,,356,U1461,A,5,H,4,A
356-U1461A-5H-4-A,0,96,25.0,25.96,,,,,,,,,bryozoa,,,,,,,,,,,,356,U1461,A,5,H,4,A
356-U1461A-5H-4-A,96,145,25.96,26.45,,,,,,,,,bivalve,,,,,,,,,,,,356,U1461,A,5,H,4,A
356-U1461A-5H-4-A,96,150,25.96,26.5,unlithified [Leg194],,wackestone [E&K72; D62],2,with glauconite [2014],wackestone with glauconite,hemipelagic,creamy gray,foraminifera (small benthic),,,,slight [B06],2,bioturbated,inclined,wackestone containing frequent glauconite-rich patches,,,,356,U1461,A,5,H,4,A
356-U1461A-5H-5-A,0,145,26.5,27.95,unlithified [Leg194],,wackestone [E&K72; D62],2,with glauconite [2014],wackestone with glauconite,hemipelagic,creamy gray,coral (solitary),,,,slight [B06],2,,,"Unlithified cream gray wackestone with coral and benthic foraminifera, containing glauconite-rich patches frequently.",,,,356,U1461,A,5,H,5,A
356-U1461A-5H-5-A,0,145,26.5,27.95,,,,,,,,,foraminifera (small benthic),,,,,,,,,,,,356,U1461,A,5,H,5,A
356-U1461A-5H-5-A,0,145,26.5,27.95,,,,,,,,,gastropod,,,,,,,,,,,,356,U1461,A,5,H,5,A
356-U1461A-5H-5-A,145,150,27.95,28.0,,,,,,,,,,,,,,,,,IW,,,,356,U1461,A,5,H,5,A
356-U1461A-5H-6-A,0,130,28.0,29.3,unlithified [Leg194],,mudstone [E&K72; D62],1,with glauconite [2014],mudstone with glauconite,hemipelagic,creamy gray,foraminifera (small benthic),,,,,,,,"Unlithified cream gray homogeneous mudstone, containing glauconite-rich patches frequently.",,,,356,U1461,A,5,H,6,A
356-U1461A-5H-6-A,0,130,28.0,29.3,,,,,,,,,bivalve,,,,,,,,,,,,356,U1461,A,5,H,6,A
356-U1461A-5H-7-A,0,60,29.3,29.9,unlithified [Leg194],,mudstone [E&K72; D62],1,with glauconite [2014],mudstone with glauconite,hemipelagic,creamy gray,foraminifera (small benthic),,,,,,,,Unlithified cream gray homogeneous mudstone.,,,,356,U1461,A,5,H,7,A
356-U1461A-5H-CC-A,0,10,29.9,30.0,unlithified [Leg194],,mudstone [E&K72; D62],1,with glauconite [2014],mudstone with glauconite,hemipelagic,creamy gray,,,,,,,,,,,,,356,U1461,A,5,H,CC,A
356-U1461A-5H-CC-A,10,20,30.0,30.1,,,,,,,,,,,,,,,,,PAL,,,,356,U1461,A,5,H,CC,A
356-U1461A-6H-1-A,0,146,30.0,31.46,unlithified [Leg194],,mudstone [E&K72; D62],1,with glauconite [2014],mudstone with glauconite,hemipelagic,cream,scaphopod,,,,,,,,Unlithified creamy gray homogeneous mudstone. containing sporadically glauconite-rich patches. concreted burrows at the uppermost part of the core.,,,,356,U1461,A,6,H,1,A
356-U1461A-6H-1-A,0,146,30.0,31.46,,,,,,,,,bivalve,,,,,,,,,,,,356,U1461,A,6,H,1,A
356-U1461A-6H-1-A,0,146,30.0,31.46,,,,,,,,,bryozoa,,,,,,,,,,,,356,U1461,A,6,H,1,A
356-U1461A-6H-1-A,0,146,30.0,31.46,,,,,,,,,trace fossil,,,,,,,,,,,,356,U1461,A,6,H,1,A
356-U1461A-6H-2-A,0,150,31.5,33.0,unlithified [Leg194],,mudstone [E&K72; D62],1,with glauconite [2014],mudstone with glauconite,hemipelagic,cream,,,,,,,,,Unlithified creamy gray homogeneous mudstone.,,,,356,U1461,A,6,H,2,A
356-U1461A-6H-3-A,0,150,33.0,34.5,unlithified [Leg194],,mudstone [E&K72; D62],1,with glauconite [2014],mudstone with glauconite,hemipelagic,cream,,,,,slight [B06],2,,,,,,,356,U1461,A,6,H,3,A
356-U1461A-6H-4-A,0,150,34.5,36.0,unlithified [Leg194],,mudstone [E&K72; D62],1,with glauconite [2014],mudstone with glauconite,hemipelagic,creamy gray,foraminifera (small benthic),,,,slight [B06],2,,,Unlithified creamy gray mudstone with glauconite.,,,,356,U1461,A,6,H,4,A
356-U1461A-6H-4-A,0,150,34.5,36.0,,,,,,,,,bivalve,,,,,,,,,,,,356,U1461,A,6,H,4,A
356-U1461A-6H-4-A,0,150,34.5,36.0,,,,,,,,,gastropod,,,,,,,,,,,,356,U1461,A,6,H,4,A
356-U1461A-6H-5-A,0,90,36.0,36.9,unlithified [Leg194],,mudstone [E&K72; D62],1,with glauconite [2014],mudstone with glauconite,hemipelagic,creamy gray,,,,,slight [B06],2,,,,,,,356,U1461,A,6,H,5,A
356-U1461A-6H-5-A,90,145,36.9,37.45,unlithified [Leg194],,wackestone [E&K72; D62],2,with glauconite [2014],wackestone with glauconite,hemipelagic,creamy gray,foraminifera (small benthic),,,,slight [B06],2,,,,,,,356,U1461,A,6,H,5,A
356-U1461A-6H-5-A,145,150,37.45,37.5,,,,,,,,,,,,,,,,,IW,,,,356,U1461,A,6,H,5,A
356-U1461A-6H-6-A,0,120,37.5,38.7,unlithified [Leg194],,wackestone [E&K72; D62],2,with glauconite [2014],wackestone with glauconite,hemipelagic,creamy gray,foraminifera (small benthic),,,,slight [B06],2,,,,,,,356,U1461,A,6,H,6,A
356-U1461A-6H-7-A,0,56,38.7,39.26,unlithified [Leg194],,wackestone [E&K72; D62],2,with glauconite [2014],wackestone with glauconite,hemipelagic,creamy gray,foraminifera (small benthic),,,,slight [B06],2,,,,,,,356,U1461,A,6,H,7,A
356-U1461A-7H-1-A,0,150,39.5,41.0,unlithified [Leg194],skeletal,packstone [E&K72; D62],3,with foraminifers [2014],skeletal packstone with foraminifers,hemipelagic,gray,foraminifera (small benthic),,,,slight [B06],2,,,gray almost homogenous slightly bioturbated skeletal packstone with foraminifers and more than 25% glauconite. Scaphopods tubes are visible. Glauconite is disseminated throughout the section.,,,,356,U1461,A,7,H,1,A
356-U1461A-7H-2-A,0,150,41.0,42.5,unlithified [Leg194],skeletal,packstone [E&K72; D62],3,with foraminifers [2014],skeletal packstone with foraminifers,hemipelagic,gray,foraminifera (small benthic),,,,slight [B06],2,,,gray almost homogenous slightly bioturbated skeletal packstone with foraminifers and more than 25% glauconite. Scaphopods and mollusks are visible. Glauconite is disseminated throughout the section.,,,,356,U1461,A,7,H,2,A
356-U1461A-7H-2-A,0,150,41.0,42.5,,,,,,,,,bivalve,,,,,,,,,,,,356,U1461,A,7,H,2,A
356-U1461A-7H-3-A,0,145,42.5,43.95,unlithified [Leg194],skeletal,packstone [E&K72; D62],3,with foraminifers [2014],skeletal packstone with foraminifers,hemipelagic,gray,foraminifera (small benthic),,,,,,,,gray almost homogeneous slightly bioturbated skeletal packstone with foraminifers and more than 25% glauconite. Scaphopods and mollusks are visible. Glauconite is disseminated throughout the section.,,,,356,U1461,A,7,H,3,A
356-U1461A-7H-3-A,0,145,42.5,43.95,,,,,,,,,bivalve,,,,,,,,,,,,356,U1461,A,7,H,3,A
356-U1461A-7H-3-A,145,150,43.95,44.0,,,,,,,,,,,,,,,,,VOID,,,,356,U1461,A,7,H,3,A
356-U1461A-7H-4-A,0,150,44.0,45.5,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,hemipelagic,light greenish gray,foraminifera (small benthic),,,,,,,,,,,,356,U1461,A,7,H,4,A
356-U1461A-7H-4-A,0,150,44.0,45.5,,,,,,,,,bivalve,,,,,,,,Unlithified homogeneous light greenish gray packstone.,,,,356,U1461,A,7,H,4,A
356-U1461A-7H-4-A,0,150,44.0,45.5,,,,,,,,,bryozoa,,,,,,,,,,,,356,U1461,A,7,H,4,A
356-U1461A-7H-4-A,0,150,44.0,45.5,,,,,,,,,gastropod,,,,,,,,,,,,356,U1461,A,7,H,4,A
356-U1461A-7H-5-A,0,140,45.5,46.9,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,hemipelagic,light greenish gray,foraminifera (small benthic),,,,,,gradational,horizontal,Unlithified homogeneous light greenish gray packstone.,,,,356,U1461,A,7,H,5,A
356-U1461A-7H-5-A,140,145,46.9,46.95,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,light greenish gray,foraminifera (small benthic),,,,,,,,,,,,356,U1461,A,7,H,5,A
356-U1461A-7H-5-A,145,150,46.95,47.0,,,,,,,,,,,,,,,,,IW,,,,356,U1461,A,7,H,5,A
356-U1461A-7H-6-A,0,98,47.0,47.98,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,light greenish gray,foraminifera (small benthic),,,,,,,,Unlithified homogeneous light greenish gray wackestone.,,,,356,U1461,A,7,H,6,A
356-U1461A-7H-CC-A,0,10,47.98,48.08,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,light greenish gray,foraminifera (small benthic),,,,,,,,,,,,356,U1461,A,7,H,CC,A
356-U1461A-7H-CC-A,0,10,47.98,48.08,,,,,,,,,,,,,,,,,to paleo,,,,356,U1461,A,7,H,CC,A
356-U1461A-8H-1-A,0,8,49.0,49.08,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,light gray,,,,,,,wavy,sub-horizontal,Unlithified homogeneous light gray mudstone.,,,,356,U1461,A,8,H,1,A
356-U1461A-8H-1-A,8,12,49.08,49.12,unlithified [Leg194],peloid rich,packstone [E&K72; D62],3,,peloid rich packstone,hemipelagic,light gray,bivalve,,,,,,sharp,inclined,Peloids rich packstone with various fossils.,,,,356,U1461,A,8,H,1,A
356-U1461A-8H-1-A,8,12,49.08,49.12,,,,,,,,,echinoderm,,,,,,,,,,,,356,U1461,A,8,H,1,A
356-U1461A-8H-1-A,8,12,49.08,49.12,,,,,,,,,foraminifera (small benthic),,,,,,,,,,,,356,U1461,A,8,H,1,A
356-U1461A-8H-1-A,8,12,49.08,49.12,,,,,,,,,gastropod,,,,,,,,,,,,356,U1461,A,8,H,1,A
356-U1461A-8H-1-A,8,12,49.08,49.12,,,,,,,,,scaphopod,,,,,,,,,,,,356,U1461,A,8,H,1,A
356-U1461A-8H-1-A,12,149,49.12,50.49,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,light gray,foraminifera (small benthic),,,,,,,,"Unlithified homogeneous light gray mudstone. The upper part of the bed, concreted burrow and shell fragments, possibility fall-in from the upper peloids rich packstone bed.",,,,356,U1461,A,8,H,1,A
356-U1461A-8H-1-A,12,149,49.12,50.49,,,,,,,,,trace fossil,,,,,,,,,,,,356,U1461,A,8,H,1,A
356-U1461A-8H-2-A,0,145,50.5,51.95,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,hemipelagic,light gray,trace fossil,,,,,,,,Rare skeletal fragments. Rare small benthic forams.,,,,356,U1461,A,8,H,2,A
356-U1461A-8H-2-A,0,145,50.5,51.95,,,,,,,,,foraminifera (small benthic),,,,,,,,,,,,356,U1461,A,8,H,2,A
356-U1461A-8H-3-A,0,131,52.0,53.31,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,hemipelagic,light gray,foraminifera (small benthic),,,,,,,,,,,,356,U1461,A,8,H,3,A
356-U1461A-8H-3-A,131,150,53.31,53.5,unlithified [Leg194],peloid rich,wackestone [E&K72; D62],2,,peloid rich wackestone,hemipelagic,creamy gray,,,,thinly bedded [I54],,,,,Thinly bedded peloid rich beds between wackestone layers.,,,,356,U1461,A,8,H,3,A
356-U1461A-8H-4-A,0,29,53.5,53.79,unlithified [Leg194],peloid rich,wackestone [E&K72; D62],2,,peloid rich wackestone,hemipelagic,creamy gray,,,,very thinly bedded [I54],,,,,,,,,356,U1461,A,8,H,4,A
356-U1461A-8H-4-A,0,73,53.5,54.23,,,,,,,,,foraminifera (large benthic),,,,,,,,,,,,356,U1461,A,8,H,4,A
356-U1461A-8H-4-A,29,73,53.79,54.23,unlithified [Leg194],peloid rich,wackestone [E&K72; D62],2,with skeletal carbonate,peloid rich wackestone with skeletal carbonate,hemipelagic,creamy gray,bivalve,grading (normal),,thinly bedded [I54],,,,,drilling disturbance at the very base?.,,,,356,U1461,A,8,H,4,A
356-U1461A-8H-4-A,29,73,53.79,54.23,,,,,,,,,bryozoa,,,,,,,,,,,,356,U1461,A,8,H,4,A
356-U1461A-8H-4-A,29,73,53.79,54.23,,,,,,,,,gastropod,,,,,,,,,,,,356,U1461,A,8,H,4,A
356-U1461A-8H-CC-A,0,10,54.23,54.33,,,,,,,,,,,,,,,,,ATP,,,,356,U1461,A,8,H,CC,A
356-U1461A-9F-1-A,0,27,54.3,54.57,unlithified [Leg194],peloid rich,wackestone [E&K72; D62],2,with skeletal carbonate,peloid rich wackestone with skeletal carbonate,,creamy gray,bivalve,grading (normal),,,,,,,drilling disturbance.,,,,356,U1461,A,9,F,1,A
356-U1461A-9F-1-A,0,27,54.3,54.57,,,,,,,,,bryozoa,,,,,,,,,,,,356,U1461,A,9,F,1,A
356-U1461A-9F-1-A,0,27,54.3,54.57,,,,,,,,,scaphopod,,,,,,,,,,,,356,U1461,A,9,F,1,A
356-U1461A-9F-1-A,0,27,54.3,54.57,,,,,,,,,trace fossil,,,,,,,,,,,,356,U1461,A,9,F,1,A
356-U1461A-11F-1-A,0,30,57.2,57.5,unlithified [Leg194],skeletal,grainstone [E&K72; D62],4,with intraclasts [2014],skeletal grainstone with intraclasts,,gray,gastropod,,,,,,sharp,inclined,drilling disturbance.,,,,356,U1461,A,11,F,1,A
356-U1461A-11F-1-A,0,30,57.2,57.5,,,,,,,,,bivalve,,,,,,,,,,,,356,U1461,A,11,F,1,A
356-U1461A-11F-1-A,0,30,57.2,57.5,,,,,,,,,bryozoa,,,,,,,,,,,,356,U1461,A,11,F,1,A
356-U1461A-11F-1-A,0,30,57.2,57.5,,,,,,,,,scaphopod,,,,,,,,,,,,356,U1461,A,11,F,1,A
356-U1461A-11F-1-A,30,150,57.5,58.7,partially lithified,,wackestone [E&K72; D62],2,with peloids,wackestone with peloids,hemipelagic,cream,bivalve,,,,,,,,rare skeletal fragments in hand lense. occasional glauconite patch.,,,,356,U1461,A,11,F,1,A
356-U1461A-11F-2-A,0,150,58.7,60.2,partially lithified,,wackestone [E&K72; D62],2,with peloids,wackestone with peloids,hemipelagic,cream,,,,,,,,,very rare shell fragment. Low level of glauconitization throughout.,,,,356,U1461,A,11,F,2,A
356-U1461A-11F-3-A,0,116,60.2,61.36,partially lithified,,wackestone [E&K72; D62],2,with peloids,wackestone with peloids,hemipelagic,cream,bivalve,,,,,,,,"shell fragments throughout, as well as the bivalves, bryzoas and gastropods. Some glauconitization.",,,,356,U1461,A,11,F,3,A
356-U1461A-11F-3-A,0,116,60.2,61.36,,,,,,,,,bryozoa,,,,,,,,,,,,356,U1461,A,11,F,3,A
356-U1461A-11F-3-A,0,116,60.2,61.36,,,,,,,,,gastropod,,,,,,,,,,,,356,U1461,A,11,F,3,A
356-U1461A-11F-CC-A,0,8,61.36,61.44,partially lithified,,wackestone [E&K72; D62],2,with peloids,wackestone with peloids,hemipelagic,cream,,,,,,,,,rare shell fragment. Some glauconitization.,,,,356,U1461,A,11,F,CC,A
356-U1461A-12F-1-A,0,29,61.9,62.19,unlithified [Leg194],skeletal,grainstone [E&K72; D62],4,,skeletal grainstone,,cream gray,gastropod,grading (normal),,,,,sharp,,drilling disturbance.,,,,356,U1461,A,12,F,1,A
356-U1461A-12F-1-A,0,29,61.9,62.19,,,,,,,,,bivalve,,,,,,,,,,,,356,U1461,A,12,F,1,A
356-U1461A-12F-1-A,0,29,61.9,62.19,,,,,,,,,bryozoa,,,,,,,,,,,,356,U1461,A,12,F,1,A
356-U1461A-12F-1-A,29,122,62.19,63.12,partially lithified,skeletal,packstone [E&K72; D62],3,with foraminifers [2014],skeletal packstone with foraminifers,,creamy gray,gastropod,,,,,,sharp,,Glauconite disseminated but unevenly.,,,,356,U1461,A,12,F,1,A
356-U1461A-12F-1-A,29,122,62.19,63.12,,,,,,,,,bivalve,,,,,,,,,,,,356,U1461,A,12,F,1,A
356-U1461A-12F-1-A,122,127,63.12,63.17,lithified [B84],skeletal,packstone [E&K72; D62],3,with foraminifers [2014],skeletal packstone with foraminifers,,creamy gray,,,,,,,sharp,,,,,,356,U1461,A,12,F,1,A
356-U1461A-12F-1-A,127,140,63.17,63.3,partially lithified,skeletal,packstone [E&K72; D62],3,with foraminifers [2014],skeletal packstone with foraminifers,,creamy gray,gastropod,,,,,,sharp,,Glauconite disseminated but unevenly.,,,,356,U1461,A,12,F,1,A
356-U1461A-12F-1-A,127,140,63.17,63.3,,,,,,,,,bivalve,,,,,,,,,,,,356,U1461,A,12,F,1,A
356-U1461A-12F-1-A,140,144,63.3,63.34,lithified [B84],skeletal,packstone [E&K72; D62],3,with foraminifers [2014],skeletal packstone with foraminifers,,creamy gray,,,,,,,sharp,,,,,,356,U1461,A,12,F,1,A
356-U1461A-12F-1-A,144,150,63.34,63.4,partially lithified,skeletal,packstone [E&K72; D62],3,with foraminifers [2014],skeletal packstone with foraminifers,,creamy gray,gastropod,,,,,,sharp,,Glauconite disseminated but unevenly.,,,,356,U1461,A,12,F,1,A
