Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top depth [m],Bottom depth [m],Major prefix modifier before principal,Principal lithology name,Minor suffix modifier after principal,Lithology name,Lithology classification,Lithology [%],Grain size max (mm),Lithification,Comment,File Data
329-U1365B-2H-4-A,329,U1365,B,2,2-4,H,4,A,115,130,9.75,9.9,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,
329-U1365B-2H-4-A,329,U1365,B,2,2-4,H,4,A,140,150,10,10.1,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,
329-U1365B-2H-5-A,329,U1365,B,2,2-5,H,5,A,0,50,10.1,10.6,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,
329-U1365B-2H-5-A,329,U1365,B,2,2-5,H,5,A,75,130,10.85,11.4,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,
329-U1365B-2H-5-A,329,U1365,B,2,2-5,H,5,A,140,150,11.5,11.6,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,
329-U1365B-2H-6-A,329,U1365,B,2,2-6,H,6,A,0,65,11.6,12.25,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,
329-U1365B-2H-6-A,329,U1365,B,2,2-6,H,6,A,75,130,12.35,12.9,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,
329-U1365B-2H-6-A,329,U1365,B,2,2-6,H,6,A,140,150,13,13.1,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,
329-U1365B-2H-7-A,329,U1365,B,2,2-7,H,7,A,0,48,13.1,13.58,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,
329-U1365B-2H-7-A,329,U1365,B,2,2-7,H,7,A,68,78,13.78,13.88,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,
329-U1365B-2H-CC-A,329,U1365,B,2,2-CC,H,CC,A,0,18,13.78,13.96,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,
329-U1365B-3H-1-A,329,U1365,B,3,3-1,H,1,A,10,130,13.7,14.9,,clay [S54] ,,clay,"Shepard, 1954",,,,,
329-U1365B-3H-1-A,329,U1365,B,3,3-1,H,1,A,140,150,15,15.1,,clay [S54] ,,clay,"Shepard, 1954",,,,,
329-U1365B-3H-2-A,329,U1365,B,3,3-2,H,2,A,0,65,15.1,15.75,,clay [S54] ,,clay,"Shepard, 1954",,,,,
329-U1365B-3H-2-A,329,U1365,B,3,3-2,H,2,A,75,130,15.85,16.4,,clay [S54] ,,clay,"Shepard, 1954",,,,,
329-U1365B-3H-2-A,329,U1365,B,3,3-2,H,2,A,140,150,16.5,16.6,,clay [S54] ,,clay,"Shepard, 1954",,,,,
329-U1365B-3H-3-A,329,U1365,B,3,3-3,H,3,A,0,65,16.6,17.25,,clay [S54] ,,clay,"Shepard, 1954",,,,,
329-U1365B-3H-3-A,329,U1365,B,3,3-3,H,3,A,75,130,17.35,17.9,,clay [S54] ,,clay,"Shepard, 1954",,,,,
329-U1365B-3H-3-A,329,U1365,B,3,3-3,H,3,A,140,150,18,18.1,,clay [S54] ,,clay,"Shepard, 1954",,,,,
329-U1365B-3H-4-A,329,U1365,B,3,3-4,H,4,A,0,65,18.1,18.75,,clay [S54] ,,clay,"Shepard, 1954",,,,,
329-U1365B-3H-4-A,329,U1365,B,3,3-4,H,4,A,75,100,18.85,19.1,,clay [S54] ,,clay,"Shepard, 1954",,,,,
329-U1365B-3H-4-A,329,U1365,B,3,3-4,H,4,A,115,130,19.25,19.4,,clay [S54] ,,clay,"Shepard, 1954",,,,,
329-U1365B-3H-4-A,329,U1365,B,3,3-4,H,4,A,140,150,19.5,19.6,,clay [S54] ,,clay,"Shepard, 1954",,,,,
329-U1365B-3H-5-A,329,U1365,B,3,3-5,H,5,A,0,65,19.6,20.25,,clay [S54] ,,clay,"Shepard, 1954",,,,,
329-U1365B-3H-5-A,329,U1365,B,3,3-5,H,5,A,75,130,20.35,20.9,zeolitic pelagic,clay [S54] ,,zeolitic pelagic clay,"Shepard, 1954",,,,,
329-U1365B-3H-5-A,329,U1365,B,3,3-5,H,5,A,140,150,21,21.1,,clay [S54] ,,clay,"Shepard, 1954",,,,,
329-U1365B-3H-6-A,329,U1365,B,3,3-6,H,6,A,0,65,21.1,21.75,,clay [S54] ,,clay,"Shepard, 1954",,,,,
329-U1365B-3H-6-A,329,U1365,B,3,3-6,H,6,A,75,130,21.85,22.4,,clay [S54] ,,clay,"Shepard, 1954",,,,,
329-U1365B-3H-6-A,329,U1365,B,3,3-6,H,6,A,140,150,22.5,22.6,,clay [S54] ,,clay,"Shepard, 1954",,,,,
329-U1365B-3H-7-A,329,U1365,B,3,3-7,H,7,A,0,30,22.6,22.9,,clay [S54] ,,clay,"Shepard, 1954",,,,,
329-U1365B-3H-7-A,329,U1365,B,3,3-7,H,7,A,40,54,23,23.14,,clay [S54] ,,clay,"Shepard, 1954",,,,,
329-U1365B-3H-CC-A,329,U1365,B,3,3-CC,H,CC,A,0,13,23.14,23.27,,clay [S54] ,,clay,"Shepard, 1954",,,,,
329-U1365B-4H-1-A,329,U1365,B,4,4-1,H,1,A,0,65,23.1,23.75,,clay [S54] ,,clay,"Shepard, 1954",,,,,
329-U1365B-4H-1-A,329,U1365,B,4,4-1,H,1,A,75,130,23.85,24.4,,clay [S54] ,,clay,"Shepard, 1954",,,,,
329-U1365B-4H-1-A,329,U1365,B,4,4-1,H,1,A,140,150,24.5,24.6,,clay [S54] ,,clay,"Shepard, 1954",,,,,
329-U1365B-4H-2-A,329,U1365,B,4,4-2,H,2,A,0,65,24.6,25.25,,clay [S54] ,,clay,"Shepard, 1954",,,,,
329-U1365B-4H-2-A,329,U1365,B,4,4-2,H,2,A,75,130,25.35,25.9,,clay [S54] ,,clay,"Shepard, 1954",,,,,
329-U1365B-4H-2-A,329,U1365,B,4,4-2,H,2,A,140,150,26,26.1,,clay [S54] ,,clay,"Shepard, 1954",,,,,
329-U1365B-4H-3-A,329,U1365,B,4,4-3,H,3,A,0,50,26.1,26.6,,clay [S54] ,,clay,"Shepard, 1954",,,,,
329-U1365B-4H-3-A,329,U1365,B,4,4-3,H,3,A,75,130,26.85,27.4,,clay [S54] ,,clay,"Shepard, 1954",,,,,
329-U1365B-4H-3-A,329,U1365,B,4,4-3,H,3,A,140,150,27.5,27.6,,clay [S54] ,,clay,"Shepard, 1954",,,,,
329-U1365B-4H-4-A,329,U1365,B,4,4-4,H,4,A,0,50,27.6,28.1,,clay [S54] ,,clay,"Shepard, 1954",,,,,
329-U1365B-4H-4-A,329,U1365,B,4,4-4,H,4,A,75,85,28.35,28.45,,clay [S54] ,,clay,"Shepard, 1954",,,,,
329-U1365B-4H-4-A,329,U1365,B,4,4-4,H,4,A,115,130,28.75,28.9,,clay [S54] ,,clay,"Shepard, 1954",,,,,
329-U1365B-4H-4-A,329,U1365,B,4,4-4,H,4,A,140,150,29,29.1,,clay [S54] ,,clay,"Shepard, 1954",,,,,
329-U1365B-4H-5-A,329,U1365,B,4,4-5,H,5,A,0,50,29.1,29.6,,clay [S54] ,,clay,"Shepard, 1954",,,,,
329-U1365B-4H-5-A,329,U1365,B,4,4-5,H,5,A,75,130,29.85,30.4,,clay [S54] ,,clay,"Shepard, 1954",,,,,
329-U1365B-4H-5-A,329,U1365,B,4,4-5,H,5,A,140,150,30.5,30.6,,clay [S54] ,,clay,"Shepard, 1954",,,,,
329-U1365B-4H-6-A,329,U1365,B,4,4-6,H,6,A,0,65,30.6,31.25,,clay [S54] ,,clay,"Shepard, 1954",,,,,
329-U1365B-4H-6-A,329,U1365,B,4,4-6,H,6,A,75,85,31.35,31.45,,clay [S54] ,,clay,"Shepard, 1954",,,,,
329-U1365B-4H-6-A,329,U1365,B,4,4-6,H,6,A,115,130,31.75,31.9,,clay [S54] ,,clay,"Shepard, 1954",,,,,
329-U1365B-4H-6-A,329,U1365,B,4,4-6,H,6,A,140,150,32,32.1,,clay [S54] ,,clay,"Shepard, 1954",,,,,
329-U1365B-4H-7-A,329,U1365,B,4,4-7,H,7,A,0,15,32.1,32.25,,clay [S54] ,,clay,"Shepard, 1954",,,,,
329-U1365B-4H-7-A,329,U1365,B,4,4-7,H,7,A,25,47,32.35,32.57,,clay [S54] ,,clay,"Shepard, 1954",,,,,
329-U1365B-4H-CC-A,329,U1365,B,4,4-CC,H,CC,A,0,15,32.57,32.72,,clay [S54] ,,clay,"Shepard, 1954",,,,,
329-U1365B-5H-1-A,329,U1365,B,5,5-1,H,1,A,0,150,32.6,34.1,zeolitic pelagic,clay [S54] ,,zeolitic pelagic clay,"Shepard, 1954",,,,,
329-U1365B-5H-2-A,329,U1365,B,5,5-2,H,2,A,0,150,34.1,35.6,zeolitic pelagic,clay [S54] ,,zeolitic pelagic clay,"Shepard, 1954",,,,,
329-U1365B-5H-3-A,329,U1365,B,5,5-3,H,3,A,0,150,35.6,37.1,zeolitic pelagic,clay [S54] ,,zeolitic pelagic clay,"Shepard, 1954",,,,,
329-U1365B-5H-4-A,329,U1365,B,5,5-4,H,4,A,0,150,37.1,38.6,zeolitic pelagic,clay [S54] ,,zeolitic pelagic clay,"Shepard, 1954",,,,,
329-U1365B-5H-5-A,329,U1365,B,5,5-5,H,5,A,0,7,38.6,38.67,zeolitic pelagic,clay [S54] ,,zeolitic pelagic clay,"Shepard, 1954",,,,,
329-U1365B-5H-5-A,329,U1365,B,5,5-5,H,5,A,7,75,38.67,39.35,,interlayered pelagic clay and porcellanite [Exp329],,interlayered pelagic clay and porcellanite,,,,,,
329-U1365B-5H-5-A,329,U1365,B,5,5-5,H,5,A,75,85,39.35,39.45,zeolitic pelagic,clay [S54] ,,zeolitic pelagic clay,"Shepard, 1954",,,,,
329-U1365B-5H-5-A,329,U1365,B,5,5-5,H,5,A,85,125,39.45,39.85,,interlayered pelagic clay and porcellanite [Exp329],,interlayered pelagic clay and porcellanite,,,,,,
329-U1365B-5H-5-A,329,U1365,B,5,5-5,H,5,A,125,135,39.85,39.95,zeolitic pelagic,clay [S54] ,,zeolitic pelagic clay,"Shepard, 1954",,,,,
329-U1365B-5H-5-A,329,U1365,B,5,5-5,H,5,A,135,150,39.95,40.1,,interlayered pelagic clay and porcellanite [Exp329],,interlayered pelagic clay and porcellanite,,,,,,
329-U1365B-5H-6-A,329,U1365,B,5,5-6,H,6,A,0,65,40.1,40.75,,interlayered pelagic clay and porcellanite [Exp329],,interlayered pelagic clay and porcellanite,,,,,,
329-U1365B-5H-6-A,329,U1365,B,5,5-6,H,6,A,65,75,40.75,40.85,zeolitic pelagic,clay [S54] ,,zeolitic pelagic clay,"Shepard, 1954",,,,,
329-U1365B-5H-6-A,329,U1365,B,5,5-6,H,6,A,75,130,40.85,41.4,,interlayered pelagic clay and porcellanite [Exp329],,interlayered pelagic clay and porcellanite,,,,,,
329-U1365B-5H-6-A,329,U1365,B,5,5-6,H,6,A,130,140,41.4,41.5,zeolitic pelagic,clay [S54] ,,zeolitic pelagic clay,"Shepard, 1954",,,,,
329-U1365B-5H-6-A,329,U1365,B,5,5-6,H,6,A,140,150,41.5,41.6,,interlayered pelagic clay and porcellanite [Exp329],,interlayered pelagic clay and porcellanite,,,,,,
329-U1365B-5H-7-A,329,U1365,B,5,5-7,H,7,A,0,72,41.6,42.32,zeolitic pelagic,clay [S54] ,,zeolitic pelagic clay,"Shepard, 1954",,,,,
329-U1365B-5H-CC-A,329,U1365,B,5,5-CC,H,CC,A,0,19,42.32,42.51,zeolitic pelagic,clay [S54] ,,zeolitic pelagic clay,"Shepard, 1954",,,,,
329-U1365B-6H-1-A,329,U1365,B,6,6-1,H,1,A,0,39,42.1,42.49,,clay [S54] ,,clay,"Shepard, 1954",50,,,,
329-U1365B-8H-1-A,329,U1365,B,8,8-1,H,1,A,0,146,63.5,64.96,,chert [MMK88],,chert,"Mazullo, Meyer & Kidd, 1988",,,,,
329-U1365B-8H-1-A,329,U1365,B,8,8-1,H,1,A,146,146,64.96,64.96,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,
329-U1365B-8H-2-A,329,U1365,B,8,8-2,H,2,A,0,80,65,65.8,metalliferous,clay [S54] ,DELETE COLUMN (MT)?,metalliferous clay,"Shepard, 1954",DELETE COLUMN (MT)?,,,DELETE COLUMN (MT)?,
329-U1365B-8H-2-A,329,U1365,B,8,8-2,H,2,A,90,100,65.9,66,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,
329-U1365B-8H-3-A,329,U1365,B,8,8-3,H,3,A,0,45,66,66.45,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,
329-U1365B-8H-CC-A,329,U1365,B,8,8-CC,H,CC,A,0,36,66.66,67.02,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,
329-U1365B-9H-1-A,329,U1365,B,9,9-1,H,1,A,0,88,67,67.88,,chert [MMK88],,chert,"Mazullo, Meyer & Kidd, 1988",,,,,
329-U1365B-9H-1-A,329,U1365,B,9,9-1,H,1,A,88,130,67.88,68.3,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,
329-U1365B-9H-1-A,329,U1365,B,9,9-1,H,1,A,140,150,68.4,68.5,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,
329-U1365B-9H-2-A,329,U1365,B,9,9-2,H,2,A,0,30,68.5,68.8,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,
329-U1365B-9H-2-A,329,U1365,B,9,9-2,H,2,A,40,80,68.9,69.3,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,
329-U1365B-9H-2-A,329,U1365,B,9,9-2,H,2,A,90,130,69.4,69.8,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,
329-U1365B-9H-2-A,329,U1365,B,9,9-2,H,2,A,140,155,69.9,70.05,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,
329-U1365B-9H-3-A,329,U1365,B,9,9-3,H,3,A,0,30,70.05,70.35,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,
329-U1365B-9H-3-A,329,U1365,B,9,9-3,H,3,A,70,80,70.75,70.85,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,
329-U1365B-9H-3-A,329,U1365,B,9,9-3,H,3,A,90,100,70.95,71.05,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,
329-U1365B-9H-3-A,329,U1365,B,9,9-3,H,3,A,140,150,71.45,71.55,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,
329-U1365B-9H-4-A,329,U1365,B,9,9-4,H,4,A,0,40,71.55,71.95,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,
329-U1365B-9H-4-A,329,U1365,B,9,9-4,H,4,A,50,80,72.05,72.35,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,
329-U1365B-9H-4-A,329,U1365,B,9,9-4,H,4,A,90,130,72.45,72.85,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,
329-U1365B-9H-4-A,329,U1365,B,9,9-4,H,4,A,140,150,72.95,73.05,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,
329-U1365B-9H-5-A,329,U1365,B,9,9-5,H,5,A,0,30,73.05,73.35,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,
329-U1365B-9H-5-A,329,U1365,B,9,9-5,H,5,A,40,80,73.45,73.85,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,
329-U1365B-9H-5-A,329,U1365,B,9,9-5,H,5,A,90,130,73.95,74.35,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,
329-U1365B-9H-5-A,329,U1365,B,9,9-5,H,5,A,140,150,74.45,74.55,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,
329-U1365B-9H-6-A,329,U1365,B,9,9-6,H,6,A,0,40,74.55,74.95,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,
329-U1365B-9H-6-A,329,U1365,B,9,9-6,H,6,A,50,106,75.05,75.61,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,
,,,,,,,,,,,,,,,,,,,,,,
