Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Sample domain number (if >1 domain),Sample domain name (if >1 domain),Domain relative abundance [%],Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name+suffix [read only],Lithology color (Munsell),Layer or bedding thickness,Lithology lithification,Lithology ave. grain size class,Lithology ave. grain size rank [read only],Lithology max. grain size class,Lithology max. grain size rank [read only],General interval comment,Sorting,Grading,Sedimentary structure,Diagenetic structure,Clasts (>2 mm) DOMINANT,DOMINANT Clasts % [%],DOMINANT Clasts ave. grain size class,DOMINANT Clasts ave. grain size rank [read only],DOMINANT Clasts max. grain size class,DOMINANT Clasts max. grain size rank [read only],DOMINANT clast roundness,Clasts (>2 mm) Subdominant,Subdominant Clasts % [%],Subdominant Clasts ave. grain size class,Subdominant Clasts ave. grain size rank [read only],Subdominant Clasts max. grain size class,Subdominant Clasts max. grain size rank [read only],Subdominant clast roundness,Clast comments,"Matrix, fines (<2 mm) DOMINANT",Matrix sorting,Matrix modifier,Matrix comments,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix
366-U1491B-2H-1-A,95,110,4.65,4.8,I,,,,irregular,wavy,inclined,,carbonate,clast,carbonate clast,2.5Y 9.5/1 (white),massive,cemented,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1491,B,2,H,1,A,,,,
366-U1491B-2H-1-A,110,143,4.8,5.13,I,1,Pelagic mud,50,,,,clayey,mud,with lithic clasts,clayey mud with lithic clasts,7.5YR 4/4 (brown),massive,unconsolidated,clay,1,pebble,9,Brown pelagic mud,,,,,mudstone,5,pebble,10,pebble,9,sub-rounded,,,,,,,,,,,,,,,,366,U1491,B,2,H,1,A,,,,
366-U1491B-2H-1-A,110,143,4.8,5.13,I,2,Carbonate chimney,50,,,,,carbonate,clast,carbonate clast,2.5Y 9.5/1 (white),,consolidated,,,,,carbonate chimney? Collapsed into brown mud,,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1491,B,2,H,1,A,,,,
366-U1491B-2H-2-A,0,26,5.13,5.39,I,2,Serpentine mud,30,irregular,gradational,inclined,serpentinite,mud,with lithic clasts,serpentinite mud with lithic clasts,10GY 6/1 (greenish gray),massive,unconsolidated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1491,B,2,H,2,A,,,,
366-U1491B-2H-2-A,0,26,5.13,5.39,II,,Carbonate chimney,70,irregular,gradational,inclined,,carbonate,clast,carbonate clast,2.5Y 9.5/1 (white),massive,lithified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1491,B,2,H,2,A,,,,
366-U1491B-2H-2-A,26,69,5.39,5.82,II,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5Y 6/4 (pale olive),massive,unconsolidated,clay,1,pebble,9,,,,,,ultramafic rock,5,pebble,10,pebble,9,angular,carbonate,1,coarse sand,6,pebble,9,sub-rounded,,,,,,,,,366,U1491,B,2,H,2,A,,,,
366-U1491B-2H-2-A,69,124,5.82,6.37,,,,,,,,,,,,,,,,,,,Wholerounds taken for MBIO and IW,,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1491,B,2,H,2,A,,,,
366-U1491B-2H-3-A,0,151,6.37,7.88,II,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5Y 6/4 (pale olive),massive,unconsolidated,clay,1,pebble,9,,,,,,ultramafic rock,25,pebble,10,pebble,9,angular,breccia,,pebble,10,pebble,9,angular,carbonate matrix breccia with ultramafic clasts,serpentine clay matrix,,,,,,,366,U1491,B,2,H,3,A,,,,
366-U1491B-2H-4-A,0,96,7.88,8.84,II,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5Y 6/4 (pale olive),massive,unconsolidated,clay,1,pebble,9,,,,,,ultramafic rock,20,pebble,10,pebble,9,angular,breccia,5,pebble,10,pebble,9,angular,carbonate matrix breccia with ultramafic clasts,serpentine clay matrix,,,,,,,366,U1491,B,2,H,4,A,,,,
366-U1491B-2H-4-A,96,151,8.84,9.39,,,,,,,,,,,,,,,,,,,Wholerounds taken for MBIO and IW,,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1491,B,2,H,4,A,,,,
366-U1491B-2H-5-A,0,150,9.39,10.89,II,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5Y 6/4 (pale olive),massive,unconsolidated,clay,1,pebble,9,,,,,,ultramafic rock,25,pebble,10,pebble,9,angular,breccia,10,pebble,10,pebble,9,angular,carbonate matrix breccia with ultramafic clasts,serpentine clay matrix,,,,,,,366,U1491,B,2,H,5,A,,,,
366-U1491B-2H-6-A,0,148,10.89,12.37,II,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5Y 6/4 (pale olive),massive,unconsolidated,clay,1,pebble,9,,,,,,ultramafic rock,20,pebble,10,pebble,9,subangular,breccia,10,pebble,10,pebble,9,angular,carbonate matrix with UM clasts,serpentine clay matrix,,,,,,,366,U1491,B,2,H,6,A,,,,
366-U1491B-2H-CC-A,0,36,12.37,12.73,II,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5Y 6/4 (pale olive),massive,unconsolidated,clay,1,pebble,9,,,,,,ultramafic rock,20,pebble,10,pebble,9,subangular,breccia,10,pebble,10,pebble,9,subangular,carbonate matrix with UM clasts,serpentine clay matrix,,,,,,,366,U1491,B,2,H,CC,A,,,,
366-U1491B-3H-1-A,0,76,13.2,13.96,II,,,,,,,"matrix-supported, monomict",medium to coarse sand,with lithic clasts,"matrix-supported, monomict medium to coarse sand with lithic clasts",10GY 6/4 (moderate yellowish green),massive,unconsolidated,coarse sand,6,pebble,9,green-gray gravel with ultramafic clasts,moderate,,,,ultramafic rock,50,granule,8,pebble,9,subangular,ultramafic rock,50,fine sand,4,coarse sand,6,subangular,,serpentine clay matrix,,,,,,,366,U1491,B,3,H,1,A,,,,
366-U1491B-3H-2-A,0,55,13.96,14.51,II,,,,,,,"matrix-supported, monomict",pebbly mud,with lithic clasts,"matrix-supported, monomict pebbly mud with lithic clasts",10GY 6/4 (moderate yellowish green),massive,unconsolidated,clay,1,pebble,9,green-gray mud with ultramafic pebbles,poor,,,,ultramafic rock,15,pebble,10,pebble,9,sub-rounded,ultramafic rock,10,coarse sand,6,granule,8,sub-rounded,,serpentine clay matrix,,,,,,,366,U1491,B,3,H,2,A,,,,
366-U1491B-3H-2-A,55,97,14.51,14.93,II,,,,,,,"matrix-supported, monomict",mud,with lithic clasts,"matrix-supported, monomict mud with lithic clasts",10GY 7/1 (light greenish gray),massive,unconsolidated,clay,1,pebble,9,green-gray mud with ultramafic pebbles,poor,,,,ultramafic rock,10,granule,8,pebble,9,sub-rounded,ultramafic rock,10,coarse sand,6,granule,8,subangular,,serpentine clay matrix,,,,,,,366,U1491,B,3,H,2,A,,,,
366-U1491B-3H-3-A,0,18,15.48,15.66,II,,,,,,,"matrix-supported, monomict",medium to coarse sand,with lithic clasts,"matrix-supported, monomict medium to coarse sand with lithic clasts",10GY 7/1 (light greenish gray),massive,unconsolidated,clay,1,pebble,9,green-gray mud with ultramafic pebbles,poor,,,,ultramafic rock,30,pebble,10,pebble,9,sub-rounded,ultramafic rock,10,coarse sand,6,granule,8,subangular,,serpentine clay matrix,,,,,,,366,U1491,B,3,H,3,A,,,,
366-U1491B-3H-3-A,18,88,15.66,16.36,II,,,,,,,clayey,mud,with lithic clasts,clayey mud with lithic clasts,10GY 7/1 (light greenish gray),massive,unconsolidated,clay,1,coarse sand,6,"green-gray mud with ultramafic pebbles, and weathered ultramafic sand",poor,,,,ultramafic rock,10,medium sand,5,coarse sand,6,subangular,ultramafic rock,10,medium sand,5,medium sand,5,subangular,,serpentine clay matrix,,,,,,,366,U1491,B,3,H,3,A,,,,
366-U1491B-4H-1-A,0,10,16.3,16.4,III,,,,planar,gradational,horizontal,silty,fine sand,,silty fine sand,5GY 3/2 (grayish olive green),thick bed,unconsolidated,fine sand,4,fine sand,4,graded fine sand,well,normally graded,stratification,,ultramafic rock,70,fine sand,4,fine sand,4,sub-rounded,ultramafic rock,30,silt,2,very coarse sand,7,sub-rounded,,serpentine clay matrix,,,,,,,366,U1491,B,4,H,1,A,,,,
366-U1491B-4H-1-A,10,50,16.4,16.8,III,,,,planar,gradational,horizontal,,sand,,sand,5BG 3/1 (very dark greenish gray),thick bed,unconsolidated,medium sand,5,coarse sand,6,graded sand to coarse sand,well,normally graded,stratification,,ultramafic rock,70,coarse sand,6,granule,8,subangular,ultramafic rock,30,fine sand,4,coarse sand,6,subangular,,,,,,,,,366,U1491,B,4,H,1,A,,,,
366-U1491B-4H-1-A,50,51,16.8,16.81,III,,,,planar,sharp,horizontal,silty,fine sand,,silty fine sand,5BG 3/1 (very dark greenish gray),thin bed,unconsolidated,fine sand,4,medium sand,5,graded fine sand,well,normally graded,stratification,,ultramafic rock,80,fine sand,4,medium sand,5,subangular,ultramafic rock,20,medium sand,5,medium sand,5,subangular,,,,,,,,,366,U1491,B,4,H,1,A,,,,
366-U1491B-4H-1-A,51,70,16.81,17,III,,,,planar,gradational,horizontal,,medium to coarse sand,with gravel,medium to coarse sand with gravel,5BG 3/1 (very dark greenish gray),thick bed,unconsolidated,coarse sand,6,granule,8,graded sand to coarse sand,well,normally graded,stratification,,ultramafic rock,70,coarse sand,6,granule,8,subangular,ultramafic rock,30,fine sand,4,medium sand,5,subangular,,,,,,,,,366,U1491,B,4,H,1,A,,,,
366-U1491B-4H-1-A,71,91,17.01,17.21,III,,,,planar,gradational,horizontal,,medium to coarse sand,,medium to coarse sand,5BG 3/1 (very dark greenish gray),thick bed,unconsolidated,medium sand,5,very coarse sand,7,graded sand to coarse sand,well,normally graded,stratification,,ultramafic rock,60,coarse sand,6,very coarse sand,7,subangular,ultramafic rock,40,fine sand,4,coarse sand,6,subangular,,,,,,,,,366,U1491,B,4,H,1,A,,,,
366-U1491B-4H-1-A,91,102,17.21,17.32,III,,,,planar,gradational,horizontal,,medium to coarse sand,,medium to coarse sand,5BG 3/1 (very dark greenish gray),thick bed,unconsolidated,coarse sand,6,very coarse sand,7,graded coarse to very coarse sand,well,normally graded,stratification,,ultramafic rock,70,coarse sand,6,very coarse sand,7,subangular,ultramafic rock,30,medium sand,5,coarse sand,6,subangular,,,,,,,,,366,U1491,B,4,H,1,A,,,,
366-U1491B-4H-2-A,0,95,17.32,18.27,III,,,,planar,gradational,horizontal,,coarse sand to gravel,,coarse sand to gravel,5BG 3/1 (very dark greenish gray),thick bed,unconsolidated,granule,8,granule,8,graded very coarse to granule,well,normally graded,stratification,,ultramafic rock,50,very coarse sand,7,granule,8,subangular,ultramafic rock,50,coarse sand,6,very coarse sand,7,subangular,,,,,,,,,366,U1491,B,4,H,2,A,,,,
366-U1491B-4H-2-A,95,130,18.27,18.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Microbiology,,,,Microbiology,,,,366,U1491,B,4,H,2,A,,,,
366-U1491B-4H-3-A,0,62,18.62,19.24,III,,,,planar,gradational,horizontal,,conglomerate,with gravel,conglomerate with gravel,5BG 3/1 (very dark greenish gray),thick bed,unconsolidated,pebble,9,pebble,9,graded gravel to conglomerate,well,normally graded,stratification,,ultramafic rock,75,pebble,10,pebble,9,sub-rounded,ultramafic rock,25,granule,8,granule,8,sub-rounded,,,,,,,,,366,U1491,B,4,H,3,A,,,,
366-U1491B-4H-CC-A,0,10,19.24,19.34,III,,,,planar,gradational,horizontal,,conglomerate,,conglomerate,5BG 3/1 (very dark greenish gray),thick bed,unconsolidated,pebble,9,pebble,9,,well,normally graded,stratification,,ultramafic rock,90,pebble,10,pebble,9,sub-rounded,ultramafic rock,10,granule,8,pebble,9,sub-rounded,,,,,,,,,366,U1491,B,4,H,CC,A,,,,
366-U1491B-5H-CC-A,0,6,19.3,19.36,III,,,,,,,,ultramafic rock,,ultramafic rock,N 2.5 (black),,,pebble,9,pebble,9,,,,,,,100,pebble,10,pebble,9,sub-rounded,ultramafic rock,,,,,,,,,,,,,,,366,U1491,B,5,H,CC,A,,,,
