Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Minor Lithology Suffix,Lithology name,Lithology classification,Lithology (%),Grain size max (mm),Lithification,Comment,Minor Lithology Prefix,Lithology Suffix,Minor Lithology Name,Extra Sample ID Data
329-U1366D-1H-4-A,329,U1366,D,1,1-4,H,4,A,90,130,5.4,5.8,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,
329-U1366D-1H-4-A,329,U1366,D,1,1-4,H,4,A,140,150,5.9,6.0,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,
329-U1366D-1H-5-A,329,U1366,D,1,1-5,H,5,A,0,30,6.0,6.3,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,
329-U1366D-1H-5-A,329,U1366,D,1,1-5,H,5,A,40,80,6.4,6.8,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,
329-U1366D-1H-5-A,329,U1366,D,1,1-5,H,5,A,90,115,6.9,7.15,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,
329-U1366D-1H-5-A,329,U1366,D,1,1-5,H,5,A,140,150,7.4,7.5,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,
329-U1366D-1H-6-A,329,U1366,D,1,1-6,H,6,A,0,30,7.5,7.8,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,
329-U1366D-1H-6-A,329,U1366,D,1,1-6,H,6,A,40,80,7.9,8.3,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,
329-U1366D-1H-6-A,329,U1366,D,1,1-6,H,6,A,90,120,8.4,8.7,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,
329-U1366D-1H-7-A,329,U1366,D,1,1-7,H,7,A,0,10,8.7,8.8,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,
329-U1366D-1H-7-A,329,U1366,D,1,1-7,H,7,A,20,55,8.9,9.25,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,
329-U1366D-1H-CC-A,329,U1366,D,1,1-CC,H,CC,A,10,19,9.35,9.44,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,
329-U1366D-2H-1-A,329,U1366,D,2,2-1,H,1,A,0,30,9.4,9.7,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,
329-U1366D-2H-1-A,329,U1366,D,2,2-1,H,1,A,40,80,9.8,10.2,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,
329-U1366D-2H-1-A,329,U1366,D,2,2-1,H,1,A,90,130,10.3,10.7,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,
329-U1366D-2H-1-A,329,U1366,D,2,2-1,H,1,A,140,150,10.8,10.9,metalliferous pelagic,clay [S54] ,,metalliferous pelagic clay,"Shepard, 1954",,,,,,,,
329-U1366D-2H-2-A,329,U1366,D,2,2-2,H,2,A,0,30,10.9,11.2,metalliferous pelagic,clay [S54] ,,metalliferous pelagic clay,"Shepard, 1954",,,,,,,,
329-U1366D-2H-2-A,329,U1366,D,2,2-2,H,2,A,40,80,11.3,11.7,metalliferous pelagic,clay [S54] ,,metalliferous pelagic clay,"Shepard, 1954",,,,,,,,
329-U1366D-2H-2-A,329,U1366,D,2,2-2,H,2,A,90,115,11.8,12.05,metalliferous pelagic,clay [S54] ,,metalliferous pelagic clay,"Shepard, 1954",,,,,,,,
329-U1366D-2H-2-A,329,U1366,D,2,2-2,H,2,A,140,150,12.3,12.4,metalliferous pelagic,clay [S54] ,,metalliferous pelagic clay,"Shepard, 1954",,,,,,,,
329-U1366D-2H-3-A,329,U1366,D,2,2-3,H,3,A,0,30,12.4,12.7,metalliferous pelagic,clay [S54] ,,metalliferous pelagic clay,"Shepard, 1954",,,,,,,,
329-U1366D-2H-3-A,329,U1366,D,2,2-3,H,3,A,40,81,12.8,13.21,metalliferous pelagic,clay [S54] ,,metalliferous pelagic clay,"Shepard, 1954",,,,,,,,
329-U1366D-2H-3-A,329,U1366,D,2,2-3,H,3,A,90,130,13.3,13.7,metalliferous pelagic,clay [S54] ,,metalliferous pelagic clay,"Shepard, 1954",,,,,,,,
329-U1366D-2H-3-A,329,U1366,D,2,2-3,H,3,A,140,150,13.8,13.9,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,
329-U1366D-2H-4-A,329,U1366,D,2,2-4,H,4,A,0,30,13.9,14.2,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,
329-U1366D-2H-4-A,329,U1366,D,2,2-4,H,4,A,40,50,14.3,14.4,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,
329-U1366D-2H-4-A,329,U1366,D,2,2-4,H,4,A,90,130,14.8,15.2,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,
329-U1366D-2H-4-A,329,U1366,D,2,2-4,H,4,A,140,150,15.3,15.4,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,
329-U1366D-2H-5-A,329,U1366,D,2,2-5,H,5,A,0,150,15.4,16.9,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,
329-U1366D-2H-6-A,329,U1366,D,2,2-6,H,6,A,0,78,16.9,17.68,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,
329-U1366D-2H-7-A,329,U1366,D,2,2-7,H,7,A,0,94,17.68,18.62,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,
329-U1366D-2H-CC-A,329,U1366,D,2,2-CC,H,CC,A,0,20,18.62,18.82,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,
