Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Color (name),Prefix,Principal Lithology,Classification,Suffix,Complete name,"Dominant grain size (Wentworth, 1922)",Clastic grain roundness,Lithification,Lithology comments,File Data,
334-U1381A-6R-CC-A,334,U1381,A,6,6-CC,R,CC,A,0,18,49.46,49.64,10Y 4/1,,clay [S54],"Shepard, 1954",,clay,clay [U14W22],,soft,Mottled color of Grey green to black.,,
334-U1381A-7R-1-A,334,U1381,A,7,7-1,R,1,A,0,8,51.1,51.18,2.5Y 5/4,silicic calcareous,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",,silicic calcareous ooze,clay [U14W22],,soft,,,
334-U1381A-7R-1-A,334,U1381,A,7,7-1,R,1,A,8,13,51.18,51.23,2.5Y 4/2,,tephra [F&S84],"Fisher and Schminke, 1984",,tephra,silt [U14W22],,soft,,,
334-U1381A-7R-1-A,334,U1381,A,7,7-1,R,1,A,13,30,51.23,51.4,2.5Y 5/4,silicic calcareous,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",,silicic calcareous ooze,clay [U14W22],,soft,,,
334-U1381A-7R-1-A,334,U1381,A,7,7-1,R,1,A,30,35,51.4,51.45,2.5Y 4/2,,tephra [F&S84],"Fisher and Schminke, 1984",,tephra,silt [U14W22],,soft,,,
334-U1381A-7R-1-A,334,U1381,A,7,7-1,R,1,A,35,53,51.45,51.63,2.5Y 5/4,silicic calcareous,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",,silicic calcareous ooze,clay [U14W22],,soft,,,
334-U1381A-7R-1-A,334,U1381,A,7,7-1,R,1,A,53,59,51.63,51.69,2.5Y 4/2,,tephra [F&S84],"Fisher and Schminke, 1984",,tephra,silt [U14W22],,soft,,,
334-U1381A-7R-1-A,334,U1381,A,7,7-1,R,1,A,59,61,51.69,51.71,2.5Y 5/4,silicic calcareous,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",,silicic calcareous ooze,clay [U14W22],,soft,,,
334-U1381A-7R-1-A,334,U1381,A,7,7-1,R,1,A,61,63,51.71,51.73,2.5Y 4/2,,tephra [F&S84],"Fisher and Schminke, 1984",,tephra,silt [U14W22],,soft,,,
334-U1381A-7R-1-A,334,U1381,A,7,7-1,R,1,A,63,66,51.73,51.76,2.5Y 5/4,silicic calcareous,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",,silicic calcareous ooze,clay [U14W22],,soft,,,
334-U1381A-7R-1-A,334,U1381,A,7,7-1,R,1,A,66,70,51.76,51.8,2.5YR 3/2,,tephra [F&S84],"Fisher and Schminke, 1984",,tephra,silt [U14W22],,soft,,,
334-U1381A-7R-1-A,334,U1381,A,7,7-1,R,1,A,70,92,51.8,52.02,2.5Y 4/2,silicic calcareous,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",,silicic calcareous ooze,clay [U14W22],,soft,,,
334-U1381A-7R-1-A,334,U1381,A,7,7-1,R,1,A,92,116,52.02,52.26,10YR 2.5/1,,tephra [F&S84],"Fisher and Schminke, 1984",,tephra,fine sand [U14W22],,lithified,,,
334-U1381A-7R-2-A,334,U1381,A,7,7-2,R,2,A,0,9,52.26,52.35,10YR 2.5/1,,tephra [F&S84],"Fisher and Schminke, 1984",,tephra,fine sand [U14W22],,lithified,,,
334-U1381A-7R-2-A,334,U1381,A,7,7-2,R,2,A,9,75,52.35,53.01,2.5Y 4/2,silicic calcareous,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",,silicic calcareous ooze,clay [U14W22],,soft,,,
334-U1381A-7R-3-A,334,U1381,A,7,7-3,R,3,A,0,36,53.01,53.37,2.5Y 4/2,silicic calcareous,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",,silicic calcareous ooze,clay [U14W22],,soft,,,
334-U1381A-7R-3-A,334,U1381,A,7,7-3,R,3,A,36,37,53.37,53.38,2.5Y 2.5/1,,tephra [F&S84],"Fisher and Schminke, 1984",,tephra,fine sand [U14W22],,soft,,,
334-U1381A-7R-3-A,334,U1381,A,7,7-3,R,3,A,37,50,53.38,53.51,2.5Y 4/2,silicic calcareous,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",,silicic calcareous ooze,clay [U14W22],,soft,,,
334-U1381A-7R-3-A,334,U1381,A,7,7-3,R,3,A,50,52,53.51,53.53,2.5Y 2.5/1,,tephra [F&S84],"Fisher and Schminke, 1984",,tephra,medium sand [U14W22],,soft,,,
334-U1381A-7R-3-A,334,U1381,A,7,7-3,R,3,A,52,67,53.53,53.68,2.5Y 4/2,silicic calcareous,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",,silicic calcareous ooze,clay [U14W22],,soft,,,
334-U1381A-7R-CC-A,334,U1381,A,7,7-CC,R,CC,A,0,18,53.68,53.86,2.5Y 4/2,silicic calcareous,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",,silicic calcareous ooze,clay [U14W22],,soft,,,
334-U1381A-8R-1-A,334,U1381,A,8,8-1,R,1,A,0,2,60.7,60.72,2.5Y 4/2,silicic calcareous,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",,silicic calcareous ooze,clay [U14W22],,soft,,,
334-U1381A-8R-1-A,334,U1381,A,8,8-1,R,1,A,2,6,60.72,60.76,7.5YR 4/1,,tephra [F&S84],"Fisher and Schminke, 1984",,tephra,fine sand [U14W22],,soft,,,
334-U1381A-8R-1-A,334,U1381,A,8,8-1,R,1,A,6,150,60.76,62.2,2.5Y 4/2,silicic calcareous,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",,silicic calcareous ooze,clay [U14W22],,soft,,,
334-U1381A-8R-2-A,334,U1381,A,8,8-2,R,2,A,0,2,62.2,62.22,2.5Y 4/2,silicic calcareous,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",,silicic calcareous ooze,clay [U14W22],,soft,,,
334-U1381A-8R-2-A,334,U1381,A,8,8-2,R,2,A,2,6,62.22,62.26,7.5YR 4/1,,tephra [F&S84],"Fisher and Schminke, 1984",,tephra,fine sand [U14W22],,soft,,,
334-U1381A-8R-2-A,334,U1381,A,8,8-2,R,2,A,6,92,62.26,63.12,2.5Y 4/2,silicic calcareous,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",,silicic calcareous ooze,clay [U14W22],,soft,,,
334-U1381A-8R-2-A,334,U1381,A,8,8-2,R,2,A,92,94,63.12,63.14,7.5YR 5/1,,tephra [F&S84],"Fisher and Schminke, 1984",,tephra,fine sand [U14W22],,soft,,,
334-U1381A-8R-2-A,334,U1381,A,8,8-2,R,2,A,94,96,63.14,63.16,2.5Y 4/2,silicic calcareous,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",,silicic calcareous ooze,clay [U14W22],,soft,,,
334-U1381A-8R-2-A,334,U1381,A,8,8-2,R,2,A,96,98,63.16,63.18,10Y 2.5/1,,tephra [F&S84],"Fisher and Schminke, 1984",,tephra,silt [U14W22],,soft,ash pod,,
334-U1381A-8R-2-A,334,U1381,A,8,8-2,R,2,A,98,150,63.18,63.7,2.5Y 4/2,silicic calcareous,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",,silicic calcareous ooze,clay [U14W22],,soft,,,
334-U1381A-8R-3-A,334,U1381,A,8,8-3,R,3,A,0,29,63.7,63.99,2.5Y 4/2,silicic calcareous,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",,silicic calcareous ooze,clay [U14W22],,soft,,,
334-U1381A-8R-3-A,334,U1381,A,8,8-3,R,3,A,29,31,63.99,64.01,N 5,,tephra [F&S84],"Fisher and Schminke, 1984",,tephra,fine sand [U14W22],,soft,,,
334-U1381A-8R-3-A,334,U1381,A,8,8-3,R,3,A,31,75,64.01,64.45,2.5Y 4/2,silicic calcareous,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",,silicic calcareous ooze,clay [U14W22],,soft,,,
334-U1381A-8R-3-A,334,U1381,A,8,8-3,R,3,A,75,80,64.45,64.5,10Y 5/1,,tephra [F&S84],"Fisher and Schminke, 1984",,tephra,silt [U14W22],,soft,,,
334-U1381A-8R-3-A,334,U1381,A,8,8-3,R,3,A,80,150,64.5,65.2,2.5Y 4/2,silicic calcareous,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",,silicic calcareous ooze,clay [U14W22],,soft,,,
334-U1381A-8R-4-A,334,U1381,A,8,8-4,R,4,A,0,11,65.2,65.31,2.5Y 4/2,silicic calcareous,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",,silicic calcareous ooze,clay [U14W22],,soft,,,
334-U1381A-8R-4-A,334,U1381,A,8,8-4,R,4,A,11,12,65.31,65.32,10Y 2.5/1,,tephra [F&S84],"Fisher and Schminke, 1984",,tephra,silt [U14W22],,soft,,,
334-U1381A-8R-4-A,334,U1381,A,8,8-4,R,4,A,12,93,65.32,66.13,2.5Y 4/2,silicic calcareous,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",,silicic calcareous ooze,clay [U14W22],,soft,,,
334-U1381A-8R-4-A,334,U1381,A,8,8-4,R,4,A,93,95,66.13,66.15,N 5,,tephra [F&S84],"Fisher and Schminke, 1984",,tephra,fine sand [U14W22],,soft,,,
334-U1381A-8R-4-A,334,U1381,A,8,8-4,R,4,A,95,106,66.15,66.26,2.5Y 4/2,silicic calcareous,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",,silicic calcareous ooze,clay [U14W22],,soft,,,
334-U1381A-8R-4-A,334,U1381,A,8,8-4,R,4,A,106,109,66.26,66.29,N 5,,tephra [F&S84],"Fisher and Schminke, 1984",,tephra,fine sand [U14W22],,soft,,,
334-U1381A-8R-4-A,334,U1381,A,8,8-4,R,4,A,109,150,66.29,66.7,2.5Y 4/2,silicic calcareous,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",,silicic calcareous ooze,clay [U14W22],,soft,,,
334-U1381A-8R-5-A,334,U1381,A,8,8-5,R,5,A,0,15,66.7,66.85,2.5Y 4/2,silicic calcareous,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",,silicic calcareous ooze,clay [U14W22],,soft,,,
334-U1381A-8R-5-A,334,U1381,A,8,8-5,R,5,A,15,17,66.85,66.87,N 5,,tephra [F&S84],"Fisher and Schminke, 1984",,tephra,fine sand [U14W22],,soft,,,
334-U1381A-8R-5-A,334,U1381,A,8,8-5,R,5,A,17,46,66.87,67.16,2.5Y 4/2,silicic calcareous,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",,silicic calcareous ooze,clay [U14W22],,soft,,,
334-U1381A-8R-CC-A,334,U1381,A,8,8-CC,R,CC,A,0,20,67.16,67.36,2.5Y 4/2,silicic calcareous,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",,silicic calcareous ooze,clay [U14W22],,soft,,,
334-U1381A-9R-1-A,334,U1381,A,9,9-1,R,1,A,0,68,70.3,70.98,2.5Y 4/2,silicic calcareous,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",,silicic calcareous ooze,clay [U14W22],,soft,,,
334-U1381A-9R-1-A,334,U1381,A,9,9-1,R,1,A,68,72,70.98,71.02,2.5YR 4/1,,tephra [F&S84],"Fisher and Schminke, 1984",,tephra,fine silt [U14W22],,soft,,,
334-U1381A-9R-1-A,334,U1381,A,9,9-1,R,1,A,72,79,71.02,71.09,2.5Y 4/2,silicic calcareous,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",,silicic calcareous ooze,clay [U14W22],,soft,,,
334-U1381A-9R-1-A,334,U1381,A,9,9-1,R,1,A,79,81,71.09,71.11,N 3,,tephra [F&S84],"Fisher and Schminke, 1984",,tephra,fine silt [U14W22],,soft,,,
334-U1381A-9R-1-A,334,U1381,A,9,9-1,R,1,A,81,150,71.11,71.8,2.5Y 4/2,silicic calcareous,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",,silicic calcareous ooze,clay [U14W22],,soft,,,
334-U1381A-9R-2-A,334,U1381,A,9,9-2,R,2,A,0,5,71.8,71.85,2.5Y 4/2,silicic calcareous,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",,silicic calcareous ooze,fine silt [U14W22],,soft,,,
334-U1381A-9R-2-A,334,U1381,A,9,9-2,R,2,A,5,6,71.85,71.86,N 5,,tephra [F&S84],"Fisher and Schminke, 1984",,tephra,fine sand [U14W22],,soft,,,
334-U1381A-9R-2-A,334,U1381,A,9,9-2,R,2,A,6,12,71.86,71.92,2.5Y 4/2,silicic calcareous,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",,silicic calcareous ooze,clay [U14W22],,soft,,,
334-U1381A-9R-2-A,334,U1381,A,9,9-2,R,2,A,12,17,71.92,71.97,N 5,,tephra [F&S84],"Fisher and Schminke, 1984",,tephra,fine silt [U14W22],,soft,,,
334-U1381A-9R-2-A,334,U1381,A,9,9-2,R,2,A,17,150,71.97,73.3,2.5Y 4/2,silicic calcareous,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",,silicic calcareous ooze,clay [U14W22],,soft,,,
334-U1381A-9R-3-A,334,U1381,A,9,9-3,R,3,A,0,150,73.3,74.8,2.5Y 4/2,silicic calcareous,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",,silicic calcareous ooze,clay [U14W22],,soft,,,
334-U1381A-9R-4-A,334,U1381,A,9,9-4,R,4,A,0,10,74.8,74.9,2.5Y 4/2,silicic calcareous,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",,silicic calcareous ooze,clay [U14W22],,soft,,,
334-U1381A-9R-4-A,334,U1381,A,9,9-4,R,4,A,10,21,74.9,75.01,N 2.5,,tephra [F&S84],"Fisher and Schminke, 1984",,tephra,fine sand [U14W22],,soft,,,
334-U1381A-9R-4-A,334,U1381,A,9,9-4,R,4,A,21,111,75.01,75.91,2.5Y 4/2,silicic calcareous,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",,silicic calcareous ooze,clay [U14W22],,soft,,,
334-U1381A-9R-CC-A,334,U1381,A,9,9-CC,R,CC,A,0,20,75.91,76.11,2.5Y 4/2,silicic calcareous,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",,silicic calcareous ooze,clay [U14W22],,soft,,,
334-U1381A-10R-1-A,334,U1381,A,10,10-1,R,1,A,0,67,79.9,80.57,5Y 4/2,silicic calcareous,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",,silicic calcareous ooze,silt [U14W22],,soft,,,
334-U1381A-10R-1-A,334,U1381,A,10,10-1,R,1,A,67,71,80.57,80.61,5Y 3/2,,tephra [F&S84],"Fisher and Schminke, 1984",,tephra,very fine sand [U14W22],,soft,"Mafic tephra with extensive drilling disturbance (smeared)
.",,
334-U1381A-10R-1-A,334,U1381,A,10,10-1,R,1,A,71,158,80.61,81.48,5Y 4/2,silicic calcareous,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",,silicic calcareous ooze,very fine sand [U14W22],,soft,,,
334-U1381A-10R-2-A,334,U1381,A,10,10-2,R,2,A,0,8,81.48,81.56,5Y 4/2,silicic calcareous,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",,silicic calcareous ooze,very fine sand [U14W22],,soft,,,
334-U1381A-10R-2-A,334,U1381,A,10,10-2,R,2,A,8,22,81.56,81.7,5Y 3/2,,tephra [F&S84],"Fisher and Schminke, 1984",,tephra,very fine sand [U14W22],,soft,"Mafic tephra with extensive drilling disturbance (smeared)
.",,
334-U1381A-10R-2-A,334,U1381,A,10,10-2,R,2,A,22,92,81.7,82.4,5Y 4/2,silicic calcareous,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",,silicic calcareous ooze,very fine sand [U14W22],,soft,,,
334-U1381A-10R-CC-A,334,U1381,A,10,10-CC,R,CC,A,0,13,82.4,82.53,5Y 4/2,silicic calcareous,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",,silicic calcareous ooze,very fine sand [U14W22],,soft,,,
334-U1381A-11R-1-A,334,U1381,A,11,11-1,R,1,A,0,150,89.5,91.0,5Y 4/2,silicic calcareous,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",,silicic calcareous ooze,silt [U14W22],,soft,some calcareous horizons due to high content of foraminifera.,,
334-U1381A-11R-2-A,334,U1381,A,11,11-2,R,2,A,0,18,91.0,91.18,5Y 4/2,silicic calcareous,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",,silicic calcareous ooze,silt [U14W22],,soft,some calcareous horizons due to high content of foraminifera.,,
334-U1381A-11R-2-A,334,U1381,A,11,11-2,R,2,A,18,26,91.18,91.26,N 2.5,,tephra [F&S84],"Fisher and Schminke, 1984",,tephra,fine sand [U14W22],,soft,,,
334-U1381A-11R-2-A,334,U1381,A,11,11-2,R,2,A,26,150,91.26,92.5,5Y 4/2,silicic calcareous,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",,silicic calcareous ooze,silt [U14W22],,soft,,,
334-U1381A-11R-3-A,334,U1381,A,11,11-3,R,3,A,0,150,92.5,94.0,5Y 4/2,silicic calcareous,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",,silicic calcareous ooze,silt [U14W22],,soft,,,
334-U1381A-11R-4-A,334,U1381,A,11,11-4,R,4,A,0,144,94.0,95.44,5Y 4/2,silicic calcareous,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",,silicic calcareous ooze,silt [U14W22],,soft,,,
334-U1381A-11R-CC-A,334,U1381,A,11,11-CC,R,CC,A,0,13,95.44,95.57,5Y 4/2,silicic calcareous,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",,silicic calcareous ooze,silt [U14W22],,soft,,,
