Label ID,Exp,Site,Hole,Core,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Color (name),Prefix,Principal lithology,Suffix,Complete name,Lithology [%],"Dominant grain size (Wentworth, 1922)",Dominant grain size rank,Clastic Grain roundness,Lithification,Lithology comments,File Data
330-U1373A-3R-1,330,U1373,A,3,R,1,,24,96,14.34,15.06,,,basalt [IUGS-S78&79],,basalt,,,,,lithified,,
330-U1373A-3R-2,330,U1373,A,3,R,2,,0,64,15.06,15.7,,,basalt [IUGS-S78&79],,basalt,,,,,lithified,,
330-U1373A-3R-2,330,U1373,A,3,R,2,,64,89,15.7,15.95,multicolor,bioclast basalt,conglomerate,,bioclast basalt conglomerate,,pebble [U14W22],,angular (Default),lithified,grain-supported,
330-U1373A-3R-3,330,U1373,A,3,R,3,,0,112,15.95,17.07,multicolor,bioclast basalt,conglomerate,,bioclast basalt conglomerate,,pebble [U14W22],,angular (Default),lithified,grain-supported,
330-U1373A-3R-3-A,330,U1373,A,3,R,3,A,112,140,17.07,17.35,multicolor,bioclast basalt,conglomerate,,bioclast basalt conglomerate,,pebble [U14W22],,subangular[330],lithified,"grain-supported, cross-beds and layering structures, widespread occurrence of residual porosity",
330-U1373A-3R-4-A,330,U1373,A,3,R,4,A,0,73,17.35,18.08,multicolor,bioclast basalt,conglomerate,,bioclast basalt conglomerate,,pebble [U14W22],,subangular[330],lithified,"grain-supported, cross-beds and layering structures, widespread occurrence of residual porosity",
330-U1373A-4R-1-A,330,U1373,A,4,R,1,A,0,124,18.6,19.84,multicolor,bioclast basalt,conglomerate,,bioclast basalt conglomerate,,pebble [U14W22],,subangular[330],lithified,"grain-supported, cross-beds and layering structures, widespread occurrence of residual porosity",
330-U1373A-5R-1,330,U1373,A,5,R,1,,0,48.5,23.8,24.285,multicolor,basalt,conglomerate,,basalt conglomerate,,cobble [U14W22],,subrounded[330],lithified,grain-supported,
330-U1373A-5R-1,330,U1373,A,5,R,1,,48.5,149,24.285,25.29,bluish gray,basalt,conglomerate,,basalt conglomerate,,cobble [U14W22],,subrounded[330],lithified,"grain-supported, mostly azoic",
330-U1373A-5R-2,330,U1373,A,5,R,2,,0,150,25.29,26.79,bluish gray,basalt,conglomerate,,basalt conglomerate,,cobble [U14W22],,subrounded[330],lithified,"grain-supported, mostly azoic",
330-U1373A-6R-1,330,U1373,A,6,R,1,,0,105,28,29.05,bluish gray,basalt,conglomerate,,basalt conglomerate,,cobble [U14W22],,subrounded[330],lithified,"grain-supported, mostly azoic",
330-U1373A-6R-1,330,U1373,A,6,R,1,,105,117,29.05,29.17,dark multicolor,basalt,breccia,,basalt breccia,,cobble [U14W22],,angular[330],lithified,"matrix-supported, azoic",
330-U1373A-6R-2,330,U1373,A,6,R,2,,0,100,29.17,30.17,dark multicolor,basalt,breccia,,basalt breccia,,cobble [U14W22],,angular[330],lithified,"matrix-supported, azoic",
330-U1373A-7R-1,330,U1373,A,7,R,1,,0,120,32.7,33.9,dark multicolor,basalt,breccia,,basalt breccia,,cobble [U14W22],,angular[330],lithified,"matrix-supported, azoic",
330-U1373A-8R-1-A,330,U1373,A,8,R,1,A,51,54,37.91,37.94,dark multicolor,basalt,Sandstone [MMK88],,basalt Sandstone,,coarse sand [U14W22],,subangular[330],lithified,included in peperite,
330-U1373A-8R-1-A,330,U1373,A,8,R,1,A,96,99,38.36,38.39,dark multicolor,basalt,Sandstone [MMK88],,basalt Sandstone,,coarse sand [U14W22],,subangular[330],lithified,included in peperite,
330-U1373A-8R-2-A,330,U1373,A,8,R,2,A,0,145,38.82,40.27,dark multicolor,basalt,Siltstone [MMK88],,basalt Siltstone,,silt [U14W22],,subangular[330],lithified,included in peperite,
330-U1373A-9R-2-A,330,U1373,A,9,R,2,A,65,90,43.96,44.21,dark multicolor,basalt,Siltstone [MMK88],,basalt Siltstone,,silt [U14W22],,subangular[330],lithified,included in peperite,
