Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color (simple),Lithology color (Munsell),Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Layer or bedding thickness,Grading,TEPHRA type,Amount of ash in lithology,Amount of ash in lithology rank [read only],Sedimentary structure,Sedimentary structure comment,Diagenetic structure,Macrofossil,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix
353-U1443A-3H-1-A,82,106,12.12,12.36,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,gray,5Y 6/1 (gray),planar,sharp,horizontal,,non-graded,,,,,,,,,,,,353,U1443,A,3,H,1,A,,,,
353-U1443A-3H-1-A,106,145,12.36,12.75,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,light gray,5Y 7/1 (light gray),,,,,non-graded,,,,mottling,,,,,,,,353,U1443,A,3,H,1,A,,,,
353-U1443A-3H-2-A,0,20,12.8,13,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,light gray,5Y 7/1 (light gray),gradational,,,,non-graded,,,,,,,,,,,,353,U1443,A,3,H,2,A,,,,
353-U1443A-3H-2-A,20,33,13,13.13,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,gray,5Y 6/1 (gray),gradational,,,,non-graded,,,,,,,,,,,,353,U1443,A,3,H,2,A,,,,
353-U1443A-3H-2-A,33,79,13.13,13.59,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,light gray,5Y 7/1 (light gray),gradational,,,,non-graded,,,,mottling,,,,,,,,353,U1443,A,3,H,2,A,,,,
353-U1443A-3H-2-A,79,97,13.59,13.77,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,gray,5Y 6/1 (gray),gradational,,,,non-graded,,,,,,,,,,,,353,U1443,A,3,H,2,A,,,,
353-U1443A-3H-2-A,97,143,13.77,14.23,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,light gray,5Y 7/1 (light gray),,,,,non-graded,,,,mottling,,,,,,,,353,U1443,A,3,H,2,A,,,,
353-U1443A-3H-3-A,0,13,14.3,14.43,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,light gray,5Y 7/1 (light gray),gradational,,,,non-graded,,,,mottling,,,,,,,,353,U1443,A,3,H,3,A,,,,
353-U1443A-3H-3-A,13,28,14.43,14.58,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,gray,5Y 6/1 (gray),gradational,,,,non-graded,,,,,,,,,,,,353,U1443,A,3,H,3,A,,,,
353-U1443A-3H-3-A,28,60,14.58,14.9,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,light gray,5Y 7/1 (light gray),gradational,,,,non-graded,,,,mottling,,,,,,,,353,U1443,A,3,H,3,A,,,,
353-U1443A-3H-3-A,60,78,14.9,15.08,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,gray,5Y 6/1 (gray),gradational,,,,non-graded,,,,,,,,Black patch of ash at 77cm,,,,353,U1443,A,3,H,3,A,,,,
353-U1443A-3H-3-A,78,127,15.08,15.57,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,light gray,5Y 7/1 (light gray),planar,sharp,horizontal,,non-graded,,,,mottling,,,,,,,,353,U1443,A,3,H,3,A,,,,
353-U1443A-3H-3-A,127,134.5,15.57,15.645,,,volcanic ash,,volcanic ash,volcanic ash,volcanic ash,,gray,10R 6/1 (reddish gray),planar,sharp,horizontal,,non-graded,vitric,,,,,,,,,,,353,U1443,A,3,H,3,A,,,,
353-U1443A-3H-3-A,134.5,145,15.645,15.75,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,light gray,5Y 7/1 (light gray),,,,,non-graded,,,,,,,,,,,,353,U1443,A,3,H,3,A,,,,
353-U1443A-3H-4-A,0,4,15.8,15.84,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,light gray,5Y 7/1 (light gray),gradational,,,,non-graded,,,,,,,,,,,,353,U1443,A,3,H,4,A,,,,
353-U1443A-3H-4-A,4,12,15.84,15.92,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,gray,5Y 6/1 (gray),gradational,,,,non-graded,,,,,,,,,,,,353,U1443,A,3,H,4,A,,,,
353-U1443A-3H-4-A,12,59,15.92,16.39,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,light gray,5Y 7/1 (light gray),gradational,,,,non-graded,,,,,,,,,,,,353,U1443,A,3,H,4,A,,,,
353-U1443A-3H-4-A,59,77,16.39,16.57,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,gray,5Y 6/1 (gray),gradational,,,,non-graded,,,,,,,,,,,,353,U1443,A,3,H,4,A,,,,
353-U1443A-3H-4-A,77,126,16.57,17.06,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,light gray,5Y 7/1 (light gray),gradational,,,,non-graded,,,,mottling,,,,,,,,353,U1443,A,3,H,4,A,,,,
353-U1443A-3H-4-A,126,133,17.06,17.13,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,gray,5Y 6/1 (gray),gradational,,,,non-graded,,,,,,,,,,,,353,U1443,A,3,H,4,A,,,,
353-U1443A-3H-4-A,133,145,17.13,17.25,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,gray,5Y 7/1 (light gray),,,,,non-graded,,,,mottling,,,,,,,,353,U1443,A,3,H,4,A,,,,
353-U1443A-3H-5-A,0,26,17.3,17.56,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,gray,5Y 7/1 (light gray),gradational,,,,non-graded,,,,,,,,,,,,353,U1443,A,3,H,5,A,,,,
353-U1443A-3H-5-A,26,46,17.56,17.76,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,gray,5Y 6/1 (gray),gradational,,,,non-graded,,,,,,,,,,,,353,U1443,A,3,H,5,A,,,,
353-U1443A-3H-5-A,46,87,17.76,18.17,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,gray,5Y 7/1 (light gray),gradational,,,,non-graded,,,,,,,,,,,,353,U1443,A,3,H,5,A,,,,
353-U1443A-3H-5-A,87,111,18.17,18.41,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,gray,5Y 6/1 (gray),gradational,,,,non-graded,,,,mottling,,,,,,,,353,U1443,A,3,H,5,A,,,,
353-U1443A-3H-5-A,111,145,18.41,18.75,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,gray,5Y 7/1 (light gray),,,,,non-graded,,,,mottling,,,,,,,,353,U1443,A,3,H,5,A,,,,
353-U1443A-3H-6-A,0,64.5,18.8,19.445,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,gray,5Y 7/1 (light gray),gradational,,,,non-graded,,,,,,,,becomes gradationally darker toward the bottom,,,,353,U1443,A,3,H,6,A,,,,
353-U1443A-3H-6-A,64.5,100,19.445,19.8,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,gray,5Y 6/1 (gray),gradational,,,,non-graded,,,,mottling,,,,,,,,353,U1443,A,3,H,6,A,,,,
353-U1443A-3H-6-A,100,144,19.8,20.24,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,gray,5Y 7/1 (light gray),gradational,,,,non-graded,,,,mottling,,,,,,,,353,U1443,A,3,H,6,A,,,,
353-U1443A-3H-7-A,0,15,20.3,20.45,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,gray,5Y 6/1 (gray),gradational,,,,non-graded,,,,mottling,,,,Greenish color band mm to cm thick : at 14 cm,,,,353,U1443,A,3,H,7,A,,,,
353-U1443A-3H-7-A,15,31,20.45,20.61,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,gray,5Y 7/1 (light gray),gradational,,,,non-graded,,,,mottling,,,,,,,,353,U1443,A,3,H,7,A,,,,
353-U1443A-3H-7-A,31,49,20.61,20.79,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,gray,5Y 6/1 (gray),gradational,,,,non-graded,,,,mottling,,,,,,,,353,U1443,A,3,H,7,A,,,,
353-U1443A-3H-7-A,49,64,20.79,20.94,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,gray,5Y 7/1 (light gray),gradational,,,,non-graded,,,,,,,,,,,,353,U1443,A,3,H,7,A,,,,
353-U1443A-3H-7-A,64,81,20.94,21.11,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,gray,5Y 6/1 (gray),,,,,non-graded,,,,mottling,,,,,,,,353,U1443,A,3,H,7,A,,,,
353-U1443A-3H-CC-A,0,16,21.11,21.27,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,gray,5Y 6/1 (gray),,,,,non-graded,,,,mottling,,,,,,,,353,U1443,A,3,H,CC,A,,,,
353-U1443A-4H-1-A,0,13.5,20.8,20.935,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,gray,5Y 6/1 (gray),gradational,,,,non-graded,,,,mottling,,,,Forams look broken under the microscope (due to the preparation of the smear slide or due to fragmentation),,,,353,U1443,A,4,H,1,A,,,,
353-U1443A-4H-1-A,13.5,23,20.935,21.03,,,volcanic ash,,volcanic ash,volcanic ash,volcanic ash,,dark gray,GLEY 1 3/N (very dark gray),planar,sharp,horizontal,,non-graded,vitric,abundant,5,,,,,Contact between the ash and the ooze above is very gradational (mixing of ooze with ash upward). Ash with 10 % iron sulfides. Forams look broken under the microscope (due to the preparation of the smear slide or due to fragmentation),,,,353,U1443,A,4,H,1,A,,,,
353-U1443A-4H-1-A,24.5,37,21.045,21.17,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,gray,5Y 7/1 (light gray),gradational,,,,non-graded,,,,,,,,Forams look broken under the microscope (due to the preparation of the smear slide or due to fragmentation),,,,353,U1443,A,4,H,1,A,,,,
353-U1443A-4H-1-A,37,78,21.17,21.58,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,gray,5Y 6/1 (gray),gradational,,,,non-graded,,,,mottling,,,,Forams look broken under the microscope (due to the preparation of the smear slide or due to fragmentation),,,,353,U1443,A,4,H,1,A,,,,
353-U1443A-4H-1-A,78,120.5,21.58,22.005,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,gray,5Y 7/1 (light gray),gradational,,,,non-graded,,,,mottling,,,,Forams look broken under the microscope (due to the preparation of the smear slide or due to fragmentation),,,,353,U1443,A,4,H,1,A,,,,
353-U1443A-4H-1-A,120.5,133,22.005,22.13,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,gray,5Y 6/1 (gray),gradational,,,,non-graded,,,,mottling,,,,Forams look broken under the microscope (due to the preparation of the smear slide or due to fragmentation),,,,353,U1443,A,4,H,1,A,,,,
353-U1443A-4H-1-A,133,150,22.13,22.3,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,gray,5Y 7/1 (light gray),,,,,non-graded,,,,mottling,,,,Forams look broken under the microscope (due to the preparation of the smear slide or due to fragmentation),,,,353,U1443,A,4,H,1,A,,,,
353-U1443A-4H-2-A,0,48,22.3,22.78,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,gray,5Y 7/1 (light gray),gradational,,,,non-graded,,,,mottling,,,,Forams look broken under the microscope (due to the preparation of the smear slide or due to fragmentation),,,,353,U1443,A,4,H,2,A,,,,
353-U1443A-4H-2-A,48,72,22.78,23.02,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,gray,5Y 6/1 (gray),gradational,,,,non-graded,,,,mottling,,,,Forams look broken under the microscope (due to the preparation of the smear slide or due to fragmentation),,,,353,U1443,A,4,H,2,A,,,,
