Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],MAJ Lith. Prefix,MAJ Lith. Principal name,MAJ Lith. prefix+name [read only],Sediment structures,MAJ Lith. color,Bioturbation intensity,Clast abundance,Macrofossil,MAJ Lith. ave. grain size ,Diagenetic constituent,Diagenetic constituent composition,General interval comment,MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,Bottom contact geometry,Ship File Links,Shore File Links,File Data
363-U1490C-3H-1-A,0,70,12,12.7,clay-bearing [X363],foraminifer-nannofossil ooze [X363],clay-bearing foraminifer-nannofossil ooze,,N 8.5 (white),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-3H-1-A,70,75,12.7,12.75,,foraminiferal ooze [Leg339],foraminiferal ooze,,2.5Y 8/1 (white),slight [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-3H-1-A,75,150,12.75,13.5,clay-bearing [X363],foraminifer-nannofossil ooze [X363],clay-bearing foraminifer-nannofossil ooze,,N 8.5 (white),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-3H-2-A,0,150,13.5,15,clay-bearing [X363],foraminifer-nannofossil ooze [X363],clay-bearing foraminifer-nannofossil ooze,,N 8.5 (white),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-3H-3-A,0,150,15,16.5,clay-bearing [X363],foraminifer-nannofossil ooze [X363],clay-bearing foraminifer-nannofossil ooze,,N 8.5 (white),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-3H-4-A,0,150,16.5,18,clay-bearing [X363],foraminifer-nannofossil ooze [X363],clay-bearing foraminifer-nannofossil ooze,,N 8.5 (white),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-3H-5-A,0,150,18,19.5,clay-bearing [X363],foraminifer-nannofossil ooze [X363],clay-bearing foraminifer-nannofossil ooze,,N 8.5 (white),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-3H-6-A,0,150,19.5,21,clay-bearing [X363],foraminifer-nannofossil ooze [X363],clay-bearing foraminifer-nannofossil ooze,,N 8.5 (white),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-3H-7-A,0,72,21,21.72,clay-bearing [X363],foraminifer-nannofossil ooze [X363],clay-bearing foraminifer-nannofossil ooze,,N 8.5 (white),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-3H-CC-A,0,15,21.72,21.87,clay-bearing [X363],foraminifer-nannofossil ooze [X363],clay-bearing foraminifer-nannofossil ooze,,N 8.5 (white),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-4H-1-A,0,130,21.5,22.8,clay-bearing [X363],foraminifer-nannofossil ooze [X363],clay-bearing foraminifer-nannofossil ooze,,N 8.5 (white),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-4H-1-A,130,147,22.8,22.97,clay-bearing [X363],foraminifer-nannofossil ooze [X363],clay-bearing foraminifer-nannofossil ooze,,2.5Y 8/1 (white),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-4H-1-A,147,150,22.97,23,clay-bearing [X363],foraminifer-nannofossil ooze [X363],clay-bearing foraminifer-nannofossil ooze,,N 8.5 (white),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-4H-2-A,0,6,23,23.06,clay-bearing [X363],foraminifer-nannofossil ooze [X363],clay-bearing foraminifer-nannofossil ooze,,N 8.5 (white),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-4H-2-A,6,15,23.06,23.15,clay-bearing [X363],foraminifer-nannofossil ooze [X363],clay-bearing foraminifer-nannofossil ooze,,2.5Y 8/1 (white),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-4H-2-A,15,150,23.15,24.5,clay-bearing [X363],foraminifer-nannofossil ooze [X363],clay-bearing foraminifer-nannofossil ooze,,N 8.5 (white),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-4H-3-A,0,135,24.5,25.85,clay-bearing [X363],foraminifer-nannofossil ooze [X363],clay-bearing foraminifer-nannofossil ooze,,N 8.5 (white),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-4H-3-A,135,142,25.85,25.92,clay-bearing [X363],foraminifer-nannofossil ooze [X363],clay-bearing foraminifer-nannofossil ooze,,N 8 (white),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-4H-3-A,142,150,25.92,26,clay-bearing [X363],foraminifer-nannofossil ooze [X363],clay-bearing foraminifer-nannofossil ooze,,N 8.5 (white),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-4H-4-A,0,78,26,26.78,clay-bearing [X363],foraminifer-nannofossil ooze [X363],clay-bearing foraminifer-nannofossil ooze,,N 8.5 (white),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-4H-4-A,78,116,26.78,27.16,clay-bearing [X363],foraminifer-nannofossil ooze [X363],clay-bearing foraminifer-nannofossil ooze,,N 8 (white),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-4H-4-A,116,150,27.16,27.5,clay-bearing [X363],foraminifer-nannofossil ooze [X363],clay-bearing foraminifer-nannofossil ooze,,N 8.5 (white),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-4H-5-A,0,118,27.5,28.68,clay-bearing [X363],foraminifer-nannofossil ooze [X363],clay-bearing foraminifer-nannofossil ooze,,N 8.5 (white),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-4H-5-A,118,127,28.68,28.77,clay-bearing [X363],foraminifer-nannofossil ooze [X363],clay-bearing foraminifer-nannofossil ooze,,N 8 (white),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-4H-5-A,127,150,28.77,29,clay-bearing [X363],foraminifer-nannofossil ooze [X363],clay-bearing foraminifer-nannofossil ooze,,N 8.5 (white),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-4H-6-A,0,120,29,30.2,clay-bearing [X363],foraminifer-nannofossil ooze [X363],clay-bearing foraminifer-nannofossil ooze,,N 8.5 (white),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-4H-7-A,0,4,30.2,30.24,clay-bearing [X363],foraminifer-nannofossil ooze [X363],clay-bearing foraminifer-nannofossil ooze,,N 8.5 (white),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-4H-7-A,4,14,30.24,30.34,clay-bearing [X363],foraminifer-nannofossil ooze [X363],clay-bearing foraminifer-nannofossil ooze,,N 8 (white),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-4H-7-A,14,66,30.34,30.86,clay-bearing [X363],foraminifer-nannofossil ooze [X363],clay-bearing foraminifer-nannofossil ooze,,N 8.5 (white),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-4H-CC-A,0,16,30.86,31.02,clay-bearing [X363],foraminifer-nannofossil ooze [X363],clay-bearing foraminifer-nannofossil ooze,,N 8.5 (white),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-5H-1-A,0,13,31,31.13,clay-bearing [X363],foraminifer-nannofossil ooze [X363],clay-bearing foraminifer-nannofossil ooze,,N 8 (white),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-5H-1-A,13,27,31.13,31.27,clay-bearing [X363],foraminifer-nannofossil ooze [X363],clay-bearing foraminifer-nannofossil ooze,,10GY 8/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-5H-1-A,27,87,31.27,31.87,clay-bearing [X363],foraminifer-nannofossil ooze [X363],clay-bearing foraminifer-nannofossil ooze,,N 8 (white),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-5H-1-A,87,150,31.87,32.5,clay-bearing [X363],foraminifer-nannofossil ooze [X363],clay-bearing foraminifer-nannofossil ooze,,N 8.5 (white),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-5H-2-A,0,116,32.5,33.66,clay-bearing [X363],foraminifer-nannofossil ooze [X363],clay-bearing foraminifer-nannofossil ooze,,N 8.5 (white),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-5H-2-A,116,133,33.66,33.83,clay-bearing [X363],foraminifer-nannofossil ooze [X363],clay-bearing foraminifer-nannofossil ooze,,5PB 7/1 (light bluish gray),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-5H-2-A,133,150,33.83,34,clay-bearing [X363],foraminifer-nannofossil ooze [X363],clay-bearing foraminifer-nannofossil ooze,,5Y 8/1 (white),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-5H-3-A,0,23,34,34.23,clay-bearing [X363],foraminifer-nannofossil ooze [X363],clay-bearing foraminifer-nannofossil ooze,,5Y 8/1 (white),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-5H-3-A,23,150,34.23,35.5,clay-bearing [X363],foraminifer-nannofossil ooze [X363],clay-bearing foraminifer-nannofossil ooze,,N 8.5 (white),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-5H-4-A,0,34,35.5,35.84,clay-bearing [X363],foraminifer-nannofossil ooze [X363],clay-bearing foraminifer-nannofossil ooze,,N 8.5 (white),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-5H-4-A,34,92,35.84,36.42,clay-bearing [X363],foraminifer-nannofossil ooze [X363],clay-bearing foraminifer-nannofossil ooze,,5Y 8/1 (white),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-5H-4-A,92,150,36.42,37,clay-bearing [X363],foraminifer-nannofossil ooze [X363],clay-bearing foraminifer-nannofossil ooze,,N 8.5 (white),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-5H-5-A,0,150,37,38.5,clay-bearing [X363],foraminifer-nannofossil ooze [X363],clay-bearing foraminifer-nannofossil ooze,,N 8.5 (white),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-5H-6-A,0,150,38.5,40,clay-bearing [X363],foraminifer-nannofossil ooze [X363],clay-bearing foraminifer-nannofossil ooze,,N 8.5 (white),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-5H-7-A,0,72,40,40.72,clay-bearing [X363],foraminifer-nannofossil ooze [X363],clay-bearing foraminifer-nannofossil ooze,,N 8.5 (white),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-5H-CC-A,0,15,40.72,40.87,clay-bearing [X363],foraminifer-nannofossil ooze [X363],clay-bearing foraminifer-nannofossil ooze,,N 8.5 (white),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-6H-1-A,0,150,40.5,42,clay-bearing [X363],foraminifer-nannofossil ooze [X363],clay-bearing foraminifer-nannofossil ooze,,N 8.5 (white),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-6H-2-A,0,150,42,43.5,clay-bearing [X363],foraminifer-nannofossil ooze [X363],clay-bearing foraminifer-nannofossil ooze,,N 8.5 (white),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-6H-3-A,0,150,43.5,45,clay-bearing [X363],foraminifer-nannofossil ooze [X363],clay-bearing foraminifer-nannofossil ooze,,N 8.5 (white),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-6H-4-A,0,108,45,46.08,clay-bearing [X363],foraminifer-nannofossil ooze [X363],clay-bearing foraminifer-nannofossil ooze,,N 8.5 (white),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-6H-4-A,108,126,46.08,46.26,,foraminiferal ooze [Leg339],foraminiferal ooze,,5Y 8/1 (white),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-6H-4-A,126,150,46.26,46.5,clay-bearing [X363],foraminifer-nannofossil ooze [X363],clay-bearing foraminifer-nannofossil ooze,,N 8.5 (white),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-6H-5-A,0,103,46.5,47.53,clay-bearing [X363],foraminifer-nannofossil ooze [X363],clay-bearing foraminifer-nannofossil ooze,,N 8.5 (white),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-6H-5-A,103,150,47.53,48,clay-bearing [X363],foraminifer-nannofossil ooze [X363],clay-bearing foraminifer-nannofossil ooze,,5Y 8/2 (pale yellow),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-6H-6-A,0,16,48,48.16,clay-bearing [X363],foraminifer-nannofossil ooze [X363],clay-bearing foraminifer-nannofossil ooze,,5Y 8/2 (pale yellow),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-6H-6-A,16,150,48.16,49.5,clay-bearing [X363],foraminifer-nannofossil ooze [X363],clay-bearing foraminifer-nannofossil ooze,,N 8.5 (white),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-6H-7-A,0,78,49.5,50.28,clay-bearing [X363],foraminifer-nannofossil ooze [X363],clay-bearing foraminifer-nannofossil ooze,,N 8.5 (white),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-6H-CC-A,0,21,50.28,50.49,clay-bearing [X363],foraminifer-nannofossil ooze [X363],clay-bearing foraminifer-nannofossil ooze,,N 8.5 (white),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-8H-1-A,0,34,53,53.34,clay-bearing [X363],foraminifer-nannofossil ooze [X363],clay-bearing foraminifer-nannofossil ooze,,N 8.5 (white),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-8H-1-A,34,90,53.34,53.9,,foraminiferal ooze [Leg339],foraminiferal ooze,,2.5Y 8/3 (pale yellow),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-8H-1-A,90,150,53.9,54.5,clay-bearing [X363],foraminifer-nannofossil ooze [X363],clay-bearing foraminifer-nannofossil ooze,,N9 (white),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-8H-2-A,0,96,54.5,55.46,clay-bearing [X363],foraminifer-nannofossil ooze [X363],clay-bearing foraminifer-nannofossil ooze,,N9 (white),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-8H-2-A,96,150,55.46,56,clay-bearing [X363],foraminifer-nannofossil ooze [X363],clay-bearing foraminifer-nannofossil ooze,,10Y 8/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-8H-3-A,0,150,56,57.5,clay-bearing [X363],foraminifer-nannofossil ooze [X363],clay-bearing foraminifer-nannofossil ooze,,N9 (white),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-8H-4-A,0,150,57.5,59,clay-bearing [X363],foraminifer-nannofossil ooze [X363],clay-bearing foraminifer-nannofossil ooze,,N9 (white),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-8H-5-A,0,126,59,60.26,clay-bearing [X363],foraminifer-nannofossil ooze [X363],clay-bearing foraminifer-nannofossil ooze,,N9 (white),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-8H-5-A,126,136,60.26,60.36,,foraminiferal ooze [Leg339],foraminiferal ooze,,2.5Y 8/2 (pale yellow),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-8H-5-A,136,150,60.36,60.5,clay-bearing [X363],foraminifer-nannofossil ooze [X363],clay-bearing foraminifer-nannofossil ooze,,N9 (white),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-8H-6-A,0,138,60.5,61.88,clay-bearing [X363],foraminifer-nannofossil ooze [X363],clay-bearing foraminifer-nannofossil ooze,,N9 (white),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-8H-CC-A,0,11,61.88,61.99,clay-bearing [X363],foraminifer-nannofossil ooze [X363],clay-bearing foraminifer-nannofossil ooze,,N9 (white),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-10H-1-A,0,53,65.5,66.03,clay-bearing [X363],foraminifer-nannofossil ooze [X363],clay-bearing foraminifer-nannofossil ooze,,N9 (white),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-10H-1-A,53,150,66.03,67,clay-bearing [X363],foraminifer-nannofossil ooze [X363],clay-bearing foraminifer-nannofossil ooze,,N 9.5 (white),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-10H-2-A,0,150,67,68.5,clay-bearing [X363],foraminifer-nannofossil ooze [X363],clay-bearing foraminifer-nannofossil ooze,,N 9.5 (white),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-10H-3-A,0,150,68.5,70,clay-bearing [X363],foraminifer-nannofossil ooze [X363],clay-bearing foraminifer-nannofossil ooze,,N 9.5 (white),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-10H-4-A,0,32,70,70.32,clay-bearing [X363],foraminifer-nannofossil ooze [X363],clay-bearing foraminifer-nannofossil ooze,,N 9.5 (white),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-10H-4-A,32,37,70.32,70.37,clay-bearing [X363],foraminifer-nannofossil ooze [X363],clay-bearing foraminifer-nannofossil ooze,,2.5YR 8/1 (white),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-10H-4-A,37,150,70.37,71.5,clay-bearing [X363],foraminifer-nannofossil ooze [X363],clay-bearing foraminifer-nannofossil ooze,,N 9.5 (white),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-10H-5-A,0,95,71.5,72.45,clay-bearing [X363],foraminifer-nannofossil ooze [X363],clay-bearing foraminifer-nannofossil ooze,,N 9.5 (white),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-10H-5-A,95,104,72.45,72.54,clay-bearing [X363],foraminifer-nannofossil ooze [X363],clay-bearing foraminifer-nannofossil ooze,,N 8 (white),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-10H-5-A,104,150,72.54,73,clay-bearing [X363],foraminifer-nannofossil ooze [X363],clay-bearing foraminifer-nannofossil ooze,,N 9.5 (white),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-10H-6-A,0,134,73,74.34,clay-bearing [X363],foraminifer-nannofossil ooze [X363],clay-bearing foraminifer-nannofossil ooze,,N 9.5 (white),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-10H-6-A,134,141,74.34,74.41,clay-bearing [X363],foraminifer-nannofossil ooze [X363],clay-bearing foraminifer-nannofossil ooze,,2.5YR 8/1 (white),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-10H-6-A,141,150,74.41,74.5,clay-bearing [X363],foraminifer-nannofossil ooze [X363],clay-bearing foraminifer-nannofossil ooze,,N 9.5 (white),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-10H-7-A,0,69,74.5,75.19,clay-bearing [X363],foraminifer-nannofossil ooze [X363],clay-bearing foraminifer-nannofossil ooze,,N 9.5 (white),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-10H-CC-A,0,17,75.19,75.36,clay-bearing [X363],foraminifer-nannofossil ooze [X363],clay-bearing foraminifer-nannofossil ooze,,N 9.5 (white),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-11H-1-A,0,44,75,75.44,clay-bearing [X363],foraminifer-nannofossil ooze [X363],clay-bearing foraminifer-nannofossil ooze,,N 9.5 (white),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-11H-1-A,44,49,75.44,75.49,clay-bearing [X363],foraminifer-nannofossil ooze [X363],clay-bearing foraminifer-nannofossil ooze,,N 8 (white),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-11H-1-A,49,139,75.49,76.39,clay-bearing [X363],foraminifer-nannofossil ooze [X363],clay-bearing foraminifer-nannofossil ooze,,N 9.5 (white),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-11H-1-A,139,150,76.39,76.5,clay-bearing [X363],foraminifer-nannofossil ooze [X363],clay-bearing foraminifer-nannofossil ooze,,N 8 (white),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-11H-2-A,0,150,76.5,78,clay-bearing [X363],foraminifer-nannofossil ooze [X363],clay-bearing foraminifer-nannofossil ooze,,N 9.5 (white),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-11H-3-A,0,47,78,78.47,clay-bearing [X363],foraminifer-nannofossil ooze [X363],clay-bearing foraminifer-nannofossil ooze,,N 9.5 (white),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-11H-3-A,47,52,78.47,78.52,clay-bearing [X363],foraminifer-nannofossil ooze [X363],clay-bearing foraminifer-nannofossil ooze,,N 8.5 (white),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-11H-3-A,52,137,78.52,79.37,clay-bearing [X363],foraminifer-nannofossil ooze [X363],clay-bearing foraminifer-nannofossil ooze,,N 9.5 (white),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-11H-3-A,137,150,79.37,79.5,clay-bearing [X363],foraminifer-nannofossil ooze [X363],clay-bearing foraminifer-nannofossil ooze,,N 8.5 (white),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-11H-4-A,0,150,79.5,81,clay-bearing [X363],foraminifer-nannofossil ooze [X363],clay-bearing foraminifer-nannofossil ooze,,N 9.5 (white),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-11H-5-A,0,150,81,82.5,clay-bearing [X363],foraminifer-nannofossil ooze [X363],clay-bearing foraminifer-nannofossil ooze,,N 9.5 (white),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-11H-6-A,0,90,82.5,83.4,clay-bearing [X363],foraminifer-nannofossil ooze [X363],clay-bearing foraminifer-nannofossil ooze,,N 9.5 (white),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-11H-6-A,90,101,83.4,83.51,clay-bearing [X363],foraminifer-nannofossil ooze [X363],clay-bearing foraminifer-nannofossil ooze,,N 8.5 (white),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-11H-6-A,101,150,83.51,84,clay-bearing [X363],foraminifer-nannofossil ooze [X363],clay-bearing foraminifer-nannofossil ooze,,N 9.5 (white),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-11H-7-A,0,69,84,84.69,clay-bearing [X363],foraminifer-nannofossil ooze [X363],clay-bearing foraminifer-nannofossil ooze,,N 9.5 (white),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-11H-CC-A,0,21,84.69,84.9,clay-bearing [X363],foraminifer-nannofossil ooze [X363],clay-bearing foraminifer-nannofossil ooze,,N 9.5 (white),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-12H-1-A,0,14,84.5,84.64,clay-bearing [X363],foraminifer-nannofossil ooze [X363],clay-bearing foraminifer-nannofossil ooze,,N 8.5 (white),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-12H-1-A,14,73,84.64,85.23,clay-bearing [X363],foraminifer-nannofossil ooze [X363],clay-bearing foraminifer-nannofossil ooze,,N 9.5 (white),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1490C-12H-1-A,73,78,85.23,85.28,,foraminiferal ooze [Leg339],foraminiferal ooze,,N 8 (white),moderate [DB86],,,,,,,,,,,,,,,,,,
