Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,MAJ Lith. prefix+name+suffix [read only],Sed. structures,MAJ Lith. color,Bioturbation intensity,Bioturbation intensity rank [read only],Clast abundance,Number of clasts (>2mm),Diagenetic constituent,Diagenetic constituent composition,Biogenic material,Lithologic accessories,Contact or boundary type,Contact geometry,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
374-U1523A-1H-2-A,35.0,75,1.85,2.25,foraminifer bearing,interbedded sand(stone) and mud(stone) [McKW53],,foraminifer bearing interbedded sand(stone) and mud(stone),lamination,10YR 4/2 (dark grayish brown),,,,,,,,,,,Decimeter scale gray bround to greenish gray interbedded sandy muds to muddy sands with interval of clast-rich sandy diamict at 26-35 cm.,,,,374,U1523,A,1,H,2,A
374-U1523A-1H-2-A,72.0,75,2.22,2.25,,,,,,,,,,,,,foraminifer,,inclined boundary or contact,,Inclined sharp color contact. Foram rich?,,,,374,U1523,A,1,H,2,A
374-U1523A-1H-2-A,75.0,150,2.25,3.0,diatom bearing,interbedded sand(stone) and mud(stone) [McKW53],,diatom bearing interbedded sand(stone) and mud(stone),,GLEY 1 5/N (gray),,,,,,,,lonestone,,,Lonestone at 115 and 125-129 cm.,,,,374,U1523,A,1,H,2,A
374-U1523A-1H-2-A,88.0,104,2.38,2.54,,,,,lamination,,,,,,,,,,,,sharp lamination (planer of green and gray.,,,,374,U1523,A,1,H,2,A
374-U1523A-1H-3-A,0.0,46,3.0,3.46,diatom bearing,interbedded sand(stone) and mud(stone) [McKW53],,diatom bearing interbedded sand(stone) and mud(stone),,GLEY 1 5/10GY (greenish gray),complete [DB86],4.0,,,,,,,,,Colar grades from Gley 1 5/10GY to Gley 1 6/3 greenish gray. Finer at bottom of section.,,,,374,U1523,A,1,H,3,A
374-U1523A-1H-3-A,46.0,151,3.46,4.51,diatom bearing,interbedded sand(stone) and mud(stone) [McKW53],,diatom bearing interbedded sand(stone) and mud(stone),,,complete [DB86],4.0,,,,,,,,,,,,,374,U1523,A,1,H,3,A
374-U1523A-1H-4-A,0.0,150,4.51,6.01,foraminifer bearing,interbedded sand(stone) and mud(stone) [McKW53],,foraminifer bearing interbedded sand(stone) and mud(stone),interlamination,10YR 4/2 (dark grayish brown),heavy [DB86],3.0,,,,,,lonestone,,,lonstone at 102 cm.,,,,374,U1523,A,1,H,4,A
374-U1523A-1H-5-A,0.0,9,6.01,6.1,diatom bearing,interbedded sand(stone) and mud(stone) [McKW53],,diatom bearing interbedded sand(stone) and mud(stone),,10YR 4/2 (dark grayish brown),complete [DB86],4.0,,,,,,,sharp boundary or contact,irregular,,,,,374,U1523,A,1,H,5,A
374-U1523A-1H-5-A,0.0,96,6.01,6.97,,,,,,,complete [DB86],4.0,,,,,,,,,,,,,374,U1523,A,1,H,5,A
374-U1523A-1H-5-A,9.0,16,6.1,6.17,diatom bearing,clast-rich sandy diamict [M89m],,diatom bearing clast-rich sandy diamict,,10YR 5/2 (grayish brown),,,,,,,,,gradational boundary or contact,,color change.,,,,374,U1523,A,1,H,5,A
374-U1523A-1H-5-A,16.0,54,6.17,6.55,diatom bearing,interbedded sand(stone) and mud(stone) [McKW53],,diatom bearing interbedded sand(stone) and mud(stone),,GLEY 1 6/10GY (greenish gray),,,,,,,,,,,,,,,374,U1523,A,1,H,5,A
374-U1523A-1H-5-A,54.0,54,6.55,6.55,,,,,wavy laminae,,,,,,,,,,,,,,,,374,U1523,A,1,H,5,A
374-U1523A-1H-5-A,54.0,60,6.55,6.61,diatom bearing,clast-poor sandy diamict [M89m],,diatom bearing clast-poor sandy diamict,,10YR 5/2 (grayish brown),,,,,,,,,,,,,,,374,U1523,A,1,H,5,A
374-U1523A-1H-5-A,60.0,81,6.61,6.82,foraminifer bearing,interbedded sand(stone) and mud(stone) [McKW53],,foraminifer bearing interbedded sand(stone) and mud(stone),,10YR 5/2 (grayish brown),,,,,,,,,,,,,,,374,U1523,A,1,H,5,A
374-U1523A-1H-5-A,70.0,85,6.71,6.86,,,,,burrows,,,,,,,,,,,,,,,,374,U1523,A,1,H,5,A
374-U1523A-1H-5-A,76.0,81,6.77,6.82,,,,,,,,,,,,,foraminifer,,sharp boundary or contact,,Sharp contact with foram-rich sandy mud bioturbation with burrows filled with forams and maybe pyrite.,,,,374,U1523,A,1,H,5,A
374-U1523A-1H-5-A,81.0,145,6.82,7.46,diatom rich,interbedded sand(stone) and mud(stone) [McKW53],,diatom rich interbedded sand(stone) and mud(stone),lamination,10YR 5/2 (grayish brown),,,,,,,,,,,Interbeds of silty muds + muds tops less distinct than bttom (graded?).,,,,374,U1523,A,1,H,5,A
374-U1523A-1H-5-A,96.0,140,6.97,7.41,,,,,,,slight [DB86],1.0,,,,,,,,,,,,,374,U1523,A,1,H,5,A
374-U1523A-1H-6-A,0.0,72,7.51,8.23,diatom rich,interbedded sand(stone) and mud(stone) [McKW53],,diatom rich interbedded sand(stone) and mud(stone),lamination,10YR 5/2 (grayish brown),moderate [DB86],2.0,,,,,,lonestone,,,Lonestone at 6 and 58 cm.,,,,374,U1523,A,1,H,6,A
374-U1523A-1H-6-A,58.0,58,8.09,8.09,,,,,,,,,,,,,shell fragment,,,,,,,,374,U1523,A,1,H,6,A
374-U1523A-1H-CC-A,0.0,23,8.23,8.46,diatom rich,interbedded sand(stone) and mud(stone) [McKW53],,diatom rich interbedded sand(stone) and mud(stone),lamination,10YR 5/2 (grayish brown),moderate [DB86],2.0,,,,,,,,,,,,,374,U1523,A,1,H,CC,A
374-U1523A-2H-1-A,0.0,72,8.5,9.22,diatom rich,interbedded sand(stone) and mud(stone) [McKW53],,diatom rich interbedded sand(stone) and mud(stone),,10YR 5/2 (grayish brown),complete [DB86],4.0,,,,,,,,,,,,,374,U1523,A,2,H,1,A
374-U1523A-2H-1-A,32.0,72,8.82,9.22,,,,,lamination,,,,,,,,,,undulating or wavy boundary or contact [BJ80],bioturbated,at 72 cm,,,,374,U1523,A,2,H,1,A
374-U1523A-2H-1-A,72.0,103,9.22,9.53,diatom bearing,clast-rich muddy diamict [M89m],,diatom bearing clast-rich muddy diamict,,10YR 5/2 (grayish brown),,,,,,,,,,,,,,,374,U1523,A,2,H,1,A
374-U1523A-2H-1-A,103.0,151,9.53,10.01,foraminifer rich,clast-poor sandy diamict [M89m],,foraminifer rich clast-poor sandy diamict,,GLEY 1 5/10GY (greenish gray),heavy [DB86],3.0,,,,,,lonestone,,,Massive foram-rich sandy mud with common clast). Lonestone at 113 cm.,,,,374,U1523,A,2,H,1,A
374-U1523A-2H-2-A,0.0,24,10.01,10.25,diatom bearing,clast-rich muddy diamict [M89m],,diatom bearing clast-poor muddy diamict,,GLEY 1 5/10GY (greenish gray),heavy [DB86],3.0,,,,,,,,,,,,,374,U1523,A,2,H,2,A
374-U1523A-2H-2-A,0.0,100,10.01,11.01,,,,,,,heavy [DB86],3.0,,,,,,,,,,,,,374,U1523,A,2,H,2,A
374-U1523A-2H-2-A,24.0,150,10.25,11.51,diatom bearing,interbedded mud(stone) and diamict [McKW53],,diatom bearing interbedded mud(stone) and diamict,,GLEY 1 5/10GY (greenish gray),,,,,,,,,,,Below 100 cm: disturbed by flow in due to partial piston strode.,,,,374,U1523,A,2,H,2,A
374-U1523A-2H-2-A,77.0,77,10.78,10.78,,,,,,,,,,,,,shell fragment,,,,,,,,374,U1523,A,2,H,2,A
374-U1523A-2H-3-A,0.0,150,11.51,13.01,diatom bearing,interbedded mud(stone) and diamict [McKW53],,diatom bearing interbedded mud(stone) and diamict,,GLEY 1 5/10GY (greenish gray),,,,,,,,,,,Disturbed,,,,374,U1523,A,2,H,3,A
374-U1523A-2H-3-A,127.0,133,12.78,12.84,,,,,,,,,,,,,,,inclined boundary or contact,,color contact?,,,,374,U1523,A,2,H,3,A
374-U1523A-2H-3-A,139.0,140,12.9,12.91,,,,,,,,,,,,,,lonestone,,,,,,,374,U1523,A,2,H,3,A
374-U1523A-2H-4-A,0.0,151,13.01,14.52,diatom bearing,interbedded mud(stone) and diamict [McKW53],,diatom bearing interbedded mud(stone) and diamict,,GLEY 1 5/10GY (greenish gray),,,,,,,,lonestone,,,Lonestone at 1-6 and 34 cm. Disturbed throughout.,,,,374,U1523,A,2,H,4,A
374-U1523A-2H-5-A,0.0,22,14.52,14.74,foraminifer rich,clast-poor sandy diamict [M89m],,foraminifer rich clast-poor sandy diamict,,GLEY 1 5/10GY (greenish gray),,,,,,,,,,,,,,,374,U1523,A,2,H,5,A
374-U1523A-2H-6-A,0.0,29,14.74,15.03,diatom bearing,interbedded mud(stone) and diamict [McKW53],,diatom bearing interbedded mud(stone) and diamict,,GLEY 1 5/10GY (greenish gray),,,,,,,,,,,,,,,374,U1523,A,2,H,6,A
374-U1523A-2H-7-A,0.0,76,15.08,15.84,foraminifer bearing,interbedded mud(stone) and diamict [McKW53],,foraminifer bearing interbedded mud(stone) and diamict,,GLEY 1 5/N (gray),,,,,,,,lonestone,,,Lonestones at 41 and 52-56 cm faceted (ig).,,,,374,U1523,A,2,H,7,A
374-U1523A-2H-CC-A,0.0,12,15.84,15.96,diatom bearing,clast-rich sandy diamict [M89m],,diatom bearing clast-rich sandy diamict,,GLEY 1 5/N (gray),,,,,,,,,,,,,,,374,U1523,A,2,H,CC,A
374-U1523A-3H-1-A,0.0,8,18.0,18.08,diatom bearing,clast-rich sandy diamict [M89m],,diatom bearing clast-rich sandy diamict,,10YR 5/2 (grayish brown),,,,,,,,,,,,,,,374,U1523,A,3,H,1,A
374-U1523A-3H-1-A,8.0,18,18.08,18.18,foraminifer bearing,clast-poor sandy diamict [M89m],,foraminifer bearing clast-poor sandy diamict,,10YR 4/2 (dark grayish brown),,,,,,,,,sharp boundary or contact,bioturbated,Muddy sand (sandy diamict) with bioturbated contact.,,,,374,U1523,A,3,H,1,A
374-U1523A-3H-1-A,18.0,33,18.18,18.33,foraminifer rich,clast-rich sandy diamict [M89m],,foraminifer rich clast-rich sandy diamict,,10YR 5/2 (grayish brown),,,,,,,,,,,,,,,374,U1523,A,3,H,1,A
374-U1523A-3H-1-A,20.0,50,18.2,18.5,,,,,,,complete [DB86],4.0,,,,,,,,,,,,,374,U1523,A,3,H,1,A
374-U1523A-3H-1-A,33.0,33,18.33,18.33,,,,,,,,,,,,,,mud clast,,,,,,,374,U1523,A,3,H,1,A
374-U1523A-3H-1-A,33.0,120,18.33,19.2,diatom bearing,clast-rich muddy diamict [M89m],,diatom bearing clast-rich muddy diamict,lamination,10YR 5/2 (grayish brown),,,,,,,,lonestone,,,Stratified clast-rich muddy diamict. Lonestone at 109-112 cm.,,,,374,U1523,A,3,H,1,A
374-U1523A-3H-1-A,120.0,134,19.2,19.34,foraminifer rich,clast-rich sandy diamict [M89m],,foraminifer rich clast-rich sandy diamict,,10YR 5/2 (grayish brown),heavy [DB86],3.0,,,,,,,,,,,,,374,U1523,A,3,H,1,A
374-U1523A-3H-2-A,0.0,12,19.34,19.46,foraminifer rich,clast-rich sandy diamict [M89m],,foraminifer rich clast-rich sandy diamict,,10YR 5/2 (grayish brown),heavy [DB86],3.0,,,,,,mud clast,,,Greenish mud clast at 6-8 cm.,,,,374,U1523,A,3,H,2,A
374-U1523A-3H-2-A,12.0,27,19.46,19.61,,,,,lamination,,,,,,,,,,,,,,,,374,U1523,A,3,H,2,A
374-U1523A-3H-2-A,12.0,80,19.46,20.14,,,,,,,heavy [DB86],3.0,,,,,,,,,,,,,374,U1523,A,3,H,2,A
374-U1523A-3H-2-A,12.0,101,19.46,20.35,diatom bearing,interbedded mud(stone) and diamict [McKW53],,diatom bearing interbedded mud(stone) and diamict,,10YR 5/2 (grayish brown),,,,,,,,lonestone,,,"Lonestones at 15, 80-84 (carbonate mudstone).",,,,374,U1523,A,3,H,2,A
374-U1523A-3H-3-A,0.0,80,20.35,21.15,diatom bearing,interbedded mud(stone) and diamict [McKW53],,diatom bearing interbedded mud(stone) and diamict,,10YR 5/2 (grayish brown),,,,,,,,lonestone,,,Lonestone at 75-77 cm (carbonate mudstone).,,,,374,U1523,A,3,H,3,A
374-U1523A-3H-3-A,0.0,80,20.35,21.15,,,,,,,moderate [DB86],2.0,,,,,,,,,,,,,374,U1523,A,3,H,3,A
374-U1523A-3H-4-A,0.0,86,21.15,22.01,diatom bearing,clast-poor muddy diamict [M89m],,diatom bearing clast-poor muddy diamict,lamination,10YR 5/2 (grayish brown),,,,,,,,,,,Interlamination of grayish brown silty mud and greenish gray mud.,,,,374,U1523,A,3,H,4,A
374-U1523A-3H-4-A,57.0,59,21.72,21.74,,,,,mottling [BJ80],,,,,,,,,,,,,,,,374,U1523,A,3,H,4,A
374-U1523A-3H-5-A,0.0,32,22.01,22.33,diatom bearing,clast-poor muddy diamict [M89m],,diatom bearing clast-poor muddy diamict,lamination,10YR 5/2 (grayish brown),,,,,,,,lonestone,,,"Interlamination of grayish brown silty mud and greenish gray mud. Lonestones at 12, 13, 20).",,,,374,U1523,A,3,H,5,A
374-U1523A-3H-5-A,32.0,77,22.33,22.78,foraminifer rich,clast-rich sandy diamict [M89m],,foraminifer rich clast-rich sandy diamict,,10YR 5/2 (grayish brown),,,,,,,,lonestone,,,Lonestone at 73-77 cm. Carbonate at 35 cm.,,,,374,U1523,A,3,H,5,A
374-U1523A-3H-6-A,0.0,60,22.78,23.38,foraminifer rich,clast-rich sandy diamict [M89m],,foraminifer rich clast-rich sandy diamict,,10YR 5/2 (grayish brown),,,,,,,,lonestone,,,"Lonestone at 13, 14, and 19 cm.",,,,374,U1523,A,3,H,6,A
374-U1523A-3H-7-A,0.0,105,23.38,24.43,foraminifer rich,clast-poor sandy diamict [M89m],,foraminifer rich clast-poor sandy diamict,,10YR 5/2 (grayish brown),,,,,,,,,,,,,,,374,U1523,A,3,H,7,A
374-U1523A-3H-7-A,30.0,32,23.68,23.7,,,,,mottling [BJ80],,,,,,,,,,,,Black (pyrite?).,,,,374,U1523,A,3,H,7,A
374-U1523A-3H-8-A,0.0,52,24.43,24.95,foraminifer rich,clast-poor sandy diamict [M89m],,foraminifer rich clast-poor sandy diamict,,10YR 5/2 (grayish brown),,,,,,,,lonestone,,,"Lonestone at 0-2 and 14-17 cm,",,,,374,U1523,A,3,H,8,A
374-U1523A-3H-CC-A,0.0,15,25.0,25.15,foraminifer rich,clast-poor sandy diamict [M89m],,foraminifer rich clast-poor sandy diamict,,10YR 5/2 (grayish brown),,,,,,,,,,,,,,,374,U1523,A,3,H,CC,A
374-U1523A-4F-1-A,0.0,51,27.5,28.01,foraminifer bearing,clast-poor muddy diamict [M89m],,foraminifer bearing clast-poor muddy diamict,,GLEY 1 10GY 4/1,,,,,,,,lonestone,,,"Lonestones at 8-12, 14-18,18-22, 33-34, 39",,,,374,U1523,A,4,F,1,A
374-U1523A-4F-2-A,0.0,11,28.01,28.12,diatom bearing,clast-poor muddy diamict [M89m],,diatom bearing clast-poor muddy diamict,,GLEY 1 10GY 4/1,,,,,,,,lonestone,,,,,,,374,U1523,A,4,F,2,A
374-U1523A-4F-2-A,11.0,17,28.12,28.18,foraminifer bearing,clast-poor sandy diamict [M89m],,foraminifer bearing clast-poor sandy diamict,,GLEY 1 10GY 4/1,,,,,,,,lonestone,,,,,,,374,U1523,A,4,F,2,A
374-U1523A-4F-2-A,17.0,27,28.18,28.28,foraminifer bearing,clast-poor sandy diamict [M89m],,foraminifer bearing clast-poor sandy diamict,,GLEY 1 10GY 4/1,,,,,,,,lonestone,,,,,,,374,U1523,A,4,F,2,A
374-U1523A-4F-2-A,27.0,32,28.28,28.33,foraminifer bearing,clast-poor sandy diamict [M89m],,foraminifer bearing clast-poor sandy diamict,,GLEY 1 10GY 4/1,,,,,,,,lonestone,,,,,,,374,U1523,A,4,F,2,A
374-U1523A-4F-2-A,32.0,88,28.33,28.89,diatom bearing,clast-poor muddy diamict [M89m],,diatom bearing clast-poor muddy diamict,,GLEY 1 10GY 4/1,,,,,,,,lonestone,,,,,,,374,U1523,A,4,F,2,A
374-U1523A-4F-2-A,88.0,138,28.89,29.39,foraminifer bearing,clast-poor sandy diamict [M89m],,foraminifer bearing clast-poor sandy diamict,lens or pod [BJ84],GLEY 1 10GY 4/1,,,,,,,,lonestone,,,"Lonestones at 15-16, (mud clasts), 27-28, 28-29, 32-36 (granitoid), 97-98, 108-110, 128-129. Between 88-138 physical intermixing of coarse and fine sand with mud",,,,374,U1523,A,4,F,2,A
374-U1523A-4F-3-A,0.0,32,29.39,29.71,diatom bearing,clast-poor muddy diamict [M89m],,diatom bearing clast-poor muddy diamict,,GLEY 1 10GY 4/1,,,,,,,,,,,,,,,374,U1523,A,4,F,3,A
374-U1523A-4F-3-A,32.0,58,29.71,29.97,diatom bearing,clast-poor muddy diamict [M89m],,diatom bearing clast-poor muddy diamict,,GLEY 1 10GY 4/1,,,,,,,,,,,,,,,374,U1523,A,4,F,3,A
374-U1523A-4F-3-A,49.0,51,29.88,29.9,,,,,,,,,,,nodule,silica,,lonestone,,,,,,,374,U1523,A,4,F,3,A
374-U1523A-4F-3-A,58.0,85,29.97,30.24,foraminifer bearing,clast-poor sandy diamict [M89m],,foraminifer bearing clast-poor sandy diamict,lens or pod [BJ84],GLEY 1 10GY 4/1,,,,,,,,,,,,,,,374,U1523,A,4,F,3,A
374-U1523A-4F-3-A,85.0,109,30.24,30.48,diatom bearing,clast-poor muddy diamict [M89m],,diatom bearing clast-poor muddy diamict,,GLEY 1 10GY 4/1,,,,,,,,,,,,,,,374,U1523,A,4,F,3,A
374-U1523A-4F-3-A,109.0,109,30.48,30.48,,,,,lamination,,,,,,,,shell fragment,,,,,,,,374,U1523,A,4,F,3,A
374-U1523A-4F-3-A,111.0,126,30.5,30.65,diatom bearing,mud,with dispersed clasts,diatom bearing mud with dispersed clasts,,,,,,,,,,,,,,,,,374,U1523,A,4,F,3,A
374-U1523A-4F-CC-A,0.0,10,30.65,30.75,,,,,interlamination,,,,,,,,,,,,,,,,374,U1523,A,4,F,CC,A
374-U1523A-4F-CC-A,0.0,30,30.65,30.95,diatom bearing,mud,,diatom bearing mud,interlamination,GLEY 1 10GY 4/1,,,,,,,,,,,,,,,374,U1523,A,4,F,CC,A
374-U1523A-4F-CC-A,0.0,30,30.65,30.95,,,,,mottling [BJ80],,,,,,,,,,,,,,,,374,U1523,A,4,F,CC,A
374-U1523A-4F-CC-A,12.5,13,30.775,30.78,,,,,lamination,,,,,,,,,,,,,,,,374,U1523,A,4,F,CC,A
374-U1523A-5F-1-A,0.0,27,32.2,32.47,diatom bearing,mud,with dispersed clasts,diatom bearing mud with dispersed clasts,interlamination,GLEY 1 10GY 4/1,,,,,,,,lonestone,,,"Lonestones at 16-17, 12, 5",,,,374,U1523,A,5,F,1,A
374-U1523A-5F-1-A,27.0,37,32.47,32.57,diatom bearing,mud,with dispersed clasts,diatom bearing mud with dispersed clasts,,GLEY 1 10GY 4/1,,,,,,,,,,,,,,,374,U1523,A,5,F,1,A
374-U1523A-5F-1-A,37.0,51,32.57,32.71,diatom bearing,clast-poor sandy diamict [M89m],,diatom bearing clast-poor sandy diamict,interlamination,GLEY 1 10GY 4/1,,,,,,,,,,,,,,,374,U1523,A,5,F,1,A
374-U1523A-5F-1-A,51.0,72,32.71,32.92,diatom rich,mud,,diatom rich mud,interlamination,GLEY 1 10GY 4/1,,,,,,,,,,,,,,,374,U1523,A,5,F,1,A
374-U1523A-5F-2-A,0.0,34,32.98,33.32,diatom rich,mud,,diatom rich mud,interlamination,GLEY 1 10GY 4/1,,,,,,,,,,,,,,,374,U1523,A,5,F,2,A
374-U1523A-5F-2-A,6.0,7,33.04,33.05,,,,,sand stringer,,,,,,,,,lonestone,,,Lonestone at 32-34,,,,374,U1523,A,5,F,2,A
374-U1523A-6F-1-A,0.0,14,36.9,37.04,diatom bearing,clast-poor sandy diamict [M89m],,diatom bearing clast-poor sandy diamict,,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,,,,,,,374,U1523,A,6,F,1,A
374-U1523A-6F-1-A,14.0,38,37.04,37.28,diatom bearing,mud,with common clasts,diatom bearing mud with common clasts,sand stringer,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,,,,,,,374,U1523,A,6,F,1,A
374-U1523A-6F-1-A,14.0,38,37.04,37.28,,,,,mottling [BJ80],GLEY 1 4/10Y (dark greenish gray),,,,,,,,,,,,,,,374,U1523,A,6,F,1,A
374-U1523A-6F-1-A,38.0,58,37.28,37.48,diatom bearing,clast-poor sandy diamict [M89m],,diatom bearing clast-poor sandy diamict,interlamination,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,,,,,,,374,U1523,A,6,F,1,A
374-U1523A-6F-1-A,58.0,119,37.48,38.09,muddy,diatom ooze,with dispersed clasts,muddy diatom ooze with dispersed clasts,interlamination,GLEY 1 4/10Y (dark greenish gray),,,,,,,,lonestone,,,"Lonestones at 23, 69-70, 102-103",,,,374,U1523,A,6,F,1,A
374-U1523A-6F-1-A,58.0,119,37.48,38.09,,,,,sand stringer,,,,,,,,,,,,,,,,374,U1523,A,6,F,1,A
374-U1523A-6F-1-A,119.0,149,38.09,38.39,diatom rich,interbedded mud(stone) and diamict [McKW53],,diatom rich interbedded mud(stone) and diamict,interlamination,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,,,,,,,374,U1523,A,6,F,1,A
374-U1523A-6F-2-A,0.0,15,38.4,38.55,diatom bearing,mud,with dispersed clasts,diatom bearing mud with dispersed clasts,,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,,,,,,,374,U1523,A,6,F,2,A
374-U1523A-6F-2-A,15.0,25,38.55,38.65,diatom bearing,clast-poor muddy diamict [M89m],,diatom bearing clast-poor muddy diamict,sand stringer,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,sharp boundary or contact,,,,,,374,U1523,A,6,F,2,A
374-U1523A-6F-2-A,15.0,25,38.55,38.65,,,,,mottling [BJ80],GLEY 1 4/10Y (dark greenish gray),,,,,,,,,,,,,,,374,U1523,A,6,F,2,A
374-U1523A-6F-2-A,25.0,115,38.65,39.55,diatom bearing,clast-poor muddy diamict [M89m],,diatom bearing clast-poor muddy diamict,,GLEY 1 4/10Y (dark greenish gray),,,,,,,,lonestone,,,,,,,374,U1523,A,6,F,2,A
374-U1523A-6F-2-A,115.0,119,39.55,39.59,diatom bearing,clast-poor sandy diamict [M89m],,diatom bearing clast-poor sandy diamict,,GLEY 1 4/10Y (dark greenish gray),,,,,,,,lonestone,,,,,,,374,U1523,A,6,F,2,A
374-U1523A-6F-2-A,119.0,130,39.59,39.7,diatom bearing,clast-poor sandy diamict [M89m],,diatom bearing clast-poor sandy diamict,mottling [BJ80],GLEY 1 4/10Y (dark greenish gray),,,,,,,,lonestone,,,,,,,374,U1523,A,6,F,2,A
374-U1523A-6F-2-A,130.0,150,39.7,39.9,diatom rich,mud,with dispersed clasts,diatom rich mud with dispersed clasts,interlamination,GLEY 1 4/10Y (dark greenish gray),,,,,,,,lonestone,,,"Lonestones at 34, 57, 61, 63, 68, 83, 86, 92, 101, 121, 136, 145",,,,374,U1523,A,6,F,2,A
374-U1523A-6F-3-A,0.0,72,39.9,40.62,diatom rich,mud,with dispersed clasts,diatom rich mud with dispersed clasts,interlamination,GLEY 1 4/10Y (dark greenish gray),,,,,,,,lonestone,,,"Lonestones at 3, 4,9, 11,15, 24, 26, 33, 40, 67",,,,374,U1523,A,6,F,3,A
374-U1523A-6F-3-A,35.0,72,40.25,40.62,,,,,sand stringer,,,,,,,,,,,,,,,,374,U1523,A,6,F,3,A
374-U1523A-6F-4-A,0.0,75,40.72,41.47,diatom rich,mud,with dispersed clasts,diatom rich mud with dispersed clasts,interlamination,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,,,,,,,374,U1523,A,6,F,4,A
374-U1523A-6F-4-A,0.0,75,40.72,41.47,,,,,mottling [BJ80],,,,,,,,,,,,,,,,374,U1523,A,6,F,4,A
374-U1523A-6F-CC-A,0.0,12,41.47,41.59,diatom rich,mud,with dispersed clasts,diatom rich mud with dispersed clasts,mottling [BJ80],GLEY 1 4/10Y (dark greenish gray),,,,,,,,,,,,,,,374,U1523,A,6,F,CC,A
374-U1523A-6F-CC-A,0.0,12,41.47,41.59,,,,,sand stringer,,,,,,,,,,,,,,,,374,U1523,A,6,F,CC,A
374-U1523A-7F-1-A,0.0,83,41.6,42.43,diatom rich,mud,with dispersed clasts,diatom rich mud with dispersed clasts,,GLEY 1 4/10Y (dark greenish gray),,,,,,,,lonestone,,,"Lonestones at 6-10, 12-14.5, 18-19, 33-35.",,,,374,U1523,A,7,F,1,A
374-U1523A-7F-CC-A,0.0,6,42.43,42.49,diatom rich,mud,with dispersed clasts,diatom rich mud with dispersed clasts,,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,,,,,,,374,U1523,A,7,F,CC,A
