Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Principal Name,Lithology classification,Lithology Prefix,Lithology Suffix,Lithology name,Lithology [%],Lithification [name],Color,Lithology comments,File Data,Unnamed: 23
320-U1331A-2H-1-A,320,U1331,A,2,2-1,H,1,A,123,144,6.43,6.64,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian,with nannofossils,Radiolarian ooze with nannofossils,50.0,soft,10YR 6/4,Alternation of radiolarian ooze (5 cm-thick intervals) and radiolarian nannofossil ooze (10 cm-thick interval). ,,
320-U1331A-2H-1-A,320,U1331,A,2,2-1,H,1,A,123,144,6.43,6.64,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Siliceous nannofossil,,Siliceous nannofossil ooze,50.0,soft,10YR 6/4,Alternation of radiolarian ooze (5 cm-thick intervals) and radiolarian nannofossil ooze (10 cm-thick interval). ,,
320-U1331A-2H-1-A,320,U1331,A,2,2-1,H,1,A,144,150,6.64,6.7,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Siliceous nannofossil,with clay,Siliceous nannofossil ooze with clay,50.0,soft,10YR 4/3,Alternation of radiolarian nannofossil ooze (10 cm-thick intervals) and nannofossil ooze with diatom and clay (10 cm-thick intervals).,,
320-U1331A-2H-1-A,320,U1331,A,2,2-1,H,1,A,144,150,6.64,6.7,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Siliceous nannofossil,,Siliceous nannofossil ooze,50.0,soft,10YR 5/3,Alternation of radiolarian nannofossil ooze (10 cm-thick intervals) and nannofossil ooze with diatom and clay (10 cm-thick intervals).,,
320-U1331A-2H-2-A,320,U1331,A,2,2-2,H,2,A,0,52,6.7,7.22,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Siliceous nannofossil,with clay,Siliceous nannofossil ooze with clay,50.0,soft,10YR 4/3,Alternation of radiolarian nannofossil ooze (10 cm-thick intervals) and Radiolarian nannofossil ooze with clay (10 cm-thick intervals).,,
320-U1331A-2H-2-A,320,U1331,A,2,2-2,H,2,A,0,52,6.7,7.22,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Siliceous nannofossil,,Siliceous nannofossil ooze,50.0,soft,10YR 5/3,Alternation of radiolarian nannofossil ooze (10 cm-thick intervals) and radiolarian nannofossil ooze with clay (10 cm-thick intervals).,,
320-U1331A-2H-2-A,320,U1331,A,2,2-2,H,2,A,52,150,7.22,8.2,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,100.0,soft,10YR 7/3,,,
320-U1331A-2H-3-A,320,U1331,A,2,2-3,H,3,A,0,24,8.2,8.44,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,100.0,soft,10YR 7/3,,,
320-U1331A-2H-3-A,320,U1331,A,2,2-3,H,3,A,24,57,8.44,8.77,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,80.0,soft,10YR 6/3,Alternation of nannofossil ooze and radiolarian ooze with nannofossils.,,
320-U1331A-2H-3-A,320,U1331,A,2,2-3,H,3,A,24,57,8.44,8.77,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian,with nannofossils,Radiolarian ooze with nannofossils,20.0,soft,10YR 6/3,Alternation of nannofossil ooze and radiolarian ooze with nannofossils.,,
320-U1331A-2H-3-A,320,U1331,A,2,2-3,H,3,A,57,80,8.77,9.0,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,20.0,soft,10YR 6/3,Alternation of nannofossil ooze and radiolarian ooze with nannofossils.,,
320-U1331A-2H-3-A,320,U1331,A,2,2-3,H,3,A,57,80,8.77,9.0,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian,with nannofossils,Radiolarian ooze with nannofossils,80.0,soft,10YR 6/3,Alternation of nannofossil ooze and radiolarian ooze with nannofossils.,,
320-U1331A-2H-3-A,320,U1331,A,2,2-3,H,3,A,80,150,9.0,9.7,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,60.0,soft,10YR 7/3,Alternation of nannofossil ooze and radiolarian nannofossil ooze with clay. Thickness of each interval varies from 20 cm to 100 cm.,,
320-U1331A-2H-3-A,320,U1331,A,2,2-3,H,3,A,80,150,9.0,9.7,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Siliceous nannofossil,,Siliceous nannofossil ooze,40.0,soft,10YR 5/4,Alternation of nannofossil ooze and radiolarian nannofossil ooze with clay. Thickness of each interval varies from 20 cm to 100 cm.,,
320-U1331A-2H-4-A,320,U1331,A,2,2-4,H,4,A,0,150,9.7,11.2,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,60.0,soft,10YR 7/3,Alternation of nannofossil ooze and radiolarian nannofossil ooze with clay. Thickness of each interval varies from 20 cm to 100 cm.,,
320-U1331A-2H-4-A,320,U1331,A,2,2-4,H,4,A,0,150,9.7,11.2,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Siliceous nannofossil,,Siliceous nannofossil ooze,40.0,soft,10YR 5/4,Alternation of nannofossil ooze and radiolarian nannofossil ooze with clay. Thickness of each interval varies from 20 cm to 100 cm.,,
320-U1331A-2H-5-A,320,U1331,A,2,2-5,H,5,A,0,150,11.2,12.7,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,60.0,soft,10YR 7/3,Alternation of nannofossil ooze and radiolarian nannofossil ooze. Thickness of each interval varies from 20 cm to 100 cm.,,
320-U1331A-2H-5-A,320,U1331,A,2,2-5,H,5,A,0,150,11.2,12.7,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Siliceous nannofossil,,Siliceous nannofossil ooze,40.0,soft,10YR 5/4,Alternation of nannofossil ooze and radiolarian nannofossil ooze. Thickness of each interval varies from 20 cm to 100 cm.,,
320-U1331A-2H-6-A,320,U1331,A,2,2-6,H,6,A,0,150,12.7,14.2,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,60.0,soft,10YR 7/3,Alternation of nannofossil ooze and radiolarian nannofossil ooze. Thickness of each interval varies from 20 cm to 100 cm.,,
320-U1331A-2H-6-A,320,U1331,A,2,2-6,H,6,A,0,150,12.7,14.2,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Siliceous nannofossil,,Siliceous nannofossil ooze,40.0,soft,10YR 5/4,Alternation of nannofossil ooze and radiolarian nannofossil ooze. Thickness of each interval varies from 20 cm to 100 cm.,,
320-U1331A-2H-7-A,320,U1331,A,2,2-7,H,7,A,0,59,14.2,14.79,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,60.0,soft,10YR 7/3,Alternation of nannofossil ooze and radiolarian nannofossil ooze. Thickness of each interval varies from 20 cm to 100 cm.,,
320-U1331A-2H-7-A,320,U1331,A,2,2-7,H,7,A,0,59,14.2,14.79,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Siliceous nannofossil,,Siliceous nannofossil ooze,40.0,soft,10YR 5/4,Alternation of nannofossil ooze and radiolarian nannofossil ooze. Thickness of each interval varies from 20 cm to 100 cm.,,
320-U1331A-2H-CC-A,320,U1331,A,2,2-CC,H,CC,A,0,28,14.79,15.07,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,60.0,soft,10YR 7/3,Alternation of nannofossil ooze and radiolarian nannofossil ooze. Thickness of each interval varies from 20 cm to 100 cm.,,
320-U1331A-2H-CC-A,320,U1331,A,2,2-CC,H,CC,A,0,28,14.79,15.07,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Siliceous nannofossil,,Siliceous nannofossil ooze,40.0,soft,10YR 5/4,Alternation of nannofossil ooze and radiolarian nannofossil ooze. Thickness of each interval varies from 20 cm to 100 cm.,,
320-U1331A-3H-1-A,320,U1331,A,3,3-1,H,1,A,0,29,14.7,14.99,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,60.0,soft,10YR 7/3,Alternation of nannofossil ooze and radiolarian nannofossil ooze. Thickness of each interval varies from 20 cm to 100 cm.,,
320-U1331A-3H-1-A,320,U1331,A,3,3-1,H,1,A,0,29,14.7,14.99,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Siliceous nannofossil,,Siliceous nannofossil ooze,40.0,soft,10YR 5/4,Alternation of nannofossil ooze and radiolarian nannofossil ooze. Thickness of each interval varies from 20 cm to 100 cm.,,
320-U1331A-3H-1-A,320,U1331,A,3,3-1,H,1,A,29,150,14.99,16.2,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with radiolarians,Nannofossil ooze with radiolarians,100.0,soft,10YR 8/2,Pumice with 5 mm diameter at U1331A-3H-1 80 cm.,,
320-U1331A-3H-2-A,320,U1331,A,3,3-2,H,2,A,0,150,16.2,17.7,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with radiolarians,"Nannofossil ooze with diatoms, spicules and radiolarians",,soft,10YR 8/2,Pumice with 5 mm diameter at U1331A-3H-1 80 cm.,,
320-U1331A-3H-3-A,320,U1331,A,3,3-3,H,3,A,0,150,17.7,19.2,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with radiolarians,"Nannofossil ooze with diatoms, spicules and radiolarians",,soft,10YR 8/2,Pumice with 5 mm diameter at U1331A-3H-1 80 cm.,,
320-U1331A-3H-4-A,320,U1331,A,3,3-4,H,4,A,0,49,19.2,19.69,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with radiolarians,Nannofossil ooze with radiolarians,100.0,soft,10YR 8/2,Pumice with 5 mm diameter at U1331A-3H-1 80 cm.,,
320-U1331A-3H-4-A,320,U1331,A,3,3-4,H,4,A,49,73,19.69,19.93,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Siliceous nannofossil,with clay,Siliceous nannofossil ooze with clay,100.0,soft,10YR 6/4,Abundant opaque materials. Normal grading.,,
320-U1331A-3H-4-A,320,U1331,A,3,3-4,H,4,A,73,150,19.93,20.7,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with diatoms and radiolarians,Nannofossil ooze with diatoms and radiolarians,60.0,soft,10YR 5/4,Alternation of nannofossil ooze with diatoms and radiolarians and nannofossil ooze with radiolarians. Thickness of each interval varies from 5 cm to 100 cm.,,
320-U1331A-3H-4-A,320,U1331,A,3,3-4,H,4,A,73,150,19.93,20.7,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with radiolarians,Nannofossil ooze with radiolarians,40.0,soft,10YR 7/3,Alternation of nannofossil ooze with diatoms and radiolarians and nannofossil ooze with radiolarians. Thickness of each interval varies from 5 cm to 100 cm.,,
320-U1331A-3H-5-A,320,U1331,A,3,3-5,H,5,A,0,150,20.7,22.2,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with diatoms and radiolarians,Nannofossil ooze with diatoms and radiolarians,60.0,soft,10YR 5/4,Alternation of nannofossil ooze with diatoms and radiolarians and nannofossil ooze with radiolarians. Thickness of each interval varies from 5 cm to 100 cm.,,
320-U1331A-3H-5-A,320,U1331,A,3,3-5,H,5,A,0,150,20.7,22.2,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with radiolarians,Nannofossil ooze with radiolarians,40.0,soft,10YR 7/3,Alternation of nannofossil ooze with diatoms and radiolarians and nannofossil ooze with radiolarians. Thickness of each interval varies from 5 cm to 100 cm.,,
320-U1331A-3H-6-A,320,U1331,A,3,3-6,H,6,A,0,150,22.2,23.7,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with diatoms and radiolarians,Nannofossil ooze with diatoms and radiolarians,60.0,soft,10YR 5/4,Alternation of nannofossil ooze with diatoms and radiolarians and nannofossil ooze with radiolarians. Thickness of each interval varies from 5 cm to 100 cm.,,
320-U1331A-3H-6-A,320,U1331,A,3,3-6,H,6,A,0,150,22.2,23.7,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with radiolarians,Nannofossil ooze with radiolarians,40.0,soft,10YR 7/3,Alternation of nannofossil ooze with diatoms and radiolarians and nannofossil ooze with radiolarians. Thickness of each interval varies from 5 cm to 100 cm.,,
320-U1331A-3H-7-A,320,U1331,A,3,3-7,H,7,A,0,40,23.7,24.1,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with diatoms and radiolarians,Nannofossil ooze with diatoms and radiolarians,60.0,soft,10YR 5/4,Alternation of nannofossil ooze with diatoms and radiolarians and nannofossil ooze with radiolarians. Thickness of each interval varies from 5 cm to 100 cm.,,
320-U1331A-3H-7-A,320,U1331,A,3,3-7,H,7,A,0,40,23.7,24.1,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with radiolarians,Nannofossil ooze with radiolarians,40.0,soft,10YR 7/3,Alternation of nannofossil ooze with diatoms and radiolarians and nannofossil ooze with radiolarians. Thickness of each interval varies from 5 cm to 100 cm.,,
320-U1331A-3H-CC-A,320,U1331,A,3,3-CC,H,CC,A,0,29,24.1,24.39,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with diatoms and radiolarians,Nannofossil ooze with diatoms and radiolarians,60.0,soft,10YR 5/4,Alternation of nannofossil ooze with diatoms and radiolarians and nannofossil ooze with radiolarians. Thickness of each interval varies from 5 cm to 100 cm.,,
320-U1331A-3H-CC-A,320,U1331,A,3,3-CC,H,CC,A,0,29,24.1,24.39,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with radiolarians,Nannofossil ooze with radiolarians,40.0,soft,10YR 7/3,Alternation of nannofossil ooze with diatoms and radiolarians and nannofossil ooze with radiolarians. Thickness of each interval varies from 5 cm to 100 cm.,,
320-U1331A-4H-1-A,320,U1331,A,4,4-1,H,1,A,0,140,24.2,25.6,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with diatoms and radiolarians,Nannofossil ooze with diatoms and radiolarians,60.0,soft,10YR 5/4,Alternation of nannofossil ooze with diatoms and radiolarians and nannofossil ooze with radiolarians. Thickness of each interval varies from 5 cm to 100 cm.,,
320-U1331A-4H-1-A,320,U1331,A,4,4-1,H,1,A,0,140,24.2,25.6,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with radiolarians,Nannofossil ooze with radiolarians,40.0,soft,10YR 7/3,Alternation of nannofossil ooze with diatoms and radiolarians and nannofossil ooze with radiolarians. Thickness of each interval varies from 5 cm to 100 cm.,,
320-U1331A-4H-1-A,320,U1331,A,4,4-1,H,1,A,140,150,25.6,25.7,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Clayey radiolarian,,Clayey radiolarian ooze,100.0,soft,10YR 3/3,,,
320-U1331A-4H-2-A,320,U1331,A,4,4-2,H,2,A,0,150,25.7,27.2,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Clayey radiolarian,,Clayey radiolarian ooze,100.0,soft,10YR 3/3,,,
320-U1331A-4H-3-A,320,U1331,A,4,4-3,H,3,A,0,150,27.2,28.7,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Clayey radiolarian,,Clayey radiolarian ooze,100.0,soft,10YR 3/3,,,
320-U1331A-4H-4-A,320,U1331,A,4,4-4,H,4,A,0,150,28.7,30.2,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Clayey radiolarian,,Clayey radiolarian ooze,100.0,soft,10YR 3/3,,,
320-U1331A-4H-5-A,320,U1331,A,4,4-5,H,5,A,0,150,30.2,31.7,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Clayey radiolarian,,Clayey radiolarian ooze,100.0,soft,10YR 3/3,,,
320-U1331A-4H-6-A,320,U1331,A,4,4-6,H,6,A,0,130,31.7,33.0,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Clayey radiolarian,,Clayey radiolarian ooze,100.0,soft,10YR 3/3,,,
320-U1331A-4H-6-A,320,U1331,A,4,4-6,H,6,A,130,150,33.0,33.2,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with radiolarians,Nannofossil ooze with radiolarians,100.0,soft,10YR 5/4,,,
320-U1331A-4H-7-A,320,U1331,A,4,4-7,H,7,A,0,73,33.2,33.93,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with radiolarians,Nannofossil ooze with radiolarians,100.0,soft,10YR 5/4,,,
320-U1331A-4H-CC-A,320,U1331,A,4,4-CC,H,CC,A,0,22,33.93,34.15,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with radiolarians,Nannofossil ooze with radiolarians,100.0,soft,10YR 5/4,,,
320-U1331A-5H-1-A,320,U1331,A,5,5-1,H,1,A,0,150,33.7,35.2,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian,with clay ,Radiolarian ooze with clay ,,soft,10YR 4/4,Homogenous radiolarian ooze with obvious burrow halos. Abundant burrows at S7 13-40 (10YR 6/6).,,
320-U1331A-5H-2-A,320,U1331,A,5,5-2,H,2,A,0,150,35.2,36.7,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian,with clay ,Radiolarian ooze with clay ,,soft,10YR 4/4,Homogenous radiolarian ooze with obvious burrow halos. Abundant burrows at S7 13-40 (10YR 6/6).,,
320-U1331A-5H-2-A,320,U1331,A,5,5-2,H,2,A,59,59,35.79,35.79,,,,,,,,,6mm concretion or pebble?,,
320-U1331A-5H-3-A,320,U1331,A,5,5-3,H,3,A,0,150,36.7,38.2,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian,with clay ,Radiolarian ooze with clay ,,soft,10YR 4/4,Homogenous radiolarian ooze with obvious burrow halos. Abundant burrows at S7 13-40 (10YR 6/6).,,
320-U1331A-5H-4-A,320,U1331,A,5,5-4,H,4,A,0,150,38.2,39.7,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian,with clay ,Radiolarian ooze with clay ,,soft,10YR 4/4,Homogenous radiolarian ooze with obvious burrow halos. Abundant burrows at S7 13-40 (10YR 6/6).,,
320-U1331A-5H-4-A,320,U1331,A,5,5-4,H,4,A,136,136,39.56,39.56,,,,,,,,,3mm concretion or pebble?,,
320-U1331A-5H-5-A,320,U1331,A,5,5-5,H,5,A,0,150,39.7,41.2,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian,with clay ,Radiolarian ooze with clay ,,soft,10YR 4/4,Homogenous radiolarian ooze with obvious burrow halos. Abundant burrows at S7 13-40 (10YR 6/6).,,
320-U1331A-5H-6-A,320,U1331,A,5,5-6,H,6,A,0,100,41.2,42.2,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian,with clay ,Radiolarian ooze with clay ,,soft,10YR 4/4,Homogenous radiolarian ooze with obvious burrow halos. Abundant burrows at S7 13-40 (10YR 6/6).,,
320-U1331A-5H-7-A,320,U1331,A,5,5-7,H,7,A,0,55,42.2,42.75,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian,with clay ,Radiolarian ooze with clay ,,soft,10YR 4/4,Homogenous radiolarian ooze with obvious burrow halos. Abundant burrows at S7 13-40 (10YR 6/6).,,
320-U1331A-5H-CC-A,320,U1331,A,5,5-CC,H,CC,A,0,22,42.75,42.97,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian,with clay ,Radiolarian ooze with clay ,,soft,10YR 4/4,Homogenous radiolarian ooze with obvious burrow halos. Abundant burrows at S7 13-40 (10YR 6/6).,,
320-U1331A-6H-1-A,320,U1331,A,6,6-1,H,1,A,0,150,43.2,44.7,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Clayey radiolarian,,Clayey radiolarian ooze  ,,soft,10YR 3/3,,,
320-U1331A-6H-2-A,320,U1331,A,6,6-2,H,2,A,0,150,44.7,46.2,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Clayey radiolarian,,Clayey radiolarian ooze  ,,soft,10YR 3/3,,,
320-U1331A-6H-3-A,320,U1331,A,6,6-3,H,3,A,0,150,46.2,47.7,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Clayey radiolarian,,Clayey radiolarian ooze  ,,soft,10YR 3/3,,,
320-U1331A-6H-4-A,320,U1331,A,6,6-4,H,4,A,0,100,47.7,48.7,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Clayey radiolarian,,Clayey radiolarian ooze  ,,soft,10YR 3/3,,,
320-U1331A-6H-4-A,320,U1331,A,6,6-4,H,4,A,100,143,48.7,49.13,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Siliceous nannofossil,,Siliceous nannofossil ooze,,soft,10YR 3/6,"lightening downward to sharp, coarse-grained base",,
320-U1331A-6H-4-A,320,U1331,A,6,6-4,H,4,A,143,150,49.13,49.2,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Siliceous nannofossil,,Siliceous nannofossil ooze,,soft,10YR 3/3,,,
320-U1331A-6H-5-A,320,U1331,A,6,6-5,H,5,A,0,43,49.2,49.63,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Siliceous nannofossil,,Siliceous nannofossil ooze,,soft,10YR 3/3,,,
320-U1331A-6H-5-A,320,U1331,A,6,6-5,H,5,A,43,112,49.63,50.32,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Siliceous nannofossil,,Siliceous nannofossil ooze,,soft,10YR 4/4,moderate borrowing lighter overall,,
320-U1331A-6H-5-A,320,U1331,A,6,6-5,H,5,A,112,150,50.32,50.7,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Siliceous nannofossil,,Siliceous nannofossil ooze,,soft,10YR 3/3,,,
320-U1331A-6H-6-A,320,U1331,A,6,6-6,H,6,A,0,100,50.7,51.7,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Siliceous nannofossil,,Siliceous nannofossil ooze,,soft,10YR 5/4,homogeneous- lightening down to erosional contact,,
320-U1331A-6H-7-A,320,U1331,A,6,6-7,H,7,A,0,9,51.7,51.79,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Siliceous nannofossil,,Siliceous nannofossil ooze,,soft,10YR 5/4,homogeneous- lightening down to erosional contact,,
320-U1331A-6H-7-A,320,U1331,A,6,6-7,H,7,A,9,74,51.79,52.44,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Siliceous nannofossil,,Siliceous nannofossil ooze,,soft,10YR 4/4,lightening downward,,
320-U1331A-6H-CC-A,320,U1331,A,6,6-CC,H,CC,A,0,20,52.44,52.64,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Siliceous nannofossil,,Siliceous nannofossil ooze,,soft,10YR 4/4,lightening downward,,
320-U1331A-7H-1-A,320,U1331,A,7,7-1,H,1,A,0,150,52.7,54.2,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian,with nannofossils,Radiolarian ooze with nannofossils,50.0,soft,10YR 3/3,,,
320-U1331A-7H-1-A,320,U1331,A,7,7-1,H,1,A,0,150,52.7,54.2,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian,with nannofossils,Radiolarian ooze with nannofossils,50.0,soft,10YR 4/4,,,
320-U1331A-7H-2-A,320,U1331,A,7,7-2,H,2,A,0,150,54.2,55.7,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian,with nannofossils,Radiolarian ooze with nannofossils,50.0,soft,10YR 3/3,,,
320-U1331A-7H-2-A,320,U1331,A,7,7-2,H,2,A,0,150,54.2,55.7,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian,with nannofossils,Radiolarian ooze with nannofossils,50.0,soft,10YR 4/4,,,
320-U1331A-7H-3-A,320,U1331,A,7,7-3,H,3,A,0,150,55.7,57.2,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian,with nannofossils,Radiolarian ooze with nannofossils,50.0,soft,10YR 3/3,,,
