Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Sample domain number (if >1 domain),Sample domain name (if >1 domain),Domain relative abundance [%],Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color (simple),Lithology color (Munsell),Lithology lithification,Lithology ave. grain size class,Lithology ave. grain size rank [read only],Lithology max. grain size class,Lithology max. grain size rank [read only],General interval comment,Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Layer or bedding thickness,Sorting,Grading,Sedimentary structure,Bioturbation intensity,Bioturbation intensity rank [read only],Lithological asseccories,Diagenetic structure,Macrofossil,Macrofossil abundance name,Clasts (>2 mm) DOMINANT,Clasts (>2 mm) 2ND ORDER,Clasts (>2 mm) 3ND ORDER,Lithic clasts (>2 mm) DOMINANT,DOMINANT lithic roundness,Lithic clasts (>2 mm) 2ND ORDER,2ND lithic roundness,Lithic clasts (>2 mm) 3RD ORDER,3RD lithic roundness,Vitric clasts (>2 mm) DOMINANT,DOMINANT vitric roundness,Vitric clasts (>2 mm) 2ND ORDER,2ND vitric roundness,Vitric clasts (>2 mm) 3RD ORDER,3RD vitric roundness,Crystals (>2 mm) DOMINANT,DOMINANT crystal roundness,Crystals (>2 mm) 2ND ORDER,2ND crystal roundness,Crystals (>2 mm) 3RD ORDER,3RD crystal roundness,Clast comments,"Matrix, fines (<2 mm) DOMINANT","Matrix, fines (<2 mm) 2ND ORDER","Matrix, fines (<2 mm) 3ND ORDER",Matrix sorting,Matrix comments,File Data,Shore File Links,Extra Sample ID Data
351-U1438A-1H-2-A,351,U1438,A,1,1-2,H,2,A,96,150,2.46,3,,,,,radiolarian-rich [2014b],mud [2014],with ash [2014],radiolarian-rich mud,radiolarian-rich mud with ash,mud with ash,,,10YR 5/4 (yellowish brown),,silt [W22_1],2,fine sand [W22_2],4,,planar,sharp,,,poor [2014],,,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438A-1H-3-A,351,U1438,A,1,1-3,H,3,A,0,3,3,3.03,,,,,,mud [2014],with ash [2014],mud,mud with ash,mud with ash,,,10YR 5/4 (yellowish brown),,silt [W22_1],2,fine sand [W22_2],4,,planar,gradational,,,poor [2014],,,strong,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438A-1H-3-A,351,U1438,A,1,1-3,H,3,A,3,7,3.03,3.07,,,,,,mud [2014],with ash [2014],mud,mud with ash,mud with ash,,,10YR 4/2 (dark grayish brown),,silt [W22_1],2,fine sand [W22_2],4,,planar,gradational,,,poor [2014],,,slight,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438A-1H-3-A,351,U1438,A,1,1-3,H,3,A,7,87,3.07,3.87,,,,,,mud [2014],with ash [2014],mud,mud with ash,mud with ash,,,10YR 5/4 (yellowish brown),,silt [W22_1],2,fine sand [W22_2],4,,planar,sharp,,,poor [2014],,,slight,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438A-1H-3-A,351,U1438,A,1,1-3,H,3,A,87,112,3.87,4.12,,,,,,mud [2014],with ash [2014],mud,mud with ash,mud with ash,,,10YR 4/2 (dark grayish brown),,silt [W22_1],2,fine sand [W22_2],4,,planar,gradational,,,poor [2014],,,slight,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438A-1H-3-A,351,U1438,A,1,1-3,H,3,A,112,150,4.12,4.5,,,,,,mud [2014],with ash [2014],mud,mud with ash,mud with ash,,,10YR 5/4 (yellowish brown),,silt [W22_1],2,fine sand [W22_2],4,,,,,,poor [2014],,,none,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438A-1H-4-A,351,U1438,A,1,1-4,H,4,A,0,60,4.5,5.1,,,,,,mud [2014],,mud,mud,mud,,,5Y 5/2 (olive gray),,silt [W22_1],2,fine sand [W22_2],4,,planar,gradational,,,poor [2014],,,slight,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438A-1H-4-A,351,U1438,A,1,1-4,H,4,A,60,120,5.1,5.7,,,,,radiolarian-rich [2014b],mud [2014],with ash [2014],radiolarian-rich mud,radiolarian-rich mud with ash,mud with ash,,,5Y 5/2 (olive gray),,silt [W22_1],2,fine sand [W22_2],4,,planar,gradational,,,poor [2014],,,slight,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438A-1H-4-A,351,U1438,A,1,1-4,H,4,A,120,130,5.7,5.8,,,,,,ash [2014],,ash,ash,ash,,,N 2.5 (black),,silt [W22_1],2,fine sand [W22_2],4,,planar,sharp,,,moderate [2014],,,none,0,,,,,,,,,,,,,,,,,,,,,,,,,,,crystal matrix [2014],vitric matrix [2014],,,,,,
351-U1438A-1H-4-A,351,U1438,A,1,1-4,H,4,A,130,150,5.8,6,,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,5YR 4/1 (dark gray),,clay [W22_1],1,,,,,,,,poor [2014],,,none,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438A-1H-5-A,351,U1438,A,1,1-5,H,5,A,0,100,6,7,,,,,,mud [2014],with ash [2014],mud,mud with ash,mud with ash,,,5YR 4/1 (dark gray),,silt [W22_1],2,fine sand [W22_2],4,,planar,gradational,,,poor [2014],,,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438A-1H-5-A,351,U1438,A,1,1-5,H,5,A,100,133,7,7.33,,,,,,mud [2014],with ash [2014],mud,mud with ash,mud with ash,,,5Y 5/2 (olive gray),,silt [W22_1],2,fine sand [W22_2],4,,,,,,poor [2014],,,slight,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438A-1H-CC-A,351,U1438,A,1,1-CC,H,CC,A,0,7,7.33,7.4,,,,,,mud [2014],with ash [2014],mud,mud with ash,mud with ash,,,5Y 5/2 (olive gray),,silt [W22_1],2,fine sand [W22_2],4,,,,,,poor [2014],,,slight,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438A-2H-1-A,351,U1438,A,2,2-1,H,1,A,0,14,7.5,7.64,,,,,,mud [2014],with fine sand [2014],mud,mud with fine sand,mud with fine sand,,,10YR 4/2 (dark grayish brown),unconsolidated [2014],silt [W22_1],2,fine sand [W22_2],4,,,sharp,horizontal,,poor [2014],,,none,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438A-2H-1-A,351,U1438,A,2,2-1,H,1,A,14,86,7.64,8.36,,,,,foraminifer [2014b],mud [2014],with nannofossils [2014],foraminifer mud,foraminifer mud with nannofossils,mud with nannofossils,,,5Y 4/1 (dark gray),unconsolidated [2014],silt [W22_1],2,fine sand [W22_2],4,,,wavy,horizontal,,poor [2014],,,none,0,,,,,,,,,,,,,,,,,,,,,,,,,,,crystal matrix [2014],carbonate matrix [2014],vitric matrix [2014],poor [2014],,,,
351-U1438A-2H-1-A,351,U1438,A,2,2-1,H,1,A,86,92,8.36,8.42,,,,,,mud [2014],,mud,mud,mud,,,10YR 6/2 (light brownish gray),unconsolidated [2014],silt [W22_1],2,fine sand [W22_2],4,,,gradational,horizontal,,poor [2014],,,none,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438A-2H-1-A,351,U1438,A,2,2-1,H,1,A,92,100,8.42,8.5,,,,,nannofossil [2014b],mud [2014],with foraminifers [2014],nannofossil mud,nannofossil mud with foraminifers,mud with foraminifers,,,10YR 6/2 (light brownish gray),unconsolidated [2014],silt [W22_1],2,fine sand [W22_2],4,,,,,,poor [2014],,,none,0,,,,,,,,,,,,,,,,,,,,,,,,,,,carbonate matrix [2014],crystal matrix [2014],vitric matrix [2014],poor [2014],,,,
351-U1438A-2H-2-A,351,U1438,A,2,2-2,H,2,A,0,12,8.5,8.62,,,,,,mud [2014],,mud,mud,mud,,,10YR 4/2 (dark grayish brown),unconsolidated [2014],silt [W22_1],2,fine sand [W22_2],4,,,wavy,horizontal,,poor [2014],,,none,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438A-2H-2-A,351,U1438,A,2,2-2,H,2,A,12,21,8.62,8.71,,,,,,mud [2014],,mud,mud,mud,,,10YR 4/2 (dark grayish brown),unconsolidated [2014],silt [W22_1],2,fine sand [W22_2],4,,,wavy,horizontal,,poor [2014],,,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438A-2H-2-A,351,U1438,A,2,2-2,H,2,A,21,50,8.71,9,,,,,,mud [2014],,mud,mud,mud,,,10YR 4/2 (dark grayish brown),unconsolidated [2014],silt [W22_1],2,fine sand [W22_2],4,,,wavy,horizontal,,poor [2014],,,none,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438A-2H-2-A,351,U1438,A,2,2-2,H,2,A,50,54,9,9.04,,,,,,mud [2014],,mud,mud,mud,,,10YR 6/2 (light brownish gray),unconsolidated [2014],silt [W22_1],2,fine sand [W22_2],4,,,wavy,horizontal,,poor [2014],,,none,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438A-2H-2-A,351,U1438,A,2,2-2,H,2,A,54,66,9.04,9.16,,,,,,mud [2014],,mud,mud,mud,,,10YR 6/2 (light brownish gray),unconsolidated [2014],silt [W22_1],2,fine sand [W22_2],4,,,wavy,horizontal,,poor [2014],,,slight,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438A-2H-2-A,351,U1438,A,2,2-2,H,2,A,66,109,9.16,9.59,,,,,,mud [2014],,mud,mud,mud,,,10YR 6/2 (light brownish gray),unconsolidated [2014],silt [W22_1],2,fine sand [W22_2],4,,,wavy,horizontal,,poor [2014],,,none,0,,,,,,,,,,,,,,,,,,,,,,,,,,,crystal matrix [2014],,,poor [2014],,,,
351-U1438A-2H-2-A,351,U1438,A,2,2-2,H,2,A,109,141,9.59,9.91,,,,,,mud [2014],,mud,mud,mud,,,10YR 4/2 (dark grayish brown),unconsolidated [2014],silt [W22_1],2,fine sand [W22_2],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438A-2H-3-A,351,U1438,A,2,2-3,H,3,A,0,24,9.91,10.15,,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,10YR 4/2 (dark grayish brown),unconsolidated [2014],silt [W22_1],2,fine sand [W22_2],4,,,gradational,horizontal,,poor [2014],,,none,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438A-2H-3-A,351,U1438,A,2,2-3,H,3,A,24,34,10.15,10.25,,,,,,ash [2014],with lapilli [2014],ash,ash with lapilli,ash with lapilli,,,10YR 4/2 (dark grayish brown),unconsolidated [2014],silt [W22_1],2,fine sand [W22_2],4,,,sharp,horizontal,,poor [2014],,,none,0,,,,,,,,,,,,,,,,,,,,,,,,,,,carbonate matrix [2014],crystal matrix [2014],vitric matrix [2014],poor [2014],,,,
351-U1438A-2H-3-A,351,U1438,A,2,2-3,H,3,A,34,55,10.25,10.46,,,,,,nannofossil ooze [2014],with foraminifers [2014],nannofossil ooze,nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,,10YR 4/2 (dark grayish brown),unconsolidated [2014],silt [W22_1],2,fine sand [W22_2],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438A-2H-4-A,351,U1438,A,2,2-4,H,4,A,0,12,10.46,10.58,,,,,,clay [2014],,clay,clay,clay,,,10YR 4/2 (dark grayish brown),unconsolidated [2014],silt [W22_1],2,fine sand [W22_2],4,,,wavy,horizontal,,poor [2014],,,none,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438A-2H-4-A,351,U1438,A,2,2-4,H,4,A,12,13,10.58,10.59,,,,,,clay [2014],,clay,clay,clay,,,10YR 4/2 (dark grayish brown),unconsolidated [2014],silt [W22_1],2,fine sand [W22_2],4,,,wavy,horizontal,,poor [2014],,,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438A-2H-4-A,351,U1438,A,2,2-4,H,4,A,13,47,10.59,10.93,,,,,,mud [2014],,mud,mud,mud,,,10YR 4/2 (dark grayish brown),unconsolidated [2014],silt [W22_1],2,fine sand [W22_2],4,,,gradational,horizontal,,poor [2014],,,none,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438A-2H-4-A,351,U1438,A,2,2-4,H,4,A,47,89,10.93,11.35,,,,,tuffaceous,silt [2014],with mud [2014],tuffaceous silt,tuffaceous silt with mud,silt with mud,,,10YR 5/4 (yellowish brown),unconsolidated [2014],silt [W22_1],2,fine sand [W22_2],4,,,wavy,horizontal,,poor [2014],,,none,0,,,,,,,,,,,,,,,,,,,,,,,,,,,crystal matrix [2014],vitric matrix [2014],carbonate matrix [2014],poor [2014],,,,
351-U1438A-2H-4-A,351,U1438,A,2,2-4,H,4,A,67,68,11.13,11.14,,,,,,ash [2014],,ash,ash,ash,,,10YR 5/4 (yellowish brown),unconsolidated [2014],silt [W22_1],2,fine sand [W22_2],4,,,wavy,horizontal,,poor [2014],,,none,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438A-2H-4-A,351,U1438,A,2,2-4,H,4,A,89,92,11.35,11.38,,,,,tuffaceous,silt [2014],with mud [2014],tuffaceous silt,tuffaceous silt with mud,silt with mud,,,10YR 5/4 (yellowish brown),unconsolidated [2014],silt [W22_1],2,fine sand [W22_2],4,,,sharp,horizontal,,poor [2014],,,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438A-2H-4-A,351,U1438,A,2,2-4,H,4,A,92,105,11.38,11.51,,,,,tuffaceous,silt [2014],with mud [2014],tuffaceous silt,tuffaceous silt with mud,silt with mud,,,10YR 5/4 (yellowish brown),unconsolidated [2014],silt [W22_1],2,fine sand [W22_2],4,,,sharp,horizontal,,poor [2014],,,none,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438A-2H-4-A,351,U1438,A,2,2-4,H,4,A,105,115,11.51,11.61,,,,,tuffaceous,silt [2014],with mud [2014],tuffaceous silt,tuffaceous silt with mud,silt with mud,,,10YR 4/2 (dark grayish brown),unconsolidated [2014],silt [W22_1],2,fine sand [W22_2],4,,,,,,poor [2014],,,none,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438A-2H-5-A,351,U1438,A,2,2-5,H,5,A,0,77,11.61,12.38,,,,,tuffaceous,mud [2014],with sand [2014],tuffaceous mud,tuffaceous mud with sand,mud with sand,,,10YR 4/2 (dark grayish brown),unconsolidated [2014],silt [W22_1],2,fine sand [W22_2],4,,,gradational,horizontal,,poor [2014],,,none,0,,,,,,,,,,,,,,,,,,,,,,,,,,,crystal matrix [2014],vitric matrix [2014],,poor [2014],,,,
351-U1438A-2H-5-A,351,U1438,A,2,2-5,H,5,A,77,82,12.38,12.43,,,,,tuffaceous,mud [2014],with sand [2014],tuffaceous mud,tuffaceous mud with sand,mud with sand,,,10YR 5/4 (yellowish brown),unconsolidated [2014],silt [W22_1],2,fine sand [W22_2],4,,,gradational,horizontal,,poor [2014],,,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438A-2H-5-A,351,U1438,A,2,2-5,H,5,A,82,107,12.43,12.68,,,,,tuffaceous,foraminiferal ooze [2014],with nannofossils [2014],tuffaceous foraminiferal ooze,tuffaceous foraminiferal ooze with nannofossils,foraminiferal ooze with nannofossils,,,10YR 6/2 (light brownish gray),unconsolidated [2014],silt [W22_1],2,fine sand [W22_2],4,,,sharp,horizontal,,poor [2014],,,none,0,,,,,,,,,,,,,,,,,,,,,,,,,,,carbonate matrix [2014],crystal matrix [2014],vitric matrix [2014],poor [2014],,,,
351-U1438A-2H-5-A,351,U1438,A,2,2-5,H,5,A,107,150,12.68,13.11,,,,,tuffaceous,mud [2014],with sand [2014],tuffaceous mud,tuffaceous mud with sand,mud with sand,,,10YR 5/4 (yellowish brown),unconsolidated [2014],silt [W22_1],2,fine sand [W22_2],4,,,,,,poor [2014],,,none,0,,,,,,,,,,,,,,,,,,,,,,,,,,,crystal matrix [2014],vitric matrix [2014],,poor [2014],,,,
351-U1438A-2H-6-A,351,U1438,A,2,2-6,H,6,A,0,17,13.11,13.28,,,,,tuffaceous,mud [2014],with sand [2014],tuffaceous mud,tuffaceous mud with sand,mud with sand,,,10YR 5/4 (yellowish brown),unconsolidated [2014],silt [W22_1],2,fine sand [W22_2],4,,,gradational,horizontal,,poor [2014],,,none,0,,,,,,,,,,,,,,,,,,,,,,,,,,,crystal matrix [2014],vitric matrix [2014],,poor [2014],,,,
351-U1438A-2H-6-A,351,U1438,A,2,2-6,H,6,A,17,23,13.28,13.34,,,,,,mud [2014],,mud,mud,mud,,,10YR 2/2 (very dark brown),unconsolidated [2014],silt [W22_1],2,fine sand [W22_2],4,,,gradational,horizontal,,poor [2014],,,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,crystal matrix [2014],,,poor [2014],,,,
351-U1438A-2H-6-A,351,U1438,A,2,2-6,H,6,A,23,86,13.34,13.97,,,,,,mud [2014],,mud,mud,mud,,,10YR 5/4 (yellowish brown),unconsolidated [2014],silt [W22_1],2,fine sand [W22_2],4,,,gradational,horizontal,,poor [2014],,,slight,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438A-2H-6-A,351,U1438,A,2,2-6,H,6,A,86,125,13.97,14.36,,,,,,mud [2014],,mud,mud,mud,,,10YR 4/2 (dark grayish brown),unconsolidated [2014],silt [W22_1],2,fine sand [W22_2],4,,,,,,poor [2014],,,slight,1,,,,,,,,,,,,,,,,,,,,,,,,,,,crystal matrix [2014],,,poor [2014],,,,
351-U1438A-2H-7-A,351,U1438,A,2,2-7,H,7,A,0,33,14.36,14.69,,,,,,mud [2014],,mud,mud,mud,,,10YR 4/2 (dark grayish brown),unconsolidated [2014],silt [W22_1],2,fine sand [W22_2],4,,,gradational,horizontal,,poor [2014],,,slight,1,,,,,,,,,,,,,,,,,,,,,,,,,,,crystal matrix [2014],,,poor [2014],,,,
351-U1438A-2H-7-A,351,U1438,A,2,2-7,H,7,A,33,72,14.69,15.08,,,,,,mud [2014],,mud,mud,mud,,,10YR 5/4 (yellowish brown),unconsolidated [2014],silt [W22_1],2,fine sand [W22_2],4,,,,,,poor [2014],,,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438A-2H-CC-A,351,U1438,A,2,2-CC,H,CC,A,0,21,15.08,15.29,,,,,,mud [2014],,mud,mud,mud,,,10YR 4/2 (dark grayish brown),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438A-3H-1-A,351,U1438,A,3,3-1,H,1,A,0,50,17,17.5,,,,,,mud [2014],with ash [2014],mud,mud with ash,mud with ash,,,10YR 5/4 (yellowish brown),unconsolidated [2014],silt [W22_1],2,fine sand [W22_2],4,,,bioturbated,horizontal,,poor [2014],,,slight,1,,,,,,,,,,,,,,,,,,,,,,,,,,,crystal matrix [2014],vitric matrix [2014],,,,,,
351-U1438A-3H-1-A,351,U1438,A,3,3-1,H,1,A,50,88,17.5,17.88,,,,,,mud [2014],with ash [2014],mud,mud with ash,mud with ash,,,10YR 4/2 (dark grayish brown),unconsolidated [2014],silt [W22_1],2,fine sand [W22_2],4,,,gradational,horizontal,,poor [2014],,,slight,1,,,,,,,,,,,,,,,,,,,,,,,,,,,crystal matrix [2014],vitric matrix [2014],,,,,,
351-U1438A-3H-1-A,351,U1438,A,3,3-1,H,1,A,88,90,17.88,17.9,,,,,,ash [2014],,ash,ash,ash,,,10YR 6/2 (light brownish gray),unconsolidated [2014],silt [W22_1],2,silt [W22_1],2,,,sharp,horizontal,,well [2014],,,slight,1,,,,,,,,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],,,,,,,
351-U1438A-3H-1-A,351,U1438,A,3,3-1,H,1,A,94,128,17.94,18.28,,,,,,mud [2014],with ash [2014],mud,mud with ash,mud with ash,,,10YR 5/4 (yellowish brown),unconsolidated [2014],silt [W22_1],2,fine sand [W22_2],4,,,,,,poor [2014],,,slight,1,,,,,,,,,,,,,,,,,,,,,,,,,,,crystal matrix [2014],vitric matrix [2014],,,,,,
351-U1438A-3H-1-A,351,U1438,A,3,3-1,H,1,A,128,130,18.28,18.3,,,,,tuffaceous,mud [2014],with foraminifers [2014],tuffaceous mud,tuffaceous mud with foraminifers,mud with foraminifers,,,10YR 6/2 (light brownish gray),unconsolidated [2014],silt [W22_1],2,silt [W22_1],2,,,sharp,horizontal,,poor [2014],,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],carbonate matrix [2014],,,,,,
351-U1438A-3H-1-A,351,U1438,A,3,3-1,H,1,A,130,150,18.3,18.5,,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,2.5Y 4/2 (dark grayish brown),unconsolidated [2014],silt [W22_1],2,silt [W22_1],2,,,sharp,horizontal,,poor [2014],,,slight,1,,,,,,,,,,,,,,,,,,,,,,,,,,,crystal matrix [2014],vitric matrix [2014],,,,,,
