Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color (simple),Lithology color (Munsell),Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Layer or bedding thickness,Grading,TEPHRA type,Amount of ash in lithology,Amount of ash in lithology rank [read only],Sedimentary structure,Sedimentary structure comment,Diagenetic structure,Macrofossil,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix
353-U1446C-5H-2-A,0,147,37.9,39.37,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,gray,GLEY 1 4/10GY (dark greenish gray),,,,,,,,,mottling,,,,,,,,353,U1446,C,5,H,2,A,,,,
353-U1446C-5H-3-A,0,150,39.37,40.87,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,gray,GLEY 1 4/10GY (dark greenish gray),,,,,,,,,mottling,,,,,,,,353,U1446,C,5,H,3,A,,,,
353-U1446C-5H-4-A,0,151,40.87,42.38,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,gray,GLEY 1 4/10GY (dark greenish gray),,,,,,,,,mottling,,,,,,,,353,U1446,C,5,H,4,A,,,,
353-U1446C-5H-5-A,0,151,42.38,43.89,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,gray,GLEY 1 4/10GY (dark greenish gray),,,,,,,,,mottling,,,,,,,,353,U1446,C,5,H,5,A,,,,
353-U1446C-5H-6-A,0,151,43.89,45.4,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,gray,GLEY 1 4/10GY (dark greenish gray),,,,,,,,,mottling,,,,,,,,353,U1446,C,5,H,6,A,,,,
353-U1446C-5H-7-A,0,94,45.4,46.34,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,gray,GLEY 1 4/10GY (dark greenish gray),,,,,,,,,mottling,,,,,,,,353,U1446,C,5,H,7,A,,,,
353-U1446C-5H-CC-A,0,26,46.34,46.6,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,gray,GLEY 1 4/10GY (dark greenish gray),,,,,,,,,mottling,,,,,,,,353,U1446,C,5,H,CC,A,,,,
353-U1446C-6H-1-A,0,147,45.9,47.37,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,gray,GLEY 1 4/10GY (dark greenish gray),,,,,,,,,mottling,,,,Faint color variations,,,,353,U1446,C,6,H,1,A,,,,
353-U1446C-6H-2-A,0,141,47.37,48.78,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,gray,GLEY 1 4/10GY (dark greenish gray),,,,,,,,,mottling,,,,Faint color variations,,,,353,U1446,C,6,H,2,A,,,,
353-U1446C-6H-3-A,0,136,48.78,50.14,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,Contains a nodule at 81 cm,,,,353,U1446,C,6,H,3,A,,,,
353-U1446C-6H-4-A,0,143,50.14,51.57,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,gray,GLEY 1 4/10GY (dark greenish gray),,,,,,,,,mottling,,,,Faint Color variations,,,,353,U1446,C,6,H,4,A,,,,
353-U1446C-6H-5-A,0,144,51.57,53.01,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,gray,GLEY 1 3/10Y (very dark greenish gray),,,,,,,,,mottling,,,,Faint color variations,,,,353,U1446,C,6,H,5,A,,,,
353-U1446C-6H-6-A,0,147,53.01,54.48,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,gray,GLEY 1 3/10Y (very dark greenish gray),,,,,,,,,mottling,,,,Faint color variations,,,,353,U1446,C,6,H,6,A,,,,
353-U1446C-6H-7-A,0,152,54.48,56,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,gray,GLEY 1 4/10GY (dark greenish gray),,,,,,,,,mottling,,,,Faint color variations,,,,353,U1446,C,6,H,7,A,,,,
353-U1446C-6H-CC-A,0,23,56,56.23,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,gray,GLEY 1 4/10GY (dark greenish gray),,,,,,,,,mottling,,,,Faint color variations,,,,353,U1446,C,6,H,CC,A,,,,
353-U1446C-7H-1-A,0,146,55.4,56.86,,nannofossil rich,clay,,nannofossil rich clay,nannofossil rich clay,clay,,gray,GLEY 1 3/10Y (very dark greenish gray),,,,,,,,,mottling,,,,Less mottling and color variations than previous cores,,,,353,U1446,C,7,H,1,A,,,,
353-U1446C-7H-2-A,0,147,56.86,58.33,,nannofossil rich,clay,,nannofossil rich clay,nannofossil rich clay,clay,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,Less mottling and color variations than previous cores,,,,353,U1446,C,7,H,2,A,,,,
353-U1446C-7H-3-A,0,142,58.33,59.75,,,clay,,clay,clay,clay,,gray,GLEY 1 3/10Y (very dark greenish gray),,,,,,,,,mottling,,,,Less mottling and color variations than previous cores,,,,353,U1446,C,7,H,3,A,,,,
353-U1446C-7H-4-A,0,141,59.75,61.16,,,clay,,clay,clay,clay,,gray,GLEY 1 4/N (dark gray),,,,,,,,,mottling,,,,Less mottling and color variations than previous cores,,,,353,U1446,C,7,H,4,A,,,,
353-U1446C-7H-5-A,0,142,61.16,62.58,,,clay,,clay,clay,clay,,gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,Less mottling and color variations than previous cores,,,,353,U1446,C,7,H,5,A,,,,
353-U1446C-7H-6-A,0,146,62.58,64.04,,,clay,,clay,clay,clay,,gray,GLEY 1 3/10Y (very dark greenish gray),,,,,,,,,mottling,,,,Less mottling and color variations than previous cores,,,,353,U1446,C,7,H,6,A,,,,
353-U1446C-7H-7-A,0,107,64.04,65.11,,,clay,,clay,clay,clay,,gray,GLEY 1 3/10Y (very dark greenish gray),,,,,,,,,mottling,,,,Less mottling and color variations than previous cores,,,,353,U1446,C,7,H,7,A,,,,
353-U1446C-7H-CC-A,0,23,65.11,65.34,,,clay,,clay,clay,clay,,gray,GLEY 1 3/10Y (very dark greenish gray),,,,,,,,,mottling,,,,,,,,353,U1446,C,7,H,CC,A,,,,
353-U1446C-8H-1-A,0,40,64.9,65.3,,,clay,,clay,clay,clay,,gray,GLEY 1 3/10Y (very dark greenish gray),,,,,,,,,mottling,,,,,,,,353,U1446,C,8,H,1,A,,,,
353-U1446C-8H-2-A,0,130,65.3,66.6,,,clay,,clay,clay,clay,,gray,GLEY 1 3/10Y (very dark greenish gray),,,,,,,,,mottling,,,,,,,,353,U1446,C,8,H,2,A,,,,
353-U1446C-8H-3-A,0,140,66.6,68,,,clay,,clay,clay,clay,,gray,GLEY 1 3/10Y (very dark greenish gray),,,,,,,,,mottling,,,,Brown organic portion filled with wood (smear slide) at 115-117 cm,,,,353,U1446,C,8,H,3,A,,,,
353-U1446C-8H-4-A,0,131,68,69.31,,,clay,,clay,clay,clay,,gray,GLEY 1 3/10Y (very dark greenish gray),,,,,,,,,mottling,,,,Grayish brown portion containing wood filled with pyrite from 42-45 cm,,,,353,U1446,C,8,H,4,A,,,,
353-U1446C-8H-5-A,0,146,69.31,70.77,,,clay,,clay,clay,clay,,gray,GLEY 1 3/10Y (very dark greenish gray),,,,,,,,,mottling,,,,,,,,353,U1446,C,8,H,5,A,,,,
353-U1446C-8H-6-A,0,142,70.77,72.19,,,clay,,clay,clay,clay,,gray,GLEY 1 3/10Y (very dark greenish gray),,,,,,,,,mottling,,,,,,,,353,U1446,C,8,H,6,A,,,,
353-U1446C-8H-7-A,0,142,72.19,73.61,,,clay,,clay,clay,clay,,gray,GLEY 1 3/10Y (very dark greenish gray),,,,,,,,,mottling,,,,,,,,353,U1446,C,8,H,7,A,,,,
353-U1446C-8H-8-A,0,144,73.61,75.05,,,clay,,clay,clay,clay,,gray,GLEY 1 3/10Y (very dark greenish gray),,,,,,,,,mottling,,,,,,,,353,U1446,C,8,H,8,A,,,,
353-U1446C-8H-CC-A,0,28,75.05,75.33,,,clay,,clay,clay,clay,,gray,GLEY 1 3/10Y (very dark greenish gray),,,,,,,,,mottling,,,,,,,,353,U1446,C,8,H,CC,A,,,,
353-U1446C-9H-1-A,0,145,74.4,75.85,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,gray,2.5Y 3/1 (very dark gray),,,,,,,,,mottling,,,,,,,,353,U1446,C,9,H,1,A,,,,
353-U1446C-9H-2-A,0,140,75.85,77.25,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,gray,2.5Y 3/1 (very dark gray),,,,,,,,,mottling,,,,,,,,353,U1446,C,9,H,2,A,,,,
353-U1446C-9H-3-A,0,62,77.25,77.87,,,clay,,clay,clay,clay,,gray,GLEY 1 3/N (very dark gray),bioturbated,,,,,,,,mottling,,,,,,,,353,U1446,C,9,H,3,A,,,,
353-U1446C-9H-3-A,62,65,77.87,77.9,,silty,clay,,silty clay,silty clay,clay,,gray,GLEY 1 3/N (very dark gray),erosive,,,thin bed,normally graded,,,,,Turbidite,,,,,,,353,U1446,C,9,H,3,A,,,,
353-U1446C-9H-3-A,65,123,77.9,78.48,,,clay,,clay,clay,clay,,gray,GLEY 1 3/N (very dark gray),bioturbated,,,,,,,,mottling,,,,,,,,353,U1446,C,9,H,3,A,,,,
353-U1446C-9H-4-A,0,135,78.48,79.83,,,clay,,clay,clay,clay,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,,,,,353,U1446,C,9,H,4,A,,,,
353-U1446C-9H-5-A,0,120,79.83,81.03,,,clay,,clay,clay,clay,,gray,GLEY 1 3/N (very dark gray),,,,,,,,,mottling,,,,,,,,353,U1446,C,9,H,5,A,,,,
353-U1446C-9H-6-A,0,115,81.03,82.18,,,clay,,clay,clay,clay,,gray,GLEY 1 3/N (very dark gray),,,,,,,,,mottling,,,,,,,,353,U1446,C,9,H,6,A,,,,
353-U1446C-9H-7-A,0,62,82.18,82.8,,,clay,,clay,clay,clay,,gray,GLEY 1 3/N (very dark gray),,,,,,,,,mottling,,,,,,,,353,U1446,C,9,H,7,A,,,,
353-U1446C-9H-CC-A,0,42,82.8,83.22,,,clay,,clay,clay,clay,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,,,,,353,U1446,C,9,H,CC,A,,,,
353-U1446C-10H-1-A,0,139,83.9,85.29,,,clay,,clay,clay,clay,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,,,,,,,,,353,U1446,C,10,H,1,A,,,,
353-U1446C-10H-2-A,0,134,85.29,86.63,,,clay,,clay,clay,clay,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,,,,,,,,,353,U1446,C,10,H,2,A,,,,
353-U1446C-10H-3-A,0,144,86.63,88.07,,,clay,,clay,clay,clay,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,,,,,353,U1446,C,10,H,3,A,,,,
353-U1446C-10H-4-A,0,142,88.07,89.49,,,clay,,clay,clay,clay,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,,,,,353,U1446,C,10,H,4,A,,,,
353-U1446C-10H-5-A,0,142,89.49,90.91,,,clay,,clay,clay,clay,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,,,,,,,,,353,U1446,C,10,H,5,A,,,,
353-U1446C-10H-6-A,0,142,90.91,92.33,,,clay,,clay,clay,clay,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,,,,,353,U1446,C,10,H,6,A,,,,
353-U1446C-10H-7-A,0,143,92.33,93.76,,,clay,,clay,clay,clay,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,,,,,353,U1446,C,10,H,7,A,,,,
353-U1446C-10H-CC-A,0,29,93.76,94.05,,,clay,,clay,clay,clay,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,,,,,353,U1446,C,10,H,CC,A,,,,
353-U1446C-11H-1-A,0,80,93.4,94.2,,,clay,,clay,clay,clay,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,Brown coloration at 38-41 cm,,,,353,U1446,C,11,H,1,A,,,,
353-U1446C-11H-2-A,0,70,94.2,94.9,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,Brownish coloration at the top portion of core,,,,353,U1446,C,11,H,2,A,,,,
353-U1446C-11H-3-A,0,106,94.9,95.96,,,clay,,clay,clay,clay,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,,,,,353,U1446,C,11,H,3,A,,,,
353-U1446C-11H-4-A,0,98,95.96,96.94,,,clay,,clay,clay,clay,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,,,,,353,U1446,C,11,H,4,A,,,,
353-U1446C-11H-5-A,0,65,96.94,97.59,,,clay,,clay,clay,clay,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,,,,,353,U1446,C,11,H,5,A,,,,
353-U1446C-11H-6-A,0,142,97.59,99.01,,,clay,,clay,clay,clay,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,,,,,353,U1446,C,11,H,6,A,,,,
353-U1446C-11H-7-A,0,142,99.01,100.43,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,,,,,353,U1446,C,11,H,7,A,,,,
353-U1446C-11H-8-A,0,90,100.43,101.33,,,clay,,clay,clay,clay,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,,,,,353,U1446,C,11,H,8,A,,,,
353-U1446C-11H-CC-A,0,64,101.33,101.97,,,clay,,clay,clay,clay,,gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1446,C,11,H,CC,A,,,,
353-U1446C-12H-1-A,0,64,101.9,102.54,,,clay,,clay,clay,clay,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,,,,,353,U1446,C,12,H,1,A,,,,
353-U1446C-12H-2-A,0,130,102.54,103.84,,,clay,,clay,clay,clay,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,,,,,353,U1446,C,12,H,2,A,,,,
353-U1446C-12H-3-A,0,118,103.84,105.02,,,clay,,clay,clay,clay,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,,,,,353,U1446,C,12,H,3,A,,,,
