Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Sample domain number (if >1 domain),Sample domain name (if >1 domain),Domain relative abundance [%],Lithology Prefix,Lithology Principal name,Lithology Suffix,Lith. prefix+name+suffix,Lithological Accessories 1,Lithological Accessories 2,Lithology color,Layer/Beddding, Lamination,Grading,Other sedimentary feature,Bedding thickness,Lithology avg. grain size ,Lithology avg. grain size rank,Diagenetic constituent,Diagenetic constituent composition,Bioturbation intensity,Bioturbation intensity rank,General interval comment,Bottom contact or boundary type,Bottom contact geometry,Bottom contact definition,Clasts abundance,Clasts [%],Clast -  grain size,Diagenetic structure,Macrofossil,Macrofossil abundance name,Lithology prefix + name,Lithology name+suffix,Ship File Links,Shore File Links,File Data
369-U1512A-10R-4-A,0,150,90.89,92.39,,,,,,silty claystone,,silty claystone,,,GLEY 1 2.5/N (black),mottled,,,structureless,,clay [W22_1],1,,,moderate,2,disseminated pyrite discrete burrows thin lenses/discontinuous layers of shelly fragments,,,,,,,,shell fragment,rare,silty claystone,silty claystone,,,
369-U1512A-10R-5-A,0,116,92.39,93.55,,,,,,silty claystone,,silty claystone,pyrite,,GLEY 1 2.5/N (black),mottled,,,structureless,,clay [W22_1],1,nodule,,moderate,2,,,,,,,,,shell fragment,rare,silty claystone,silty claystone,,,
369-U1512A-10R-6-A,0,146,93.7,95.16,,,,,,silty claystone,,silty claystone,pyrite,,GLEY 1 2.5/N (black),mottled,,,structureless,,clay [W22_1],1,nodule,,moderate,2,,,,,,,,,shell fragment,rare,silty claystone,silty claystone,,,
369-U1512A-10R-7-A,0,58,95.16,95.74,,,,,,silty claystone,,silty claystone,pyrite,,GLEY 1 2.5/N (black),mottled,,,structureless,,clay [W22_1],1,,,moderate,2,"Euhedral opaque grains in 57-64 cm, some filling burrows, and correlated to an interval with high MS and density.",,,,,,,,shell fragment,rare,silty claystone,silty claystone,,,
369-U1512A-10R-7-A,58,67,95.74,95.83,,,,,pyrite,clayey siltstone,,pyrite clayey siltstone,,,GLEY 1 3/N (very dark gray),mottled,,,structureless,,clay [W22_1],1,,,moderate,2,,,,,,,,,,,pyrite clayey siltstone,clayey siltstone,,,
369-U1512A-10R-7-A,67,97,95.83,96.13,,,,,,silty claystone,,silty claystone,pyrite,,GLEY 1 2.5/N (black),mottled,,,structureless,,clay [W22_1],1,,,moderate,2,"Euhedral opaque grains in 57-64 cm, some filling burrows, and correlated to an interval with high MS and density.",,,,,,,,shell fragment,rare,silty claystone,silty claystone,,,
369-U1512A-10R-CC-A,0,15,96.13,96.28,,,,,,silty claystone,with nannofossils,silty claystone with nannofossils,pyrite,,GLEY 1 2.5/N (black),mottled,,,structureless,,clay [W22_1],1,nodule,,low,2,,,,,,,,,shell fragment,rare,silty claystone,silty claystone with nannofossils,,,
369-U1512A-11R-1-A,0,149,96,97.49,,,,,,silty claystone,with nannofossils,silty claystone with nannofossils,,,GLEY 1 2.5/N (black),mottled,,,structureless,,clay [W22_1],1,,,low,2,discrete burrows thin lenses/discontinuous layers of shelly fragments,,,,,,,,shell fragment,rare,silty claystone,silty claystone with nannofossils,,,
369-U1512A-11R-2-A,0,114,97.49,98.63,,,,,,silty claystone,with nannofossils,silty claystone with nannofossils,,,GLEY 1 2.5/N (black),mottled,,,structureless,,clay [W22_1],1,,,low,2,,,,,,,,,shell fragment,rare,silty claystone,silty claystone with nannofossils,,,
369-U1512A-11R-2-A,114,118,98.63,98.67,,,,,,silty claystone,with nannofossils,silty claystone with nannofossils,,,GLEY 1 2.5/N (black),,,,structureless,,clay [W22_1],1,,,low,2,,,,,,,,,shell fragment,rare,silty claystone,silty claystone with nannofossils,,,
369-U1512A-11R-2-A,118,141,98.67,98.9,,,,,,silty claystone,with nannofossils,silty claystone with nannofossils,,,GLEY 1 2.5/N (black),mottled,,,structureless,,clay [W22_1],1,,,low,2,,,,,,,,,shell fragment,rare,silty claystone,silty claystone with nannofossils,,,
369-U1512A-11R-3-A,0,147,98.9,100.37,,,,,,silty claystone,with nannofossils,silty claystone with nannofossils,pyrite,,GLEY 1 2.5/N (black),mottled,,,structureless,,clay [W22_1],1,,,moderate,2,,,,,,,,,shell fragment,rare,silty claystone,silty claystone with nannofossils,,,
369-U1512A-11R-4-A,0,134,100.37,101.71,,,,,,silty claystone,with nannofossils,silty claystone with nannofossils,,,GLEY 1 2.5/N (black),mottled,,,structureless,,clay [W22_1],1,nodule,,moderate,2,,,,,,,,,shell fragment,rare,silty claystone,silty claystone with nannofossils,,,
369-U1512A-11R-5-A,0,101,101.86,102.87,,,,,,silty claystone,with nannofossils,silty claystone with nannofossils,,,GLEY 1 2.5/N (black),mottled,,,structureless,,clay [W22_1],1,,,moderate,2,,,,,,,,,shell fragment,rare,silty claystone,silty claystone with nannofossils,,,
369-U1512A-11R-6-A,0,80,102.87,103.67,,,,,,silty claystone,with nannofossils,silty claystone with nannofossils,,,GLEY 1 2.5/N (black),mottled,,,structureless,,clay [W22_1],1,,,moderate,2,,,,,,,,,shell fragment,rare,silty claystone,silty claystone with nannofossils,,,
369-U1512A-11R-CC-A,0,7,103.67,103.74,,,,,,silty claystone,with nannofossils,silty claystone with nannofossils,,,GLEY 1 2.5/N (black),mottled,,,structureless,,clay [W22_1],1,,,low,2,,,,,,,,,shell fragment,rare,silty claystone,silty claystone with nannofossils,,,
369-U1512A-12R-1-A,0,7,105.6,105.67,,,,,,silty claystone,with nannofossils,silty claystone with nannofossils,,,GLEY 1 2.5/N (black),,,,structureless,,clay [W22_1],1,,,low,2,,,,,,,,,shell fragment,rare,silty claystone,silty claystone with nannofossils,,,
369-U1512A-12R-1-A,7,151,105.67,107.11,,,,,,silty claystone,with nannofossils,silty claystone with nannofossils,,,GLEY 1 2.5/N (black),mottled,,,structureless,,clay [W22_1],1,,,moderate,2,,,,,,,,,shell fragment,rare,silty claystone,silty claystone with nannofossils,,,
