Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Texture Rank [read only],MAJ Lith. prefix+name [read only],Lithification,Lithification rank [read only],MAJ Lith. color,MAJ Lith. ave. grain size ,Grain size rank [read only],Skeletal components MAJOR,Skeletal components MAJOR comment,Skeletal components INTERMEDIATE,Skeletal components INTERMEDIATE comment,Skeletal components MINOR,Skeletal components MINOR comment,Non-skeletal components,Non-skeletal components comment,Sedimentary structure,Diagenetic structure,Diagenetic structure comment,Layer or bedding thickness,Bioturbation intensity,Bioturbation intensity rank [read only],Bioturbation type,Bottom contact or boundary definition,Bottom contact or boundary attitude,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Prefix,Minor Lithology Suffix,Lithology Suffix,Minor Lithology Name,Extra Sample ID Data
359-U1467B-2H-4-A,86,145,8.86,9.45,Planktic foraminifer rich,wackestone,2,Planktic foraminifer rich wackestone,unlithified,1,5Y 7/2 (light gray),very fine sand,3,foraminifera (planktic),,pteropod,,,,,,,,,,common,4,,gradational,,"WACKESTONE very fine grained Well-sorted. Planktic foraminifera are abundant also, few pteropods are present. Mottled sediment common.",,,,359,U1467,B,2,H,4,A,,,,,
359-U1467B-2H-5-A,0,24,9.5,9.74,Planktic foraminifer rich,wackestone,2,Planktic foraminifer rich wackestone,unlithified,1,5Y 7/2 (light gray),very fine sand,3,foraminifera (planktic),,pteropod,,,,,,,,,,common,4,,gradational,,"WACKESTONE very fine grained Well-sorted. Planktic foraminifera are abundant also, few pteropods are present. Mottled sediment common.",,,,359,U1467,B,2,H,5,A,,,,,
359-U1467B-2H-5-A,24,136,9.74,10.86,Planktic foraminifer rich,packstone,3,Planktic foraminifer rich packstone,unlithified,1,5Y 6/1 (gray),very fine sand,3,foraminifera (planktic),,pteropod,,,,,,,,,,common,4,,,,"PACKSTONE very fine grained Well-sorted. Planktic foraminifera are abundant also, few pteropods are present. Mottled sediment common.",,,,359,U1467,B,2,H,5,A,,,,,
359-U1467B-2H-5-A,136,150,10.86,11.0,Planktic foraminifer rich,wackestone,2,Planktic foraminifer rich wackestone,unlithified,1,5Y 7/2 (light gray),very fine sand,3,foraminifera (planktic),,pteropod,,,,,,,,,,common,4,,gradational,,"WACKESTONE very fine grained Well-sorted. Planktic foraminifera are abundant also, few pteropods are present. Mottled sediment common.",,,,359,U1467,B,2,H,5,A,,,,,
359-U1467B-2H-6-A,0,72,11.0,11.72,Planktic foraminifer rich,wackestone,2,Planktic foraminifer rich wackestone,unlithified,1,5Y 6/1 (gray),very fine sand,3,foraminifera (planktic),,pteropod,,,,,,,,,,common,4,,,,"WACKESTONE very fine grained Well-sorted. Planktic foraminifera are abundant also, few pteropods are present. Mottled sediment common. Smear slide analysis (359-U1467B-2H-6A, 48-50cm) of sieved sample shows abundant pteropods, planktic foraminifera and cemented clasts.",,,,359,U1467,B,2,H,6,A,,,,,
359-U1467B-2H-6-A,72,101,11.72,12.01,Planktic foraminifer rich,mudstone,1,Planktic foraminifer rich mudstone,unlithified,1,5Y 7/1 (light gray),very fine sand,3,foraminifera (planktic),,pteropod,,,,,,,,,,common,4,,,,"MUDSTONE to WACKESTONE very fine grained Well-sorted. Planktic foraminifera are abundant also, few pteropods are present. Mottled sediment common.",,,,359,U1467,B,2,H,6,A,,,,,
359-U1467B-2H-7-A,0,103,12.01,13.04,Planktic foraminifer rich,mudstone,1,Planktic foraminifer rich mudstone,unlithified,1,5Y 7/2 (light gray),very fine sand,3,foraminifera (planktic),,pteropod,,gastropod,,,,,,,,common,4,,,,"MUDSTONE to WACKESTONE very fine grained Well-sorted. Planktic foraminifera are abundant also, few pteropods are present. Mottled sediment common.",,,,359,U1467,B,2,H,7,A,,,,,
359-U1467B-2H-CC-A,0,9,13.04,13.13,Planktic foraminifer rich,mudstone,1,Planktic foraminifer rich mudstone,unlithified,1,5Y 7/2 (light gray),very fine sand,3,foraminifera (planktic),,pteropod,,gastropod,,,,,,,,common,4,,,,"MUDSTONE to WACKESTONE very fine grained Well-sorted. Planktic foraminifera are abundant also, few pteropods are present.",,,,359,U1467,B,2,H,CC,A,,,,,
359-U1467B-3H-1-A,0,150,13.0,14.5,Planktic foraminifer rich,wackestone,2,Planktic foraminifer rich wackestone,unlithified,1,2.5Y 6/2 (light brownish gray),very fine sand,3,foraminifera (planktic),,pteropod,also otoliths,,,,,,,,,complete,6,,gradational,,"Unlithified WACKESTONE-MUDSTONE. Very fine- to fine-grains, Well-sorted.",,,,359,U1467,B,3,H,1,A,,,,,
359-U1467B-3H-2-A,0,150,14.5,16.0,Planktic foraminifer rich,wackestone,2,Planktic foraminifer rich wackestone,unlithified,1,2.5Y 6/2 (light brownish gray),very fine sand,3,foraminifera (planktic),,pteropod,also otoliths,,,,,,,,,complete,6,,,,"Unlithified WACKESTONE-MUDSTONE. Very fine- to fine-grains, Well-sorted. Mottled.",,,,359,U1467,B,3,H,2,A,,,,,
359-U1467B-3H-3-A,0,42,16.0,16.42,Planktic foraminifer rich,wackestone,2,Planktic foraminifer rich wackestone,unlithified,1,2.5Y 6/2 (light brownish gray),very fine sand,3,foraminifera (planktic),,pteropod,also otoliths,,,,,,,,,complete,6,,gradational,horizontal,"Unlithified WACKESTONE. Very fine- to fine-grains, Well-sorted.",,,,359,U1467,B,3,H,3,A,,,,,
359-U1467B-3H-3-A,42,146,16.42,17.46,Planktic foraminifer rich,wackestone,2,Planktic foraminifer rich wackestone,unlithified,1,5y 7/2 (light gray),very fine sand,3,foraminifera (planktic),,pteropod,,,,,,,,,,complete,6,,gradational,horizontal,"Unlithified WACKESTONE. Very fine- to fine-grains, Well-sorted.",,,,359,U1467,B,3,H,3,A,,,,,
359-U1467B-3H-4-A,0,145,17.5,18.95,Planktic foraminifer rich,wackestone,2,Planktic foraminifer rich wackestone,unlithified,1,2.5y 5/2 (grayish brown),very fine sand,3,foraminifera (planktic),,pteropod,also otoliths,gastropod,,,,,,,,complete,6,,,,"Unlithified WACKESTONE-MUDSTONE. Very fine- to fine-grains, Well-sorted.",,,,359,U1467,B,3,H,4,A,,,,,
359-U1467B-3H-5-A,0,150,19.0,20.5,Planktic foraminifer rich,wackestone,2,Planktic foraminifer rich wackestone,unlithified,1,2.5y 5/2 (grayish brown),very fine sand,3,foraminifera (planktic),,pteropod,also otoliths,,,,,,,,,complete,6,,gradational,horizontal,"Unlithified WACKESTONE-MUDSTONE. Very fine- to fine-grains, Well-sorted. Mottled.",,,,359,U1467,B,3,H,5,A,,,,,
359-U1467B-3H-6-A,0,92,20.5,21.42,Planktic foraminifer rich,wackestone,2,Planktic foraminifer rich wackestone,unlithified,1,2.5Y 6/2 (light brownish gray),very fine sand,3,foraminifera (planktic),,pteropod,,,,,,,,,,complete,6,,,,"Unlithified WACKESTONE. Very fine- to fine-grains, Well-sorted. Color gradation from 5Y 7/2 to 5Y 7/1.",,,,359,U1467,B,3,H,6,A,,,,,
359-U1467B-3H-7-A,0,85,21.42,22.27,Planktic foraminifer rich,wackestone,2,Planktic foraminifer rich wackestone,unlithified,1,2.5Y 6/2 (light brownish gray),very fine sand,3,foraminifera (planktic),,pteropod,,,,,,,,,,complete,6,,gradational,horizontal,"Unlithified WACKESTONE-MUDSTONE. Very fine- to fine-grains, Well-sorted.",,,,359,U1467,B,3,H,7,A,,,,,
359-U1467B-3H-CC-A,0,20,22.27,22.47,Planktic foraminifer rich,wackestone,2,Planktic foraminifer rich wackestone,unlithified,1,2.5Y 6/1 (gray),very fine sand,3,foraminifera (planktic),,,,,,,,,,,,complete,6,,,,"Unlithified WACKESTONE-MUDSTONE. Very fine- to fine-grains, Well-sorted.",,,,359,U1467,B,3,H,CC,A,,,,,
359-U1467B-4H-1-A,0,150,22.5,24.0,Planktic foraminifer rich,wackestone,2,Planktic foraminifer rich wackestone,unlithified,1,2.5y 6/2 (light brownish gray),very fine sand,3,foraminifera (planktic),,pteropod,,foraminifera (benthic),,,,,,,,complete,6,,gradational,horizontal,Unlithified WACKESTONE-MUDSTONE. Very fine- to fine-grained. Well-sorted.,,,,359,U1467,B,4,H,1,A,,,,,
359-U1467B-4H-2-A,0,150,24.0,25.5,Planktic foraminifer rich,wackestone,2,Planktic foraminifer rich wackestone,unlithified,1,5y 6/2 (light olive gray),very fine sand,3,foraminifera (planktic),,pteropod,,,,intraclast,Black grains,,,,,complete,6,,gradational,horizontal,Unlithified WACKESTONE. Very fine- to fine-grained. Well-sorted.,,,,359,U1467,B,4,H,2,A,,,,,
359-U1467B-4H-3-A,0,150,25.5,27.0,Planktic foraminifer rich,wackestone,2,Planktic foraminifer rich wackestone,unlithified,1,2.5y 6/2 (light brownish gray),very fine sand,3,foraminifera (planktic),,pteropod,Also: otoliths,,,,,,,,,complete,6,,gradational,horizontal,Unlithified WACKESTONE-MUDSTONE. Very fine- to fine-grained. Well-sorted.,,,,359,U1467,B,4,H,3,A,,,,,
359-U1467B-4H-4-A,0,145,27.0,28.45,Planktic foraminifer rich,mudstone,1,Planktic foraminifer rich mudstone,unlithified,1,2.5Y 7/2 (light gray),very fine sand,3,foraminifera (planktic),,,,,,,,,,,,complete,6,,gradational,horizontal,Unlithified WACKESTONE-MUDSTONE. Very fine- to fine-grained. Well-sorted. Mottling.,,,,359,U1467,B,4,H,4,A,,,,,
359-U1467B-4H-5-A,0,150,28.5,30.0,Planktic foraminifer rich,wackestone,2,Planktic foraminifer rich wackestone,unlithified,1,5y 7/2 (light gray),fine sand,4,foraminifera (planktic),,pteropod,,,,,,,,,,complete,6,,gradational,horizontal,Unlithified WACKESTONE-MUDSTONE. Very fine- to fine-grained. Well-sorted.,,,,359,U1467,B,4,H,5,A,,,,,
359-U1467B-4H-6-A,0,120,30.0,31.2,Planktic foraminifer rich,wackestone,2,Planktic foraminifer rich wackestone,unlithified,1,5y 7/2 (light gray),very fine sand,3,foraminifera (planktic),,,,,,,,,,,,complete,6,,gradational,horizontal,Unlithified WACKESTONE. Very fine-grained. Well-sorted.,,,,359,U1467,B,4,H,6,A,,,,,
359-U1467B-4H-7-A,0,76,31.2,31.96,Planktic foraminifer rich,wackestone,2,Planktic foraminifer rich wackestone,unlithified,1,5y 7/2 (light gray),very fine sand,3,foraminifera (planktic),,pteropod,,,,,,,,,,complete,6,,gradational,horizontal,Unlithified WACKESTONE. Very fine-grained. Well-sorted.,,,,359,U1467,B,4,H,7,A,,,,,
359-U1467B-4H-CC-A,0,9,31.96,32.05,Planktic foraminifer rich,wackestone,2,Planktic foraminifer rich wackestone,unlithified,1,5y 7/1 (light gray),very fine sand,3,foraminifera (planktic),,,,,,,,,,,,complete,6,,,,Unlithified WACKESTONE. Very fine-grained. Well-sorted.,,,,359,U1467,B,4,H,CC,A,,,,,
359-U1467B-5H-1-A,0,8,32.0,32.08,Planktic foraminifer rich,packstone,3,Planktic foraminifer rich packstone,unlithified,1,5y 7/1 (light gray),coarse sand,6,,,,,,,,,,,,,complete,6,,wavy,horizontal,"CAVE-IN. Unlithified PACKSTONE. Very fine-grained. Well-sorted. Abundant and otoliths, common gastropods and bivalves.",,,,359,U1467,B,5,H,1,A,,,,,
359-U1467B-5H-1-A,8,150,32.08,33.5,Planktic foraminifer rich,wackestone,2,Planktic foraminifer rich wackestone,unlithified,1,5Y 5/1 (gray),very fine sand,3,foraminifera (planktic),,pteropod,,foraminifera (benthic),,,,,,,,common,4,,,,"Unlithified carbonate rich WACKESTONE. Fine-grained, poorly sorted. Planktic foraminifera (A), Benthic foraminifera, pteropods and mollusc fragments (C).",,,,359,U1467,B,5,H,1,A,,,,,
359-U1467B-5H-2-A,0,14,33.5,33.64,Planktic foraminifer rich,wackestone,2,Planktic foraminifer rich wackestone,unlithified,1,5Y 6/1 (gray),very fine sand,3,foraminifera (planktic),,pteropod,,foraminifera (benthic),,,,,,,,common,4,,bioturbated,horizontal,"Unlithified carbonate rich WACKESTONE. Fine-grained, poorly sorted. Planktic foraminifera (A), Benthic foraminifera, pteropods and mollusc fragments, otoliths, and black grains (C).",,,,359,U1467,B,5,H,2,A,,,,,
359-U1467B-5H-2-A,14,150,33.64,35.0,Planktic foraminifer rich,wackestone,2,Planktic foraminifer rich wackestone,unlithified,1,5Y 5/1 (gray),very fine sand,3,foraminifera (planktic),,pteropod,,foraminifera (benthic),,intraclast,Black grains,,,,,complete,6,,,,"Unlithified carbonate rich WACKESTONE. Fine-grained, poorly sorted. Planktic foraminifera (A), Benthic foraminifera, pteropods and mollusc fragments, otoliths, and black grains (C).",,,,359,U1467,B,5,H,2,A,,,,,
359-U1467B-5H-3-A,0,150,35.0,36.5,Planktic foraminifer rich,wackestone,2,Planktic foraminifer rich wackestone,unlithified,1,5Y 6/1 (gray),very fine sand,3,foraminifera (planktic),,foraminifera (benthic),,pteropod,,intraclast,Black grains,,,,,complete,6,,,,"Unlithified carbonate rich WACKESTONE. Fine-grained, poorly sorted. Planktic foraminifera (A), benthic foraminifera, and mollusc fragments, otoliths, and black grains (C), pteropods (F).",,,,359,U1467,B,5,H,3,A,,,,,
359-U1467B-5H-4-A,0,150,36.5,38.0,Planktic foraminifer rich,wackestone,2,Planktic foraminifer rich wackestone,unlithified,1,5Y 6/1 (gray),very fine sand,3,foraminifera (planktic),,foraminifera (benthic),,pteropod,,intraclast,Black grains,,,,,complete,6,,,,"Unlithified carbonate rich WACKESTONE. Fine-grained, poorly sorted. Planktic foraminifera (A), benthic foraminifera, and mollusc fragments, otoliths, and black grains (C), pteropods (F). With 5Y 5/1 mottle",,,,359,U1467,B,5,H,4,A,,,,,
359-U1467B-5H-5-A,0,65,38.0,38.65,Planktic foraminifer rich,wackestone,2,Planktic foraminifer rich wackestone,unlithified,1,5Y 6/1 (gray),very fine sand,3,foraminifera (planktic),,foraminifera (benthic),,pteropod,,intraclast,Black grains,,,,,complete,6,,gradational,horizontal,"Unlithified carbonate rich WACKESTONE. Fine-grained, poorly sorted. Planktic foraminifera (A), benthic foraminifera, and mollusc fragments, otoliths, and black grains (C), pteropods (F).",,,,359,U1467,B,5,H,5,A,,,,,
359-U1467B-5H-5-A,65,150,38.65,39.5,Planktic foraminifer rich,wackestone,2,Planktic foraminifer rich wackestone,unlithified,1,5Y 7/1 (light gray),very fine sand,3,foraminifera (planktic),,foraminifera (benthic),,pteropod,,intraclast,Black grains,,,,,complete,6,,gradational,horizontal,"Unlithified carbonate rich WACKESTONE. Fine-grained, poorly sorted. Planktic foraminifera (A), benthic foraminifera, and mollusc fragments, otoliths, and black grains and pteropods (F).",,,,359,U1467,B,5,H,5,A,,,,,
359-U1467B-5H-6-A,0,145,39.5,40.95,Planktic foraminifer rich,wackestone,2,Planktic foraminifer rich wackestone,unlithified,1,5Y 6/2 (light olive gray),very fine sand,3,foraminifera (planktic),,foraminifera (benthic),,pteropod,,intraclast,Black grains,,,,,complete,6,,gradational,horizontal,"Unlithified carbonate rich WACKESTONE. Fine-grained, poorly sorted. Planktic foraminifera (A), benthic foraminifera, and mollusc fragments, otoliths, and black grains and pteropods (F). With 5Y 5/2 mottle",,,,359,U1467,B,5,H,6,A,,,,,
359-U1467B-5H-7-A,0,63,41.0,41.63,Planktic foraminifer rich,wackestone,2,Planktic foraminifer rich wackestone,unlithified,1,5Y 5/2 (olive gray),very fine sand,3,foraminifera (planktic),,foraminifera (benthic),,pteropod,,intraclast,Black grains,,,,,complete,6,,gradational,horizontal,"Unlithified carbonate rich WACKESTONE. Fine-grained, poorly sorted. Planktic foraminifera (A), benthic foraminifera, and mollusc fragments, otoliths, and black grains and pteropods (F). With 5Y 7/1 mottle",,,,359,U1467,B,5,H,7,A,,,,,
359-U1467B-5H-CC-A,0,13,41.63,41.76,Planktic foraminifer rich,wackestone,2,Planktic foraminifer rich wackestone,unlithified,1,5Y 5/2 (olive gray),very fine sand,3,foraminifera (planktic),,foraminifera (benthic),,pteropod,,intraclast,Black grains,,,,,complete,6,,gradational,horizontal,"Unlithified carbonate rich WACKESTONE. Fine-grained, poorly sorted. Planktic foraminifera (A), benthic foraminifera, and mollusc fragments, otoliths, and black grains and pteropods (F). With 5Y 7/1 mottle",,,,359,U1467,B,5,H,CC,A,,,,,
359-U1467B-6H-1-A,0,2,41.5,41.52,Planktic foraminifer rich,packstone,3,Planktic foraminifer rich packstone,unlithified,1,5y 7/1 (light gray),coarse sand,6,,,,,,,,,,,,,absent,0,,sharp,horizontal,"CAVE-IN. Unlithified PACKSTONE. Very fine-grained. Well-sorted. Abundant and otoliths, common gastropods and bivalves.",,,,359,U1467,B,6,H,1,A,,,,,
359-U1467B-6H-1-A,2,150,41.52,43.0,Planktic foraminifer rich,wackestone,2,Planktic foraminifer rich wackestone,unlithified,1,5Y 6/2 (light olive gray),very fine sand,3,foraminifera (planktic),,foraminifera (benthic),,shell fragment,Mollusk fragments,,,,,,,common,4,,,,"Unlithified carbonate rich WACKESTONE. Fine-grained, poorly sorted. Planktic foraminifera (A), benthic foraminifera (C) and mollusk fragments (P). With 5Y 6/2 mottle. Smear cave-in on the side of the core from 130 cm.",,,,359,U1467,B,6,H,1,A,,,,,
359-U1467B-6H-2-A,0,150,43.0,44.5,Planktic foraminifer rich,wackestone,2,Planktic foraminifer rich wackestone,unlithified,1,5Y 6/2 (light olive gray),very fine sand,3,foraminifera (planktic),,foraminifera (benthic),,shell fragment,Mollusk fragments,,,,,,,common,4,,,,"Unlithified carbonate rich WACKESTONE. Fine-grained, poorly sorted. Planktic foraminifera (A), benthic foraminifera (C) and mollusk fragments (P). With 5Y 6/2 mottle. Smear cave-in on the side of the core from 130 cm.",,,,359,U1467,B,6,H,2,A,,,,,
359-U1467B-6H-3-A,0,80,44.5,45.3,Planktic foraminifer rich,wackestone,2,Planktic foraminifer rich wackestone,unlithified,1,5Y 6/2 (light olive gray),very fine sand,3,foraminifera (planktic),,foraminifera (benthic),,shell fragment,Mollusk fragments,,,,,,,common,4,,gradational,horizontal,"Unlithified carbonate rich WACKESTONE. Fine-grained, poorly sorted. Planktic foraminifera (A), benthic foraminifera (C) and mollusk fragments (P). With 5Y 6/2 mottle. Smear cave-in on the side of the core from 130 cm.",,,,359,U1467,B,6,H,3,A,,,,,
359-U1467B-6H-3-A,80,150,45.3,46.0,Planktic foraminifer rich,wackestone,2,Planktic foraminifer rich wackestone,unlithified,1,5Y 5/2 (olive gray),very fine sand,3,foraminifera (planktic),,foraminifera (benthic),,shell fragment,Mollusk fragments,,,,,,,common,4,,,,"Unlithified carbonate rich WACKESTONE. Fine-grained, poorly sorted. Planktic foraminifera (A), benthic foraminifera (C) and mollusk fragments (P). With 5Y 6/2 mottle. Smear cave-in on the side of the core from 130 cm.",,,,359,U1467,B,6,H,3,A,,,,,
359-U1467B-6H-4-A,0,145,46.0,47.45,Planktic foraminifer rich,wackestone,2,Planktic foraminifer rich wackestone,unlithified,1,5Y 5/2 (olive gray),very fine sand,3,foraminifera (planktic),,foraminifera (benthic),,shell fragment,Mollusk fragments,,,,,,,common,4,,gradational,horizontal,"Unlithified carbonate rich WACKESTONE. Fine-grained, poorly sorted. Planktic foraminifera (A), benthic foraminifera (C) and mollusk fragments (P). With 5Y 6/2 mottle.",,,,359,U1467,B,6,H,4,A,,,,,
359-U1467B-6H-5-A,0,150,47.5,49.0,Planktic foraminifer rich,wackestone,2,Planktic foraminifer rich wackestone,unlithified,1,2.5Y 7/1 (light gray),very fine sand,3,foraminifera (planktic),,foraminifera (benthic),,shell fragment,Mollusk fragments,,,,,,,common,4,,,,"Unlithified carbonate rich WACKESTONE. Fine-grained, poorly sorted. Planktic foraminifera (A), benthic foraminifera (C) and mollusk fragments (P). With 5Y 6/2 mottle.",,,,359,U1467,B,6,H,5,A,,,,,
359-U1467B-6H-6-A,0,100,49.0,50.0,Planktic foraminifer rich,wackestone,2,Planktic foraminifer rich wackestone,unlithified,1,2.5Y 7/1 (light gray),very fine sand,3,foraminifera (planktic),,foraminifera (benthic),,shell fragment,Mollusk fragments,,,,,,,common,4,,,,"Unlithified carbonate rich WACKESTONE. Fine-grained, poorly sorted. Planktic foraminifera (A), benthic foraminifera (C) and mollusk fragments (P). With 5Y 6/2 mottle.",,,,359,U1467,B,6,H,6,A,,,,,
359-U1467B-6H-7-A,0,18,50.0,50.18,Planktic foraminifer rich,wackestone,2,Planktic foraminifer rich wackestone,unlithified,1,2.5Y 7/1 (light gray),very fine sand,3,foraminifera (planktic),,foraminifera (benthic),,shell fragment,Mollusk fragments,,,,,,,common,4,,gradational,horizontal,"Unlithified carbonate rich WACKESTONE. Fine-grained, poorly sorted. Planktic foraminifera (A), benthic foraminifera (C) and mollusk fragments (P). With 5Y 6/2 mottle.",,,,359,U1467,B,6,H,7,A,,,,,
359-U1467B-6H-7-A,18,83,50.18,50.83,Planktic foraminifer rich,wackestone,2,Planktic foraminifer rich wackestone,unlithified,1,2.5Y 8/1 (white),very fine sand,3,foraminifera (planktic),,foraminifera (benthic),,shell fragment,Mollusk fragments,,,,,,,common,4,,,,"Unlithified carbonate rich WACKESTONE. Fine-grained, poorly sorted. Planktic foraminifera (A), benthic foraminifera (C) and mollusk fragments (P). With 5Y 6/2 mottle.",,,,359,U1467,B,6,H,7,A,,,,,
359-U1467B-6H-CC-A,0,11,50.83,50.94,Planktic foraminifer rich,wackestone,2,Planktic foraminifer rich wackestone,unlithified,1,2.5Y 8/1 (white),very fine sand,3,foraminifera (planktic),,foraminifera (benthic),,,,,,,,,,common,4,,,,"Unlithified carbonate rich WACKESTONE. Fine-grained, poorly sorted. Planktic foraminifera (A), benthic foraminifera (C) and mollusk fragments (P). With 5Y 6/2 mottle.",,,,359,U1467,B,6,H,CC,A,,,,,
359-U1467B-7H-1-A,0,54,51.0,51.54,Planktic foraminifer rich,packstone,3,Planktic foraminifer rich packstone,unlithified,1,2.5Y 6/2 (light brownish gray),coarse sand,6,foraminifera (planktic),,foraminifera (benthic),,,,,,,,,,absent,0,,sharp,horizontal,"CAVE-IN. Unlithified PACKSTONE. Very fine-grained. Well-sorted. Abundant and otoliths, common gastropods and bivalves.",,,,359,U1467,B,7,H,1,A,,,,,
