Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Principal lithology,Lithology classification,Lithology prefix,Lithology suffix,Lithology name,Lithology [%],Lithification [name],Color,Lithology comments,File Data,
320-U1334B-2H-CC-A,320,U1334,B,2,2-CC,H,CC,A,0,13,22.91,23.04,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian,with nannofossils,Radiolarian Clay with nannofossils,40,soft,10YR 3/3,,,
320-U1334B-2H-CC-A,320,U1334,B,2,2-CC,H,CC,A,0,13,22.91,23.04,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,60,soft,10YR 8/1,,,
320-U1334B-3H-1-A,320,U1334,B,3,3-1,H,1,A,0,150,22.7,24.2,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian,,Radiolarian Clay,40,soft,10YR 3/3,,,
320-U1334B-3H-1-A,320,U1334,B,3,3-1,H,1,A,0,150,22.7,24.2,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with radiolarians,Nannofossil ooze with radiolarians,60,soft,10YR 8/2,,,
320-U1334B-3H-2-A,320,U1334,B,3,3-2,H,2,A,0,150,24.2,25.7,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian,,Radiolarian Clay,40,soft,10YR 3/3,,,
320-U1334B-3H-2-A,320,U1334,B,3,3-2,H,2,A,0,150,24.2,25.7,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with radiolarians,Nannofossil ooze with radiolarians,60,soft,10YR 8/2,,,
320-U1334B-3H-3-A,320,U1334,B,3,3-3,H,3,A,0,150,25.7,27.2,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian,,Radiolarian Clay,40,soft,10YR 3/3,,,
320-U1334B-3H-3-A,320,U1334,B,3,3-3,H,3,A,0,150,25.7,27.2,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with radiolarians,Nannofossil ooze with radiolarians,60,soft,10YR 8/2,,,
320-U1334B-3H-4-A,320,U1334,B,3,3-4,H,4,A,0,150,27.2,28.7,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian,,Radiolarian Clay,40,soft,10YR 3/3,,,
320-U1334B-3H-4-A,320,U1334,B,3,3-4,H,4,A,0,150,27.2,28.7,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with radiolarians,Nannofossil ooze with radiolarians,60,soft,10YR 8/2,,,
320-U1334B-3H-5-A,320,U1334,B,3,3-5,H,5,A,0,150,28.7,30.2,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian,,Radiolarian Clay,40,soft,10YR 3/3,,,
320-U1334B-3H-5-A,320,U1334,B,3,3-5,H,5,A,0,150,28.7,30.2,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with radiolarians,Nannofossil ooze with radiolarians,60,soft,10YR 8/2,,,
320-U1334B-3H-6-A,320,U1334,B,3,3-6,H,6,A,0,150,30.2,31.7,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian,,Radiolarian Clay,40,soft,10YR 3/3,,,
320-U1334B-3H-6-A,320,U1334,B,3,3-6,H,6,A,0,150,30.2,31.7,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with radiolarians,Nannofossil ooze with radiolarians,60,soft,10YR 8/2,,,
320-U1334B-3H-7-A,320,U1334,B,3,3-7,H,7,A,0,77,31.7,32.47,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian,,Radiolarian Clay,40,soft,10YR 3/3,,,
320-U1334B-3H-7-A,320,U1334,B,3,3-7,H,7,A,0,77,31.7,32.47,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with radiolarians,Nannofossil ooze with radiolarians,60,soft,10YR 8/2,,,
320-U1334B-3H-CC-A,320,U1334,B,3,3-CC,H,CC,A,0,34,32.47,32.81,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian,,Radiolarian Clay,40,soft,10YR 3/3,,,
320-U1334B-3H-CC-A,320,U1334,B,3,3-CC,H,CC,A,0,34,32.47,32.81,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with radiolarians,Nannofossil ooze with radiolarians,60,soft,10YR 8/2,,,
320-U1334B-4H-1-A,320,U1334,B,4,4-1,H,1,A,0,150,32.2,33.7,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian,,Radiolarian Clay,50,soft,10YR 3/3,,,
320-U1334B-4H-1-A,320,U1334,B,4,4-1,H,1,A,0,150,32.2,33.7,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,50,soft,10YR 8/2,,,
320-U1334B-4H-2-A,320,U1334,B,4,4-2,H,2,A,0,150,33.7,35.2,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian,,Radiolarian Clay,50,soft,10YR 3/3,,,
320-U1334B-4H-2-A,320,U1334,B,4,4-2,H,2,A,0,150,33.7,35.2,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,50,soft,10YR 8/2,,,
320-U1334B-4H-3-A,320,U1334,B,4,4-3,H,3,A,0,150,35.2,36.7,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian,,Radiolarian Clay,50,soft,10YR 3/3,,,
320-U1334B-4H-3-A,320,U1334,B,4,4-3,H,3,A,0,150,35.2,36.7,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,50,soft,10YR 8/2,,,
320-U1334B-4H-4-A,320,U1334,B,4,4-4,H,4,A,0,150,36.7,38.2,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian,,Radiolarian Clay,50,soft,10YR 3/3,,,
320-U1334B-4H-4-A,320,U1334,B,4,4-4,H,4,A,0,150,36.7,38.2,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,50,soft,10YR 8/2,,,
320-U1334B-4H-5-A,320,U1334,B,4,4-5,H,5,A,0,150,38.2,39.7,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian,,Radiolarian Clay,50,soft,10YR 3/3,,,
320-U1334B-4H-5-A,320,U1334,B,4,4-5,H,5,A,0,150,38.2,39.7,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,50,soft,10YR 8/2,,,
320-U1334B-4H-6-A,320,U1334,B,4,4-6,H,6,A,0,150,39.7,41.2,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian,,Radiolarian Clay,50,soft,10YR 3/3,,,
320-U1334B-4H-6-A,320,U1334,B,4,4-6,H,6,A,0,150,39.7,41.2,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,50,soft,10YR 8/2,,,
320-U1334B-4H-7-A,320,U1334,B,4,4-7,H,7,A,0,57,41.2,41.77,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian,,Radiolarian Clay,50,soft,10YR 3/3,,,
320-U1334B-4H-7-A,320,U1334,B,4,4-7,H,7,A,0,57,41.2,41.77,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,50,soft,10YR 8/2,,,
320-U1334B-4H-CC-A,320,U1334,B,4,4-CC,H,CC,A,0,16,41.77,41.93,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian,,Radiolarian Clay,50,soft,10YR 3/3,,,
320-U1334B-4H-CC-A,320,U1334,B,4,4-CC,H,CC,A,0,16,41.77,41.93,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,50,soft,10YR 8/2,,,
320-U1334B-5H-1-A,320,U1334,B,5,5-1,H,1,A,0,150,41.7,43.2,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Clayey nannofossil,with radiolarians,Clayey nannofossil ooze with radiolarians,20,soft,10YR 6/3,,,
320-U1334B-5H-1-A,320,U1334,B,5,5-1,H,1,A,0,150,41.7,43.2,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Clayey radiolarian,with nannofossils,Clayey radiolarian ooze with nannofossils,80,soft,10YR 5/3,,,
320-U1334B-5H-2-A,320,U1334,B,5,5-2,H,2,A,0,40,43.2,43.6,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Clayey nannofossil,with radiolarians,Clayey nannofossil ooze with radiolarians,20,soft,10YR 6/3,,,
320-U1334B-5H-2-A,320,U1334,B,5,5-2,H,2,A,0,40,43.2,43.6,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Clayey radiolarian,with nannofossils,Clayey radiolarian ooze with nannofossils,80,soft,10YR 5/3,,,
320-U1334B-5H-2-A,320,U1334,B,5,5-2,H,2,A,40,150,43.6,44.7,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Clayey nannofossil,with radiolarians,Clayey nannofossil ooze with radiolarians,20,soft,10YR 6/3,,,
320-U1334B-5H-2-A,320,U1334,B,5,5-2,H,2,A,40,150,43.6,44.7,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Clayey radiolarian,with nannofossils,Clayey radiolarian ooze with nannofossils,80,soft,10YR 5/3,Several pieces of pumice (1cm) at 5-22 cm interval in section 3.,,
320-U1334B-5H-3-A,320,U1334,B,5,5-3,H,3,A,0,55,44.7,45.25,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Clayey nannofossil,with radiolarians,Clayey nannofossil ooze with radiolarians,20,soft,10YR 6/3,,,
320-U1334B-5H-3-A,320,U1334,B,5,5-3,H,3,A,0,55,44.7,45.25,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Clayey radiolarian,with nannofossils,Clayey radiolarian ooze with nannofossils,80,soft,10YR 5/3,Several pieces of pumice (1cm) at 5-22 cm interval in section 3.,,
320-U1334B-5H-3-A,320,U1334,B,5,5-3,H,3,A,55,150,45.25,46.2,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Clayey nannofossil,with radiolarians,Clayey nannofossil ooze with radiolarians,20,soft,10YR 6/3,,,
320-U1334B-5H-3-A,320,U1334,B,5,5-3,H,3,A,55,150,45.25,46.2,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,80,soft,10YR 8/2,Black streaks are particularly common in very pale brown nannofossil ooze. ,,
320-U1334B-5H-4-A,320,U1334,B,5,5-4,H,4,A,0,150,46.2,47.7,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Clayey nannofossil,with radiolarians,Clayey nannofossil ooze with radiolarians,20,soft,10YR 6/3,,,
320-U1334B-5H-4-A,320,U1334,B,5,5-4,H,4,A,0,150,46.2,47.7,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,80,soft,10YR 8/2,Black streaks are particularly common in very pale brown nannofossil ooze. ,,
320-U1334B-5H-5-A,320,U1334,B,5,5-5,H,5,A,0,150,47.7,49.2,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Clayey nannofossil,with radiolarians,Clayey nannofossil ooze with radiolarians,20,soft,10YR 6/3,,,
320-U1334B-5H-5-A,320,U1334,B,5,5-5,H,5,A,0,150,47.7,49.2,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,80,soft,10YR 8/2,Black streaks are particularly common in very pale brown nannofossil ooze. ,,
320-U1334B-5H-6-A,320,U1334,B,5,5-6,H,6,A,0,142,49.2,50.62,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Clayey nannofossil,with radiolarians,Clayey nannofossil ooze with radiolarians,20,soft,10YR 6/3,,,
320-U1334B-5H-6-A,320,U1334,B,5,5-6,H,6,A,0,142,49.2,50.62,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,80,soft,10YR 8/2,Black streaks are particularly common in very pale brown nannofossil ooze. ,,
320-U1334B-5H-CC-A,320,U1334,B,5,5-CC,H,CC,A,0,31,50.62,50.93,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Clayey nannofossil,with radiolarians,Clayey nannofossil ooze with radiolarians,20,soft,10YR 6/3,,,
320-U1334B-5H-CC-A,320,U1334,B,5,5-CC,H,CC,A,0,31,50.62,50.93,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,80,soft,10YR 8/2,Black streaks are particularly common in very pale brown nannofossil ooze. ,,
320-U1334B-6H-1-A,320,U1334,B,6,6-1,H,1,A,0,150,49.2,50.7,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Clayey radiolarian,with nannofossils,Clayey radiolarian ooze with nannofossils,30,soft,10YR 5/3,,,
320-U1334B-6H-1-A,320,U1334,B,6,6-1,H,1,A,0,150,49.2,50.7,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,70,soft,10YR 8/1,Black streaks are particularly common in white nannofossil ooze. ,,
320-U1334B-6H-2-A,320,U1334,B,6,6-2,H,2,A,0,150,50.7,52.2,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Clayey radiolarian,with nannofossils,Clayey radiolarian ooze with nannofossils,30,soft,10YR 5/3,,,
320-U1334B-6H-2-A,320,U1334,B,6,6-2,H,2,A,0,150,50.7,52.2,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,70,soft,10YR 8/1,Black streaks are particularly common in white nannofossil ooze. ,,
320-U1334B-6H-3-A,320,U1334,B,6,6-3,H,3,A,0,150,52.2,53.7,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Clayey radiolarian,with nannofossils,Clayey radiolarian ooze with nannofossils,30,soft,10YR 5/3,,,
320-U1334B-6H-3-A,320,U1334,B,6,6-3,H,3,A,0,150,52.2,53.7,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,70,soft,10YR 8/1,Black streaks are particularly common in white nannofossil ooze. ,,
320-U1334B-6H-4-A,320,U1334,B,6,6-4,H,4,A,0,150,53.7,55.2,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Clayey radiolarian,with nannofossils,Clayey radiolarian ooze with nannofossils,30,soft,10YR 5/3,,,
320-U1334B-6H-4-A,320,U1334,B,6,6-4,H,4,A,0,150,53.7,55.2,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,70,soft,10YR 8/1,Black streaks are particularly common in white nannofossil ooze. ,,
320-U1334B-6H-5-A,320,U1334,B,6,6-5,H,5,A,0,150,55.2,56.7,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Clayey radiolarian,with nannofossils,Clayey radiolarian ooze with nannofossils,30,soft,10YR 5/3,,,
320-U1334B-6H-5-A,320,U1334,B,6,6-5,H,5,A,0,150,55.2,56.7,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,70,soft,10YR 8/1,Black streaks are particularly common in white nannofossil ooze. ,,
320-U1334B-6H-6-A,320,U1334,B,6,6-6,H,6,A,0,150,56.7,58.2,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Clayey radiolarian,with nannofossils,Clayey radiolarian ooze with nannofossils,30,soft,10YR 5/3,,,
320-U1334B-6H-6-A,320,U1334,B,6,6-6,H,6,A,0,150,56.7,58.2,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,70,soft,10YR 8/1,Black streaks are particularly common in white nannofossil ooze. ,,
320-U1334B-6H-7-A,320,U1334,B,6,6-7,H,7,A,0,79,58.2,58.99,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Clayey radiolarian,with nannofossils,Clayey radiolarian ooze with nannofossils,30,soft,10YR 5/3,,,
320-U1334B-6H-7-A,320,U1334,B,6,6-7,H,7,A,0,79,58.2,58.99,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,70,soft,10YR 8/1,Black streaks are particularly common in white nannofossil ooze. ,,
320-U1334B-6H-CC-A,320,U1334,B,6,6-CC,H,CC,A,0,21,58.99,59.2,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Clayey radiolarian,with nannofossils,Clayey radiolarian ooze with nannofossils,30,soft,10YR 5/3,,,
320-U1334B-6H-CC-A,320,U1334,B,6,6-CC,H,CC,A,0,21,58.99,59.2,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,70,soft,10YR 8/1,Black streaks are particularly common in white nannofossil ooze. ,,
320-U1334B-7H-1-A,320,U1334,B,7,7-1,H,1,A,0,150,58.7,60.2,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,100,soft,10YR 8/1,,,
320-U1334B-7H-2-A,320,U1334,B,7,7-2,H,2,A,0,77,60.2,60.97,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,100,soft,10YR 8/1,,,
320-U1334B-7H-2-A,320,U1334,B,7,7-2,H,2,A,77,150,60.97,61.7,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with radiolarians,Nannofossil ooze with radiolarians,100,soft,10YR 5/3,,,
320-U1334B-7H-3-A,320,U1334,B,7,7-3,H,3,A,0,30,61.7,62.0,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with radiolarians,Nannofossil ooze with radiolarians,100,soft,10YR 5/3,,,
320-U1334B-7H-3-A,320,U1334,B,7,7-3,H,3,A,30,150,62.0,63.2,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,30,soft,10YR 7/3,,,
320-U1334B-7H-3-A,320,U1334,B,7,7-3,H,3,A,30,150,62.0,63.2,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,70,soft,10YR 8/1,,,
320-U1334B-7H-4-A,320,U1334,B,7,7-4,H,4,A,0,150,63.2,64.7,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,30,soft,10YR 7/3,,,
320-U1334B-7H-4-A,320,U1334,B,7,7-4,H,4,A,0,150,63.2,64.7,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,70,soft,10YR 8/1,,,
320-U1334B-7H-5-A,320,U1334,B,7,7-5,H,5,A,0,150,64.7,66.2,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,30,soft,10YR 7/3,,,
320-U1334B-7H-5-A,320,U1334,B,7,7-5,H,5,A,0,150,64.7,66.2,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,70,soft,10YR 8/1,,,
320-U1334B-7H-6-A,320,U1334,B,7,7-6,H,6,A,0,150,66.2,67.7,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,30,soft,10YR 7/3,,,
320-U1334B-7H-6-A,320,U1334,B,7,7-6,H,6,A,0,150,66.2,67.7,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,70,soft,10YR 8/1,,,
320-U1334B-7H-7-A,320,U1334,B,7,7-7,H,7,A,0,81,67.7,68.51,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,30,soft,10YR 7/3,,,
320-U1334B-7H-7-A,320,U1334,B,7,7-7,H,7,A,0,81,67.7,68.51,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,70,soft,10YR 8/1,,,
320-U1334B-7H-CC-A,320,U1334,B,7,7-CC,H,CC,A,0,35,68.51,68.86,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,30,soft,10YR 7/3,,,
320-U1334B-7H-CC-A,320,U1334,B,7,7-CC,H,CC,A,0,35,68.51,68.86,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,70,soft,10YR 8/1,,,
320-U1334B-8H-1-A,320,U1334,B,8,8-1,H,1,A,0,150,68.2,69.7,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,40,soft,10YR 8/2,,,
320-U1334B-8H-1-A,320,U1334,B,8,8-1,H,1,A,0,150,68.2,69.7,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,60,soft,10YR 8/1,,,
320-U1334B-8H-2-A,320,U1334,B,8,8-2,H,2,A,0,150,69.7,71.2,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,40,soft,10YR 8/2,,,
320-U1334B-8H-2-A,320,U1334,B,8,8-2,H,2,A,0,150,69.7,71.2,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,60,soft,10YR 8/1,,,
320-U1334B-8H-3-A,320,U1334,B,8,8-3,H,3,A,0,150,71.2,72.7,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,40,soft,10YR 8/2,,,
320-U1334B-8H-3-A,320,U1334,B,8,8-3,H,3,A,0,150,71.2,72.7,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,60,soft,10YR 8/1,,,
320-U1334B-8H-4-A,320,U1334,B,8,8-4,H,4,A,0,150,72.7,74.2,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,40,soft,10YR 8/2,,,
