Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Principal Name,Lithology classification,Lithology Prefix,Lithology Suffix,Lithology name,Lithology [%],Lithification [name],Color,Lithology comments,File Data,Unnamed: 23,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix
320-U1334C-5H-5-A,320,U1334,C,5,5-5,H,5,A,0,150,44.0,45.5,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,70,soft,10YR 8/2,Black streaks in very pale brown nannofossil ooze,,,,,
320-U1334C-5H-6-A,320,U1334,C,5,5-6,H,6,A,0,150,45.5,47.0,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,30,soft,10YR 7/2,,,,,,
320-U1334C-5H-6-A,320,U1334,C,5,5-6,H,6,A,0,150,45.5,47.0,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,70,soft,10YR 8/2,Black streaks in very pale brown nannofossil ooze,,,,,
320-U1334C-5H-7-A,320,U1334,C,5,5-7,H,7,A,0,78,47.0,47.78,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,30,soft,10YR 7/2,,,,,,
320-U1334C-5H-7-A,320,U1334,C,5,5-7,H,7,A,0,78,47.0,47.78,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,70,soft,10YR 8/2,Black streaks in very pale brown nannofossil ooze,,,,,
320-U1334C-5H-CC-A,320,U1334,C,5,5-CC,H,CC,A,0,22,47.78,48.0,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,30,soft,10YR 7/2,,,,,,
320-U1334C-5H-CC-A,320,U1334,C,5,5-CC,H,CC,A,0,22,47.78,48.0,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,70,soft,10YR 8/2,Black streaks in very pale brown nannofossil ooze,,,,,
320-U1334C-6H-1-A,320,U1334,C,6,6-1,H,1,A,0,150,47.5,49.0,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Clayey nannofossil,with radiolarians,Clayey nannofossil ooze with radiolarians,30,soft,10YR 6/3,,,,,,
320-U1334C-6H-1-A,320,U1334,C,6,6-1,H,1,A,0,150,47.5,49.0,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,70,soft,10YR 8/2,,,,,,
320-U1334C-6H-2-A,320,U1334,C,6,6-2,H,2,A,0,150,49.0,50.5,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Clayey nannofossil,with radiolarians,Clayey nannofossil ooze with radiolarians,30,soft,10YR 6/3,,,,,,
