Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,MAJ Lith. prefix+name+suffix [read only],Amount of ash in lithology,Amount of ash in lithology rank [read only],Sed. structures,MAJ Lith. color,Bioturbation intensity,Bioturbation intensity rank [read only],Clast abundance,Number of clasts (>2mm),Clast 1 igneous -  grain size,Clast 1 igneous -  roundness,Clast 2 sediment - grain size,Clast 2 sediment - roundness,Clast 3 metamorphic - grain size,Clast 3 metamorphic - roundness,Macrofossil,Diagenetic constituent,Diagenetic constituent composition,General interval comment,Bottom contact or boundary type,Bottom contact geometry,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix
341-U1418D-5H-4-A,91,104,36.91,37.04,diatom bearing,mud [Leg210],,diatom bearing mud ,,,,10Y 4/1 (dark greenish gray),none [DB86],0,absent [A79],,,,,,,,,,,extensive black mottling,gradational contact,,,,,341,U1418,D,5,H,4,A,,,,
341-U1418D-5H-4-A,104,119,37.04,37.19,,interbedded silt(stone) and mud(stone) [McKW53],,interbedded silt(stone) and mud(stone) ,,,,N 4 (dark gray),none [DB86],0,absent [A79],,,,,,,,,,,"black mottling;
thinly laminated to laminated silt, mud up to 4cm thick",,,,,,341,U1418,D,5,H,4,A,,,,
341-U1418D-5H-4-A,119,121,37.19,37.21,,,,,,,,,,,,,,,,,,,,,,VOID,,,,,,341,U1418,D,5,H,4,A,,,,
341-U1418D-5H-4-A,121,141,37.21,37.41,,interbedded silt(stone) and mud(stone) [McKW53],,interbedded silt(stone) and mud(stone) ,,,,N 4 (dark gray),none [DB86],0,absent [A79],,,,,,,,,,,"black mottling;
thinly laminated to laminated silt, mud up to 4cm thick",,,,,,341,U1418,D,5,H,4,A,,,,
341-U1418D-5H-4-A,141,150,37.41,37.5,diatom bearing,mud [Leg210],,diatom bearing mud ,,,,10Y 4/1 (dark greenish gray),none [DB86],0,absent [A79],,,,,,,,,,,extensive black mottling,,,,,,341,U1418,D,5,H,4,A,,,,
341-U1418D-5H-5-A,0,27,37.5,37.77,,mud [Leg210],,mud ,,,lens or pod [BJ84],10Y 4/1 (dark greenish gray),,,,,,,,,,,,,,massive mud; with black (FeO) mottles/pods,,,,,,341,U1418,D,5,H,5,A,,,,
341-U1418D-5H-5-A,27,150,37.77,39,,mud [Leg210],,mud ,,,color banding,10Y 4/1 (dark greenish gray),,,,,,,,,,,,,,"faintly laminated 10Y 4/1 with N 4, rarely N 2.5 (black; FeO); massive mud",,,,,,341,U1418,D,5,H,5,A,,,,
341-U1418D-5H-6-A,0,82,39,39.82,,mud [Leg210],with silt [Leg339],mud  with silt ,,,color banding,10Y 4/1 (dark greenish gray),,,,,,,,,,,,,,faintly laminated 10Y 4/1 with N 4; 13 silt laminae,,,,,,341,U1418,D,5,H,6,A,,,,
341-U1418D-5H-6-A,82,150,39.82,40.5,,mud [Leg210],,mud ,,,,10Y 4/1 (dark greenish gray),,,present [A79],1,,,,,pebble [W22_2],subrounded,,,,argillite pebble 0.8 cm at 141 cm,,,,,,341,U1418,D,5,H,6,A,,,,
341-U1418D-5H-7-A,0,30,40.5,40.8,,mud [Leg210],with silt [Leg339],mud  with silt ,,,color banding,N 4 (dark gray),,,,,,,,,,,,,,faintly laminated N 4 with 10Y 4/1; 2 silt laminae,,,,,,341,U1418,D,5,H,7,A,,,,
341-U1418D-5H-7-A,30,65,40.8,41.15,calcareous bearing,interbedded silt(stone) and mud(stone) [McKW53],,calcareous bearing interbedded silt(stone) and mud(stone) ,,,color banding,N 4 (dark gray),,,,,,,,,,,,,,"faintly laminated N 4 with 10Y 4/1; 10 silt laminae, mud 9 cm or less",,,,,,341,U1418,D,5,H,7,A,,,,
341-U1418D-5H-CC-A,0,10,41.15,41.25,,interbedded silt(stone) and mud(stone) [McKW53],,interbedded silt(stone) and mud(stone) ,,,,N 4 (dark gray),,,,,,,,,,,,,,"3 silt laminae, mud 2 cm or less",,,,,,341,U1418,D,5,H,CC,A,,,,
341-U1418D-5H-CC-A,10,15,41.25,41.3,,,,,,,,,,,,,,,,,,,,,,PAL,,,,,,341,U1418,D,5,H,CC,A,,,,
341-U1418D-6H-1-A,0,84,41,41.84,,mud [Leg210],,mud ,,,,N 4 (dark gray),none [DB86],0,absent [A79],,,,,,,,,,,sparse black mottling,gradational contact,,,,,341,U1418,D,6,H,1,A,,,,
341-U1418D-6H-1-A,84,150,41.84,42.5,,mud [Leg210],with silt [Leg339],mud  with silt ,,,,N 4 (dark gray),none [DB86],0,absent [A79],,,,,,,,,,,"black mottling (band @118cm);
silt @ 85, 87, 96, 125, 142cm",,,,,,341,U1418,D,6,H,1,A,,,,
341-U1418D-6H-2-A,0,117,42.5,43.67,,mud [Leg210],with silt [Leg339],mud  with silt ,,,patch or bleb,N 4 (dark gray),none [DB86],0,absent [A79],,,,,,,,,,,"intermittent black mottling;
silt patches",,,,,,341,U1418,D,6,H,2,A,,,,
341-U1418D-6H-2-A,117,121,43.67,43.71,calcareous bearing,mud [Leg210],,calcareous bearing mud ,,,,N 4 (dark gray),none [DB86],0,absent [A79],,,,,,,,,,,black bands/mottling (50%),,,,,,341,U1418,D,6,H,2,A,,,,
341-U1418D-6H-2-A,121,150,43.71,44,,mud [Leg210],with silt [Leg339],mud  with silt ,,,patch or bleb,N 4 (dark gray),none [DB86],0,absent [A79],,,,,,,,,,,"intermittent black mottling;
silt patches",,,,,,341,U1418,D,6,H,2,A,,,,
341-U1418D-6H-3-A,0,118,44,45.18,,mud [Leg210],,mud ,,,,N 4 (dark gray),none [DB86],0,present [A79],4,,,,,,,,,,"16-50cm: black mottling;
silt laminae @ 76, 95cm",,,,,,341,U1418,D,6,H,3,A,,,,
341-U1418D-6H-3-A,118,150,45.18,45.5,,mud [Leg210],with silt [Leg339],mud  with silt ,,,,5Y 4/1 (dark gray),none [DB86],0,absent [A79],,,,,,,,,,,"silt laminae @120, 124cm, and patches",,,,,,341,U1418,D,6,H,3,A,,,,
341-U1418D-6H-4-A,0,150,45.5,47,,interbedded silt(stone) and mud(stone) [McKW53],,interbedded silt(stone) and mud(stone) ,,,color banding,10Y 4/1 (dark greenish gray),,,,,,,,,,,,,,"faintly laminated 10Y 4/1 with N 4; 51 silt laminae, mud 10 cm or less",,,,,,341,U1418,D,6,H,4,A,,,,
341-U1418D-6H-5-A,0,150,47,48.5,,interbedded silt(stone) and mud(stone) [McKW53],,interbedded silt(stone) and mud(stone) ,,,color banding,10Y 4/1 (dark greenish gray),,,present [A79],1,,,pebble [W22_2],rounded,,,,,,"clast 0.7 cm, siltstone, at 126 cm; clast in WH at 86 cm, argillite, 3 cm, angular",,,,,,341,U1418,D,6,H,5,A,,,,
341-U1418D-6H-6-A,0,26,48.5,48.76,,mud [Leg210],,mud ,,,color banding,10Y 4/1 (dark greenish gray),,,,,,,,,,,,,,faintly laminated 10Y 4/1 with N 4,,,,,,341,U1418,D,6,H,6,A,,,,
341-U1418D-6H-6-A,26,28,48.76,48.78,,silt [Leg210],with mud [Leg339],silt  with mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,,,,,,,341,U1418,D,6,H,6,A,,,,
341-U1418D-6H-6-A,28,102,48.78,49.52,,mud [Leg210],with silt [Leg339],mud  with silt ,,,,10Y 4/1 (dark greenish gray),,,,,,,,,,,,,,11 silt laminae,,,,,,341,U1418,D,6,H,6,A,,,,
341-U1418D-6H-6-A,102,141,49.52,49.91,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,massive mud,,,,,,341,U1418,D,6,H,6,A,,,,
341-U1418D-6H-7-A,0,48,49.91,50.39,,mud [Leg210],with silt [Leg339],mud  with silt ,,,,N 4 (dark gray),,,,,,,,,,,,,,3 silt laminae,,,,,,341,U1418,D,6,H,7,A,,,,
341-U1418D-6H-7-A,48,51,50.39,50.42,,sand [Leg210],,sand ,,,normal grading,N 3 (very dark gray),,,,,,,,,,,,,,,,,,,,341,U1418,D,6,H,7,A,,,,
341-U1418D-6H-7-A,51,59,50.42,50.5,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,present [A79],2,,,,,granule [W22_2],subangular,,,,2 argillite granules at 52 and 55 cm;,,,,,,341,U1418,D,6,H,7,A,,,,
341-U1418D-6H-CC-A,0,15,50.5,50.65,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,,,,,,,341,U1418,D,6,H,CC,A,,,,
341-U1418D-6H-CC-A,15,20,50.65,50.7,,,,,,,,,,,,,,,,,,,,,,PAL,,,,,,341,U1418,D,6,H,CC,A,,,,
341-U1418D-7H-1-A,0,63,50.5,51.13,,mud [Leg210],,mud ,,,,N 4 (dark gray),none [DB86],0,absent [A79],,,,,,,,,,,,,,,,,341,U1418,D,7,H,1,A,,,,
341-U1418D-7H-1-A,63,150,51.13,52,,mud [Leg210],with silt [Leg339],mud  with silt ,,,color banding,N 4 (dark gray),none [DB86],0,absent [A79],,,,,,,,,,,"gray color bands;
silt laminae @ 64, 80, 102, 128, 133, 139cm",,,,,,341,U1418,D,7,H,1,A,,,,
341-U1418D-7H-2-A,0,56,52,52.56,,mud [Leg210],,mud ,,,color banding,N 4 (dark gray),none [DB86],0,present [A79],1,,,,,,,,,,"green/gray color bands (mm to 2cm thick);
41cm: normally graded sand laminae",,,,,,341,U1418,D,7,H,2,A,,,,
341-U1418D-7H-2-A,56,94,52.56,52.94,,mud [Leg210],with silt [Leg339],mud  with silt ,,,color banding,N 4 (dark gray),none [DB86],0,absent [A79],,,,,,,,,,,"green/gray color bands (mm to 2cm thick);
silt laminae @ 57, 63, 92cm",,,,,,341,U1418,D,7,H,2,A,,,,
341-U1418D-7H-2-A,94,150,52.94,53.5,,mud [Leg210],,mud ,,,color banding,N 4 (dark gray),none [DB86],0,absent [A79],,,,,,,,,,,green/gray color bands (mm to 2cm thick);,,,,,,341,U1418,D,7,H,2,A,,,,
341-U1418D-7H-3-A,0,73,53.5,54.23,,mud [Leg210],,mud ,,,color banding,N 4 (dark gray),none [DB86],0,present [A79],1,,,,,,,,,,green/gray color bands (up to 3cm thick),,,,,,341,U1418,D,7,H,3,A,,,,
341-U1418D-7H-3-A,73,107,54.23,54.57,,interbedded silt(stone) and mud(stone) [McKW53],,interbedded silt(stone) and mud(stone) ,,,color banding,N 4 (dark gray),none [DB86],0,absent [A79],,,,,,,,,,,"green/gray color bands (up to 3cm thick);
8 silt (thin to laminae), up to 8cm mud beds",,,,,,341,U1418,D,7,H,3,A,,,,
341-U1418D-7H-3-A,107,150,54.57,55,,mud [Leg210],,mud ,,,color banding,N 4 (dark gray),none [DB86],0,present [A79],1,,,,,,,,,,"green/gray color bands (up to 3cm thick);
thin silt laminae @ 107, 146cm",,,,,,341,U1418,D,7,H,3,A,,,,
341-U1418D-7H-4-A,0,150,55,56.5,,mud [Leg210],with silt [Leg339],mud  with silt ,,,color banding,10Y 4/1 (dark greenish gray),,,,,,,,,,,,,,7 silt laminae; faintly laminated 10Y 4/1 with N 4,,,,,,341,U1418,D,7,H,4,A,,,,
341-U1418D-7H-5-A,0,98,56.5,57.48,,interbedded silt(stone) and mud(stone) [McKW53],,interbedded silt(stone) and mud(stone) ,,,color banding,N 4 (dark gray),,,,,,,,,,,,,,"31 silt laminae, mud 6 cm or less; faintly laminated N 4 with 10Y 4/1",,,,,,341,U1418,D,7,H,5,A,,,,
341-U1418D-7H-5-A,98,150,57.48,58,,mud [Leg210],with silt [Leg339],mud  with silt ,,,color banding,N 4 (dark gray),,,present [A79],1,,,,,pebble [W22_2],subrounded,,,,faintly laminated N 4 with 10Y 4/1,,,,,,341,U1418,D,7,H,5,A,,,,
341-U1418D-7H-6-A,0,98,58,58.98,,interbedded silt(stone) and mud(stone) [McKW53],,interbedded silt(stone) and mud(stone) ,,,,N 4 (dark gray),,,,,,,,,,,,,,"35 silt laminae, mud 9 cm or less",,,,,,341,U1418,D,7,H,6,A,,,,
341-U1418D-7H-6-A,98,141,58.98,59.41,,mud [Leg210],with silt [Leg339],mud  with silt ,,,,N 4 (dark gray),,,present [A79],1,,,pebble [W22_2],subangular,,,,,,2 silt laminae,,,,,,341,U1418,D,7,H,6,A,,,,
341-U1418D-7H-7-A,0,71,59.41,60.12,,interbedded silt(stone) and mud(stone) [McKW53],,interbedded silt(stone) and mud(stone) ,,,,N 4 (dark gray),,,,,,,,,,,,,,"28 silt laminae, mud 6 cm or less",,,,,,341,U1418,D,7,H,7,A,,,,
341-U1418D-7H-CC-A,0,11,60.12,60.23,,interbedded silt(stone) and mud(stone) [McKW53],,interbedded silt(stone) and mud(stone) ,,,,N 4 (dark gray),,,,,,,,,,,,,,"5 silt laminae, mud 3 cm or less",,,,,,341,U1418,D,7,H,CC,A,,,,
