Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology name,Grain size max. [mm],Lithification,Lithification rank,Lithology [%],Lithology classification,Comment,File Data,Minor Lithology Suffix,Minor Lithology Prefix,Minor Lithology Name
317-U1353B-2H-1-A,317,U1353,B,2,2-1,H,1,A,97,150,8.97,9.5,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,,,
317-U1353B-2H-2-A,317,U1353,B,2,2-2,H,2,A,0,150,9.5,11.0,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,,,
317-U1353B-2H-3-A,317,U1353,B,2,2-3,H,3,A,0,150,11.0,12.5,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,,,
317-U1353B-2H-4-A,317,U1353,B,2,2-4,H,4,A,0,45,12.5,12.95,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,,,
317-U1353B-2H-4-A,317,U1353,B,2,2-4,H,4,A,45,125,12.95,13.75,,Very fine-fine sand [S54-W22],,Very fine-fine sand,,,,,"Shepard, 1954; Wentworth, 1922",,,,,
317-U1353B-2H-5-A,317,U1353,B,2,2-5,H,5,A,0,130,13.77,15.07,,Very fine-fine sand [S54-W22],,Very fine-fine sand,,,,,"Shepard, 1954; Wentworth, 1922",,,,,
317-U1353B-2H-6-A,317,U1353,B,2,2-6,H,6,A,0,125,15.1,16.35,,Very fine-fine sand [S54-W22],,Very fine-fine sand,,,,,"Shepard, 1954; Wentworth, 1922",,,,,
317-U1353B-2H-7-A,317,U1353,B,2,2-7,H,7,A,0,56,16.34,16.9,,Very fine-fine sand [S54-W22],,Very fine-fine sand,,,,,"Shepard, 1954; Wentworth, 1922",,,,,
317-U1353B-2H-CC-A,317,U1353,B,2,2-CC,H,CC,A,0,45,16.9,17.35,,Very fine-fine sand [S54-W22],,Very fine-fine sand,,,,,"Shepard, 1954; Wentworth, 1922",,,,,
317-U1353B-3H-1-A,317,U1353,B,3,3-1,H,1,A,0,150,17.0,18.5,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",homogeneous mud,,,,
317-U1353B-3H-2-A,317,U1353,B,3,3-2,H,2,A,0,150,18.5,20.0,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",homogeneous mud,,,,
317-U1353B-3H-3-A,317,U1353,B,3,3-3,H,3,A,0,150,20.0,21.5,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",homogeneous mud,,,,
317-U1353B-3H-4-A,317,U1353,B,3,3-4,H,4,A,0,150,21.5,23.0,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",homogeneous mud,,,,
317-U1353B-3H-5-A,317,U1353,B,3,3-5,H,5,A,0,150,23.0,24.5,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",homogeneous mud,,,,
317-U1353B-3H-6-A,317,U1353,B,3,3-6,H,6,A,0,85,24.5,25.35,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",homogeneous mud,,,,
317-U1353B-3H-6-A,317,U1353,B,3,3-6,H,6,A,85,100,25.35,25.5,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision",,,,,
317-U1353B-3H-7-A,317,U1353,B,3,3-7,H,7,A,0,56,25.5,26.06,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision",,,,,
317-U1353B-4H-1-A,317,U1353,B,4,4-1,H,1,A,0,60,26.0,26.6,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision",shelly sandy mud,,,,
317-U1353B-4H-1-A,317,U1353,B,4,4-1,H,1,A,60,95,26.6,26.95,,Very fine-fine sand [S54-W22],,Very fine-fine sand,,,,,"Shepard, 1954; Wentworth, 1922",vf sand with shells and wood fragments,,,,
317-U1353B-4H-1-A,317,U1353,B,4,4-1,H,1,A,95,100,26.95,27.0,,Very fine-fine sand [S54-W22],,Very fine-fine sand,,,,,"Shepard, 1954; Wentworth, 1922",well sorted vf sand,,,,
317-U1353B-4H-2-A,317,U1353,B,4,4-2,H,2,A,0,61,27.0,27.61,,Very fine-fine sand [S54-W22],,Very fine-fine sand,,,,,"Shepard, 1954; Wentworth, 1922",well sorted vf sand,,,,
317-U1353B-5H-1-A,317,U1353,B,5,5-1,H,1,A,0,33,27.7,28.03,,Muddy Sand [S54-Leg183],,Muddy Sand,,,,,"Shepard, 1954 - Leg 183 revision",shelly muddy v.f. sand; cave-in,,,,
317-U1353B-5H-1-A,317,U1353,B,5,5-1,H,1,A,33,128,28.03,28.98,,Very fine-fine sand [S54-W22],,Very fine-fine sand,,,,,"Shepard, 1954; Wentworth, 1922",very well-sorted micaceaous homogeneous v.f. sand (maximum grain size = f.sd.) No shell is included.,,,,
317-U1353B-5H-2-A,317,U1353,B,5,5-2,H,2,A,0,130,28.98,30.28,,Very fine-fine sand [S54-W22],,Very fine-fine sand,,,,,"Shepard, 1954; Wentworth, 1922",very well-sorted micaceaous homogeneous v.f. sand (maximum grain size = f.sd.) No shell is included.,,,,
317-U1353B-5H-3-A,317,U1353,B,5,5-3,H,3,A,0,123,30.28,31.51,,Very fine-fine sand [S54-W22],,Very fine-fine sand,,,,,"Shepard, 1954; Wentworth, 1922",very well-sorted micaceaous homogeneous v.f. sand (maximum grain size = f.sd.) No shell is included.,,,,
317-U1353B-5H-4-A,317,U1353,B,5,5-4,H,4,A,0,126,31.51,32.77,,Very fine-fine sand [S54-W22],,Very fine-fine sand,,,,,"Shepard, 1954; Wentworth, 1922",very well-sorted micaceaous homogeneous v.f. sand (maximum grain size = f.sd.) No shell is included.,,,,
317-U1353B-5H-5-A,317,U1353,B,5,5-5,H,5,A,0,126,32.77,34.03,,Very fine-fine sand [S54-W22],,Very fine-fine sand,,,,,"Shepard, 1954; Wentworth, 1922",very well-sorted micaceaous homogeneous v.f. sand (maximum grain size = f.sd.) No shell is included.,,,,
317-U1353B-5H-6-A,317,U1353,B,5,5-6,H,6,A,0,148,34.03,35.51,,Very fine-fine sand [S54-W22],,Very fine-fine sand,,,,,"Shepard, 1954; Wentworth, 1922",very well-sorted micaceaous homogeneous v.f. sand (maximum grain size = f.sd.) No shell is included.,,,,
317-U1353B-6H-1-A,317,U1353,B,6,6-1,H,1,A,0,84,35.2,36.04,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision","shelly mud; including broken shells of Stiracolpus, Turritelid, echinoid spicules, barnacle plates, bivalve Tawera.  ",,,,
317-U1353B-6H-1-A,317,U1353,B,6,6-1,H,1,A,84,112,36.04,36.32,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision","v.f. sandy clay-rich mud, sticky clayey.",,,,
317-U1353B-6H-1-A,317,U1353,B,6,6-1,H,1,A,112,150,36.32,36.7,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision","v.f. sandy mud, with scattered shell fragments throughout (Stiracolpus common), burrows of darkspots <2mm are common.",,,,
317-U1353B-6H-2-A,317,U1353,B,6,6-2,H,2,A,0,150,36.7,38.2,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision","micaceous mud, slightly color-mottling, common scattered shells and shell fragments.  ",,,,
317-U1353B-6H-2-A,317,U1353,B,6,6-2,H,2,A,80,150,37.5,38.2,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision","calcareous v.f.-f. (mostly v.f.) sandy mud, with abundant shell fragments (includes Stirocolpus)",,,,
317-U1353B-6H-3-A,317,U1353,B,6,6-3,H,3,A,0,150,38.2,39.7,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision","micaceous mud, slightly color-mottling, common scattered shells and shell fragments.  ",,,,
317-U1353B-6H-3-A,317,U1353,B,6,6-3,H,3,A,0,150,38.2,39.7,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision","calcareous v.f.-f. (mostly v.f.) sandy mud, with abundant shell fragments (includes Stirocolpus)",,,,
317-U1353B-6H-4-A,317,U1353,B,6,6-4,H,4,A,0,80,39.7,40.5,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision","micaceous mud, slightly color-mottling, common scattered shells and shell fragments.  ",,,,
317-U1353B-6H-4-A,317,U1353,B,6,6-4,H,4,A,0,150,39.7,41.2,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision","calcareous v.f.-f. (mostly v.f.) sandy mud, with abundant shell fragments (includes Stirocolpus)",,,,
317-U1353B-6H-5-A,317,U1353,B,6,6-5,H,5,A,0,110,41.2,42.3,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision","calcareous v.f.-f. (mostly v.f.) sandy mud, with abundant shell fragments (includes Stirocolpus)",,,,
317-U1353B-6H-6-A,317,U1353,B,6,6-6,H,6,A,0,60,42.3,42.9,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision","calcareous v.f.-f. (mostly v.f.) sandy mud, with abundant shell fragments (includes Stirocolpus)",,,,
317-U1353B-6H-CC-A,317,U1353,B,6,6-CC,H,CC,A,0,25,42.9,43.15,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision","calcareous v.f.-f. (mostly v.f.) sandy mud, with abundant shell fragments (includes Stirocolpus)",,,,
317-U1353B-7H-1-A,317,U1353,B,7,7-1,H,1,A,0,60,43.2,43.8,,Sandy Mud [S54-Leg183],,Sandy Mud,,soupy,,,"Shepard, 1954 - Leg 183 revision",v f sandy shelly mud. ,,,,
317-U1353B-7H-1-A,317,U1353,B,7,7-1,H,1,A,60,88,43.8,44.08,,Mud [S54-Leg210],,Mud,,soupy,,,"Shepard, 1954 - Leg 210 revision",clay-rich mud with a few percent v f sand.,,,,
317-U1353B-7H-1-A,317,U1353,B,7,7-1,H,1,A,88,106,44.08,44.26,,Mud [S54-Leg210],,Mud,,soft,,,"Shepard, 1954 - Leg 210 revision",,,,,
317-U1353B-7H-1-A,317,U1353,B,7,7-1,H,1,A,106,109,44.26,44.29,,Clay [S54] ,,Clay,,soft,,,,,,,,
317-U1353B-7H-1-A,317,U1353,B,7,7-1,H,1,A,109,150,44.29,44.7,,Mud [S54-Leg210],,Mud,,soft,,,"Shepard, 1954 - Leg 210 revision",,,,,
317-U1353B-7H-2-A,317,U1353,B,7,7-2,H,2,A,0,150,44.7,46.2,,Mud [S54-Leg210],,Mud,,soft,,,"Shepard, 1954 - Leg 210 revision",,,,,
317-U1353B-7H-3-A,317,U1353,B,7,7-3,H,3,A,0,150,46.2,47.7,,Mud [S54-Leg210],,Mud,,soft,,,"Shepard, 1954 - Leg 210 revision",,,,,
317-U1353B-7H-4-A,317,U1353,B,7,7-4,H,4,A,0,96,47.7,48.66,,Mud [S54-Leg210],,Mud,,soft,,,"Shepard, 1954 - Leg 210 revision",,,,,
317-U1353B-7H-CC-A,317,U1353,B,7,7-CC,H,CC,A,0,25,48.66,48.91,,Mud [S54-Leg210],,Mud,,soft,,,"Shepard, 1954 - Leg 210 revision",,,,,
317-U1353B-8H-1-A,317,U1353,B,8,8-1,H,1,A,0,20,48.9,49.1,,Shell hash,,Shell hash,,soupy,,,Leg 150,"Muddy shell hash. Stirocolpus, Tawera, barnacle plates, bivalves, & gastropods occur. These shelly and muddy units at the top of the core may represent fall in.  ",,,,
317-U1353B-8H-1-A,317,U1353,B,8,8-1,H,1,A,20,79,49.1,49.69,,Mud [S54-Leg210],,Mud,,soupy,,,"Shepard, 1954 - Leg 210 revision","Soupy mud, likely cave-in /flow in",,,,
317-U1353B-8H-1-A,317,U1353,B,8,8-1,H,1,A,79,83,49.69,49.73,,Shell hash,,Shell hash,,soupy,,,Leg 150,Shell has as in 0-2 cm,,,,
317-U1353B-8H-1-A,317,U1353,B,8,8-1,H,1,A,83,150,49.73,50.4,,Mud [S54-Leg210],,Mud,,firm,,,"Shepard, 1954 - Leg 210 revision",Homogenous mud with trace amount of vf well sorted slightly micaceous sand; 83-103 cm likely disturbed,,,,
317-U1353B-8H-2-A,317,U1353,B,8,8-2,H,2,A,0,150,50.4,51.9,,Mud [S54-Leg210],,Mud,,firm,,,"Shepard, 1954 - Leg 210 revision","Homogenous mud with minor (<10%) vf well sorted slightly micaceous sand.  25-27 cm and 30-31 cm is shelly sandy mud with bivalve fragments; sand is vf, well sorted slightly micaceous.  98-101 cm is slightly more clay rich.",,,,
317-U1353B-8H-3-A,317,U1353,B,8,8-3,H,3,A,0,6,51.9,51.96,,Mud [S54-Leg210],,Mud,,firm,,,"Shepard, 1954 - Leg 210 revision","Homogenous mud with minor (<10%) vf well sorted slightly micaceous sand.  25-27 cm and 30-31 cm is shelly sandy mud with bivalve fragments; sand is vf, well sorted slightly micaceous.  98-101 cm is slightly more clay rich.",,,,
317-U1353B-8H-3-A,317,U1353,B,8,8-3,H,3,A,6,10,51.96,52.0,,Sandy Mud [S54-Leg183],,Sandy Mud,,firm,,,"Shepard, 1954 - Leg 183 revision","Shelly sandy mud.  Sand is vf to f (mostly vf) moderately sorted, slightly micaceous.  Bivalve (Tawera) and gastropod (Stiracolpus) fragments are common.",,,,
317-U1353B-8H-3-A,317,U1353,B,8,8-3,H,3,A,10,41,52.0,52.31,,mud [S54-Leg210],,mud,,firm,,,"Shepard, 1954 - Leg 210 revision","Homogenous mud with minor (<10%) vf well sorted slightly micaceous sand. 21 cm is a bioturbated contact., 22-41 Homogenous mud with minor (<10%) vf well sorted slightly micaceous sand but more clay-rich.",,,,
317-U1353B-8H-3-A,317,U1353,B,8,8-3,H,3,A,41,54,52.31,52.44,,Sandy Mud [S54-Leg183],,Sandy Mud,,firm,,,"Shepard, 1954 - Leg 183 revision","Shelly sandy mud.  Sand is vf to f (mostly vf) moderately sorted, slightly micaceous.  Bivalve (Tawera) and gastropod (Stiracolpus) fragments are common.  Possible contact at 54 cm.",,,,
317-U1353B-8H-3-A,317,U1353,B,8,8-3,H,3,A,54,63,52.44,52.53,,Mud [S54-Leg210],,Mud,,firm,,,"Shepard, 1954 - Leg 210 revision",Homogenous mud with minor (<10%) vf well sorted slightly micaceous sand but more clay-rich.,,,,
317-U1353B-8H-3-A,317,U1353,B,8,8-3,H,3,A,63,68,52.53,52.58,,Sandy Mud [S54-Leg183],,Sandy Mud,,firm,,,"Shepard, 1954 - Leg 183 revision","Shelly sandy mud.  Sand is vf to f (mostly vf) moderately sorted, slightly micaceous.  Bivalve (Tawera) and gastropod (Stiracolpus) fragments are common.",,,,
317-U1353B-8H-3-A,317,U1353,B,8,8-3,H,3,A,68,88,52.58,52.78,,mud [S54-Leg210],,mud,,firm,,,"Shepard, 1954 - Leg 210 revision",Homogenous mud with minor (<10%) vf well sorted slightly micaceous sand but more clay-rich.,,,,
317-U1353B-8H-3-A,317,U1353,B,8,8-3,H,3,A,88,95,52.78,52.85,,Sandy Mud [S54-Leg183],,Sandy Mud,,firm,,,"Shepard, 1954 - Leg 183 revision","Shelly sandy mud.  Sand is vf to f (mostly vf) moderately sorted, slightly micaceous.  Bivalve (Tawera) and gastropod (Stiracolpus) fragments are common.",,,,
317-U1353B-8H-3-A,317,U1353,B,8,8-3,H,3,A,95,150,52.85,53.4,,Mud [S54-Leg210],,Mud,,firm,,,"Shepard, 1954 - Leg 210 revision",Homogenous mud with minor (<10%) vf well sorted slightly micaceous sand but more clay-rich near the top of the interval becoming more sandy (vf) towards the base. Sand is more common as burrow fill.,,,,
317-U1353B-8H-4-A,317,U1353,B,8,8-4,H,4,A,0,4,53.4,53.44,,Mud [S54-Leg210],,Mud,,firm,,,"Shepard, 1954 - Leg 210 revision",Homogenous mud with minor (<10%) vf well sorted slightly micaceous sand but more clay-rich near the top of the interval becoming more sandy (vf) towards the base. Sand is more common as burrow fill.,,,,
317-U1353B-8H-4-A,317,U1353,B,8,8-4,H,4,A,5,108,53.45,54.48,,Sandy Mud [S54-Leg183],,Sandy Mud,,firm,,,"Shepard, 1954 - Leg 183 revision","Sandy calcareous mud.  Sand is vf-f (mostly vf) moderately sorted, slightly micaceous .  32-55 cm is less sandy, with sand concentrated in burrows.  Shell fragments common from 5-23 and rare to scattered from 23-108 cm.",,,,
317-U1353B-8H-4-A,317,U1353,B,8,8-4,H,4,A,108,150,54.48,54.9,,Mud [S54-Leg210],,Mud,,firm,,,"Shepard, 1954 - Leg 210 revision",Homogeneous calcareous mud with a trace amount of vf well sorted slightly micaceous sand and with rare shell fragments throughout.,,,,
317-U1353B-8H-5-A,317,U1353,B,8,8-5,H,5,A,0,102,54.9,55.92,,Mud [S54-Leg210],,Mud,,well consolidated,,,"Shepard, 1954 - Leg 210 revision","Homogeneous calcareous mud , clay-rich.  Muddy sand filled burrows are common from 8-12 and 31-45 cm",,,,
317-U1353B-8H-6-A,317,U1353,B,8,8-6,H,6,A,0,70,55.9,56.6,,Mud [S54-Leg210],,Mud,,well consolidated,,,"Shepard, 1954 - Leg 210 revision","Homogeneous calcareous mud , clay-rich.  Slightly darker mottling 35-42 cm. Rare shell fragments throughout.",,,,
317-U1353B-8H-CC-A,317,U1353,B,8,8-CC,H,CC,A,0,23,56.6,56.83,,Mud [S54-Leg210],,Mud,,well consolidated,,,"Shepard, 1954 - Leg 210 revision","Homogeneous calcareous mud , clay-rich.  0-1 cm is sandy mud, vf-f (mostly vf) possible contamination  as similar material is not seen at base of sec 6",,,,
317-U1353B-9H-1-A,317,U1353,B,9,9-1,H,1,A,0,150,56.8,58.3,,Mud [S54-Leg210],,Mud,,stiff,,,"Shepard, 1954 - Leg 210 revision",calcareous mud with a few percent v f sand,,,,
317-U1353B-9H-2-A,317,U1353,B,9,9-2,H,2,A,0,140,58.3,59.7,,Mud [S54-Leg210],,Mud,,stiff,,,"Shepard, 1954 - Leg 210 revision",calcareous mud with a few percent v f sand,,,,
317-U1353B-9H-3-A,317,U1353,B,9,9-3,H,3,A,0,140,59.8,61.2,,Mud [S54-Leg210],,Mud,,stiff,,,"Shepard, 1954 - Leg 210 revision",calcareous mud with a few percent v f sand,,,,
317-U1353B-9H-4-A,317,U1353,B,9,9-4,H,4,A,0,60,61.3,61.9,,Sandy Mud [S54-Leg183],,Sandy Mud,,soft,,,"Shepard, 1954 - Leg 183 revision",v f to fine (mostly v f) sandy mud,,,,
317-U1353B-10H-1-A,317,U1353,B,10,10-1,H,1,A,0,79,62.0,62.79,,Shell hash,,Shell hash,,,,,Leg 150,homogeneous shelly mud (probably fall in),,,,
317-U1353B-10H-1-A,317,U1353,B,10,10-1,H,1,A,79,92,62.79,62.92,,Very fine-fine sand [S54-W22],,Very fine-fine sand,,,,,"Shepard, 1954; Wentworth, 1922",well sorted with shell fragments,,,,
317-U1353B-10H-1-A,317,U1353,B,10,10-1,H,1,A,92,140,62.92,63.4,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",homogeneous silty mud,,,,
317-U1353B-10H-2-A,317,U1353,B,10,10-2,H,2,A,0,150,63.5,65.0,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",homogeneous silty mud,,,,
317-U1353B-10H-3-A,317,U1353,B,10,10-3,H,3,A,0,140,65.0,66.4,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",homogeneous silty mud,,,,
317-U1353B-10H-4-A,317,U1353,B,10,10-4,H,4,A,0,100,66.5,67.5,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",homogeneous silty mud,,,,
317-U1353B-11H-1-A,317,U1353,B,11,11-1,H,1,A,0,47,67.6,68.07,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",fall-in,,,,
317-U1353B-11H-1-A,317,U1353,B,11,11-1,H,1,A,47,140,68.07,69.0,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",homogeneous micaceous mud,,,,
317-U1353B-11H-2-A,317,U1353,B,11,11-2,H,2,A,0,150,69.1,70.6,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",homogeneous micaceous mud,,,,
317-U1353B-11H-3-A,317,U1353,B,11,11-3,H,3,A,0,140,70.6,72.0,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",homogeneous micaceous mud,,,,
317-U1353B-11H-4-A,317,U1353,B,11,11-4,H,4,A,0,84,72.1,72.94,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",homogeneous micaceous mud,,,,
317-U1353B-11H-CC-A,317,U1353,B,11,11-CC,H,CC,A,0,20,72.94,73.14,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",homogeneous micaceous mud,,,,
317-U1353B-12H-1-A,317,U1353,B,12,12-1,H,1,A,0,15,73.2,73.35,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",fall-in,,,,
317-U1353B-12H-1-A,317,U1353,B,12,12-1,H,1,A,15,70,73.35,73.9,,Shell hash,,Shell hash,,,,,Leg 150,fall-in,,,,
317-U1353B-12H-1-A,317,U1353,B,12,12-1,H,1,A,70,101,73.9,74.21,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",fall-in,,,,
317-U1353B-12H-2-A,317,U1353,B,12,12-2,H,2,A,0,42,74.21,74.63,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",fall-in,,,,
317-U1353B-12H-2-A,317,U1353,B,12,12-2,H,2,A,42,54,74.63,74.75,,Very fine-fine sand [S54-W22],,Very fine-fine sand,,,,,"Shepard, 1954; Wentworth, 1922",,,,,
317-U1353B-12H-2-A,317,U1353,B,12,12-2,H,2,A,54,97,74.75,75.18,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,,,
317-U1353B-12H-3-A,317,U1353,B,12,12-3,H,3,A,0,145,75.18,76.63,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,,,
317-U1353B-12H-4-A,317,U1353,B,12,12-4,H,4,A,0,150,76.63,78.13,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,,,
317-U1353B-12H-5-A,317,U1353,B,12,12-5,H,5,A,0,146,78.13,79.59,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,,,
317-U1353B-12H-6-A,317,U1353,B,12,12-6,H,6,A,0,52,79.59,80.11,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,,,
317-U1353B-14X-CC-A,317,U1353,B,14,14-CC,X,CC,A,0,45,80.2,80.65,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision",,,,,
317-U1353B-16X-CC-A,317,U1353,B,16,16-CC,X,CC,A,0,20,97.0,97.2,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",homogeneous silty mud,,,,
317-U1353B-17H-CC-A,317,U1353,B,17,17-CC,H,CC,A,0,19,106.6,106.79,,Shell hash,,Shell hash,,,,,Leg 150,,,,,
317-U1353B-18X-1-A,317,U1353,B,18,18-1,X,1,A,0,145,106.6,108.05,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",homogeneous silty mud,,,,
317-U1353B-18X-CC-A,317,U1353,B,18,18-CC,X,CC,A,0,38,108.05,108.43,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",homogeneous silty mud,,,,
317-U1353B-19H-1-A,317,U1353,B,19,19-1,H,1,A,0,83,111.2,112.03,,Shell hash,,Shell hash,,,,,Leg 150,,,,,
317-U1353B-19H-2-A,317,U1353,B,19,19-2,H,2,A,0,115,112.03,113.18,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,,,
317-U1353B-19H-3-A,317,U1353,B,19,19-3,H,3,A,0,50,113.18,113.68,,Muddy Sand [S54-Leg183],,Muddy Sand,,,,,"Shepard, 1954 - Leg 183 revision",,,,,
317-U1353B-19H-3-A,317,U1353,B,19,19-3,H,3,A,50,130,113.68,114.48,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,,,
