Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology prefix,Lithology principal name,Lithology suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color (simple),Lithology color (Munsell),Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Layer or bedding thickness,Grading,TEPHRA type,Amount of ash in lithology,Amount of ash in lithology rank [read only],Sedimentary structure,Sedimentary structure comment,Diagenetic structure,Macrofossil,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
353-U1447C-6H-3-A,0,150,40.19,41.69,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,light gray,GLEY 1 6/10Y (greenish gray),,,,,,,,,mottling,,,,Light gray foraminifer-rich sandy blebs between 113 and 114 cm.,,,,353,U1447,C,6,H,3,A,
353-U1447C-6H-4-A,0,150,41.69,43.19,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 6/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1447,C,6,H,4,A,
353-U1447C-6H-5-A,0,150,43.19,44.69,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,Large nodules (made of cemented carbonate with shell fragments) between 59 and 61 cm.,,,,353,U1447,C,6,H,5,A,
353-U1447C-6H-6-A,0,150,44.69,46.19,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1447,C,6,H,6,A,
353-U1447C-6H-7-A,0,81,46.19,47,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 6/5GY (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1447,C,6,H,7,A,
353-U1447C-6H-CC-A,0,27,47,47.27,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 6/5GY (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1447,C,6,H,CC,A,
353-U1447C-7H-1-A,0,150,46.9,48.4,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1447,C,7,H,1,A,
353-U1447C-7H-2-A,0,150,48.4,49.9,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1447,C,7,H,2,A,
353-U1447C-7H-3-A,0,150,49.9,51.4,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/5GY (greenish gray),,,,,,,,,mottling,,,,Some nodules along the section.,,,,353,U1447,C,7,H,3,A,
353-U1447C-7H-4-A,0,150,51.4,52.9,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,Some nodules along the section.,,,,353,U1447,C,7,H,4,A,
353-U1447C-7H-5-A,0,150,52.9,54.4,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1447,C,7,H,5,A,
353-U1447C-7H-6-A,0,150,54.4,55.9,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1447,C,7,H,6,A,
353-U1447C-7H-7-A,0,62,55.9,56.52,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1447,C,7,H,7,A,
353-U1447C-7H-CC-A,0,29,56.52,56.81,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1447,C,7,H,CC,A,
353-U1447C-8H-1-A,0,150,56.4,57.9,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1447,C,8,H,1,A,
353-U1447C-8H-2-A,0,150,57.9,59.4,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,Some nodules along the section. Wood fragments (pyritzed) between 37 and 40 cm.,,,,353,U1447,C,8,H,2,A,
353-U1447C-8H-3-A,0,150,59.4,60.9,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,Some nodules along the section.,,,,353,U1447,C,8,H,3,A,
353-U1447C-8H-4-A,0,150,60.9,62.4,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,Some nodules along the section.,,,,353,U1447,C,8,H,4,A,
353-U1447C-8H-5-A,0,150,62.4,63.9,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,Some nodules along the section.,,,,353,U1447,C,8,H,5,A,
353-U1447C-8H-6-A,0,150,63.9,65.4,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1447,C,8,H,6,A,
353-U1447C-8H-7-A,0,58,65.4,65.98,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1447,C,8,H,7,A,
353-U1447C-8H-CC-A,0,29,65.98,66.27,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1447,C,8,H,CC,A,
353-U1447C-9H-1-A,0,150,65.9,67.4,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1447,C,9,H,1,A,
353-U1447C-9H-2-A,0,150,67.4,68.9,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,Some nodules along the section.,,,,353,U1447,C,9,H,2,A,
353-U1447C-9H-3-A,0,150,68.9,70.4,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,Some nodules along the section.,,,,353,U1447,C,9,H,3,A,
353-U1447C-9H-4-A,0,150,70.4,71.9,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1447,C,9,H,4,A,
353-U1447C-9H-5-A,0,150,71.9,73.4,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1447,C,9,H,5,A,
353-U1447C-9H-6-A,0,150,73.4,74.9,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1447,C,9,H,6,A,
353-U1447C-9H-7-A,0,59,74.9,75.49,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1447,C,9,H,7,A,
353-U1447C-9H-CC-A,0,25,75.49,75.74,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1447,C,9,H,CC,A,
353-U1447C-10H-1-A,0,76,75.4,76.16,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1447,C,10,H,1,A,
353-U1447C-10H-2-A,0,144,76.16,77.6,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,Some nodules along the section..,,,,353,U1447,C,10,H,2,A,
353-U1447C-10H-3-A,0,147,77.61,79.08,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1447,C,10,H,3,A,
353-U1447C-10H-4-A,0,147,79.08,80.55,,clayey,nannofossil ooze,,clayey nannofossil ooze,clayey nannofossil ooze,nannofossil ooze,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,Some nodules along the section.,,,,353,U1447,C,10,H,4,A,
353-U1447C-10H-5-A,0,149,80.55,82.04,,clayey,nannofossil ooze,,clayey nannofossil ooze,clayey nannofossil ooze,nannofossil ooze,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1447,C,10,H,5,A,
353-U1447C-10H-6-A,0,151,82.04,83.55,,clayey,nannofossil ooze,,clayey nannofossil ooze,clayey nannofossil ooze,nannofossil ooze,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1447,C,10,H,6,A,
353-U1447C-10H-7-A,0,107,83.55,84.62,,clayey,nannofossil ooze,,clayey nannofossil ooze,clayey nannofossil ooze,nannofossil ooze,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1447,C,10,H,7,A,
353-U1447C-10H-CC-A,0,11,84.62,84.73,,clayey,nannofossil ooze,,clayey nannofossil ooze,clayey nannofossil ooze,nannofossil ooze,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1447,C,10,H,CC,A,
353-U1447C-11H-1-A,0,150,84.9,86.4,,clayey,nannofossil ooze,,clayey nannofossil ooze,clayey nannofossil ooze,nannofossil ooze,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,,,,,353,U1447,C,11,H,1,A,
353-U1447C-11H-2-A,0,150,86.4,87.9,,clayey,nannofossil ooze,,clayey nannofossil ooze,clayey nannofossil ooze,nannofossil ooze,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,,,,,353,U1447,C,11,H,2,A,
353-U1447C-11H-3-A,0,147,87.9,89.37,,clayey,nannofossil ooze,,clayey nannofossil ooze,clayey nannofossil ooze,nannofossil ooze,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,,,,,353,U1447,C,11,H,3,A,
353-U1447C-11H-4-A,0,147,89.37,90.84,,clayey,nannofossil ooze,,clayey nannofossil ooze,clayey nannofossil ooze,nannofossil ooze,,gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1447,C,11,H,4,A,
353-U1447C-11H-5-A,0,149,90.84,92.33,,clayey,nannofossil ooze,,clayey nannofossil ooze,clayey nannofossil ooze,nannofossil ooze,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,,,,,353,U1447,C,11,H,5,A,
353-U1447C-11H-6-A,0,149,92.33,93.82,,clayey,nannofossil ooze,,clayey nannofossil ooze,clayey nannofossil ooze,nannofossil ooze,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,,,,,353,U1447,C,11,H,6,A,
353-U1447C-11H-7-A,0,81,93.82,94.63,,clayey,nannofossil ooze,,clayey nannofossil ooze,clayey nannofossil ooze,nannofossil ooze,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,,,,,353,U1447,C,11,H,7,A,
353-U1447C-11H-CC-A,0,26,94.63,94.89,,clayey,nannofossil ooze,,clayey nannofossil ooze,clayey nannofossil ooze,nannofossil ooze,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,,,,,353,U1447,C,11,H,CC,A,
353-U1447C-12H-1-A,0,152,94.4,95.92,,clayey,nannofossil ooze,,clayey nannofossil ooze,clayey nannofossil ooze,nannofossil ooze,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,,,,,353,U1447,C,12,H,1,A,
353-U1447C-12H-2-A,0,146,95.92,97.38,,clayey,nannofossil ooze,,clayey nannofossil ooze,clayey nannofossil ooze,nannofossil ooze,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,Nodules present,,,,353,U1447,C,12,H,2,A,
353-U1447C-12H-3-A,0,151,97.38,98.89,,clayey,nannofossil ooze,,clayey nannofossil ooze,clayey nannofossil ooze,nannofossil ooze,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,Nodules present along the section,,,,353,U1447,C,12,H,3,A,
353-U1447C-12H-4-A,0,151,98.89,100.4,,clayey,nannofossil ooze,,clayey nannofossil ooze,clayey nannofossil ooze,nannofossil ooze,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,Nodules are present along the section,,,,353,U1447,C,12,H,4,A,
353-U1447C-12H-5-A,0,149,100.4,101.89,,clayey,nannofossil ooze,,clayey nannofossil ooze,clayey nannofossil ooze,nannofossil ooze,,gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,Nodules are present along this section,,,,353,U1447,C,12,H,5,A,
353-U1447C-12H-6-A,0,122,101.89,103.11,,clayey,nannofossil ooze,,clayey nannofossil ooze,clayey nannofossil ooze,nannofossil ooze,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,,,,,353,U1447,C,12,H,6,A,
353-U1447C-12H-6-A,88,103,102.77,102.92,,,volcanic ash,with clay,volcanic ash,volcanic ash with clay,volcanic ash with clay,,,,,,,,,,,,,,,,Appears to be disturbed by drilling as it is mixed with clay,,,,353,U1447,C,12,H,6,A,
353-U1447C-12H-6-A,103,122,102.92,103.11,,clayey,nannofossil ooze,,clayey nannofossil ooze,clayey nannofossil ooze,nannofossil ooze,,,,,,,,,,,,,,,,,,,,353,U1447,C,12,H,6,A,
353-U1447C-12H-CC-A,0,19,103.11,103.3,,clayey,nannofossil ooze,,clayey nannofossil ooze,clayey nannofossil ooze,nannofossil ooze,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,,,,,353,U1447,C,12,H,CC,A,
353-U1447C-13H-1-A,0,143,103.9,105.33,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,,,,,353,U1447,C,13,H,1,A,
