Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,MAJ Lith. prefix+name [read only],Sediment structures,MAJ Lith. color,Bioturbation intensity,Clast abundance,Macrofossil,MAJ Lith. ave. grain size ,Diagenetic constituent,Diagenetic constituent composition,General interval comment,MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,Bottom contact geometry,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Lithology Suffix,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix
363-U1485B-2H-6-A,62,80.0,9.84,10.02,nannofossil-bearing [X363],clay [Leg210],nannofossil-bearing clay,,5GY 5/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,B,2,H,6,A,,,,
363-U1485B-2H-6-A,80,85.0,10.02,10.07,,silty sand [S54],silty sand,,10GY 2.5/1 (greenish black),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,B,2,H,6,A,,,,
363-U1485B-2H-6-A,85,146.0,10.07,10.68,nannofossil-bearing [X363],clay [Leg210],nannofossil-bearing clay,,5GY 5/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,B,2,H,6,A,,,,
363-U1485B-2H-7-A,0,61.0,10.68,11.29,nannofossil-bearing [X363],clay [Leg210],nannofossil-bearing clay,,5GY 5/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,B,2,H,7,A,,,,
363-U1485B-2H-CC-A,0,33.0,11.29,11.62,nannofossil-bearing [X363],clay [Leg210],nannofossil-bearing clay,,5GY 5/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,B,2,H,CC,A,,,,
363-U1485B-3H-1-A,0,140.0,11.4,12.8,nannofossil-bearing [X363],clay [Leg210],nannofossil-bearing clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,B,3,H,1,A,,,,
363-U1485B-3H-2-A,0,146.0,12.8,14.26,nannofossil-bearing [X363],clay [Leg210],nannofossil-bearing clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,B,3,H,2,A,,,,
363-U1485B-3H-3-A,0,80.0,14.26,15.06,nannofossil-bearing [X363],clay [Leg210],nannofossil-bearing clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,B,3,H,3,A,,,,
363-U1485B-3H-3-A,80,149.0,15.06,15.75,nannofossil-bearing [X363],clay [Leg210],nannofossil-bearing clay,,5GY 3/1 (very dark greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,B,3,H,3,A,,,,
363-U1485B-3H-4-A,0,152.0,15.75,17.27,nannofossil-bearing [X363],clay [Leg210],nannofossil-bearing clay,,5GY 3/1 (very dark greenish gray),moderate [DB86],,,,,,Gas expansion makes its appearance here.,,,,,,,,,,,,,363,U1485,B,3,H,4,A,,,,
363-U1485B-3H-5-A,0,145.0,17.27,18.72,nannofossil-bearing [X363],clay [Leg210],nannofossil-bearing clay,,5GY 3/1 (very dark greenish gray),moderate [DB86],,,,,,Gas expansion cracks,,,,,,,,,,,,,363,U1485,B,3,H,5,A,,,,
363-U1485B-3H-6-A,0,46.0,18.72,19.18,nannofossil-bearing [X363],clay [Leg210],nannofossil-bearing clay,,5GY 3/1 (very dark greenish gray),moderate [DB86],,,,,,Gas expansion cracks,,,,,,,,,,,,,363,U1485,B,3,H,6,A,,,,
363-U1485B-3H-6-A,46,50.0,19.18,19.22,,silty sand [S54],silty sand,,5GY 2.5/1 (greenish black),moderate [DB86],,,,,,Gas expansion cracks,,,,,,,,,,,,,363,U1485,B,3,H,6,A,,,,
363-U1485B-3H-6-A,50,68.0,19.22,19.4,nannofossil-bearing [X363],clay [Leg210],nannofossil-bearing clay,,5GY 3/1 (very dark greenish gray),moderate [DB86],,,,,,Gas expansion cracks,,,,,,,,,,,,,363,U1485,B,3,H,6,A,,,,
363-U1485B-3H-6-A,68,71.0,19.4,19.43,,silty sand [S54],silty sand,,5GY 2.5/1 (greenish black),moderate [DB86],,,,,,Gas expansion cracks,,,,,,,,,,,,,363,U1485,B,3,H,6,A,,,,
363-U1485B-3H-6-A,71,98.0,19.43,19.7,nannofossil-bearing [X363],clay [Leg210],nannofossil-bearing clay,,5GY 3/1 (very dark greenish gray),moderate [DB86],,,,,,Gas expansion cracks,,,,,,,,,,,,,363,U1485,B,3,H,6,A,,,,
363-U1485B-3H-6-A,98,105.0,19.7,19.77,,silty sand [S54],silty sand,,5GY 2.5/1 (greenish black),moderate [DB86],,,,,,Gas expansion cracks,,,,,,,,,,,,,363,U1485,B,3,H,6,A,,,,
363-U1485B-3H-6-A,105,142.0,19.77,20.14,nannofossil-bearing [X363],clay [Leg210],nannofossil-bearing clay,,5GY 3/1 (very dark greenish gray),moderate [DB86],,,,,,Gas expansion cracks,,,,,,,,,,,,,363,U1485,B,3,H,6,A,,,,
363-U1485B-3H-7-A,0,32.0,20.14,20.46,nannofossil-bearing [X363],clay [Leg210],nannofossil-bearing clay,,5GY 3/1 (very dark greenish gray),moderate [DB86],,,,,,Gas expansion cracks,,,,,,,,,,,,,363,U1485,B,3,H,7,A,,,,
363-U1485B-3H-7-A,32,35.0,20.46,20.49,,silty sand [S54],silty sand,,5GY 2.5/1 (greenish black),moderate [DB86],,,,,,Gas expansion cracks,,,,,,,,,,,,,363,U1485,B,3,H,7,A,,,,
363-U1485B-3H-7-A,35,128.0,20.49,21.42,nannofossil-bearing [X363],clay [Leg210],nannofossil-bearing clay,,5GY 3/1 (very dark greenish gray),moderate [DB86],,,,,,Gas expansion cracks,,,,,,,,,,,,,363,U1485,B,3,H,7,A,,,,
363-U1485B-3H-CC-A,0,29.0,21.42,21.71,nannofossil-bearing [X363],clay [Leg210],nannofossil-bearing clay,,5GY 3/1 (very dark greenish gray),moderate [DB86],,,,,,Gas expansion cracks,,,,,,,,,,,,,363,U1485,B,3,H,CC,A,,,,
363-U1485B-4H-1-A,0,40.0,20.9,21.3,,silty clay [S54],silty clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,B,4,H,1,A,,,,
363-U1485B-4H-1-A,40,54.0,21.3,21.44,,silty sand [S54],silty sand,,5GY 2.5/1 (greenish black),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,B,4,H,1,A,,,,
363-U1485B-4H-1-A,54,118.0,21.44,22.08,,silty clay [S54],silty clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,B,4,H,1,A,,,,
363-U1485B-4H-1-A,118,124.0,22.08,22.14,,silty sand [S54],silty sand,,5GY 2.5/1 (greenish black),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,B,4,H,1,A,,,,
363-U1485B-4H-1-A,124,141.0,22.14,22.31,,silty clay [S54],silty clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,B,4,H,1,A,,,,
363-U1485B-4H-2-A,0,57.0,22.31,22.88,,silty clay [S54],silty clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,B,4,H,2,A,,,,
363-U1485B-4H-2-A,57,65.0,22.88,22.96,,silty sand [S54],silty sand,,5GY 2.5/1 (greenish black),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,B,4,H,2,A,,,,
363-U1485B-4H-2-A,65,82.0,22.96,23.13,,silty clay [S54],silty clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,B,4,H,2,A,,,,
363-U1485B-4H-2-A,82,98.0,23.13,23.29,,silty sand [S54],silty sand,,5GY 2.5/1 (greenish black),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,B,4,H,2,A,,,,
363-U1485B-4H-2-A,98,134.0,23.29,23.65,,silty clay [S54],silty clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,B,4,H,2,A,,,,
363-U1485B-4H-3-A,0,8.0,23.65,23.73,,silty clay [S54],silty clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,B,4,H,3,A,,,,
363-U1485B-4H-3-A,8,18.0,23.73,23.83,,silty sand [S54],silty sand,,5GY 2.5/1 (greenish black),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,B,4,H,3,A,,,,
363-U1485B-4H-3-A,18,111.0,23.83,24.76,,silty clay [S54],silty clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,B,4,H,3,A,,,,
363-U1485B-4H-4-A,0,40.0,24.76,25.16,,silty clay [S54],silty clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,B,4,H,4,A,,,,
363-U1485B-4H-4-A,40,45.0,25.16,25.21,,silty sand [S54],silty sand,,5GY 2.5/1 (greenish black),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,B,4,H,4,A,,,,
363-U1485B-4H-4-A,45,80.0,25.21,25.56,,silty clay [S54],silty clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,B,4,H,4,A,,,,
363-U1485B-4H-4-A,80,85.0,25.56,25.61,,silty sand [S54],silty sand,,5GY 2.5/1 (greenish black),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,B,4,H,4,A,,,,
363-U1485B-4H-4-A,85,112.0,25.61,25.88,,silty clay [S54],silty clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,B,4,H,4,A,,,,
363-U1485B-4H-5-A,0,65.0,25.88,26.53,,silty clay [S54],silty clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,B,4,H,5,A,,,,
363-U1485B-4H-5-A,65,71.0,26.53,26.59,,silty sand [S54],silty sand,,5GY 2.5/1 (greenish black),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,B,4,H,5,A,,,,
363-U1485B-4H-5-A,71,76.0,26.59,26.64,,silty clay [S54],silty clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,B,4,H,5,A,,,,
363-U1485B-4H-5-A,76,81.0,26.64,26.69,,silty sand [S54],silty sand,,5GY 2.5/1 (greenish black),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,B,4,H,5,A,,,,
363-U1485B-4H-5-A,81,135.0,26.69,27.23,,silty clay [S54],silty clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,B,4,H,5,A,,,,
363-U1485B-4H-5-A,135,141.0,27.23,27.29,,silty sand [S54],silty sand,,5GY 2.5/1 (greenish black),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,B,4,H,5,A,,,,
363-U1485B-4H-6-A,0,7.0,27.29,27.36,,silty clay [S54],silty clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,B,4,H,6,A,,,,
363-U1485B-4H-6-A,7,18.0,27.36,27.47,,silty sand [S54],silty sand,,5GY 2.5/1 (greenish black),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,B,4,H,6,A,,,,
363-U1485B-4H-6-A,18,105.0,27.47,28.34,,silty clay [S54],silty clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,B,4,H,6,A,,,,
363-U1485B-4H-6-A,105,110.0,28.34,28.39,,silty sand [S54],silty sand,,5GY 2.5/1 (greenish black),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,B,4,H,6,A,,,,
363-U1485B-4H-6-A,110,141.0,28.39,28.7,,silty clay [S54],silty clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,B,4,H,6,A,,,,
363-U1485B-4H-7-A,0,106.0,28.7,29.76,,silty clay [S54],silty clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,B,4,H,7,A,,,,
363-U1485B-4H-CC-A,0,34.0,29.76,30.1,,silty clay [S54],silty clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,B,4,H,CC,A,,,,
363-U1485B-5H-1-A,0,77.0,30.4,31.17,nannofossil-bearing [X363],silty clay [S54],nannofossil-bearing silty clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,B,5,H,1,A,,,,
363-U1485B-5H-2-A,0,7.0,31.17,31.24,nannofossil-bearing [X363],silty clay [S54],nannofossil-bearing silty clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,B,5,H,2,A,,,,
363-U1485B-5H-2-A,7,9.0,31.24,31.26,,silty sand [S54],silty sand,,5GY 2.5/1 (greenish black),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,B,5,H,2,A,,,,
363-U1485B-5H-2-A,9,73.0,31.26,31.9,nannofossil-bearing [X363],silty clay [S54],nannofossil-bearing silty clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,B,5,H,2,A,,,,
363-U1485B-5H-2-A,73,79.0,31.9,31.96,,silty sand [S54],silty sand,,5GY 2.5/1 (greenish black),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,B,5,H,2,A,,,,
363-U1485B-5H-2-A,79,135.0,31.96,32.52,nannofossil-bearing [X363],silty clay [S54],nannofossil-bearing silty clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,B,5,H,2,A,,,,
363-U1485B-5H-3-A,0,65.0,32.52,33.17,nannofossil-bearing [X363],silty clay [S54],nannofossil-bearing silty clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,B,5,H,3,A,,,,
363-U1485B-5H-3-A,65,70.0,33.17,33.22,,silty sand [S54],silty sand,,5GY 2.5/1 (greenish black),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,B,5,H,3,A,,,,
363-U1485B-5H-3-A,70,79.0,33.22,33.31,nannofossil-bearing [X363],silty clay [S54],nannofossil-bearing silty clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,B,5,H,3,A,,,,
363-U1485B-5H-3-A,79,82.0,33.31,33.34,,silty sand [S54],silty sand,,5GY 2.5/1 (greenish black),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,B,5,H,3,A,,,,
363-U1485B-5H-3-A,82,111.0,33.34,33.63,nannofossil-bearing [X363],silty clay [S54],nannofossil-bearing silty clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,B,5,H,3,A,,,,
363-U1485B-5H-4-A,0,85.0,33.63,34.48,nannofossil-bearing [X363],silty clay [S54],nannofossil-bearing silty clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,B,5,H,4,A,,,,
363-U1485B-5H-5-A,0,40.0,34.48,34.88,nannofossil-bearing [X363],silty clay [S54],nannofossil-bearing silty clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,B,5,H,5,A,,,,
363-U1485B-5H-5-A,40,53.0,34.88,35.01,,silty sand [S54],silty sand,,5GY 2.5/1 (greenish black),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,B,5,H,5,A,,,,
363-U1485B-5H-5-A,53,134.0,35.01,35.82,nannofossil-bearing [X363],silty clay [S54],nannofossil-bearing silty clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,B,5,H,5,A,,,,
363-U1485B-5H-6-A,0,145.0,35.83,37.28,nannofossil-bearing [X363],silty clay [S54],nannofossil-bearing silty clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,B,5,H,6,A,,,,
363-U1485B-5H-7-A,0,44.0,37.28,37.72,nannofossil-bearing [X363],silty clay [S54],nannofossil-bearing silty clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,B,5,H,7,A,,,,
363-U1485B-5H-7-A,44,46.0,37.72,37.74,,silty sand [S54],silty sand,,5GY 2.5/1 (greenish black),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,B,5,H,7,A,,,,
363-U1485B-5H-7-A,46,135.0,37.74,38.63,nannofossil-bearing [X363],silty clay [S54],nannofossil-bearing silty clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,B,5,H,7,A,,,,
363-U1485B-5H-8-A,0,19.0,38.63,38.82,nannofossil-bearing [X363],silty clay [S54],nannofossil-bearing silty clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,B,5,H,8,A,,,,
363-U1485B-5H-8-A,19,30.0,38.82,38.93,,silty sand [S54],silty sand,,5GY 2.5/1 (greenish black),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,B,5,H,8,A,,,,
363-U1485B-5H-8-A,30,83.0,38.93,39.46,nannofossil-bearing [X363],silty clay [S54],nannofossil-bearing silty clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,B,5,H,8,A,,,,
363-U1485B-5H-CC-A,0,9.0,39.46,39.55,,silty sand [S54],silty sand,,5GY 2.5/1 (greenish black),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,B,5,H,CC,A,,,,
363-U1485B-5H-CC-A,9,34.0,39.55,39.8,nannofossil-bearing [X363],silty clay [S54],nannofossil-bearing silty clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,B,5,H,CC,A,,,,
363-U1485B-6H-1-A,0,13.0,39.9,40.03,,silty clay [S54],silty clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,B,6,H,1,A,,,,
363-U1485B-6H-1-A,13,18.0,40.03,40.08,,silty sand [S54],silty sand,,5GY 2.5/1 (greenish black),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,B,6,H,1,A,,,,
363-U1485B-6H-1-A,18,31.0,40.08,40.21,,silty clay [S54],silty clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,B,6,H,1,A,,,,
363-U1485B-6H-1-A,31,36.0,40.21,40.26,,silty sand [S54],silty sand,,5GY 2.5/1 (greenish black),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,B,6,H,1,A,,,,
363-U1485B-6H-1-A,36,61.0,40.26,40.51,,silty clay [S54],silty clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,B,6,H,1,A,,,,
363-U1485B-6H-1-A,61,67.0,40.51,40.57,,silty sand [S54],silty sand,,5GY 2.5/1 (greenish black),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,B,6,H,1,A,,,,
363-U1485B-6H-1-A,67,95.0,40.57,40.85,,silty clay [S54],silty clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,B,6,H,1,A,,,,
363-U1485B-6H-1-A,95,100.0,40.85,40.9,,silty sand [S54],silty sand,,5GY 2.5/1 (greenish black),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,B,6,H,1,A,,,,
363-U1485B-6H-1-A,100,111.0,40.9,41.01,,silty clay [S54],silty clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,B,6,H,1,A,,,,
363-U1485B-6H-2-A,0,29.0,41.04,41.33,,silty clay [S54],silty clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,B,6,H,2,A,,,,
363-U1485B-6H-2-A,29,34.0,41.33,41.38,,silty sand [S54],silty sand,,5GY 2.5/1 (greenish black),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,B,6,H,2,A,,,,
363-U1485B-6H-2-A,34,45.0,41.38,41.49,,silty clay [S54],silty clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,B,6,H,2,A,,,,
