Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology prefix,Principal lithology,Lithology suffix,Lithology name,Grain size max. [mm],Lithification,Lithification rank,Lithology [%],Lithology classification,Comment,File Data,Unnamed: 24
317-U1354C-3H-4-A,317,U1354,C,3,3-4,H,4,A,0,150,75.79,77.29,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,
317-U1354C-3H-5-A,317,U1354,C,3,3-5,H,5,A,0,84,77.29,78.13,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,
317-U1354C-4X-1-A,317,U1354,C,4,4-1,X,1,A,0,38,78.1,78.48,,Sandy Mud [S54-Leg183],,Sandy Mud,,firm,,,"Shepard, 1954 - Leg 183 revision","Sandy mud.  Mud is clay-rich.  Sand is moderately to poorly sorted, contains up to medium (L)-size grains (mostly bioclasts). The remainder of the sand is vf sand.  Very common shell fragments (Stiracolpus, Tawera) up to 1.5 cm in size (concentrated @7-8 cm).

12-15 cm Sandy marlstone concretion containing Crassostrea fragments (also at 28-30 cm).  Sharp contact at 38 cm.  Contains several well-rounded quartz pebbles ( up to 2.5 cm long) and bored carbonate fragment (1.5 cm long), which appears to be a fragment of the larger versions of this lithotype observed in sections higher in the hole.  Also common shell fragments are observed in this interval.  
",,
317-U1354C-4X-1-A,317,U1354,C,4,4-1,X,1,A,38,85,78.48,78.95,,Sandy Mud [S54-Leg183],,Sandy Mud,,firm,,,"Shepard, 1954 - Leg 183 revision","Calcareous sandy mud.  Sand is vf-f (mostly vf) and associated with burrows, which extended down to 92 cm from the contact at 38 cm.  Common shell fragments.  ",,
317-U1354C-4X-1-A,317,U1354,C,4,4-1,X,1,A,85,150,78.95,79.6,,Mud [S54-Leg210],,Mud,,firm,,,"Shepard, 1954 - Leg 210 revision","Calcareous mud with minor amount of sand (vf) and common shell fragments.
",,
317-U1354C-4X-2-A,317,U1354,C,4,4-2,X,2,A,0,150,79.6,81.1,,mud [S54-Leg210],,mud,,firm,,,"Shepard, 1954 - Leg 210 revision","Homogenous calcareous mud with minor amounts of vf, well-sorted sand, slightly micaceous.  Vf sand is more concentrated in burrows (up to 5 mm is size), which are more common in the upper 30 cm of the section.

More concentrated shell fragments in discrete layers.  These layers also contain poorly sorted sand mixed with shell fragments, with maximum size of fragment noted below in parentheses.
37-42 cm (3 mm max size)
86-88 cm( 2 mm max size)

Common shell fragments and whole Stiracolpus (gastropods)  throughout the remainder of section.
",,
317-U1354C-4X-3-A,317,U1354,C,4,4-3,X,3,A,0,140,81.1,82.5,,Mud [S54-Leg210],,Mud,,firm,,,"Shepard, 1954 - Leg 210 revision","Homogenous calcareous mud with trace/minor amounts of vf, well-sorted sand, slightly micaceous.  Vf sand is more concentrated in the upper 60 cm of the section.  A clay-rich interval is noted between 95-97.

More concentrated shell fragments in discrete layers.  These layers also contain poorly sorted sand mixed with shell fragments, with maximum size of fragment noted below in parentheses.
61-64 cm (3 mm max size), also contains a scaphopod (1 cm long)
80-81 cm( 3 mm max size)


Common to scattered shells from 0-80 cm; rare shell fragments 80-140 cm.",,
317-U1354C-4X-4-A,317,U1354,C,4,4-4,X,4,A,0,125,82.6,83.85,,Mud [S54-Leg210],,Mud,,firm,,,"Shepard, 1954 - Leg 210 revision","Homogenous calcareous mud with minor amount of vf, well-sorted sand, slightly micaceous.  Vf sand becomes more concentrated down section.  

Very common shell fragments (mostly Stiracolpus) below 30 cm.  Fragments up to 5 mm in size but in general are mostly just a few mm or less.",,
317-U1354C-4X-4-A,317,U1354,C,4,4-4,X,4,A,125,147,83.85,84.07,,Sandy Mud [S54-Leg183],,Sandy Mud,,firm,,,"Shepard, 1954 - Leg 183 revision","Homogenous calcareous sandy mud.  Sand is  vf, well-sorted sand, slightly micaceous.  ",,
317-U1354C-4X-CC-A,317,U1354,C,4,4-CC,X,CC,A,0,25,84.07,84.32,,Sandy Mud [S54-Leg183],,Sandy Mud,,firm,,,"Shepard, 1954 - Leg 183 revision","Homogenous calcareous sandy mud.  Sand is  vf, well-sorted sand, slightly micaceous.  ",,
317-U1354C-5X-1-A,317,U1354,C,5,5-1,X,1,A,0,32,82.3,82.62,,Sandy mud [S54-Leg183],,Sandy mud,,firm,,,"Shepard, 1954 - Leg 183 revision","Sandy mud.  Poorly sorted vf-med shelly sandy mud.  Shells dominated by broken bivalves and Stiracolpus.  Probably fall-in.  Gradational base.  Venerid bivalves at 5-8 and 20-38 cm.
",,
317-U1354C-5X-1-A,317,U1354,C,5,5-1,X,1,A,32,112,82.62,83.42,,muddy sand [S54-Leg183],,muddy sand,,firm,,,"Shepard, 1954 - Leg 183 revision","Muddy sand with gradational base.  Moderately sorted vf-medium (mostly fine) v shelly muddy sand.  Shells dominated by broken bivalves.  Sandier intervals with few shells.  Not certain if this is in place (but has the appearance of concrete mix.  Shell dissolution?).  At 89 to 112 cm, 10Y 5/1 < 2 cm diam vf to f sandy mud ?blebs? , could be burrows. 
",,
317-U1354C-5X-1-A,317,U1354,C,5,5-1,X,1,A,112,150,83.42,83.8,,mud [S54-Leg210],,mud,,firm,,,"Shepard, 1954 - Leg 210 revision","Very calcareous mud with a few % micaceous vf to f sand.  Shells scattered throughout, including Stiracolpus, but mostly are finely broken fragments.",,
317-U1354C-5X-2-A,317,U1354,C,5,5-2,X,2,A,0,94,83.8,84.74,,marl [Leg210],,marl,,firm,,,Leg 210,"Shelly sandy marl. Contains vf to f (mostly f) sand.  Mesopeplum at 52 cm.  Gradational upward into more muddy marl.  Calcareous nodules common, e.g., 26-27 cm, 38-42 cm, 51-53 cm, 77-80 cm.
",,
317-U1354C-5X-2-A,317,U1354,C,5,5-2,X,2,A,94,108,84.74,84.88,,marl [Leg210],,marl,,firm,,,Leg 210,"Moderately sorted vf-med (mostly fine) sandy marl with incipient calcareous concretions.  Shells broken. 
",,
317-U1354C-5X-2-A,317,U1354,C,5,5-2,X,2,A,108,116,84.88,84.96,,marl [Leg210],,marl,,firm,,,Leg 210,Moderately sorted vf-medium (mostly f) shelly marl with Stiracoplus gastropods.,,
317-U1354C-5X-2-A,317,U1354,C,5,5-2,X,2,A,116,118,84.96,84.98,,Very fine-fine sand [S54-W22],,Very fine-fine sand,,firm,,,"Shepard, 1954; Wentworth, 1922","well sorted, vf-f (mostly f) micaceous gray sand.  Gradational base. ",,
317-U1354C-5X-2-A,317,U1354,C,5,5-2,X,2,A,118,122,84.98,85.02,,mud [S54-Leg210],,mud,,firm,,,"Shepard, 1954 - Leg 210 revision","vf sandy clayey mud, sharp basal contact.  122-125.  Poorly sorted, vf-coarse shelly sand",,
317-U1354C-5X-2-A,317,U1354,C,5,5-2,X,2,A,122,125,85.02,85.05,,Medium-coarse sand [S54-W22],,Medium-coarse sand,,firm,,,"Shepard, 1954; Wentworth, 1922",poorly sorted vf-coarse shelly sand,,
317-U1354C-5X-2-A,317,U1354,C,5,5-2,X,2,A,125,150,85.05,85.3,,marl [Leg210],,marl,,firm,,,Leg 210,"vf to med sandy marl with abundant broken shells including Maorricolpus.
",,
317-U1354C-5X-3-A,317,U1354,C,5,5-3,X,3,A,0,7,85.3,85.37,,Marl [Leg210],,Marl,,firm,,,Leg 210,"mod sorted vf-med (mostly fine) shelly sandy marl with venerids and Stiracolpus.  Burrowed basal contact; burrows extend down to 28 cm.
",,
317-U1354C-5X-3-A,317,U1354,C,5,5-3,X,3,A,7,114,85.37,86.44,,Mud [S54-Leg210],,Mud,,firm,,,"Shepard, 1954 - Leg 210 revision","Mud with a few % vf sand.  Rare scattered shells (e.g., 56 cm).  Slightly calcareous and micaceous.  Also contains numerous gray (N5) clay-rich mud layers, increasing in abundance from 100 cm (esp. 100-107 cm in sec 3).  Beds up to 2 cm thick
",,
317-U1354C-5X-CC-A,317,U1354,C,5,5-CC,X,CC,A,0,29,86.54,86.83,,Mud [S54-Leg210],,Mud,,firm,,,"Shepard, 1954 - Leg 210 revision","Mud with a few % vf sand.  Rare scattered shells (e.g., 56 cm).  Slightly calcareous and micaceous.  Also contains numerous gray (N5) clay-rich mud layers, increasing in abundance from 100 cm (esp. 100-107 cm in sec 3).  Beds up to 2 cm thick
",,
317-U1354C-6X-1-A,317,U1354,C,6,6-1,X,1,A,0,85,91.9,92.75,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,
317-U1354C-6X-1-A,317,U1354,C,6,6-1,X,1,A,85,150,92.75,93.4,,Shell bed,,Shell bed,,,,,Expedition 317,,,
317-U1354C-6X-2-A,317,U1354,C,6,6-2,X,2,A,0,47,93.4,93.87,,Shell bed,,Shell bed,,,,,Expedition 317,,,
317-U1354C-6X-2-A,317,U1354,C,6,6-2,X,2,A,47,150,93.87,94.9,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,
317-U1354C-6X-3-A,317,U1354,C,6,6-3,X,3,A,0,150,94.9,96.4,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,
317-U1354C-6X-4-A,317,U1354,C,6,6-4,X,4,A,0,25,96.4,96.65,,Marl [Leg210],,Marl,,,,,Leg 210,shelly sandy marl (s.s. data),,
317-U1354C-6X-4-A,317,U1354,C,6,6-4,X,4,A,25,89,96.65,97.29,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",calcareous silty mud,,
317-U1354C-6X-CC-A,317,U1354,C,6,6-CC,X,CC,A,0,30,97.37,97.67,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,
317-U1354C-6X-CC-A,317,U1354,C,6,6-CC,X,CC,A,30,35,97.67,97.72,,Muddy Sand [S54-Leg183],,Muddy Sand,,,,,"Shepard, 1954 - Leg 183 revision",,,
317-U1354C-7X-1-A,317,U1354,C,7,7-1,X,1,A,0,150,101.5,103.0,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,
317-U1354C-7X-2-A,317,U1354,C,7,7-2,X,2,A,0,140,103.0,104.4,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,
317-U1354C-7X-3-A,317,U1354,C,7,7-3,X,3,A,0,135,104.5,105.85,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,
317-U1354C-8X-1-A,317,U1354,C,8,8-1,X,1,A,0,35,106.5,106.85,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",calcareous silty mud,,
317-U1354C-8X-1-A,317,U1354,C,8,8-1,X,1,A,35,50,106.85,107.0,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",calcareous silty mud,,
317-U1354C-8X-1-A,317,U1354,C,8,8-1,X,1,A,50,75,107.0,107.25,,Marl [Leg210],,Marl,,,,,Leg 210,v.f. sandy marl,,
317-U1354C-8X-1-A,317,U1354,C,8,8-1,X,1,A,75,100,107.25,107.5,,Marl [Leg210],,Marl,,,,,Leg 210,v.f. sandy marl,,
317-U1354C-8X-1-A,317,U1354,C,8,8-1,X,1,A,100,150,107.5,108.0,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",calcareous silty mud,,
317-U1354C-8X-2-A,317,U1354,C,8,8-2,X,2,A,0,150,108.0,109.5,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",calcareous silty mud,,
317-U1354C-8X-3-A,317,U1354,C,8,8-3,X,3,A,0,95,109.5,110.45,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",calcareous silty mud,,
317-U1354C-8X-3-A,317,U1354,C,8,8-3,X,3,A,95,110,110.45,110.6,,Muddy Sand [S54-Leg183],,Muddy Sand,,,,,"Shepard, 1954 - Leg 183 revision",,,
317-U1354C-8X-4-A,317,U1354,C,8,8-4,X,4,A,0,60,110.7,111.3,,Marl [Leg210],,Marl,,,,,Leg 210,v.f. sandy marl,,
317-U1354C-8X-CC-A,317,U1354,C,8,8-CC,X,CC,A,0,15,111.32,111.47,,Marl [Leg210],,Marl,,,,,Leg 210,v.f. sandy marl,,
317-U1354C-8X-CC-A,317,U1354,C,8,8-CC,X,CC,A,15,24,111.47,111.56,,Marl [Leg210],,Marl,,,,,Leg 210,glauconitic shelly v.f. sandy marl,,
317-U1354C-9X-1-A,317,U1354,C,9,9-1,X,1,A,0,150,116.1,117.6,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",homogeneous mud,,
317-U1354C-9X-2-A,317,U1354,C,9,9-2,X,2,A,0,15,117.6,117.75,,Marl [Leg210],,Marl,,,,,Leg 210,v.f. sandy mud with bioclast medium to 3 mm size,,
317-U1354C-9X-2-A,317,U1354,C,9,9-2,X,2,A,15,150,117.75,119.1,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",homogeneous mud,,
317-U1354C-9X-3-A,317,U1354,C,9,9-3,X,3,A,0,140,119.1,120.5,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",homogeneous mud,,
317-U1354C-9X-4-A,317,U1354,C,9,9-4,X,4,A,0,30,120.6,120.9,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",homogeneous mud,,
317-U1354C-9X-4-A,317,U1354,C,9,9-4,X,4,A,30,116,120.9,121.76,,Marl [Leg210],,Marl,,,,,Leg 210,,,
317-U1354C-9X-4-A,317,U1354,C,9,9-4,X,4,A,116,126,121.76,121.86,,Marl [Leg210],,Marl,,,,,Leg 210,Shelly v.f. sandy mud,,
317-U1354C-9X-CC-A,317,U1354,C,9,9-CC,X,CC,A,0,30,121.86,122.16,,Muddy Sand [S54-Leg183],,Muddy Sand,,,,,"Shepard, 1954 - Leg 183 revision",Muddy v.f. sand,,
317-U1354C-10X-1-A,317,U1354,C,10,10-1,X,1,A,0,10,125.6,125.7,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",calcareous silty mud,,
317-U1354C-10X-1-A,317,U1354,C,10,10-1,X,1,A,10,90,125.7,126.5,,Marl [Leg210],,Marl,,,,,Leg 210,"v.f. sandy marl, biogenic clast (medium sand to 10 mm size)",,
317-U1354C-10X-1-A,317,U1354,C,10,10-1,X,1,A,90,140,126.5,127.0,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",calcareous silty mud,,
317-U1354C-10X-1-A,317,U1354,C,10,10-1,X,1,A,140,150,127.0,127.1,,Marl [Leg210],,Marl,,,,,Leg 210,v.f. sandy marl,,
317-U1354C-10X-2-A,317,U1354,C,10,10-2,X,2,A,0,150,127.1,128.6,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",calcareous silty mud,,
317-U1354C-10X-3-A,317,U1354,C,10,10-3,X,3,A,0,150,128.6,130.1,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",calcareous silty mud,,
317-U1354C-10X-4-A,317,U1354,C,10,10-4,X,4,A,0,85,130.1,130.95,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",calcareous silty mud,,
317-U1354C-10X-4-A,317,U1354,C,10,10-4,X,4,A,85,120,130.95,131.3,,Marl [Leg210],,Marl,,,,,Leg 210,calcareous silty mud,,
317-U1354C-10X-4-A,317,U1354,C,10,10-4,X,4,A,85,120,130.95,131.3,,,,,,,,,,v.f. sandy marl,,
317-U1354C-10X-4-A,317,U1354,C,10,10-4,X,4,A,120,140,131.3,131.5,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",v.f. sandy marl,,
317-U1354C-10X-4-A,317,U1354,C,10,10-4,X,4,A,120,140,131.3,131.5,,,,,,,,,,calcareous silty mud,,
317-U1354C-10X-5-A,317,U1354,C,10,10-5,X,5,A,0,75,131.6,132.35,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision",v.f. calcareous sandy  mud,,
317-U1354C-10X-5-A,317,U1354,C,10,10-5,X,5,A,75,145,132.35,133.05,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",calcareous silty mud,,
317-U1354C-10X-CC-A,317,U1354,C,10,10-CC,X,CC,A,0,30,133.05,133.35,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",calcareous silty mud,,
317-U1354C-11X-1-A,317,U1354,C,11,11-1,X,1,A,0,150,135.1,136.6,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",homogeneous mud (silt),,
317-U1354C-11X-2-A,317,U1354,C,11,11-2,X,2,A,0,150,136.6,138.1,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",homogeneous mud (silt),,
317-U1354C-11X-3-A,317,U1354,C,11,11-3,X,3,A,0,150,138.1,139.6,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",homogeneous mud (silt),,
317-U1354C-11X-4-A,317,U1354,C,11,11-4,X,4,A,0,150,139.6,141.1,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",homogeneous mud (silt),,
317-U1354C-11X-5-A,317,U1354,C,11,11-5,X,5,A,0,90,141.1,142.0,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",homogeneous mud (silt),,
317-U1354C-11X-5-A,317,U1354,C,11,11-5,X,5,A,90,139,142.0,142.49,,Marl [Leg210],,Marl,,,,,Leg 210,v.f. sandy marl,,
317-U1354C-11X-6-A,317,U1354,C,11,11-6,X,6,A,0,100,142.6,143.6,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",homogeneous mud (silt),,
317-U1354C-11X-7-A,317,U1354,C,11,11-7,X,7,A,0,96,143.6,144.56,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",homogeneous mud (silt),,
317-U1354C-11X-CC-A,317,U1354,C,11,11-CC,X,CC,A,0,39,144.56,144.95,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",homogeneous mud (silt),,
317-U1354C-12X-1-A,317,U1354,C,12,12-1,X,1,A,0,110,144.7,145.8,,Marl [Leg210],,Marl,,,,,Leg 210,,,
317-U1354C-12X-1-A,317,U1354,C,12,12-1,X,1,A,110,150,145.8,146.2,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,
317-U1354C-12X-2-A,317,U1354,C,12,12-2,X,2,A,0,150,146.2,147.7,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,
317-U1354C-12X-3-A,317,U1354,C,12,12-3,X,3,A,0,150,147.7,149.2,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,
317-U1354C-12X-4-A,317,U1354,C,12,12-4,X,4,A,0,150,149.2,150.7,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,
317-U1354C-12X-5-A,317,U1354,C,12,12-5,X,5,A,0,90,150.7,151.6,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,
317-U1354C-12X-6-A,317,U1354,C,12,12-6,X,6,A,0,90,151.7,152.6,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,
317-U1354C-12X-CC-A,317,U1354,C,12,12-CC,X,CC,A,0,36,152.57,152.93,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,
317-U1354C-13X-1-A,317,U1354,C,13,13-1,X,1,A,0,41,154.3,154.71,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",clay-rich mud; homogeneous,,
317-U1354C-13X-1-A,317,U1354,C,13,13-1,X,1,A,41,70,154.71,155.0,,Clay [S54] ,,Clay,,,,,,homogeneous,,
317-U1354C-13X-1-A,317,U1354,C,13,13-1,X,1,A,70,150,155.0,155.8,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",clay-rich mud; homogeneous-mottled,,
317-U1354C-13X-2-A,317,U1354,C,13,13-2,X,2,A,0,150,155.8,157.3,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",clay-rich mud; homogeneous-mottled,,
317-U1354C-13X-3-A,317,U1354,C,13,13-3,X,3,A,0,150,157.3,158.8,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",clay-rich mud; homogeneous-mottled,,
317-U1354C-13X-4-A,317,U1354,C,13,13-4,X,4,A,0,82,158.8,159.62,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",clay-rich mud; homogeneous-mottled,,
317-U1354C-13X-4-A,317,U1354,C,13,13-4,X,4,A,82,94,159.62,159.74,,Muddy Sand [S54-Leg183],,Muddy Sand,,,,,"Shepard, 1954 - Leg 183 revision","muddy shelly bioclastic sand and v.f.-f.sand; fining-u, with bivalve shell fragments <5mm ",,
317-U1354C-13X-4-A,317,U1354,C,13,13-4,X,4,A,94,140,159.74,160.2,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",clay-rich mud; homogeneous-mottled highly bioturbated.,,
317-U1354C-13X-5-A,317,U1354,C,13,13-5,X,5,A,0,55,160.3,160.85,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",clay-rich mud; homogeneous-mottled highly bioturbated.,,
317-U1354C-13X-5-A,317,U1354,C,13,13-5,X,5,A,55,95,160.85,161.25,,Muddy Sand [S54-Leg183],,Muddy Sand,,,,,"Shepard, 1954 - Leg 183 revision",poorly-sorted shelly muddy  v.f.-m.sand; with shell fragments <5mm ,,
317-U1354C-13X-5-A,317,U1354,C,13,13-5,X,5,A,95,115,161.25,161.45,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision",poorly-sorted shelly v.f.-m.sandy mud; with shell fragments <5mm ,,
317-U1354C-13X-5-A,317,U1354,C,13,13-5,X,5,A,115,150,161.45,161.8,,Muddy Sand [S54-Leg183],,Muddy Sand,,,,,"Shepard, 1954 - Leg 183 revision",poorly-sorted shelly muddy  v.f.-m.sand; with shell fragments <5mm ,,
317-U1354C-13X-6-A,317,U1354,C,13,13-6,X,6,A,0,91,161.8,162.71,,Muddy Sand [S54-Leg183],,Muddy Sand,,,,,"Shepard, 1954 - Leg 183 revision",poorly-sorted shelly muddy  v.f.-m.sand; with shell fragments <5mm ,,
317-U1354C-13X-CC-A,317,U1354,C,13,13-CC,X,CC,A,0,30,162.71,163.01,,Muddy Sand [S54-Leg183],,Muddy Sand,,,,,"Shepard, 1954 - Leg 183 revision",poorly-sorted shelly muddy  v.f.-m.sand; with shell fragments <5mm ,,
317-U1354C-14X-1-A,317,U1354,C,14,14-1,X,1,A,0,32,163.9,164.22,,Mud [S54-Leg210],,Mud,,soft,,,"Shepard, 1954 - Leg 210 revision","clay-rich mud with intercalated normally graded sand laminations.  Each lamination has a sharp base and is composed of vf-f (mostly f) well sorted dark gray sand, slightly micaceous, and of possible Torlesse provenance. ",,
317-U1354C-14X-1-A,317,U1354,C,14,14-1,X,1,A,32,132,164.22,165.22,,Mud [S54-Leg210],,Mud,,soft,,,"Shepard, 1954 - Leg 210 revision","Slightly sandy mud with a trace to minor % vf-f (mostly vf), well sorted slightly micaceous sand. Sand is both disseminated in the mud and more concentrated into burrows that are mostly a few mm in diameter but up to 2 cm (46-47 cm in section 1).   It contains rare scattered, broken shell fragments (mostly bivalve), but includes larger fragments of barnacles and Chlamys del. (?).  ",,
317-U1354C-14X-2-A,317,U1354,C,14,14-2,X,2,A,0,84,165.32,166.16,,Mud [S54-Leg210],,Mud,,soft,,,"Shepard, 1954 - Leg 210 revision","Slightly sandy mud with a trace to minor % vf-f (mostly vf), well sorted slightly micaceous sand. Sand is both disseminated in the mud and more concentrated into burrows that are mostly a few mm in diameter but up to 2 cm (46-47 cm in section 1).   It contains rare scattered, broken shell fragments (mostly bivalve), but includes larger fragments of barnacles and Chlamys del. (?).  ",,
