Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,MAJ Lith. prefix+name+suffix [read only],Amount of ash in lithology,Amount of ash in lithology rank [read only],Sed. structures,MAJ Lith. color,Bioturbation intensity,Bioturbation intensity rank [read only],Clast abundance,Number of clasts (>2mm),Clast 1 igneous -  grain size,Clast 1 igneous -  roundness,Clast 2 sediment - grain size,Clast 2 sediment - roundness,Clast 3 metamorphic - grain size,Clast 3 metamorphic - roundness,Macrofossil,Diagenetic constituent,Diagenetic constituent composition,General interval comment,Bottom contact or boundary type,Bottom contact geometry,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix
341-U1418B-1H-4-A,20.0,23.0,4.7,4.73,,interbedded silt(stone) and mud(stone) [McKW53],,interbedded silt(stone) and mud(stone) ,,,,N 4 (dark gray),none [DB86],0.0,absent [A79],,,,,,,,,,,silts: thinly laminated @ 0.5cm intervals,,,,,,341,U1418,B,1,H,4,A,,,
341-U1418B-1H-4-A,23.0,150.0,4.73,6.0,,mud [Leg210],,mud ,,,,N 4 (dark gray),none [DB86],0.0,absent [A79],,,,,,,,,,,"5 faint thinly laminated silt beds, but very disturbed by soupiness (@>15cm intervals);
23-34cm: sand patch (N 3) (6 x 3cm), disturbed
",,,,,,341,U1418,B,1,H,4,A,,,
341-U1418B-1H-5-A,0.0,139.0,6.0,7.39,,mud [Leg210],,mud ,,,,N 4 (dark gray),none [DB86],0.0,absent [A79],,,,,,,,,,,"18-23cm: sand patch (N 3) (~5 x 2cm), disturbed;
63-139cm: faint green/gray color bands",,,,,,341,U1418,B,1,H,5,A,,,
341-U1418B-1H-5-A,139.0,141.0,7.39,7.41,,,,,,,,,,,,,,,,,,,,,,VOID,,,,,,341,U1418,B,1,H,5,A,,,
341-U1418B-1H-5-A,141.0,146.0,7.41,7.46,,,,,,,,,,,,,,,,,,,,,,IW,,,,,,341,U1418,B,1,H,5,A,,,
341-U1418B-1H-CC-A,0.0,6.0,7.46,7.52,,mud [Leg210],,mud ,,,,N 4 (dark gray),none [DB86],0.0,absent [A79],,,,,,,,,,,,,,,,,341,U1418,B,1,H,CC,A,,,
341-U1418B-1H-CC-A,6.0,11.0,7.52,7.57,,,,,,,,,,,,,,,,,,,,,,PAL,,,,,,341,U1418,B,1,H,CC,A,,,
341-U1418B-2H-1-A,0.0,137.0,7.5,8.87,,mud [Leg210],,mud ,,,color banding,N 4 (dark gray),none [DB86],0.0,absent [A79],,,,,,,,,,,"faint green color bands;
41,66-68,128cm: black mottling;
very faint thin laminated beds - most likely silt - but destroyed by drilling",,,,,,341,U1418,B,2,H,1,A,,,
341-U1418B-2H-1-A,137.0,145.0,8.87,8.95,,,,,,,,,,,,,,,,,,,,,,VOID,,,,,,341,U1418,B,2,H,1,A,,,
341-U1418B-2H-1-A,145.0,150.0,8.95,9.0,,,,,,,,,,,,,,,,,,,,,,IW,,,,,,341,U1418,B,2,H,1,A,,,
341-U1418B-2H-2-A,0.0,146.0,9.0,10.46,,mud [Leg210],,mud ,,,color banding,N 4 (dark gray),none [DB86],0.0,present [A79],2.0,,,,,,,,,,faint green color bands,,,,,,341,U1418,B,2,H,2,A,,,
341-U1418B-2H-2-A,146.0,150.0,10.46,10.5,,,,,,,,,,,,,,,,,,,,,,VOID,,,,,,341,U1418,B,2,H,2,A,,,
341-U1418B-2H-3-A,0.0,85.0,10.5,11.35,,mud [Leg210],,mud ,,,color banding,N 4 (dark gray),none [DB86],0.0,absent [A79],,,,,,,,,,,faint green color bands,gradational contact,,,,,341,U1418,B,2,H,3,A,,,
341-U1418B-2H-3-A,85.0,133.0,11.35,11.83,,interbedded silt(stone) and mud(stone) [McKW53],,interbedded silt(stone) and mud(stone) ,,,color banding,10Y 4/1 (dark greenish gray),none [DB86],0.0,absent [A79],,,,,,,,,,,"gray color bands;
silts: thinly laminated, @ 0.5 to 5 cm interval, thicker beds are normally graded",,,,,,341,U1418,B,2,H,3,A,,,
341-U1418B-2H-3-A,133.0,144.0,11.83,11.94,,mud [Leg210],with silt [Leg339],mud  with silt ,,,,10Y 4/1 (dark greenish gray),none [DB86],0.0,absent [A79],,,,,,,,,,,,,,,,,341,U1418,B,2,H,3,A,,,
341-U1418B-2H-3-A,144.0,145.0,11.94,11.95,,,,,,,,,,,,,,,,,,,,,,VOID,,,,,,341,U1418,B,2,H,3,A,,,
341-U1418B-2H-3-A,145.0,150.0,11.95,12.0,,,,,,,,,,,,,,,,,,,,,,IW,,,,,,341,U1418,B,2,H,3,A,,,
341-U1418B-2H-4-A,0.0,66.0,12.0,12.66,,mud [Leg210],with silt [Leg339],mud  with silt ,,,,N 4 (dark gray),,,,,,,,,,,,,,faint colour banding N4 (common) N3 (rare),,,,,,341,U1418,B,2,H,4,A,,,
341-U1418B-2H-4-A,66.0,90.0,12.66,12.9,,interbedded silt(stone) and mud(stone) [McKW53],,interbedded silt(stone) and mud(stone) ,,,,N 4 (dark gray),,,present [A79],1.0,,,,,pebble [W22_2],subrounded,,,,"1 quarzite clast 4 cm at 88 cm; 7 silt laminae, mud 6 cm or less",,,,,,341,U1418,B,2,H,4,A,,,
341-U1418B-2H-4-A,90.0,118.0,12.9,13.18,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,"7 silt laminae, mud 5 cm or less",,,,,,341,U1418,B,2,H,4,A,,,
341-U1418B-2H-4-A,118.0,150.0,13.18,13.5,,interbedded silt(stone) and mud(stone) [McKW53],,interbedded silt(stone) and mud(stone) ,,,,N 4 (dark gray),,,,,,,,,,,,,,,,,,,,341,U1418,B,2,H,4,A,,,
341-U1418B-2H-5-A,0.0,76.0,13.5,14.26,,interbedded silt(stone) and mud(stone) [McKW53],,interbedded silt(stone) and mud(stone) ,,,,N 4 (dark gray),,,,,,,,,,,,,,"19 silt laminae, mud 10 cm or less",,,,,,341,U1418,B,2,H,5,A,,,
341-U1418B-2H-5-A,76.0,105.0,14.26,14.55,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,,,,,,,341,U1418,B,2,H,5,A,,,
341-U1418B-2H-5-A,105.0,145.0,14.55,14.95,,interbedded silt(stone) and mud(stone) [McKW53],,interbedded silt(stone) and mud(stone) ,,,,N 4 (dark gray),,,,,,,,,,,,,,"10 silt laminae, mud 5 cm or less",,,,,,341,U1418,B,2,H,5,A,,,
341-U1418B-2H-5-A,145.0,150.0,14.95,15.0,,,,,,,,,,,,,,,,,,,,,,IW,,,,,,341,U1418,B,2,H,5,A,,,
341-U1418B-2H-6-A,0.0,125.0,15.0,16.25,,interbedded silt(stone) and mud(stone) [McKW53],,interbedded silt(stone) and mud(stone) ,,,,N 4 (dark gray),,,,,,,,,,,,,,"42 silt laminae, mud 10 cm or less",,,,,,341,U1418,B,2,H,6,A,,,
341-U1418B-2H-7-A,0.0,47.0,16.25,16.72,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,,,,,,,341,U1418,B,2,H,7,A,,,
341-U1418B-2H-7-A,47.0,60.0,16.72,16.85,,interbedded silt(stone) and mud(stone) [McKW53],,interbedded silt(stone) and mud(stone) ,,,,N 4 (dark gray),,,,,,,,,,,,,,"5 silt laminae, mud 3 cm or less",,,,,,341,U1418,B,2,H,7,A,,,
341-U1418B-2H-CC-A,0.0,11.0,16.85,16.96,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,,,,,,,341,U1418,B,2,H,CC,A,,,
341-U1418B-2H-CC-A,11.0,16.0,16.96,17.01,,,,,,,,,,,,,,,,,,,,,,PAL,,,,,,341,U1418,B,2,H,CC,A,,,
