Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),MAJ Lith. Prefix,MAJ Lith. Principal name,MAJ Lith. Suffix,MAJ Lith. prefix+name+suffix [read only],TEPHRA type,Sediment structures,MAJ lith color (simple),MAJ Lith. color,MAJ Lith. abundance [%],MAJ Lith. ave. grain size ,MAJ Lith. ave. grain size rank [read only],MAJ Lith. max. grain size,MAJ Lith. max. grain size rank [read only],MAJ lithology comment,MIN Lith. Prefix,MIN Lith. Principal name,MIN Lith. Suffix,MIN Lith. prefix + name,MIN Lith. prefix+name+suffix,MIN Lith. name+suffix,MIN lith color (simple),MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,MIN lithology comment,Lith. abundance sum [%],Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Layer or bedding thickness,Grading,Amount of ash in lithology,Amount of ash in lithology rank [read only],Sedimentary structure comment,Bioturbation intensity,Bioturbation intensity rank [read only],Diagenetic structure,Macrofossil,General interval comment,Ship File Links,Shore File Links,File Data
355-U1456A-1H-3-A,50,123,3.5,4.23,,,nannofossil ooze,with clay,nannofossil ooze with clay,,,light gray,GLEY 1 6/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,gradational,gradational,horizontal,thickly bedded,,,,,,,,,,,,
355-U1456A-1H-3-A,123,132,4.23,4.32,,,calcareous ooze,with foraminifers,calcareous ooze with foraminifers,,,light gray,GLEY 1 7/10Y (light greenish grey),,,,,,,,,,,,,,,,,,,,,,,,,medium bedded,normally graded,,,,,,,,,,,
355-U1456A-1H-CC-A,0,18,4.32,4.5,,,nannofossil ooze,with clay,nannofossil ooze with clay,,,,GLEY 1 7/10Y (light greenish grey),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355-U1456A-2H,0,590,4.5,10.4,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355-U1456A-2H-1-A,0,78,4.5,5.28,,foraminifer rich,nannofossil ooze,with clay,foraminifer rich nannofossil ooze with clay,,,light gray,GLEY 1 7/10Y (light greenish grey),,,,,,,,,,,,,,,,,,,,,,planar,sharp,sub-horizontal,medium bedded,normally graded,,,,,,,,,,,
355-U1456A-2H-1-A,78,138,5.28,5.88,,foraminifer rich,nannofossil ooze,with clay,foraminifer rich nannofossil ooze with clay,,,dark gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,medium bedded,,,,,,,,,,,,
355-U1456A-2H-1-A,138,150,5.88,6,,foraminifer rich,nannofossil ooze,with clay,foraminifer rich nannofossil ooze with clay,,,dark gray,GLEY 1 6/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355-U1456A-2H-2-A,0,21,6,6.21,,foraminifer rich,nannofossil ooze,,foraminifer rich nannofossil ooze,,,dark gray,GLEY 1 6/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,thinly bedded,normally graded,,,,,,,,,,,
355-U1456A-2H-2-A,21,28,6.21,6.28,,,nannofossil ooze,,nannofossil ooze,,,light gray,GLEY 1 7/10Y (light greenish grey),,,,,,,,,,,,,,,,,,,,,,planar,sharp,,,,,,,,,,,,,,
355-U1456A-2H-2-A,28,54,6.28,6.54,,,clay,with nannofossils,clay with nannofossils,,,dark gray,GLEY 1 6/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,gradational,gradational,horizontal,thinly bedded,normally graded,,,,,,,,,,,
355-U1456A-2H-2-A,54,94,6.54,6.94,,foraminifer rich,nannofossil ooze,,foraminifer rich nannofossil ooze,,,light gray,GLEY 1 7/10Y (light greenish grey),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,medium bedded,normally graded,,,,,,,,,,,
355-U1456A-2H-2-A,94,130,6.94,7.3,,,nannofossil ooze,with clay,nannofossil ooze with clay,,,light gray,GLEY 1 6/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,thickly bedded,,,,,,,,,,,,
355-U1456A-2H-2-A,130,150,7.3,7.5,,foraminifer rich,nannofossil ooze,,foraminifer rich nannofossil ooze,,mottling,light gray,GLEY 1 6/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355-U1456A-2H-3-A,0,13,7.5,7.63,,foraminifer rich,nannofossil ooze,,foraminifer rich nannofossil ooze,,,light gray,GLEY 1 6/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,thinly bedded,normally graded,,,,,,,,,,,
355-U1456A-2H-3-A,13,54,7.63,8.04,,foraminifer rich,nannofossil ooze,with clay,foraminifer rich nannofossil ooze with clay,,,light gray,GLEY 1 6/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,thinly bedded,normally graded,,,,,,,,,,,
355-U1456A-2H-3-A,54,140,8.04,8.9,,,nannofossil ooze,,nannofossil ooze,,burrows,white,GLEY 1 8/N (white gray),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355-U1456A-2H-4-A,0,45,9,9.45,,,nannofossil ooze,,nannofossil ooze,,,white,GLEY 1 8/N (white gray),,,,,,,,,,,,,,,,,,,,,,gradational,gradational,horizontal,medium bedded,,,,,,,,,,,,
355-U1456A-2H-4-A,45,64,9.45,9.64,,,clay,with nannofossils,clay with nannofossils,,,dark gray,GLEY 1 6/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,thinly bedded,normally graded,,,,,,,,,,,
355-U1456A-2H-4-A,64,122,9.64,10.22,,foraminifer rich,nannofossil ooze,,foraminifer rich nannofossil ooze,,,light gray,GLEY 1 6/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355-U1456A-2H-CC-A,0,13,10.22,10.35,,foraminifer rich,nannofossil ooze,,foraminifer rich nannofossil ooze,,,light gray,GLEY 1 6/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shell,,,,
355-U1456A-3H,0,939,14,23.39,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355-U1456A-3H-1-A,0,150,14,15.5,,foraminifer rich,nannofossil ooze,with clay,foraminifer rich nannofossil ooze with clay,,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,medium bedded,normally graded,,,,,,,,,,,
355-U1456A-3H-2-A,0,150,15.5,17,,foraminifer rich,nannofossil ooze,with clay,foraminifer rich nannofossil ooze with clay,,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,medium bedded,normally graded,,,,,,,,,,,
355-U1456A-3H-3-A,0,52,17,17.52,,foraminifer rich,nannofossil ooze,with clay,foraminifer rich nannofossil ooze with clay,,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,medium bedded,normally graded,,,,,,,,,,,
355-U1456A-3H-3-A,52,63,17.52,17.63,,silty,nannofossil ooze,with clay,silty nannofossil ooze with clay,,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,thinly bedded,normally graded,,,,,,,,,,,
355-U1456A-3H-3-A,63,92,17.63,17.92,,foraminifer rich,nannofossil ooze,with clay,foraminifer rich nannofossil ooze with clay,,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,medium bedded,normally graded,,,,,,,,,,,
355-U1456A-3H-3-A,92,99,17.92,17.99,,silty,nannofossil ooze,with clay,silty nannofossil ooze with clay,,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,thinly bedded,normally graded,,,,,,,,,,,
355-U1456A-3H-3-A,99,129,17.99,18.29,,foraminifer rich,nannofossil ooze,with clay,foraminifer rich nannofossil ooze with clay,,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,medium bedded,normally graded,,,,,,,,,,,
355-U1456A-3H-3-A,129,140,18.29,18.4,,silty,nannofossil ooze,with clay,silty nannofossil ooze with clay,,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,medium bedded,normally graded,,,,,,,,,,,
355-U1456A-3H-3-A,140,150,18.4,18.5,,foraminifer rich,nannofossil ooze,with clay,foraminifer rich nannofossil ooze with clay,,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,medium bedded,normally graded,,,,,,,,,,,
355-U1456A-3H-4-A,0,33,18.5,18.83,,foraminifer rich,nannofossil ooze,with clay,foraminifer rich nannofossil ooze with clay,,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,medium bedded,normally graded,,,,,,,,,,,
355-U1456A-3H-4-A,33,44,18.83,18.94,,silty,nannofossil ooze,with clay,silty nannofossil ooze with clay,,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,medium bedded,normally graded,,,,,,,,,,,
355-U1456A-3H-4-A,44,52,18.94,19.02,,foraminifer rich,nannofossil ooze,with clay,foraminifer rich nannofossil ooze with clay,,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,medium bedded,normally graded,,,,,,,,,,,
355-U1456A-3H-4-A,52,58,19.02,19.08,,silty,nannofossil ooze,with clay,silty nannofossil ooze with clay,,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,thinly bedded,normally graded,,,,,,,,,,,
355-U1456A-3H-4-A,58,83,19.08,19.33,,foraminifer rich,nannofossil ooze,with clay,foraminifer rich nannofossil ooze with clay,,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,medium bedded,normally graded,,,,,,,,,,,
355-U1456A-3H-4-A,83,87,19.33,19.37,,silty,nannofossil ooze,with clay,silty nannofossil ooze with clay,,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,thinly bedded,normally graded,,,,,,,,,,,
355-U1456A-3H-4-A,87,117,19.37,19.67,,foraminifer rich,nannofossil ooze,with clay,foraminifer rich nannofossil ooze with clay,,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,medium bedded,normally graded,,,,,,,,,,,
355-U1456A-3H-4-A,117,122,19.67,19.72,,silty,nannofossil ooze,with clay,silty nannofossil ooze with clay,,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,thinly bedded,normally graded,,,,,,,,,,,
355-U1456A-3H-4-A,122,137,19.72,19.87,,foraminifer rich,nannofossil ooze,with clay,foraminifer rich nannofossil ooze with clay,,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,medium bedded,normally graded,,,,,,,,,,,
355-U1456A-3H-4-A,137,143,19.87,19.93,,silty,nannofossil ooze,with clay,silty nannofossil ooze with clay,,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,thinly bedded,normally graded,,,,,,,,,,,
355-U1456A-3H-4-A,143,150,19.93,20,,foraminifer rich,nannofossil ooze,with clay,foraminifer rich nannofossil ooze with clay,,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,medium bedded,normally graded,,,,,,,,,,,
355-U1456A-3H-5-A,0,15,20,20.15,,foraminifer rich,nannofossil ooze,with clay,foraminifer rich nannofossil ooze with clay,,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,medium bedded,normally graded,,,,,,,,,,,
355-U1456A-3H-5-A,15,18,20.15,20.18,,silty,nannofossil ooze,with clay,silty nannofossil ooze with clay,,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,thinly bedded,normally graded,,,,,,,,,,,
355-U1456A-3H-5-A,18,52,20.18,20.52,,foraminifer rich,nannofossil ooze,with clay,foraminifer rich nannofossil ooze with clay,,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,medium bedded,normally graded,,,,,,,,,,,
355-U1456A-3H-5-A,52,59,20.52,20.59,,silty,nannofossil ooze,with clay,silty nannofossil ooze with clay,,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,thinly bedded,normally graded,,,,,,,,,,,
355-U1456A-3H-5-A,59,70,20.59,20.7,,foraminifer rich,nannofossil ooze,with clay,foraminifer rich nannofossil ooze with clay,,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,medium bedded,normally graded,,,,,,,,,,,
355-U1456A-3H-5-A,70,78,20.7,20.78,,silty,nannofossil ooze,with clay,silty nannofossil ooze with clay,,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,thinly bedded,normally graded,,,,,,,,,,,
355-U1456A-3H-5-A,78,99,20.78,20.99,,foraminifer rich,nannofossil ooze,with clay,foraminifer rich nannofossil ooze with clay,,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,medium bedded,normally graded,,,,,,,,,,,
355-U1456A-3H-5-A,99,104,20.99,21.04,,silty,nannofossil ooze,with clay,silty nannofossil ooze with clay,,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,thinly bedded,normally graded,,,,,,,,,,,
355-U1456A-3H-5-A,104,112,21.04,21.12,,foraminifer rich,nannofossil ooze,with clay,foraminifer rich nannofossil ooze with clay,,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,medium bedded,normally graded,,,,,,,,,,,
355-U1456A-3H-5-A,112,119,21.12,21.19,,silty,nannofossil ooze,with clay,silty nannofossil ooze with clay,,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,thinly bedded,normally graded,,,,,,,,,,,
355-U1456A-3H-5-A,119,133,21.19,21.33,,foraminifer rich,nannofossil ooze,with clay,foraminifer rich nannofossil ooze with clay,,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,medium bedded,normally graded,,,,,,,,,,,
355-U1456A-3H-5-A,133,137,21.33,21.37,,silty,nannofossil ooze,with clay,silty nannofossil ooze with clay,,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,thinly bedded,normally graded,,,,,,,,,,,
355-U1456A-3H-5-A,137,150,21.37,21.5,,foraminifer rich,nannofossil ooze,with clay,foraminifer rich nannofossil ooze with clay,,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,medium bedded,normally graded,,,,,,,,,,,
355-U1456A-3H-6-A,0,4,21.5,21.54,,silty,nannofossil ooze,with clay,silty nannofossil ooze with clay,,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,thinly bedded,normally graded,,,,,,,,,,,
355-U1456A-3H-6-A,4,17,21.54,21.67,,foraminifer rich,nannofossil ooze,with clay,foraminifer rich nannofossil ooze with clay,,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,medium bedded,normally graded,,,,,,,,,,,
355-U1456A-3H-6-A,17,26,21.67,21.76,,silty,nannofossil ooze,with clay,silty nannofossil ooze with clay,,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,medium bedded,normally graded,,,,,,,,,,,
355-U1456A-3H-6-A,26,69,21.76,22.19,,foraminifer rich,nannofossil ooze,with clay,foraminifer rich nannofossil ooze with clay,,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,medium bedded,normally graded,,,,,,,,,,,
355-U1456A-3H-6-A,69,72,22.19,22.22,,silty,nannofossil ooze,with clay,silty nannofossil ooze with clay,,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,thinly bedded,normally graded,,,,,,,,,,,
355-U1456A-3H-6-A,72,76,22.22,22.26,,foraminifer rich,nannofossil ooze,with clay,foraminifer rich nannofossil ooze with clay,,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,medium bedded,normally graded,,,,,,,,,,,
355-U1456A-3H-6-A,76,84,22.26,22.34,,silty,nannofossil ooze,with clay,silty nannofossil ooze with clay,,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,thinly bedded,normally graded,,,,,,,,,,,
355-U1456A-3H-6-A,84,90,22.34,22.4,,foraminifer rich,nannofossil ooze,with clay,foraminifer rich nannofossil ooze with clay,,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,medium bedded,normally graded,,,,,,,,,,,
355-U1456A-3H-7-A,0,3,22.5,22.53,,silty,nannofossil ooze,with clay,silty nannofossil ooze with clay,,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,thinly bedded,normally graded,,,,,,,,,,,
355-U1456A-3H-7-A,3,32,22.53,22.82,,foraminifer rich,nannofossil ooze,with clay,foraminifer rich nannofossil ooze with clay,,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,medium bedded,normally graded,,,,,,,,,,,
355-U1456A-3H-7-A,32,33,22.82,22.83,,silty,nannofossil ooze,with clay,silty nannofossil ooze with clay,,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,thinly bedded,normally graded,,,,,,,,,,,
355-U1456A-3H-7-A,33,43,22.83,22.93,,foraminifer rich,nannofossil ooze,with clay,foraminifer rich nannofossil ooze with clay,,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,medium bedded,normally graded,,,,,,,,,,,
355-U1456A-3H-7-A,43,49,22.93,22.99,,silty,nannofossil ooze,with clay,silty nannofossil ooze with clay,,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,thinly bedded,normally graded,,,,,,,,,,,
355-U1456A-3H-7-A,49,55,22.99,23.05,,foraminifer rich,nannofossil ooze,with clay,foraminifer rich nannofossil ooze with clay,,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,medium bedded,normally graded,,,,,,,,,,,
355-U1456A-3H-7-A,55,65,23.05,23.15,,silty,nannofossil ooze,with clay,silty nannofossil ooze with clay,,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,thinly bedded,normally graded,,,,,,,,,,,
355-U1456A-3H-CC-A,0,8,23.15,23.23,,foraminifer rich,nannofossil ooze,with clay,foraminifer rich nannofossil ooze with clay,,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,medium bedded,normally graded,,,,,,,,,,,
355-U1456A-3H-CC-A,8,10,23.23,23.25,,silty,nannofossil ooze,with clay,silty nannofossil ooze with clay,,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,thinly bedded,normally graded,,,,,,,,,,,
355-U1456A-3H-CC-A,10,15,23.25,23.3,,foraminifer rich,nannofossil ooze,with clay,foraminifer rich nannofossil ooze with clay,,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,medium bedded,normally graded,,,,,,,,,,,
355-U1456A-3H-CC-A,15,18,23.3,23.33,,silty,nannofossil ooze,with clay,silty nannofossil ooze with clay,,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,thinly bedded,normally graded,,,,,,,,,,,
355-U1456A-3H-CC-A,18,19,23.33,23.34,,foraminifer rich,nannofossil ooze,with clay,foraminifer rich nannofossil ooze with clay,,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,medium bedded,normally graded,,,,,,,,,,,
355-U1456A-4H,0,941,23.5,32.91,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355-U1456A-4H-1-A,0,10,23.5,23.6,,foraminifer rich,nannofossil ooze,with clay,foraminifer rich nannofossil ooze with clay,,,light gray,GLEY 1 5/10Y (greenish gray),,clay,1,silt,2,,,,,,,,,,,,,,,,,planar,gradational,horizontal,medium bedded,,,,,,,,,,,,
355-U1456A-4H-1-A,10,150,23.6,25,,,nannofossil ooze,,nannofossil ooze,,,white,GLEY 1 7/10Y (light greenish grey),,clay,1,clay,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355-U1456A-4H-2-A,0,37,25,25.37,,,nannofossil ooze,,nannofossil ooze,,,white,GLEY 1 7/10Y (light greenish grey),,clay,1,clay,1,,,,,,,,,,,,,,,,,planar,sharp,horizontal,medium bedded,,,,,,,,,,,,
355-U1456A-4H-2-A,37,46,25.37,25.46,,sandy,nannofossil ooze,,sandy nannofossil ooze,,,light gray,GLEY 1 5/10GY (greenish gray),,fine sand,4,fine sand,4,,,,,,,,,,,,,,,,,planar,sharp,horizontal,medium bedded,normally graded,,,,,,,shell fragment,,,,
355-U1456A-4H-2-A,46,63,25.46,25.63,,,clay,with nannofossils,clay with nannofossils,,,dark gray,GLEY 1 5/10Y (greenish gray),,clay,1,very fine sand,3,,,,,,,,,,,,,,,,,planar,sharp,horizontal,medium bedded,normally graded,,,,,,,,,,,
355-U1456A-4H-2-A,63,77,25.63,25.77,,foraminifer rich,nannofossil ooze,with clay,foraminifer rich nannofossil ooze with clay,,,dark gray,GLEY 1 5/10Y (greenish gray),,clay,1,silt,2,,,,,,,,,,,,,,,,,planar,sharp,horizontal,medium bedded,normally graded,,,,,,,,,,,
355-U1456A-4H-2-A,77,137,25.77,26.37,,,clay,with nannofossils,clay with nannofossils,,,dark gray,GLEY 1 5/10Y (greenish gray),,clay,1,silt,2,,,,,,,,,,,,,,,,,planar,sharp,horizontal,thickly bedded,normally graded,,,,,,,,,,,
355-U1456A-4H-2-A,137,150,26.37,26.5,,,nannofossil ooze,with clay,nannofossil ooze with clay,,,dark gray,GLEY 1 5/10Y (greenish gray),,clay,1,silt,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355-U1456A-4H-3-A,0,41,26.5,26.91,,,nannofossil ooze,with clay,nannofossil ooze with clay,,,dark gray,GLEY 1 5/10Y (greenish gray),,clay,1,silt,2,,,,,,,,,,,,,,,,,planar,sharp,horizontal,thickly bedded,,,,,,,,,,,,
