Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Sample domain number (if >1 domain),Sample domain name (if >1 domain),Domain relative abundance [%],Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Lithology prefix,Lithology principal name,Lithology suffix,Lithology prefix+name+suffix [read only],Lithology color (Munsell),Layer or bedding thickness,Lithology lithification,Lithology ave. grain size class,Lithology ave. grain size rank [read only],Lithology max. grain size class,Lithology max. grain size rank [read only],General interval comment,Sorting,Grading,Sedimentary structure,Diagenetic structure,Clasts (>2 mm) DOMINANT,DOMINANT Clasts % [%],DOMINANT Clasts ave. grain size class,DOMINANT Clasts ave. grain size rank [read only],DOMINANT Clasts max. grain size class,DOMINANT Clasts max. grain size rank [read only],DOMINANT clast roundness,Clasts (>2 mm) Subdominant,Subdominant Clasts % [%],Subdominant Clasts ave. grain size class,Subdominant Clasts ave. grain size rank [read only],Subdominant Clasts max. grain size class,Subdominant Clasts max. grain size rank [read only],Subdominant clast roundness,Clast comments,"Matrix, fines (<2 mm) DOMINANT",Matrix sorting,Matrix modifier,Matrix comments,Ship File Links,Shore File Links,File Data
366-U1492B-1H-5-A,0,21,3.6,3.81,IIA,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5B 6/1 (bluish gray),massive,consolidated,clay,1,pebble,9,,poor,,,,lithic,5,granule,8,pebble,9,angular,,,,,,,,,serpentine clay matrix,,with aragonite crystals,radiating aragonite crystal concretions (acicular),,,
366-U1492B-1H-5-A,21,116,3.81,4.76,IIA,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,10BG 6/1 (greenish gray),massive,consolidated,clay,1,pebble,9,,poor,,,,lithic,5,granule,8,pebble,9,angular,,,,,,,,,serpentine clay matrix,,,"About 1/3 of the matrix in one side of the core is pale greenish grey (10GY7/1); the diffuse contact does not affect clasts that transect it, so it cannot be caused by drilling disturbance but must represent a primary feature, possibly a diffuse vertical flow conduit.",,,
366-U1492B-1H-5-A,116,131,4.76,4.91,IIA,,,,,,,,,,,,,,,,,,microbiology,,,,,,,,,,,,,,,,,,,,,,,,,,
366-U1492B-1H-6-A,0,60.5,4.91,5.515,IIA,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,10B 4/1 (dark bluish gray),massive,consolidated,clay,1,pebble,9,,poor,,,,lithic,8,granule,8,pebble,9,angular,,,,,,,,,serpentine clay matrix,,,,,,
366-U1492B-1H-6-A,60.5,115,5.515,6.06,IIA,,,,,,,,,,,,,,,,,,microbiology,,,,,,,,,,,,,,,,,,,,,,,,,,
366-U1492B-1H-7-A,0,23,6.06,6.29,IIA,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,10BG 5/1 (greenish gray),massive,consolidated,clay,1,pebble,9,,poor,,,,ultramafic rock,8,granule,8,pebble,9,angular,,,,,,,,,serpentine clay matrix,,,,,,
366-U1492B-1H-7-A,23,51,6.29,6.57,IIA,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,10GY 7/1 (light greenish gray),massive,consolidated,clay,1,pebble,9,,poor,,,,ultramafic rock,8,granule,8,pebble,9,angular,,,,,,,,,serpentine clay matrix,,,,,,
366-U1492B-1H-CC-A,0,9,6.57,6.66,IIA,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,10GY 7/1 (light greenish gray),massive,consolidated,clay,1,pebble,9,,poor,,,,ultramafic rock,8,granule,8,pebble,9,angular,,,,,,,,,serpentine clay matrix,,,,,,
366-U1492B-1H-CC-A,9,49,6.66,7.06,IIA,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,10BG 5/1 (greenish gray),massive,consolidated,clay,1,pebble,9,,poor,,,,ultramafic rock,3,granule,8,pebble,9,angular,,,,,,,,,serpentine clay matrix,,,,,,
366-U1492B-1H-CC-A,49,55,7.06,7.12,IIA,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,7.5YR 5/3 (brown),massive,consolidated,clay,1,pebble,9,,poor,,,,ultramafic rock,1,granule,8,granule,8,angular,,,,,,,,,serpentine clay matrix,,with aragonite crystals,radiating aragonite crystal concretions (acicular),,,
366-U1492B-2F-1-A,0,150,7.1,8.6,IIB,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5B 4/1 (dark bluish gray),massive,consolidated,clay,1,pebble,9,,poor,,,,ultramafic rock,8,granule,8,cobble,10,sub-rounded,serpentine,2,coarse sand,6,granule,8,subangular,,serpentine clay matrix,,,,,,
366-U1492B-2F-2-A,0,81,8.6,9.41,IIB,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5B 4/1 (dark bluish gray),massive,consolidated,clay,1,pebble,9,,poor,,,,ultramafic rock,8,granule,8,cobble,10,sub-rounded,serpentine,2,coarse sand,6,granule,8,subangular,,serpentine clay matrix,,,,,,
366-U1492B-2F-2-A,81,150,9.41,10.1,,,,,,,,,,,,,,,,,,,microbiology,,,,,,,,,,,,,,,,,,,,,,,,,,
366-U1492B-2F-3-A,0,90,10.1,11,IIB,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5B 4/1 (dark bluish gray),massive,consolidated,clay,1,pebble,9,,poor,,,,ultramafic rock,8,granule,8,cobble,10,sub-rounded,serpentine,2,coarse sand,6,granule,8,subangular,,serpentine clay matrix,,,,,,
366-U1492B-2F-CC-A,0,29,11,11.29,IIB,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5B 4/1 (dark bluish gray),massive,consolidated,clay,1,pebble,9,,poor,,,,ultramafic rock,8,granule,8,pebble,9,sub-rounded,serpentine,2,coarse sand,6,granule,8,subangular,,serpentine clay matrix,,,,,,
366-U1492B-3F-1-A,0,151,11.4,12.91,IIB,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5B 4/1 (dark bluish gray),massive,consolidated,clay,1,pebble,9,,poor,,,,ultramafic rock,10,granule,8,cobble,10,subangular,serpentine,2,coarse sand,6,granule,8,subangular,,serpentine clay matrix,,,,,,
366-U1492B-3F-2-A,0,95,12.91,13.86,IIB,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5B 4/1 (dark bluish gray),massive,consolidated,clay,1,pebble,9,,poor,,,,ultramafic rock,10,granule,8,cobble,10,subangular,serpentine,2,coarse sand,6,granule,8,subangular,,serpentine clay matrix,,,,,,
366-U1492B-3F-2-A,95,150,13.86,14.41,,,,,,,,,,,,,,,,,,,microbiology,,,,,,,,,,,,,,,,,,,,,,,,,,
366-U1492B-3F-3-A,0,109,14.41,15.5,IIB,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5B 4/1 (dark bluish gray),massive,consolidated,clay,1,pebble,9,,poor,,,,ultramafic rock,10,granule,8,pebble,9,subangular,serpentine,2,coarse sand,6,granule,8,subangular,,serpentine clay matrix,,,,,,
366-U1492B-3F-CC-A,0,23,15.5,15.73,IIB,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5B 4/1 (dark bluish gray),massive,consolidated,clay,1,pebble,9,,poor,,,,ultramafic rock,10,granule,8,pebble,9,subangular,serpentine,2,coarse sand,6,granule,8,subangular,,serpentine clay matrix,,,,,,
366-U1492B-4F-1-A,0,149,15.7,17.19,IIB,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5B 4/1 (dark bluish gray),massive,consolidated,clay,1,pebble,9,,poor,,,,ultramafic rock,15,granule,8,pebble,9,subangular,serpentine,5,coarse sand,6,granule,8,subangular,,serpentine clay matrix,,,,,,
366-U1492B-4F-2-A,0,96,17.19,18.15,IIB,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5B 4/1 (dark bluish gray),massive,consolidated,clay,1,pebble,9,,poor,,,,ultramafic rock,10,granule,8,pebble,9,subangular,serpentine,5,coarse sand,6,granule,8,subangular,,serpentine clay matrix,,,,,,
366-U1492B-4F-2-A,96,146,18.15,18.65,,,,,,,,,,,,,,,,,,,microbiology,,,,,,,,,,,,,,,,,,,,,,,,,,
366-U1492B-4F-3-A,0,102,18.7,19.72,IIB,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5B 4/1 (dark bluish gray),massive,consolidated,clay,1,pebble,9,,poor,,,,ultramafic rock,10,granule,8,pebble,9,subangular,serpentine,5,coarse sand,6,granule,8,subangular,,serpentine clay matrix,,,,,,
366-U1492B-4F-4-A,0,71,19.72,20.43,IIB,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5B 4/1 (dark bluish gray),massive,consolidated,clay,1,pebble,9,,poor,,,,ultramafic rock,10,granule,8,pebble,9,subangular,serpentine,5,coarse sand,6,granule,8,subangular,,serpentine clay matrix,,,,,,
366-U1492B-4F-CC-A,0,19,20.43,20.62,IIB,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5B 4/1 (dark bluish gray),massive,consolidated,clay,1,pebble,9,,poor,,,,ultramafic rock,10,granule,8,pebble,9,subangular,serpentine,5,coarse sand,6,granule,8,subangular,,serpentine clay matrix,,,,,,
366-U1492B-5F-1-A,0,149,20.4,21.89,IIB,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,10B 4/1 (dark bluish gray),massive,consolidated,clay,1,pebble,9,,poor,,,,ultramafic rock,10,granule,8,pebble,9,subangular,serpentine,5,coarse sand,6,granule,8,subangular,,serpentine clay matrix,,,,,,
366-U1492B-5F-2-A,0,96,21.89,22.85,IIB,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,10B 4/1 (dark bluish gray),massive,consolidated,clay,1,pebble,9,,poor,,,,ultramafic rock,10,granule,8,pebble,9,subangular,serpentine,5,coarse sand,6,granule,8,subangular,,serpentine clay matrix,,,,,,
366-U1492B-5F-2-A,96,151,22.85,23.4,,,,,,,,,,,,,,,,,,,microbiology,,,,,,,,,,,,,,,,,,,,,,,,,,
366-U1492B-5F-3-A,0,142,23.4,24.82,IIB,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5PB 3/1 (dark bluish gray),massive,consolidated,clay,1,pebble,9,,poor,,,,ultramafic rock,10,granule,8,pebble,9,subangular,serpentine,5,coarse sand,6,granule,8,subangular,,serpentine clay matrix,,,,,,
366-U1492B-5F-CC-A,0,30,24.82,25.12,IIB,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5PB 3/1 (dark bluish gray),massive,consolidated,clay,1,pebble,9,,poor,,,,ultramafic rock,10,granule,8,pebble,9,subangular,serpentine,5,coarse sand,6,granule,8,subangular,,serpentine clay matrix,,,,,,
366-U1492B-6F-1-A,0,149,25.1,26.59,IIB,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5B 4/1 (dark bluish gray),massive,consolidated,clay,1,pebble,9,,poor,,,,ultramafic rock,10,granule,8,pebble,9,subangular,serpentine,5,coarse sand,6,granule,8,subangular,,serpentine clay matrix,,,,,,
366-U1492B-6F-2-A,0,81,26.59,27.4,IIB,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5B 4/1 (dark bluish gray),massive,consolidated,clay,1,pebble,9,,poor,,,,ultramafic rock,10,granule,8,pebble,9,subangular,serpentine,5,coarse sand,6,granule,8,subangular,,serpentine clay matrix,,,,,,
366-U1492B-6F-2-A,81,151,27.4,28.1,,,,,,,,,,,,,,,,,,,microbiology,,,,,,,,,,,,,,,,,,,,,,,,,,
366-U1492B-6F-3-A,0,81,28.1,28.91,IIB,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5B 4/1 (dark bluish gray),massive,consolidated,clay,1,pebble,9,,poor,,,,ultramafic rock,15,granule,8,pebble,9,subangular,serpentine,5,coarse sand,6,granule,8,subangular,,serpentine clay matrix,,,,,,
366-U1492B-6F-4-A,0,90,28.91,29.81,IIB,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5B 4/1 (dark bluish gray),massive,consolidated,clay,1,pebble,9,,poor,,,,ultramafic rock,10,granule,8,pebble,9,subangular,serpentine,5,coarse sand,6,granule,8,subangular,,serpentine clay matrix,,,,,,
366-U1492B-6F-CC-A,0,36,29.81,30.17,IIB,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5B 4/1 (dark bluish gray),massive,consolidated,clay,1,pebble,9,,poor,,,,ultramafic rock,15,granule,8,pebble,9,subangular,serpentine,5,coarse sand,6,granule,8,subangular,,serpentine clay matrix,,,,,,
366-U1492B-7F-1-A,0,112,29.8,30.92,IIB,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5B 4/1 (dark bluish gray),massive,consolidated,clay,1,pebble,9,,poor,,,,ultramafic rock,8,granule,8,pebble,9,subangular,serpentine,5,coarse sand,6,granule,8,subangular,,serpentine clay matrix,,,,,,
366-U1492B-7F-1-A,112,150,30.92,31.3,,,,,,,,,,,,,,,,,,,microbiology,,,,,,,,,,,,,,,,,,,,,,,,,,
366-U1492B-7F-2-A,0,97,31.3,32.27,IIB,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5B 4/1 (dark bluish gray),massive,consolidated,clay,1,pebble,9,,poor,,,,ultramafic rock,8,granule,8,pebble,9,subangular,serpentine,5,coarse sand,6,granule,8,subangular,,serpentine clay matrix,,,,,,
366-U1492B-7F-3-A,0,52,32.27,32.79,IIB,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5b 4/1 (dark bluish gray),massive,consolidated,clay,1,pebble,9,,poor,,,,ultramafic rock,10,granule,8,pebble,9,subangular,serpentine,5,coarse sand,6,granule,8,subangular,,serpentine clay matrix,,,,,,
366-U1492B-7F-3-A,52,81,32.79,33.08,,,,,,,,,,,,,,,,,,,microbiology,,,,,,,,,,,,,,,,,,,,,,,,,,
366-U1492B-7F-4-A,0,58,33.08,33.66,IIB,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5B 4/1 (dark bluish gray),massive,consolidated,clay,1,pebble,9,,poor,,,,ultramafic rock,10,granule,8,pebble,9,subangular,serpentine,5,coarse sand,6,granule,8,subangular,,serpentine clay matrix,,,,,,
366-U1492B-7F-CC-A,0,34,33.66,34,IIB,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5B 4/1 (dark bluish gray),massive,consolidated,clay,1,pebble,9,,poor,,,,ultramafic rock,15,granule,8,pebble,9,subangular,serpentine,5,coarse sand,6,granule,8,subangular,,serpentine clay matrix,,,,,,
366-U1492B-8F-1-A,0,67,34,34.67,IIB,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5B 4/1 (dark bluish gray),massive,consolidated,clay,1,pebble,9,,poor,,,,ultramafic rock,10,granule,8,pebble,9,subangular,serpentine,5,coarse sand,6,granule,8,subangular,,serpentine clay matrix,,,,,,
366-U1492B-8F-CC-A,0,27,34.67,34.94,IIB,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5B 4/1 (dark bluish gray),massive,consolidated,clay,1,pebble,9,,poor,,,,ultramafic rock,45,pebble,10,cobble,10,angular,serpentine,5,coarse sand,6,granule,8,subangular,,serpentine clay matrix,,,,,,
366-U1492B-9F-1-A,0,110,35,36.1,IIB,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5B 4/1 (dark bluish gray),massive,consolidated,clay,1,pebble,9,,poor,,,,ultramafic rock,5,pebble,10,granule,8,subangular,serpentine,5,coarse sand,6,granule,8,subangular,,serpentine clay matrix,,,,,,
366-U1492B-9F-2-A,0,150,36.1,37.6,IIB,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5B 4/1 (dark bluish gray),massive,consolidated,clay,1,pebble,9,,poor,,,,ultramafic rock,10,pebble,10,granule,8,subangular,serpentine,5,coarse sand,6,granule,8,sub-rounded,,serpentine clay matrix,,,,,,
366-U1492B-9F-3-A,0,103,37.6,38.63,IIB,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5B 4/1 (dark bluish gray),massive,consolidated,clay,1,pebble,9,,poor,,,,ultramafic rock,5,granule,8,pebble,9,subangular,serpentine,,granule,8,pebble,9,sub-rounded,,serpentine clay matrix,,,,,,
366-U1492B-9F-4-A,0,47,38.63,39.1,IIB,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5B 4/1 (dark bluish gray),massive,consolidated,clay,1,pebble,9,,poor,,,,ultramafic rock,5,granule,8,pebble,9,sub-rounded,serpentine,2,granule,8,granule,8,sub-rounded,,serpentine clay matrix,,,,,,
366-U1492B-9F-CC-A,0,31,39.1,39.41,IIB,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5B 4/1 (dark bluish gray),massive,consolidated,clay,1,pebble,9,,poor,,,,ultramafic rock,7,medium sand,5,pebble,9,subangular,serpentine,2,granule,8,granule,8,sub-rounded,,serpentine clay matrix,,,,,,
366-U1492B-10F-1-A,0,150,39.3,40.8,IIB,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5PB 3/1 (dark bluish gray),massive,consolidated,clay,1,pebble,9,,poor,,,,ultramafic rock,10,granule,8,cobble,10,subangular,serpentine,2,coarse sand,6,granule,8,sub-rounded,,serpentine clay matrix,,,,,,
366-U1492B-10F-2-A,0,90,40.8,41.7,IIB,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5PB 3/1 (dark bluish gray),massive,consolidated,clay,1,pebble,9,,poor,,,,ultramafic rock,10,granule,8,pebble,9,subangular,serpentine,2,coarse sand,6,granule,8,sub-rounded,,serpentine clay matrix,,,,,,
366-U1492B-10F-3-A,0,51,41.7,42.21,IIB,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5PB 3/1 (dark bluish gray),massive,consolidated,clay,1,pebble,9,,poor,,,,ultramafic rock,10,granule,8,pebble,9,subangular,serpentine,2,coarse sand,6,pebble,9,sub-rounded,,serpentine clay matrix,,,,,,
366-U1492B-10F-3-A,51,120,42.21,42.9,,,,,,,,,,,,,,,,,,,microbiology,,,,,,,,,,,,,,coarse sand,6,,,,,,,,,,,
366-U1492B-10F-4-A,0,105,42.9,43.95,IIB,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5PB 3/1 (dark bluish gray),massive,consolidated,clay,1,pebble,9,,poor,,,,ultramafic rock,10,granule,8,pebble,9,subangular,serpentine,2,coarse sand,6,granule,8,sub-rounded,,serpentine clay matrix,,,,,,
366-U1492B-10F-CC-A,0,23,43.95,44.18,IIB,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5PB 3/1 (dark bluish gray),massive,consolidated,clay,1,pebble,9,,poor,,,,ultramafic rock,10,granule,8,pebble,9,subangular,serpentine,2,coarse sand,6,granule,8,sub-rounded,,serpentine clay matrix,,,,,,
366-U1492B-11F-1-A,0,60,44,44.6,IIB,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5PB 5/1 (bluish gray),massive,unconsolidated,clay,1,pebble,9,Core is heavily destroyed by drilling disturbance,poor,,,,ultramafic rock,5,granule,8,pebble,9,subangular,serpentine,2,coarse sand,6,granule,8,sub-rounded,,serpentine clay matrix,,,,,,
366-U1492B-11F-CC-A,0,21,44.6,44.81,IIB,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5PB 5/1 (bluish gray),massive,unconsolidated,clay,1,pebble,9,,poor,,,,ultramafic rock,20,granule,8,pebble,9,subangular,serpentine,2,coarse sand,6,granule,8,sub-rounded,,serpentine clay matrix,,,,,,
366-U1492B-12F-1-A,0,145,45,46.45,IIB,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5B 4/1 (dark bluish gray),massive,consolidated,clay,1,pebble,9,,poor,,,,ultramafic rock,5,granule,8,pebble,9,subangular,serpentine,2,coarse sand,6,pebble,9,subangular,,serpentine clay matrix,,,,,,
366-U1492B-12F-2-A,0,53,46.45,46.98,IIB,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5B 4/1 (dark bluish gray),massive,consolidated,clay,1,pebble,9,,poor,,,,ultramafic rock,5,granule,8,pebble,9,subangular,serpentine,2,coarse sand,6,pebble,9,subangular,,serpentine clay matrix,,,,,,
366-U1492B-12F-2-A,53,123,46.98,47.68,,,,,,,,,,,,,,,,,,,microbiology,,,,,,,,,,,,,,,,,,,,,,,,,,
366-U1492B-12F-3-A,0,52,47.68,48.2,IIB,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,10B 4/1 (dark bluish gray),massive,consolidated,clay,1,pebble,9,,poor,,,,ultramafic rock,5,granule,8,pebble,9,subangular,serpentine,2,coarse sand,6,granule,8,subangular,,serpentine clay matrix,,,,,,
366-U1492B-12F-CC-A,0,31,48.2,48.51,IIB,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,10B 4/1 (dark bluish gray),massive,consolidated,clay,1,cobble,10,,poor,,,,ultramafic rock,15,granule,8,cobble,10,sub-rounded,serpentine,2,coarse sand,6,granule,8,subangular,,serpentine clay matrix,,,,,,
366-U1492B-13F-1-A,0,80,48.5,49.3,IIB,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,10B 4/1 (dark bluish gray),massive,consolidated,clay,1,cobble,10,,poor,,,,ultramafic rock,10,granule,8,cobble,10,subangular,serpentine,2,coarse sand,6,granule,8,subangular,,serpentine clay matrix,,,,,,
366-U1492B-13F-1-A,80,150,49.3,50,,,,,,,,,,,,,,,,,,,microbiology,,,,,,,,,,,,,,,,,,,,,,,,,,
366-U1492B-13F-2-A,0,116,50,51.16,IIB,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,10B 4/1 (dark bluish gray),massive,consolidated,clay,1,pebble,9,,poor,,,,ultramafic rock,5,granule,8,pebble,9,subangular,serpentine,2,coarse sand,6,granule,8,subangular,,serpentine clay matrix,,,,,,
