Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,MAJ Lith. prefix+name [read only],Sediment structures,MAJ Lith. color,Bioturbation intensity,Clast abundance,Macrofossil,MAJ Lith. ave. grain size ,Diagenetic constituent,Diagenetic constituent composition,General interval comment,MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,Bottom contact geometry,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
363-U1486B-3H-2-A,49,140,17.49,18.4,clay-rich foraminifer-bearing [X363],nannofossil ooze [Leg339],clay-rich foraminifer-bearing nannofossil ooze,,5GY 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,B,3,H,2,A
363-U1486B-3H-3-A,0,77,18.45,19.22,clay-rich foraminifer-bearing [X363],nannofossil ooze [Leg339],clay-rich foraminifer-bearing nannofossil ooze,,5GY 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,B,3,H,3,A
363-U1486B-3H-3-A,77,135,19.22,19.8,foraminifer-bearing nannofossil-rich [X363],clay [Leg210],foraminifer-bearing nannofossil-rich clay,,5GY 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,B,3,H,3,A
363-U1486B-3H-4-A,0,84,19.9,20.74,clay-rich foraminifer-bearing [X363],nannofossil ooze [Leg339],clay-rich foraminifer-bearing nannofossil ooze,,5GY 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,B,3,H,4,A
363-U1486B-3H-4-A,84,101,20.74,20.91,,ash(tuff) [MMK88m],ash(tuff),,5Y 5/1 (gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,B,3,H,4,A
363-U1486B-3H-4-A,101,140,20.91,21.3,foraminifer-bearing nannofossil-rich [X363],clay [Leg210],foraminifer-bearing nannofossil-rich clay,,5GY 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,B,3,H,4,A
363-U1486B-3H-5-A,0,8,21.35,21.43,foraminifer-bearing nannofossil-rich [X363],clay [Leg210],foraminifer-bearing nannofossil-rich clay,,5GY 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,B,3,H,5,A
363-U1486B-3H-5-A,8,15,21.43,21.5,,ash(tuff) [MMK88m],ash(tuff),,5Y 6/1 (gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,B,3,H,5,A
363-U1486B-3H-5-A,15,33,21.5,21.68,clay-rich foraminifer-rich [X363],nannofossil ooze [Leg339],clay-rich foraminifer-rich nannofossil ooze,,5GY 8/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,B,3,H,5,A
363-U1486B-3H-5-A,33,36,21.68,21.71,,ash(tuff) [MMK88m],ash(tuff),,7.5YR 4/2 (brown),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,B,3,H,5,A
363-U1486B-3H-5-A,36,45,21.71,21.8,clay-rich foraminifer-rich [X363],nannofossil ooze [Leg339],clay-rich foraminifer-rich nannofossil ooze,,5GY 8/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,B,3,H,5,A
363-U1486B-3H-5-A,45,48,21.8,21.83,,ash(tuff) [MMK88m],ash(tuff),,10YR 7/2 (light gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,B,3,H,5,A
363-U1486B-3H-5-A,48,63,21.83,21.98,clay-rich foraminifer-rich [X363],nannofossil ooze [Leg339],clay-rich foraminifer-rich nannofossil ooze,,5GY 8/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,B,3,H,5,A
363-U1486B-3H-5-A,63,71,21.98,22.06,,ash(tuff) [MMK88m],ash(tuff),,7.5YR 4/2 (brown),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,B,3,H,5,A
363-U1486B-3H-5-A,71,110,22.06,22.45,clay-rich foraminifer-rich [X363],nannofossil ooze [Leg339],clay-rich foraminifer-rich nannofossil ooze,,5GY 8/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,B,3,H,5,A
363-U1486B-3H-5-A,110,140,22.45,22.75,foraminifer-bearing nannofossil-rich [X363],clay [Leg210],foraminifer-bearing nannofossil-rich clay,,10Y 5/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,B,3,H,5,A
363-U1486B-3H-6-A,0,39,22.8,23.19,foraminifer-bearing nannofossil-rich [X363],clay [Leg210],foraminifer-bearing nannofossil-rich clay,,10Y 5/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,B,3,H,6,A
363-U1486B-3H-6-A,39,80,23.19,23.6,foraminifer-bearing nannofossil-rich [X363],clay [Leg210],foraminifer-bearing nannofossil-rich clay,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,B,3,H,6,A
363-U1486B-3H-6-A,80,92,23.6,23.72,,ash(tuff) [MMK88m],ash(tuff),,5Y 5/2 (olive gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,B,3,H,6,A
363-U1486B-3H-6-A,92,135,23.72,24.15,foraminifer-bearing nannofossil-rich [X363],clay [Leg210],foraminifer-bearing nannofossil-rich clay,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,B,3,H,6,A
363-U1486B-3H-7-A,0,96,24.25,25.21,clay-rich foraminifer-rich [X363],nannofossil ooze [Leg339],clay-rich foraminifer-rich nannofossil ooze,,5GY 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,B,3,H,7,A
363-U1486B-3H-CC-A,0,16,25.21,25.37,clay-rich foraminifer-rich [X363],nannofossil ooze [Leg339],clay-rich foraminifer-rich nannofossil ooze,,5GY 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,B,3,H,CC,A
363-U1486B-4H-1-A,0,105,25.0,26.05,foraminifer-bearing nannofossil-rich [X363],clay [Leg210],foraminifer-bearing nannofossil-rich clay,,5Y 6/1 (gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,B,4,H,1,A
363-U1486B-4H-1-A,105,130,26.05,26.3,clay-rich foraminifer-bearing [X363],nannofossil ooze [Leg339],clay-rich foraminifer-bearing nannofossil ooze,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,B,4,H,1,A
363-U1486B-4H-1-A,130,145,26.3,26.45,foraminifer-bearing nannofossil-rich [X363],clay [Leg210],foraminifer-bearing nannofossil-rich clay,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,B,4,H,1,A
363-U1486B-4H-2-A,0,73,26.5,27.23,foraminifer-bearing nannofossil-rich [X363],clay [Leg210],foraminifer-bearing nannofossil-rich clay,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,B,4,H,2,A
363-U1486B-4H-2-A,73,110,27.23,27.6,,ash(tuff) [MMK88m],ash(tuff),,10Y 5/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,B,4,H,2,A
363-U1486B-4H-2-A,110,145,27.6,27.95,foraminifer-bearing nannofossil-rich [X363],clay [Leg210],foraminifer-bearing nannofossil-rich clay,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,B,4,H,2,A
363-U1486B-4H-3-A,0,10,28.0,28.1,foraminifer-bearing nannofossil-rich [X363],clay [Leg210],foraminifer-bearing nannofossil-rich clay,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,B,4,H,3,A
363-U1486B-4H-3-A,10,47,28.1,28.47,foraminifer-bearing nannofossil-rich [X363],clay [Leg210],foraminifer-bearing nannofossil-rich clay,,5Y 5/2 (olive gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,B,4,H,3,A
363-U1486B-4H-3-A,47,140,28.47,29.4,foraminifer-bearing nannofossil-rich [X363],clay [Leg210],foraminifer-bearing nannofossil-rich clay,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,B,4,H,3,A
363-U1486B-4H-4-A,0,41,29.5,29.91,foraminifer-bearing nannofossil-rich [X363],clay [Leg210],foraminifer-bearing nannofossil-rich clay,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,B,4,H,4,A
363-U1486B-4H-4-A,41,145,29.91,30.95,clay-rich foraminifer-rich [X363],nannofossil ooze [Leg339],clay-rich foraminifer-rich nannofossil ooze,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,B,4,H,4,A
363-U1486B-4H-5-A,0,13,31.0,31.13,foraminifer-bearing nannofossil-rich [X363],clay [Leg210],foraminifer-bearing nannofossil-rich clay,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,B,4,H,5,A
363-U1486B-4H-5-A,13,39,31.13,31.39,,ash(tuff) [MMK88m],ash(tuff),,10Y 4/1 (dark greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,B,4,H,5,A
363-U1486B-4H-5-A,39,145,31.39,32.45,foraminifer-bearing nannofossil-rich [X363],clay [Leg210],foraminifer-bearing nannofossil-rich clay,,5Y 6/2 (light olive gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,B,4,H,5,A
363-U1486B-4H-6-A,0,140,32.5,33.9,foraminifer-bearing nannofossil-rich [X363],clay [Leg210],foraminifer-bearing nannofossil-rich clay,,5Y 6/2 (light olive gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,B,4,H,6,A
363-U1486B-4H-7-A,0,42,34.0,34.42,foraminifer-bearing nannofossil-rich [X363],clay [Leg210],foraminifer-bearing nannofossil-rich clay,,5Y 6/2 (light olive gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,B,4,H,7,A
363-U1486B-4H-7-A,42,51,34.42,34.51,,ash(tuff) [MMK88m],ash(tuff),,5Y 4/1 (dark gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,B,4,H,7,A
363-U1486B-4H-7-A,51,74,34.51,34.74,foraminifer-bearing nannofossil-rich [X363],clay [Leg210],foraminifer-bearing nannofossil-rich clay,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,B,4,H,7,A
363-U1486B-4H-CC-A,0,31,34.74,35.05,foraminifer-bearing nannofossil-rich [X363],clay [Leg210],foraminifer-bearing nannofossil-rich clay,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,B,4,H,CC,A
363-U1486B-5H-1-A,0,103,34.5,35.53,clay-rich foraminifer-rich [X363],nannofossil ooze [Leg339],clay-rich foraminifer-rich nannofossil ooze,,5GY 8/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,B,5,H,1,A
363-U1486B-5H-1-A,103,128,35.53,35.78,foraminifer-bearing nannofossil-rich [X363],ashy clay [X363],foraminifer-bearing nannofossil-rich ashy clay,,10Y 4/1 (dark greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,B,5,H,1,A
363-U1486B-5H-1-A,128,145,35.78,35.95,clay-rich foraminifer-rich [X363],nannofossil ooze [Leg339],clay-rich foraminifer-rich nannofossil ooze,,5GY 8/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,B,5,H,1,A
363-U1486B-5H-2-A,0,145,36.0,37.45,clay-rich foraminifer-rich [X363],nannofossil ooze [Leg339],clay-rich foraminifer-rich nannofossil ooze,,5GY 8/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,B,5,H,2,A
363-U1486B-5H-3-A,0,24,37.5,37.74,clay-rich foraminifer-rich [X363],nannofossil ooze [Leg339],clay-rich foraminifer-rich nannofossil ooze,,5GY 8/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,B,5,H,3,A
363-U1486B-5H-3-A,24,38,37.74,37.88,,ash(tuff) [MMK88m],ash(tuff),,7.5YR 4/2 (brown),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,B,5,H,3,A
363-U1486B-5H-3-A,38,140,37.88,38.9,foraminifer-bearing nannofossil-rich [X363],clay [Leg210],foraminifer-bearing nannofossil-rich clay,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,B,5,H,3,A
363-U1486B-5H-4-A,0,7,39.0,39.07,foraminifer-bearing nannofossil-rich [X363],clay [Leg210],foraminifer-bearing nannofossil-rich clay,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,B,5,H,4,A
363-U1486B-5H-4-A,7,15,39.07,39.15,,ash(tuff) [MMK88m],ash(tuff),,10Y 3/1 (very dark greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,B,5,H,4,A
363-U1486B-5H-4-A,15,55,39.15,39.55,clay-rich foraminifer-rich [X363],nannofossil ooze [Leg339],clay-rich foraminifer-rich nannofossil ooze,,5GY 8/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,B,5,H,4,A
363-U1486B-5H-4-A,55,60,39.55,39.6,,ash(tuff) [MMK88m],ash(tuff),,7.5YR 4/2 (brown),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,B,5,H,4,A
363-U1486B-5H-4-A,60,145,39.6,40.45,clay-rich foraminifer-rich [X363],nannofossil ooze [Leg339],clay-rich foraminifer-rich nannofossil ooze,,5GY 8/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,B,5,H,4,A
363-U1486B-5H-5-A,0,40,40.5,40.9,clay-rich foraminifer-rich [X363],nannofossil ooze [Leg339],clay-rich foraminifer-rich nannofossil ooze,,5GY 8/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,B,5,H,5,A
363-U1486B-5H-5-A,40,45,40.9,40.95,,ash(tuff) [MMK88m],ash(tuff),,7.5YR 4/2 (brown),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,B,5,H,5,A
363-U1486B-5H-5-A,45,145,40.95,41.95,clay-rich foraminifer-rich [X363],nannofossil ooze [Leg339],clay-rich foraminifer-rich nannofossil ooze,,5GY 8/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,B,5,H,5,A
363-U1486B-5H-6-A,0,140,42.0,43.4,clay-rich foraminifer-rich [X363],nannofossil ooze [Leg339],clay-rich foraminifer-rich nannofossil ooze,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,B,5,H,6,A
363-U1486B-5H-7-A,0,14,43.5,43.64,foraminifer-bearing nannofossil-rich [X363],clay [Leg210],foraminifer-bearing nannofossil-rich clay,,5Y 5/1 (gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,B,5,H,7,A
363-U1486B-5H-7-A,14,19,43.64,43.69,,ash(tuff) [MMK88m],ash(tuff),,7.5YR 4/2 (brown),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,B,5,H,7,A
363-U1486B-5H-7-A,19,73,43.69,44.23,clay-rich foraminifer-rich [X363],nannofossil ooze [Leg339],clay-rich foraminifer-rich nannofossil ooze,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,B,5,H,7,A
363-U1486B-5H-CC-A,0,17,44.23,44.4,foraminifer-bearing nannofossil-rich [X363],clay [Leg210],foraminifer-bearing nannofossil-rich clay,,10Y 5/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,B,5,H,CC,A
363-U1486B-6H-1-A,0,124,44.0,45.24,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,5GY 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,B,6,H,1,A
363-U1486B-6H-1-A,124,128,45.24,45.28,,ash(tuff) [MMK88m],ash(tuff),,7.5YR 7/2 (pinkish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,B,6,H,1,A
363-U1486B-6H-1-A,128,145,45.28,45.45,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,5GY 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,B,6,H,1,A
363-U1486B-6H-2-A,0,145,45.5,46.95,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,5GY 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,B,6,H,2,A
363-U1486B-6H-3-A,0,140,47.0,48.4,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,5GY 8/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,B,6,H,3,A
363-U1486B-6H-4-A,0,24,48.5,48.74,foraminifer-bearing nannofossil-rich [X363],clay [Leg210],foraminifer-bearing nannofossil-rich clay,,5GY 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,B,6,H,4,A
363-U1486B-6H-4-A,24,27,48.74,48.77,,ash(tuff) [MMK88m],ash(tuff),,N 2.5 (black),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,B,6,H,4,A
363-U1486B-6H-4-A,27,79,48.77,49.29,foraminifer-bearing nannofossil-rich [X363],clay [Leg210],foraminifer-bearing nannofossil-rich clay,,5GY 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,B,6,H,4,A
