Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Texture Rank [read only],MAJ Lith. prefix+name [read only],Lithification,Lithification rank [read only],MAJ Lith. color,MAJ Lith. ave. grain size ,Grain size rank [read only],Skeletal components MAJOR,Skeletal components MAJOR comment,Skeletal components INTERMEDIATE,Skeletal components INTERMEDIATE comment,Skeletal components MINOR,Skeletal components MINOR comment,Non-skeletal components,Non-skeletal components comment,Sedimentary structure,Diagenetic structure,Diagenetic structure comment,Layer or bedding thickness,Bioturbation intensity,Bioturbation intensity rank [read only],Bioturbation type,Bottom contact or boundary definition,Bottom contact or boundary attitude,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Lithology Suffix,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix
359-U1472A-21H-3-A,0,55,188.7,189.25,planktic foraminifer rich,PACKSTONE,3,planktic foraminifer rich PACKSTONE,partially lithified,3,2.5Y 7/1 (light gray),fine sand,4,foraminifera (planktic),,foraminifera (benthic),,,,,,,,,,complete,6.0,,,,Partially lithified planktic foraminifera-rich PACKSTONE. Fine-grained. Planktic foraminifera are abundant. Benthic foraminifera. Overgrowth.,,,,359,U1472,A,21,H,3,A,,,,
359-U1472A-21H-3-A,55,58,189.25,189.28,,mudstone,1,mudstone,unlithified,1,2.5y 8/1 (white),medium sand,5,foraminifera (planktic),,,,,,,,,,,,complete,6.0,,,,Unlithified MUDSTONE.,,,,359,U1472,A,21,H,3,A,,,,
359-U1472A-21H-3-A,58,144,189.28,190.14,planktic foraminifer rich,PACKSTONE,3,planktic foraminifer rich PACKSTONE,partially lithified,3,2.5y 8/1 (white),medium sand,5,foraminifera (planktic),,foraminifera (benthic),,,,,,,,,,complete,6.0,,,,Partially lithified planktic foraminifera-rich PACKSTONE. Medium-grained. Planktic foraminifera are abundant. Benthic foraminifera. Overgrowth.,,,,359,U1472,A,21,H,3,A,,,,
359-U1472A-21H-4-A,0,140,190.2,191.6,planktic foraminifer rich,PACKSTONE,3,planktic foraminifer rich PACKSTONE,partially lithified,3,2.5y 8/2 (pale yellow),very fine sand,3,foraminifera (planktic),,foraminifera (benthic),,,,aggregate,,,,,,complete,6.0,,,,Partially lithified planktic foraminifera-rich PACKSTONE. Very-finegrained. Planktic foraminifera are abundant. Benthic foraminifera. Poorly-sorted.,,,,359,U1472,A,21,H,4,A,,,,
359-U1472A-21H-5-A,0,150,191.7,193.2,planktic foraminifer rich,PACKSTONE,3,planktic foraminifer rich PACKSTONE,partially lithified,3,2.5y 8/2 (pale yellow),very fine sand,3,foraminifera (planktic),,foraminifera (benthic),,,,aggregate,,,,,,complete,6.0,,,,Partially lithified planktic foraminifera-rich PACKSTONE. Very-finegrained. Planktic foraminifera are abundant. Benthic foraminifera. Poorly-sorted.,,,,359,U1472,A,21,H,5,A,,,,
359-U1472A-21H-6-A,0,101,193.2,194.21,planktic foraminifer rich,PACKSTONE,3,planktic foraminifer rich PACKSTONE,partially lithified,3,2.5y 8/2 (pale yellow),very fine sand,3,foraminifera (planktic),,foraminifera (benthic),,,,aggregate,,,,,,complete,6.0,,,,Partially lithified planktic foraminifera-rich PACKSTONE. Very-finegrained. Planktic foraminifera are abundant. Benthic foraminifera. Poorly-sorted.,,,,359,U1472,A,21,H,6,A,,,,
359-U1472A-21H-7-A,0,91,194.21,195.12,planktic foraminifer rich,PACKSTONE,3,planktic foraminifer rich PACKSTONE,partially lithified,3,2.5y 8/1 (white),fine sand,4,foraminifera (planktic),,foraminifera (benthic),,,,,,,,,,complete,6.0,,,,Partially lithified planktic foraminifera-rich PACKSTONE. Fine-grained. Planktic foraminifera are abundant. Benthic foraminifera.,,,,359,U1472,A,21,H,7,A,,,,
359-U1472A-21H-CC-A,0,8,195.12,195.2,planktic foraminifer rich,PACKSTONE,3,planktic foraminifer rich PACKSTONE,partially lithified,3,2.5y 8/2 (pale yellow),very fine sand,3,foraminifera (planktic),,foraminifera (benthic),,,,,,,,,,complete,6.0,,,,Partially lithified planktic foraminifera-rich PACKSTONE. Very fine-grained. Planktic foraminifera are abundant. Benthic foraminifera.,,,,359,U1472,A,21,H,CC,A,,,,
359-U1472A-22H-1-A,0,56,195.2,195.76,planktic foraminifer rich,grainstone,4,planktic foraminifer rich grainstone,unlithified,1,2.5Y 6/3 (light yellowish brown),coarse sand,6,foraminifera (planktic),,foraminifera (benthic),,,,aggregate,,,,,,complete,6.0,,sharp,horizontal,Partially lithified planktic foraminifera-rich GRAINSTONE. Medium-grained. Planktic foraminifera are abundant. Benthic foraminifera. Highly disturbed.,,,,359,U1472,A,22,H,1,A,,,,
359-U1472A-22H-1-A,56,87,195.76,196.07,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,partially lithified,3,2.5Y 7/2 (light gray),medium sand,5,foraminifera (planktic),,foraminifera (benthic),,,,aggregate,,,,,,complete,6.0,,sharp,horizontal,Partially lithified planktic foraminifera-rich PACKSTONE to WACKESTONE. Medium-grained. Planktic foraminifera are abundant. Benthic foraminifera are present.,,,,359,U1472,A,22,H,1,A,,,,
