Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,MAJ Lith. prefix+name+suffix,MAJ Lith. color,"Layer, boundary, lamination, grading",Diagenetic constituent,Diagenetic constituent composition,Bioturbation intensity,Bioturbation intensity rank,Deformational structures,General interval comment,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix,MIN Lith. prefix + name,MIN Lith. prefix+name+suffix,MIN Lith. name+suffix,MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,Bottom contact geometry,Bottom contact definition,Layer or bedding thickness,Clasts abundance,Clast 1 igneous [%],Clast 1 igneous -  grain size,Clast 2 sediment [%],Clast 2 sediment grain size,Clast 3 -other lithology [%],Clast 3 -other lithology grain size,Diagenetic structure,Macrofossil,Macrofossil abundance name,MAJ Lith. prefix + name,MAJ Lith. name+suffix,MAJ Lith. Abundance (%),MAJ Lith. Ave. grain size,MAJ Lith. ave. grain size rank,MAJ Lith. max. grain size,MAJ Lith. max. grain size rank,File Data,Extra Sample ID Data
342-U1406C-5H-7-A,342,U1406,C,5,5-7,H,7,A,0,59,40.21,40.8,clayey [Leg339],nannofossil ooze [Leg339],,clayey  nannofossil ooze ,5GY 7/1 (light greenish gray),,,,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   nannofossil ooze ,nannofossil ooze ,,,,,,,
342-U1406C-5H-CC-A,342,U1406,C,5,5-CC,H,CC,A,,,40.8,40.89,clayey [Leg339],nannofossil ooze [Leg339],,clayey  nannofossil ooze ,5GY 7/1 (light greenish gray),,,,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   nannofossil ooze ,nannofossil ooze ,,,,,,,
342-U1406C-6H-1-A,342,U1406,C,6,6-1,H,1,A,6,150,40.9,42.4,clayey [Leg339],nannofossil ooze [Leg339],,clayey  nannofossil ooze ,5GY 6/1 (greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   nannofossil ooze ,nannofossil ooze ,,,,,,,
342-U1406C-6H-2-A,342,U1406,C,6,6-2,H,2,A,0,150,42.4,43.9,clayey [Leg339],nannofossil ooze [Leg339],,clayey  nannofossil ooze ,5GY 6/1 (greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   nannofossil ooze ,nannofossil ooze ,,,,,,,
342-U1406C-6H-3-A,342,U1406,C,6,6-3,H,3,A,0,150,43.9,45.4,clayey [Leg339],nannofossil ooze [Leg339],,clayey  nannofossil ooze ,5GY 6/1 (greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   nannofossil ooze ,nannofossil ooze ,,,,,,,
342-U1406C-6H-4-A,342,U1406,C,6,6-4,H,4,A,0,152,45.4,46.92,clayey [Leg339],nannofossil ooze [Leg339],,clayey  nannofossil ooze ,5GY 6/1 (greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   nannofossil ooze ,nannofossil ooze ,,,,,,,
342-U1406C-6H-5-A,342,U1406,C,6,6-5,H,5,A,0,150,46.92,48.42,clayey [Leg339],nannofossil ooze [Leg339],,clayey  nannofossil ooze ,5GY 6/1 (greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   nannofossil ooze ,nannofossil ooze ,,,,,,,
342-U1406C-6H-6-A,342,U1406,C,6,6-6,H,6,A,0,150,48.42,49.92,clayey [Leg339],nannofossil ooze [Leg339],,clayey  nannofossil ooze ,5GY 6/1 (greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   nannofossil ooze ,nannofossil ooze ,,,,,,,
342-U1406C-6H-7-A,342,U1406,C,6,6-7,H,7,A,0,59,49.92,50.51,clayey [Leg339],nannofossil ooze [Leg339],,clayey  nannofossil ooze ,5GY 6/1 (greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   nannofossil ooze ,nannofossil ooze ,,,,,,,
342-U1406C-6H-CC-A,342,U1406,C,6,6-CC,H,CC,A,0,21,50.51,50.77,clayey [Leg339],nannofossil ooze [Leg339],,clayey  nannofossil ooze ,5GY 6/1 (greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   nannofossil ooze ,nannofossil ooze ,,,,,,,
342-U1406C-7H-1-A,342,U1406,C,7,7-1,H,1,A,0,150,50.4,51.9,clayey [Leg339],nannofossil ooze [Leg339],,clayey  nannofossil ooze ,5GY 6/1 (greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   nannofossil ooze ,nannofossil ooze ,,,,,,,
342-U1406C-7H-1-A,342,U1406,C,7,7-1,H,1,A,15,61,50.55,51.01,,,,,,,mineral,glauconite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1406C-7H-2-A,342,U1406,C,7,7-2,H,2,A,0,150,51.9,53.4,clayey [Leg339],nannofossil ooze [Leg339],,clayey  nannofossil ooze ,5GY 6/1 (greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   nannofossil ooze ,nannofossil ooze ,,,,,,,
342-U1406C-7H-3-A,342,U1406,C,7,7-3,H,3,A,0,150,53.4,54.9,clayey [Leg339],nannofossil ooze [Leg339],,clayey  nannofossil ooze ,5GY 6/1 (greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   nannofossil ooze ,nannofossil ooze ,,,,,,,
342-U1406C-7H-4-A,342,U1406,C,7,7-4,H,4,A,0,150,54.9,56.4,clayey [Leg339],nannofossil ooze [Leg339],,clayey  nannofossil ooze ,5GY 6/1 (greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   nannofossil ooze ,nannofossil ooze ,,,,,,,
342-U1406C-7H-5-A,342,U1406,C,7,7-5,H,5,A,0,150,56.4,57.9,clayey [Leg339],nannofossil ooze [Leg339],,clayey  nannofossil ooze ,5GY 6/1 (greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   nannofossil ooze ,nannofossil ooze ,,,,,,,
342-U1406C-7H-6-A,342,U1406,C,7,7-6,H,6,A,0,150,57.9,59.4,clayey [Leg339],nannofossil ooze [Leg339],,clayey  nannofossil ooze ,5GY 6/1 (greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   nannofossil ooze ,nannofossil ooze ,,,,,,,
342-U1406C-7H-7-A,342,U1406,C,7,7-7,H,7,A,0,50,59.4,59.97,clayey [Leg339],nannofossil ooze [Leg339],,clayey  nannofossil ooze ,5GY 6/1 (greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   nannofossil ooze ,nannofossil ooze ,,,,,,,
342-U1406C-8H-1-A,342,U1406,C,8,8-1,H,1,A,13,150,59.9,61.4,clayey [Leg339],nannofossil ooze [Leg339],,clayey  nannofossil ooze ,5GY 6/1 (greenish gray),,,,complete_339 [DB91],6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   nannofossil ooze ,nannofossil ooze ,,,,,,,
342-U1406C-8H-2-A,342,U1406,C,8,8-2,H,2,A,0,150,61.4,62.9,clayey [Leg339],nannofossil ooze [Leg339],,clayey  nannofossil ooze ,5GY 6/1 (greenish gray),,,,complete_339 [DB91],6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   nannofossil ooze ,nannofossil ooze ,,,,,,,
342-U1406C-8H-3-A,342,U1406,C,8,8-3,H,3,A,0,150,62.9,64.4,clayey [Leg339],nannofossil ooze [Leg339],,clayey  nannofossil ooze ,5GY 6/1 (greenish gray),,,,complete_339 [DB91],6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   nannofossil ooze ,nannofossil ooze ,,,,,,,
342-U1406C-8H-4-A,342,U1406,C,8,8-4,H,4,A,0,150,64.4,65.9,clayey [Leg339],nannofossil ooze [Leg339],,clayey  nannofossil ooze ,5GY 6/1 (greenish gray),,,,complete_339 [DB91],6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   nannofossil ooze ,nannofossil ooze ,,,,,,,
342-U1406C-8H-5-A,342,U1406,C,8,8-5,H,5,A,0,150,65.9,67.4,clayey [Leg339],nannofossil ooze [Leg339],,clayey  nannofossil ooze ,5GY 6/1 (greenish gray),,,,complete_339 [DB91],6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   nannofossil ooze ,nannofossil ooze ,,,,,,,
342-U1406C-8H-6-A,342,U1406,C,8,8-6,H,6,A,0,150,67.4,68.9,clayey [Leg339],nannofossil ooze [Leg339],,clayey  nannofossil ooze ,5GY 6/1 (greenish gray),,,,complete_339 [DB91],6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   nannofossil ooze ,nannofossil ooze ,,,,,,,
342-U1406C-8H-7-A,342,U1406,C,8,8-7,H,7,A,0,51,68.9,69.41,clayey [Leg339],nannofossil ooze [Leg339],,clayey  nannofossil ooze ,5GY 6/1 (greenish gray),,,,complete_339 [DB91],6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   nannofossil ooze ,nannofossil ooze ,,,,,,,
342-U1406C-8H-CC-A,342,U1406,C,8,8-CC,H,CC,A,0,20,69.41,69.66,clayey [Leg339],nannofossil ooze [Leg339],,clayey  nannofossil ooze ,5GY 6/1 (greenish gray),,,,complete_339 [DB91],6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   nannofossil ooze ,nannofossil ooze ,,,,,,,
342-U1406C-9H-1-A,342,U1406,C,9,9-1,H,1,A,0,150,69.4,70.9,,nannofossil ooze [Leg339],with biogenic components [Leg339],nannofossil ooze  with biogenic components ,10GY 7/1 (light greenish gray),,,,moderate_339 [DB91],4,,"several thin (<1 cm) greenishy-gray layers (5G 6/1) at 9-10, 13 16, 49, 52 67, 79, 82, 121 and 143-144 cm, brownish (10Y 6/1) patches and layers are more abundant below 70 cm",,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil ooze ,nannofossil ooze   with biogenic components ,,,,,,,
342-U1406C-9H-2-A,342,U1406,C,9,9-2,H,2,A,0,124,70.9,72.14,,nannofossil ooze [Leg339],with biogenic components [Leg339],nannofossil ooze  with biogenic components ,10GY 7/1 (light greenish gray),,,,moderate_339 [DB91],4,,"greenish gray layers at: 15, 17, 418, 49, 118, 119 and 141 cm; disseminated sulfides concentrated around 13-14, 20-22, 58-60 and 137-139 cm",,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil ooze ,nannofossil ooze   with biogenic components ,,,,,,,
342-U1406C-9H-2-A,342,U1406,C,9,9-2,H,2,A,124,150,72.14,72.4,,nannofossil ooze [Leg339],with biogenic components [Leg339],nannofossil ooze  with biogenic components ,10Y 6/1 (greenish gray),,,,moderate_339 [DB91],4,,somewhat darker than above (gradual change on top); greenish gray layers at:  141 cm; disseminated sulfides concentrated around 137-139 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil ooze ,nannofossil ooze   with biogenic components ,,,,,,,
342-U1406C-9H-3-A,342,U1406,C,9,9-3,H,3,A,0,51,72.4,72.91,,nannofossil ooze [Leg339],with biogenic components [Leg339],nannofossil ooze  with biogenic components ,10Y 6/1 (greenish gray),,,,moderate_339 [DB91],4,,"greenish, and brownish gray patches, sulfides are concentrated aorund 28 and 43-44 cm",,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil ooze ,nannofossil ooze   with biogenic components ,,,,,,,
342-U1406C-9H-3-A,342,U1406,C,9,9-3,H,3,A,51,150,72.91,73.9,,nannofossil ooze [Leg339],with biogenic components [Leg339],nannofossil ooze  with biogenic components ,10GY 7/1 (light greenish gray),,,,moderate_339 [DB91],4,,"getting gradually brighter again; slightly mottled diffuse greenish and brownish-gray patches troughout, blebs of disseminated sulfides occur between 51 and 91 cm",,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil ooze ,nannofossil ooze   with biogenic components ,,,,,,,
342-U1406C-9H-4-A,342,U1406,C,9,9-4,H,4,A,0,66,73.9,74.56,,nannofossil ooze [Leg339],with biogenic components [Leg339],nannofossil ooze  with biogenic components ,10GY 7/1 (light greenish gray),,,,heavy_339 [DB91],5,,very uniform,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil ooze ,nannofossil ooze   with biogenic components ,,,,,,,
342-U1406C-9H-4-A,342,U1406,C,9,9-4,H,4,A,66,150,74.56,75.4,,nannofossil ooze [Leg339],with biogenic components [Leg339],nannofossil ooze  with biogenic components ,10GY 7/1 (light greenish gray),,,,moderate_339 [DB91],4,,"diffuse brownish-gray and greenish levels are alternating, patches of disseminated sulfides are at 107-109, 114-115, 116 and 131 cm",,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil ooze ,nannofossil ooze   with biogenic components ,,,,,,,
