Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Sample domain number (if >1 domain),Sample domain name (if >1 domain),Domain relative abundance [%],Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Lithology prefix,Lithology principal name,Lithology suffix,Lithology prefix+name+suffix [read only],Lithology color (Munsell),Layer or bedding thickness,Lithology lithification,Lithology ave. grain size class,Lithology ave. grain size rank [read only],Lithology max. grain size class,Lithology max. grain size rank [read only],General interval comment,Sorting,Grading,Sedimentary structure,Diagenetic structure,Clasts (>2 mm) DOMINANT,DOMINANT Clasts % [%],DOMINANT Clasts ave. grain size class,DOMINANT Clasts ave. grain size rank [read only],DOMINANT Clasts max. grain size class,DOMINANT Clasts max. grain size rank [read only],DOMINANT clast roundness,Clasts (>2 mm) Subdominant,Subdominant Clasts % [%],Subdominant Clasts ave. grain size class,Subdominant Clasts ave. grain size rank [read only],Subdominant Clasts max. grain size class,Subdominant Clasts max. grain size rank [read only],Subdominant clast roundness,Clast comments,"Matrix, fines (<2 mm) DOMINANT",Matrix sorting,Matrix modifier,Matrix comments,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
366-U1493B-3F-4-A,25.0,32.0,13.17,13.24,IIB,,,,,,,serpentinite,mud,,serpentinite mud,10Y 8/1 (light greenish gray),,unconsolidated,clay,1,clay,1,,,,,,,,,,,,,,,,,,,,,serpentine clay matrix,,,,,,,366,U1493,B,3,F,4,A
366-U1493B-3F-4-A,32.0,57.0,13.24,13.49,IIB,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,10B 5/1 (bluish gray),,unconsolidated,silt,2,pebble,9,,poor,,,,ultramafic rock,2,granule,8,pebble,9,subangular,,,,,,,,,serpentine clay matrix,poor,,,,,,366,U1493,B,3,F,4,A
366-U1493B-3F-4-A,57.0,121.0,13.49,14.13,IIB,,,,,,,,,,,,,,,,,,"MBIO, IW",,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1493,B,3,F,4,A
366-U1493B-3F-5-A,0.0,66.0,14.13,14.79,IIB,,,,irregular,scoured,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,10B 5/1 (bluish gray),,unconsolidated,silt,2,pebble,9,,poor,,,,ultramafic rock,2,granule,8,pebble,9,subangular,,,,,,,,,serpentine clay matrix,poor,,,,,,366,U1493,B,3,F,5,A
366-U1493B-3F-5-A,66.0,80.0,14.79,14.93,IIB,,,,,,,serpentinite,pebbly mud,,serpentinite pebbly mud,10BG 4/1 (dark greenish gray),,unconsolidated,medium sand,5,granule,8,,poor,,,,ultramafic rock,3,granule,8,granule,8,subangular,,,,,,,,,serpentine clay matrix,,,,,,,366,U1493,B,3,F,5,A
366-U1493B-3F-CC-A,0.0,42.0,14.93,15.35,IIB,,,,,,,serpentinite,pebbly mud,,serpentinite pebbly mud,10BG 4/1 (dark greenish gray),,unconsolidated,medium sand,5,granule,8,,poor,,,,ultramafic rock,3,granule,8,granule,8,subangular,,,,,,,,,serpentine clay matrix,,,,,,,366,U1493,B,3,F,CC,A
366-U1493B-4F-1-A,0.0,67.0,15.1,15.77,IIC,,,,irregular,scoured,,serpentinite,pebbly mud,,serpentinite pebbly mud,10BG 5/1 (greenish gray),,unconsolidated,granule,8,cobble,10,,poor,,,,ultramafic rock,12,pebble,10,cobble,10,sub-rounded,,,,,,,,,serpentine clay matrix,,,,,,,366,U1493,B,4,F,1,A
366-U1493B-4F-1-A,67.0,115.0,15.77,16.25,IIC,,,,irregular,scoured,,"matrix-supported, monomict",breccia-conglomerate,,"matrix-supported, monomict breccia-conglomerate",10BG 5/1 (greenish gray),,unconsolidated,pebble,9,pebble,9,,poor,,,,ultramafic rock,15,pebble,10,pebble,9,sub-rounded,,,,,,,,,serpentine clay matrix,,,,,,,366,U1493,B,4,F,1,A
366-U1493B-4F-1-A,115.0,139.0,16.25,16.49,IIC,,,,,,,serpentinite,pebbly mud,,serpentinite pebbly mud,10BG 5/1 (greenish gray),,unconsolidated,granule,8,cobble,10,,poor,,,,ultramafic rock,12,pebble,10,medium sand,5,sub-rounded,,,,,,,,,serpentine clay matrix,,,,,,,366,U1493,B,4,F,1,A
366-U1493B-4F-2-A,0.0,59.0,16.49,17.08,IIC,,,,,,,serpentinite,pebbly mud,,serpentinite pebbly mud,10BG 5/1 (greenish gray),,unconsolidated,granule,8,cobble,10,,poor,,,,ultramafic rock,3,pebble,10,medium sand,5,sub-rounded,,,,,,,,,serpentine clay matrix,,,,,,,366,U1493,B,4,F,2,A
366-U1493B-4F-2-A,59.0,150.0,17.08,17.99,,,,,,,,,,,,,,,,,,,"EICK, ZHAN, MBIO, IW",,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1493,B,4,F,2,A
366-U1493B-4F-3-A,0.0,69.0,17.99,18.68,IIIA,,,,,,,serpentinite,pebbly mud,,serpentinite pebbly mud,5BG 7/1 (light greenish gray),,unconsolidated,granule,8,cobble,10,subvertical banding due to drilling disturbance (twisted core),poor,,,,ultramafic rock,5,pebble,10,medium sand,5,sub-rounded,,,,,,,,,serpentine clay matrix,,,,,,,366,U1493,B,4,F,3,A
366-U1493B-4F-CC-A,0.0,39.0,18.68,19.07,IIIA,,,,,,,serpentinite,pebbly mud,,serpentinite pebbly mud,5BG 7/1 (light greenish gray),,unconsolidated,granule,8,cobble,10,subvertical banding due to drilling disturbance (twisted core),poor,,,,ultramafic rock,5,pebble,10,medium sand,5,sub-rounded,,,,,,,,,serpentine clay matrix,,,,,,,366,U1493,B,4,F,CC,A
366-U1493B-5F-1-A,0.0,105.0,19.8,20.85,IIIA,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5BG 5/2 (grayish blue green),,unconsolidated,fine sand,4,pebble,9,,poor,,,,ultramafic rock,5,pebble,10,pebble,9,sub-rounded,lithic,0.5,,,,,,,serpentine clay matrix,,,,,,,366,U1493,B,5,F,1,A
366-U1493B-5F-1-A,105.0,120.0,20.85,21.0,IIIA,,,,,,,,,,,,,,,,,,MENA,,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1493,B,5,F,1,A
366-U1493B-5F-2-A,0.0,81.0,21.0,21.81,IIIA,,,,,,,serpentinite,pebbly mud,,serpentinite pebbly mud,5BG 5/2 (grayish blue green),,unconsolidated,fine sand,4,pebble,9,,poor,,,,ultramafic rock,5,pebble,10,pebble,9,sub-rounded,,,,,,,,,serpentine clay matrix,,,,,,,366,U1493,B,5,F,2,A
366-U1493B-5F-2-A,81.0,150.0,21.81,22.5,IIIA,,,,,,,,,,,,,,,,,,"MBIO, IW",,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1493,B,5,F,2,A
366-U1493B-5F-3-A,0.0,51.0,22.5,23.01,IIIA,,,,,,,serpentinite,pebbly mud,,serpentinite pebbly mud,5BG 5/2 (grayish blue green),,unconsolidated,fine sand,4,pebble,9,,poor,,,,ultramafic rock,5,pebble,10,pebble,9,sub-rounded,,,,,,,,,serpentine clay matrix,,,,,,,366,U1493,B,5,F,3,A
366-U1493B-6F-1-A,0.0,22.0,24.5,24.72,IIIA,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5BG 7/2 (pale blue green),,unconsolidated,fine sand,4,pebble,9,Fall in with orange clasts from surface layer mixed with pale green serpentine mud and dark clasts.,poor,,,,ultramafic rock,15,granule,8,pebble,9,angular,sandstone,5.0,granule,8,granule,8,sub-rounded,"UM clasts are black to grey, rare pale green. SS clasts are orange-brown, apparent fallin from upper oxidized layer.",serpentine clay matrix,,,,,,,366,U1493,B,6,F,1,A
366-U1493B-6F-1-A,22.0,40.0,24.72,24.9,IIIA,,,,,,,serpentinite,pebbly mud,,serpentinite pebbly mud,5BG 7/2 (pale blue green),,consolidated,clay,1,granule,8,Contorted plastic core liner mixed into sample,poor,,,,ultramafic rock,5,coarse sand,6,granule,8,subangular,,,,,,,,Altered to saprolite,serpentine clay matrix,,,,,,,366,U1493,B,6,F,1,A
366-U1493B-6F-2-A,0.0,61.0,24.9,25.51,IIIB,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,10G 7/1 (light greenish gray),,consolidated,clay,1,cobble,10,Severe drilling damage,poor,,,,ultramafic rock,20,granule,8,cobble,10,subangular,,,,,,,,"Former large clasts are brecciated; probably before drilling, with white veins (carbonate?) and pale green serpentine veins. Breccia re-broken on veins by drilling disturbance.",serpentine clay matrix,poor,,,,,,366,U1493,B,6,F,2,A
366-U1493B-6F-2-A,61.0,151.0,25.51,26.41,IIIB,,,,,,,,,,,,,,,,,,MBIO,,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1493,B,6,F,2,A
366-U1493B-6F-3-A,0.0,60.0,26.41,27.01,IIIB,,,,,,,serpentinite,pebbly mud,,serpentinite pebbly mud,GLEY 2 7/5BG (light greenish gray),,consolidated,clay,1,pebble,9,"Mostly small clasts with strong vertical fabric. Fabric drilling induced on margins, but center may be primary flow fabric (or not). Most clasts highly elongated with aspect ratio 2:1 parallel to vertical axis of core.",,,,,ultramafic rock,5,granule,8,pebble,9,angular,,,,,,,,"Most clasts <1 cm, elongated 2:1 vertically. Black harzburgite.",serpentine clay matrix,poor,,,,,,366,U1493,B,6,F,3,A
366-U1493B-6F-3-A,60.0,95.0,27.01,27.36,IIIB,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,GLEY 2 7/10BG (light greenish gray),,consolidated,clay,1,pebble,9,Similar to upper section but no strong flow textures,,,,,ultramafic rock,10,granule,8,pebble,9,subangular,,,,,,,,"Brecciated clasts 2-3 cm across, no flow orientation. Black harz plus some green serpentine",serpentine clay matrix,poor,,Small (1-2 mm clasts) of whitish-pinkish color irregularly distributed. May be fragments of carbonate veins.,,,,366,U1493,B,6,F,3,A
366-U1493B-6F-3-A,95.0,110.0,27.36,27.51,IIIB,,,,,,,,,,,,,,,,,,MBIO,,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1493,B,6,F,3,A
366-U1493B-6F-CC-A,0.0,62.0,27.51,28.13,IIIB,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,GLEY 2 7/10BG (light greenish gray),,consolidated,clay,1,pebble,9,"Three large clasts, most small. Strong flow fabric with grain segregations into coarser and finer bands, oriented vertically. May be primary or drilling induced.",,,,,ultramafic rock,10,granule,8,pebble,9,subangular,,,,,,,,,,,,,,,,366,U1493,B,6,F,CC,A
366-U1493B-7X-CC-A,0.0,10.0,28.1,28.2,IIIB,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,GLEY 2 8/10G (light greenish gray),,unconsolidated,coarse sand,6,pebble,9,Fall in,,,,,ultramafic rock,15,granule,8,pebble,9,subangular,sandstone,5.0,coarse sand,6,pebble,9,,Fallin,serpentine clay matrix,poor,,,,,,366,U1493,B,7,X,CC,A
366-U1493B-7X-CC-A,10.0,18.0,28.2,28.28,IIIC,,,,,,,serpentinized,harzburgite,with mud,serpentinized harzburgite with mud,GLEY 2 4/5PB (dark bluish gray),,lithified,cobble,10,cobble,10,Single clast with surrounding mud,,,,,harzburgite,90,cobble,11,cobble,10,sub-rounded,,,,,,,,Large single harzburgite clast with pale green mud adhering.,serpentine clay matrix,,,,,,,366,U1493,B,7,X,CC,A
366-U1493B-7X-CC-A,18.0,31.0,28.28,28.41,IIIC,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,GLEY 2 6/5BG (greenish gray),,consolidated,clay,1,pebble,9,"Pebbly mud with drilling disturbance. Lower 7 cm is darker grey, may be highly altered clast.",,,,,ultramafic rock,5,granule,8,pebble,9,subangular,,,,,,,,,,,,,,,,366,U1493,B,7,X,CC,A
366-U1493B-8F-CC-A,0.0,44.0,29.2,29.64,IIIC,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,GLEY 2 8/10G (light greenish gray),,unconsolidated,clay,1,pebble,9,"Pebbly mud with drilling disturbance - fallin, soupy",,,,,ultramafic rock,5,granule,8,pebble,9,angular,sandstone,1.0,coarse sand,6,granule,8,,Oxidized red brown material from uppermost unit. Whole core is soupy.,serpentine clay matrix,poor,,,,,,366,U1493,B,8,F,CC,A
366-U1493B-9X-1-A,0.0,18.0,29.6,29.78,IIIC,,,,curviplanar,sharp,horizontal,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,GLEY 2 8/10BG (light greenish gray),,unconsolidated,clay,1,pebble,9,"Fall in. Mixture of black UM clasts with red-brown UM clasts, Lower 6 cm crudely bedded.",moderate,,,,ultramafic rock,20,granule,8,pebble,9,sub-rounded,peridotite,2.0,coarse sand,6,granule,8,subangular,Oxidized clasts of peridotite similar to upper part of hole.,serpentine clay matrix,,,,,,,366,U1493,B,9,X,1,A
366-U1493B-9X-1-A,18.0,32.0,29.78,29.92,IIIC,,,,curviplanar,sharp,inclined,serpentinized,harzburgite,with mud,serpentinized harzburgite with mud,GLEY 2 3/5BG (very dark greenish gray),,lithified,cobble,10,cobble,10,Single clast of harz with mud attached,,,,,harzburgite,95,cobble,11,clay,1,sub-rounded,,,,,,,,,serpentine clay matrix,,,,,,,366,U1493,B,9,X,1,A
366-U1493B-9X-1-A,32.0,51.0,29.92,30.11,IIIC,,,,Curviplanar,sharp,sub-horizontal,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,GLEY 2 7/5BG (light greenish gray),,Unconsolidated,Clay,1,Pebble,9,"Two clasts, each about 3 cm across, in mottled pale green to darker grey green serpentine clay matrix. The clast at X cm contains small crystals of a bright apple green mineral associated with platy phase (serpentine?). Small grains of similar apple green mineral appear in the matrix adjacent to this clast.",,,,,ultramafic rock,15,pebble,10,pebble,9,sub-rounded,serpentine,2.0,coarse sand,6,granule,8,subangular,,serpentine clay matrix,,,,,,,366,U1493,B,9,X,1,A
366-U1493B-9X-1-A,51.0,93.0,30.11,30.53,IV,,,,,,,serpentinized,harzburgite,,serpentinized harzburgite,GLEY 2 4/10B (dark bluish gray),,lithified,boulder,11,boulder,11,Single large clast of serpentinized harzburgite cross-cut by Frankenstein veins (multiple generations of intersecting veinlets cross large serpentine filled fracture).,,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1493,B,9,X,1,A
366-U1493B-9X-CC-A,0.0,21.5,30.53,30.745,IV,,,,curviplanar,sharp,sub-horizontal,serpentinized,harzburgite,,serpentinized harzburgite,GLEY 2 4/10B (dark bluish gray),,lithified,boulder,11,boulder,11,Single large clast of serpentinized harzburgite cross-cut by Frankenstein veins (multiple generations of intersecting veinlets cross large serpentine filled fracture).,,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1493,B,9,X,CC,A
366-U1493B-9X-CC-A,21.5,43.0,30.745,30.96,IV,,,,,,,serpentinized,harzburgite,with mud,serpentinized harzburgite with mud,GLEY 2 4/10B (dark bluish gray),,lithified,cobble,10,cobble,10,Two cobble-sized serpentinized harzburgite clasts with mud,,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1493,B,9,X,CC,A
