Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology Prefix,Lithology Principal Name,Lithology Suffix,MAJ Lith. prefix+name+suffix [read only],TEPHRA type,Sediment structures,MAJ lith color (simple),MAJ Lith. color,MAJ Lith. abundance [%],MAJ Lith. ave. grain size ,MAJ Lith. ave. grain size rank [read only],MAJ Lith. max. grain size,MAJ Lith. max. grain size rank [read only],MAJ lithology comment,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix,MIN Lith. prefix + name,MIN Lith. prefix+name+suffix,MIN Lith. name+suffix,MIN lith color (simple),MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,MIN lithology comment,Lith. abundance sum [%],Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Layer or bedding thickness,Grading,Amount of ash in lithology,Amount of ash in lithology rank [read only],Sedimentary structure comment,Bioturbation intensity,Bioturbation intensity rank [read only],Diagenetic structure,Macrofossil,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
355-U1457A-1H-5-A,109,131,6.31,6.53,,,clay,with nannofossils,clay with nannofossils,,,gray,GLEY 1 5/N (gray),,clay,1.0,silt,2.0,,,,,,,,,,,,,,,,,erosive,scoured,sub-horizontal,medium bedded,,,,,,,,,,,,,355,U1457,A,1,H,5,A
355-U1457A-1H-5-A,131,150,6.53,6.72,,silty,sand,with nannofossils,silty sand with nannofossils,,,dark gray,GLEY 1 3/N (very dark gray),80.0,very fine sand,3.0,fine sand,4.0,,silty,clay,with nannofossils,silty clay,silty clay with nannofossils,clay with nannofossils,gray,GLEY 1 5/N (gray),20.0,clay,1.0,silt,2.0,,100.0,,,,medium bedded,normally graded,,,,,,,,,,,,355,U1457,A,1,H,5,A
355-U1457A-1H-6-A,0,37,6.72,7.09,,,clay,with nannofossils,clay with nannofossils,,,gray,GLEY 1 5/N (gray),80.0,clay,1.0,silt,2.0,,silty,sand,with nannofossils,silty sand,silty sand with nannofossils,sand with nannofossils,dark gray,GLEY 1 3/N (very dark gray),20.0,very fine sand,3.0,fine sand,4.0,,100.0,erosive,scoured,sub-horizontal,medium bedded,,,,,,,,,,,,,355,U1457,A,1,H,6,A
355-U1457A-1H-6-A,37,71,7.09,7.43,,silty,sand,with nannofossils,silty sand with nannofossils,,,dark gray,GLEY 1 3/N (very dark gray),60.0,very fine sand,3.0,fine sand,4.0,,silty,clay,with nannofossils,silty clay,silty clay with nannofossils,clay with nannofossils,gray,GLEY 1 5/N (gray),40.0,clay,1.0,silt,2.0,,100.0,erosive,scoured,sub-horizontal,medium bedded,normally graded,,,,,,,,,,,,355,U1457,A,1,H,6,A
355-U1457A-1H-6-A,71,104,7.43,7.76,,silty,clay,with nannofossils,silty clay with nannofossils,,,dark gray,GLEY 1 3/N (very dark gray),,clay,1.0,silt,2.0,,,,,,,,,,,,,,,,,gradational,gradational,sub-horizontal,thickly bedded,,,,,,,,shell,,,,,355,U1457,A,1,H,6,A
355-U1457A-1H-6-A,104,110,7.76,7.82,,nannofossil rich,clay,with silt,nannofossil rich clay with silt,,,light bluish gray,GLEY 1 6/10Y (greenish gray),,clay,1.0,silt,2.0,,,,,,,,,,,,,,,,,,,,thinly bedded,,,,,,,,,,,,,355,U1457,A,1,H,6,A
355-U1457A-1H-7-A,0,36,7.92,8.28,,,nannofossil ooze,,nannofossil ooze,,,gray,GLEY 1 5/10Y (greenish gray),,clay,1.0,silt,2.0,,,,,,,,,,,,,,,,,erosive,scoured,sub-horizontal,thickly bedded,,,,,slight,2.0,,,,,,,355,U1457,A,1,H,7,A
355-U1457A-1H-7-A,36,61,8.28,8.53,,nannofossil rich,clay,with silt,nannofossil rich clay with silt,,,light gray,GLEY 1 6/10Y (greenish gray),,clay,1.0,silt,2.0,,,,,,,,,,,,,,,,,,,,medium bedded,,,,,slight,2.0,,,,,,,355,U1457,A,1,H,7,A
355-U1457A-1H-CC-A,0,16,8.53,8.69,,nannofossil rich,clay,with silt,nannofossil rich clay with silt,,,light gray,GLEY 1 6/10Y (greenish gray),,clay,1.0,silt,2.0,,,,,,,,,,,,,,,,,,,,medium bedded,,,,,,,,,,,,,355,U1457,A,1,H,CC,A
355-U1457A-2H-1-A,0,33,8.7,9.03,,nannofossil rich,clay,with silt,nannofossil rich clay,,,gray,GLEY 1 5/10Y (greenish gray),,clay,1.0,silt,2.0,,,,,,,,,,,,,,,,,erosive,sharp,horizontal,thickly bedded,,,,,slight,2.0,,,,,,,355,U1457,A,2,H,1,A
355-U1457A-2H-1-A,33,77,9.03,9.47,,nannofossil rich,clay,with silt,nannofossil rich clay with silt,,,light gray,GLEY 1 6/10Y (greenish gray),,clay,1.0,silt,2.0,,,,,,,,,,,,,,,,,erosive,sharp,horizontal,thickly bedded,,,,,slight,2.0,,,,,,,355,U1457,A,2,H,1,A
355-U1457A-2H-1-A,77,89,9.47,9.59,,calcareous rich,clay,with silt,calcareous rich clay with silt,,,white,GLEY 1 7/10Y (light greenish grey),,clay,1.0,silt,2.0,,,,,,,,,,,,,,,,,gradational,sharp,horizontal,medium bedded,,,,,,,,,,,,,355,U1457,A,2,H,1,A
355-U1457A-2H-1-A,89,108,9.59,9.78,,nannofossil rich,clay,with silt,nannofossil rich clay with silt,,,light gray,GLEY 1 6/10Y (greenish gray),,clay,1.0,silt,2.0,,,,,,,,,,,,,,,,,erosive,sharp,horizontal,medium bedded,,,,,slight,2.0,,,,,,,355,U1457,A,2,H,1,A
355-U1457A-2H-1-A,108,150,9.78,10.2,,calcareous rich,clay,with silt,calcareous rich clay with silt,,,white,GLEY 1 7/10Y (light greenish grey),70.0,clay,1.0,silt,2.0,,calcareous rich,clay,with silt,calcareous rich clay,calcareous rich clay with silt,clay with silt,light gray,GLEY 1 6/10Y (greenish gray),30.0,clay,1.0,silt,2.0,,100.0,,,,thickly bedded,,,,,,,,,,,,,355,U1457,A,2,H,1,A
355-U1457A-2H-2-A,0,10,10.2,10.3,,calcareous rich,clay,with silt,calcareous rich clay with silt,,,white,GLEY 1 7/10Y (light greenish grey),,clay,1.0,silt,2.0,,,,,,,,,,,,,,,,,erosive,sharp,horizontal,medium bedded,,,,,,,,,,,,,355,U1457,A,2,H,2,A
355-U1457A-2H-2-A,10,131,10.3,11.51,,nannofossil rich,clay,with silt,nannofossil rich clay with silt,,,gray,GLEY 1 5/10Y (greenish gray),80.0,clay,1.0,silt,2.0,,silty,clay,with nannofossils,silty clay,silty clay with nannofossils,clay with nannofossils,dark gray,GLEY 1 4/10Y (dark greenish gray),20.0,clay,1.0,silt,2.0,,100.0,gradational,scoured,sub-horizontal,very thickly bedded,,,,,slight,2.0,,,,,,,355,U1457,A,2,H,2,A
355-U1457A-2H-2-A,131,150,11.51,11.7,,silty,sand,,silty sand,,,dark gray,GLEY 1 3/N (very dark gray),60.0,very fine sand,3.0,fine sand,4.0,,silty,clay,,silty clay,silty clay,clay,dark gray,GLEY 1 3/10Y (very dark greenish gray),40.0,clay,1.0,silt,2.0,,100.0,,,,medium bedded,,,,,,,,,,,,,355,U1457,A,2,H,2,A
355-U1457A-2H-3-A,0,6,11.7,11.76,,silty,sand,,silty sand,,,dark gray,GLEY 1 3/N (very dark gray),,very fine sand,3.0,fine sand,4.0,,,,,,,,,,,,,,,,,erosive,sharp,horizontal,thinly bedded,normally graded,,,,,,,,,,,,355,U1457,A,2,H,3,A
355-U1457A-2H-3-A,6,60,11.76,12.3,,silty,clay,with nannofossils,silty clay with nannofossils,,,dark gray,GLEY 1 4/10Y (dark greenish gray),60.0,clay,1.0,silt,2.0,,nannofossil rich,clay,with silt,nannofossil rich clay,nannofossil rich clay with silt,clay with silt,light gray,GLEY 1 6/10Y (greenish gray),40.0,clay,1.0,silt,2.0,,100.0,erosive,scoured,sub-horizontal,thickly bedded,,,,,slight,2.0,,,,,,,355,U1457,A,2,H,3,A
355-U1457A-2H-3-A,60,119,12.3,12.89,,nannofossil rich,clay,,nannofossil rich clay,,,light gray,GLEY 1 6/10Y (greenish gray),80.0,clay,1.0,silt,2.0,,silty,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,gray,GLEY 1 5/10Y (greenish gray),20.0,clay,1.0,silt,2.0,,100.0,gradational,scoured,sub-horizontal,thickly bedded,,,,,slight,2.0,,,,,,,355,U1457,A,2,H,3,A
355-U1457A-2H-3-A,119,140,12.89,13.1,,silty,clay,with nannofossils,silty clay with nannofossils,,,dark gray,GLEY 1 4/10Y (dark greenish gray),,clay,1.0,silt,2.0,,,,,,,,,,,,,,,,,,,,medium bedded,,,,,,,,,,,,,355,U1457,A,2,H,3,A
355-U1457A-2H-4-A,0,14,13.2,13.34,,silty,clay,with nannofossils,silty clay with nannofossils,,,dark gray,GLEY 1 4/10Y (dark greenish gray),,clay,1.0,silt,2.0,,,,,,,,,,,,,,,,,erosive,scoured,sub-horizontal,medium bedded,,,,,,,,,,,,,355,U1457,A,2,H,4,A
355-U1457A-2H-4-A,14,52,13.34,13.72,,nannofossil rich,clay,,nannofossil rich clay,,,light gray,GLEY 1 6/10Y (greenish gray),80.0,clay,1.0,silt,2.0,,silty,clay,with nannofossils,silty clay,silty clay with nannofossils,clay with nannofossils,dark gray,GLEY 1 4/10Y (dark greenish gray),20.0,clay,1.0,silt,2.0,,100.0,erosive,sharp,horizontal,thickly bedded,,,,,,,,,,,,,355,U1457,A,2,H,4,A
355-U1457A-2H-4-A,52,70,13.72,13.9,,calcareous rich,clay,with silt,calcareous rich clay with silt,,,white,GLEY 1 7/10Y (light greenish grey),,,,,,,nannofossil rich,clay,,nannofossil rich clay,nannofossil rich clay with silt,clay with silt,gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,,,355,U1457,A,2,H,4,A
355-U1457A-2H-CC-A,0,12,13.9,14.02,,,calcareous ooze,,calcareous ooze,,,white,GLEY 1 8/10Y (light greenish gray),,clay,1.0,silt,2.0,,,,,,,,,,,,,,,,,,,,medium bedded,,,,,,,,,,,,,355,U1457,A,2,H,CC,A
355-U1457A-3H-1-A,0,95,18.2,19.15,,,nannofossil ooze,,nannofossil ooze,,,white,GLEY 1 8/10Y (light greenish gray),70.0,clay,1.0,silt,2.0,,nannofossil rich,clay,with silt,nannofossil rich clay,nannofossil rich clay with silt,clay with silt,light gray,GLEY 1 6/10Y (greenish gray),30.0,clay,1.0,silt,2.0,,100.0,erosive,scoured,sub-horizontal,medium bedded,normally graded,,,,,,,,,,,,355,U1457,A,3,H,1,A
355-U1457A-3H-1-A,95,128,19.15,19.48,,nannofossil rich,clay,with silt,nannofossil rich clay with silt,,,light gray,GLEY 1 6/10Y (greenish gray),60.0,clay,1.0,silt,2.0,,sandy,silt,,sandy silt,sandy silt,silt,gray,GLEY 1 5/10Y (greenish gray),40.0,silt,2.0,very fine sand,3.0,,100.0,erosive,scoured,horizontal,medium bedded,normally graded,,,,,,,,,,,,355,U1457,A,3,H,1,A
355-U1457A-3H-1-A,128,150,19.48,19.7,,nannofossil rich,clay,with silt,nannofossil rich clay with silt,,,light gray,GLEY 1 6/10Y (greenish gray),100.0,clay,1.0,silt,2.0,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,355,U1457,A,3,H,1,A
355-U1457A-3H-2-A,0,30,19.7,20.0,,,nannofossil ooze,with silt,nannofossil ooze with silt,,,light gray,GLEY 1 7/10Y (light greenish grey),90.0,clay,1.0,silt,2.0,,silty,clay,with nannofossils,silty clay,silty clay with nannofossils,clay with nannofossils,gray,GLEY 1 5/10Y (greenish gray),10.0,silt,2.0,silt,2.0,,100.0,erosive,sharp,horizontal,medium bedded,normally graded,,,,,,,,,,,,355,U1457,A,3,H,2,A
355-U1457A-3H-2-A,30,67,20.0,20.37,,,nannofossil ooze,with silt,nannofossil ooze with silt,,,light gray,GLEY 1 7/10Y (light greenish grey),80.0,clay,1.0,silt,2.0,,silty,clay,with nannofossils,silty clay,silty clay with nannofossils,clay with nannofossils,gray,GLEY 1 5/10Y (greenish gray),20.0,clay,1.0,silt,2.0,,100.0,erosive,sharp,horizontal,medium bedded,normally graded,,,,,,,,,,,,355,U1457,A,3,H,2,A
355-U1457A-3H-2-A,67,118,20.37,20.88,,nannofossil rich,clay,with silt,nannofossil rich clay with silt,,burrows,light gray,GLEY 1 6/10Y (greenish gray),60.0,clay,1.0,silt,2.0,,silty,clay,with nannofossils,silty clay,silty clay with nannofossils,clay with nannofossils,gray,GLEY 1 5/10Y (greenish gray),40.0,clay,1.0,silt,2.0,,100.0,erosive,scoured,horizontal,medium bedded,normally graded,,,,,,,,,,,,355,U1457,A,3,H,2,A
355-U1457A-3H-2-A,118,150,20.88,21.2,,,nannofossil ooze,with silt,nannofossil ooze with silt,,,light gray,GLEY 1 7/10Y (light greenish grey),50.0,clay,1.0,silt,2.0,,silty,clay,with nannofossils,silty clay,silty clay with nannofossils,clay with nannofossils,gray,GLEY 1 5/10Y (greenish gray),50.0,clay,1.0,silt,2.0,,100.0,,,,,,,,,,,,,,,,,355,U1457,A,3,H,2,A
355-U1457A-3H-3-A,0,26,21.2,21.46,,nannofossil rich,clay,with silt,nannofossil rich clay with silt,,,light gray,GLEY 1 6/10Y (greenish gray),70.0,clay,1.0,silt,2.0,,silty,clay,with nannofossils,silty clay,silty clay with nannofossils,clay with nannofossils,gray,GLEY 1 5/10Y (greenish gray),30.0,clay,1.0,silt,2.0,,100.0,erosive,scoured,sub-horizontal,medium bedded,normally graded,,,,,,,,,,,,355,U1457,A,3,H,3,A
355-U1457A-3H-3-A,26,53,21.46,21.73,,,nannofossil ooze,with silt,nannofossil ooze with silt,,,light gray,GLEY 1 7/10Y (light greenish grey),80.0,clay,1.0,silt,2.0,,silty,clay,with nannofossils,silty clay,silty clay with nannofossils,clay with nannofossils,gray,GLEY 1 5/10Y (greenish gray),20.0,clay,1.0,silt,2.0,,100.0,erosive,scoured,sub-horizontal,medium bedded,normally graded,,,,,,,,,,,,355,U1457,A,3,H,3,A
355-U1457A-3H-3-A,53,83,21.73,22.03,,silty,clay,,silty clay,,,light gray,GLEY 1 5/10Y (greenish gray),60.0,clay,1.0,silt,2.0,,nannofossil rich,clay,with silt,nannofossil rich clay,nannofossil rich clay with silt,clay with silt,light gray,GLEY 1 6/10Y (greenish gray),40.0,clay,1.0,silt,2.0,,100.0,erosive,scoured,sub-horizontal,medium bedded,normally graded,,,,,,,,,,,,355,U1457,A,3,H,3,A
355-U1457A-3H-3-A,83,150,22.03,22.7,,nannofossil rich,clay,with silt,nannofossil rich clay with silt,,burrows,light gray,GLEY 1 6/10Y (greenish gray),60.0,clay,1.0,silt,2.0,,silty,clay,with nannofossils,silty clay,silty clay with nannofossils,clay with nannofossils,gray,GLEY 1 5/10Y (greenish gray),40.0,clay,1.0,silt,2.0,,100.0,,,,,,,,,,,,,,,,,355,U1457,A,3,H,3,A
355-U1457A-3H-4-A,0,17,22.7,22.87,,silty,clay,,silty clay,,,gray,GLEY 1 5/10Y (greenish gray),100.0,clay,1.0,silt,2.0,,,,,,,,,,,,,,,,100.0,erosive,scoured,horizontal,thinly bedded,normally graded,,,,,,,,,,,,355,U1457,A,3,H,4,A
355-U1457A-3H-4-A,17,103,22.87,23.73,,,nannofossil ooze,with silt,nannofossil ooze with silt,,,light gray,GLEY 1 7/10Y (light greenish grey),70.0,clay,1.0,silt,2.0,,nannofossil rich,clay,,nannofossil rich clay,nannofossil rich clay,clay,gray,GLEY 1 5/10Y (greenish gray),30.0,clay,1.0,silt,2.0,,100.0,gradational,gradational,horizontal,thickly bedded,,,,,,,,,,,,,355,U1457,A,3,H,4,A
355-U1457A-3H-4-A,103,150,23.73,24.2,,nannofossil rich,clay,with silt,nannofossil rich clay with silt,,,light gray,GLEY 1 6/10Y (greenish gray),70.0,clay,1.0,silt,2.0,,silty,clay,,silty clay,silty clay,clay,gray,GLEY 1 5/10Y (greenish gray),30.0,,,,,,100.0,,,,,,,,,,,,,,,,,355,U1457,A,3,H,4,A
355-U1457A-3H-5-A,0,24,24.2,24.44,,nannofossil rich,clay,with silt,nannofossil rich clay with silt,,,light gray,GLEY 1 6/10Y (greenish gray),100.0,clay,1.0,silt,2.0,,,,,,,,,,,,,,,,100.0,gradational,gradational,horizontal,medium bedded,,,,,,,,,,,,,355,U1457,A,3,H,5,A
355-U1457A-3H-5-A,24,84,24.44,25.04,,nannofossil rich,clay,with silt,nannofossil rich clay with silt,,burrows,light gray,GLEY 1 6/10Y (greenish gray),70.0,clay,1.0,silt,2.0,,silty,clay,,silty clay,silty clay,clay,gray,GLEY 1 5/10Y (greenish gray),30.0,clay,1.0,silt,2.0,,100.0,erosive,scoured,horizontal,thickly bedded,normally graded,,,,,,,,,,,,355,U1457,A,3,H,5,A
355-U1457A-3H-5-A,84,128,25.04,25.48,,nannofossil rich,clay,with silt,nannofossil rich clay with silt,,burrows,light gray,GLEY 1 6/10Y (greenish gray),60.0,clay,1.0,silt,2.0,,silty,clay,,silty clay,silty clay,clay,gray,GLEY 1 5/10Y (greenish gray),40.0,clay,1.0,silt,2.0,,100.0,erosive,scoured,horizontal,medium bedded,normally graded,,,,,,,,,,,,355,U1457,A,3,H,5,A
355-U1457A-3H-5-A,128,140,25.48,25.6,,nannofossil rich,clay,with silt,nannofossil rich clay with silt,,,light gray,GLEY 1 6/10Y (greenish gray),100.0,clay,1.0,silt,2.0,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,355,U1457,A,3,H,5,A
355-U1457A-3H-6-A,0,126,25.7,26.96,,nannofossil rich,clay,,nannofossil rich clay,,,gray,GLEY 1 5/10Y (greenish gray),80.0,clay,1.0,clay,1.0,,clayey,silt,,clayey silt,clayey silt,silt,gray,GLEY 1 5/10Y (greenish gray),20.0,silt,2.0,silt,2.0,,100.0,,,,,,,,,,,,,,,,,355,U1457,A,3,H,6,A
355-U1457A-3H-CC-A,0,11,26.96,27.07,,nannofossil rich,clay,,nannofossil rich clay,,,gray,GLEY 1 5/10Y (greenish gray),100.0,clay,1.0,clay,1.0,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,355,U1457,A,3,H,CC,A
355-U1457A-3H-CC-A,0,16,26.96,27.12,,,,,clay with nannofossils,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,U1457,A,3,H,CC,A
355-U1457A-4H-1-A,0,36,27.7,28.06,,,nannofossil ooze,,nannofossil ooze,,,light gray,GLEY 1 7/10Y (light greenish grey),,clay,1.0,silt,2.0,,,,,,,,,,,,,,,,,gradational,gradational,horizontal,thickly bedded,,,,,,,,,,,,,355,U1457,A,4,H,1,A
355-U1457A-4H-1-A,36,56,28.06,28.26,,,nannofossil ooze,,nannofossil ooze,,,light gray,GLEY 1 6/10Y (greenish gray),80.0,clay,1.0,silt,2.0,,silty,clay,,silty clay,silty clay,clay,gray,GLEY 1 5/10Y (greenish gray),20.0,clay,1.0,silt,2.0,,100.0,erosive,scoured,horizontal,medium bedded,normally graded,,,,,,,,,,,,355,U1457,A,4,H,1,A
355-U1457A-4H-1-A,56,96,28.26,28.66,,,nannofossil ooze,,nannofossil ooze,,,light gray,GLEY 1 7/10Y (light greenish grey),,clay,1.0,silt,2.0,,,,,,,,,,,,,,,,,gradational,gradational,horizontal,thickly bedded,,,,,,,,,,,,,355,U1457,A,4,H,1,A
355-U1457A-4H-1-A,96,111,28.66,28.81,,nannofossil rich,clay,,nannofossil rich clay,,burrows,gray,GLEY 1 5/10Y (greenish gray),,clay,1.0,silt,2.0,,,,,,,,,,,,,,,,,planar,sharp,horizontal,medium bedded,,,,,,,,,,,,,355,U1457,A,4,H,1,A
355-U1457A-4H-1-A,111,130,28.81,29.0,,,nannofossil ooze,,nannofossil ooze,,,light gray,GLEY 1 7/10Y (light greenish grey),,clay,1.0,silt,2.0,,,,,,,,,,,,,,,,,gradational,gradational,horizontal,medium bedded,,,,,,,,,,,,,355,U1457,A,4,H,1,A
355-U1457A-4H-1-A,130,150,29.0,29.2,,nannofossil rich,clay,,nannofossil rich clay,,,gray,GLEY 1 5/10Y (greenish gray),,clay,1.0,silt,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,U1457,A,4,H,1,A
355-U1457A-4H-2-A,0,24,29.2,29.44,,,nannofossil ooze,,nannofossil ooze,,burrows,light gray,GLEY 1 6/10Y (greenish gray),80.0,clay,1.0,silt,2.0,,silty,clay,,silty clay,silty clay,clay,gray,GLEY 1 5/10Y (greenish gray),20.0,clay,1.0,silt,2.0,,100.0,erosive,scoured,horizontal,medium bedded,normally graded,,,,,,,,,,,,355,U1457,A,4,H,2,A
355-U1457A-4H-2-A,24,100,29.44,30.2,,,nannofossil ooze,,nannofossil ooze,,,light gray,GLEY 1 6/10Y (greenish gray),80.0,clay,1.0,silt,2.0,,nannofossil rich,clay,,nannofossil rich clay,nannofossil rich clay,clay,gray,GLEY 1 5/10Y (greenish gray),20.0,clay,1.0,silt,2.0,,100.0,erosive,scoured,horizontal,medium bedded,,,,,,,,,,,,,355,U1457,A,4,H,2,A
355-U1457A-4H-2-A,100,150,30.2,30.7,,,nannofossil ooze,,nannofossil ooze,,,light gray,GLEY 1 6/10Y (greenish gray),,clay,1.0,silt,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,U1457,A,4,H,2,A
355-U1457A-4H-3-A,0,22,30.7,30.92,,,nannofossil ooze,,nannofossil ooze,,burrows,light gray,GLEY 1 6/10Y (greenish gray),80.0,clay,1.0,silt,2.0,,nannofossil rich,clay,,nannofossil rich clay,nannofossil rich clay,clay,gray,GLEY 1 5/10Y (greenish gray),20.0,clay,1.0,silt,2.0,,100.0,erosive,scoured,horizontal,medium bedded,normally graded,,,,,,,,,,,,355,U1457,A,4,H,3,A
355-U1457A-4H-3-A,22,40,30.92,31.1,,,nannofossil ooze,,nannofossil ooze,,,light gray,GLEY 1 7/10Y (light greenish grey),70.0,clay,1.0,silt,2.0,,nannofossil rich,clay,with silt,nannofossil rich clay,nannofossil rich clay with silt,clay with silt,gray,GLEY 1 5/10Y (greenish gray),30.0,clay,1.0,silt,2.0,,100.0,erosive,sharp,horizontal,medium bedded,normally graded,,,,,,,,,,,,355,U1457,A,4,H,3,A
355-U1457A-4H-3-A,40,98,31.1,31.68,,,nannofossil ooze,,nannofossil ooze,,,light gray,GLEY 1 7/10Y (light greenish grey),60.0,clay,1.0,silt,2.0,,nannofossil rich,clay,,nannofossil rich clay,nannofossil rich clay,clay,gray,GLEY 1 5/10Y (greenish gray),40.0,clay,1.0,silt,2.0,,100.0,erosive,sharp,horizontal,thickly bedded,normally graded,,,,,,,,,,,,355,U1457,A,4,H,3,A
