Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Sample domain number (if >1 domain),Sample domain name (if >1 domain),Domain relative abundance [%],Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name+suffix [read only],Lithology color (Munsell),Layer or bedding thickness,Lithology lithification,Lithology ave. grain size class,Lithology ave. grain size rank [read only],Lithology max. grain size class,Lithology max. grain size rank [read only],General interval comment,Sorting,Grading,Sedimentary structure,Diagenetic structure,Clasts (>2 mm) DOMINANT,DOMINANT Clasts % [%],DOMINANT Clasts ave. grain size class,DOMINANT Clasts ave. grain size rank [read only],DOMINANT Clasts max. grain size class,DOMINANT Clasts max. grain size rank [read only],DOMINANT clast roundness,Clasts (>2 mm) Subdominant,Subdominant Clasts % [%],Subdominant Clasts ave. grain size class,Subdominant Clasts ave. grain size rank [read only],Subdominant Clasts max. grain size class,Subdominant Clasts max. grain size rank [read only],Subdominant clast roundness,Clast comments,"Matrix, fines (<2 mm) DOMINANT",Matrix sorting,Matrix modifier,Matrix comments,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Suffix,Minor Lithology Prefix,Minor Lithology Name
366-U1497A-2F-3-A,80,150.0,4.21,4.91,IIB,,,,,,,,,,,,,,,,,,"MENA, MBIO, IW",,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1497,A,2,F,3,A,,,
366-U1497A-2F-4-A,0,50.0,4.91,5.41,IIB,,,,,,,"matrix-supported, monomict",breccia,,"matrix-supported, monomict breccia",GLEY 2 5/10B (bluish gray),massive,unconsolidated,medium sand,5,pebble,9,,poor,,,,ultramafic rock,10,very coarse sand,7,pebble,9,sub-rounded,,,,,,,,,serpentine clay matrix,,,with white authigenic clay,,,,366,U1497,A,2,F,4,A,,,
366-U1497A-2F-4-A,50,65.0,5.41,5.56,IIB,,,,,,,,,,,,,,,,,,IW,,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1497,A,2,F,4,A,,,
366-U1497A-2F-CC-A,0,9.0,5.56,5.65,IIB,,,,,,,"matrix-supported, monomict",breccia,,"matrix-supported, monomict breccia",GLEY 2 5/10B (bluish gray),massive,unconsolidated,medium sand,5,pebble,9,,poor,,,,ultramafic rock,10,very coarse sand,7,pebble,9,sub-rounded,,,,,,,,,serpentine clay matrix,,,with white authigenic clay,,,,366,U1497,A,2,F,CC,A,,,
366-U1497A-3G-CC-A,0,4.0,5.44,5.48,IIB,,,,,,,,serpentinite,clast,serpentinite clast,GLEY 1 6/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1497,A,3,G,CC,A,,,
366-U1497A-3G-CC-A,5,10.0,5.49,5.54,IIB,,,,,,,,serpentinite,clast,serpentinite clast,GLEY 2 2.5/5B (bluish black),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1497,A,3,G,CC,A,,,
366-U1497A-3G-CC-A,10,16.0,5.54,5.6,IIB,,,,,,,,serpentinite,clast,serpentinite clast,GLEY 2 5/5B (bluish gray),,,,,,,foliated,,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1497,A,3,G,CC,A,,,
366-U1497A-4X-CC-A,0,30.0,5.6,5.9,IIB,,,,,,,"matrix-supported, monomict",breccia,,"matrix-supported, monomict breccia",GLEY 2 4/5B (dark bluish gray),massive,unconsolidated,medium sand,5,pebble,9,matrix to clast supported,poor,,,,ultramafic rock,30,granule,8,pebble,9,subangular,,,,,,,,,serpentine clay matrix,,,,,,,366,U1497,A,4,X,CC,A,,,
366-U1497A-5F-1-A,0,50.0,12.0,12.5,IIB,,,,,,,"matrix-supported, monomict",breccia,,"matrix-supported, monomict breccia",GLEY 2 4/10B (dark bluish gray),massive,unconsolidated,fine sand,4,pebble,9,,poor,,,,ultramafic rock,20,granule,8,pebble,9,subangular,,,,,,,,,serpentine clay matrix,,,,,,,366,U1497,A,5,F,1,A,,,
366-U1497A-5F-1-A,50,150.0,12.5,13.5,IIB,,,,,,,"matrix-supported, monomict",breccia,,"matrix-supported, monomict breccia",GLEY 2 4/5B (dark bluish gray),massive,unconsolidated,fine sand,4,pebble,9,with smeared greenish serpentinite mud,poor,,,,ultramafic rock,22,granule,8,pebble,9,subangular,,,,,,,,,serpentine clay matrix,,,,,,,366,U1497,A,5,F,1,A,,,
366-U1497A-5F-2-A,0,50.0,13.5,14.0,IIB,,,,,,,"matrix-supported, monomict",breccia,,"matrix-supported, monomict breccia",GLEY 2 4/5B (dark bluish gray),massive,unconsolidated,fine sand,4,pebble,9,with smeared greenish serpentinite mud,poor,,,,ultramafic rock,22,granule,8,pebble,9,subangular,,,,,,,,,serpentine clay matrix,,,,,,,366,U1497,A,5,F,2,A,,,
366-U1497A-5F-2-A,50,150.0,14.0,15.0,IIB,,,,,,,,,,,,,,,,,,"ZHAN, LLOY, EICK, MBIO, IW",,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1497,A,5,F,2,A,,,
366-U1497A-5F-3-A,0,95.0,15.0,15.95,IIB,,,,,,,"matrix-supported, monomict",breccia,,"matrix-supported, monomict breccia",GLEY 2 4/5B (dark bluish gray),massive,unconsolidated,fine sand,4,pebble,9,with smeared greenish serpentinite mud,poor,,,,ultramafic rock,22,granule,8,pebble,9,subangular,,,,,,,,,serpentine clay matrix,,,,,,,366,U1497,A,5,F,3,A,,,
366-U1497A-5F-3-A,95,110.0,15.95,16.1,IIB,,,,,,,,,,,,,,,,,,IW,,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1497,A,5,F,3,A,,,
366-U1497A-5F-4-A,0,57.0,16.1,16.67,IIB,,,,,,,"matrix-supported, monomict",breccia,,"matrix-supported, monomict breccia",GLEY 2 4/5B (dark bluish gray),massive,unconsolidated,fine sand,4,pebble,9,with smeared greenish serpentinite mud,poor,,,,ultramafic rock,22,granule,8,pebble,9,subangular,,,,,,,,,serpentine clay matrix,,,,,,,366,U1497,A,5,F,4,A,,,
366-U1497A-5F-CC-A,0,23.0,16.67,16.9,IIB,,,,,,,"matrix-supported, monomict",breccia,,"matrix-supported, monomict breccia",GLEY 2 4/5B (dark bluish gray),massive,unconsolidated,fine sand,4,pebble,9,with smeared greenish serpentinite mud,poor,,,,ultramafic rock,25,granule,8,pebble,9,subangular,,,,,,,,,serpentine clay matrix,,,,,,,366,U1497,A,5,F,CC,A,,,
366-U1497A-6F-1-A,0,15.0,16.7,16.85,IIB,,,,irregular,gradational,inclined,"matrix-supported, polymict",breccia-conglomerate,with lithic clasts,"matrix-supported, polymict breccia-conglomerate with lithic clasts",GLEY 2 7/10BG (light greenish gray),massive,unconsolidated,silt,2,pebble,9,,poor,,,,ultramafic rock,20,granule,8,granule,8,subangular,mudstone,2,medium sand,5,pebble,9,subangular,,serpentine clay matrix,,,,,,,366,U1497,A,6,F,1,A,,,
366-U1497A-6F-1-A,15,25.0,16.85,16.95,IIC,,,,irregular,wavy,horizontal,serpentinite,pebbly mud,,serpentinite pebbly mud,GLEY 2 6/10BG (greenish gray),massive,unconsolidated,medium sand,5,pebble,9,,poor,,,,ultramafic rock,5,very fine sand,3,pebble,9,sub-rounded,,,,,,,,,serpentine clay matrix,,,,,,,366,U1497,A,6,F,1,A,,,
366-U1497A-6F-1-A,25,67.0,16.95,17.37,IIC,,,,planar,sharp,horizontal,serpentinite,pebbly mud,,serpentinite pebbly mud,GLEY 2 4/10B (dark bluish gray),massive,unconsolidated,silt,2,pebble,9,with smeared greenish serpentinite mud,poor,,,,ultramafic rock,7,granule,8,pebble,9,subangular,,,,,,,,,serpentine clay matrix,,,,,,,366,U1497,A,6,F,1,A,,,
366-U1497A-6F-1-A,67,85.0,17.37,17.55,IIC,,,,planar,scoured,horizontal,serpentinite,pebbly mud,,serpentinite pebbly mud,GLEY 1 7/5G (pale green),massive,unconsolidated,very fine sand,3,pebble,9,,poor,,,,ultramafic rock,8,medium sand,5,pebble,9,sub-rounded,,,,,,,,,serpentine clay matrix,,with carbonates,,,,,366,U1497,A,6,F,1,A,,,
366-U1497A-6F-1-A,85,90.0,17.55,17.6,III,,,,,,,"matrix-supported, polymict",breccia,,"matrix-supported, polymict breccia",2.5YR 6/1 (reddish gray),massive,unconsolidated,very fine sand,3,pebble,9,,poor,,,,ultramafic rock,12,very coarse sand,7,pebble,9,subangular,mudstone,3,medium sand,5,granule,8,subangular,,serpentine clay matrix,,with carbonates,,,,,366,U1497,A,6,F,1,A,,,
366-U1497A-6F-1-A,90,150.0,17.6,18.2,III,,,,,,,,,,,,,,,,,,"ISHI, IW",,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1497,A,6,F,1,A,,,
366-U1497A-6F-2-A,0,45.0,18.2,18.65,III,,,,,,,"matrix-supported, polymict",breccia,,"matrix-supported, polymict breccia",2.5YR 5/2 (weak red),massive,unconsolidated,fine sand,4,pebble,9,,poor,,,,ultramafic rock,17,medium sand,5,pebble,9,subangular,mudstone,3,very fine sand,3,granule,8,subangular,,serpentine clay matrix,,with carbonates,white authigenic carbonate and red mud,,,,366,U1497,A,6,F,2,A,,,
366-U1497A-6F-2-A,45,95.0,18.65,19.15,III,,,,,,,"matrix-supported, polymict",breccia-conglomerate,,"matrix-supported, polymict breccia-conglomerate",2.5YR 3/2 (dusky red),massive,unconsolidated,medium sand,5,pebble,9,,poor,,,,mudstone,28,coarse sand,6,pebble,9,subangular,ultramafic rock,7,coarse sand,6,pebble,9,subangular,,lithic matrix,,with serpentinite clay,with carbonate,,,,366,U1497,A,6,F,2,A,,,
366-U1497A-6F-2-A,95,150.0,19.15,19.7,III,,,,,,,,,,,,,,,,,,"MENA, MBIO",,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1497,A,6,F,2,A,,,
366-U1497A-6F-3-A,0,69.0,19.7,20.39,III,,,,,,,"matrix-supported, polymict",breccia,,"matrix-supported, polymict breccia",2.5YR 3/2 (dusky red),massive,unconsolidated,fine sand,4,cobble,10,,poor,,,,ultramafic rock,15,coarse sand,6,pebble,9,sub-rounded,sandstone,7,coarse sand,6,cobble,10,sub-rounded,,lithic matrix,,with serpentinite clay,with carbonate mud and authigenic carbonate,,,,366,U1497,A,6,F,3,A,,,
366-U1497A-6F-CC-A,0,38.0,20.39,20.77,III,,,,,,,"matrix-supported, polymict",breccia,,"matrix-supported, polymict breccia",2.5YR 3/2 (dusky red),massive,unconsolidated,fine sand,4,cobble,10,,poor,,,,ultramafic rock,15,coarse sand,6,pebble,9,sub-rounded,"carbonate, sandstone, claystone",7,coarse sand,6,pebble,9,sub-rounded,,lithic matrix,,with serpentinite clay,with carbonate mud and authigenic carbonate,,,,366,U1497,A,6,F,CC,A,,,
366-U1497A-7X-1-A,0,144.0,21.4,22.84,IV,,,,,,,"clast-supported, polymict",sand,with lithic clasts,"clast-supported, polymict sand with lithic clasts",GLEY 2 3/5B (very dark bluish gray),massive,unconsolidated,fine sand,4,granule,8,,moderate,,,,ultramafic rock,50,medium sand,5,granule,8,subangular,"carbonate, sandstone, claystone",12,medium sand,5,granule,8,subangular,,serpentine clay matrix,,,,,,,366,U1497,A,7,X,1,A,,,
366-U1497A-7X-2-A,0,150.0,22.84,24.34,IV,,,,,,,"clast-supported, polymict",sand,with lithic clasts,"clast-supported, polymict sand with lithic clasts",GLEY 2 3/5B (very dark bluish gray),massive,unconsolidated,fine sand,4,granule,8,,moderate,,,,ultramafic rock,50,medium sand,5,pebble,9,subangular,"carbonate, sandstone, claystone",12,medium sand,5,granule,8,subangular,,serpentine clay matrix,,,,,,,366,U1497,A,7,X,2,A,,,
366-U1497A-7X-3-A,0,121.0,24.34,25.55,IV,,,,,,,"clast-supported, polymict",sand,with lithic clasts,"clast-supported, polymict sand with lithic clasts",GLEY 2 3/5B (very dark bluish gray),massive,unconsolidated,fine sand,4,granule,8,,moderate,,,,ultramafic rock,50,medium sand,5,granule,8,subangular,"carbonate, sandstone, claystone",12,medium sand,5,granule,8,subangular,,serpentine clay matrix,,,,,,,366,U1497,A,7,X,3,A,,,
366-U1497A-7X-CC-02,0,7.0,25.61,25.68,IV,,,,,,,,serpentinite,clast,serpentinite clast,GLEY 2 3/10G (very dark greenish gray),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1497,A,7,X,CC,0,,,
366-U1497A-7X-CC-03,0,6.5,25.68,25.745,IV,1,,60,,,,,serpentinite,clast,serpentinite clast,GLEY 2 7/10G (light greenish gray),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1497,A,7,X,CC,0,,,
366-U1497A-7X-CC-03,0,6.5,25.68,25.745,IV,2,,10,,,,,limestone,clast,limestone clast,2.5YR 4/2 (weak red),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1497,A,7,X,CC,0,,,
366-U1497A-7X-CC-03,0,6.5,25.68,25.745,IV,3,,30,,,,,greenschist,,greenschist,GLEY 2 8/10G (light greenish gray),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1497,A,7,X,CC,0,,,
366-U1497A-7X-CC-04,0,13.5,25.745,25.88,IV,,,,,,,cherty limestone,breccia,clast,cherty limestone breccia clast,2.5YR 4/2 (weak red),,,,,,,with cm thick white calcite veins,,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1497,A,7,X,CC,0,,,
366-U1497A-7X-CC-A,0,6.0,25.55,25.61,IV,,,,,,,"clast-supported, polymict",sand,with lithic clasts,"clast-supported, polymict sand with lithic clasts",GLEY 2 3/5B (very dark bluish gray),massive,unconsolidated,fine sand,4,pebble,9,,moderate,,,,ultramafic rock,50,medium sand,5,pebble,9,subangular,"carbonate, sandstone, claystone",12,medium sand,5,granule,8,subangular,,serpentine clay matrix,,,,,,,366,U1497,A,7,X,CC,A,,,
366-U1497A-8F-1-A,0,135.0,23.8,25.15,IV,,,,,,,"clast-supported, polymict",sand,with lithic clasts,"clast-supported, polymict sand with lithic clasts",GLEY 2 3/5B (very dark bluish gray),massive,unconsolidated,fine sand,4,granule,8,,moderate,,,,ultramafic rock,50,pebble,10,granule,8,subangular,"carbonate, sandstone, claystone",30,fine sand,4,granule,8,subangular,,serpentine clay matrix,,,,,,,366,U1497,A,8,F,1,A,,,
366-U1497A-8F-2-A,0,22.0,25.15,25.37,IV,,,,curviplanar,scoured,,"clast-supported, polymict",sand,with lithic clasts,"clast-supported, polymict sand with lithic clasts",GLEY 2 3/5B (very dark bluish gray),massive,unconsolidated,fine sand,4,granule,8,,moderate,,,,ultramafic rock,40,pebble,10,granule,8,subangular,"carbonate, sandstone, claystone",20,medium sand,5,granule,8,subangular,,serpentine clay matrix,,,,,,,366,U1497,A,8,F,2,A,,,
366-U1497A-8F-2-A,22,43.0,25.37,25.58,IV,,,,,,,"clast-supported, polymict",sand,with lithic clasts,"clast-supported, polymict sand with lithic clasts",GLEY 2 3/5B (very dark bluish gray),massive,unconsolidated,fine sand,4,granule,8,,moderate,,,,ultramafic rock,10,granule,8,granule,8,subangular,"carbonate, sandstone, claystone",7,medium sand,5,granule,8,subangular,,serpentine clay matrix,,,,,,,366,U1497,A,8,F,2,A,,,
366-U1497A-9G-CC-01,0,7.0,28.05,28.12,,,,,,,,serpentinite,mud,,serpentinite mud,GLEY 2 6/5PB (bluish gray),massive,consolidated,clay,1,clay,1,"Lump of blue mud with variegated texture of greens, blue, and dark blue. Small black clasts of UM rock now clay.",poor,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1497,A,9,G,CC,0,,,
366-U1497A-9G-CC-02,0,5.0,28.12,28.17,,,,,,,,serpentinized,ultramafic rock,clast,serpentinized ultramafic rock clast,GLEY 2 4/5BG (dark greenish gray),,lithified,pebble,9,pebble,9,"Four small (1-3 cm) pieces of UM rock (harz?). Serpentinized, pseudomorphic. Bastite pseudomorphs apparent in two pieces. Two larger pieces are cut by very thin (0.5 mm to hairline thickness) veins of calcite.",,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1497,A,9,G,CC,0,,,
366-U1497A-9G-CC-03,0,3.0,28.17,28.2,,,,,,,,serpentinized,ultramafic rock,clast,serpentinized ultramafic rock clast,GLEY 2 4/5BG (dark greenish gray),,lithified,pebble,9,pebble,9,"Single piece of serpentinized harzburgite, may contain fresh relics. Pseudomorphic. Thin serpentinite veins and selvages (pale green); no carbonate veins.",,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1497,A,9,G,CC,0,,,
366-U1497A-9G-CC-04,0,3.0,28.2,28.23,,,,,,,,serpentinized,ultramafic rock,clast,serpentinized ultramafic rock clast,GLEY 2 4/5BG (dark greenish gray),,lithified,pebble,9,pebble,9,"Single piece of serpentinized UM rock, harzburgite? Pseudomorphic serpentine.",,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1497,A,9,G,CC,0,,,
366-U1497A-9G-CC-05,0,8.5,28.23,28.315,,,,,,,,serpentinized,harzburgite,clast,serpentinized harzburgite clast,GLEY 2 4/10B (dark bluish gray),,lithified,cobble,10,cobble,10,"Single piece of serpentinized harzburgite. Cut by 1 mm thick vein of serpentine (pale green, layered) and network of thin (hairline) veins. Reddish color over the olive green - possible relic minerals.",,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1497,A,9,G,CC,0,,,
366-U1497A-9G-CC-06,0,7.5,28.315,28.39,,,,,,,,serpentinite,breccia,clast,serpentinite breccia clast,2.5YR 3/3 (dark reddish brown),,lithified,granule,8,pebble,9,"Four small (2-4 cm) pieces of reddish brown breccia. Clasts are small rounded UM rock fragments, matrix is red-brown siliceous material (does not react with acid). Angular Carbonate fragments (?) 2-3 mm size, not clear if clast or vein material.",,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1497,A,9,G,CC,0,,,
366-U1497A-9G-CC-07,0,5.0,28.39,28.44,,1,sediment clasts,50,,,,"matrix-supported, polymict",conglomerate,clast,"matrix-supported, polymict conglomerate clast",2.5YR 3/3 (dark reddish brown),,lithified,fine sand,4,coarse sand,6,Four pieces (1-3 cm) of red-brown microbreccia / conglomerate. Tiny pink and grey clasts in red brown matrix. Matrix siliceous.,,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1497,A,9,G,CC,0,,,
366-U1497A-9G-CC-07,0,5.0,28.39,28.44,,2,sediment clasts,50,,,,,siltstone,clast,siltstone clast,2.5YR 3/3 (dark reddish brown),,lithified,silt,2,fine sand,4,Two pieces of fine siltstone with graded beds 5 mm thick. Contacts smooth and slightly curved. Beds in small piece appear to be boudinaged. Metasiltstone perhaps?,well,normally graded,planar lamination,,,,,,,,,,,,,,,,,,,,,,,,366,U1497,A,9,G,CC,0,,,
366-U1497A-9G-CC-08,0,4.5,28.44,28.485,,,,,,,,serpentinite,breccia,clast,serpentinite breccia clast,2.5YR 3/3 (dark reddish brown),,lithified,silt,2,fine sand,4,Two larger pieces (3 cm) and six 1-cm pieces of microbreccia with UM clasts (to 5-8 mm) in red-brown siliceous matrix. Similar to Piece 6 this core.,,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1497,A,9,G,CC,0,,,
366-U1497A-9G-CC-09,0,16.5,28.485,28.65,,1,matrix,30,,,,,mud,,mud,GLEY 2 4/5B (dark bluish gray),,consolidated,clay,1,clay,1,Blue-green serpentine mud matrix with area of dark green that is likely a shattered clast of serpentinized UM rock. Matrix concentrated at the upper end of the piece holder.,,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1497,A,9,G,CC,0,,,
366-U1497A-9G-CC-09,0,16.5,28.485,28.65,,2,ultramafic clast,30,,,,,ultramafic rock,,ultramafic rock,GLEY 1 4/N (dark gray),,lithified,fine sand,4,granule,8,Domain is UM breccia with subrounded clasts in dark grey-green matrix. Between the serpentine mud matrix (above) and siltstone (below) in piece holder.,,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1497,A,9,G,CC,0,,,
366-U1497A-9G-CC-09,0,16.5,28.485,28.65,,3,sediment clasts,40,,,,,siltstone,clast,siltstone clast,2.5YR 3/3 (dark reddish brown),,lithified,silt,2,silt,2,Strongly deformed red-brown siltstone with many small veins of carbonate. Forms lower 4 cm of the piece.,,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1497,A,9,G,CC,0,,,
366-U1497A-10F-1-A,0,9.0,28.5,28.59,V,,,,planar,gradational,,"clast-supported, polymict",sand,with lithic clasts,"clast-supported, polymict sand with lithic clasts",2.5YR 2.5/3 (dark reddish brown),massive,unconsolidated,fine sand,4,granule,8,,moderate,,,,ultramafic rock,20,medium sand,5,granule,8,subangular,"carbonate, sandstone, claystone",10,medium sand,5,granule,8,subangular,,serpentine clay matrix,,,,,,,366,U1497,A,10,F,1,A,,,
366-U1497A-10F-1-A,9,33.0,28.59,28.83,V,,,,,,,"clast-supported, polymict",conglomerate,with accretionary lapilli,"clast-supported, polymict conglomerate with accretionary lapilli",GLEY 2 3/5B (very dark bluish gray),massive,unconsolidated,granule,8,granule,8,,poor,,,,ultramafic rock,50,pebble,10,pebble,9,subangular,"carbonate, sandstone, claystone",30,granule,8,pebble,9,subangular,,serpentine clay matrix,,,,,,,366,U1497,A,10,F,1,A,,,
366-U1497A-11G-CC-A,0,27.0,32.86,33.13,,,,,,,,"clast-supported, polymict",conglomerate,with lithic clasts,"clast-supported, polymict conglomerate with lithic clasts",GLEY 2 3/5B (very dark bluish gray),massive,unconsolidated,granule,8,granule,8,,poor,,,,"cherty carbonate, sandstone",60,cobble,11,pebble,9,sub-rounded,ultramafic rock,30,medium sand,5,granule,8,sub-rounded,,serpentine clay matrix,,,,,,,366,U1497,A,11,G,CC,A,,,
366-U1497A-11G-CC-A,27,34.0,33.13,33.2,,,,,,,,"clast-supported, polymict",sand,with lithic clasts,"clast-supported, polymict sand with lithic clasts",2.5YR 2.5/3 (dark reddish brown),massive,unconsolidated,fine sand,4,very coarse sand,7,,poor,,,,ultramafic rock,20,medium sand,5,pebble,9,sub-rounded,"carbonate, sandstone, claystone",10,medium sand,5,granule,8,sub-rounded,,serpentine clay matrix,,,,,,,366,U1497,A,11,G,CC,A,,,
366-U1497A-12F-1-A,0,44.0,33.2,33.64,V,1,ultramafic clast,50,,,,,ultramafic rock,,ultramafic rock,GLEY 1 4/N (dark gray),,lithified,pebble,9,pebble,9,Domain is UM breccia with subrounded to sub-angular clasts in dark grey-green matrix.,,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1497,A,12,F,1,A,,,
366-U1497A-12F-1-A,0,44.0,33.2,33.64,V,2,sediment clasts,50,,,,,siltstone,clast,siltstone clast,2.5YR 3/3 (dark reddish brown),,lithified,pebble,9,pebble,9,Strongly deformed red-brown siltstone breccia with UM clasts and somne veins of carbonate of various thicknesses (from 0.05 mm to 3 mm),,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1497,A,12,F,1,A,,,
